nice 	 FS quite special basic room decide try something different trip Vegas . get rate $ 330 night include tax . fs far new favorite Vegas Mandarin open check . look place away gambling sound crowd , perfect place . basic room , room spacious quite large bathroom . bed extra comfy view mandalay pool area . fs pool area exceptional . pool staff walk around give fresh fruit , lemonade , sunglass clean evian spritz . great lunch poolside , highly recommend grill cheese sandwhich tomatoe soup . odd thing pool drink menu , waitress say , ask want will see make . would nice special drink least list basic drink menu . brunch restaurant bad $ 35 pp , especially hungover night want something close . spa gym facility excellent well . attendant gym handing towel , water , gatorade . hotel guest use steam room spa even spa treatment . service around usual fs polished treatment guest use matter FS stay . negative think end strip , attach mandalay bay kind hike get middle strip show dinner . not bother we want stay little away , might issue other . 
 simply good ! 	 return eight night stay Four Seasons . celebrate anniversary . could make well choice hotel . upgrade Premier View Strip Suite advance simply stunning - view , amenity acre space . celebration cake selection fresh fruit await we room first night thoughful much appreciated . thoughfulness seem sum hotel . staff need never intrusive - make feel safe outset . several time stay message leave answer machine on - duty manager check everything go well anything need . we eat Charlie Palmers , in - house steak restaurant one night . quite expensive - wine list particular eye - wateringly , although food good experience mar considerable extent noise come nearby table . expect quiet intimate dinner ... hotel 's fault disappointing nonetheless . although extreme south - end Strip free tram run Mandalay Bay Excalibur . get around easy . book see three show town problem travel . monorail frequent , fast way travel point interest . we buy item buying realise would able take back cabin luggage . expensive keen put aircraft hold . quick word concierge staff arrange in - house business department package post home UK - prefer UPS FedEx ask . marvellous ! stay couple rival hotel visit - Bellagio venetian name two neither come close Four Seasons . fancy treat go - will not regret . read reviews people complain noise McCarran Airport . room overlook airport noise not bother we - fact interesting sit huge floor ceiling window glass wine one hand watch world roll along . we will back ! 
 Nov 4 2009 	 Exclusivity strip 	 partner travel Vegas friend 's wedding part group 20 people stay Mandalay Bay , Hotel Mandalay Bay Luxor next door . book late other stay Vegas couple night move decide could not bother travel around opted soak winter sun pool instead , look base around 10 night could not get hotel . close could get Four Seasons take top five floor Mandalay Bay , allow access facility hotel complex well exclusive area fs guest . stay Vegas 10 night seem fairly unheard unless be headline somewhere get great deal fs - expedia pricing around £ 220 night shop around online get £ 120 . money think FS fantastic - ' m sure would pay £ 220 - lot good hotel around Vegas less . stay Bellagio last year around £ 100 night 's much central main attraction strip similarly luxurious . also get $ 50 spa credit check not use cos treatment little pricey . we get fantastic room literally look right strip , like something postcard . watch news morning weather forecast webcam view almost identical show 's one good view around . the room not huge , say , perfectly form . nice big bed good quality linen , big tv lot wardrobe space . bathroom not huge bath shower seem small standard , BVLGARI toiletry great ! really like ipod docking station think WiFi charge excessive $ 14.99 24 hour . here tip though wifi addict - go beach Mandalay Bay use FS guest 's free wifi there . I think hotel well special touch - hand write note room manager truffle arrival , say need anything ask . last night get another note melt chocolate strawberry . order room service couple time always think good value good quality . by FS pool staff enough , set sunlounger super fluffy towel bring iced water jug side - 's come around cleaning sunglass , spray evian mist face dish complimentry smoothie , ice lolly melon . pool small 's much quieter relax Mandalay 's beach bustle October imagine would crazy busy summer . all like hotel - 's little way wander strip . get free monorail far Excalibur long walk Bellagio / Paris / Venetian / Ceasers Mirage , would describe central strip territory . the facility mandalay ok - eat couple time - casino quiet lack atmosphere compare hotel pass traffic . daytime gambling really enjoy dealertainer Imperial Palace place real laugh great atmosphere low minimum ... bellagio casino good night can not beat restaurant around hotel 's lake pure view experience . bit pricy year last partly due poor exchange rate we Brits ! hope help - head Vegas see Beatle 's LOVE show Mirage time would highly , highly recommend . good thing ' ve see Vegas long chalk : - ) 
 Nov 2 2009 	 would stay heartbeat ! 	 wife lucke great rate Four Seasons Las Vegas u2 concert weekend . hotel luxurious oasis city sin , service far consistently outstanding ever see american hotel ... bell service housekeeping front desk management ... everyone smile something nice say . wow ! amazed . budget permit , will not stay anywhere else Vegas ever ! 
 Oct 31 2009 	 Comfortable Weekend 	 stay property 2 night since town see u2 concert . service great , bed comfortable , room clean , bottle water provide , L'Occittane product nice touch . problem AC immediately attend well . negative thing would say would standard room tad outdate small compare Venetian Wynn . look sedate , quiet , non - gaming property would . however , hit Mandalay Bay casino use mandalay swimming pool well . parking free mandalay well - find & quot ; secret door & quot ; four season casino floor ! 
 Oct 26 2009 	 Relaxing Oasis Strip 	 go last week husband business trip . moment step taxi , fabulous experience . staff always helpful friendly . even upgrade we suite , beautiful . everything clean comfortable . not miss hang pool . sit hour brave strip book cocktail feel reenergize .. hotel south end strip take tram Mandalay Bay ( connect Four Seasons ) Excalibur -- convenient 
 Oct 26 2009 	 nice luxurious hotel great service . 	 Las Vegas many time , stay nice hotel times Four Seasons beat . start check - in , see daughter , give nice furry toy . check - in fast easy , walk elevator show get Mandalay Bay . room locate top 6 floor Mandalay Bay hotel , thus guarantee high . room nicely furnish , comfortable bed , large bathroom separate tub shower . kids & quot ; toiletry bag & quot ; shampoo , conditioner , lotion daughter . also nice touch - daughter 's name spell sponge letter kid play bath - tub . difficult figure tv channel room much worry it . it great able use Mandalay Bay beach benefit stay , love lazy river though disappointed could use wave pool due daughter short . go summmer , extremely hot spend half day stay lazy river . pool Four season nice way quieter . noise , crowd racket Mandalay beach , nice go Four Seasons pool relax . pool Four season guest , never crowded . service great , bring jug ice water get , staff always walk around make sure everyone take care of . we breakfast hotel one morning , buffet expensive great choice . love choice bacon , sausage , berry bowl , mini doughnut pastry . all , good hotel term service attention detail . would stay . 
 Oct 25 2009 	 Fantastic view awesome bed ! 	 husband stay two day . late check king room full upgrade 180 degree strip view suite . fantastic ! definitely room need absolutely beautiful great view strip , airport mountain beyond . even though hotel right across airport could not hear plane , occasional helicopter . spa really nice fitness center well equip . free hotel guest . pool nice . could use Mandalay Bay pool well , Four season pool much less crowded relaxing . breakfast Veranda . food service excellent . four Seasons valet parking $ 19 / day , park free Mandalay Bay walk four Seasons . internet $ 15 / day . overall excellent hotel would definitely stay . 
 Oct 24 2009 	 nice ! issue distance everything else . 	 stay couple buddy Four Seasons . overbooke first night give we free night & quot ; THEHotel & quot ; nice , room smell like smoke . room Four Seasons really nice everyone always nice would expect Four Seasons . complaint far casino . 
 Oct 10 2009 	 place strip take pet 	 stay four season vegas fourth time . love hotel . staff awesome room great . good part take small dog take good friend we . 
 oct 9 2009 	 Awesome place - great pool 	 stay business conference hold Mandalay Bay . hotel attach much nice . small private pool guy walk around mist people evian water aerosol mister . service pool top notch room service . price high Vegas hotel outrageous . 
 oct 8 2009 	 Wonderful Hotel Four season 	 Four Seasons occupy top 4 floor Mandalay Bay Hotel . elegant private lobby separate Mandalay Bay Hotel separate elevator room . room tastefully decorate wonderful Vegas . Strip view nice non strip view bad . the negative tour helicopter come close hotel almost feel like attack . 
 Oct 8 2009 	 feel like Cinderella . 	 husband meeting attend hotel get go along . even enter hotel people help we bag offer anything could make sure stay enjoyable . people desk sooo polite helpful . get room .... like walk paradise . BEAUTIFUL . slipper cozy robe shampoo conditioner lotion die . room service par . bed ! ! ! ! ! ! ! ! ! oh gosh . pool service exceptional . food ... everything perfect . could not ask well first experience Las Vegas . thank much making feel like princess couple day . 
 Oct 8 2009 	 FANTASTIC HOTEL 	 final destination tour USA Las Vegas . amazed manage book Four season less £ 100 per night . pay much horrid hotel . we receive fantastic welcome Valet staff quickly park car take luggage room . check swift & amp ; complimentary bottle chill water . room 36th floor , overlook bottom Strip / Mountains . great room , decorate traditional style & amp ; clean . huge Bed wonderful bedding . comfortable bed ever sleep . large tv & amp ; internet available $ 15 per day . bathroom spotless quality towel & amp ; toiletry . Room Service fast . Maid Service twice day . turn service extra bonus end long day . treat surprise birthday cake arrival . pool area nice service 1st Class . concierge staff fantastic , return hire care , take booking phone bar advance notify arrival . Casino Mandalay Bay 2nd floor reach via private entrance . try book hotel car twice not available taxi wait front hotel . however available take us airport . I idea anybody find fault hotel . compare hotel Strip , really Oasis miss . 
 Oct 6 2009 	 GREAT 	 thank Four season wonderful stay . nice return peace tranquility busy day strip . find room quiet . pool staff attentive . would return . 
 Oct 5 2009 	 Nice ... '' 	 get back long weekend Four Seasons Las Vegas . read many great review resort want check . nice private entrance feel like be pull four Seasons . helpful polite staff check - in . little issue reservation solve quickly efficiently . 39th Floor . think Four Seasons 4 top floor Mandalay . room clean , new plainly decorate . smallish room view strip . bathroom big , marble , large area , one sink world 's small shower . bad use space . pool area smallish , nice private . access Mandalay Bay pool Four Season 's Key . little disappointed pool , lounger cushion fade little dirty . walk around Wynn Encore pool lounger far superior . hate nit pick , honest . staff pool friendly helpful . came set lounger immediately someone come take drink / food order . 's small bar area little place eat . overall good experience , give option Vegas , will not stay . ' ve stay suite Hotel would much rather go . visit spa 80 min treatment . expensive really standard . save money go spa Mandalay . little less expensive big spa . 
 Oct 5 2009 	 Best Hotels Deal Las Vegas 	 Las Vegas place fun entertainment , world casino extravagant event . say Vegas , mean fun , fun , fun ! People love fun good way other experience fun go Las Vegas . this city know world lot international sporting event hold . since fun side world , also lot Hollywood personality enjoy Las Vegas . started plan Journey . deep think preferred Las Vegas , far hustle bustle , calm stay . te important part Booking hotel stay , stay within budget , scroll many site find site everything one pace , hotels2stay.net . nice portal online booking cheap & amp ; discount Hotels .thank hotels2stay every service mention fully give . four season hotel , compare site find one give huge discount .The 8,000 square - foot Garden Inspiring Outdoor experience . Outdoor Oasis also boast free - form Splash Pool surround Chaise Lounge Chairs Romanesque Columns . spa Unveiled Line Treatments design Harness Healing Powers Desert . 16 Elegant Treatment Rooms Remedies Thai Herbal Poultice Massage , Spa Secured Place among Conde Nast Traveler 's ' top 10 Resort Spas North America Caribbean . ' guestroom Boast Collection Contemporary Furniture , high - end designer Carpets Enchanting Views Strip . Beds Draped Beneath 400 - thread - count Egyptian Linens . four season Las Vegas Greets Children Age - appropriate Amenities Small Bathrobes Bath toy , even Spells Child 's Name tub use colorful Sponge Letters . guestroom Feature Cd Dvd Players , 42 - inch flat - screen Televisions Wireless Internet Access . it indeed nice experience we . hotel fantastic facility ... great amenity service offer really great .making trip memorable one 
 Oct 4 2009 	 wow great hotel 	 stay Four season 3 night last week excellent hotel , check - in quick bag room arrive , room fabulous 39th floor spectacular view Vegas airport . four season like oasis walk strip pool area good food excellent . move San Deigo , think 3 day enough Vegas unless want gamble . well do Four Seasons . 
 Oct 3 2009 	 Best Hotel Vegas could improve around edge 	 I m give hotel 5 really good hotel vegas , may good hotel Beverly Hills , NYC , London understand hotel Vegas come # 2 compare rest . celebrate two birthday choose vegas . arrive around 1:30 , course room not ready , walk Mandalay bay grab lunch , something cafe right guest elevator .... yummy . room ready lunch check , nice thing hotel top floor Mandalay go to great view . guest reception agent , really nice helpful , point we right direction head way ... 36th floor later , arrive . nothing impressive except view . bed , simple decor large bathroom . nothing really new worn well . stayed 3 nighst , regret choose hotel , even though end strip . good thing , Luxor Excalibur connect together , never walk hot sun get strip . thing love : * hotel driver ; Escalade well ride cab day * able escape separate 4 season lobby crowd * housekeep able get item need really quick manner , professional polite . * separate pool mandalay , access big pool need ... * SPA great , steam great shower , Gatorade Mens tea woman 's ... cute touch , want tea ? ? keen : * pool girl seem happy , order take bit long , order not hard btw * birthday amenity room , tell hotel celebrate birthdays ( wow factor ) * hotel staff use guest elevator seem weird rush keep stop floor pick * walk lobby restroom find associate use ( awkward ) never use car entire time , seem funny pay valet go to sit day , park Mandalay free , take 5 minute car roomif want good Vegas , place . unless pay 5 - 20k suite hotel come personal butler , good service strip . stay Wynn last trip bit disappointed decide try 4 season happy do . like say maybe error one perfect 
 Sep 30 2009 	 Best Vegas ( poor start ) 	 wife stay four night September 2009 . Vegas choose Four Seasons like idea able escape back somewhere quieter venture hustle bustle . get great deal BA website book Superior Room . we arrive 3.30pm Thursday afternoon ( excellent welcome valet parker door staff ) tell woman reception room not ready could upgrade suite $ 100 extra night . say interest pay upgrade suite , basically tell foolish amazing value would therefore wait room become available . point unhappy , firstly tell spend money ( able find well way spend $ 400 Vegas ! ) secondly , despite check - in time , room book available ... problem mine ! therefore ask speak manager point reception woman mysteriously manage find we room ... room . upgrade strip view room although silly reception woman not actually bother tell we have upgrade we therefore miss great gratuity ! negative stay . the view strip view room amazing room good size ( although probably small Vegas standard ) comfortably furnish . Decent L'Occitaine toiletry not think minibar price crazy compare hotel ( although $ 15 internet charge night irk slightly ) .I echo other say site hotel oasis tranquility ; great able go door Mandalay Bay world refined luxury ( manage find door fine ! ) quite like south end strip away & quot ; mad & quot ; middle section . the pool service everything report , jugs water , frozen melon ball , evian spray etc etc , think fitness centre well equip . good range food drink available pool not stupidly price . the time properly eat Hotel Sunday breakfast buffet ; would strongly recommend anyone . ' ve see alot breakfast buffet lot hotel around world , nothing could beat quality ! interesting option ( include doughnut could take away box midmorning treat ! ) option small portion could wide variety . we utilise concierge desk number occasion impressed . manage get we table Prime Bellagio 8 pm despite we able manage 9.30 try book advice generally useful impartisan . overall , would recommend hotel Vegas want chill , relax experience 's likely would not right place want typical Vegas stay ! say , new Mandarin Oriental could interesting open .... 
 Sep 27 2009 	 ideal base experience Vegas 	 start say review read Four Seasons excellent , attentive , professional , clean etc etc etc true ! need go . Vegas ultimately busy 24/7 great sometimes need break , hotels strip apparent us Four Seasons provide break , even lobby 5 star hotel like rush hour king cross station . quick answer people wonder yes book Four Seasons , pay little enjoy difference . a couple thing might help stay give spend casino follow observation . hire car cost tip every time pick car valet parking , tip around $ 2 - 3 , add 1 week 2 , enter drive Las Vegas Boulevard turn leave park Mandalay Bay conference centre car park another secure area ( security issue ) go round back Mandalay Bay Hacienda Ave West park Mandalay Bay car park , remember parking spot get lift casino , walk four Seasons lift Mandalay Bay lobby ! way door Mandalay bay lobby ' hide ' people say , ! also walk round right Mandalay Bay reception desk bring spiral marble staircase Four Seasons reception area . another tip car driver , major hotel strip free parking , usually around back , find use instead expensive taxi ride , use parallel back road times strip ridiculously busy , great taxi driver meter spin ! four Seasons southern end strip walk strip fully really unachievable unless ' good walker , use car . car use free mono rail Luxor get strip . the Four Seasons courtesy car , advertise well , free course obligatory tip , book require , speak front desk . internet cheap , $ 15 per hour hotel etc , cheap option ' will not long , Four Season give 10 min free swipe credit card , keep eye clock sign hit 11 , internet lobby area behind free coffee bun area ( put morning ) . otherwise visit Showcase mall strip next MGM , giant glass coke bottle , go 2nd floor food court tuck away 3 internet station cost approx $ 1 5 min . guess decide long want stay net . food , would expect eat strip expensive car want good breakfast try Egg work 2490 East Sunset Rd , NV 89120 massive breakfast , title say egg ........ lot . good evening meal ( family ) try Marie Callenders 4800 S. Eastern Ave . NV 89119 want take burger need go in - and - out Burger around Vegas , crazy cheap price good food . 
 Sep 23 2009 	 Ahhhh ... wonderful ! 	 recently enjoy wonderful relaxing stay Four Seasons Hotel Las Vegas . previous trip Vegas , stay adjacent Mandalay Bay hotel expect two property more - or - less . enjoy Mandalay , LOVED Four Seasons . even arrive , email concierge see could secure dinner reservation we Foundation Room - exclusive member - only club top Mandalay Bay . ' m member , not optimistic . however , soon receive email confirmation say arrange ! moment pull driveway , staff incredibly attentive . escort registration desk immediately make feel like royalty . reviewer nail term like magical , oasis , luxury ... even simple act retrieve car valet yield pleasant surprise - two bottle chill water place cup holder wait we ! last day , call concierge see would print boarding pass . make point log airline site minute eligible login score two slot early boarding order we - 's big deal fly Southwest ! course , room assign impeccable spacious . offer upgrade view strip , opt keep original room panoramic view desert mountain . 
 Sep 23 2009 	 Peace Quiet Next Door Hustle Bustle 	 tuck away floor 35 - 39 Mandalay Bay Hotel far south end strip , Four season Hotel offer quiet lobby decorate beautiful fresh flower feel million mile away rest Vegas . security concern exist room key ID check require elevator access floor . Mandalay Bay Hotel unlocked door away . casino , one walk across Mandalay Place Luxor . the small pool area physically separate busy mandalay large privacy wall . dine Veranda restaurant , nicely decorate space indoor outdoor seating . recommend bento box tomato soup , pesto pasta salad , italian panini , delicious crime brûlée dessert . constant flow upper end wedding . night event close pool area early . now describe room accommodation . booked & quot ; suite package & quot ; include buy one , get one night free $ 50 80 minute spa treatment . upgrade suite additional $ 300 / night ending & quot ; sunrise sunset suite & quot ; normally price $ 1,800 per night $ 969 per tax 2 night . 73 % . parking additional $ 20 per night . suite huge 1,500 sq foot complete 1 1/2 bath , pantry , dining , live room/ study , large walk - in closet , marble bath room . furnishing artwork traditional . floor ceiling window 3 side provide panoramic view strip , airport , pool . bed linen comfortable , bed lack require support leave back ache upon wake morning . vanity item never replace 3 day stay towel small luxurious . small , deep tub tv sit vanity bathroom . robe disposable slipper provide . turn include bottled water chocolate treat . want morning paper , find request card turn - down tray hang door . complementary shoe shine bag also find tray . the spa small include locker room , gym , steam room treatment room . use spa credit 80 min treatment cost $ 230.overall stay comfortable quiet . see one actor people happy keep , typical drunk rowdy Vegas crowd . think would stay since enjoy try different hotel , rather opt modern 5 star hotel close center action like new Mandarian . 
 Sep 20 2009 	 noise crowd 's problem 's . 	 stay two night 's hotel locate top part Mandalay Bay Hotel Las Vegas Blvd . southern part & quot ; strip & quot ; first hotel see travel airport , gold shimmer sun . concierge particularly accomodate . soap 's use hotel , request , Bvlgari worth phone call Housekeeping Department deliver room . view splendid , access Mandalay Bay 's puplic area 's . wave pool , casino , restaraunt 's , etc . 
 Sep 17 2009 	 amazing ... world ... 	 first read many review Las Vegas hotel come Wynn Four Seasons sooo happy choose Four Seasons . occupy top 5 floor Mandalay Bay . stay many 5 star hotel throughout state caribbean one top list . upon check - in upgrade 2600 sq ft suite husband b - day . check - in process easy fast , 4 people line ahead we , unlike Vegas hotel check wrap around 100 people deep . lobby beautiful . ( tip lobby every morning complimentary coffee tea til 8 am ) . bag take we even walk lobby tell would brought room immediately . arrive 5 min walk room ! compl . cake deliver husband bday also . utilize room service late night 2 am snack hot , delicous , deliver promise within 30 min ordering . pool beautiful eat lunch daily , outstanding . favorite part pool frozen towel would pass , evian spritz , frozen melon ball would come around . pool nice , relaxing , quiet . loved fact could use Mandalay Bay wave pool lazy river come pool ! workout facility top line Gatorade dispenser lemon waterWe use concierge one time incredible ! hotel house car ( 09 Cadillac Escalade ) driver take anywhere 3mi range . use feature tip well . nothing like pull restaurant get car everyone look see ! cool ! ask door man car available ( 1st come 1st serve : ) really can not say enough great thing hotel , incredible ! read reviews hotel people complain think miserable people could not love everything hotel . Casino ( Mandalay Bay 's ) easy find lot fun ! already plan return ! ! ! 
 Sep 17 2009 	 Superlative aspect 	 stay three night late August choose hotel base TripAdvisor review . experience exceed expectation . receive free upgrade deluxe room , King size bed extremely comfortable bathroom separate tub shower top notch . wonderful time pool enjoy complimentary strawberry smoothie mango popsicle . the whole place serene , immaculate hotel staff go way make we feel welcome . even leave small birthday cake wife piece art along card personal message . we could not believe able receive 5 star royal treatment $ 149 per night . return Vegas definitely first choice highly recommend everyone ! 
 Sep 16 2009 	 raise Bar always 	 luxury oasis overglitze city . room well equip , remarkably clean great view . food always excellent Sunday buffet brunch typical Four Seasons style ......... treat ! time enter , know simply good . pool staff wonderfully attentive . cant imagine stay anywhere else Las Vegas . 
 Sep 10 2009 	 never stay anywhere else ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! treat ! ! ! ! ! ! ! ! ! ! ! 	 husband know nothing Four Seasons Hotels . make short stay September 2009 could believe hotel stay could wonderful . seek four Seasons Hotels , matter . food good , bed unbelievable sleep service would expect hotel . four season Hotel Las Vegas get 6 star we ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! Claudine Bryen Walker 
 Sep 9 2009 	 nice hotel somehow expected 	 stay FS Labor Day weekend four night great buy one night get one free & quot ; Sweet Summer Suite & quot ; deal . previous review give good description entrance lobby will not go area . stay strip view suite 39th floor . view absolutely amazing almost entire low end strip spread , Mandalay Bay way Treasure Island . surround mountain cityscape also incredible . also view airport find quite fascinating . airplane take landing least bit intrusive we . nightclub room much noticeable , especially 1:30 . not interfere overmuch , still notice night . light sleeper might wish put floor two area . furnishing room , other point , could definitely use update . two large plasma screen tv 's nice addition large potted fern . however , rest decor lack expect richness go FS property . big letdown room , far , bathroom . would rate adequate rather good . price range hotel , would expect double vanity well slightly large shower . deep soak tub one standout area . service certainly average can not , honesty , rate exceptional . can not give one example poor service , overall , seem exactly expect . upon check - in , ask preference newspaper one never deliver , valet seem harry two vehicle present time , taxi not move area smoothly . small , somewhat annoying little thing . check - in complete , walk around corner simply tell elevator & quot ; way & quot ; . effort make explain hotel offering ( i.e . pool , spa , restuarant etc ) . must reiterate other point cost valet parking . pay $ 350 night room , would certainly expect sort thing include . every hotel Vegas figure . use room service three time time deliver promptly , proper temperature presentation nicely do . nothing forget really seem anticipate everything could possibly need . well do . while certainly enjoy time Four season Las Vegas , would recommend , can not say would necessarily pay quite much stay . however , right deal , would definitely consider . 
