great 	 stay 3 kid . connect room . spacious , quiet , comfortable , nice pool , nice restaurant , great location , good value . nothing complain . 
 nice accomodating 	 stay Park Lane 6 night business . proximity Tube outstanding . concierge front desk always helpful never overbear . stay Room 431 , standard room . view , could not care less . room probably 90 % size room would expect States . travel Europe , know pretty good sized room . everything clean . breakfast , ask conierge send little shop block away North Row . much cheap well breakfast . another review right . lot great restaurant around . enjoy go Marlborough Head pub standard English fare hand - pump beer . everyone nice there . only con : daily charge wireless internet . 2 - 3 extra fee tack roomservice ( delivery charge , tray pickup charge , etc . ) safe travel ! Mark 
 May 26 2009 	 Nice overate 	 Nice , small hotel - Hyde park room view dirty old building . stay 4 night point - could upgrade we concierge level give we access lounge - good food - window . concierge staff hotel staff helpful . location ok , would well close attraction . hotel right Oxford Street shopping . tiny lobby - uncomforatbly small - place sit . would opt big hotel close next time . nice not understand high rating . 
 May 21 2009 	 friendly clean convenient comfortable . 	 stay whilst cam London Marathon . choose 3 2 night deal convenient end marathon transport start . handy Oxford Street London 's green park . room comfortable lot room . even though main road quiet . order room service breakfast , whilst little pricey , expect centrally locate large hotel , deliver smile polite ' good morning' . I recommend hotel anyone visit London , look trouble free , convenient central hotel . 
 May 19 2009 	 like big room 	 like park Lane room big Europe standard . loved free wifi advice .... make sure breakfast include , price egg two . 
 Apr 15 2009 	 Great London experience 	 spend 5 night hotel ... book via Expedia package include Club Room . everyone note room large UK standard plenty space even rollaway bed 16 year old daughter . club option include access Executive Lounge free wifi , breakfast , snack , tea , etc . pool great , exercise room well equip though small . location right Marble Arch convenient Underground . room face Park Lane never really hear street noise curtain amazing shut light . would definitely stay . $ 300 / night thought might pay much location + Executive Lounge make excellent value ! 
 Mar 28 2009 	 first class 	 typical first class hotel perfect service . make sure breakfast include price . otherwise get rather unpleasant suprise present bill . overall , really good experience , great location corner Hyde Park , next Speaker 's Corner underground station Marble Arch 
 Mar 26 2009 	 functional pleasant 	 stay six night use Marriott platinum point . ( value quess , since not pay . ) smallish room seem standard London , limited view park . comfortable spotlessly maintain . food executive lounge adequate breakfast , occasionally , light dinner . staff cordial helpful . Park Lane describe boutique hotel . would not . charming not word would choose . 's small , functional satisfactory full - service Marriott . 
 Mar 26 2009 	 Convenient Location Spacious Room 	 be locate right Marble arch underground station - perfect location venture around . Room 's spacious clean . Service 's great , especially Marriott 's standard . check breeze . Gym swimming pool look nice - even though not chance use they . basically everything ask city hotel , great deal get , be perfect . 
 Feb 26 2009 	 fine over - rate ! 	 read previous review hotel ( ) stay great possiblity somewhat disappointed arrival . overall , hotel fine leave instantly regret booking . however , price hotel represent value money ( although london price everything inflate ) . stay 2 night January upon book double room perhaps expect . hotel suprisingly large detract atmosphere . size room adequate . however , window room leave alot desire . two set window , neither capable blocking noise . age double glaze window minimum , particularly disappointing . would issue hotel locate beside main road . positive side , bar nice availablility sky sport room nice . 
 Feb 25 2009 	 elegant oasis Mayfair 	 well - travel American spoil expect certain standard always find England . Park Lane Marriott exceed standard . detail overlook . hotel brilliantly locate , heart Mayfair . walk everywhere . take quiet little side street exude architectural charm , go one block be bustle Oxford , buy anything . tube station step Marks Spencers boot , traveler stock basic . the minute walk , acknowledge immediately bag whisked room . employee friendly gracious , go way we . hotel wonderfully modern elegant . room quiet , spotless well think . bathroom decent size touch luxury everywhere . take ridiculously long hot shower never run hot water . rate . stay 3 - day weekend . think 's good book Marriott 's reservation service . be go get well deal third party . pay 179 pound two day , throw third day free . also opt Executive Lounge , extra 50 pound day . enable save food , breakfast , afternoon tea evening lite meal / snack provide , well drink expressos throughout day . find good place come recoup museum . note : room not view , not negatively impact trip . not room much , value feel worth . internet service 15.00 GB day , ' ve opt Executive Lounge , access internet free laptop lounge area . 
 Feb 22 2009 	 Outstanding servicecant wait return 	 husband book hotel basis recommendation site . certainly disappoint . hotel beautiful , clean , spacious nicely decorate . location superb see freat sight London , Marble Arch tube station right next hotel . set hotel apart many other stay exceptional staff member , combine make stay unique pleasurable experience . personal greeting , courteous door staff outstanding room service well ever experience . hesitation recommend hotel anybody look pleasurable stay London 
 Feb 13 2009 	 Excellent 	 Location , location , location . walk distance much , easy subway everywhere . hotel almost perfect , great pool , great staff etc . stay 100 hotel night per year rate one good . room wee bite average american correct european room . great inexpensive italian rest . nearby , Prezzos ( spelling ) .. easy walk , two three block . 
 Feb 10 2009 	 great time ! 	 wife spend weekend London Marriott Park Lane . staying point still go upgrate magnificent Mayfair Suite view Hyde Park . incredible London ! decoration quite modern Marriott everything perfect state . coudl enjoy sunset Hyde Park sofa ... drike complementary glass wine . the hotel Executive Lounge open 6 am 12 pm . breakfast continental ( okay ) . egg provide . buffet main restaurant much well order omelet , pancake etc ... tea serve afternoon scone cake . Canapés dessert start 5.30pm . in basement pool , gym steam bath . everything clean . pool size okay . gym modern . the staff great . receptionist take time show we around arrive . concierge helpful . worry whatsoever . that one good stay european capital . 
 Feb 7 2009 	 spacious room perfect location 	 be cheap , get pay . room spacious elegant . friendly staff , good food drink . perfectly locate Mayfair Hyde Park / Marble Arch . meeting room also high quality . try pool fitness facility . 
 Jan 26 2009 	 Great Location 	 Marriott wonderful location ; right Marble Arch step Hyde Park . able walk across park Harrods , step door metro . room clean nicely decorate . the staff welcome . honor request promptly remember preference drink bar . disappointment breakfast . include room ( breakfast UK expensive otherwise ) . buffet , hot part ( egg , sausage , etc ) sometimes cold , sometimes watery . stick cereal yogurt . 
 Jan 18 2009 	 wow -- Great Hotel 	 wow -- quick ' city break ' London family . hotel -- location , service , price - everything . step away marble Arch station , adjoining Hyde Park -- , easy access major site . even walk Buckingham Palace Parliament hotel . staff friendly , helpful really ready answer question , issue give advice . nice bar area evening , great breakfast buffet include price . 
 Dec 22 2008 	 great hotel ! 	 love hotel ! modern welcoming . bed comfortable . staff helpful professional , concierge recommend amazing indian food restaurant get we reservation night . good even go back day later ! decor beautiful , even carpet gorgeous , never happen hotel . pool fantastic , along sauna exercise facility . area great , right across street Marble Arch Hyde Park tube station literally step away . also lot nice shopping area . small problem bill phone conversation not happen ( try dial , not work somehow bill $ 100 ) , manager take care good ability , although think situation could handle well promptly , first send random bell boy room stare phone see could help we . obviously idea , stare phone minute , dial charge , leave . frustrating , big deal . careful phone , would recommend get phone card shop around corner ( right next tube entrance ) use payphone . overall , would sure stay ! 
 Dec 21 2008 	 Raving Marriott ! 	 mom stay recently birthday celebration London -- moment arrive U.S. warmly greet , include hotel manager come introduce , give we card give helpful tip make five day stay . be special , know service hotel ! arrive hour check - in settle hotel bar / restaurant delicious lunch helped ease jetlag . rush prepare room able get much needed rest two hour ahead check - in -- plus , personally escort we room show we light , tea , etc . work ! incredible service . top , next day mom end catch serious stomach flu hotel night manager call Dr. room ( per inquiry ) , phone several time next two day check status . rave perfect location , beautifully , large , appoint room service ever since arrive home last week . can not wait return . 
 Nov 22 2008 	 Excellent service clean room modern property 	 good thing hotel quality staff , speed accurate responsiveness service general . can not say many hotel London , be unusually positive stand - out experience prompt review . find housekeeping especially good , room clean well service ( also quiet ) . property look relatively new , feel modern upscale little apparent ' wear tear . ' another plus : television brand - new large - screen flat - panel . probably discordant note stay involved inaccurate charge cause overzealous ' automatic'-type mini - bar ( front desk staff clear - up upon checkout ) . overall would definitely recommend hotel , especially point redemption . 
 Nov 3 2008 	 great view window well trash .... 	 room comfortable ( great $ $ ) location nice , view window well trash 8 foot window window another room look back we . ask room view indicate hotel book , may , one restaurant breakfast somewhat dubious . 
 Oct 23 2008 	 Location Location Location 	 absolutely surprised much love hotel . think another bog standard business hotel . cheap room , albeit view , room amazing . huge bed frette linen , 4 king size feather pillow . could not say enough nice thing hotel . staff extremely friendly . restuarant quite nice . location perfect shopping sightseeing . 
 Oct 16 2008 	 Great Hotel Great Location . 	 great hotel room nice . the view room great expect use MR Points . lounge access awesome . breakfast , tea , small pasta dish desert buffet . mention juice different kind drink . indoor pool also great . watch plan use room internet access cost 15pounds/ 26 usd per day . overall stay every time get London future . 
 Oct 15 2008 	 convenient chasing squirrel Hyde Park 	 Booked via Marriott website , easy convenient . upgrade suite arrival wonderful gesture 3 - day stay give extended check - out time upon ask . the service fantastic hotel , price cheap , term overall value great . everything state website , everything work room , food excellent , service exemplary one minor order placement problem room service breakfast . .Location ideal need mainly sightseeing allow toddler chase squirrel Hyde Park . hotel directly opposite Speakers Corner . love ! great hotel . 
 Oct 12 2008 	 Great Hotel Great location 	 courteous , helpful staff . great room . great location . nice amenity Executive Suite . certainly would stay . bus stop Tube station across street . many , close - by , varied place eat . great experience . 
 Oct 3 2008 	 Excellent staff 	 stay MPL weekend visit London . select particular hotel go Prom Friday think close enough walk across Park Albert Hall . the checking process smooth professional . room pleasant , although tell view Park , possible lean one side get glimpse . view Marble Arch could really complain . for book executive room use executive longe snack , drink breakfast . work really well less formal restaurant breakfast , although choice extensive , enough . we eat restaurant eat day stay , bar staff bring plenty nibble go wine have . the location quite busy area bar buzzing , however notice major noise night room . be sure reasonable walk Albert Hall - although bad go pleasant evening , get taxi back walk part way seem much long , could effect fo wine drunk restaurant . on Saturday spend morning sightseeing , Hyde Park , Marble Arch , 1 London surround area , Green Park , Royal Academy wander back Regent Street , Bond Street Oxford Street etc . lunch Spaghetti House , Woodstock Street . excellent , good service value money . the trip theatre evening fairly short taxi ride . overall good stay would certainly go back . 
 Sep 24 2008 	 Fabulous ! can not wait go back ! 	 first trip London spend 7 night hotel . room , service , Executive Lounge , pool , work room , staff fabulous . hate leave ! good way describe like cross amenity large hotel intimacy bed breakfast . location terrific touring London . 's second Underground . can not wait go back ! 
 Sep 10 2008 	 oh ! 	 could go much love stay Park Lane ! service EXCELLENT . formal , yet warm , make sense , really well kind service- really feel help . Marriott Executive Club member take note ! Executive Lounge excellent , great food service . last day , tell gal working leaving , encourage we load juice water , plus come ouf back 4 pack yogart road we . also , marriottxexecutive club member , upgrade we penthouse suite , overlook Hyde Park . love bed ( Marriott bed great ) room solid feel - full hardwood marble , heavy door fixure , good color , great feel . everything lobby gleaming , arrive , someone buff stair hand , hand knee . great flower , attenant cute uniform top hat . thrilled . compare Grovsner House , also good , think Park Lane little something extra ( warm friendly service ) . hat ! ! 
 Jul 26 2008 	 wonderful stay 	 stay 5 night love hotel ! vacation month 1st stop disappoint . celebrate 40th wedding anniversary treat like royalty . get great price Priceline . hotel upgrade room give we bottle Piper - Heidseick champagne . visit winery last year Paris yummy champagne ! staff great ! would definitely reccommend boutique hotel . 
 Jul 21 2008 	 great location Great Service 	 stay one week use Marriott reward . staff friendly helpful . hotel clean lovely flower arrangement public place . room large , even american standard . we notice front desk encourage people upgrade executive level mention previous review . however , never high pressure willing provide excellent service . we remove content minibar able use fairly large room refrig . help keep cost London . the tube literally around corner . doubledecker sightseeing bus stop 200 foot away . two large food hall one small convenience store within two block . neighborhood many restaurant budget category . hyde park lovely spot take stroll evening . number 15 bus pass hotel take Picadilly , Trafalgar Square , St. Pauls , Tower London . a cab ride Paddington station ( take Heathrow express Heathrow connect ) cost 6.5 pound . 
 Jul 12 2008 	 great hotel ! 	 stay hotel couple night parent London visit . ( live six month ) hotel great location - near Hyde Park Buckingham Palace- friendly staff . room clean quiet . bathroom little small , fine parent . bed comfortable room good size . would definitely recommend hotel traveler . also nice tea room downstairs , although not lot light . conceirge helpful provide free map , would call reservation set driver . overall , pleasant experience . 
 Jul 9 2008 	 Marriott Park Lane - Excellent Hotel 	 stay Marriott Park Lane use Marriott point early July 2008.the hotel excellent , expensive . the staff high quality , helpful . the room public area excellent . except price , would highly recommend hotel . 
 Jul 7 2008 	 Excellent hotel highly recommend 	 husband recently spend week London , attend Wimbledon first two day week typical tourist rest time . happy hotel . locate center London , easy travel many part city . underground ( subway ) entrance around corner . hotel nice . room spacious ( London ) , comfortable clean . equip nice - sized ( probably 32 & quot ; ) LCD tv . staff extremely courteous happy help question . feel location safe . easily walk different eating place ( ask concierge recommendation ) supermarket block away pick sunscreen snack room ( mini bar expensive - $ 6 / can coke ) . restaurant also expensive eat . definitely full service hotel . highly recommend would stay heartbeat . 
 Jun 15 2008 	 classy hotel near Oxford Street 	 come surprise , Park Lane definitely classy . room well appoint front desk staff everything power ( i.e . early / late check ) make stay pleasant . great location tube , less half block Oxford Street shopping . fantastic pool , gym , change area . highly recommend . 
 Jun 14 2008 	 wonderful Hotel Experience Around 	 husband celebrate milestone birthday London last week could not select fine accomodation . ' ve always avoid american hotel travel order genuine experience tire dingy room , thread - bare sheet , noisy tour group , etc . always seem encounter , decide break rule change . wow - disappoint way ! hotel gorgeous , spotlessly clean service excellent . location perfect everything need literally doorstep . request quiet room place lovely room face sidestreet . noise hear 6 night stay occasional siren distance . surreal leave hotel morning walk thick action outside - people , bus , tube station , Oxford St. , oblivious inside . peace hotel welcome relief end day . one particularly long day sightseeing , surprised hear knock door . bottle champagne deliver birthday gift hotel . nice gesture greatly appreciate . we would definitely stay ! 
 Jun 7 2008 	 Upscale Living heart Mayfair 	 first , get good rate $ 175 GBP plus taxis include full english breakfast 2 people . stay 8 night May 18 - 26 , 2008 . London Marriott Park Lane 5 Star luxury boutique hotel heart London 's upscale Mayfair . fantastic location excellent base explore London:1 . marble Arch station right BESIDE hotel - marble arch station Central Line take major attraction West East bound.2 . Oxford Street right around corner - London 's world class shopping . say London expensive - primark store step away score 5 pound jean 20 pound suit jacket ! 3 . Hyde Park right across Marble Arch . go stroll , jog lunch picnic.4 . sainsbury right across street well , case need stock water basic grocery stay . the London Marriott Park Lane 's Isotonic pool gorgeous one indoor pool central London . steam room wall wall marble , clean unlimited supply robe towel . mood light continually change colour make pool feel like spa . soothe relax . gym open 24 hour good selection machine , weight set , flatscreen tv , water cooler etc . fitness centre reception offer fresh fruit daily well selection high end London international magazine . Hildon high end bottled water well ! wow , classy . , attendant present time mind feel like home enjoy privacy . like watch . staff show always perfect time , almost clairvoyant , especially need something . the Lobby gorgeous , adorn fresh flower Marriott tradition . upon arrival , doorman full english regalia complete top hat greet we assist we conveyance . luggage take care right take way Front Desk . everyone glad see we . staff international would notice accent . check speedy friendly . Guest Service Agent give we quick tour lobby area restaurant business centre escort we lift . bellperson follow suit luggage . room immaculate Marriott Revive Bed almost make jump right away bellperson still something unexpected . show we salient detail room reach need assistance . wow . first many year Marriott experience . room assign courtyard view king bed , flat screen tv , huge closet mini bar , marble bathroom wow , perfect . smell good ! full english breakfast buffet - good selection comprise classic english breakfast item . service personal attentive always sit window great view Hyde Park hustle bustle central London . coffee however good , sure popular tea London . , guess blessing disguise selection beverage satisfactory . smoke fish selection cold cut enjoyable , waffle pancake delectable well . request truffle goat cheese omelette OMG , surprise breakfast chef way make . touch . see make call restaurant open kitchen concept . internet connection 15 GBP per 24 hour package 75 GBP 7 day . try 7 day package 2nd day connection problem provider IBAHN politely inform experience technical problem Europe . reverse charge offer 1 day free internet service inconvenience . , offer alternative business centre location nearby internet cafe require internet service system restore . like . hotel tell system wait . lucky apologize . be careful mini bar however new system account charge everytime pull item tray / shelf . sensor recognize removal still put charge even check item put back . front desk gladly reverse anyway . honest nice . abhor people screw hotel dishonestly dispute charge even consume it . request clean additional item towel toiletry prompt . Turndown service much appreciate walk room long day room ready ! chocolate bed nice touch . overall enjoy stay Marriott fact book 10 night next spring visit ! 
 Jun 1 2008 	 220 us dollar night priceline- need three room three night 	 hotel fantastic- 5 star hotel three star price priceline . location terrific close shopping restaurant room spotless- front desk people helpful friendly- funny ! ! ! 
 May 31 2008 	 Great Service Great Location 	 great location step Marble Arch tube station number bus stop . Location Oxford Street give we easy access shopping & amp ; restaurant . travel 3 child , connect room perfect . king room handicap accessible room , lot space rollaway . sainsbury block away staff remove mini - bar item could use fridge drink & amp ; snack . room spotless every item request deliver within minute . kid love pool adult appreciate sauna hard day site see . staff outstanding . Concierge & amp ; Bell staff answer question , entertained child ask question , make helpful suggestion transportation thing area . 
 may 30 2008 	 Top Class 	 stay early year London weekend wife young son . A1 property , low ble high class discretion . entire experience check check top drawer . the room tasteful newly renovate . dodgy modern styling , good quality furnishing compliment truly fantastic bed ( large flat screen tv ) .brilliant location right corner Park Lane & amp ; Oxford Street . just one complaint - free high speed internet access , be par course high class hotel day : ( 
 May 28 2008 	 great service large quiet comfortable room 	 hotel well - locate right next Marble Arch Underground Oxford Street . walk great shopping restaurant 5 - 10 min . room amazingly large London standard extremely comfortable quiet . think may handicapped accessible room base layout size . parent another room presumably class quite bit small , still nice love . concierge helpful bellman polite give great service . also stay Marriott Regents Park early trip hotel 10 time well little money . pay $ 250 / night per room US dollar include taxis fee , like spend , well worth case . my & quot ; complaint & quot ; Marriott well hotel range nickel dime internet service . high speed Internet anyway staff use . say laptop , internet access throw part stay . many hotel cost less . anyway , great stay Marriott London Park Lane . return . 
 Apr 27 2008 	 Great Hotel Great Staff Great Location . 	 impress pre - booking information Marriott Park Lane communication prompt professional . great get check - in one thing let hotel rather unfriendly Guest Services Manager . individual aside , everyone else hotel extremely helpful friendly . room immaculate spacious , bar service great breakfast . pay full rate - use voucher - quite pricy two night . total B & amp ; b rate £ 538 two night think quite steep give experience location , disappointed would go . 
 Apr 26 2008 	 great hotel great location ! 	 stay 2 night Marriott Park Lane , use hotel reward point stay . also immediately give option 100 pound upgrade executive room decline . room 2nd floor inside view side hotel quiet . outside road noise , noise room could hear . peaceful . feel room good size , even american standard . room immaculately clean , wonderful amenity tea / coffee , large flat - screen tv , nightly shoe - shine service . bathroom spotlessly clean great shower . bed bed comfortable great night 's sleep . staff , particularly bellman , helpful give suggestion great nearby pub restaurant . proximity tube tour bus operator big plus . everyone lobby greet we every time come hotel . dine hotel restaurant use room service . overall , would definitely come back - great service , great room , great staff ! 
 Apr 15 2008 	 overall good stay 	 stay weekend . check fine , helpful door staff reception polite although particularly friendly . try push £ 100 executive upgrade quite heavily . decline since experience want claim £ 50 's worth daily detract stay ! room large London standard well design Marriott way . view traffic noise either fine . hotel locate next Marble Arch tube fab location . plenty place get breakfast around problem there . bar expensive service slightly condesende . everything expensive London expect . would stay good location typical Marriott experience . 
 Apr 8 2008 	 Lovely experience 	 arrive Marriott one night stay , change hotel due availablity hotel . 10:00 a.m. , yet give room immediately . offer executive upgrade 100 pound sterling , second , less expensive upgrade 50 . 100 upgrade include large room view , access executive center , breakfast , afternoon tea , evening hor d'ouevre , non - alcoholic beverage . decline . I give room second floor tiny bit view Hyde Park . rest view attractive facade across street . room large , standard , London standard . king bed wonderful bedding . always sleep well Marriotts . desk chair , easy chair , small table , large , flat panel tv . lot channel english various language . bath small , granite top surface . granite behind toilet piece poorly do . consider attractiveness everything else hotel , surprised see granite hole gap . two bathrobe , standard Marriott toiletry . bath immaculate . there tea service , include tea , coffee , hot chocolate , shortbread . two problem there- tea kettle blow fuse . engineering within 3 minute fix give new kettle . want take bath wonderful bath ballistic buy Lush , find stopper tub . send someone one , less 5 minute . turndown service , decline . also free newspaper choose , choice door early . expect London hotel , room service expensive . breakfast 50 US dollar , could also get Run breakfast 10 US dollar . include bread / pastry item drink , pick restaurant . feel GREAT option- wish Marriotts ' ve stay choice . normally would go breakfast- give chance run back eat room . staff exceptionally friendly helpful . although one night , many greet name . concierge helpful . location also exceptional . spoil stay future , although always happy South Kensington past . regret afternoon tea hotel . like try tea different hotel / department store London . ( far favorite Dorchester , Ritz not - so - close second . dorchester block Marriott want try tea- need book . ) would definitely recommend hotel . 
