far 	 great fortune stay Intercontinental Park Lane Hotel , London , last 2 day . Medical Conference , stay hotel ( well cost conference ) pay Abbott Pharmaceuticals ( ' thank ' help produce drug protocol ) . Conference hold ExCel ; 10 stop DLR another 5 underground - leave Conference grumbling distance travel get hotel ! well .... would travel twice distance hotel ! arrive Reception 7 pm , horrible queue check - in , meet smile face lady book . make absolutely reference fact give luxury suite - simply give room ( suite ) key , informed 1st floor ask require anyone carry bag . decline offer carrier ( bag not posh , not want embarrassed ! ) take lift . say , wonder door say ' spa Intercontinental ' get , exhausted throw body door . open door expect see exactly one find every hotel - bed close door , tray near door kettle , trouser press etc . .. oh . actually greet open door opulence ! ! shine black tile floor , gleam wooden door . put light , still sure look , see door front , assume door leave bedspace - , ... ! stunning walk - in wardrobe , bar - area prior ! loo large standard downstairs toilet - area 1st close door . .... open heavy double - door face , find ENORMOUS bedroom , beautiful bed , curve sofa one end , chaisse - longue . Glass finishing everywhere , , think have see , another door huge bathroom illuminate Spa , wet room rainforest shower another loo ! view window ParkLane Picadilly Hyde Park ( splendid German Xmas Market ! ) one main reason write review stay lot place lifetime ; ' ve stun 5 - star hotel SWitzerland skiing , across Europe , Americas wide world . hotel profess probably aspire , none quite deliver , opinion , profess . intercontinental seem play description ! know not expect opulent stay ( 3 - day conference work ! ) expectation fairly low ; however , since ' ve return home find description Spa suite website ! room , incidentally , 106 . really lucky , believe Pharm Co over - subscribe , therefore upgrade . however , seem wonderful staff take enormous pride ensure stay match luxury stay thereafter ! not grumpy face amongst ! lovely lady offer ' turn ' , cheerful Kimberley sort extra night - ( ! ) yes , stay hotel staff see remain ! HUGELY impress night security man , John . unfortunate temporary ' loss ' handbag bar one evening like shot , despite incident hotel . scrutinise CCTV find bag ; remember perfect gentleman ( tell ex - military ; - however think impeccable manner credit personality , rather military background , well hotel ) oh , way , bag mislay - course ! finally , We d 25th Nov , beautifully relax illuminated Jacuzzi bathroom , come ever - so - reluctant check , could believe lovely lady behind desk ( wish have get name - think French ) offer help carry bag outside , also insist leave post come outside walk end road could show Tube Station ! never care attention yet , say , stay high quality hotel life , generally ski leisure . I highly impress wonderful place would give eye - tooth return one day . however , sadly , not think would ever able stay Spa Suite , room 106 ! memory ! thank Intercontinental Park Lane unmatchable hospitality . would love could put picture 106 site , , great staff , really proud ! kind regardslouanne mccabewinchesterhampshireuk 
 Nov 1 2009 	 good night 	 stay one night , find everything ok , room clean , little small , expect London , take advantage Club Lounge , use offere excellent value . compliant we , staff help we excellentwell do ! nice hotel good loacation 
 Oct 24 2009 	 staff let 	 use spend fortune remake hotel staff let . room tastefully do well - equip - small even top end . feel five star everywhere poor service . doorstaff talk open door ; reception staff slow little guest recognition skill ; bar staff almost totally arrogant . housekeeping staff encounter try friendly . upgrade offer Club lounge worth money . housekeeping efficient turndown service hit miss . the overall effect fine hotel need start staff . 
 Oct 23 2009 	 Intercontinental Ambassadors - Beware 	 ' ve Intercontinental Ambassador 3 year sadly ( subscription ) programme get bad . ' ve thousand Priority Club point build many full price stay yet would not allow make reward book hotel - even though score empty room . speak hotel directly not slight bit interested . take - Intercontinental Ambassador Memberships not worth plastic 's print . sadly yet another & quot ; Hospitality & quot ; company drag & quot ; Revenue Managers & quot ; frankly thick hard nosed understand meaning word . advice : boot Intercontinental Ambassador Membership touch next time come grab renewal fee . 
 Oct 23 2009 	 Nice hotel service let 	 book part surprise Birthday weekend girlfriend . hotel grand plush , however service get terrible would expect 5 star hotel . the staff need work customer service skill actually realise rude come across ! main gripe orgainse champagne strawberry room arrival . luck . Rang reception 3 time actually go person speak extremley rude lady reception whose attitude infuriate . book treat girlfriend hotel manage spoil . theatre go ask leave champagne room return . overall nice hotel , bad service ! 
 Oct 21 2009 	 Slept like baby . 	 stay one night InterContinental Park Lane stop travel 28 hour Australia . arrive early morning book room ( one us one kid ) previous night well , reception surprisingly busy check out wait short efficient room time . room be not large great comfy chair , wonderful bed period like furniture . curtain keep rise sun perfectly be not bother noise catch sleep hour . location great child go park run around , close train good selection cafe close hand . still tired room service dinner arrive without incident consume enjoy without complaint . night everyone sleep like baby . check incident free booked taxi wait emerge lobby . 
 Oct 16 2009 	 comfortable stay 	 stay hotel attend function ballroom . check quick easy . stay approx 18 month ago welcome return guest . give room Club floor 7th floor . room clean comfortable spotless bathroom great shower . bed extremely comfortable . definitely would expect 5 star hotel . everyone doorman conceirge great . complaint drink horrifically expensive . £ 4 diet coke comparison £ 11 glass champagne . think will stick champagne represent well value ! 
 Oct 1 2009 	 Perfect 	 stay one night . entire hotel completely renovate , abs we nice . stay renovation well good less perfect . highly recomende 
 Sep 27 2009 	 ` ` WOW Factor '' 	 stayed hotel short theatre break London use point Priority Club membership . hotel great location Park Lane minute walk Hyde Park Corner underground station ( follow sign Park Lane use underground subway ) .The hotel impressive first sight reception lady bit rude ( time , people work really friendly ) . standard king room honest expect get , would get 3 star hotel fancier bathroom , robe ( rip ) , slipper wall paper . room clean bed comfortable turn service night , view onto hotel could see Hyde Park . we get complementary anniversary cake orange nice touch . we eat hotel £ 20 continental breakfast ' comment quality food . overall good stay would nice hotel give we " wow factor " lack . 
 Sep 20 2009 	 Perfect Birthday Intercontinental ! 	 stay 4 night September 2009 Intercontinental London Park Lane . hotel overall well keep clean . arrive London lot e - mail Room controller organize birthday cake concierge desk transfer airport . extremely friendly helpful , really great experience deal . day arrive check inform upgrade Executive Room : amazing room overlook Hyde Park . room good : entrance small table , desk , armchair king bed . bathroom ok , maybe little bit small intercontinental standard clean . room clean . staff whole hotel extremely friendly helpful . always breakfast coffee book restaurant : choice good lot thing . location hotel convenient leisure trip : 10/15 minute foot Piccadilly Circus , 15 minute National Gallery , 15 minute Buckingham Palace 30 minute Westminster Abbey / Big Ben . prefer tube Hyde Park station 5 minute foot . one evening dinner Theo Randall restaurant , food amazing ! fully recommend hotel Intercontinental . 
 Sep 8 2009 	 typical intercontinental experience ... least we . 	 make reservation almost 7 month advance trip use discount / pre - pay website issue standard room , want upfront that … really think use discount website make difference quality stay . warn . regular visitor local Intercontinental , unfortunately location far lack overall experience become accustomed . bed awesome seem IH standard … comfortable . unfortunately , ' stop . call " immediate service line " ask large bucket ice … 45 minute later ( 2nd call ) bring we desert cart / bottle still water recognize anniversary … however , delay somewhat ruin moment . continue experience room - service issue , include delay , loss towel wife bring home housekeeping take … follow - up incident handle poorly . wall seem fairly thin … hear neighbor throughout stay , ask could move room , tell would allowable would get call back … never hear anything . also divide door room … prepare sound . cable tv pretty good nice mixture channel include ESPN America guy need States sport fix . good air - conditioning . the concierge desk extremely helpful … use knowledge . location fine we … hotel locate high - income area seem overly safe neat area tuck away city action . sure visit Audley Pub Shepherds Tavern , come highly recommend true description . restaurant hotel , Theo Randall , great food however overall experience average good due poor / confusing service . ' also convenient Tube location , bus stop bus tour stop well . expect 15 - 20 Euro cab ride St. Pancras train station . if get hotel price ... would recommend , otherwise would suggest look elsewhere . 
 Sep 6 2009 	 great place good location 	 get great rate priceline , absolutely could afford stay otherwise . piccadilly tube line easy access city well Heathrow airport . 
 Sep 5 2009 	 great hotel " effortless " service 	 second stay hotel since June 2009 . first holiday , one business trip . impressed first time even second . great prepaid rate take advantage pay upgrade Club access upon check - in . go smoothly reception staff competent downright charming . throughout stay feel genuine interest quality stay , door man helpful without demonstrate pressure tip , Guido concierge informative give we solid advice shopping transportation ( unlike Rome Intercontinental ) . club supplement include Wi - Fi , breakfast " tea " afternoon , " happy two hour " drink . breakfast remarkable choice cheese , bread , egg " way like " , many hot cold item menu , fruit , waffle ... boil egg perfect first time serve smile . service excellent , efficient " effortless " . frette napkin towelette Club bathroom touch class . one negative : coffee automatic espresso machine Club complete disappointment – folk machine go ! ! ! room bit " space efficient " , feel cramp two large suit case fit easily way . tv could date " build " flat screen work well . nice BOSE radio / alarm clock room , another expensive touch . housekeeping extraordinary make economy room size . every square inch floor impeccably clean bathroom spotless . Saturday morning see young man walk cheerfully one wall sconce next dust / polish thoroughly cloth . really impressive particularly nearly perfect start . connoisseurs hotel represent great value money especially favourable Euro / Pound exchange rate . highly recommend hotel . 
 Aug 27 2009 	 good hotel bit expensive ! 	 second time Ic Londen good service ! superior room partial view Hyde park small ! must difference 4 square meter ( classic room 18 m² , Superior room 22 m² ) difference & quot ; view & quot ; . normally 3 doorman two month ago non . maybe save ? go promotion something full price really expensive ! 
 Aug 25 2009 	 Great experience ... recommend highly ! ! 	 spend week late august last year hotel , fourth time 6 year . staff attentive always ready help second notice . room comfy clean . nice television set , choice movie program , Excellent minibar lot goody late nighter . Club Level one good Intercontinental Hotels . good size lounge , cook order breakfast self serve buffet , mix arab international food make interesting savory choice . staff concierge Club level good encounter many Club level visit . hotel also nice bar good fusion style restaurant , bit pricey , London . Picadilly Street across hotel , well beaufitul park many London 's attraction withe walk distance . experience excellent hotel choice next time travel London . 
 Aug 24 2009 	 small room bad smell 	 stay 28 - jun till 5 - july-2009 … Room 873 never stay many reason … room bad view ( inside building ) , old furniture , poor cleanness level … reception staff promise change 2 day stay ' . staff friendly specially door man guy restaurant . the advantage fabulous location area well hotel like Hilton JW Marriot . 
 Aug 22 2009 	 5 star businessman 3 star everyone else ! 	 great deal 2 room , feel like since receive price break , stay would match price . location good room nice ..... however , 5 star hotel . stay IC Amstel San Fransisco Mark Hopkins , bent backword help make stay pleasant . definitely business hotel . see many people & quot ; deal & quot ; lounge , restaurant .. etc . cater . staff nice helpful . see business patron cater , feel secondary . almost family , fair enough , business hotel , make apparent add . call turn one time never receive . ( Amstel , come turndown regular basis leave treat , water amenity ) . copy another review since seem reflect experience ( hotel might appeal business traveler . not see many family . review appear suites executive room nice , perhaps staff accomodate patron room ) . 
 Aug 11 2009 	 Great go extra mile 	 can not fault hotel . clean room , quiet staff excellent . 
 Aug 3 2009 	 great hotel . good location value money 	 stay two night , Friday Saturday . room , althoughonly standard , good size London standard clean . bed comfy . check staff friendly , wait staff breakfast . breakfast excellent lot variety . would certainly stay . 
 Jul 28 2009 	 Good Comfy stay 	 plat Ambassador stay Intercontintal London must commend Reception staff check check friendly helpful . receive double upgrade nice room spacious , clean comfy bed . complaint 2 day breakfast restaurant service terrible staff badly manage result beg coffee also breakfast take away whilst buffet bar . also quality food breakfast nosedive last year outstanding notice selection less quality product downgrade . would gladly come minus breakfast 
 Jul 27 2009 	 good location . five star ? ? ? 	 Husband business , join two teenage son one week . book two room , accomodate max three people one standard room , utilize roll away . able get adjoining room , even though hotel full . room bathroom small size . nothing special . usual four star amenity . much storage room , place suitcase . week , end stumble around & quot ; stuff & quot ; one forget share bathroom . the room clean housekeeping staff good job . we utlilize 7th floor lounge stunning view offer fabulous selection hot breakfast item , plus usual continental fare . offer sandwich & quot ; tea time & quot ; cocktail beautiful canape plate evening . lounge staff & quot ; present & quot ; certainly attentive . very convenient location . walk shop many tourist site take subway Hyde Park corner . this hotel might appeal business traveler . not see many family . review appear suites executive room nice , perhaps staff accomodate patron room . five star ? hotel , well , fine , worthy five star opinion , thus average rating . 
 Jul 21 2009 	 Glad free night 	 arrive 1.30pm could check 2.oopm , fair enough . go lounge latte cappuccino , bill £ 10 . lounge nothing write home . Stayed Intercontinetal Muscat Oman many time fantastic hotel , perhaps comparrison bit unfair . free night stay Intercontinental group allow we hotel bonus book see show Playhouse . check staff efficient smile give extra information . upgrade business level lounge , find . bedroom adequate , bathroom small . cookhouse cafe ok breakfast good overall choice . check give choice pay £ 30 booking breakfast £ 15 . 
 Jul 18 2009 	 five star price two star service 	 superior room IC London summer neighborhood 500 600 dollar hotel bill five star . review regard price rating . merit neither . service comparable standard four star US hotel like Hilton . hotel perform quite poorly compare IC hotel ( ' m Gold Ambassador member ) Asia even North America . onto service . concierge staff overwork . front desk staff adequate , nothing write home . surprise one room service overprice , nearly $ 25 day internet service bit much . yes , even standard Intercontinental . location good want near Green Hyde Parks , would recommend top hotel bite close Piccadilly . bright side , however , Green Park major Tube stop , intersection three line . bottom line : nothing wrong ic London . nothing special either . five star hotel people know name . staff member not really go way helpful ; even inclination , might time . simply worth $ 250 day . be leisure traveler pay , rip . 
 Jul 17 2009 	 modern peaceful ... amazing suite be rich ! 	 stay friend family birthday treat . outside , quite ugly building , quite nice , quiet location , edge Hyde Park , conveniently next tube station . stay suite double two single bed , also include large bathroom , toilet , lounge large tv , dvd player etc . room beautiful - classic decoration , nice art print , clean , well present . Loved Molten Brown toiletry , nice . arrange , room leave bowl fruit gorgeous birthday cake , one nice ' ve ever ! fresh cram strawberry . find suite quite modern - good that s kind thing like . prefer stunning , tradidional decor , go something like Ritz . the cleaning staff quite rude actual hotel management worker welcome business like . bar staff good , take young sister not seem mind run make mischief ! thing not know worth book quite unless serious money . not get special offer know worker . one night suite around 4,000GBP - not quote though - bit much ! low budget , small room ok , nothing special particuarly . also stay one & quot ; budget & quot ; room seperate occasion , not think would reccomend they . overall , good stay however . nice doorman . would reccomend well , lottery winner business tycoon . maybe friend though ! 
 Jul 11 2009 	 Excellent service great location amazing staff . incredible experience . 	 spend week London girlfriend July 3rd 10th . take red - eye flight arrive 9 , delighted room ready be check immediately . staff extremely kind pleasant . see people vacation may feel place lot business people frequent hotel . however , let re - assure people , hotel lot tourist also ! concierge service incredible ! Caroline Concierge desk help we navigate stay London arrange wonderful restaurant , great tip shop sight - seeing , arrange great last - minute ticket Chicago Cambridge Theatre . true 5 Star hotel , amazing location . gf walk everywhere hotel . stone throw away Hard Rock Cafe , 8 - 10 minute walk Buckingham Palace , 8 - 10 minute walk Picadilly Circus . 
 Jul 3 2009 	 try serve business leisure working 	 stay Intercontinental Park Lane June 14 21st , arrive long flight 9 a.m beautiful hotel odd smell lobby ( cross pipe smoke gardenias ) . pump - in smell get annoying trip wear . doorman snappy front desk personnel efficient room available right away . although inform arrival trip aid anniversary celebration mention make entire trip , would nice . we put 7th floor , club floor , without lounge priveledge somewhat insulting . guess want tempt we shell extra money ( 80 pound per day ) worth we . the room clean , staff cordial distant room service quite good . main problem come noise , mainly lot door slam do staff . lose count 14 slam across hall whilst room readie give try nap . the hotel full business people world understand charge extra 15 pound per day 5 pound per hour internet . room fine worth full rack rate ( pay ) . locate near Hyde Park Corner Green Park tube nice . in conclusion would say clean decent place price stay much well hotel . 
 Jul 1 2009 	 Hotel Par Excellence 	 wonderful stay fabulous Intercon Park Lane . this high class hotel really excellent service club floor really really good main attraction breakfast absolutely par . the room extremely comfortable fantastic music system BOSE television Bang Olufsen , infact find B & amp ; stuff round hotel . the hotel centrally locate upmarket Mayfair area place stay mood splurge would recommend executive room club access . they nice gym working pleasure , would recommend hotel way ofcourse one thing service excellent . 
 Jun 29 2009 	 perfect location 	 Situated Old Park Lane hotel great location , arrival check swift quick - come expect chain . room beautiful good view easy walk Hyde Park Green Park . compare many city hotel large airy huge comfy bed . Breakfast serve Cook Book Cafe extensive . we also eat Theo Randalls restaurant situate hotel excellent . all intercontinental great choice hotel view excellent choice location . 
 Jun 26 2009 	 another fabulous stay 	 stay early May bank holiday weekend . book standard room £ 219 per night include breakfast , Royal Ambassadors , give brilliant upgrade large suite . room ready check rather take temporary room , go shop call hour later . also take Club Intercontinental entry 50 % discount - £ 40 plus vat.this probably 5th stay get well time . room large corner suite . enter , dining area table chair , guest bathroom , living room sofa , chaise longue work/ business area , double door large bedroom . dress area bathroom double sink separate shower 20 big fluffy towel . flat screen tv Bang & amp ; Olufssen Bose Wave radio room . room also bright airy 3 set window nice view Wellington Arch . Breakfast Cookbook Cafe busy buffet , however ingredient quality little card tell bacon , sausage etc come from . we book brunch Sunday , excellent value £ 38ish include unlimited champagne certain cocktail . staff work hard always keep glass top ! food vary Sunday lunch fish dish lot nice dessert . would definitely recommend ! Club Lounge top floor hotel floor ceiling window great view London . afternoon tea nice evening go drink nibble . we cocktail bar later evening , basil martini blueberry martini , cost £ 8 £ 10 , reasonable value 5 star hotel Central London . staff turndown evening leave water bed bed comfortable . good night sleep ever . check efficient . again , brilliant stay already book return . 
 Jun 21 2009 	 Excellent Relaxing Attentive Hotel . expensive Drinks though ! 	 hotel book ' Top Secret Hotels ' 2 week due stay . incredibly get Saturday night breakfast £ 150 . arrive early ( 1100hrs ) . room ready check quick deal efficiently . hotel room live expectation little extra make 5 star hotel stand . use room couple hour go . incredibly return evening room clean again . excellent easy use air con , along large comfortable bed ( great pillow ) ensure great night sleep . breakfast choice fantastic , fresh food relaxed environment eat . staff throughout hotel attentive , friendly know role within hotel . the negative kettle work properly room mini bar extremely expensive ( £ 4.50 mini coke ) . bar price downstairs encourage make use . regardless fact 5 star hotel charge £ 15 double gin tonic . Joe Public use hotel time time ( special occasion ) stretch wallet far . 
 Jun 19 2009 	 Fabulous Freebie ! 	 stay one night June girlfriend ' birthday , use Priority Club point mean could book Classic room free ( otherwise would £ 300 ) . arrival , delight upgrade Superior room honour birthday , 5 minute get room , decorate dessert ice Happy Birthday message deliver – amazing service get room free already ! superior room overlook next door property ' roof terrace Hyde Park Corner mod con – good aircon , fab shower , Bang & amp ; olufsen surround sound tv etc . also surprisingly quiet consider hotel 's location close busy junction central London - not notice traffic noise all . service excellent , friendly attentive – doorman room service reception staff . we ' eat hotel , ' nice walk Green Park past Buckingham Palace bottom Haymarket restaurant book . afterwards walk back St James Park past pond cut Green Park , thus avoid traffic around Piccadilly . would highly recommend hotel afford – sufficient Priority Club point like we ! would say far superior Holiday Inns chain . 
 Jun 18 2009 	 beautiful intercontinental 	 locate centre city walking distance Buckingham palace London eye , Intercontinental welcome London . entry point lobby restaurant ground floor even room feel huge hotel good reputation go . apart staff courteous location nice , hotel exquisite restaurant , amazing food taste bud huge swimming pool enjoy 's come spa intercontinental relax till get daily worry life exclusive massage spa treatment . the room hotel big food awesome , hotel also amazing collection wine locate walk distance London eye Buckingham palace . hard rock cafe lover well , outside hotel end lane want exquisite indian food walk past 4 block reach exclusive indian restaurant awesome food . hotel adherent possible need whether travel alone girlfriend business something keep busy free time . 
 Jun 10 2009 	 Lovely Hotel Reception Fab ! ! ! 	 hotel good location , 2 min walk Hyde Park Tube . friendly staff , reception excellent . get upgrade complementry . room clean nice & quot ; extras & quot ; would expect 5 star hotel ie Elemis product , cd player room , Slippers , Turndown Service , Speakers Bathroom listen tv , Bathroom mirrior do not steam , additional large shower head , etc . do not eat Hotel find fab restaurant Soho call Bistro . food excellent , service quick friendly great value money . I would return Hotel . 
 Jun 8 2009 	 100 % recommend 	 lovely hotel . mum stay Intercontinental Park Lane celebrate birthday . arrive hotel 12 noon . expect room ready find room available we ( 4th floor room 446 ) . check - in fast friendly . room lovely two single bed large flat screen tv Bose radio . bathroom nice size lovely surprise Elemenis toiletry two bath robe . tea coffee facility , mini bar , safe . settle room go explore London . return room mum birthday cake fruit leave lovely touch . we also turn service every night little chocolate leave pillow . breakfast £ 30 per person Cookbook Café could Breakfast lobby around £ 12.50 . breakfast good plenty variety . we evening meal Theo Randall restaurant world . set stylish relaxed , yet staff friendly attentive . recommend try restaurant love it . we travel tube Hotel ( Hyde Park Corner ) tube 5 min walk . I 100 % go back Intercontinental Park Lane would recommend Hotel anyone . 
 Jun 8 2009 	 Good Hotel - Great Location 	 hotel locate within close distance easy reach Hyde Park Corner tube station clearly signpost station find easily . arrive 1 pm - check - in time , however room ready . receptionist inform we upgrade room view Hyde Park please . lobby downstair area hotel lovely , relaxed welcoming feel . bar area smart chair really comfy . good first impression . room average size - huge plenty room two people comfortable . bed large comfortable . noticed room bathroom exceptionally clean , something really feel necessary stay somewhere . decor not taste , however nothing wrong - case personal preference . bathroom not massive yet sufficient size shower rainfall shower - big shower head . toiletry , dress gown slipper also provide . upon return room first evening find birthday card hotel along slice cake ( absolutely gorgeous ) , comice pear box chocolate - think really nice touch . room also get turn evening good . not order room service , however wish bare mind expensive ! one gripe hotel ( minor ) although seem lot staff stand door , rarely open we , small thing would expect 5 * hotel someone door welcome guest . Friday night eat Theo Randall 's restaurant - cheap worth ! opt 5 course taster menu , course exquisite . need make particular mention Amalfi lemon tart - well ever ! sommili seem good knowledge wine waitere staff friendly . restaurant relaxed feel lovely - not feel need really hush conversation - good buzz place . one lady - perhaps maitre ( ? ) - go way helpful - could not manage cheese course arrange take room . earth make feel really welcome restaurant . overall would recommend intercontinental nothing wrong . probably would not stay visit London like try new place bad reflection Intercon . although good hotel , would not say extra special - not 100 % match 5 * hotel stay . also stay Marriott Park Lane prefer . would say look base sighseeing / visit London 's perfectly fine - however big hotel special occasion would probably recommend small , personal hotel . get impression mostly gear tourist business traveller . 
