fantastic 	 Hotel great location , across road New Scotland Yard within easy walk distance Westminster Cathedral , St. James Park Houses Parliament ( whichever direction choose take ! ) superior room book large sofa bed provide child double bed . preparation Christmas underway arrive ideal hotel want kick - start festivity . 
 Great Hotel : victorian elegance 	 Beautiful Hotel splendid historic decor . friendly staff , clean cosy prime location tourist . notice review good price pay competitive decide take gamble well worth . superior room package non smoking room maybe go superior room ? / 
 Nov 1 2009 	 Jolly St Ermins great we ! 	 spend 9 day Jolly St Ermins July . get great price priceline ; upgrade room ( 2 ) . find staff helpful give we comfortable , clean room quiet part hotel -- adjoining . renovate section , doubt . location really unbelievable -- walk Buckingham Palace , Churchill War Rooms , Westminster Abbey , Trafalgar Square . 1 min St James Underground station , 10 Victoria Station . Sainsbury Market 8 min away . tourist , every day , great place stay . 
 Oct 29 2009 	 pot luck jade movie set 	 realise necessity day age , not say want smoking room . surely default position ? heart sink land sixth floor stench stale cigarette assaulted sickening belch . room totally saturate stink old fag - plastic curtain , pillow , bedding ... escape . writing make feel sick . even throw window wide open ( luckily end October mild London ) nothing stir sluggish air . it be amazing stink make impossible settle , hard bed seem lumpy , fruit jelly toiletry obscenely chemical , wall close . everything wear tatty , wallpaper fall away scuffed . feel like room probably whole floor lose heart . although rather large hotel , room move . second night move precisely room format third ( non smoking ) floor . perfectly tolerable - compact , fresh clean . would start with . spectacular edwardian architecture wonderful period detail public space - place ! handy New Scotland Yard civil service land . warn . 
 Oct 19 2009 	 Ask renovate room 	 hotel seem undergo significant renovation . sadly we , garbage bin renovation right window . room fine -- large Europe standard . bathroom fine well . bed -- mattress old , uncomfortable noisy ( sound like cardboard crinkling ) end sleep top blanket give we extra padding . loved location -- 1 block St James 's underground station . plus whenever get lose , easy locate Scotland Yard sign find hotel . hotel seem frequent lot tour group night two create lot noise . 
 Oct 19 2009 	 lousy bed great location ! 	 hotel fantastic location . , not overly impressed 's suppose & quot ; 4 - Star & quot ; hotel . 's & quot ; 3 - Star & quot ; good . room spacious enough bathroom surprisingly large , bed terrible ! upon walk room , immediately see two sink hole comforter . even less comfortable sleep look - not look good ! try switch another room , room show we bad one stay ! choose stay at . while , notice lot renovation go - new mattress deliver ! 's bad could not get one mattress . renovation complete , probably will not bad hotel . remember , location fantastic ! ! ! 
 oct 9 2009 	 west wing fine 	 get great price hotel Priceline . contrary recent report disadvantage , fact receptionist say upgrade superior room . quirky corner room . minus point : mini bar appear lockedtv reception bit ropey huge selection channelsno iron - trouser pressPlusEasy walk Victoria / WestminsterRange pub restaurant near byspotlessly cleanwindows open 
 Oct 1 2009 	 not go ! 	 pay low price ( London standard ) room , use Priceline , ' m absolutely certain give bad room hotel result use Priceline . arrive , informed room two single bed . surprise , since travel alone , say ok . first room ( two ! ) dark dingy , collapse bed . positive point : bathroom immaculate . leave , indicate receptionist room horrible , crack wall , peel paint wallpaper , etc . tell sell compensation would offer breakfast next day . nice gesture , accept , especially since breakfast Jolly St. Ermin expensive . come back late night , decide would take bath relax . surprise : cold water , plenty hot water . call reception desk someone come see wrong . tell bad room ( seriously , never sleep bad room ) , complain ridiculous get Priceline treatment , nice employee tell would see could ( alternative stay , cold water - less room , go shower room renovation , go back room ) . eventually come back key another room , cold hot water . room well ( still dingy ) , least water ! although staff accommodate , would risk go hotel . 
 Sep 30 2009 	 Great Location bad bed ever ! 	 hotel fantastic location price ( priceline $ 100 ) might . could feel spring bed fold side . cheap bed ' ve sleep since college day hostel Prague ( give we sanitary sheet bug . ) would switch stay long one night feel room bad ( bed peel wallpaper ) staff nice . 
 Sep 27 2009 	 excellent location outstanding breakfast 	 wife Sept. 13 Sept. 20 , terrific bargain . room quite spacious , clean crew extra nice , reception people ( hi , Frederik ) attentive helpful , concierge staff help lot ... breakfast -- well , 150 item buffet , WAY average . bonanza . and , admit , location nonpareil -- walk Billy Elliot ( ) Wicked , be right tube station easy walk St. James 's Park , Buckingham Palace Parliament , Westminster , Big Ben , etc . yes , room might tired ( great ) , also air condition . whoa . 
 Sep 24 2009 	 good position generally shabby room 	 stay one night business round corner appointment follow morning . last time 10 year ago Hilton . late experience nothing change . check - in normal London i.e . receptionist could hardly speak English ! room large contain large kingsize bed single bed . Room decorate year , dreary , fade depressing . room generally clean fresh / still damp blood stain bottom sheet pillow nice touch ! kid . sleep single bed hasten add . lift slow , small antiquate - well avoid possible . like general archetectural decor public room etc position good quiet visitor . breakfast hoot , thing newspaper pot tea keep disappear breakfast buffet - Fawlty Towers ? whole , bit fusty old fashioned comfortable . oh yes , mention blood stain check - out receptionist , greet foreign sounding grunt ! leave . 
 Sep 24 2009 	 pretty much ok geat location 	 get low price priceline , think hotel ok . lobby beautiful , elevator tiny , renovation go hallway stinky loud day . first room give 3rd floor tiny outdate small double bed , room crib request . call reception bring we key room 111 , renovate , king bed , plenty space . ask pay . , think meet need without much hassle . crib new room arrive . use hotel 's service , since one night , location really good , 2 minute walk St. James station , close Westminster Buckingham Palace . overall , ok place stay . 
 Sep 22 2009 	 4 star hotel 	 make bid priceline , always peruse hotels star catergory make sure seem acceptable . select area london willing stay , make offer $ 125 / night priceline four star hotel -and nh jolly st ermin accept . give , believe , & quot ; priceline room & quot ; -clos room lift interior room straight motel 6 ... half hotel 's floor refurbish half date carpet , peel dingy wallpaper scream cheap hotel.of course nh happy let we upgrade refurbish room 30 pound night -and give new room -still half hallway update , room update ... though look carefully , see scuff wall , nasty hair carpet world 's tiny sliver soap use sink shower . bed tiny double bed box spring thin springy mattress ... london 4 star hotel look like , would love see 3 star look like ... 
 Sep 19 2009 	 Great Deal Priceline ; happy hotel family . 	 stay 2 night weekend Sept 11 - 13 . hotel priceline low bid . call hotel 3 day arrive let know 1 year old child ask bedding . say yes man phone even say would put we non - smoking room without ask . arrive ( 2 adult 2 child ) wait check ( 4 pm ) . problem check we room 2nd floor . room large king size bed small baby pack - n - play crib already set sheet . perfect ! room overlook entrance hotel quiet . pleased room space offer 2 young child play around . bed comfortable air conditioning . hotel old sign . floor creak room . bathroom clean crack sink wear . bother we . place clean . staff friendly . offer keep stroller reception area want instead drag way room back time . hotel locate quiet location town never hear noise . location fantastic . tube station ( St Jame 's Place ) 1 block away . also starbuck across Tube station . breakfast morning save money . use service hotel evening dinner sleep . spend time day visit London . would stay easily . find charming accommodate entire family . 
 Sep 17 2009 	 Good need well training 	 walk past hotel many time see online deal snap . public area look great get past friendly reception thing go hill . service bar . another party manage find barman try order food . loud conversation kitchen include & quot ; know make sandwich ? & quot ; alarm we . assure food available chosse Tapas menu . alas tapas chef club sandwich cod goujon surprisingly excellent ! dinner , wait staff awful food fantastic . room big stay outside USA need refresh . overall good quite 4 star . Excellet location though would recommend £ 110 per night . also surprising toddler friendly , highchair , cot stffy atmosphere . 
 Sep 15 2009 	 fantasticclean friendly hotel 	 hotel fabulous location literally 1min walk near underground . really quiet middle London . get free upgrade room really clean everything could wish . staff helpful friendly make stay even enjoyable . breakfast reasonable price buffet style set great . definately stay . 
 Sep 11 2009 	 ok worth money 	 yes hotel great location , drastically need overhaul . ' ve stay NH hotel Rome one like night day . yes old hotel , however , check slow - offer smoking room want non smoking room , key room difficult operate - try swipe 5 time key work . bed hard , crockery dirty lift tiny . good £ 149 per night - would say Company get rip ! 
 Sep 7 2009 	 wonderful hotel : Excellent Service ! 	 stay NH Jolly St. Ermins week August 2009 enjoy every minute . location hotel fantastic ... 5 minute walk Buckingham Palace ... truly centre everything happen London ! short walk St. James Park bring financial shopping centre . hotel 's close proximity Victoria St. ( around corner one block ) dining experience shopping need find . special mention Cardinal Walk 's outdoor shopping centre Victoria St -- excellent restaurant shop late clothing store ie . Top Shop , Monsoon , Zara 's etc . I understand previous negative review ... room spacious -- King Size Bed ... something previously unheard London ... bathroom large excellent shower tub . Air Conditioning work time , could reset easily ' overloaded ' shut . room would cool quickly . impressed mod con available hotel give construct hundred year ago . still laugh size elevator ... one fit 4 people 6 people -- quite intimately . another charm historic site ! Breakfast Buffet extensive ! imagine forget anything . full hot English breakfast item 2 kind egg , scramble boil . kind bread pastry could imagine . fresh fruit salad favorite many selection juice nice suprise . sliced Meats cheese salad also available . dine lovely old Ballroom huge chandelier many chandelier around fresco ceiling ... lovely way start day . party enjoy first floor ( really 2nd floor ) balcony patio , overlook front courtyard hotel . enjoy drink end evening nightly great way unwind end exciting day . find concierge helpful -- hotel central pickup point London tour enjoy Bath , Lacock Stonehenge Inner Circle . really memorable day ! thank staff hotel really help make stay enjoyable ! 
 Sep 7 2009 	 Great Hotel 	 stay 4 night last week August . reserve room Priceline.com $ 100 / night fantastic . Priceline give option reserving room 2 people 3 party ( husband / wife 8 - year old daughter ) . contact hotel put request big room sell upgrade we king - size bedroom suite fine we . hotel clean staff helpful . easy walk many historic site include Buckingham Palace Victoria Station . street quiet sleep well . eat one meal food good . would highly recommend hotel even well get Priceline.com . 
 Aug 21 2009 	 great location - great hotel 	 stay Jolly St - Ermins 8 day august 2009 . hotel greatly locate quite street near St - Jame underground , across New Scotland Yard , within 8 minute walk big Ben many major point interest . standard room , fine , Europeen Standards . 
 Aug 19 2009 	 way well expect 	 book hotel priceline deal , review have not great BUTthe hotel great , lovely staff , amazing entrance . great location , close st james park tube easy walk many sight . our room good , huge comfortable bed , good size iron board good bathroom - at last decent shower . certainly would go back happy recommend 
 Aug 12 2009 	 Disappointing 	 first book hotel read 4 star status . maybe 3.5 good . hotel well maintain , 's wing not seem upgrade . 's musty smell hallway forget try fit anything crawl space elevator , TINY even european standard . service not great either , arrive , manage botch reservation , even though book well advance , however able adjust alot negotiation . ok place , rate decent , want something nice friendly staff not go ignore be sit bar / lounge area wait food service , would try place else . 
 Aug 7 2009 	 nicely maintain hotel excellent concierge service 	 3 party , include 12 year old . book thru Priceline , confirm 2 guest . call hotel let know actually 3 , put & quot ; request & quot ; room could accomodate 3 . check problem , give we suite room pull twin sofa bed . bit cramp bed pull , happy could accomodate we without hassle whatsoever . room clean . shower much water pressure , read review , adequate . staff encounter extremely helpful , concierge help we online airline check transportation tip dine recommendation . location hotel fantastic , close Buckingham Palace , Westminster Abbey Cathedral Victoria Street . would definitely recommend hotel friend would stay . 
 Aug 2 2009 	 work hard money . will not waste . 	 surprise reivew traveler hotel around time family stay early July . experience ! arrive shortly noon , overnight flight US room ready , understandable . however , offer free upgrade see other , simply possiblity pay significantly upgrade room conveniently available . decline pay room take see sight check time . spend three hour street exhausted teenager , room still ready return appoint time . sit couches lobby wait . desk man make call ungraciously drop room card table front husband thud -- -which quite feat considering make lightweight paper . having spend business life corporate public relation , instinct seek manager . however , instincts wife mother prevail hustle seek rest room turn tiny somewhat dank . stay London lot fun go -- -but stay hotel . 
 Jul 23 2009 	 nice little place 	 stay week 17 year old step - brother . ran problem first , easily take care of . receive early - check arrive , even get double room upgrade . book standard , receive deluxe free . first problem door card , not work , replace , even fight hotel door night go get open . then problem tv , bad cable , quickly replace we . finally , another night wake sound dripping water . Air Conditioner leak , pour right onto hall floor room . , quickly fix repair man , smooth sailing . breakfast include stay , nice . morning , enough we fill on . staff friendly . one concierge guy remind we Mr. Bean . the location great , could walk everywhere want go , not much trouble find night . quiet neighbourhood night deed . 
 Jul 20 2009 	 bad great 	 fantastic location , close Buckingham Palace , Westminster Abbey Big Ben . in bit business district get pretty quiet immediate vicinity hotel evening . very close St James underground station 's easy get around there . the room feel little outdated . perhaps poor attempt look ' vintage ' ? bed comfortable . look king - sized , two twin mattress push together king sized frame . the water pressure shower weak good day . no free wifi , accord front desk even pay internet guest ( though meeting room could log pay credit card want ) feel hotel definitely come short since really try act like 4 - 5 star hotel . serious hole overall experience not feel get pay . 
 Jul 20 2009 	 comfortable hotel great location 	 return 1 - week stay . pick hotel value central location regret . first time UK . hotel easily accessible Heathrow airport tube one line transfer . take 1 - hr . St. James station locate right next hotel . get 7 - day transit pass use extensively give convenience proximity station . location within 5 - minute walk Buckingham Palace , Westminster Abby Parliament . close store , shop restaurant Victoria Station area . 15 minute walk Trafalgar Sqaure . Picadilly Sq . Oxford Sq . also easily accessible transit , include bus . hotel nice simple . room basic , clean new furnishing . tv old less 10 station . mini - bar stock beware store item get letter tell personal use purchase item within . complaint bed hard tolerable . clean lady also sometimes start knock door clean room early 8 am . sure use Disturb sign , still hear knock door . like breakfast buffet include eat London expensive . however , breakfast ok everyday - easy get bore 3 day . would definitely recommend hotel value , especially tourist seek basic accomodation spend day outside hotel . 
 Jul 17 2009 	 good stay ok breakfast free upgrade 	 really enjoy stay . hotel good location , hide around quiet corner . love old ornate foyer bar . staff pleasant get free upgrade arrival . decor tired corridor stairwell not problem . room lovely , large bed , small perfectly form bathroom . ' ve well breakfast 's London hotel 's really , could not complain . coffee good , strong plentiful english breakfast job . be bit close table breakfast room , hey , be eat . 
 Jul 16 2009 	 Nice Property Air Conditioning well locate get around town . 	 type Hotel London locate near Underground Station , quite street . hotel renovate property identify small room , little bed , significantly less expensive major brand upscale hotel . differentiate little amenity : coffee service room , Air Conditioning ( rare ) , fan ( occasionally ) , tv channel , new decor , WIFI , and/or minibar . for business traveler tourist planning spend much time room , ideal option . cost saving easily cover food bill day . what like St. Ermin 's air conditioning work exceptionally well , room little worn , tv station limit . not care TV Air Conditioning weigh consideration summer . WiFi expensive 17 Pounds day , couple less pound hotel . quality connection good . could carry Skype call end set cost long distance phone expense . there also nice area coffee business meeting make hotel one favorite . tourist location ideal sight seeing . near Parliament . staff helpful fix small problem room . summer choice stay London . 
 Jul 15 2009 	 want room ? ? ? ? ? ? ? ? ? ? 	 husband spend one night hotel . purpose visit lucky enough get invite garden party Buckingham Palace . ideally situate . go away stay hotel , need somewhere shower somewhere sleep . time bedtime come go look point room complain . want 5 star plus go elsewhere pay price . want comfortable bed , clean linen , actually problem water ( like someone else review hotel ) good breakfast , perhaps someone else review hotel tell breakfast self service ..... mean , get tea coffee ! ! ! ! could sit eat long time choice available . smoker odd time stand alone , naturally non smoker would consider one person smoke nuisance ! someone also remark staff helpful . never think majority staff English perhaps never understand rude way talk . patient , kind , job stay place work . I think hotel somewhere would definitely come back want part London . come another country need somewhere close Victoria station Buckingham Palace Jolly place stay . add Room 540 lovely . perhaps recommend hotel . 
 Jul 12 2009 	 awful experience 	 two night stay business . location good reception area impressive . first room low floor dark , dismal small poor lighting tea coffee facility . room service ok though . next morning problem water supply surface - could get cold water shower could easily scald . end washing hair sink . someone else different room floor problem . report reception time housekeeping sort evening - dinner engagment need get ready go fairly quickly . breakfast crowd difficult get attention person serve tea coffee . anyway return evening situation water rectify - although reception say nothing wrong , cold water tap turn nothing come . tell room available . refuse return old room consider unsafe unusable without adequate water supply . ask see someone senior wait miraculously another room high floor ( refurbish ) materialise . big improvement round water work ! next morning however problem water pressure appear water supply shower well describe dribble , although scald least . final insult seem add visitor overnight shape least one mosquito certainly eat well . I would never stay . seem persistent longstanding problem water supply would ruin stay . 
 Jul 9 2009 	 Poor Plumbing General Upkeep 	 pay $ 165 include taxis Priceline one night double bed room wife . room small enough space open suitcase generally get around without bump much . air conditioner work well definitely need spend hot summer day about . the one thing poor room toilet . not seem want flush properly . take ten try able fully empty water tank flush . use toilet lobby ground floor . toilet flush fine generally mess paper waste overflow trash receptacle . another annoyance fact concierge not seem know much surronde area . ask restaurant recommendation could tell we lot restaurant area . also not know times major attraction area open closed admission fee . overall , location great , short walk Westminster Abbey Parliment Square couple minute St. James Park tube stop , ' really nothing special hotel . 
 Jul 7 2009 	 unhappy ask another room ... 	 wonderful location St James Park tube . 5 minute walk Buckingham Palace . great Location quiet Atmosphere . middle everything . drawback room need update . avoid room 252 . floor move walk across . wall window look mildew mold go wall service guy fix Television state wall repaint . not know possible wall wallpaper . able get new room next day well old english charm . 
 Jun 25 2009 	 great location quiet comfort issue solo traveler 	 mini - cul - de - sac quiet street Westminster near St. James Pk , superbly locate , underground , Victoria , far . handsome old building , w / pleasant staff , relaxed service , excellent housekeeping . cost wireless access excessive $ 25 / day , cable tv option limit . room small w / large excellent bathroom . unfortunately hotel designate outdoor smoking area immediately window could not open . issue hotel solo traveler -- twin bed ! ' m tall tiny , ( fall first night & amp ; end wedge armchair subsequent night ) mattress hard , sharp edge . get good night 's sleep important , not . staff not pay attention comment bed . budget run , may able get double room w / large bed . not tall , issue may trouble . 
 Jun 25 2009 	 Excellent location - hotel fine . 	 Ok - hotel great world really deserve poor rating tripadvisor . location fantastic hotel fine . breakfast acceptable regal decor fantastic bar complete open fire 's quite cosy . I would definitely go back . 
 Jun 16 2009 	 want positive review ... really . 	 stay hotel part honeymoon May 2004 wonderful visit . write review 2004 , would glowingly positive . hence , decision revisit hotel 5 year wedding anniversary . book deluxe room online month ago . husband call ahead week visit confirm reservation verify would receive deluxe , non - smoking room . problem . arrive early morning Sunday , May 24 . room available , concierge hold luggage able walk around St. James Park , see Ben Westminster Abbey . return , relaxed lobby bit . give next available room . getting settle , discover room smoking room , entire 6th floor smoking floor . next morning , mention front desk staff promptly offer upgrade . almost seem easy ... pack thing move new room . upon open door new room , notice swelter heat . figure room must vacant time . turn air conditioner leave sight seeing . return hour later , heat still awful discover minor plumbing issue bathroom . call front desk , tell experience issue air conditioner wing hotel . maintanence worker staff night address plumbing issue . quickly offer another new room hall . tell heat situation would , would plumb issue . pack thing , , move across hall . evening progress , get hot hot room . call front desk offer & quot ; portable ventilator . & quot ; open door , discoved ventilator 8 inch oscillate fan . point , every member staff incredibly polite try help make we comfortable much could . however , 2 , awoke find husband cover sweat stiffle heat . not sure husband asleep heat induce coma . get dress go downstairs talk receptionist . place room key counter ask receptionist idea come see 2 ( cover sweat obviously exhausted ) . ask colleague come assist . colleague explain aware air conditioning situation call engineer , since bank holiday , one would come next morning . explain needed & quot ; understand & quot ; bank holiday nothing could do . remind give fan . ( 2 inch fan office cubicle powerful . ) , smile face look computer . point , enough , explain something else not do help , would go home , go online write negative review history hotel review . stare back , ask find situation amusing . quickly change demeanor become much helpful . escort room first floor see like . handicap room without bathtub , much coolor comfortable . thankfully , allow we sleep room next hour move belonging morning . encourage stay first floor , case took long expect fix air conditioning . compensate multiple move ( 4 exact ) give 24 hour free internet service . end little extra . seem room change , internet access code stop work , give we new one another 24 hour . stay 5 night time , air conditioning never fix . one night , dinner hotel restaurant . day later , ask meal charge remove due discomfort inconvenience stay . pass day , outside temperature get higher high make first floor room eventually get warm point keep window drape open . office building across street could see people seat work . one point , tempt knock glass cry help ... hotel staff never receive answer hotel manager dinner charge , come time check , charge meal . ( good move part ) give heart feel apology inconvenience . concierge book we car trip Gatwick airport receive good price . ' m sure end less expensive meter taxi would . much hate say , return Jolly St. Ermin . beautiful hotel great location many pleasant staff member , stay enjoyable . also , not recall hotel offering breakfast 2004 , maybe not include booking not realize available . think regular price 16 pound per person . free , be okay , definitely recommend pay breakfast . 
 Jun 16 2009 	 great location coffin style lift amazing air - con ! 	 friend stay jolly long weekend , read review trip advisor bit worried would think . however nicely suprise , general look build quite old -fashioned inside really well keep , entrance hall dining room gallery balconys period feature . our room really clean air con great , bathroom basic clean- shower be not exactly power shower , complaint . the location hotel great , literally opposite Scotland yard close Buckingham palace Victoria . many surround restaurant shop short walk away . the lift hilarious , small trouble fit four us one comfortably , case separate trip ! complaint hotel , good feature hotel period character , location air conditioning . however think place refurbish part hotel , friend mine stay different part hotel do not rave much . 
 Jun 15 2009 	 Faded Glory Equatorial Heat 	 get Hotel priceline search one - nighter London business . arrival offer free upgrade ' delux room ' . can not fault staff , extremely friendly . also can not fault location St James ' underground round corner short walk Victoria . unfortunately hotel dire need refurb . public area fade tatty place . delux room 6th floor access gain via coffin shape elevator line fade old mirror . delux room fairly large furnished circa 1972 . big issue Hotel boil hot air - con room simply not work resort force window open . delux room basic ; tea / coffee facility , minibar hairdryer . bed comfortable bathroom clean , date . Hotel seem fill japanese italian tourist . I certainly would not call Hotel 4 - star , 3 . would not stay ' ve stay much well Hotels London price . 
 Jun 10 2009 	 Excellent service - make we feel right place . 	 hotel staff make we feel welcome deal every need . disabled use disabled scooter problem . every need meet . good breakfast room service 23.00hours . room good want go back . ideal Buckingham Palace Westminster Eye . 
 Jun 4 2009 	 Excellent Location 	 hotel right next tube & amp ; within walk distance major attraction like London Eye & amp ; West Minster Abbey . check - in staff friendly & amp ; give free upgrade deluxe room . room comfy & amp ; fitting new & amp ; clean . lobby look grand . elevator small charming . 
 May 26 2009 	 Pleasant Surprise 	 stay Jolly St Ermin 's May 9th one night wish stay long . ask pretty room check charming desk clerk give we upgrade . room small like London hotel room , clean seem recently refurbish . bathroom modern well eqippe . breakfast buffet morning extensive serve lovely dining room . be convenient Big Ben , St. James Park , Victoria Station . ' m sure ' m write favorable review would hate hotel fully book next time be London . 
 May 21 2009 	 first time stay 	 little worried read review find comfortable welcome hotel one night stay . regular hotel dweller say stay many hotel small shabby room . my one complaint would lack tea coffee make facility room . 
 May 20 2009 	 Classic London Hotel - good location - good buffet breakfast 	 Hotel across street fron New Scotland Yard - 's within walk distance everythink Green Park - Parlament House etc - Buffet English Breakfast good - hotel belong italian chain & quot ; Jolly & quot ; recently purchase spanish NH - Staff friendly professional lucky get bathroom huge window could wide openend fresh air flow outside - extra tip ... toiletry good - ( hotel air condition ) 
 May 12 2009 	 over - price awful tired shabby peel wallpaper small cramp 	 Unbelievabley poor stay . overpriced , shabby decoration , tatty . it be like step back 1950.the bar open lunchtime , use room service facility ( daft ) .afeter stay quiz 4 star rating . they lie , rate . do stay , REGRET 
 May 11 2009 	 Grand hotel fancy handy sight see 	 complaint first night stay , room tiny cramp hot could not open window let air . complain move big room happy stay . hotel not weem many facility thing evening not mind visit west end etc . get special rate book hotel not put downside hotel see since quite expensive would not recommend pay odd . one massive benefit stay hotel location , perfect spot , really central also quiet peaceful . 
 May 11 2009 	 over - warm welcome friendly staff unbeatable location 	 hotel cater italian Tourists , overheat visitor colder clime . single room well equip location can not beat . St. James underground bus stop within yards hotel . staff wonderful . helpful courteous . restaurant overprice although staff courteous , little uncomfortable single woman dine alone . book Virgin Vacations , not pay full price room , otherwise would steep budget . 
 May 11 2009 	 Blanche DuBois hotel would ! 	 probably bad room stay london since youth hostel day ! enter amazing lobby walk beautiful check desk . well fun stop front desk staff amazingly rude speak little English . step thread - bare capete hallway , find room transport directly 1960s double wide trailer really pretty edwardian building , 1960 's colonial style furniture bleach maple sheet hole linen . Trailer Trash extravaganza ! add retro feel 3 english language channel available lack internet available room . room horrid really really 10rth , heck give place 4 star rating ? 
