meet 	 NYC Thanksgiving parade , etc . family 12 include four child age 6 - 10 . hotel open early 2009 new . hotel 8 room per floor ; four room face 40th Street four room back hotel . four room 27th floor . two face 40th Street two room back hotel quieter . suggest request room back hotel high floor quietness . room size fine , clean comfortable bed pillow . hotel three elevator even though hotel full wait elevator long . free breakfast fine ( coffee , hot chocolate , juice , fruit , cereal , toast , bagale , muffin , biscuit egg meat ) . free breakfast nice benefit especially kid . breakfast room size fine . 40th street nice always feel safe kid never problem . subway stop ( 40th Street 8th av . ) within 150 foot hotel ; also walk underground subway stop Times Square station great . hotel next Sheraton Four Points , new hotel build side Fairfield Inn . hotel across street major bus terminal easy get cab . 5 night , stay fine , problem hotel . hotel fine family want bring kid NYC . safe , clean comfortable . 
 Jul 3 2009 	 new hotel attractive clean air conditioner drive crazy . 	 well locate block south Times Square hullabaloo , reasonably price hotel lot offer , note reviewer . bed pillow extremely comfortable , room bathroom small adequate clean , staff quite friendly accommodating . however , drawback . adequate breakfast could greatly enhance addition fruit apple banana . towel thin barely dry . bad room ( central ) air conditioner , cycle great noise , awaken several time night require frequent volume adjustment tv volume . cool cycle , fan go well , cause uncomfortable stillness . inquire receive response . 
 Jun 25 2009 	 Nice Conveniently Located Hotel 	 stay June 20 - 23 . review read book hotel accurate - nice hotel situate nice street . however , never bother anyone , 1/2 block either direction be 8th avenue time square , restaurant row 9th avenue . close theater , Broadway . always police present corner , never see disturbance take place . room nice clean . Smaller would probably location world , small comfort . staff nice welcoming . appreciated complimentary continental breakfast every morning . enjoyable stay . want get nice hotel room least amount money - place . 
 Jun 22 2009 	 great hotel Great NYC price 	 low tier Marriott 's , husband think wonderful hotel . decor mode warm burgundy beige color , bed amazing view well expect . love cool look bathroom glass shower door . thing could improve size restaurant offer free continental breakfast . able sit wait minute seat . , bite mad house . breakfast sandwich make protein option . staff professional ... overly friendly . overall , love make choice hotel go NYC . 
 Jun 16 2009 	 great hotel want close time square 	 clean nice hotel . 1 block subway take anywhere . breakfast fine . Jimmy Dean biscuit , cereal , bagel , yogurt , fruit . elevator fast . need worry safety . many people around problem . neighborhood little seedy 1 block . enough make feel unsafe , bit shady . would problem let 16 year old walk street alone . 
 Jun 12 2009 	 convenient ( relatively ) cheap 	 hotel experience , say , Des Moines Durham might rate enthusiastic review . , hotel always problem we NY . be generally expensive small family . one neither problem . although lobby corridor tight , room comfortably spacious , clean surprisingly quiet . free breakfast , particularly memorable , adequate fine kid -- fruit , bagel , cereal , microwavable egg mcsomething , etc . front desk staff extremely courteous helpful . arrive 10 a.m. , inquire stow luggage , instead allow check additional charge . 's also convenient fool like insist drive Manhattan -- 's two turn four block Lincoln Tunnel . parking garage quite affordable NYC standard ( $ 24 25 hour , validation hotel ) -- attendant quite helpful realize accidentally leave camera roof car . also , plenty good cheap eat within walking distance , easy walk theater district . will back ! 
 Jun 10 2009 	 Immaculate Rooms ! ! ! 	 hotel immaculate , room immaculate . impressed ! ! hear , see news report bed bug infestation New York Cityhotels , must admit , nervous booking hotel . hotel onlya month old , put mind ease arrive . room small , however , cleanliness number one list . decorwas classy . bathroom prettiest hotel room stayedin ( New York , New York Las Vegas ) . shower taupe , tanmarble look , surround see thru glass . furniture , carpet , everything perfect condition ! ! love ! ! ! 
 Jun 6 2009 	 good value location 	 go long weekend Manhattan . got nice rate . great location block away subway entrance , short walk Times Square , etc . free Internet breakfast make great value . property almost brand new , room pretty big Manhattan standard price range . would definitely stay right rate . 
 Jun 5 2009 	 Excellent Value 	 beat price Marriott property within walk distance Times Square . room would expect NYC - somewhat small , perfectly appropriate . hotel still fairly new , furniture good shape . internet service excellent . little creeped NY Parole office step hotel , one bother we walk . street full adult type venue , travel kid may bother . place NYC , construction start around 8 am get quite noisy . still , great price mid town Manhattan . 
 may 22 2009 	 good value NYC 	 pleasantly surprised arrive Fairfield Inn . arrive mid morning expect put bag storage three room ready . room huge typical NYC comfortable well appoint . bed comfortable room look like recently decorate . clean lot towel , etc . staff friendly helpful . hotel right Times Square block walk actually like location . bit way bright light noise . close subway . 
 May 18 2009 	 good value ! 	 be Marriott member , probably will not find well value well location Brand New hotel . Opened February , smallish room , first rate respect . king room squeeze 3 person , convertable twin bed couch / lounge chair . air conditioning work well , nice digital tv ; excellent service . the breakfast room small , consider many room hotel . not surprised wait 5 minute table open . Breakfast include , need add another toaster . line toast bread , & quot ; prime time & quot ; 5 - 6 person wait . otherwise continental breakfast pretty basic straightforward . the Fitness Center brand new equipment tv attach . good high speed internet room , free . the comment will make neighborhood midst change . hotel directly across street bus station . 's safe & quot ; sketchy & quot ; . keep walk . encounter problem . would stay , keep price low . 
 May 12 2009 	 good value money 	 fairly new hotel advantage ( furniture new perfect condition ) disadvantage ( construction still go , staff always fully equip ) . good hotel need neighbourhood . free breakfast ( although , basic ) free internet access ( wire room , wireless lobby ) , make good place stay couple night . staff willing help friendly . complaint hotel . big , street locate may good town , , price reasonable . 
 May 11 2009 	 good hotel ! 	 room clean confortable . big space ok . four.person ( two adult two teen ) street bad allway Taxis around . could reach Times Square 12 minute . breakfast good choice bit crowd around table . we would stay ! 
 May 6 2009 	 good value money 	 stay 5 night business trip . sure Marriott Renaissance Hotel , much offer average Fairfield Inn . currently little bit hide construction next door , cause much extra noise ( even hear room ) . room small , still enough space walk around room . furniture decore much well Fairfield Inns ( Marriott / Renaissance ! ) . room end 1 - 4 face street get room floor 10 overlook building front ( Bus Terminal ) . stay floor 28 nice view Times Square building hudson river . stay side ( room 5 - 8 ) building little bit close , wall front window ( like exepensive hotel already ) . even see Empire State Building leave side . 3 elevator stop every floor . never wait 1 minute . breakfst serve till 10.30 11 weekend . regular Fairfield Inn breakfast never run anything stay . every day problem get table breakfast area , even little bit crowded . lobby area 3 pc printer without fee ( perfect forgot laptop need print boarding pass ) .The gym also little bit big know Fairfield Inns e.g . Florida ( free weight + stepper+bike+crosstrainer+tv every machine ) .I see other complaint location . well , 3 - 5 minute away Times Square , maybe 3 minute next subway Alamo / National also 3 minute away . walk 5th Avenue every day ( 38th St. ) take 15 minute . adult stores area , everywhere New York . police always present next corner front Chase Manhatten Bank - never feel unsecure . overall consider rate get ( usd 139 169 ) would defenitely return hotel . 
 may 3 2009 	 ready yet 	 Hotel still construction . room small , comfortable quite . need ( tv , internet , etc .. ) . almost storage room do not bring lot cloth ... stay 6 night . breakfast substandard breakfast room close stay ongoing contstruction . hotel staff helpfull , e.g know get hotel Newyark airport , even ths bus termial across street . the location great subway front hotel , street little bit dogy ... enjoy ourr stay would come back . 
 Apr 30 2009 	 great location great value . 	 get back 4 night stay Fairfield overall great experience . great thing would say location . never New York , really enjoy Times Square . able send kid day let roam shop like toy r Us , & amp ; 's Store , Quicksilver etc . area safe lot within block . we book NewYorkGuest.com get good deal Broadway ticket bundle stay . see 9 5 , also excellent , hotel close enough could walk show . lot good dining area well , lot local establishment 9th ave . overall find hotel clean comfortable . staff accommodate , free breakfast great well . save one meal really make difference New York , food place fairly expensive . really get lot money , probably stay come back ny . 
 Apr 19 2009 	 good hotel ; great street 	 thing wrong hotel street . dirty little dodgy ( adult shop , liquor shop ) 8th Avenue end . construction go street also put off . my gripe would breakfast include room rate - hot breakfast . bagel , muffin , coffee serve paper plate plastic cutlery - classy mean . but serve purpose us - nice sized room good location - minute walk away Times Square , Madison Square Garden , Empire State Building , Macys , Broadway show , Pier 83 ( Circle Line Cruise ) - 5th Ave , Central Park $ 5 cab away . cab rank right around corner front Port Authority - handy . also mini - gym downstairs ( 2 treadmill , 1 bike , 2 cross trainer , dumb bell , swiss ball ) great want burn fast food , 24 diner calorie ! rate also competitive other check . 
 Apr 19 2009 	 Hotel meet need ! 	 juste want clean , inexpensive , comfortable place stay get . conceirge helpful , even provide we umbrella . 
 Apr 18 2009 	 great hotel . 	 mom New York see show sightsee . get past street , bad , hotel great ! check , breeze , headed room see 8 room floor . kinda get little nervous . not bad . not hear much noise . room comfortable clean . yes room small ... hey New York ! like free internet . get talk friend back home check email . service nice . Breakfast ok , could well . elevator fast . 3 4 min walk Times Square . overall think hotel great . stay ! 
 Apr 17 2009 	 great value 	 brand new hotel near Time Square conveniently locate . subway station 2 minute away Theater District within walking distance . street look worrisome safe walk around even night . great value closeness Time Square want stay & quot ; & quot ; street , would need pay . would go back . free breakfast quite convenient start day . 
 Apr 9 2009 	 Clean Quiet Rooms 	 would love clean street . think 's great . service would expect Marriott amenity nice . … comfy , affordable , quiet , clean . be need , shop watch show time . 
 Apr 9 2009 	 place will come back . 	 hotel new , room ok , small room Residence Inn 6th Ave . closet much big hdtv room . hotel side street , dirty street next door New York State Parole board , row adult video store . willing see past , near Time Square 9th Ave , reasonable restaurant , subway . staff bad Marriott property stay , pretty indifferent , clinical helpful . self - service / coin operate launderette ( in - room information guide mention ) . sure be NY practice , provide dry - cleaning service , regular laundry service . piss take laundry Front Desk , pick room ! breakfast nothing shout breakfast area often full place sit head slightly later . not place will come back . 
 Mar 24 2009 	 great Stay Fairfield Inn 	 18 year old daughter love Fairfield Inn ! New York City shopping , museum show . hotel comfortable , although room small side . hotel open two week everything clean bed comfortable . staff helpful friendly . breakfast good large variety item coffee available day . location close subway stop right across street corner 40th 8th avenue . would love stay next trip . 
 Mar 23 2009 	 quite ready Prime Time 	 property new . room small hotel situate unappealing , noisy , dirty street alongside New York Port Authority next door New York State Parole board . feel threatened time want part 40th St. long . hotel clean , attractively appoint , comfortable much crammed small space expect New York City . staff pleasant helpful , keep expectation Marriott property . room make 4:30 afternoon ready rest awhile busy day . half block away 9th street many excellent expensive ( NYC standard ) restaurant . 
