great 	 you´re bothererd fact toilet outside room share guest floor , it´s issue . you´re cuty luggage , won´t problem either . NYC many time , there´s need stay midtown anymore ... make hotel location perfect . it´s charming place owner really sweet person , always smile face . it´s spotless housekeeping really nice work . room cozy , small , tiny window make bit claustrophobic ... anyway - pay $ 150 taxis well locate Manhattan sometimes worth . 
 Jan 4 2009 	 Torturous Stay - > learn hard way 	 & quot ; upgrade & quot ; without knowledge charge . stay three day . room dungeon street level . wall paper thin , quite bit noise guest . room clean . spot appear blood sink bathroom , clearly never clean wall doorknob bedroom . sheet towel threadbare - literally - hole . brown stain streak set sheet infest . temperature control room . mercy guest we . first two night freeze last night roast . reason decide clean room second day . surmise cost saving measure . we stay New York 9 night not 72 hour no - cancellation policy would left first night . stay much comfortable squeaky clean hotel $ 80 less night ( book hotline dot com ) hotel service whatsoever . 's basically motel parking . mean 1 star . feel rip point . 190 / night room convert basement absurd city . life explain experience . read previous review carefully expect charm . alas case . leave suspicion hotel spamme board large number review . would unequivocally recommend establishment . many comfortable clean hotel New York number guest service less money merely take time shop internet number web site . 
 Dec 31 2008 	 wonderful place stay ! 	 Chelsea Lodge attractive brownstone building , conveniently locate 2 block e train . arrive foot walk empire state building via Union Sq . Park . although take we 45 min , surprise centrally hotel locate - use subway though ! arrive early check , not problem show clean airy room . small , large window make light . stay one night plenty space . read much New York hotel room size expect sardine tin pleasantly surprised ! room good shower , basin toiletry . also room hang clothe stow bag , tv.share toilet not problem never wait even 7am . overall pleasant stay Chelsea Lodge really amazing value . would absolutely recommend . 
 Dec 30 2008 	 real gem 	 big thumb I . my 10 night stay great . give room look onto back courtyard large window let alot natural light . room small , one person enough never feel claustrophobic . there enough storage space store thing without cluttering room . heating keep comfortable level neither hot cold . room clean daily abundance fresh towel deliver daily . bed fabulous ! 's firm matress ( love ) sleep like baby every night . water pressure shower goo dand communal toilet spotless . staff helpful neighbourhood great . far away anything transport link plentiful . be pay phone lobby selection tourist brochure choose . take photo see website get . I thoroughly recommend place next return NYC would hesitation stay . 
 Dec 28 2008 	 Chelsea Suites place 	 Chelsea Suites awesome place stay . great neighborhood close many great shop restaurant . bus subway super close . stay parlor suite close street . drawback street noise . would recommend suite street good experience . wait go back . stay New York . 
 Dec 22 2008 	 peaceful room buzz city 	 stay hotel late April/ early May , one ordinary room 1st floor . get marry Central Park May 1st part stay honeymoon . Alltogether stay 7 night could easily stay long . it small room queen size bed , open closet , drawer , small tv , wash basin shower . window face back garden . room ( 5 think ) one floor share two toilet perfectly clean time , room . towel change every day throw floor , shampoo soap provide need . hair dryer , buy one 25 dollar drugstore corner ( travel model use 110 220 v ) .The style interior design old american country classic suitable classic brownstone buildning . street calm quiet , neighborhood contain people walk life lot good breakfast lunch , coffee , dinner bar choice . also , movie theatre , shop riverside walk sort sporting activity . several subway bus line close . staff quick helpful luggage , answer question leave message someone phone we . highly recommene romantic get away , get married NYC , chelsea flower shop araound corner . 
 Dec 17 2008 	 Great Place stay NYC 	 Chelsea Lodge great place stay visit city . husband stay two night , second time ( also stay May year ) . hotel close restaurant subway , quiet tree - line street . room small , comfortable . sink shower room , share toilet . room cozy clean , staff quite friendly . find room little bit cold December . definitely stay ! 
 Dec 11 2008 	 little gem Big Apple 	 fantastic cosy small hotel peacuful neighborhood . fantastic location near subway station lot great restaurant around . the staff friendly decoration remind doll house . the bathroom corridor , never problem . always immaculate available . I will return Chelsea Lodge next trip NY . sure ! 
 Nov 29 2008 	 highly recommede 	 return 6 night stay Chelsea Lodge nothing positive thing say stay . the accomodation clean , traditional feel homely . room 2nd floor do not seem small review state , take 2 bag rather suitcase enough drawer space unpack put bag bed way . bed really comfortable welcome relief long day sightseeing . shower sink room work well never problem share toilet , 2 floor spotlessly clean always free . see one two guest stay go toilet middle night do not cause problem either . do not hear pipe bang people state maybe lucky hotel room warm cosy need bitterly cold day . the room everything need small Tv enough selection cable channel relaxed evening , complimentary toiletry clean towel provide everyday . room do not provide safety deposit box can not imagine would ever issue staff friendly work year , keep valuable locked bag work well we . James reception helpful patient answer query give useful advise shop etc . we stay parent 60 's enjoy equally much do . the hotel excellent location 5 min walk 2 different metro station also walk time take 35 min walk Times Square . find walk good way experience New York easy follow road parallel , get good map go will not get lose . be warn however arrival airport 4 we decide get taxi , do not go driver approach inside terminal be not insure generally , offical taxi outside cost we 70 $ include toll get Chelsea Lodge . 2 travel get Newark Air Transit Newark 15 $ per person single journey taxi Penn station Chelsea Lodge 5 $ although taxi journey arrival take 30 min ( much traffic arrive ) train take close 1hr 30min hard work luggage leave . get around New York easy , walk everywhere day mention would take metro back evening . get 7 day unlimited metro card 25 $ pp , single trip 2 $ use within 2 hour purchase 4 ride ticket 7 $ use within 24 hour . feel perfectly safe wherever take metro home night do som much walk day . taxis 2 travel would work cost effective also inexpensive however take we flag one rush hour metro would get destination quick . make sure get right train right station train go station , line available show top step metro station , go purchase ticket swipe go turnstile , ticket use trip you ve buy singe trip ticket find wrong station invalidate . also make sure know need uptown downtown do not end wrong train - seem obvious know disorientate arrival . sightseeing : go Top Rock , fantastic day , cold Empire State Building plastic sheeting round - do not spoil view , 3 level give 360 panoramic view 19 $ pp entrance do not queue long . visit Empire State Building dusk , beautiful building go dark night skyline amazing , cold do not spend long would recommend visit entrance 19 $ pp . visit New York fire museum Soho 278 Spring Street small fascinating artefact seperate room dedicate 343 firefighter lose life 9/11 , entrance 5 $ pp . take free Staten Island ferry see statue liberty , get close enough get really good picture well great picture look back Manhatten skyline . central park oasis calm amongst madness , spend 3 hour walk round enjoy serenity , visit Strawberry field John Lennon imagine memorial place Yoko Ono , infront Dakota Apartments live shoot outside . zoo small nice place spend half hour , 8 $ pp . World Trade Centre visitor tribute particularly move couple small room cram artefact twin tower photo die result terrorist attack entrance 10 $ donation , could guided tour survivor relative 25 $ pp last 1 hour mean give personal insight event . shopping - fantastic allow least one day shop , go Macy 's Bloomingdales go visitor centre balcony level passport 11 % discount card . Macy 's souvenier basement , great price jean be not expensive would expect . M+M world Times Square , would not believe merchandise could get 3 floor , Disney store really magical Build Bear , even be not usual place visit seem special New York . find Footlocker good trainer / timberland boot etc one large store Times Sq one opposite Macy 's . Virgin megastore Times Sq also real bargain . cheaper clothe shop Old Navy although style abit unusual great top / jumper etc . one piece advise try get list many restaurant travel , tired long day shopping last thing want walk around look somewhere eat . eat Chelsea find least half price anywhere close Times Sq . breakfast Toasties 7th ave 22/23rd really cheap ( do not look great outside food amazing ) empire diner 10th ave 22nd , recommendation Galaxy diner 8th ave 19th . evening eat dish couple time literally 2 min 8th ave hotel price really resonable choice good food excellent also Lasagna ristorante mainly lasagna food really good abit expensive . also find great rib house / bbq close either 18th/23rd metro sorry do not write address excellent food good price get busy abit noisey . starbuck really cheap warm drink refuel day do not much seating - avoid toilet be not particularly clean . public toilet case find shop - Bloomindales 5 * small coffee shop etc . the Chelsea Lodge ideal excellent value money homely base see New York , would not hesiste recommend planning go back couple year would definatly stay again . if question please hesitate contact , amazing time New York fantastic make sure allow enough time everything , 6 day right . 
 Nov 19 2008 	 wow hustle bustle ! 	 stay 5 night 13th November . lovely cosy room behind reception quiet night ( take ear plug expect need ' ! ) . love location personal touch hotel . staff lovely rooms/ toilet clean , warm homely . hardly ever see another guest . share toilet problem . room compact , need space room ? look forward come & quot ; home & quot ; sanctuary busy day city . lodge close great restaurant amenity ! can not fault it – would gladly come back . 
 Nov 19 2008 	 great place excellent value money 	 place clean good location , feel safe share toilet work fine . staff helpful give price can not complain room small ( save small fortune compare price hotel ) . perfect trip , spend money enjoy new york rather fancy room . would deffo come back . 
 Nov 13 2008 	 Loved ! ! 	 live New York ( long island ) husband want stay city labor day week end . do not want spend much , find lovely hotel also price reasonable . room small.but consider would not spend week end room . .. perfect , clean , staff nice . would recommend hotel . also emplacement perfect , near everything . wonderfull stay ! 
 Nov 8 2008 	 great little place - excellent value New York 	 Excellent value place Chelsea . room small wc share everything spotlessly clean , staff really friendly less $ 150 great location , can not go wrong . 
 Nov 8 2008 	 New York 's little secret 	 stay Chelsea Lodge 5 day 25th October 2008.great location couple stop e line Madison Square Gdn Times Square , Central Park & amp ; Battery Park - Hint buy $ 25USD metropass 7 day unlimited subway travel . local Shops Restaurants also around corner ' the Dish ' good breakfast . we room 3rd Floor clean , tidy comfy normal sized double bed . room hang space clothe , 14 inch flat screen TV & amp ; shower corner . Toilets hall - know come - clean soap dispenser tile floor air freshener ( case ! ) .Room clean everyday good standard window look cover courtyard - not use judge weather ! Chelsea Lodge everything need NYC explore time warm room bed want end day . 
 Oct 27 2008 	 Fantastic ! 	 stay Chelsea Lodge 21 - 25 October . arrive yellow medallion taxi JFK airport ( cost around $ 55 include toll & amp ; tip ) . taxi stand across road outside airport exit even though queue patrol warden move efficiently . hassle leave airport take private cab / limo Manhattan , however , warn driver 's always insure . firm & quot ; thanks & quot ; need let know interested . it help note lodge address piece paper hand taxi driver end right place ! taxi journey take around 40 minute ... prepare mad driving though ! lodge reception lovely welcome man reception warm friendly help we case room . one basement room en - suite toilet / shower facility . room clean functional well expect price pay . tv cable also plenty hang space wardrobe . shower load hot water . bed average size honest would sleep anywhere travel / walking ! noisy pipe room wake we every morning around 6.20am , however , not bother we want early . room also really warm . ceiling fan open window let air circulate . room clean towel change daily basis . overall love unique feel decor feel homely souless hotel chain . chelsea great base stay . good handy place eat Dish also Lasagne Restaurante . also like Stage Door Restaurant breakfast corner 8 Ave & amp ; 33rd Street . lodge around 20 - 25 minute walk Time Square . walk nearly everywhere good comfy walk shoe essential ! also get cold take warm layer clothing peel layer sun shine . Fifth Avenue must shop , however , like Abercrombie & amp ; fitch like nightclub clothing store ( maybe get old ! ) comparable & amp ; F store visit . fact dark mob not help suppose . taxi back lodge 5th Ave cost $ 12 - 15 depend traffic . we also go & quot ; top rock & quot ; ( Rockefeller Centre ) fantastic bright sunny day . cost $ 30 pp well worth see Chrysler Building also Empire State even Statue Liberty . view amazing . the Chelsea Lodge reception order taxi departure trip airport leave 4.30am cab turn timeously . I would recommend stay Chelsea Lodge , ever lucky enough go back New York would stay without hesitation . 
 Oct 26 2008 	 Chelseas Secret 	 stay Chelsea Lodge 4 night base review Tripadvisor , give first floor room room quite small nowere suitcase however expect used room get ready sleep friend stay Raddison Lexington Avenue room nothing write home pay $ 375 night . great location away hustle bustle times square stop away subway . do usual touristy thing would recommend hop bus tour take everywere $ 49 gr8 value . do not excpect Waldorf booking want central gr8 valus hotel Chelsea Lodge perfect 
 Oct 24 2008 	 work well senior 	 Chelsea Lodge work well we . stay 4 night inNew York . 70 place 2nd flooracross toilet . find clean , personnelhelpful . still warm enough heat , attest heat register noise . front andcould hear school child wait bus . get adifferent perspective New York . Enjoyed would stay . 
 Oct 17 2008 	 great place stay ! 	 book 3 night Chelsea Lodge read trip advisor review please . location price , go wrong ! would suggest confirm room one upper floor . place room next front door recption , little noisy , huge problem . manage move we last night upstairs rooming overlook back preferable . find clean well maintain . would echo advice stay Times Square . feel like experience real NCY stay Chelsea convenient see rest Manhattan . 
 Oct 14 2008 	 wonderful Chelsea Lodge 	 Chelsea Lodge great place stay heart New York . find great value money . shortage place eat immediate area , attraction within walk distance short subway ride . the room small comfortable clean . problem share bathroom facility ( though initial thought bit scarey ! ) ... find staff Lodge helpful accommodating . would hesitation recommend Chelsea Lodge traveller look good , clean affordable accommodation New York . 
 Oct 13 2008 	 Great Location 	 choose Chelsea Lodge read review TripAdvisor . ' great location , convenient uptown downtown subway stop close . would recommend second floor garden suite basement one , much well lay brighter . Overall 's great value money . my one problem quality cleaning service ; stay 6 night floor vacuum , bed make properly linen not appear change . 
