wonderful 	 completely satisfied hotel . room amazing , love kitchen area complete fridge , microwave , stove , dishwasher . everything spotless clean loved huge bathroom . location quite nice ( ten minute walk heart downtown ) Harry Carey 's House Blues across street . staff kind helpful . free breakfast , evening appetizer , evening drink excellent bonus . stay ! 
 Aug 7 2009 	 love hotel -- -the room location experience great . 	 stay Residence Inn Chicago Downtown / River North 3 night . happy size , layout , quietness room . 19th floor beautiful city view window . location perfect shopping Magnificient Mile block away restaurant plentiful within walk distance . public transportation short walk across river hotel easily make museum without much extra walking require . employee helpful provide tip dine available direction . negative comment would cost parking $ 44 per day , Chicago . 
 Aug 6 2009 	 pleasant surprise ! 	 stay Residence Inn , Chicago Downtown , River North , husband attend conference . hotel conveniently locate public transportation many restaurant within walking distance . room spacious , immaculate , amenity . room suite , large sleeper couch , arm chair , full kitchen . full kitchen surprise . full - sized refrigerator , 2 burner countertop stove , microwave , utensil . full , hot breakfast serve daily well dinner Monday - Thursday . expect hor d'oeuvre one night lasagna , salad , bread , wine beer , dessert . next night chicken Caesar salad mention item . breakfast dinner would certainly save family lot money ! hotel exercise room indoor pool top floor , free access internet lounge / dining area , comfortable lobby helpful staff . share entranceway Springhill Suites , another Marriott property . not think guest Springhill manager 's dinner include stay . would definitely stay Residence Inn . 
 Jul 14 2009 	 well good Chicago 	 stay nice hotel , one top . family vacation stay 4 night able see everything want Chicago location . Jerry , General Manager 's professionalism show employee . surprised abundance breakfast afternoon buffet , friendly staff dining area , especially Cindy always recognize name , Sara constantly smile ask could anything we . truly great value money ! would certainly recommend hotel anyone want stay downtown near attraction . location make perfect walk nearly everything want see . 
 Jul 12 2009 	 great stay 	 Residence inn nice surprise . check General Manager , realize run hotel , go great stay . room exceptionally clean , spacious , nicely decorate . breakfast morning yummy contain lot choice . finally , location Residence Inn can not beat . great restaurant , shop , bar , within walking distance . stay . 
 Jul 10 2009 	 wonderful hotel ! Nicer house ! 	 spend 2 night want leave ! everything great -- staff helpful friendly , room beautiful clean , pool refreshing ( little crowded wild child ) , breakfast manager 's reception evening let we buy lunch really help wallet ! general manager Jerry nice staff follow lead warmth hospitality ! Jerry early morning clean table people could sit evening greet people pour beverage -- man love hotel truly show ! would highly recommend stay certainly stay next Chicago trip ! complaint would pillow soft sleep great anyways ! 
 Jul 6 2009 	 great staff great location 	 stay 4 night business trip Chicago . excellent customer service ... staff encounter friendly accomodate , doormen front desk housekeeping . one bedroom suite modernly furnish couch / chair , desk dining table . Kitchenette fully stock clean dish utensil . plenty space 2 people spread comfortable . room clean quiet ( random & quot ; city & quot ; noise , siren , etc ) . Breakfast great include scramble egg , waffle , cereal , fruit , etc . cvs block away want stock snack , bottled water , wine , etc . lot good restaurant nearby also . great location , within walk distance Millenium Park , Michigan Avenue Navy Pier . not need car entire stay , walk take taxi . Valet parking $ 44 day . will stay next visit Chicago . 
 Jul 6 2009 	 great hotel location 	 get great rate ( $ 119 per night ) Marriott.com . great location walk distance number good restaurant ( Gino 's East , Portillo 's , Al 's # 1 italian Beef , etc . ) . free Navy Pier trolley pick 2 block away cta bus stop right across street . 6 block near EL train station ( get either airport ) .Room clean ( maintain clean throughout stay ) . fold - out sofa directly across bed . would ' ve nice behind partition somehow little sight . king size bed comfortable , feel fresh every night . full - size kitchen full fridge , sink , microwave dishwasher . view room great . noisy ( like ' ve hear hotel ) . course , top floor may explain it . service OUTSTANDING ... arrive shortly 10:00 expected check luggage could sight - see checking . however , let we check 5 hour early ! also ask high room get high ( 26th floor ) . multiple door man sidewalk always speak friendly . front desk crew courteous . would definitely stay ! 
 Jul 3 2009 	 great two bdrm suite 	 book two bedroom suite girl weekend June . ton space plus two bathroom amazing . hotel great location , block theatre saw & quot ; legally Blonde . & quot ; , wonderful stay . 
 Jun 30 2009 	 great place stay ! 	 stay two night 2 1/2 month old great . room plenty space spread , great furniture lighting , free wire wireless internet . everything clean great kitchen use dinner . staff friendly helpful hot breakfast ( egg , sausage , potato , oatmeal plus normal continental stuff ) nice perk . pool 27th floor great view city , also nice exercise room laundry facility . thing would warn 's 10 - 15 minute walk get Michigan Ave , us baby make difficult get shop lot . overall great hotel ! 
 Jun 29 2009 	 Great Location Service ! 	 daughter spend two night Residence Inn friend . GREAT hotel ! book $ 119 / night seem like steal ! centrally locate walk city . moment pull , service impeccable valet station bellhop check - in desk . everyone friendly helpful . small lobby street level take elevator first level check . , access different bank elevator go room need keycard use elevator . like add level security daughter one friend 17 year old . we stay studio suite , believe , small room offer . wall floor ceiling window make room seem light much big probably . also flat screen tv.there small nice kitchenette include microwave , dishwasher , refrigerator two burner cooktop . king size bed well pullout couch . spend night bed comfortable . even four we room , feel spacious . bathroom sink outside toilet shower area convenient travel two teenage girl ! bathtub large walk - in shower really like . free WiFi also provide always like have . the lounge breakfast area level front desk . four computer / printer station available guest use charge come handy printing ticket purchase online . also large flat screen tv comfortable couch chair . come handy friend ready sleep daughter want stay talk . go lounge feel would safe there . the buffet breakfast include lot hot item delicious . dining area plenty table wonderful view street . also , stay Monday Thursday night , free , light dinner meal provide lounge . not take advantage think pretty generous ! pool fitness area top floor . not see daughter check say nice . I ask lot question front desk thing plan . answer question patiently also make additional suggestion . also utilize valet parking . $ 44 24 hour , Chicago , pretty typical . check car several time service quick efficient . I travel Chicago frequently stay number hotel . HIGHLY recommend one everybody ! 
 Jun 28 2009 	 wonderful stay nice Residence Inn ! ! ! great staff ! 	 impress Residence Inn . Staff WONDERFUL . housekeeping go way provide we something stock , front desk offer free candy tired young travel child ( travel CA young child ) , hotel manager , Jerry Keyes , greet we kindly one free happy hour meal ask we room . impressed right help staff cordial guest . room excellent ( room 2005 ) , decorate nicely clean . kid enjoy indoor pool top floor . location outstanding ( close Navy Pier , shopping- like walk- could definitely walk Art Institute- three kid ) . Harry Cary be across street- yummy food . lots food choice . nice time feel comfortable . experience cause lean towards Marriott plan travel family . thank ! 
 Jun 27 2009 	 Great Hotel 	 absolutely love hotel stay Chicago . great location near Michigan Avenue surround mix restaurant . staff helpful , always friendly . hotel clean modern . would highly recommend hotel anyone stay downtown Chicago . 
 Jun 1 2009 	 superb stay ! 	 six night impressed . typically stay Marriott Michigan Hyatt Wacker , trip want minimize expense Residence Inn appeal . internet free , free breakfast manager 's reception full kitchen . price right $ 129 per night . the staff incredible . go way help . first request approach desk tourist magazine like find hotel . brochure desk back breakfast table minute Julia desk walk three different travel booklet . tell question would happy help . later redeem gift card traveler 's check great . breakfast nice well stocked . staff offer make waffle deliver seat . friendly greet everyone continually ask could service . likewise , offering evening well present . nice complimentary glass wine even night go eat rather stay . big meal lunch day make back manager 's reception . evening room place quiet enjoy big television . rotate could watch bed sofa . kitchen well equip pot pan dish . toaster work mean leave note hotel forgot . never problem get taxi door walk many place hotel well locate . within block Metro system easy use go everywhere . visitor appear business people see number family hotel . problem young child might lack bathtub . know two year old grandson fond shower might pose issue . bathroom small shower nice adequate warm water water pressure . think complaint , praise staff hotel . must admit miss room service morning , tray kitchen area free take food room one sort room service though could bring wear pjs downstairs ....... great stay great hotel . highly recommend . 
 may 29 2009 	 great locationvalue customer service 	 hotel great family babies- dishwasher large room lifesaver ! customer service staff 5 star- incredibly friendly ! room update modern clean . housekeeper keep everything clean stock even fold clothe line shoe . the location great- every restaurant block State Street shopping also Michigan Ave . also right next river . Millenium Park also easy walk . I highly recommend hotel ! 
 May 15 2009 	 great hotel - great staff - great location 	 wife , 8 - year old daughter stay 5 night Spring Break . unfortunately , & quot ; Spring & quot ; Chicago mean everything snow freeze rain beautiful , sunny day , experience stay ! hotel conveniently locate 5 - 10 minute walk anywhere would like go - shopping , entertainment restaurant , etc .. close bus line & quot ; El & quot ; line destination away . quite happy room - high floor King size bed sofa bed daughter . not hear much noise street , fire station corner . kitchen full size fridge come handy store drink , snack etc .. course Spring Break busy time property , lot family stay hotel . kid everywhere ( include ! ) . morning breakfast extremely busy , hotel 's management team day , clearing table pour coffee , give buffet staff time keep food refill . evening reception . nice come back long day cold enjoy bowl hot soup sandwich ! take shuttle van / airport , not need use hotel 's expensive parking . walk ot take bus everywhere go . 's great location good value , will stay next trip Windy City ! 
 May 2 2009 	 Great Hotel odd Kinks 	 family enjoy hotel lot . breakfast wonderful evening reception great pass . room high floor , prefer , comfortable . thing leave sour taste mouth . order beer evening notice name list , every guest hotel . felt truly compromise privacy guest stay here . also , niece travel elevator break stick 15 minute . one stay emergency phone hotel even notify guest stuck elevator . find event . amazed one hotel would contact . comp 50 $ stay , 
 Apr 22 2009 	 Excellent Hotel 	 book 2 studio suite 3 day . able check early disappoint one 2 room extremely small compare one . small would room walk around room put sofabe . large room almost double size . could not understand pay rate different sized room . go desk ask large room tell none available near first room 2 large room together available hotel , hard believe since 27 floor . much complain , say would try upgrade 1 bedroom suite say could since book 3rd party . offer another room opposite end hotel unacceptable . continue complain also mention would write corporate office let know dissatisfied finally upgrade 1 bedroom suite right across hall room . room nice clean . disappointment find dirty sock underneath couch cushion put sofa bed lead believe change mattress pad guest . rest hotel also clean new looking . large lobby comfortable seating , tv , computer , etc . free breakfast exceptional large selection include make waffle . lady work dining area morning friendly helpful , even offer make waffle guest , get refill drink make sure everyone well take care . free dinner ( Monday Thursday ) pleasant surprise . soup sandwich first night , Lasagna , salad , garlic bread second night , hot dog brat last night . also free soft drink , wine , beer , snack . never hotel serve wonderful free meal . save we alot money . management staff visable meal stop every table ask everything ok . also impressive even help clean table . pool 27th floor gorgeous view . little small size hotel . location hotel good , 5 minute Union Station , short walk free trolley Navy Pier also bus stop . hotel provide nice city map include excellent direction hotel various attraction either walk , taxi , bus , etc . tell check would need use room key get elevator ( assume security reason ) true entire stay . upon depart hotel train station , ask one man door van would accomodate 5 we . tell we wait proceed run street . lose sight minute show ride taxi van find we . amazed go extreme measure accomodate we . wonderful service ! 
 Apr 15 2009 	 good central location excellent value 	 stay four day break Chicago easter pleasantly surprised . hotel locate five minute walk Magnificent Mile 10 minute stroll Loop plus bar nearby excellent Harry Carey Italian Steak House directly opposite . ' ve real complaint , never breakfast hotel bit early we plus plenty place nearby . hotel staff not always obliging could maid service pretty bad ( fouir bottle shampoo last 4 day three guy , go figure ... ) even have tip consider price well worth stay 
 Apr 14 2009 	 good DT Chicago Base Family ; Great Staff 	 family decide try Residence Inn base standard Chicago museum - view tourist stay , be glad . among similar property , give we good package deal want -- AAA rate plus parking provide king suite , breakfast , pool , exercise room . staff valet parking valet parking , everywhere , exceptionally courteous job well . entire hotel clean maintain well . amenity Residence Inn chain -- kitchenette , multiple option breakfast , weeknight evening food .... stay , not find place overly crowd , thus breakfast pool experience not lessen mob . one two common - area computer available two night want check transit route . some note : swimming pool small ( open 6:30 a.m. ) , be short walk drug store / grocery store , Starbucks ( though house coffee tolerable ) , multiple dining option major transit hubs short walk away ( catch bus route right outside hotel ) . forewarn fire station 1.5 block away ( even close hotel ) , be likely get least siren night . remember be big US city price / facility reflect ; plan , bring tip money staff willing serve . would likely return place similar - style Chicago vacation . 
 Apr 8 2009 	 stay Everytime I m Chicago 	 go Chicago many time . trip one , stay Hyatt Wacker far comparison go , hotel good well . locate short walk Mag . Mile Chicago nightlife / resturant ( Harry Carey 's Ruth 's Chris right across street ) . hotel staff friendly room great ( King Studio Suite ) . good part nice kitchen entertain * guest * . look exceptional service good price , place stay 
 Apr 6 2009 	 Great Location Room 	 stay King Studio Suite bed , couch , chair , flat screen tv , kitchenette . nice room location hotel within walike distance Michigan Ave , many restaurant , nightlife . serve hot breakfast morning , crowded morning . parking outrageous $ 45 / night , park garage block away $ 24 night . would definetely stay . 
 Apr 3 2009 	 great experience great deal 	 great experience . breakfast , evening snack , great room , great service ... can not remember nice staff . front desk staff , food service staff , baggage handler helpful ... always go way make experience enjoyable . 
 Mar 30 2009 	 Popularity hotel blessing curse 	 stay Residence Inn Chicago River North spring break trip family . trip include shopping , theater ( Mary Poppins ) restaurant visit , along personal business trip Merchandise Mart . the hotel nice , new facility standard Residence Inn suit sized bit small urban setting . great location Chicago Loop attraction , include State Street theater district . leave car valet parking rely foot CTA ( two el station within three block ) . Valet parking type offer expensive - $ 44 per day ( i.e. , two - night stay require three day parking ) .I guess great location new facility contribute popular hotel . Residence Inn share building Springhill Suites . not know many total room 27 - story building , seem like LOT family stay hotel , even weekday . popularity good indicator hotel , sheer number people stress facility service : - free breakfast pack often under - supply ; - wait valet parking 10 - 15 minute check - in ; - elevator take time arrival ; - pool small usually pretty full young childrenIf need nice Residence Inn room location , great hotel . however , overall value diminish high cost parking problem handle large number guest . 
 Mar 20 2009 	 Excellent stay ! ! ! 	 stay Residence Inn Dearborn Street March 15 - 17 . bad word say place . everything excellent ! restuarant , bar , sight within walk distance hotel . reserve king room we ( & amp ; 2 kid ) plenty room we manuever around . give room 21st floor nice view . full size frig , microwave , cook top , dishwasher great asset ; even though use frig . stay . evening reception add bonus ! use hot tub hot ( nice day sightseeing ) . use pool ... many small ( loud ) child pool stay . overall , would highly recommend hotel without hesitation . hope return near future , , budget allow ; 10 hour drive we . 
 Mar 11 2009 	 great Stay ruin 	 family stay Residence Inn Chicago Downton / River north first trip Chicago celebrate wife 's birthday . receive great rate Travel Zoo $ 90.00 per night studio room . room nice , comfortable , well appoint roomy enough 3 people . hot breakfast excellent say enough nice thing breakfast room staff .. part , staff friendly accomodate . check hotel noon Sunday flight be not schedule leave O'Hare 5 p.m . rain heavily outside upper 30 's time . store luggage go lunch . lunch contact airline find flight cancel next flight would Monday morning . return hotel 1 p.m get room Sunday night . explained desk clerk flight cancel due bad weather . even though pay $ 90.00 per night previous three night , offer rate double amount . ask could get rate least something close consider circumstance suggest use lobby computer see Travel Zoo offer reduced rate . unable get reduction rate computer . contemplete go another hotel cold storming outside . understand rack rate work , think circumstance hotel staff could understand accomodate . 
 Mar 9 2009 	 great location clean friendly service 	 return 3 night hotel sister . go Oprah taping , 10 minute taxi ride hotel . hotel excellent location , lot restaurant walk distance ( Harry Caray 's Steakhouse across street ) . room clean comfortable . stainless appliance well - stock kitchen . Breakfast include one good one ' ve - waffle ( Isme , friendly server make we ) , egg , sausage , potatoe alond muffin , cereal , fruit yogurt . would definitely stay . 
 Feb 24 2009 	 Pleasant stay 	 room pretty -- full kitchen real bonus . terrific location , free internet convenience . like much want book additional night , front desk clerk could not figure . certainly odd ( hard book room ? ) , take sign give impulsive desire extend trip head home . happy stay overall . com back right rate . 
 Feb 23 2009 	 good hotel ' ve ever stay . 	 first ever trip Chicago make contact hotel prior arrival information regard surround area ( do hour research net ) . first point contact telephone Taschiana front desk friendly helpful Jerry manager make stay . from moment arrive treat like king Queens . room two bed two bath suite superb . request view view amazing . the suite huge everything could wish include fully equip kitchen . the breakfast morning delicious substantial egg sausage fry potato selection muffin porridge fresh cook waffle cook we Ismeta totally spoil we every morning . from Monday - Thursday social hour free beer wine different snack night . both really help budget fall pound . location hotel perfect centre everything although cold manage walk lot . Chicago much offer would not without hotel . as family never experience hospitality like here . the staff , include Chuck help remove ring get stick daughter finger Asiel & amp ; always door welcome we , fantastic big thank go Jerry make we feel like family . already plan next trip summer . 
 Feb 16 2009 	 Loved Hotel 	 Chicago writer ' conference , pick hotel like Residence Inn get great AAA rate Marriott website . the hotel locate Dearborn 16 block convention hotel . even though Chicago COLD , walk conference every day not mind ( anything hotel ) . however , walk conference , able see restaurant attraction close Residence Inn , make great . hotel staff wonderful recommend good place dine ( Sullivan 's offer prix fixe RI guest . ) thing see . the room king , roomy . decorate beautifully , although question white cover bed . pillow case quilt , clean , bit dingy , happen everything white . my complaint towel well ' ve see ( pretty old feeling look ) receive shampoo every day , could not figure out . we be look go back , , definitely stay . 
 Jan 4 2009 	 strange encounter bathroom 	 visit Chicago convention stay Residence Inn week . four people book 2 - bedroom suite rather large living area 2 bathroom . one bedroom feature kingsize , queensize bed . sofabe live area around kingsize . hotel quite new , however interior appear cheap bedroom relatively small . wardrobe way small four people . stay 23rd floor quite impressive view . accessible room , bell hearing impair , connect flashlight make noise similar fire alarm , quite disturbing ... friendly welcome however make strange first encounter bathroom . apparently housekeep staff forget clean toilet arrive , could someone explain excrement toilet ( see picture ) ? furthermore find severe urine stain toilet seat , quite unappetizing , . take management half hour come room . lady quite uncomfortable situation promise we gift basket . housekeeping clean toile gift basket appear two hour later . however gift basket consist 4 chocolate bar , 2 cheap bottle wine nacho chip , really satisfy . we encounter problem rest stay . staff friendly , wireless internet work well . breakfast redundant evening meal edible . whirlpool nice 270 ° city view , apparently full chlorine , we rash use it . irrespective excrement toilet would stay different place next time , stay quite expensive ( 730 $ /room / night ) hotel appear like good hostel . 
 Dec 9 2008 	 great value Chicago 	 new Residence Inn great find downtown Chicago ! locate Dearborn , short walk Michigan Avenue couple block red line train station . first hotel brand new everything clean great condition . clear website , actually one large highrise hotel contain Residence Inn Spring Hill Suites ( less expensive ) . lobby one floor street level come elevator Residence Inn right Spring Hill Suites leave . check , eat area , etc share mini - mart middle . decor modern inviting . weekend rate significantly less weekday rate since business hotel include full hot breakfast buffet hard find downtown Chicago hotel . nice Residence Inn kitchen see : stainless steel appliance , granite countertop , etc ... free wireless internet service also include . bed comfortable two large flatscreen tv 's . doorman breakfast staff especially friendly . within block House Blues , Hard Rock Cafe , Ruth Chris Steakhouse . 
 Dec 2 2008 	 great location value Residence Inn Marriott 	 return weekend trip Chicago stay Residence Inn Marriott . hotel newly update everything need great cost . see show House Blue walk - able distance hotel . ample amount restaurant , bar , shop , etc hotel well . hotel heart city close river . famous Harry Carey 's restaurant / bar directly across street , go twice ! Einstein Brother 's Bagel 's next door well , convenient snack / coffee . room suite style modern kitchen , sofa chair , flat screen tv , bed bath . kitchen fully equip , everything need week : glass , plate , bowl , wine glass , pitcher , opener , tupperware , etc . continental breakfast open early great ! ! multiple variety warm drink ( good Chicago Nov ! ) coffee , tea , hot chocolate , etc . waffle machine ( popular kid ! ) , muffin , bagel , cereal , egg , bacon , etc . one top free continental breakfast ' ve . staff friendly helpful . help we direction , get taxi 's , restaurant / bar suggestion , etc . one good thing we honest walk - able distance us hotel versus need taxi . value , great hotel . plan come back Chicago stay second time . would recommend anyone kid dog ( pet program ) ! ! 
 Nov 30 2008 	 really enjoy 	 Staff everywhere always helpful . although take cab Union Station , easy walk around neighborhood . bus stop northbound 22 Bus across hotel Hubbard , Bus stop southbound 22 Bus backside hotel Clark make easy get back forth theater downtown , well connect bus Miracle Mile Navy Pier . bedroom King Suite small usual hotel room , living room area kitchen make . quiet room nice view , especially pool area 26th floor . great hot tub ! nice sandwich shop next door , pharmacy around corner block , lot upscale restaurant within walking distance . also enjoy breakfast serve . look forward stay warm weather . 
 Nov 29 2008 	 great place Thanksgiving week . 	 great hotel one block river . easy walk everywhere downtown . family dietary restriction , nice kitchen able avoid eat . breakfast huge , include . breakfast room nicer restaurant . not really need another meal breakfast , maybe snack light dinner room evening . manager 's reception Sun - Thurs , possible could apple something afternoon , able avoid eat completely ! room beautiful . room 26th floor , two big bedroom two full bathroom . pull couch comfortable 13 year old son . another child could slept cushion come pull couch , solid cushion , 5 foot long 2.5 foot wide . two bedroom sleep six people . love 26th floor , perfect ! ! ! would not even look another hotel next time ! room available $ 119 night . room go $ 360 night . aware pet friendly hotel , smoke - free . see one dog , dog smell . ventilation system really good . slight sewer gas smell bathroom . come toilet . seal caulk . say would fix toilet leave . great hotel can not imagine problem could not take care ask friendly staff . great place family stay visit Chicago . lot kid stay , room perfectly quiet inside . GREAT hotel ! ! ! 
 Nov 18 2008 	 Oven ? ? ? 	 arrive hour ago , must agree staff friendly unbending give gold member upgrade . agree small suite review ! ! ! direct three room find one could finally open drawer bedroom without hit bed , bathtub , shower . also tell would get view firework , however check - in appear one bedroom suite view -- - river view . buy pizza heat return discover oven even though full kitchen advertise . two burner top , full size refrig dishwasher -- -I would rather mini - fridge dishwasher oven . lot people & quot ; nuke & quot ; food . evening light meal adequate , staff run pasta salad brownie 7:15 , make due time , offer bread beverage . never happen anywhere stay -- -especially receptionist indicate could wait 7:30 make plate daughter -- -I go Trader Joes 's buy pasta go sauce . yes , complimentary , much expect ... several disgruntled family businessman . like split lobby , obviously owner trying economize every way rent ground floor . probably safe second floor dining area quite pleasant witht second floor view . everything trade - off . totally prefer comfort amenity Residence Inn Walton ( miracle mile ) , however , bit overrun & quot ; American Girl & quot ; groupie weekend many unruly child . work / business section . however , many convention bus stop front desk personnel indicate one block walk south Westin River North call . check , appear three block walk Hilton Garden Inn Convention shuttle . positive side , new clean . internet work well . experience slow elevator problem describe previous email yet . staff appear use small room comment try fend issue graciously possible . top floor pool look nice , work facility ... much nice Residence Walton work place pool . would suspect foreign own Marriott similar standard country term space , amenity , etc . check . 
