great 	 enjoy stay Martinique first time visitor New York New Zealand - central everything want everyone helpful . eat restaurant three night stay New York meal great . especially enjoy able get meal 11.30pm show Broadway . would definitely stay . 
 Sep 21 2009 	 Good hotel 	 arrive hotel 3rd September 9 pm , 7 hour journey London , well big flight delay top . arrive check desk tell room ready , 9 pm night . ' ve also see review people tell ! wer not please tell come back hour , exhausted journey , well fact due 5 hour time difference , head 2 am ! come back hour tell room still ready , repeatedly ask room ready , eventually give well room . this room nice , large , nice clean , nice modern clean bathroom , complaint room . thing would say ' m sure room worth price pay . price pay probably would expect , definitely could not fault location , corner Broadway , 5 minute empire state building Macys , right next subway station . all hotel great 4 night stay , need young couple explore New York , fact room ready 10 pm evening think bit much ! 
 Sep 11 2009 	 know business hotel could bad ! ! 	 many people report , turn 7:00pm find room ready . & quot ; come back hour & quot ; say . meanwhile , people line next back 3rd time tell & quot ; come back hour & quot ; . manage get room 20 minute kicking stink call Garber Travel , mysteriously book hotel -- ? ? ? ? ? problem seem double book room lot international flight crew stay many leave early evening . give , clearly pay day room . hotel rebook room night ....... except room not go ready something around 8:00 9:00 night . can not believe Radisson operate way . meanwhile , room less average . ticket put room door request room service breakfast never pick ... still get morning . bill room -- one night -- extra -- $ 549 . scandalous ! ! ! advice -- not stay hotel unless option . 
 Sep 8 2009 	 fantastic location make sure get good deal ! 	 absolutely fantastic location - right top subway station easy walk distance Penn Station get either main airport . also easy walk anywhere midtown Manhattan . I will admit get really , really cheap deal Expedia feel get good deal . room kind small , face interior courtyard hotel natural light not great . figure kind room give ' ve book bargain rate ! everything clean tidy , bed comfortable though , complaint amount pay . I arrive early allow complete & quot ; pre - check & quot ; arrival , leave case . time check mean pick key , work pretty well . check seem slow everyone else though . staff nice , could probably another couple computer terminal behind desk speed thing bit ! would definitely go back , long could find another good deal rate . 
 Sep 8 2009 	 Sub - average 	 three hand half star rating hotel achieve way generous . arrive 5 pm local time check - in process take forever even though queue . , room date shabby . also , serious lack attention detail cleaning . , make matter bad smoke detector room start announce ' low battery ' every 30 min middle night . stay lot major hotel New York far disappointing experience . location redeem feature . 
 Sep 5 2009 	 average hotel great location 	 enter room empty shopping bag water bottle lie around . look someone room service . tv keep switch every minute , even though report not work whole stay . wall seem paper thin , could hear loud guest next room . also , refurbish , involve remove fridge safe room , rent reception . really det blatant profiteering , safe least available room extra charge . I would say stay be fussy hotel , although stay ok , will not stay hotel . 
 Aug 31 2009 	 great location 	 back 4 - night stay mother Radisson Martinique . although check - in time 4pm , arrive 5pm check room not ready ( although mother 's ) ask come back 6pm . great , consider booked room 6 week early ! accommodation clean attractive , mini - bar in - room safe disabled ( similarly travel companion 's room . room swipe key temperamental , maintenance call several occasion gain entry . vend machine floor not work properly ice - machine mother 's floor not work . plus side , location great - step subway short walk Macy 's . hotel breakfast good serve staff attentive . Doormen friendly helpful also . however , good thing hotel concierge ( Rebecca ) also man giftshop lobby . super friendly great source information buy ticket thing / attraction / activity / dining / booking taxi etc . well do Rebecca ! 
 Aug 30 2009 	 outstanding location good value poor service 	 Housekeeping bell desk good . the front desk service poor . check - in take much long . check one employee repeat phrase & quot ; not room two bed & quot ; chagrin customer ahead we . two employee stand nothing . poke computer keyboard . maybe play Tetris . maybe blogge much despise . level service someday footnote history . & quot ; Grandpa , tell we hotel employee would stand around absolutely nothing weary traveler wait check ? & quot ; luckily one party wait ahead we check - in , get room within 15 minute . barely dodged group call & quot ; every Employee Mexicana Airlines . & quot ; see several flight crew check stay ; imagine long wait time check - in get catch behind one they . also , staff make attempt advise receive package . probably receive Friday . pick Sunday check . ( deliver room , nice . ) say , excellent large clean room , comfortable bed , powerful AC system 32nd Broadway $ 200 / night weekend . excellent value . 
 Aug 22 2009 	 great hotel . great rate . would go back . 	 get great rate hotel 's website . room large New York standard well maintain . fault check - in incredibly slow ( take hour get key ) front desk rude unhelpful check - in , although fine check - out . maybe get grumpy staffmember . would go back . 
 Aug 18 2009 	 Radisson Broadway Ruined Vacation 	 reminisce recent stay Radisson , three word come mind : rude , unprofessional , unaccommodate . hotel manager , Joseph Somenbeck poor example manager . Rooms Division Manager , Fatena Williams , lack customer service professionalism . entire stay Radisson horrible , begin end . Thursday , August 6 , 2009 , arrive Radisson Martinique formerly call Holiday Inn Broadway . wait three hour check - in , mother , daughter arrive room . room air conditioner work . immediately call front desk inform Housekeeping would arrive shortly . place two additional phone call wait total one hour Mike , engineer arrive . inform we need change room compressor malfunctioning . pack change room , air 2nd room go 1 . night engineer , Ruben , come repair AC unit . the follow day family return shopping , enter room find tv working . naturally , call front desk . wait 45 minute Mike , engineer , arrive tinker television inform not know not work . eventually , Mike discover Housekeeping disconnected cable , able repair television . , inconvenience stay . room ask service , bathroom either provide enough towel not towel . final serious incident transpire August 8 , 2009 . 5:30 pm , request new set keycards front desk clerk . leave hotel approximately 6:30 leave theater . return theater approximately 12:30 find Radisson front desk employee give colleague know Chicago key hotel room . enter room , discover intoxicated lay bed . immediately go front desk request speak manager . Thomas Richards , night manager , speak . conversation request Lock Interrogation report security . report generate clearly indicate Radisson employee issue [ -- ] , mere stranger , key room , 619 hotel . result negligence , item luggage miss . Radisson breach contract knowingly allow unauthorized person access room . could seriously hurt even kill . fortunately , evening end tragically , unable sleep long feel safe hotel room . individual allow room intoxicate urinate . simply put , wonderful evening abruptly turn disastrous . inform Mr. Richards request full refund total $ 501.05 immediately . tell Fatena Williams , Room Division Manager , person could authorize refund . contact total six time August 8 date , one Radisson attempt call apologize rectify situation . infuriate Radisson management lack concern professionalism . 
 Aug 12 2009 	 Great Hotel ! 	 family four recently stay Radisson Martinique Broadaway great experience . hotel locate heart midtown close everything - Empire State , Times Square , Macy 's , etc . subway right front ! hotel service good . issue deal quickly efficiently . front desk personnel helpful . doorman always cheerful know in out New York . room good size comfortable . would definitely stay . 
 Aug 11 2009 	 nice place good value . 	 nice hotel . clean comfotable . good location . little seedy night . friendly service concierge helpfull attain reservation local restaurant . 
 Aug 1 2009 	 Good Deal get pay 	 leave Radisson Martinique . stay 1 night NYC 36 hour . pro : -very close subway station cover route need get around city.-parke available across street driving - restaurant site . the con : -very small room - Rooms update need it . we pay $ 214 get : 1 room double bed , 24 - hour parking pass ( worth $ 37 ) , 4 metro card 24 - hrs ( worth $ 33 ) . also , check , hand 4 pass Breakfast worth $ 48.the hotel fine - small , old little chaotic due lot airline pilot / attendant coming go unless willing pay $ 400 - 500 NYC , get . 
 Jul 29 2009 	 Good Hotel near Time Square 	 hotel near Time Square Empire State . good hotel . comfortable room , great breakfast . sure will comeback . 
 Jul 28 2009 	 good buy 	 yes , old property . yes , lot tourist flight crew stay . room , modestly appoint , clean service prompt . ask rollaway check - in return room . bathroom quite small . hotel perfectly locate business . parking garage directly across street although parking - valet parking . park , sure get parking ticket stamp hotel front desk , otherwise pay . drive SUV similar car car hold hostage parking garage give rude attendant extra $ 10 & quot ; oversize vehicle & quot ; . hear noise night ( tenth floor ) . check - in relarivelt quick staff courteous . luxury hotel want rest relax hotel , get spa service , room service , etc . , place . want clean , centrally locate , reasonably price hotel , good choice . pay $ 159 double room , $ 20 extra rollaway . park $ 47 24 hrs ( include rip - off $ 10 charge ) .I would stay location value . 
 Jul 13 2009 	 Great Location ... 	 ok let us get ' good ' way . location handy purpose intend utilise subway side trip involve Penn St Station plan also go ESB ( not everyone ? ) . doormen helpful provide clear accurate direction answer query subway connection general point interest . I must admit read people room service not really believe could bad , . stay 7 night 3 night not service room . call request towel occasion surprised front desk staff not apologise oversight merely seem treat par course . another occasion come back full day uptown find room service 5.30pm , unusual thought . we request non smoking room believe strong smoke smell present room check . front desk send someone air freshener , not really help much day think ( unfortunately ) get use it . would recommend hotel ? Location yes , rate yes ( least booking , door / bell staff yes , front desk staff - jury still , friendliest one around , domestic / cleaning staff ... way . overall , reserve yes provide get really good rate make deficiency . 
 Jul 12 2009 	 great location 	 opportunately stay hotel 4th July celebration . check early room ready we . staff friendly , professional helpful . room clean , bed confortable even though not stay long view Empire State Building . love soap , shampoo lotion bathroom especially soft fluffy white towel . picky towel . location perfect midway Uptown Downtown . subway outside door . walk distance Times Square , 5th Avenue , Macys many restaurant . wonderful full buffet breakfast Martinique restaurant . good service food good . want Eggs & amp ; Bacon go healthy Yorgert Fruit . good selection wine bar .I like well friendly staff would talk joke every day lobby . location room well . would definely come back hotel , good deal price . 1 critic , time visit room safe overhaul able leave valuable room . call front desk say could leave valuable safe . really like hotel . Diane Montreal , Quebec , Canada 
 Jun 30 2009 	 good 	 good clean hotel friendly staff comfy room . stay many radisson good other . easy access city helpful concierge . 
 Jun 29 2009 	 Great Spot 	 easy get thing hotel . room lovely must refurbish recently . good selection breakfast . 
 Jun 28 2009 	 Perfect ! 	 spend week cousin , leisure trip , 20 - 26 May . first place , excellent location : 5th & amp ; Broadway , 10 minute walk distance Times Square , Penn Station . there´s subway station hotel ! crew helpful , front desk belhop ... help lot explain route , call cab , store luggage , etc . room : fine - two medium size bed , lcd tv , carpet , regular bathroom . big .. enough . there´s restaurant acessa front lobby , breakfast ( usd 16 / person ) , grab somthin´quick eat . There´s also shop lobby , one get everything souvenir , water , soda , snack , simple medicine ( like aspirin ) , even set car airport ! really helpful ! hotel perfect tourist - especially large group - family expect luxury ! would definitely recommend ! 
 Jun 26 2009 	 business traveler 	 stay Martinique twice month , mainly proximity Penn Station . first trip awaken 3 am guest adjoining room return nightclub continue party . call front desk complain , get answer . since could sleep , get take early train . stop front desk complain noise , find associate sleep chair near front office . on second trip arrive around 10 pm find line guest wait check , include full flight crew , whose room ready . 30 minute line , business traveler line ahead tell thier room ready , tell thing . accept downgrade room , toilet run night . room clean make - up either two day room 6 be 8pm . I stay , would recommend business traveler , especially arrive NY long flight . seem cater flight crew tour bus , fine , except staff appear become indifferent delivery service mean secure repeat business , struggle keep light . surprising Radisson chain property . 
 Jun 23 2009 	 Pros Cons 	 stayed find really great deal Hotels.com . hotel lovely great location , subway right corner . service ok , check irregular hour not bad time , although reservation system issue . concierge service nice . first night request couple extra pillow , never show . minifridge room ' convert ' empty unavailable use . obviously room small , comfortable . couple thing know . reason drive , parking offsite ( across street ) cost $ 37 day . need get airport one , strongly suggest avoid airport shuttle service hotel ( $ 22 per person ) cabbe instead ( $ 45 flat fee ) . basically dictate ( pretty neurotically , actually , crazy lady gift shop ) time take shuttle ( get we airport two hour boarding ) , end cram van ( squeeze next smelly eastern european man , feel like desperately need shower afterward ) driver cell phone ear hour - long drive . pleasant end trip , please learn mistake . avoid drive cost take cab airport afford $ 45 ! 
 Jun 11 2009 	 good hotel heart NYC 	 business price issue . upgrade Executive Room nice . come SleepNumber bed not sell point would seem like nice feature one home . the room clean shower high head good we tall people . fitness center floor lobby adequate need ( free weight , 3 treadmill , two elliptical , hd tv wall . ) eat lunch Cafe Martinique service achingly slow . assume kitchen room service well ( confirm , guess . ) thousand place eat nearby . overall good experience . 
 Jun 11 2009 	 recur Problem ... 	 wish read review website make reservation hotel . seem like everybody seem report allow check early ( understandable ) check - in time arrive , wait room . share story almost four month ago . check early , tell return 4:00 p.m . arrive 5:00 p.m. , line extend front door . although previously reserve room , room 7:00 p.m. stand line 2 hour . it seem like experience one - time occurence recur problem hotel . notify Radisson Corporate , receive response . guess concur . 
 Jun 3 2009 	 great location . small room . need room sleep ! 	 lovely lobby bar ( expensive ) .small room - apparently expect NYC . initially give room smoke , quick complaint move . room functional . Bathroom could done little large - much space swing cat ! concierge appear helpful one occasion advice flaw .... advise eat Keans .... small restaurant , & quot ; average price & quot ; , around corner . $ 150 later ... 2 steak ( fab ) bottle wine . be sure level kickback staff getting make recommendation ..... hotel offer great shuttle service back Newark airport - $ 20 door - to - door instead $ 15 have pay train , lug stuff Penn station hotel . Radisson really well place - round block Empire State Building near bus stop Greyhound open - top bus . Macy 's , course . overall great location seeing not really spend much time room , not matter not great .... 
 Jun 2 2009 	 check staff horrendous 	 return Martinique , eventually pleased hotel , initially attempt check 2 pm tell early return 4 pm , do find desk staff did'nt know room ready , tell sit lobby find , 10 minute ask get reply , 15 minute get angry demand available room , arrival room safe small fridge working , take three visit rectify one seem know fix , book club room big normal New York room happy , back hotel view . check staff aside rest staff ie cleaning , breakfast , bar porter pleasant helpful enjoy stay , would certainly recommend hotel bit luck check staff lesson good manner 
 Jun 2 2009 	 Unreceptive unmoved uninterested - anti - thesis hospitality 	 stay Radisson Martinique night stay . one big incidentthat mar stay , rather , culmination substandardstaff - guest contact point make really doubt professionalism ofthe staff sufficiency training undergone . arrive near noon time , attempt check early since wasstill hour check - in time . absolutely understand wasnot offer room . however , enquire minibar roomwhere could store medicine . lady duty say ' anybecause hotel currently replace , without offer anyalternative suggestion . ask way could store mymedicine property ' restaurant / room service department . toldme , " try , base experience , ' usually foryou . " rather appal unhelpful comment seem tochallenge assist . when finally check around 5 pm , glad realize wasbeing assist Duty Manager ( Mr Juan ) . think , perhaps , couldbe good reference service standard hotel . although washeartene offer place fridge room free - of - charge wheni enquire store medicine , wonder adouble - standard front . disappointing perhaps factthat look talk , seemingly concernedwith paperwork welcome guest . preference room witha window state upon reserrvation reconfirm I . neither ask preference smoke non - smoking room . Iwas send way room rather half - hearte thank - you yetagain , eye contact . when eye contact , staff seem prefer avoid ratherthan engage . Mr. Raul bell - desk , see hold aticket luggage , almost immediately shift glance somethingelse , ignore presence walk past . hence , walk toanother bellman help . Financial Center , could believe myeyes staff duty even lift head address , enquire availability wireless internet room . no word , merely nod yes - no question . the next day depart , try catch quick nap beforechecking . however , interrupt 3 occasion within shortspan hour . first 2 , knock door ( Rm 804 ) .just step bed get door , door open aHousekeeper walk . apologetic . second time , anotherhousekeeper exact thing . keep really puzzle , tomention unable get sleep interruption . wonder kindof policy hotel regard opening room door room areoccupie . SOP state Housekeepers wait atleast , say , 10 second open door case ? last strawwas suited man , assume Housekeeping supervisor , knock door . open door , even greet oraddress express apology disturbing , " new guestor guest check ? " almost feel " expire " guestsince " new " guest . seem like 3 staff ' twait leave could get cleaning room . another point concern , often frustration , stafftreat guest differently . one bell captain address thegentleman front " Sir " , address " go , myfriend . " enter Financial Center checking , Iwas cast doubtful eye staff . ask , nosalutation address , " guest ? " aggressive comment thatwa laden judgment absolutely uncalled . understand hewas job keep non - guest use internetfacilitie , believe could polite way ofverification . if gem find amongst mostly unfriendly staff , itcame end - Mr Cesar bellstand . onewho engage conversation , offer useful direction , speak sincerelyand interest provide excellent service . pleasantly surprisedby hospitality , especially unpleasant stay theproperty . outstanding even though interaction last less thana minute , think many staff member take leaf he . I sense general lack interest motivation amongst Radisson 's staffmember , make obvious peak period day . wasperhap evident 2 observation : 1 ) Financial Center , twostaff engage open , loud criticism another colleague , Ihonestly think keep wrap discuss outof earshot internet - use guest . 2 ) concierge , Mr. Tony sharedwith increase burden feel job bothconcierge gift shop , though pay . 
 May 31 2009 	 nice location super small room . 	 husband stay May 27 - 30 2009 . request early check , since get NY noon , tell problem . get , tell we early could not check 4 pm . tell early check request find we room several minute . also request sleep # bed , say could get we room , sleep # bed since early . room 1007 . room could not much small . guess happen NY . frill sure . bathroom small , everything need . toilet became plug 2nd night acting wierd running time , take 3 call front desk finally get someone fix . apologetic , thrilled response time . also tell free internet , go log tell would $ 12.95 per day , call say glitch , accept charge , would not charge . call night leave sure , would not even look bill tell . since check 2 early flight , still do not know charge internet . wait see guess . they let print shuttle confirmation boarding pass free . plus . hotel ( we ) good location , easy get , nd close thing . happy that . all uneventful stay . nothing hotel & quot ; wowed & quot ; we . room small clean . pretty expensive actually get . probly will not stay . 
 May 8 2009 	 great location average hotel 	 hotel locate right Broadway , 5 min walk Penn Station ( convenient connection from / to Newark Airport ) . load shop nearby , include Macy 's right round corner . be also 30 min walk Central Park lot ny location . 's handy pharmacy / store next hotel ideal buying snack / water etc . however , hotel fantastic . pay £ 100 / night 5 night via Expedia , follow several call hotel request upgrade . arrival , allocate room 15th floor ideal mean little noise street . room two double bed absolutely miniscule bathroom . rudely awaken every morning 6.30am people next room get shower . noise adjacent bathroom unbelievable , water rushing pipe loud , louder we use bathroom ! warn , good want lie holiday ! one day room not clean despite we day . not energy point day complain though . via wrangle hotel staff also get breakfast include rate . breakfast fine selection cereal , bread / bagel hot buffet ( rather greasy sure would appeal people ! ) . breakfast area get really busy 8 am make sure go fairly early . overall , location great hotel average thing like noise neighbour 's bathroom get room clean not help endear place . 
 May 7 2009 	 disappointing 	 get good deal hotel 9 night . fist impression good . room big bed lovely happy , little thing start appear annoyed . web site say follow : - bottled water -complimentary - actually welcome ( 2 bottle ) - coffee - complimentary - yes , day , ask separately refill- wireless - complimentary - sure , log show pay 12,90 $ /day . take 2 visit reception confirm even say 12,90 not charge it- mini bar -sure , empty one without electricity - not bother give feedback , cause really not need mini bar- cleaning -sure , usually 6 pm ! never ever hotel clean room late one night start vacuum neigbour room 10 pm . on next street hotel call Herald Square Hotel . budget hotel room rather small , stay year ago , everything work 's important . next time , will probably stay . 
 May 2 2009 	 centrally locate affordable great service 	 heading say . make regular NYC hotel business trip , price always decent , staff extremely courteous helpful , hotel well position , whether need uptown downtown . also convenient able hop subway right outside hotel , be important . hotel clean , furnish fairly recent , bed super comfortable . stay 4 time last 6 month . 
 Apr 27 2009 	 Fabulous ! 	 family stay 4/4 - 9/09 FABULOUS time . location superb shopping , NYC activity could imagine . could not walk , always METRO , locate right outside front entrance . although , room small , expect , efficient clean . housekeeper , Aurora , Jason , concierge staff FABULOUS.We travel NYC somewhat regularly , even though stay Times Square area , believe location even well , center everything . Madison Square Garden , Penn Station , take Philadelphia one day , Empire State Building , Times Square ( one stop METRO ) , China Town ( 4 stop metro/10 minute ) wholesale shopping , well Macy 's ( around corner , 1 block ) . not eat restaurant on - site , rate include breakfast , provide apple cookie throughout day evening . downside room refrigerator microwave , travel family real handy . oh yeah , might add , sleep number bed bed nice . sleep comfortably every night . 
 Apr 15 2009 	 Excellent hotel central location clean 	 impressed hotel . got excellent deal Easter single room . pay £ 300 4 night . find room clean well decorate . 32 inch colour screen remote . telephone coffee make facility . adequate bathroom bath overhead shower . stay room great breakfast buffet serve cafe downstairs could also access street . business centre internet access free wifi room work brilliantly ipod touch . friendly efficient staff . Doorman really helpful recommend great korean restuarant road . really cheap eat round right centre thing . one block away Empire State Penn Station . ideal fly Newark . take 50 min airport hotel door include 10 minute walk ! would definately stay . 
 Apr 10 2009 	 good stay 	 stay 2 night good hotel mike bellhop awesome talk hour tell we good place go NYC . breakfast awesome morning . room pretty good downturn view suck office building across street could see room . overall be not bad stay 
 Mar 29 2009 	 great location ... 	 first , realize Manhattan hotel , space premium . positive : close everything ( Macy 's , Empire State Bldg ... ) . include full hot buffet breakfast decent convenient . part , staff friendly . negative : room small , clean . bathroom size closet . large flatscreen television , up / down control work change channel , close captioning work ( hear impair ) . full - time concierge ( doubled.as gift shop clerk ) . even subway schedule ! since smoke permit room , several people simply smoke hallway instead . smell waft room . alarm clock work . fortunately , wake - up call back - up miss flight ! big complaint , however , housekeeping service ( lack thereof ) . 2 us room . constantly ask 2 everything ( eg , towel , washcloth , etc . ) never empty clean ice bucket . replace coffee cup glassware every day . last night , return room 8:30 p.m. , long day sightseeing find room make clean . make matter bad , early flight next morning , tired , want shower , etc . call , housekeeping answer go downstairs talk manager . offer send clean towel , make room . ask left & quot ; Disturb & quot ; sign door ( . ) thirty minute later , someone show room towel toiletry , washcloth . if look past negative , focus location , good choice . 
 Mar 27 2009 	 great hotel Great Location 	 spend week March 2008 . get great deal . wonderful stay . hotel top class , room nice comfortable . service great staff could not anymore . one block Empire State Building close attraction . would definately go back hotel . 
 Mar 24 2009 	 Excellent location w / friendly staff 	 first visit NYC w/2 young kid , please w / the Radisson Martinique . hotel choice . group . , would gladly stay lucky enough visit NYC . can not beat location , right next Herald Square Metro station . make everything easy reach . stayed 7th floor . stay high noise morning garbage truck bother . room bathroom small . , be old building - ? temp control puzzle time . comfortable . , prefer simple standard mattresse heavy linen . featherbed lack softness initial warm feeling . good water pressure bathtub , like lot mirror available bedroom area . love breakfast buffet available every morning . lucky complimentary . variety food offer satisfied family 's different taste , server great . arrive leave state check - in check - out time . problem whatsoever . use fitness center . good equipment , small hotel size . be busy , humidity get rather high . would suggest instal ceiling fan cardio weight room alleviate problem . front desk bellstaff pleasant . , 2 gift shop lobby reasonably price postcard t - shirt compare see touristy location . 
