RUDE 	 hotel rude person customer service base job ever misfortune encounter . lie , accuse lie , obnoxious completely incapable work hotel reception . people skill quite clearly ability deal genuine complaint . brief time hotel hoverheard 4 seperate people make complaint facility . we book 3 double room family break , travel seperately other party arrive partner book . arrive tell ' receptionist ' double room leave would tripple , say come 12 pm follwe day could change room double , reluctantly accept , make way tripple room . room would expect travelodge ( see photo ) . bathroom dirty dirty towel remove , hole bathroom door , grout around bath sink grubby , dry rot skirt disgusting brown build something unidentified around join toilet tile , soap , plastic disposable cup clearly use guest we ( toothpaste stain etc ) dress table / desk chair , look like brown liquid stain wall top bottom ( god know happen room ? ! ? ! ) look like either vomit hot chocolate stain side tv unit finaly mould around window . disgusting . avoid cost . photo post reviewer REPRESENTATIVE ROOMS HOTEL . FLOORS RENOVATED ROOMS.As suggest night go reception ask room change , receptionsist ( different one ) say fine tell we pack bag preparation move . tell come back afternoon double room would ready . return original rude receptionist back duty- cut long story short - double room available , deny person speak morning even exist , counter say woman not work ! ! ! ! deny tell we check could swap room , basically accuse lie making . hotel overbooke option stay room find another hotel . appear ok hotel give someone else double room book pay arrival refise point blank give we double room someone else yet book even although mean splitting party 6 . end two we move another hotel . arrange we pick taxi move another travelodge . turn taxi unmarked driver drop we 10mins away travelodge . idea go hail black cab take we . get second hotel record we move ! wait hour deputy manager able give we room . sort mess . fussy , expect room standard pay , pay £ 59 per night ( room ) , cheap London standard . expect palace expect get double room , get clean room staff treat bit respect dignity pay customer . 
 Sep 28 2009 	 good location ok acommodation . 	 bad review suggest , location good king cross main Tube station . maybe standard regular travelodge . room well service . 
 Sep 22 2009 	 good value £ 19 night offer sometimes get ! 	 treat friend one night stay last weekend - manage get room £ 19 one special offer . great location 10minute walk St Pancras / king Cross Station . go friend birthday , ideal centrally locate hotel come back to . hotel nothing flash traveller London spend time room , therefore make place ideal . would recommend one two night central London stay . 
 Sep 10 2009 	 Standard hotel convenient Eurostar terminal 	 seldom stay hotel UK little idea expect Travelodge need , close St Pancras international rail station , reasonably price hotel lie head get 04.00 first Eurostar Paris . I disappoint Travelodge Royal Scot . 10 minute brisk wall southeast Kings cross station reasonably good , well - light area . reviewer say , solid block , operate production - line approach check in . I stay Tuesday night 8 September prepay £ 87 without breakfast . time booking , website say almost full . arrival feel like ! room 2010 downstairs side corridor 2nd floor , easy find . compact , double bed , desk chair . kettle though use . tv old bulky sortI find either telephone alarm tv . rely mobile phone 's alarm . bathroom toilet shower bath . see design without degree sanitary equipment , great difficulty work direct water showerhead rather bath tap . I breakfast use service . guest wide cross section workman city type suit . if another crack - of - dawn start Eurostar would stay , definitely hotel tourist scenic spot ! 
 Sep 3 2009 	 GREAT value LONDON 	 three great night london travelodge . like travelodge royal scot basic clean , great location 10mins walk king cross book early get great deal . when london spend day night do not need top range hotel . we also take aday return paris euro star travelodge great location . the royal scot resturant cook breakfast buffey style ok early give pack bad value . it also basic meal well , alot takeaway outside small shop . we find reception helpful frendly . we would use royal scot good value . 
 Aug 27 2009 	 great room good price ideal base london look .... 	 read review concern , walk ten min king cross station check family room 331 look lovely little park call percy cross .... concern fade away .. room two lovely big window , clean bathroom small compact ! .nice tea coffee room .. never stay side london be not much around , nice italian restaurant 2 min walk away ten min walk opposite direction several restaurant could eat outside , nice , london ( indian excellent . ) .. breakfast ok ! ... delivery egg two day run ... still charge 7.50 ! .. ( child go free ... ) . would stay hotel ..... 
 Aug 21 2009 	 be not bad budget base see London 	 Hotel - Old bit gloomy - room could coat paint . air conditioning window fix could not open . room reasonable size suite fine . room clean daily . door seem spring slam loudly shut make pretty noisy . lift work ! road king cross good location station travel round London . staff pleasant helpful . all get pay would reccomend reasonable budget hotel quite good location see London . food be not nice though , eat one night convenience , breakfast ok bit crowded . 
 Aug 15 2009 	 good advert travelodge 	 phone travelodge book cheap overnight stay whilst visit London see Oliver West End . location hotel suit need well 20 minute walk theatre watch midday performance feel easy walk back . room disappointing stay Travelodge 's always satisfied . mention staff foreign give impression rudeness due lack understanding . room cramp twin bed might well double bed close together . bed feel like go collapse time roll . day stay hot day ventillation room awful due fact window would open 2 inch . bad door room slam shut , even try shut quietly bang . keep awake lot night door bang corridor air conditioning unit cafe / bar . I would recommend someone want cheap stay London good location would warn expect much . warn hotel inside congestion charge zone use hotel , small dingy carpark drive 3 metre zone mean pay charge stump heavy fine . 
 Aug 6 2009 	 cheap CHEERFUL HOSTEL LIKE 	 really . certainly not romantic , want somewhere sleep ( ) suppose would . ask quite room approx 3 week arrival probably help still less peaceful adequate . a / c efficient room , although take we age find room direction wall limit . lift area stiffle . Decor tired reception staff good . continental brekkie typically basic lark get stop 9 instead 10 state . good location try pay full asking price dissapointe - book advance not prob - get pay 
 Aug 3 2009 	 need good clean ! 	 stay Royal Scot couple year ago , whereby get deal £ 29 night fabulous . clean , basic , fresh room , 2 year .... motto & quot ; get pay & quot ; .... well certainly time . pay £ 34 twin room ( get ) overnight stay en - route Belgium , near St Pancras Station . the bed comfy , linen clean , towel , carpet need good hoover , kid black hand put hand print wall near tv . tv work , even switch . skirt board 2 inch thick dust , see clean month . bathroom pass cleanliness . disappointed . use Travelodges alot use one London . stop Premier Inn road king Cross , good review would worth extra £ 30 quid ' kip clean room' . most disappointed ! 
 Jul 28 2009 	 one bad hotel ever stayed 	 stay many Travelodges year come expect clean , basic , comfortable room . get dirty , cramp noisy . broken furniture , dust everywhere , mould crack washbasin bathroom , towel like sandpaper , damp patch wall , window close properly , bedside table single bed narrow fell turn ( book double room ! ) . would stayed book one night . 
 Jul 28 2009 	 cheap cheerful 	 stay hotel pick due location price . yes old hotel decor bit wear £ 69 per night twin room central London put . bit busy tourist bus arrive find funny foreign traveller try get lift ground floor let son lift first ! manner cost nothing . good food restaurant reasonably price London although do not open til 5 pm . go bar . breakfast time get bit chaotic tour people do not want pay £ 7.50 plenty good cafe within walk distance cheap . bedroom compact big enough amount time spend . bed comfortable linen clean . Bathroom small want dance it . hotel staff friendly polite overwork . the side noise guest slam door late night early morning . read guest say slam door ensure close . find could close normally without slamming lock ok . would definately stay . king Cross Station 5 minute walk away 
 Jul 26 2009 	 tired old hotel second wind travelodge 	 use summer sale offer book £ 9 night , look review think ahhhhh .... mixed bag . honest , rate pay hotel fine complaint , pay high rate might happy . hotel farm thistle hotel fairness see well day . whilst clean tidy need tender love care fair quid spend . room need good lick pint furntiure need repair . wardbrobe back miss draw desk break . appear miss chair bin , £ 9 clean tidy soft bed good sized bath room . air con add windows tethered shut apart top inch mean get quite warm room . phone tv include freeview channel . previous hotel chain phone socket etc still . room heating , well two box wall , one old new . check staff efficient perhaps smiley kind do not effect overall appearance . bar small cafe room double trhe breakfast room always seem busy . honest walk king cross use coffee shop . would go back ? well yes £ 9 pay might hjave positive . backpacker thew yound may well love cheapness . 
 Jul 26 2009 	 great location basic clean hotel 	 bad review would believe . yes 's old basic room clean comfy bed , tea coffee make facility , small clean en suite powerful shower.10 min walk king Cross , St Pancras station , location execllent . cheap basic definately get money worth . 
 Jul 25 2009 	 great value money esp central london 	 great location 10 - 15min walk king cross station , clean , spacious room , friendly staff . tv remote control . extra tea / coffee towel available request . I stay sister enjoy stay travelodge would come again.negative check 3 pm storage room available , unless travel light might become troublesome . would stay -- yes 
 Jul 16 2009 	 dreadful 	 awful rundown property unattractive area close king cross . blatant example budget chain use & quot ; frill & quot ; excuse shoddy housekeep complete lack renovation . unsmile reception staff ancient bed , dirty carpet decade old paint job , tv remote , tea coffee room , bathroom furniture literally fall wall smelly curtain , awful hotel . wnat standard stay backpacker hostel half price . want budget quality , pay little stay hotel chain close competitor . Disgusting & gt ; 
 Jul 13 2009 	 will back 	 despite read review prior travel arrive open mind say disappoint Firstly - Value money . we book 2 night ( sat / sun ) pay £ 87 two us central London think reasonable although breakfast be not include breakfast hotel Sunday ( £ 7.50 ) adequate see we lunch . secondly - Location book hotel first instance location , closeness tube local bus central london , hotel litterally 5 - 10 minute walk king Cross / St Pancras Int , bus central London outside king cross every 2 - 3 minute day many night bus also serve area public transport access excellent 24/7 , hotel also walk distannce central London walk Tottenham Court Road around 45 - 50 minute . Third - Hotel GenerallyThe hotel though excellent although negative point area could lick paint , otherwise everything brilliant . previous review state hotel use quite alot tour time reception / bar area feel crowded generally sort quickly possible . the staff extremely helpful could not enough ensure pleasant stay , hotel also strict smoking policy ( line ban smoke public place ) rigurously enforce staff fine £ 150 anyone catch smoking room . the room book describe twin adequate although bathroom tad small side use place base somewhere sleep . hotel bar open 5 pm till 1 am daily food serve till 10 pm central London quite reasonbly price , although many bar fast food outlet around hotel . all thing consider would definatley recomend hotel anyone look central London base stay capital . two Top Tips1 ) book early possible get good deal stay £ 55 Sat night £ 32 Sun night bargain had.2 ) travel round London , consider get oyster card Transport London give discount tube travel , simply get travel card considerably cheaper pay seperate journey ( cash fare two zone 1 station cost £ 4.00 single , £ 1.60 oyster card , zone 1 - 2 travel card cost £ 7.20 make oyster card travel card much cheap multiplr trip anyone day . 
 Jul 6 2009 	 would expect travelodge 	 use Travelodge many time one bad . reception staff friendly reception area clean enough , room though need overhaul , bathroom terrible , mould bathroom & amp ; really clean , broken bed . room previously use smoker although non smoking- smell remain . - dismal room really . corridor dark & amp ; dismal need good vacuuming . could not really recommend one . 
 Jun 27 2009 	 want sleep dont WANT pay extra arrival avoid cost ..... 	 book hotel husband early Eurostar train catch next day . arrive 1 pm heavy backpack hope room would ready ( business day - usually people check early room would available ) . tell would need pay £ 10 check 2 hour early . room sit wait pay extra ? ( option book room month ago ! ) . nowhere leave luggage , refuse pay , take we . ( BTW king Cross charge £ 8 per item point direction would not bother ) . arrive back later do need day check . ask quiet room give one face back street . noisy window close ok sleep , air con , hot ! bed seem comfortable pillow ok . Ensuite could barely stand tiny . shower ok powerful enough . 6 try early night suprise hotel seem quiet 11 night ..... think go lucky . , come midnight loud party - goer return hotel ( bear mind stay Tuesday night expect much loud behaviour ! ) . instead return quietly go room , talk loudly , shout hallway slam door . continue room return go 3 morning - 3 hour lose sleep . wall room seem paper - thin also . could hear people talk room two room away ! could also hear people next room ( seem quiet like we try get rest ) use toilet .... lovely ! finally get sleep wake 5.30 first person leave - slam door ( probably protest inconsidereate people return late make much noise could ) . location fine , 5 - 10 min walk king Cross - though street absolutely fine day - sure would want walk dark evening winter .... , would spend little stay somewhere nice . Book early get decent hotel need rest complete waste money stay ..... mention stressful ! 
 Jun 26 2009 	 beware hidden charge 	 hotel could get area less £ 100 night pretty much budget one - night stay . arrive initially hotel meeting tell can not check 3 pm otherwise pay additional £ 10 . not really want pay - sure , room ready can not check - in . also space leave luggage reception lug around meeting afternoon could go back . eventually check - in reception staff quick , efficient , friendly helpful calm mood slightly ! room face back hotel overlook guest room . privacy curtain hide room get change get dress dark ( could course turn light shut curtain pretty sad bright sunny day ! ) room clean tidy good size , however bed shocking ! ! ! soft , feel like collapse beneath sit , ' m 9st ! good night 's sleep . also , careful leaving room - reviewer point slam door make shut properly . try quiet close door softly not lock ! ! Lucky check otherwise would away evening open door ! ! main positive location - 5 - 10 minute walk king cross station easy get around London onto mainline train . not think would choose hotel - would try nice hotel instead get well price . fairness , price pay £ 79 add breakfast ( £ 6 ) , Wi - Fi access £ 10 24 hour , early / flexible check - in £ 10 , might well stay well hotel thing standard . 
 Jun 22 2009 	 horrible ! not stay ! 	 stay many Travel Lodges UK , think booked place , would everywhere ... wrong ! 4 we arrive 2 night stay , call place Cell Block H , look onto ' courtyard ' people room ... horrible place . room small , clean staff extrememly rude . would recommend place ? bad enemy ... Travel Lodge ashamed ... horrible place ! 
 Jun 13 2009 	 Travelodge Royal Scot will back ! 	 hotel great location - close king Cross St Pancras Tube various bus service . many nightlife venue within walking distance . staff professional polite . coin - operate internet available lobby . hotel feel safe . room accessible swipe card , convenient hand key go . room clean spacious . clean white linen bed . clean bathroom fresh towel . television tea / coffee facility available . late check time 12:00pm good . negative strange sound come room day , like pipe something . apart really enjoy stay plan return . 
 Jun 11 2009 	 basic hotel 	 hotel well locate kingscross near tube rail service room small clean . hotel bar ok give food miss would stay hotel price location can not go wrong . 
 Jun 5 2009 	 AIR COND phone ? ? ? ? avoid PLACE COST . 	 tonight first 4 nites here.1 . phones room . be tourist be sort trouble , be pretty much screw get help.2 . even though A / c unit room , operational . go downstair reception ( see # 1 ! ! ! ) ask say none room A / c window open . ' m type review , hear people yell outside , traffic buzzing , etc . good thing ear plugs.3 . laptop run battery right since power power outlet ! ! ! inquire supposedly maint guy going come take look . 30 min since check in . I tempt check rigth stay somewhere else rate non - refundable . guess live 4 nite . do stay ! ! ! ! ! ! ! ! ! ! 1 
 May 31 2009 	 good value money 	 stay four night Travelodge bank holiday weekend . give London hotel good choice stay . within walking distance ( 5 min ) king cross station ) . unfortunately possible store luggage hotel check , time hand leave London need find place . room frill , fairly small ( twim bed , desk , wardrobe small cupboard ) clean . get fresh towel every day . room face Kings Cross Road relatively noisy , something expect almost everywhere London . Breakfast ( hot cold ) good ( fresh fruit , yoghurt , egg , bean , sausage , bacon , toast , croissant , ... ) . real downside hotel use many tour operator hit lobby ( small ) breakfast room crunch time expect long line wait table . 
 may 27 2009 	 dirtysmelly small room Scruffy Dump breakfast canteen ok 	 stay many Travelodge ' find similar quality , brand could trust book confidence . would know go get get there . how wrong misguide , London Kings Cross descry Dump , dirty , poorly manage , room small . stay dirty , damage rabbit hutch . hotel totally spoil opinion Brand Travelodge . go way book again . there two adult one 5 year old child room ( 507 ) . 3 bed different height across small room . room dirty , dusty desperate need totally upgrade . hole wall , poor fitting curtain , bathroom smell sewer . kettle mould , ask forA Extra Pillow – none arrive extra towel – none arrive Kettle work – replace main problem huge disappointment , expect Travelodge dump . 
 may 27 2009 	 Definatley Use ! ! 	 read previous review hotel , start feel bit weary expect . stay travelodge across country suprise review say dirty , cheap & amp ; noisy . it take friend 5 minute walk king Cross St . direction google map clear easy enough find . first glance look bit shabby outside , however step inside look like travelodge . not busy , everything seem fine . check run smoothly , staff reception desk friendly helpful . the room not big ' ve stay - however need place sleep night not particulary bother this . the bedroom & amp ; bathroom clean , light work , impressed get money . we visit bar & amp ; initially go food restaurant - however quite take out outside hotel decide use [ save money anything ] liscene right near hotel , pub & amp ; like previously mention 5 minute walk king Cross , easy get tube link wherever need go . the negative could point temperature room . weather generally hot , not know air conditioner working - could not figure use , rather hot room . other , pleased service recieve stay here . I would recommend anyone - especially consider much cheap hotel London ! ! 
 May 25 2009 	 Yuck ! not GO may get BITTEN ! not want even award poor ! 	 friend stay hotel treat night London . check quite late room we another 20 people . 3 hour wait show room . stay hotel quite often test check shower toilet . disgiste , also smear bed look brown shudder think ! compaline another 2 hour wait show replacement room . time tired decide stay anhd even look toilet ! go bed feel thing crawl we , get go bathroom , see visable bug , big small finger nail crawling , risen bite everywhere . run reception area underwear show shock offer doctor . upload picture bite 3 day later ... shut , disgusting , could catch anything ! ! 
 may 16 2009 	 stay elsewhere unless be dirt cheap . 	 room small compare Travelodges , 's clean need decorate . be noisy , people corridor sound like be room door require slammed close cause noise . spend little stay somewhere else . 
 May 16 2009 	 15 min walk tube station 	 furniture / fitting look bit tired , clean linen , towel , carpet , shower plenty hot water , coffee satchet / tea - bag / milk cup .. room decently large soft double single bed 2 we . Rm 228 back section hotel quiet . aircon ( not need May - draw window ) , electric heating , tv free - to - air channel , fridge , telephone . housekeep slightly erratic ok ( go reception ask fresh towel , coffee satchet , soap , etc ) . breakfast available hotel nearby cafe , several convenience store around neighbourhood . but long 15 min gradual walk Tube locality glamorous , bit run , feel safe walk back night ( around 11 pm ) . 
 may 13 2009 	 nice place stay central london 	 good value money pay especially get room 13 pound ( book online ) . nice , clean close fine indian restaurant ( two present across road ) . good place stay work central london . 
 May 9 2009 	 Great Value - lick paint would super ! 	 book room month ago part £ 9 room deal whilst niggle place perfectly acceptable place rest weary head night ! ! location wise short walk king cross nice look restaurant along route . the hotel look bit date plenty large group room stop away hustle bustle . manage sleep window open not hear noise ! ! bathroom bite small everything work fine . if want bit luxury hotel not , base sightseeing great . 
 May 4 2009 	 cheap London good much luggage . 	 arrive Australia 6 morning time able check hotel exhaust . pay £ 29 room include extra £ 10 early check Midday good price London & amp ; good location catch Eurostar next morning . hotel room small clean & amp ; comfortable . give Millenium Room , sound good , go lift 2 floor walk stair ground floor side building get room . 2 suitcase & amp ; hand luggage happy . tell way get room & amp ; nobody offer help we luggage . mind would recommend hotel senior traveller luggage . 
 May 4 2009 	 say label . 	 stay base sightseeing trip . whilst little tired look quite busy , find wanted weekend ... base rest weary body day sightseeing , bar / cafe area get ' generic ' drink / meal , parking area check car pass ( though park £ 15 day ) , short walk king Cross tube , cafe / shop / pub area nearby . room basic , comfortable clean . small bathroom powerful shower plenty towel . good view park outside , secondary glaze enought keep noise . unfortunately can not choose guest , room near lift area , find bit noisy ' ping ' lift arrive , people stand around chat whilst wait , drop , lift , conversation people together different room . all get pay go back price right . not put bad review ... basic awful . 
 Apr 28 2009 	 Worst Travelodge ' ve ever stay . 	 stay decent Travelodges one shabby , run dirty . noisy room constantly full noisy school trip block entrance lift access . well hostel . triple bed small room not enough space chair bedside table . phone . broken toilet roll holder . air conditioning not work . not good experience not stay full length booking .. 
 Apr 18 2009 	 Value money 	 good hotel London complain three night break less £ 150 . public room fine bar area relax . yes room bit small need TLC not travel London stay room . one inner room hear hardly road noise . enjoy stay . 
