nice 	 agree great service nice room . upgrade one bedroom suite feel like apartment NYC . nice apartment . everyone helpful . now onto opinion side thing . great hotel want residential part NYC close big attraction . want party , stay meatpacke district . party hotel . nice bar downstairs , get night stay . rooftop dissapointment enclose stuffy much view . wan na party , stay Standard . want rooftop , check Gansevoort . hotel seem dark stuffy . W - Union Square , close close hustle bustle , look airy people hang lobby . I think look little bit fun hotel . hotel good place want quiet getaway NYC want stay room . not know look ? Celebs not want paprazzi ? & quot ; nice hotel & quot ; look time NYC . 
 Jul 31 2009 	 Gramercy Park Hotel wonderful location 	 * Rooftop garden beautiful fun people watch * server rooftop garden friendly * drink expensive * Room clean daily * bed wonderful * room dark * hotel lobby dark * different experience * area around hotel wonderful quiet * Room service always prompt * Menu price expensive * sure would return * Gramercy Park next door real treat * want spend kind money go 
 Jul 27 2009 	 Trendy Dark Different 	 stay weekend upgrade large room . bathroom really really small - shower door bathroom door open could stand bathroom . really make sense room large especially NYC . hotel dark trendy . 
 Jul 13 2009 	 fantastic place stay NYC ! 	 stay Gramercy Park Hotel one night end week 's stay New York . say really stylish hotel . lobby impressive beautiful chandelier focal point . staff could not friendly helpful - nothing much trouble . also , guy bring bag room literally male model material - fact everyone work model material ! room tastefully decorate , spacious great view Gramercy Park . ensuite small perfectly form great fixture fitting luxurious product . location hotel lovely area close subway within walk distance lot shop restaurant ( ten minute walk Macys ) . thoroughly enjoy stay Gramercy wish would able stay long - one night definitely long enough . incidentally friend go stay Waldorf next night say not patch Gramercy . praise indeed . 
 Jun 20 2009 	 fantastic six day new york 	 fantastic place . great location , helpful staff , lovely atmosphere . arrive long flight discover upgrade book loft room third floor , chuff bit . have look previous review know would need take earplug , noise outside problem ( not forget take room overlook lexington ) . bed comfiest ' ve ever sleep roof terrace beautiful ( even give we free coffee last morning ) . yes , expensive extra , frankly problem . not bother room service 's fortune , head road murray hill diner want hearty kick start day ... 
 Jun 14 2009 	 come key Gramercy Park 	 live NYC 6 year never get go inside Gramercy Park .... . good thing stay . 's cute , well do , great service boutique hip hotel key Gramercy Park . go . 's bragging right picture facebook get . hotel cool , adequate luxury place comfortable bed , nice accesorie , leather desk . everyone may like dark green wall red velvet accent .... . Think & quot ; bordello & quot ; like decoration , good way . nice . love wood decoration scent entry hall ( cedar ? ) . upgrade & quot ; loft & quot ; - miniature sized room normal high ceiling .... sure loft , scale standard room . shoebox ? well , New York afterall . 
 May 18 2009 	 change Schrager really work .... yes buy t - shirt 	 Stayed GPH say terrific . service spot get taxi til time leave . brilliant design nostalgic timeless glamour way thing bright shiny new . mansion & quot ; Gangs New York & quot ; untreated timber rich , dark , ripe colour hue . room dark , dimmer suggestion able turn voltage bathroom . shave little difficult usual . element comfortable , excellent minibar ( buy art t - shirt last minute gift ) drink bar list interesting well thought . location work time stuff town . previously stay W Union Square actually prefer . downside gym low ceiling limit equipment . ' m hardly jolly green giant feel compromise . apart , love . return . 
 Apr 25 2009 	 Unique Hotel 	 ' ve read negative review add opinion . stay Gramercy Park Hotel twice find unique , interesting ... much well almost every NYC hotel occupy . room dark , yes , call extra soap well , location great , service wonderful room comfortable . reservation recommend hotel . 
 Apr 24 2009 	 Sexy Chic Hotel 	 spend 3 night January w/ Amex Platinum card 3rd night free - so give room upgrade , free breakfast , complimentary lunch . chic , beautiful hotel , amazing original art hang lobby bar locate great area -- Gramercy park , nice area Manhattan . feel like private club . yes expensive -- Jade Bar expensive drink Rose Bar reservation whether hotel guest -- celebrity spot -- one night see Kate Hudson , Sean Penn , Josh Brolin , Anne Hathaway . round drink 2 run minimum $ 40 ( unless get beer ) . Rooftop bar open hotel guest friend . one beautiful hotel rooftop Manhattan . breakfast sunset drink awesome . service great also , attentive . bring bottle Veuve Cliquot Champagne special occasion let we rooftop . nice staff , beautiful hotel , would definitely go back . 
 Apr 23 2009 	 LOVELY - GRAMERCY PARK HOTEL 	 season luxury traveler , expect quality product greatservice hotel choose - especially major metropolitan areaslike New York . stay Gramercy Park Hotel recently receivedjust . lovely property spectacular design team ofemployee nice possible ( especially Front Deskand Concierge ) . gem ! 
 Mar 28 2009 	 over - rate Ripped - off Fed - Up 	 unfortunately , read late review trust - wish . hotel deserve 5 - star deserve disapointing rating list . arrive 4:00 pm ( informed hotel would likely arrive ) aftter long transatlantic flight tell room ready pay 150 usd per night would get next category room right away . tell insult reserved month early , reconfirm disappointed wait . tell wait bar - offer we water , tea anything - instead pay 11 usd beer 9 water wait 20 30 minute room . internet note rate room 452 per night special every night 50 % discount . charge 595 per night ( 50 % second night ) - inquire internet rate book tell math actual price per night 452 . internet info highly mis - lead . room okay - nothing impressive dark certainly worth 595 per night . bath area open room small dark put make - up . ask body lotion never refill shampoo lotion 5 - day stay . one roll tp , call get . room anything bathroom counter towel tissue place sink . amenity like cotton swabs nail file . table room place front sofa - fine relax terrible working . work light , electrical plug laptop , telephone charger , etc . good hotel business traveller - business center literally small closet front desk - room one person time tiny desk . charge 16 usd per day use internet room . hotel bed comfy , though . not advance reservation , can not get bar drink . ask could tea wine sofa lobby - absolutely - offer make we bar reservation next night . roof - top garden area lovely breakfast , costly ! two order egg benedict , coffee juice 125 usd . internet gym look great - small room 2 & quot ; nordic trainer & quot ; , 2 treadmill , 1 recumbant bike , couple weight machine . hotel nice art , lobby small , much personnel around . employee bar guest mid-20s . ask direction Gramercy Tavern ( nearby well - know restaurant recommend ) casual girl front desk point right say go leave couple block not know name number street - not seem map offer . really not know send we offer call manage find way help ask pass pedistrian ( clerk direction completely ! ) . hotel fun part town , want pre - book hang bar young lovely might find hotel worth stay - like dark , slightly dank room feel like old Aunt Edna 's parlor ( complete lacy throw sofa kitchy chair ) like spend lot money much , may hotel . can not get bar pay 20 usd gt , relax room one free thing hotel - loan dvd collection . oh , not leave newspaper door , leave shoe shine night , call morning get back . send laundry normal service request try charge 50 % express . 
 Mar 26 2009 	 overrate 	 Ian Schrager treatment hip yes , worth ? negative . overprice , hotel cheap ! 1k per night penthouse level one bar soap call bar shower call lotion . get ; $ 70 per night valet park car ? give break . bright spot Rose Bar must reserve concierge even residence . Rose Bar We d. okay DJ litle strange . Thursday night different vibe definitely fill hottie . resent ask give seat large party could seat . rate plus $ 20 martini , one ask move anything . ply drink stand fan . 
 Mar 24 2009 	 not even consider hotel . awful 	 uncomfortable , tiny cramp room switch mucho moolah big dorm - style room still tiny cramp cold bathroom ! redo decor -- frightful -- leave old NYC bathroom intact . room COLD could not get temperature rise . shampoo , conditioner , body cleanser body lotion , request -- twice -- front desk insist must miss ( not ) . even ask toilet paper run two day replacement . overpriced . overrated . find . class hotel . 
 Mar 15 2009 	 Love ! 	 unique place . room fabulous , although little dark . bathroom small side whole - room superb . huge , comfortable bed & amp ; beautiful crystal glass well stock mini bar . bar great scene Friday & amp ; Saturday . highly recommend . place cheap St. Regis far - skimp quality . oh staff extremely helpful ! 
 Feb 22 2009 	 hate 	 book 2 night expedia . place look nice 's like movie set . lot pretty covering underneath -- ecch . air conditioner keep whole night . tell want leave , say would take care bill 2nd night Expedia . believe . BIG MISTAKE . lie . plain simple . take DAYS unravel whole thing finally get charge take credit card . people front desk HELP call . never . GPH BIG RIPOFF . be 20 year old ton money spare taste , like . seem like lot party frat type run around hall . save headache drink let roof garden . not stay . 
 Feb 18 2009 	 superficial shamble completely lack style 	 one positive thing say place staff look pretty situated great location walk ( take quick cab journey ) good bit city . wish would read review book ... retrospect , surprised story people serve drink break glass Jade Room leave see New Year freezing pavement . the Gramercy , course , primarily hotel – turn " extraordinary " entertainment facility – hundred dollar night buy : tiny bathroom brown run water intermittently hot cold , broken bathroom tap , heating system noisy wake , towel rail fall , internet access $ 16 day , unnecessarily extortionate charge listen music in - room entertainment system . the Gramercy , however , like market hotel , " original exciting " space " unique " atmosphere : Roof Club , Rose Room Jade Room . spend 4 night hotel , Rose Bar book private event every single one night ( Jade Room , way , separate bar ; small entrance hall Rose Room , get drink ) . mean access hotel guest , although concierge tell we would able get 1 am , actually suit we . 2 am return tell - quite rudely - doorman way get later . access Roof Club ( although one night close midnight , mean nowhere we go hotel drink ) . ' sure Roof Bar lovely summer , winter totally lack atmosphere , terrible soundtrack , service Gramercy trademark beautifully bland waiter . Roof Club act hotel restaurant . extremely limit food menu ( pretty frosty ) waitress tell we menu totally separate room service menu ( despite item clearly take room service menu , cook kitchen , people , hotel ) . stop Rose / Jade Room day quick post - shopping snack find deal : slightly different , limited menu , everything appear full Room Service menu therefore cook kitchen , people , hotel , flexibility order . we sit bar , barman couple staff talk loudly crap job , bore work daytime dull guest – laughable error consider one party travel journalist national broadsheet . miserable fail model could care less earshot . admittedly , interested talk entertain staff - mistake , clearly . place manage encourage people continue spend money privilege stay simple : ' get good pr agent get onto ' hot list ' , doorman make difficult get ( overwhelmingly disappointing bar ) order maintain hype . reality , place run patronize people idea true style . many way spend money ny ; urge funding superficial shamble hotel . 
 Feb 16 2009 	 's amenity ? 	 husband return Valentine 's Day overnight GPH disappoint . choose hotel dinner reservations downtown thought would convenient . also , last time stay overnight , stayed uptown . return hotel . triple upgrade one bedroom suite checkin think awesome . well , awesome . room really cool . great art , great color . bathroom horrible . toilet top shower . feel like boat . shower separate stall bathtub / shower curtain . curtain , yuck ! water pressure great strong create wind effect cause husband dance order avoid contact shower curtain . Turndown joke . slipper , water bottle next bed , towel use clean ton water shower incident replace tissue box empty . service ? recently stay Lowell tell luxury contrast like night day . rooftop bar awesome visit worth mean stay hotel . 
 Jan 6 2009 	 ` ` Dropped Ball New Year 's Eve '' Part II 	 shiver person incident describe review mine ( & quot ; Dropped Ball New Year 's Eve & quot ; ) . Thought would chime , want make clear not * * incident hotel screw . ' m elaborate . I ' m one book reservation . ' ve stay GPH -- -- like it . I already book regular room NYE receive one marketing email special New Year 's Eve package , require upgrade one suite . suite often ( always ) bit waste -- not throw wild party live like rock star illegal thing bathroom -- reason change reservation upgrade special bell whistle suppose come special , super - cool nye package . two bell whistle care ( 1 ) guarantee access Rose Bar ( 2 ) late check - out . perfectly happy pay premium ensure would not stand around freeze ass get anywhere midnight New Year 's Eve . exactly happen , two different staffer turn we away Rose Bar end listen count - down street ( failure # 1 . ) staffer never hear NYE package , guarantee access part , not bother check internally find could possibly tell truth ( failure # 2 ) .By time find manager say & quot ; course & quot ; access Rose Bar part deal , midnight come go . failure # 3 : attempt make amend . even compe glass champagne . failure # 4 : even though particular manager knew go pear - shape we , apparently communication internally happen kind hand - off day shift , check next day , person duty surprised hear reply standard - procedure & quot ; like stay ? & quot ; failure # 5 : tell Rose Bar problem , offer comp we breakfast , realize breakfast suppose include rate well . ( offer forthcoming -- 's finalize bill closing valet parking -- doineedavisa suggest might nice gesture comp we $ 50 + charge valet parking , . ) failure # 6 : ask check early rate give we check - out time 2 . tell ask expressly check - out time night tell noon . ( sorry . offer let we stay room , would already clear . ) want hard- [ -- ] ( never situation , vote foot ) , would expect follow : comp we room night , offer we room house future stay . great time overall NYE not mood hissy - fit front desk hotel snafu . doineedavisa agree make sense share story , since benefit TripAdvisor review regularly . in meantime , be back Mercer , although would gladly return GPH hang Roof Bar . 
 Jan 3 2009 	 Dropped Ball New Years Eve 	 Gramercy Park gorgeous hotel , roof club perhaps new favorite place hang world , make completely unacceptable error New Year 's Eve . reserve package include guarantee access Rose Bar ( double - check case ) , show 11:55 NYEve one seem hear package refuse entry two different door . usher new year shiver sidewalk front bar . the next day hotel make several good faith effort recover lapse , include compe breakfast roof club , still ... 
 Jan 1 2009 	 polished friendly comfortable 	 unlike many boutique hotel , find staff GPH extremely friendly helpful . young cute , none attitude often find among rank stylish youth seem run world hip hotel . the hotel disappoint either . arrive long weekend right Christmas lobby could cozier fire oversized fireplace beautiful twinkly Christmas tree . fact , public private area hotel stylish beautifully decorate ( great art collection ) everything pristine condition . perhaps relative newness hotel , rare find hotel finish intact , nothing worn , stain chip , scuff . try spend fortune hotel NYC , four we stay double / double surprisingly big comfortable . like rest hotel , room & quot ; dark & quot ; feel , unlike dark boutique hotel , plenty lighting bed desk . need . nothing hate able read hotel . problem . room beautifully decorate , plenty closet space , comfortable chair , big tv , beautifully stock mini - bar nice crystal accessory . the rooftop lounge / garden truly spectacular . cool , comfortable decor , lot different place sit -- although much light read interior lounge -- great place delicious pricey breakfast delicious pricey martini ( $ 19 ) . bar lobby also great space require reservation 10 pm . the fitness center small nice complete . various free weight weight machine , punch bag , four cardio machine overlook Gramercy Park . another perk hotel access private Gramercy Park . open resident square guest hotel , wonderful green oasis . unseasonably warm 63 degree December day , spend half hour sit park book . make sure bring cell phone , however , staff walk across street let , also come back let out . although room quiet , 17th floor rooftop / lounge garden level mean bit furniture move noise late night early morning . not really bother we much , light sleeper easily annoyed would probably fit . we book directly hotel website use non - refundable , advanced purchase rate save little money . actual contact hotel staff amazed request honor ( high floor , feather , non - smoking , New York Times morning ) .A great stay . 
 Dec 18 2008 	 Light Love heavy pretention . still good brew . 	 GPH like old girlfriend still call 1:00 Star Bar many mojito . always , happy good time . will not carry . deal : love hotel , stay several visit . time pretentiousness check - in event hover normal altitude . comely new girlfriend , tinge nerve , confess . embarrassed complete lack common courtesy demonstrate two people front desk . walk half day 's travel , neither woman acknowledge existence . stand disbelief spend dividend quotient large third world island , one could even muster & quot ; buenas tarde & quot ; .Anyhow , one anecdote many . overall , despite well judgement , return . hotel comfortable tastefully design . staff must improve ( doorman exclude -- wonderful helpful guy ) . desk folk really must get . air sophisticated je - ne - sais - quoi expect high end mercantile . ass never cool . greet guest warmth . garrulous chatter , saccharine fakery , warmth . good . 
 Nov 18 2008 	 design experience 	 spicy cedar scent permeate lobby first arrive blue velvet throw strew purposefully across foot bed , whole stay feel designer , chic , artsy . echo reviewer laud staff property casual professionalism - bellhop friendliest ' ve encounter NYc . I opportunity enjoy GPH 's 1 - bedroom suite would return dark , moody , absinthian room heartbeat extend stay . even though artwork within room could qualify creepy ( rabbit - head man suit , anyone ? ) aesthetic rooftop terrace / bar simply amazing - eventually notice also decent view city realistically play second decor . Gramercy Park cute even though gate fence make feel hem rather sense privacy . now caveat : Rose Bar disappointment . though cram full people , find atmosphere stodgy boring . pretention , course , de rigeur enjoy artificial & quot ; exclusivity & quot ; guestlist . also lacklustre restaurant , Wakiya - flavours uninspired menu lack signature . sure fairly busy ... price / Rates GPH beggar belief . ask much ... get idea . Gramercy Park Hotel 's beautiful property , decent location end Lex , friendly service , combine positive memorable experience . would recommend hotel young professional , single couple , travel tight budget . 
 Nov 13 2008 	 room dark really dark 	 public area , lobby , rooftop terrace , bar kind swank ( drink bar price suitably high ) , piece art world celebs like Schnabel , Basqiat , Hirst , etc . , room , though pretty spacious NY standard , marred poor color decorate scheme . 's way much chintz velvet . 's way dark ! barely read paper without turn light raise blind ! clearly intend people actually need work hotel room . and everything bit overprice nickel dime kind way . instance , charge internet usage per device ( wife charge laptop protest take one charge ) . hand , guest hotel give exclusive access rooftop lounge , really nice place late night drink breakfast morning . , be good pricey . the neighborhood retain trace classic old ny , like Edith Wharton Henry James NY , be plus anyone want stay boutique hotel away mobs Soho LES . 's probably worth stay experience return stay . 
 Nov 12 2008 	 small bathroom great staff 	 first room enter pillow ' change ; immediately transfer new one – superior queen . one night decide either hotel upgrade we change hotel . ' see small bathroom anywhere NYC . absolutely nowhere put toiletry , nowhere . light bulb put around mirror great photo session fancy magazine use bathroom ; produce heat give proper light . rest room nicely decorate neo gothic style comfortable bad . after talk polite nice front desk lady give king loft room . room spacious work area huge bathroom ( light though ) . hotel popular partly due Rose bar . guest hotel 10 pm put reservation , entrance way . drink around 7 pm . fancy bar , well order drink wait 15 min , one cocktail come broken glass , drink napkin snack ( table get random order ) . one waitress whole bar . never come back . one suggestion , hotel keen use red leather walk - in closet , white shirt vest color red due . hotel clean extra charge . Hotel nicely decorate ( though imitation night club strong limitation – hardly see number elevator example ) one good staff encounter around NYC . form bellboy front desk housemaid , kind polite . go publish rate would say definitely overrate worth money , hand get good deal try aware - standard room bathroom toiletry space , like camping . 
 Nov 9 2008 	 update review ... 	 since write original review ' ve opportunity stay Gramercy Park hotel time , last visit plain disappointing . ' ve always find doorman / bellhop property friendly really helpful , time different . however , visit man front desk check extremely cold , ask room face Lexington Avenue tell would need pay room . always accommodate request past surprised quickly turn without even look possibility . upon enter room discover wonderful view air shaft brick building behind hotel . also discover could look directly hotel room , realize could . go close blind , discover one blind break , force pull velvet curtain make small room seem even dark small . room also half size previous room stay trash still previous guest trash inside it . the bathroom ridiculously small absolutely surface place toiletry kit . top shower curtain liner moldy . the redeem quality room closet , walk closet large closet previously hotel . the bed definitely still fabulous , NYC comfy bed important long day run around . in end disappoint . disappointed hotel reward frequent guest lower quality room . , seem unacceptable . ' m definitely go reconsider stay next trip book crew travel elsewhere . 
 Nov 9 2008 	 Instant Classic 	 New York native live West Coast travel frequently business . generally stay 4 5 star property decide try Gramercy base rave review various coworker . arrive quite early morning red eye pleasantly surprised room ready 6 am . Bleary - eyed exhausted , practically giddy upon enter standard room . hardwood floor , incredible bed , large sit area full - sized sofa leather - wrap table , wood - panel bathroom enormous bathtub , various delightful feature . room rather spacious NYC standard space extremely thoughtfully lay . actually able entertain people sit area dinner several night . , standard room . staff friendly helpful , let park twice . access exclysive park major bonus , gate private . park location mean peace quiet plentiful . be look scene , find hotel 's Rose Bar . sure make reservation plan go 9 pm . honestly say hotel frequent guest . actually sad leave room upon check . 's first . 
 Nov 1 2008 	 Dark Musty - Service Good 	 recommend hotel American Express Centurion Travel . hotel member Fine Hotel Resorts program . normally guarantee least four five star category . this business trip not research much . room rate 7 's , ( AMEX third night free deal ) . 's way hotel worth type rate , see downstair reception - everybody getting upgrade quite bit . when get , bellman first five minute . one come nice , help we go room find one could stay in . room one bathtub . room two smell strongly cigarette smoke . room three suite . the hallway common area describe scene Batman ( probably joker would live ) pretty much completely paint black splashed carnival color accent . lobby smell dank , dry - in - the - wall incense remind old greek church . imagine mind dark , dank lobby atmosphere boom subwoofer , smell monastery . the room ( three saw ) face really drab brick building exterior firewalk vent . 's wonder paint blind black , keep blind closed . day , open blind , see creepy South - Central Los Angeles look view window , sunlight streaming could see scuff dark wall , normally would not visible . close blind prefer & quot ; dungeon & quot ; look . the bed comfortable - great sheet . room service menu limit . two restaurant , asian restaurant another one , asian restaurant menu available limited hour . in morning , breakfast serve garden rooftop . be kind like greenhouse , interior seating area open enclose ( retractable ) glass area . can not see high simply wall plant around perimeter not allow view city , without stand toe . glass bake patina city pollution anyway , not really know view look like . this hotel remind night bowling alley turn black light everything look neon , go subwoofer , staff strike pose try look hip . if like glimpse daylight , will not find hotel . especially creepy daylight hour . friend live Alaska tell winter hard - sun daylight hour . positive ? room suite separate sleeping room - size good . bed bed super comfy . oh - know , get one remote control two tv 's separate room . call miss remote front room , front desk say , & quot ; remote control TV 's & quot ; .Oh . 
 Oct 9 2008 	 pleasant surprise 	 long business trip , hotel pleasant surprise . often & quot ; boutique hotel & quot ; mean staff exhibit & quot ; Attitude & quot ; quality service . everyone deal efficient affable . room delight , like guest quarter eccentric aunt . bath amenity great , bed . dry cleaning , room service , computer access , rooftop garden lounge fine . location near Gramercy Park provide quiet enclave Manhattan , close public transportation well city 's fine restaurant . 
 Sep 8 2008 	 Silver Anniversary Sadness 	 call ahead ask view suite mention 25th anniversary . arrive , desk staff surly , clueless request , bring we dark inner suite . change much ado , semi nice suite view . go roof terrace cocktail tell entertain people evening need reservation . say , get tell table . cry first time 25 year . thank God wonderful husband . service , ambience , absolutely bad ever . 
 Jul 5 2008 	 Best Hotel New York City 	 amazing hotel . decor Ian Schrager amazing , definitely make overall experience hotel fantastic one ! husband love room . spacious room beautiful decor . unfortunately , digital camera battery dead trip could not take picture room . sure post next visit ( stay hotel every time travel NY ) .The bathroom decent sized clean . closet good , though enough space hang clothing . the bedroom well lay plush . love dark color tone wood paneling wall . flat screen tv could pull turn face bed , desk . desk setup one side chair , side couch . innovative way arrange furniture , well think out . the thing not like room lack electrical outlet . usually like plug cell phone nightstand . not outlet around bed , entire room exception 1 outlet ( via lamp ) , desk . I iron clothing plug iron bathroom plug use iron board small hallway . other hotel fantastic . conveniently locate Gramery Park within walk distance 6 train . highly recommend hotel . 
 Jun 17 2008 	 Nice hotel shortcoming 	 boutique hotel excellent furnishing , bed amazing room decor top notch . however , location ideal business traveller rather far business district midtown . hotel restaurant Wakiya weak link pricey deliver sub - par food limit menu selection . service neither efficient firendly . too bad , would recommend hotel Wakiya . 
 Jun 11 2008 	 Perfect NYC experience 	 everything stay perfect . amazing public space . love design throughout whole hotel include two bar guest room . service attentive staff extremely warm proffessional . concierge stellar . around memorable NYC experience ! 
