love 	 recently visit Thistle Westminster part group organise work . cheap due amount people travel cost £ 150 bed breakfast coach travel boyfriend . hotel good 's price . however regardless amount spend , still feel hotel lovely place stay . second time stayed find pleasant last year . upon arrival check tell relevant information ( breakfast time etc ) take luggage room two double bed ! ! ( boyfriend ! ) also sofa facility make tea coffee well need hard day shopping ! admit hotel room warm however extremely cold outside not problem stay there . the bathroom seem bit old tired however clean important thing short time . we walk near tube station ( Victoria ) approx 5 minute hotel . Victoria central station key place would want visit minute tube ( fantastic ! ) .after lovely evening Tiffany ice rink Somerset House , go back hotel tired ready good night sleep . 11:45 woken alarm go . concerned half sound like car alarm half sound like fire alarm . rung reception ask problem , mind put rest deputy manager 15 minute alarm go . 10 minute rung knock door deputy manger come check situation see everything okay ! ( fantastic service lovely man make we feel concern deal appropriately ! ) breakfast fine , much variety good quality staff pleasant . overall hotel great location , lovely staff big room . would definitely return ! 
 Sep 19 2009 	 Room cleaning service terrible ; breakfast quality service good 	 sister stay three night recently book twin room , prepay travel agent . arrival show single room , move twin produce booking confirmation . room smell smoke musty . first day room clean service poor second day room clean leave without toilet paper . ask mentionne lack cleaning , told & quot ; well be busy & quot ; ! breakfast , hand , good staff breakfast restaurant efficient friendly . 
 Sep 14 2009 	 ideal tourist location 	 book one night stay long lose cousin Canada hotel purely special deal Daily Mail book read report Trip Advisor . appear people either love hate - personally find perfectly adequate hotel excellent location tourist friendly helpful reception staff . special mention friendly approachable concierge bend backwards help we out . we arrive king Cross , use underground link get Victoria underground station quickly 5 minute walk hotel Buckingham Palace Road . would not see hotel not know look interested inside outside . nice clean hotel book two double room large , practical comfortable luxurious ( see photo 's ) . room two large bed , seat area , plenty miror , tea coffee facility , hair dryer , internet conectivity ( lap - top pay ) whilst room look onto busy main road , traffic minimal evening not disturbed . lift floor experience noise problem evening return guest etc . the bathroom clean bath towel , hand towel bath mat , shower good ( not try bath ) . ceiling bit past 's good everything clean tidy . on Saturday think breakfast serve 7 -11 go around 8ish . allocate table immediately full range cereal , fruit , yoghurt , cold meat , fruit juice , full english Breakfast toast . Tea & amp ; Coffee serve table . 8.30ish people appear seat bit slow adequate . feel quality , quantity range food avaiable good value money . the & quot ; Big Bus & quot ; open bus tour stop right outside hotel fee ( £ 25 day £ 21 advance internet ) well worth . concierge sort we board 4ish Friday cover use 4 pm Saturday . get site wish include river boat trip . would not cover half sight , not service get door door delivery ! say , back entrance Buckingham Palace ( Mews ) 5 minute walk hotel 10 minute front entrance . hand Westminster 10 - 15 minute walk away . want theatre trip , Wicked Billy Elliot 5 minute walk . big Red Bus link area hurry - worth money . feel perfectly safe walking around area night although feel people pub / restaurant tourist local . upon return re - read review notice previous traveller experience bed bug etc room 239 .... guess room ! well think would annoyed happen happy report problem visit - obviously heed comment see to . I tourist want safe , convenient location base expect spend minimum time hotel - want comfort , cleanliness edible breakfast start day - feel get hotel . expect spend time maybe luxury would applicable whole Thistle provide need break happy bargain break . 
 Aug 18 2009 	 good location travel Victoria 	 hotel good location travel Victoria . hotel clean comfortable good sized bedroom tea coffee facility . good bistro hotel many nearby restaurant . staff friendly helpful 
 Aug 16 2009 	 comfortable stay ; location can not beat 	 family spend six night , find comfortable -- location near Victoria Station ( Tube lot bus ) , Victoria Street shopping Buckingham Palace perfect need . new property , clean well maintain . smallish bedroom , everything good working order . full english breakfast ( include ) fairly decent . feel pretty comfortable walk around neighborhood dark . wireless internet connection ( cost : 6 pound per hour ) intermittent room , maybe little far hotel 's router . concierge knowledgeable accommodating , member housekeeping staff . Nearest launderette 15- 20 - minute walk away ( take bus back ) . medium - size grocery store ( Sainsbury 's ) 7- 10 - minute walk away Victoria Street -- great inexpensive picnic supper . hotel one computer public use ( fee ) , seem printer attach . unable get early check ( 2 p.m. ) day arrive , overall good stay would stay heartbeat . 
 Aug 6 2009 	 Grotty look outside ! 	 good point hotel location - Buck Palace round corner , short taxi ride River Thames , Leicester Square theatreland . Stayed Room 232 - family room 2 double bed . room overlook busy main road extremely noisy - window open warm room . bed sheet pillow case look grubby look like blood stain overblanket . one pillow - flat . try ring housekeep extra pillow , phone not work - take 3 separate trip reception bring ! extra pillow duely take maid next morning - whole ritual next night . water bathroom warm , second night - warm water even , shower cold water - could not ring complain phone still work . also , toilet stain - everything need thorough clean ! Breakfast ok , staff slow refill hot buffet . daughter also find hair hashbrown , yak ! complain blank look receptionist checkout , offer 15 % discount . enjoy short stay busy , bustle city , would recommend give hotel wide berth ! 
 Jul 30 2009 	 Bed bug - bad night ever 	 stay Room 239 , wake 3.00am awareness share bed creature . bed bug , plus bug yet identify , could possibly lice . phone reception state distress helpful young man name Ali come inspect bug . apologise offer move belonging apartment . turn rise 6.00am already well past 3.00am ; say would simply get dressed give try get sleep . eventually able move another room floor could try get rest . imagine sleep well return room 6.00 . hope hot bath would make feel well , unfortunately hot tap bath produce nothing . pausing take photograph , include delightful view blood spatter across sheet kill one bed bug , get quickly possible . clearly horrible night – stay hotel class around world , easily worst ever experience . go check 7.30am expect meet profuse apology waive bill , least . fact receive apology simply tell bill reduce 25 % . offer instead pay meal previous evening pursue matter main bill separately . take least 2 week hotel confirm would charge night . realise ( spend time look hotel review website weekend ) bed bug grow problem London hotel . remedy appear include fumigation affect room indeed room , either side . would interested know action take rectify situation room 239 . ' ve never touch since , apologise . 
 Jul 22 2009 	 good location prepare wait breakfast ! 	 excellent location , short walk Victoria station rail , coach underground , easily achievable suitcase . five minute walk direction ' outside Buckingham Palace . hotel staff friendly , hotel look little shabby place lack splendour certainly make location ! prepare wait table breakfast food item replenish , could fast smooth service . 
 Jul 14 2009 	 Good Location Good Service 	 recently spend week Thistle Westminster , good experience . service good , room satisfactory , location well suit need . staff extremely helpful suggestion restaurant arrange transportation . location , number great restaurant good pub within easy walk distance hotel ; , number tourist attraction close proximity , Victoria Station couple block away . addition , food restaurant good . would return hotel . 
 Jun 22 2009 	 Thistle Hotel Westminister London 	 Mr Hudson Bedfordshire England . take short break Booked Thistle Offer Daily Mail newspaper , hotel clean comfortable , room small acceptable , clean , aware Hotel situate major cross road , noise could problem light sleeper , suggest ask room rear hotel solve problem , stay water room never warm day stay . contact Reception view get re- allocate another room , tell would look , however time later complaint still address , return Reception tell indeed problem Boilers time therefore would make difference room . pleased answer receive , complain time Reception Manager say problem boiler rectify , clearly opinion case , however agree reduce bill 20 % . 
 may 11 2009 	 Brilliant Location Top Service 	 go London see Sister Act want cheap place stay . find deal hotel despite review book ! find staff pleasant obliging . breakfast ample huge variety . room hotel date spacious clean . ideall location tour around London behind Buckingham Palace . overall ideal activity break like focus activity hotel room . cheap perfect need . 
 May 6 2009 	 3 * hotel masquerade 4 * - abysmal dining 	 part Ruby wedding celebration wife take see Oliver arrange overnight accommodation make special event . Oliver - fantastic absolutely worth see decent 4 * hotel would great - oh dear ! read . Thistle Westminster hotel part package let we horribly . reception clean rather shabby tired . lack staff reception take long check use . room fairly small peculiar layout tired decoration . Windows filthy . bathroom ok old stock . read hotels blurb decide book restaurant special evening meal matinee show . first time ever send food back kitchen 3 separate occasion . ist time Chicken Satay sweet chili sauce ! 2nd time Chicken Satay sea food sauce ! - give . Haddock Risotto cook cream ! - taste like rice pudding - inedible . wife 's chip - cook hamburger pretty disgusting . 3 5 mini pudding ok . pretty disgusting meal . on return room decide long luxurious bath - hot water . all 4 * hotel - come set standard ! read & quot ; Trip advisor & quot ; beforehand seem pretty much like other comment . bitten twice shy . the really + point location - 30 min walk char x theatre . 
 May 3 2009 	 4 Star ? not think ... 	 book superior double , stay standard twin . conducive romantic break . Staff knock 20 % bill unable re - room we . still pretty expensive though . staff apologetic quick blame third party website book through . room fairly grubby ( particularly bathroom - toilet definitely clean ) window dirty let little light . decor fairly poor state repair date . Mould bathroom ceiling hot tap bath not work . feel like need another shower would shower . I travel extensively throughout world stay many hotel two star five star . frankly , would prefer stay Travelodge stay - least know be let . 
 May 1 2009 	 Shabby date lack lustre staff 	 good location , near underground walk distance Palace Parliament . disappoint hotel obviously cut corner . lack staff reception phone room never answer . bathroom grubby around tile shower curtain , water luke warm . air con working road noisy keep window open . breakfast disappointing . 2 double bed room would make cheap option 4 people share . lone person couple 's value money 
 Apr 24 2009 	 Overpriced Underwhelming 	 recently stay Thistle Westminster one night business trip . hotel well situated , close Victoria Station vacation , be close major tourist attraction include Buckingham Palace . also advantage affording opportunity time travel back eighty . decor not change much since , something confirm vaguely remember visit hotel back 1989 family . VAT , & quot ; deluxe & quot ; room close £ 200 , obscene price room one bad bathroom ever see . not expect luxury basic cleanliness functionality much ask . shower would not stay stone cold despite repeat attempt adjustment . ceiling cover mold . bath mysterious linger hair . shower curtain filthy plug socket partially break rusting . & quot ; luxury toiletry & quot ; consist bar basic Thistle brand white soap small bottle shower gel shampoo . room size excellent decor clearly exhausted , stain tear wallpaper . staff , particularly reception , pleasant courteous . breakfast however simply inedible . egg pure rubber bacon strange colour ever see . Thistle urgently need show hotel major TLC 's customer , respect . 
 Apr 22 2009 	 nice not go 	 stay Thistle one night , business travel . find tired look dirty , particularly bathroom dirt around bath tile antiquate shower take several minute warm . ceiling tile break seal around sink clumsily re - applied peel away . hair floor bathroom bath mat grey towel . dinner really horrible left , despite quite hungry . much choice decide simple burger , burn yet still cold middle . pesto goat cheese tart starter microwave cheese become plasticy . seat dirty table service slow . breakfast well , basic range tea coffee offer , toast offer machine make toast . deadlock door break important female travel alone . however , already change room time want sleep leave , also air conditioning keep window closed road outside noisy . I stay range hotel business leisure would happy basic , yet clean , Novotel Travelodge ( suspect would cheap . ) hotel probably make money tourist stay , imagine would get repeat business . shall never stay Thistle hotel . 
 Apr 11 2009 	 great location ; smallish room ; service hiccup 	 stay friend 6 9 April ' 09 . hotel nicely locate , 10 minute ' walk Victoria Station ( Circle , District Victoria line underground line , coach ) good number restaurant within walking distance . hotel 's rear side quiet , situated dead - end street ( Warwick row recall ) . side face busy Buckingham Palace Road , many tour bus park outside traffic heavy . rate londontown.com £ 125 per night include VAT . room , . 112 , measure 9 foot 12 foot , though first ( i.e. , U. S. & quot ; second & quot ; ) floor , equivalent ground level , face small courtyard sun never enter , rather cheerless rather overgrown garden stack lawn furniture . overall impression room rather like cabin ocean liner . one point 's less 6 & quot ; clearance bed closet , necessitating hefting luggage bed get door . room 's size also compromise somewhat presence rollaway air conditioning unit , roughly two foot square three foot high , exhausted hole cut window ( thereby crack window , allow cold air room night , block easy access room 's desk . ) heating rather noisy seem overheat room leave time . there good high - definition television 10 channel choose . internet access pricey , £ 6 hour book desk ( £ 5.88 90 minute book online directly btinternet , internet service provider . ) one use minute within 24 hour , frequent difficulty wi - fi connection -- drop signal , slow reaction , etc . difficult find internet service provider 's & quot ; log & quot ; button , mean remain time would erode away not careful . during stay , several long wait reception , usually one person behind counter . one wakeup call botch -- one night ask 8 a.m. wakeup clerk repeat time back . call come 8:30 . say operator , & quot ; be half - hour late , & quot ; take exception , say , & quot ; be note 8:30 sir . & quot ; attitude seem , & quot ; well , be fault , & quot ; rather , & quot ; ' m sorry , sir , mixup . & quot ; note housekeeper face cloths replacement light bulb bed ignore . breakfast traditional & quot ; full English & quot ; type -- egg , sausage , tomato , mushroom , etc . offer buffet style . be also & quot ; Brasserie & quot ; restaurant ( entree typically £ 15 + ) breakfast room also serve several & quot ; prix fixe & quot ; meal £ 10 each . this hotel well locate , clean functional . offer fairly good value give location . 
 Apr 5 2009 	 Thistle provide great central location adequate room . 	 adult female travel three teen girl - two daughter , one friend . two rooms.-as arrive Saturday night midnight , room not together - or even floor ( even though request adjoining . ) first night , stay room116 one daughter two stay room232 . room huge - three telephone , two hairdryer , couch , table , spacious area lounge even dress room dresser hairdryer -- clock television . space heater fan -- wonderful due traffic noise fact airconditioning not turn yet . room one hairdryer , two telephone , dress room , fan , clock , enough space roll suitcase bed wall . unable call room 232 call front desk . someone go room check telephone . girl tell could call could not receive call . service man pick phone , call front desk , say phone work . girl repeat could call could not receive . , service person call , say phone work . way fix situation move we room116 room 233 , next door . do 10:30 p.m. room , disappointingly , like room 232 -- except clock even television . room 1/4 small size extremely hot . upon request , give fan room . tip : bring washcloth , soap shampoo ( small not sud well , ) internet ten pound 24 hour . free breakfast good -- two type egg , sausage , canadian bacon , hashbrown , baked bean , mushroom , various cereal , slice fruit , roll , lunch meat . disappointed coffee -- taste instant lack refill coffee tea . later realize case throughout London . there two elevator - both work well , gift shop , nice sized foyer . location close Victoria Station several pub not find really nice restaurant close . would stay would try get room like room 116 . : ) 
 Apr 2 2009 	 disappointing - avoid hotel ! 	 boyfriend book hotel part birthday present trip London . arrive hotel thought seem fine ... attractive outside , pleasant inside . room two double bed reasonable size . think decor little date however , worth exepsnive price tag . we discover soon arrive hot water working . go come back little later find note door explain boiler break , would fix witihin 2 hour . also find air conditioning heating work freeze day . go reception say heating work . tell someone would go see . also tell boiler fix hot water would back . come back dinner much later , boyfriend look forward hot bath shower . really disappointed find water still freeze cold . also find small fan heater place room provide heating . terrible night hotel . could wash room still cold tiny fan heater could warm , even leave night . in morning , really hope finally shower , , water still cold . go reception , seem view kind joke , apology . breakfast badly organise . suppose member staff allocate table , not half time , people push sit table instead wait queue . breakfast buffet style great , edible . 
 Apr 1 2009 	 pretty good ! ! ! ! 	 stay hotel 2 night room 111 . check easy , little waiting . room reasonable size lcd tv . nice double bed , nice pillow . bathroom clean , little dated . good location around corner Victoria Station . room quiet . air - con unit room ( free - standing ) , look bit odd , work treat . wireless internet , able use free BT Broadband user . breakfast excellent . Buffett style , plenty choice full English Continental . use resturant Saturday night , people . food ok , much atmosphere . little inpersonal , care 's ? bad hotel base . would recommend resturant across road , Noodle Noodle . nice staff , good price special , great food . gripe area , drink local pub exspensive . might though , live ' up ' north . 
 Mar 27 2009 	 avoid like plague 	 Awful . honestly bad hotel ' ve every stayed , pay upwards £ 120 night supposedly non - smoking room stank smoke , hot water . complained staff could not care less , nothing do hot water . corridor room clothe brick ( think Vera Duckworths house Corrie be nearly ) - decor nothing shout either ! generally appalling place . 
 Feb 17 2009 	 Disgraceful 	 book 2 night Xmas shopping London want hotel close Victoria Station ( Gatwick Express terminate ) . room ( 101 ) well standard expect 4 star hotel , cramp , outdated decor bed hard uncomfortable . bathroom simply filthy , back shower head leak hot water practically absent . at around 6 am awoken frightening wail fire alarm room hotel evacuate , well load scream family run round poor layout trying find fire exit help staff ! wait freeze cold street 45 minute whilst fire brigade go hose . when allow back , corridor stank smoke visibility quite poor , top fire alarm keep sound . decide check go Hespiria Hotel ( right next door station ) book room lot well ensure Thistle charge night number 2.this experience put Thistle Hotels regardless may like . hotel chain must ensure property standard . 
 Feb 2 2009 	 great staff good hotel despite hassle 	 come back weekend Hotel mother sister . first impression good get big , deluxe room 2 double bed also sofa bed . however , room set two people three ring housekeep extra towel toiletry , arrive promptly . main problem encounter hot water available Friday night day Saturday . seemingly road work outside hotel burst pipe result hotel 's boiler go action . find talk workman , hotel corridor , although hotel manager send around letter explain problem . hotel also apartment next door provide key apartment could use shower . inconvenient provide solution . water back run Sunday morning hot . must praise receptionist Helena , time polite , helpful direction suggestion eat , despite front line complaint . manage get discount price although request speak Manager never appear . breakfast ok , usual hot cold selection . eat one night hotel restaurant , short time go show , would eat . chef learn cook steak , medium rare oppose well do . good restaurant , italian , spanish Mexican within minute walk hotel would suggest eat . despite water issue , ( fault hotel ) would stay hotel , ( althought eat restaurant ) centrally locate , really near Victoria train station , near Theatres Billy Elliot Wicked . would possible walk House Parliament within 20 min . also room comfortable front line staff helpful . 
 Jan 20 2009 	 Modern Budget Hotel 	 would say Thistle Westminster could compare like day Inn , maybe little well . stay Jan 14th-17th 2 freind get room 2 double bed pull sofa . room bathroom big , especially London . get breakfast include room rate well worth . breakfast buffet hot cold item . hot item everything constitue english breakfast cold item pastry , fruit , cereal yogurt . hotel also restaurant pub attach . location great , 2 block Victoria tube station 15min walk Buckingham Palace , Westminster Abbey Houses Parliment . concierge extremely nice helpful . also luggage room come early check want sightseeing . I guess complaint hotel charge wifi , 4gbp hour 10gbp 24 hour period 
 Jan 19 2009 	 Modern hotel 	 stay Thistle 2 friend approx 3 night . hotel seem modern 's nice looking inside . hotel room 2 double bed , couch also pull bed . layout room bit weird , long faux cabinet mirror ( tint could not really use ) take majority walk way door bed . the bed comfortable , bathroom good size . hotel also shower step get , would not recommend old type physical aliment would allow able get shower . hotel free wifi , cost 4 pound hour 10 pound 24 hour , buy card front desk . concierge helpful assist we one day tour get cancel - able book new trip right we . the continental breakfast good consist usual & quot ; English breakfast & quot ; item , addition cereal , yogurt , fruit pastry . hotel also 2 block away Victoria tube Coach station , convenient . also couple pub area . overall , would recommend anyone - hotel also walk distance Buckingham Palace attraction . 
 Dec 28 2008 	 chaotic 	 wife stay trip theatre 30th . find hotel staff pleasant check - in , reception area clean well present give excellent first impression . our room spacious , freeview tv , good value money especially central LondonOne thing spoil whole experience discover early hour morning room opposite maid ' staffroom - consequently last hour sleep constantly interrupt chatter maid shout corridor various european language . obviously not problem every room warn , may unlucky like we ! aspect not standard breakfast time . food generally good apart croissant - rock hard difficult cut ! also observe party give rack toast table arrive not , include we . ask one , along refill coffee , toast arrivedOverall , hotel clean , spacious presentable , good hotel find price . visitor enjoy stay , handful night stay ruin situation room , reason could recommend Thistle Westminster 
 Sep 8 2008 	 Loved Thistle Westminster 	 husband stay Thistle Westminster 3 night , last weekend August . room super nice ( see photo ) . location perfect : be right across street Buckingham Palace 3 - 4 minute walk Victoria station . hop - on - hop - off bus stop corner . the hotel staff treat we well , even let we check - in early . 
 Aug 23 2008 	 Thistle Westminster 	 stay hotel 3 night August 2008 booked & quot ; PriceBreaker & quot ; . arrive hotel flood everything cover foyer - however sort open within hour . extra £ 20 per night take upgrade deluxe room 2 queen sized bed sit area . room clean usual facility . iron not work okay second one put inside wardrobe . bathroom need update problem bath . attend quickly efficiently pleasant staff . fact find staff friendly , polite efficient . location hotel great anyone want visit sight central London . Victoria underground one block away , Buckingham Palace end short street , Westminster , Traffalgar , Strand Knightsbridge within walking distance . hop hop & quot ; Big Bus Co & quot ; tour directly outside door . local eating include good Sri - Lanka & amp ; indian Italian within 50 yard . honestly say hotel add great holiday . would certainly return recommend whomever read . 
 Aug 21 2008 	 bit lottery 	 ' ve stay hotel number time business traveller last year find room allocation bit lottery . sometimes room nice relatively spacious , time . sometimes cleanliness issue apart tired bathroom ( couple broken tile , rusty plughole bath , poor water pressure , non - adjustable showerhead toilet would not stop flush unless handle push back ) , time fine ! 's huge problem , something aware . one occasion tv not work could fix give twin room instead double book . one interested resolve problem traipse reception complain duty manager . feel exchange room people check time emphasise would lose business company decide use hotel future . refurbishment definitely well overdue 's still bad choice . London hotel generally overprice room small compare US standard fairly average european hotel . one improvement make recently individual air conditioning unit room - although portable unit clearly temporary measure work effectively welcome ( necessary ) summer . attempt cover bathroom issue part new grouting need complete overhaul come four star rating . bathroom also quite cramp guess little do layout . check slow staff reception - major problem something improve . breakfast average adequate . reasonable choice service slow - time busy other need ask toast tea / coffee . think majority staff try well simply not enough . 
 Aug 21 2008 	 great ! so - so ! 	 room dark musty ! Moldy shower curtain ! staff nice though . 
 Aug 15 2008 	 good location good staff . stay problem 	 stay Thistle Westminster 3 night August . short break family happy room . location perfect access attraction short taxi drive theatre land . staff pleasant attentive - special thank Taran bar remember take time congratulate young daughter birthday nice personal touch . breakfast decent fayre serve well turn , attentive staff . would stay hotel absolutely issue . post comment decor etc - popular hotel high turnover visitor guy get grip ! could awful lot bad stay hotel . 
 Jul 29 2008 	 4 Star ? ? ? ? ? 	 spend one night London want special assume 4 * mean luxury book hotel . initially quite pleased however return hotel exhaust day go bath disover hot tap work . iron room ( even though suppose one ) , mini bar empty , access & quot ; late movie & quot ; , music bathroom ( break ? ) , dirty grouting bathroom . dissapointe fully expect 4 * . would stay . 
 Jul 1 2008 	 Decent service date room 	 's much recommend hotel . staff good , breakfast well many place . location handy Victoria . but place long overdue revamp . room date tired . precious little natural light place feel over - furnish claustrophobic . warm day aircon rattly old . rating suggest - okay , problem . 
