run 	 arrive 10 am understandably room not available check give card room number . leave luggage day . return , ask key give room 3rd floor . room couple minute ' phone rang . receptionist ask sure have ask correct room key . say different room would ring back . room tired bathroom smell damp . twin bed book double big deal receptionist call back happy suggestion move room give decide could not much bad . well . . . . . . double bed bathroom not smell damp old need urgent renovation . tap brass cover verdigris , ( perhaps feature ) shower head low duck wash hair . ' m tall 5 ft 2inches ! wardrobe door sure feature . look though wardrobe slide door . post site , hand wash baisin bedroom bathroom . fiddle around order get kettle work tv remote take work . order change channel press channel number plus tv button , odd . hairdrier nowhere near mirror least one . bed pillow comfortable duvet cover make Polyester / cotton mix old bit bobbly . ground floor window overlook small quadrangle full scaffolding scaffold plank top light come room morning . continental breakfast not bad spite people site say . 4 different cereal , roll , croissant , toast , preserve , ham , cheese , yoghurt plenty tea coffee well fruit juice . Sunday rain heavily bucket bar area catch rain come . plus side hotel great area 3 tube station close . plenty restaurant couple Tesco metro plus shop shopping centre high street store . Notting Hill 10 minute walk away Kensington Gardens close . time year London hotel expensive place usually stay £ 100 have pay early year suppose get pay . 
 bed bug hell 	 stay one night wake morning find bed bug crawl across duvet help tasty meal sleep . later day scratch trail bite mark along upper leg . make matter bad sleep ruin bathroom extractor fan would turn gargle radiator beside bed . avoid hotel 
 Jun 10 2009 	 Trouble Trouble Trouble ...... 	 big complaint - departure ask receptionist call cab - 3 people go Paddington , drop 1 person & amp ; onto Mayfair Holiday Inn . cab driver charge £ 25 . black cab ( gray van ) . believe private van . Cab meter & amp ; fare give . assume ok hotel call . management respond complaint . staff knowledgeable - ask siteseee brouchure - tell none available point blank . stay triple room 2 separate time - 2 day trip Budapest & amp ; 1 day return . 2 day enough - difficult find 3 twin bed would return 1 day . tile bathroom break & amp ; floor lean one side . twin bed roll sat - careful sat not roll away . Carpet old & amp ; worn . scaffold surround building & amp ; noise follow . elevator working - use staff elevator fit 2 people 2 suitcase & amp ; 2 gate open & amp ; close difficult trying maneuver 2 suitcase . elevator work October . one point people stick elevator ( emergency button ) inform staff - one seem care & amp ; hurry help people . not trust elevator that . stay Blakmore Hotel - never ... 
 Jun 1 2009 	 Aware 	 aware front hotel & amp ; lobby look great , room small lavatory bedroom . twin bed attach wall careful , would slide cause fall . little space luggage . mirror shaving makeup . light poor . room noisy close service elevator . Bathroom desireable shower fixture old hard control . continental breakfast downstairs consist piece toast jelly guest full breakfast . 
 Apr 25 2009 	 cramp poor washing facility 	 disappointing , handbasin bedroom tap not work . manage turn could not turn . report reception not maintainance site follow morning . turn problem still fix . promise , hold olympic year time ! will not recommend hotel anyone . 
 Mar 18 2009 	 travel business definetly place stay 	 travel London participate conference . fly friday morning could short sightseeing conference start . first go hotel . first impression good , elegeant lobby . nice bar less friendly staff . leave luggage ( include laptop , secure free charge ) . tell unable check - in early time check - in 3 pm . go city . come back around 4.30pm check - in go opening ceremony 7 pm . check - in . 9 us 5 room . book category room ( least think ) price . my colleague fairly nice room newly fit clean enough price 99 . room though dredful . change room becuase first room give window break ! could not close adn glass also crack couple place . ask reception change room instead tell wait becuse somebody go check . anyway finally somebody come . try close , luckily could not change room . twin room agree change double . thought receive proper one time case . secind room probably bad first one . difference window break . wallpaper tear several place , bathroom not look like bathroom could use- tile break , even loosely fit , shower disgusting , etc , carpet dirty , furniture break , crack , whole room completely wear unacceptable . get ready leave opening event think shower hot water run tap ! ' hot ' barely warm decide skip shower . I go reception asle new room . room like colleague receive . receptionist lady helpful quite angry time people tell wait . well tell can not go . anyway finally promise time come back proper room well . cam back expect nice , tidy room could finally take shower go bed long day . fact happen . man evening receptionist ( anyway lady go 10 pm ) tell change room fully book . decide leave instead apologise want we pay first night & quot ; used & quot ; room manner sort immigrant could happy there . we argue finally decide stay night . bed uncomfortable , hardly sleep tiring saturday . Saturday morning go breakfast ( include ) not eat anything hardly anything choose . naturally offer & quot ; deal & quot ; 4 pound could English breakfast refuse . Staurday morning leave awful place never ever wish go . 
 Mar 8 2009 	 bad Hotel Ever ! 	 hotel look amazing set fab location , far go . book hotel valentine ' weekend away , find hotel 's policy admission varied person person especially management . review come three parts- 1 price , 2 room 3 customer service . price : quote price hotel website £ 75 2 people one night . mention website booking site would need deposit . also spend evening due work many hotel past one least value money . price quote ' book advance soar £ 250 one night . look value money lovely night , well book travel lodge buy tent pitch Hyde Park . room : book double room receive small double squashed single room smell musty , damp set . bed comfortable ' expect , spring spiked mean comfortable . heat room sufficient british weather . heater fix behind bed head board hence heat room , advertised room state radio tv however due lack reception room could even watch tv listen radio resort use mobile phone listen radio . state ' mini bar ' kettle 3 tea bag ; work well value go small convenience store 2 min road get box tea bag milk . the en - suite bathroom would expect cheap hotel middle 3rd world country tile break shower pump sparse amount mildly warm water , lime scale fill shower hose crack shower plate . spend nearly £ 100 room night expect shack midst London ; although get , break tile floor , tile begin actually come ! ! - look decent room London would never recommend hotel even one night . Customer Service : customer service begin friendly smart face however check procedure continue service transpire even know actual hotel policy be / be . guest arrive early let room even tell follow : guest pre pay £ 20 deposit room – understandable , however guest tell pre pay via credit card , offer option £ 20 cash , mean guest wait 2 hour even enter room . staff accommodate end stay able luggage facility enable we travel around London , Hotel Poor even worth glance , want decent night ' sleep comfortable bed relax place stay would advise find alternative grimy sully hotel . 
 Jan 8 2009 	 Great Value 	 wife look cheap hotel Ireland see atheatre show budget . book double room £ 50 not expect much . delighted see bar hotel stay open till midnight . room basic clean . breakfast much well expect . overall , budget grand spot , close tube centre London . 
 Jan 5 2009 	 basic room dirty unhelpful staff 	 arrive , receptionist find booking keep we wait half hour sorted paperwork , without communication . instead giggle chat girl reception whilst ignore customer queue check desk . finally give cramp room washbasin next bed toilet flush . it hot request room change . staff tell we pack bag ready would arrange change . room give unclean hair clump plughole sink tear sheet last night endure . the breakfast staff friendly food basic ie cereal.there lot noise hotel renovation take place . would not choose stay . 
 Jan 5 2009 	 amazing value budget ! 	 manage find last muniue reduce rate online hotel , £ 90 total twin room 2 night , money , expect impressive efficient hotel . bag look we , barman charming , shower impressively powerful ! , pay £ 178 room , may disappoint - £ 24 night two young lady fun day away city pay , absolutely perfect . , really come London sit hotel room look basin ( whether beside bed otherwise ? ) . sit bar ..... , incedentally open 1 am ... enjoy . highly recommend . 
 Dec 30 2008 	 bag steal check hotel ! reception 	 20.30 hour November 9th 2008 arrive BLAKEMORE three night stay visitor World Travel Market ) . within minute entry stand front hotel reception desk check , one two bag steal . hotel show neither sympathy compassion ! hotel manager staff totally uninterested ! immediately theft check hotel floor hotel 's night auditor meet asiatic man circulate freely corridor 1st floor . man sit short distance reception desk couple , disappear time notice bag fly away . question night auditor asiatic man answer hotel resident visit friend stay 211 ( room 2nd floor ! ) . hotel manager refuse let see film security camera , already inform police camera not register anything robbery police close case . leave hotel admit ... forget check third camera ! promise send cd film never ! look review hotel notice case theft hotel , even hotel room ! blakemore filthy , awful , dangerous highly insecure hotel pity booking.com insist promote . 
 Nov 25 2008 	 let Service 	 stay one night budget hotel , public area room good . certainly room recondition . may bit small size , decor good , bed comfortable indeed . however , let badly service Bar . arrive 2.00 pm Saturday afternoon unable order sandwich , ( although advertised Bar menu ) staff unable make coffee ( although various different type coffee advertise menu ) . friend decide ask Stella , Stella pump empty . early evening visit Bar , look menu decide order cocktail , Singapore Sling , advertise . firstly member staff do not know one , show menu , tell cocktail available . ' m afraid service Bar , let whole experience . have not ask anything advertise menu ! can not provide item do not advertise ! 
 Nov 21 2008 	 Grotty one Star 	 Outside & amp ; reception deceiving . see room disappoint . decor 1 star - hand basin bathroom beside bed . the first room 's tv unwatchable give another room reluctantly tell might fix tomorrow . check TV ok & amp ; go dinner nearby 8 pm . return 10 pm notice water hot tap shower tired thought would manage morning . this start - toilet flush - radiators cool & amp ; make dreadful noise night . street outside noisy & amp ; builder arrive 6 am - yes hotel refurbish . we go breakfast & amp ; report problem first thing & amp ; tell back belonging & amp ; come back 2 pm new room would ready . fortunately go day anyway & amp ; work room give we return ( apology ) . Decor still cheap B & amp ; b 3 star hotel bed OK & amp ; breakfast basic . 
 Nov 17 2008 	 Noisy Hotel 	 stay hotel 2wks November bad fortnight ever London ... work constant nightshift , not tell work do wake constant bang day long , eventually move floor 3rd well rip ceiling bang day mess corridor material disgrace . room outdate small heating constant could , not get regulator bathroom tiny 1 point hot water 2 day ( explination give ) alarm keep go poor hotel altogether 
 Oct 27 2008 	 could bad ! ! 	 read review quite unsettled staying . travel large group book month previously . I stay large number B & amp ; Bs hotel around world definitely stay far bad Blakemore think bad make . want hotel ensuite clean bed fresh sheet . yes little old fashoned worn carpet sink main room seem outdated . however , room clean smell ok . twin room seem large enough need . old room crack peel wallpaper middle renovation . it close tube station Kensington Gardens quiet street , many restaurant close well . I stay 3 night cost 50 quid / night . think get similar deal would consider many nice place stay london price especially try last minute hotel website get good deal . if could get cheap enough price would consider stay usually prefer little close town . if use Holiday Inn Hilton type hotel room disappoint . stay B & amp ; Bs remote part Britain room fairly similar . 
 Oct 11 2008 	 shock standard room . 	 husband stay hotel , 7th 9th October , pay total £ 178 double room . room tony , tha bathroom space , enough , bath / shower toilet . washhand basin main area room . bed wall mean one us access bed , person clamber , shimmy foot bed shuffle sideways along foot bed . husband thankfully large people , not know someone 6 ft would manage move . furniture state , varnish peel wardrobe . say room clean , much keep clean , staff fairly friendly . initially make complaint room , member staff speak , say may move ' nice ' room . however , speak manager , negotiate discount , late checkout instead . although negotiaion fine , somewaht surprised ' my demand ' - surprised could see problem . bad hotel room every stay . defense hotel general , belive majority room good standard sixe etc , however , room fit purpose . 
 Sep 14 2008 	 stay Hotel ! ! ! ! ! ! ! ! ! 	 husband stay Blakemore Hotel last weekend September 6 7 .the outside hotel look good , reception . we check go double room . what shock . the room 7 foot wide . could sit side bed , room narrow . there air conditioning except stand contraption circulate hot air around room . the window would open 2 inch . the bathroom tiny could close door . exagerating . we travel London often stay various hotel always good excellent , absolutly disasterous . enjoy trip hotel . 
 Sep 11 2008 	 bad hotel 	 stay hotel 4 night . everything seem ok night fall . fire alarm come every night four night staff nothing say . apology , explanation . breakfast really poor . & quot ; continental breakfast & quot ; mean bread , butter coffee / tea / juice breakfast cereal . nothing else unless pay 4 pound english breakfast not seem much well . positive thing location . easily get away hotel . need place drop bag change clothe take shower might really nice hotel . course like sound loud fire alarm even consider sleep night two . 
 Aug 15 2008 	 Afraid ! ! ! 	 luckily stay rip - off dump one night . partner travel Europe pleasantly surprise high standard accommodation consider price pay . last night want stay somewhere special pick Blakemore , turn terrible ! ! ! ! ! book superior double room give tiny room big enough fit bag ... jump bag get bathroom . hole someone kick wall size toddler . also , cement mixer 1 metre away window use 7 am ! ! ! ! ! package include breakfast , get restaurant tell list sort reception . fixing trek back breakfast room receive mediocre breakfast . after check , leave bag concierge . go pick , concierge manager verbally abuse we minor mistake one staff make , scream thing we middle lobby like ' next time ' m going throw bag away ! ! ! ! ! ' embarrassing . do favour , stay , plenty nice hotel affordable , friendly staff . 
 Jul 4 2008 	 stay away Blakemore 	 wife stay Blakemore Hotel London five day begin June 27 , 2008 . stay hotel Europe ( even Russia ) United States bad accommodation ever . book month advance , arrive around noon . open door room , shock small twin room . less 10 inch foot bed wall say nothing otherwise shabby appearance room general . size condition room problem , would write experience . unfortunately , tip iceberg ! directly outside window 4th floor walk scaffold . Workman bird ' eye view bedroom ! turn hot water sink wash unable turn . run full throttle fill room hot steam . call desk bring prompt response hotel staff member also could turn . plumber show shortly able turn jiggling valve . say plumbing old show we turn . call front desk ask another room . tell hotel completely book , would give we another room next day . new room slightly large well condition room . scaffold , strange odyssey continue . course next four day , happen . room hot unable open window beyond three - inch gap . advertise " ceiling fan " room cheap , stand - up floor fan hardly blow air . suffer four day stifle room . ' enough , handle toilet break late one evening . staff member came look toilet , say could fix . say would fix morning meantime , could fill trashcan water pour toilet ! fair , offer another room evening , late tired . simply pack stuff third move . fix next day . around 2 one night , finally fall asleep hot room , hotel fire alarm go . occupant entire hotel evacuate lobby outside . everyone stand around half daze one hotel tell we go . around two hour , everyone finally return room . return room , noticed sign wall say event fire alarm , local fire brigade require call . one fire brigade ever show ! continuing , first attempt use hair dryer , start grind throw spark ! much hair dryer ! additionally , shower temperature regulator ' work properly . basically two choice , " steam hot " " boil hot . " mention staff , nothing do . wife able use steam hot shower move stream shower . kind person rarely complain . fact , never write letter like accommodation . accommodation safe relatively comfortable , generally ok . accommodation neither ! 
 Jun 30 2008 	 Blakemore / do - more 	 good location bayswater . close tube station bus . room small need love & amp ; care . renovation builder start outside window 9am . breakfast great , plenty eat good food . staff ok moment lot non english personel work London hotel blakemore one get message across sometimes difficultoverall would give joint 5/10 . 
 Jun 23 2008 	 Facade give wrong impression hotel 	 room bath confirm give room shower . hotel could / would change first night . receptionist try tell bath & quot ; request & quot ; shoe write confirmation . room TINY , shower dirty , extractor fan work shower.toilet door would lock . sink bedroom ! ! ! , archaic ! restraunt tiny , could get eat advise book require check . four staff check , take two attempt process card . continental breakfast disappoint , bread cereal , cold meat cheese , yoghurt fruit description . eventually move room bath . ask room high possible . put ground floor . view open window like basement look scaffold . againa sink main bedroom area leak carpet . the foyer area nice give good impression hotel live . go settle account reduction despite CONFIRMED book two night room private en suite bath . refuse pay eventually offer twenty per cent discount . apology forthcoming . I resent poor standard treatment . ask get well rate net publish rate ? ? ? .I reccommend hotel understand tourist complain poor London hotel . 
 Jun 22 2008 	 AWFUL HOTEL 	 room hotel tiny . double room one double bed space either side bed get . book 2 adult 2 child get one room . seat area sofabe . get cot one child climb get bathroom . bathroom small could use toilet close door time . breakfast suppose continental offer limited cereal toast , tea coffee . Yoghurt , fruit egg etc offer extra supplement . desk staff care concern repeat bog standard line query . stay many hotel life never ever compliane . bad feel warn other . location bad . 
 Jun 2 2008 	 bad price 	 location obviously great , hotel building lobby look great , surprise get room ! ' ve well cheap motel ! ugly ... crack ceiling , old curtain carpet , randomly attach wooden plank , cover Formica , bedroom wall ? ? ! ! smell ... mix moth ball musty ... end positive note , staff competent friendly . 
 may 20 2008 	 Basic hotel 	 know 4yrs since stay Blakemore hotel remember vivdly ! photo lobby restaurant see online lovely low price ' ve set alarm bell ring . our double room basic . actually walk see sink right hand side door . thought & quot ; please let we bathroom & quot ; . sure enough rest right place , bathroom ! ! bit shabby do not know do since . great location , love Bayswater , quiet far nice restaurant plenty shop five min walk . if be budget give look do not expect luxury lobby suggest . 
 May 19 2008 	 cold breakfast- dissapointing ! 	 return girlie night stay London watch dirty Dancing ( great ! ) . book Blakemore Hotel quite reasonably price ( £ 67.00 ) twin room . expect fantastic due review read . first impression nice , lobby lovely spacious . room spacious , however bathroom tiny sink bedroom . sleep ( thought ! ) wall thin cleaner could heard room along corridor quite early morning . unable sleep due noise room hot . shame , bed comfortable . we go breakfast 0945 ( breakfast serve 10.00 ) tell could upgrade pay extra £ 4.00 hot cooked breakfast . bargain definately need ! upgrade find breakfast completely cold ! complain staff restaurant , microwave food apologise . unfriendly staff reception would deduct additional £ 4.00 charge bill , hence , return recommend restaurant friend . 
 Apr 23 2008 	 average 	 hotel good location , 10 minute walk Paddington Station . reviewer think entrance lobby nice high hope room . however , room tiny bathroom small sink actually bedroom ! wall also paper thin prepared able hear conversation ( bathroom business ! ) people three room away floor above/ . heat also permananetly leave window open night- great builders/ scaffolder work hotel redevelopment start work crack dawn ! book reasonable package stay hotel beware pay full price . good location defintiely need improve . 
 Apr 21 2008 	 pleasant stay 	 definitely meet expectation , thankfully ! read negative review hotel , bit apprehensive check Blakemore Hotel one nite stay 17 April . however , pleasantly surprised way . book twin room high floor get nice quiet room away lift . we arrive 10 am , way check time 3 pm , doorman / Conceige / security pleasant man kindly store luggage securely away till . room old date , include bathroom , comfortable , clean , general housekeeping good . Continental Breakfast also include can not beat value central location comfortable night stay . the trick seem room first floor brand new , electronic card door entry , second fifth floor still brass key entry date decor ( ask $ 20 refundable deposit key , take pre - authorisation credit card ) . request & amp ; get top floor twin room , get nice & amp ; airy room . Guess depend room allocate . good luck . base experience , consider hotel again.ken 
 Apr 14 2008 	 find well hotel 	 stay away ! book 3star hotel get ? ( Room 224 ) room old bathroom awful . towelholder fall wall , toilet ` work well , bathroomdor ` open inside , phone ` work . london times bad room ever have . the day leave cleaning personel lock walk room twice 08.30 09.30 pluss knock door one . seem want guest could job go home . advise find another hotel . nb : possitive side , window new . Sinc . M . Andersen 
 Mar 25 2008 	 request booking give priority 	 book internet hotel 6th february stay last march 24th exam follow day 25th , request form request provide quite room.i surprised arrive give room ( 410 ) directly face lift 4th floor , occupant room walk street ( hear sound foot walk room something go to fall ) , occupant room next room chat companion hear , lift do not stop early 2 am , room hot , fairness room big enough single , tv , kettle , dryer , telephone , ( bed / blanket / room ) wasclean , nice bathroom - clean shower / enough water / toilet bowl , sink locate near main door.i disappointed room location plus temperature room able review sleep well noise / hot , really affect performance exam.the location advisable near queensway underground / kingston garden , staff fairly approachable.breakfast confused difference oriental breakfast - I tell take right side ( oriental ) .nice restaurant / nice food . 
 Mar 11 2008 	 4 Night Stay 	 first , never illusion ' m stay 5 star hotel ( honest , ' ve stay 5 star good hotel ) . get company pay , need , bed , shower . room bathroom clean . shower little large norm London . breakfast good , basic . big complaint heat . other write issue . sleep window open couple occation idiot Americans ( doubt Yankees ) outside yell 1am . bed not good enough write home either . overall , decent experience get price , would stay . 
 Mar 8 2008 	 Escaped 	 arrive , electricity , hot water , lift order . Staff say try solve problem . tomorrow morning situation change . say whole street . check hotel across street everything function normally . besides , room dirty , window could close properly bathroom completely rusty . ask another room get . time rust wall carpets dirty strip , stain floor , wardrobe tiny break ... leave hotel one sleepless night . avoid Blakemore cost , cheap include rust dirt . travel agent travel across whole world , definitely bad three star hotel ever see . , , . 
 Mar 5 2008 	 happy 	 , partner mother arrive back one night stay Blakemore . read review really worried . take mom london tutankamun exibition really want enjoy room much importance anything . worry totally unfounded mom single room lovely , clean en - suite perfect shower bath , room nice bathroom big . staff friendly helpful , breakfast continental full english small cost . enjoy stay would definately stay 
 Feb 29 2008 	 Disgusting 	 girlfriend return London day early due fact could stay another night hotel . arrival hotel look fine lovely spacious lobby bar area .The first thing notice sharps bin ( needle disposure ) hotel toilet ... first impression good . enter & quot ; double & quot ; room 5th floor 513 , tiny . double bed hard wall side 6 & quot ; dress table come shelf , therefore get bed bottem careful bang head wall mount TV . bed see much well day inspect matress find urine stain . ask move offer room 514 . carpet filthy tear .there 6 X 2 & quot ; screw stick front headboard shelf , ask remove . decor complete hole wall mould corner . give we great amusement several text friend size bathroom . measure shoe know 12 & quot ; long 4 foot square . toilet one end basin yet could sit toilet wash hand time . 6 foot tall bend head stand bath shower . definately never return 
 Feb 19 2008 	 Perfect travelling 	 let us start say stay blakemore least 5 time . time stay exactly require expect . married man late thirty live America . try get London couple time year watch belove Tottenham Hotspur FC play live . visit always , 3 night Friday , Saturday Sunday evening . single ensuite require . size concern . perfect solo traveller . find staff quite friendly help stay . lobby bar cozy inviting place relax usually open bit later local pub bayswater fancy night cap head head back Blakemore get order relax watch large flat screen tv lobby . other comment location . perfect . 5 minute walk 2 tube station ( Bayswayer , Queensway ) 10 minute walk Paddington one direction 10 minute walk Notting Hill / Portobello Rd . ensuite single always go bargain rate someone would rather spend travel dollar thing besides overly posh accomodation Blakemore 
 Feb 10 2008 	 First Choice 	 stay Blakemore probably 5 0r 6 time time find room clean , bed comfortable . the staff excellent , helpful friendly . complaint all . breakfast excellent plentiful . staff continuously top available guest . always look hotel first , admit usually book cheap web site always well worth money . I marry 50 's . 
 Jan 10 2008 		 book Blakemore online impressed photo display hotel website . blakemore easy locate two tube station close serve circle central line . location Hotel also good close Hyde Park Kensignton Gardens . arrive outside Hotel look great reception area . however , problem start . firstly take we half hour check staff foreign spelt name wrong check computer system . sort ask payment entire stay plus twenty pound deposit . unprepared warn Website . when get room disappointment continue tiny , even London standard , carpet filthy ensuite size phonebox . make hotel bad canadian School trip guest proceed run along corridor night . do not stay breakfast insteed go cafe street . thankfully city London amaze usual , help compensate hotel , spend little time possible . 
 Dec 8 2007 	 close tube unhelpful / unfriendly staff 	 stay Blakemore disappointing start . sister arrive London midst September 's transport strike , need help could get regard good navigate city without access tube . unfortunately , reception staff absolutely help -- make effort procure bus information many visitor request , date information status strike , suggest place interest vicinity . also attempt charge we extra night request adjustment bill , apologize mistake . without question , however , bad part stay Blakemore staff incompetence . wakeup call come hour late day departure , elevator not even work ! not helpful maintenance man assess situation carry heavy luggage 5th floor lobby ( hotel not porter staff , kindness ) certainly would not catch flight . room fine , bathroom clean , hotel great location , experience staff keep return . bayswater boast number similarly price hotel , next time will book one instead . 
 Nov 18 2007 	 avoid Blakemore Hotel 	 avoid Blakemore Hotel . staff good unhelpful incompetent , worst dishonest . Refused refund extra 10 pound fee charge credit card due incompetence . breakfast stale uninteresting , room ok price noisy . 
 Nov 8 2007 	 small well furnish room 	 Booked hotel Priceline relative visit London . use name price service little put - off allocate hotel review fantastic standard room look little basic . upon arrival hotel relieve find exterior hotel reception area look smart welcoming . room ground floor allocate , go corridor meet smell fresh paint new carpet . would seem give executive room recently refurbish . it clean reasonably well appoint good quality fixture fitting , comfortable bed . tell shower good get good night sleep ! room equip air conditioning ( though necessary November ) , tv , trouser press , hairdryer , iron ironing board , safe . despite room small total three phone ! bathroom seem quite new also clean - mould nastiness . the view room bad point - wall foot window . the twin room small big enough two people move around unpack luggage , wardrobe huge good extend stay . the location reasonably good - 5 - 10 minute walk Paddington , Lancaster Gate Bayswater tube station , minute bayswater road frequent bus take place would want go . for rate get Priceline good value , though rack rate seem rather steep . 
 Oct 14 2007 	 try somewhere else 	 book hotel seem cheap reasonably price . room small manageable . bathroom small handle toilet keep fall .. whole apartment need good clean carpet looked not vacuum long time . hair food crumb carpet . little date be not problem . location ok close train station think , be not really restauants inc lose vacinity good little pub road . staff ok , overly helpful friendly though . probably would not stay . think would rather pay little clean room . 
 Oct 10 2007 	 Bring earplug ! ! ! 	 arrive nicely refurbish reception area staff seem pleasant polite . awful drive please finally arrive make way 4th floor room ( room 429 ) . upon open door , less satisfied room , extremely small , bathroom smell mouldy large amount paint peel wall next bed . one complain unless really feel need also bad journey try get got change left theatre . partner birthday want treat lovely theatre break London not want spoil complaining . arrive back hotel make way room fall asleep . last 3 hour room allocate right next lift shaft terribly noisy . constant noise lift go , banish effort sleep top room become incredibly hot heighten mouldy smell come bathroom . window open small amount easily rectify . think stay hotel , suggest ask allocate room next lift shaft remember earplug ! ! ! ! ! ! ! 
 Oct 8 2007 	 good value money excellent location 	 stay twin room four night . average price gbp 72,50 per night hotel good value money . room 5th floor , good size . disturbance neighboring room street , staff friendly . critisism price GBP 9,90 english breakfast interior room bit date . satisfied stay would love come back 
