rather 	 price reduce say usd 20 usd 30 , would say reasonable . hotel good , however , room tightly lay - out . bed , tv , coffee table , write table , tiny luggage bench bed , seem squeeze small space ! compact large property . service Front Office check - in swift professional . query information internet service late check - out till 2 pm immediately understand respond . the breakfast service also prompt efficient . coffee continually refill . downside breakfast service layout buffet spread . walk 3 round could find juice . eventually , ask service staff tell juice entrance ! totally cut - off entire food fruit line , also beyond greeter desk , definitely first many experience hotel . recommend visit office complex , convenient . otherwise , various hotel Pudong Area might well term choice , cost room comfort . 
 Nice Business Hotel Shanghai 	 nice business hotel heart shanghai .. seem quite full even work day , restaurant hotel full time .. stay 3 night good service hotel .. 5 block away nanjiang shopping district .. 
 Sep 30 2009 	 Third Successful Meeting 	 arrange meeting group manage go Shanghai week every October return year . guestroom cost may bit high side , meet planner , meet space , F & amp ; b assistance , food quality responsiveness staff rank high , mention central location . also plan meeting Europe US ( 3 meeting year ) venue remain unchanged coming year . alternate European US location city , Westin Bund . group satisfy . 
 Sep 15 2009 	 expect Westin standard let concierge advice 	 stay early Jan ( 1- 2 week chinese new yr ( CNY ) . ) upgrade we junior suite . room fantastic . - huge , nicely decorate spacious shower room . generally expect Westin stay . walk distance bund . everything ok 1 let . seek advice 1 young chinese lady concierge , Westin Bund , train station Suzhou ( west bind ) misguide we another train station Hangzhou ( south bind ) . reach find huge , huge crowd due crowd / worker go home CNY . struggle crowd wait ticket counter find wrong station . waste half day . becareful check properly correct station tottaly depend advice 
 Sep 7 2009 	 awesome 	 awesome trip china nice place stay staff amazing , well locate get great rate mexican agency call viajeshelvetia.com . hotel lot amenity great view . 
 Sep 2 2009 	 amazingly convenient comfortable 	 return 4 - night stay Westin Bund . amazing ! extremely comfortable , luxurious obviously expensive ! hotel self - contain 's easy forget 's big city see ! numerous restaurant , bar , fitness centre fabulous spa ( husband highly recommend ! ) staff speak excellent english go way help . load info offer help trip whilst expensive , be organise well . our room also massive ! big flat home work ! bed extremely comfortable shower amazing . creature comfort . I know 's obvious thing mention , be worth bear mind ..... everything extremely expensive . example , coffee £ 8 get pair pant wash cost £ 4 . husband little self - restraint spend fortune ! ! one thing upset little hotel . husband approach 3 occasion escort different part hotel . not mention hotel , regret would next time . cynic say hotel aware , would like believe otherwise not know sure . obviously lot money throw around Westin lot business man ....... overall , great stay would go back ( ever money ! ! ) 
 Aug 31 2009 	 oveprice 5 star quality 	 spend 6 night first time Shanghai . originally go go Grand Hyatt hotel seem well situate Puxi side , close People 's Square , Nanjing Road , Yu Gardens airport , well close train station . book hotel hotels.com ' ve upgrade one new room something like 120 yuan per night . however , impressed room decor ; seem tacky warm - like 3 star quality . ceiling spot light 2 table light bed create bright atmosphere . bathroom actually keep bumping desk whenever wide open ( slide door ) . room advantage be reasonably big will not short space . stay 11th floor . the bed hard Westin hotel stay toiletry ( shampoo , shower gel body lotion ) poor quality . the room service great , though bad value money . not get wrong , ' ve even stay four season past know good value money be . the main restaurant close 2 pm anyone want late lunch ... well bad luck ! buy sandwich ( good would recommend cheap breakfast ) & quot ; Treats & quot ; shop downstairs . snack lobby originally refuse second cup share tea pot friend , find bit rude . the location nice , great view direction . so overall , want stay , not expect stay cheap even though original hotel rate may lower place . room bad ' ve ever see 5 star rate hotel even though argue location make . personally would not stay . register write review , hope help everyone ! 
 Aug 27 2009 	 amazing hotel - everything could need ! 	 crazy 5 day trip Hong Kong late arrival Shanghai , pleasantly surprised find work book amazing hotel . it great restaurant , fantastic lobby staircase look though ballroom , different bar , spa world room fantastic . would liked stay long 10 day expensive formula 1 town price go far ! thing price guess that s pay quality . also Sunday Brunch something experience least book advance . 
 Aug 16 2009 	 excellent short time town 	 Excellent location . would recommend stay short time Shanghai would like see bit city ( People ’ square , Nanjing Rd , Bund ) . room par Westin hotel ' stay ( ' say excellent ) . base price coffee lobby area ( around 80 rmb ) , ' recommend dine elsewhere – plenty choice . banyan tree spa hotel recommend friend – purport good spa chain Shanghai . check times 2 pm . receptionist speak good English . ' get early , let hotel know - arrive 12 sit around hour . taxis too / from Hongqiao airport cost approx 50 rmb ; to / from Pudong airport approx 250 rmb 
 Aug 10 2009 	 awesome fantastic 	 center town , walk distance everything , beautiful view , clean , awesome smell lobby , hallway & amp ; room 
 Jul 14 2009 	 one good 	 title say , location service lobby . nothing much trouble staff . step hotel within minute quite literally heart everything . go enjoy . 
 Jul 7 2009 	 staff really go way helpful 	 stay 4 night family read extensively previous positive review Trip Advisor also feedback colleauge stay . must agree other hotel deserve accolade receive far . lobby gorgeous good appreciate night also Sunday 's brunch live orchestra play beautiful classical music . shame hotel lack high floor bar / restaurant take City view Bund night . one improvement use well insulation individual shower stall bathroom prevent water splash leak wet marble floor ( hence safety hazard one easily slip / fall careful ) .Highest mark must go hotel staff , especially concierge desk head Ken X . crew go above / beyond help we feel home- arrange private piano practice time / space two son high caliber pianist , spend countless hour review surveillance tape trackdown whereabouts miss camcorder taxicab , answer numerous question location / hour shopping / dining establishment . think relentless pursuit high quality service possible make stay truly 5 star experience . must also give high mark gorgeous pool swimming lane 3rd floor family enjoy immensely length stay . 
 Jun 25 2009 	 excellent option 	 ' ve travel Shanghai often chance stay Westin couple occassion . its close Bund therefore meeting side , need factor hour travel . the room nice right sized . bathroom unusual free standing tub one soak in . the food option vary uniformly decent . buffet breakfast really worth price excellent option . take trouble try home make yogurt . lounge good place relax evening . the service whole professional . an excellent international standard choice Shanghai 
 Jun 3 2009 	 enjoy stay ! 	 really great hotel , friendly staff , great food , would say perfect . ok almost whole Bund construction take face mask ! ! ! 
 May 24 2009 	 must one good hotel China 	 pay $ 800/ night ( bargain ) stay 2 night ; true 5 star hotel standard . I stay SPG prefer guest floor , soon walk room smell nice aroma . 's close Bund . great service , professionally train staff . just can not find enough word say good thing hotel . 
 May 5 2009 	 stupendous bed right midst Shanghai 	 stay three night start May , take advantage Labour Day weekend . although arrive time whole coachload tourist , get check quickly room . the room great ; split two slide partition , incredibly comfortable bed . Westin market ' Heavenly ' bed 's pretty apposite superlative ; could quite happily stay bed weekend ( although would meant miss Shanghai ) . be two television , dvd player not watch whatever film hotel channel , although not view across river , one across rooftop Bund - interesting look see bird fly around people tops building . bathroom excellent : huge freestanding bath good powerful shower , although toilet paper quite cheap quality . room service prompt good quality ; breakfast executive lounge also good variety , especially doughnut ( hand croissant pretty much rock hard ) . price service seem bit steep - close 1000 rmb massage , be Shanghai could get 50 not hotel , suppose kind person pay 1000 rmb spa treatment not kind person want get wrench hour unspeake chinese masseuse . Sunday brunch mean good town , , little pricey . , not drink weekend ; , 418rmb champagne could force would probably bargain . location great - although present time Bund construction work ( be build new promenade ) although walk Bund , can not see river . , be near sort interesting building ( HSBC , central post office , ) 's complete disaster . signage hotel little confusing time time . Office Tower ( be also Grand Tower side atrium ) spend time wander escalator look business centre . , place great . 
 May 4 2009 	 Good Hotel Greta Location 	 last 4 year stay Westin Bund Center three time . room , service , restaurant , facility would expect five star hotel . bad thing could say price high . visit Shanghai go wrong hotel . 
 Apr 24 2009 	 Excellent Hotel Excellent Service 	 property great great view . reception helpful also give tip overcome language barrier . strict vegetarian breakfast buffet could completely bound helpful chef personally point every single eggless dish also make thing . great stay . 
 Apr 19 2009 	 Decent hotel great 	 sister go shanghai 3 day easter , third time Shanghai . stay Four Seasons past two time , think would try Westin close bund . room two bed , sure room like , one corner ( 901 ) strange layout . room feel crowded , bathroom , definitely lot small Westins stay China country . bad part room though thin wall . neighbour seem tv addict tv 9 am late night , could hear everything tv room . however , flaw aside , hotel quite reasonably price class . staff concierge helpful . hotel locate dead central shanghai , rather within walking distance bund , ideal we - come back hotel bar night near bund convenient . short US $ 2 cab ride yue yuen xin tian di . overall , bad hotel , go back Shanghai , would probably stay Four season instead . 
 Feb 22 2009 	 Baby ! - 5 star ! 	 colleague spend 2 night hotel . close customer price well ( get excellent on - line rate direct hotel ) . first thing strike walk Atrium lobby - oh goodness .... stairway frame perfect island seat sit chat / drink prepare dinner meeting . stairway light different colour night grand restaurant surround creation themselves . we dine superb Buffet ground floor restaurant . price reasonable selection large . ask big & quot ; red seat around round table & quot ; - conversation well share chair shield noise form table ! . western , euro eastern taste cater . staff subtle well train . lucky enough find New Zealand Green Lipped mussel amazed , heaven impressed - fresh too . breakfast buffet 5/5 term quality . not drink standard coffee like coffee - ask espresso favourite will surprise quick arrive . anyhow room 1716 - large room ( normally double size normal Hotel room ) lounge take half space , bedroom quarter size bathroom quarter . big bath , rainforest shower , & quot ; Westin heavenly bed & quot ; ( reason always love Westin ) , spacious lounge , great working desk international plugs ton storage . dumb thing lounge though large glass box contain large glass tube ( AKA old style tv ) . internet via cable although free room rate , confused ask pay ( system silly ) . wireless via ChinaNet unreliable . free also around hotel . finally , check Sunday miss brunch ( check 1 pm ) see follow - cost around US $ 90 free flow champagne ( Mumm ) huge selection incredible food . kid catered game , popcorn candy floss area cool craft people local art & quot ; give away ( ? ) & quot ; . read Bangalore West end Taj review , see mean awesome - one beat West End ! check minor bill dispute tour take ( sadly person book make major stuff refuse lose face & quot ; ate & quot ; ) make sure check bill . error seem habit every hotel stay at . conclusion - will make sure ' m back - place perfect location , price , facility , service value . go afford ( give current economic situation , get deal ) . 
 Dec 30 2008 	 relax Recharge Revitalize 	 long anticipate wait , finally arrive Westin Bund Centre Shanghai . first sight impressive . moment enter hotel , pleasant smell . I might sound weird , yeah , never hotel good smell before . the check - in quick , know , room . the room beautifully appoint , see picture . booked & quot ; Grand Crown Deluxe & quot ; room , obviously Grand Tower . I Kinda doubt impressive crown building really hotel , apart high class suite there . service wise , pretty good . & quot ; 0 & quot ; Express Service pretty much solve ur need . also answer call surname , time get name wrong . room service almost excellent . say almost excellent hair one food , although hotel quick fix problem . Tea Coffee facillity room really good . instant coffee , real coffee powder . eat Prego MUST.The bubsiness centre helpful go way help recharge phone . a little side , one night unable sleep 8 ( feel tired ) . lock door switch disturb sign . at 1.45 pm receive call ask want room clean . maybe , be not & quot ; disturb & quot ; sign mean disturb ? yeah , minor problem . overall , hotel great , beautiful , clean luxurious . comparison expectation , fall slightly . mean , price , expect well . dont get wrong though , still good . 
 Dec 6 2008 	 Good Business Hotel deliver 	 Westin hotel Shanghai 5 - star business hotel , locate Puxi within walk distance famous Shanghai Bund Area . first time stay Westin offer relatively competitive rate " Winter Promotion " program . December usually low season Shanghai hotel kind promotion . arrivingi pick hotel staff upon exit airport terminal escort limousine . ' pleased quality car , despite Audi A6 , feel rather bumpy . also make matter bad driver speeding , due miscommunication . upon arrival hotel , hotel lady staff escort room check - in formality . RoomI book standard deluxe room new Grand Tower wing paper 38m2 actual room feel big corner room . sure upgrade room type . bedroom tastefully decorate , functional luxurious . good size glass working desk assortment plugs internet connection wire wireless free hotel guest . internet speed fast . please business traveler probably make majority clientele hotel . ' also sofa daybe window . however , much view speak except partial size view Pearl Tower . hotel close proximity office building privacy purpose , curtain need draw . 32 " Philips LCD tv DVD player . bathroom separate shower cubicle good size bathtub weird spoon shape . hotel claim " designer ' bathtub find difficult get ' quite slippery use caution . pleasant surprise bathroom strong water pressure , commonly find Shanghai hotel try far . ' also abundant toiletry supply towel various size . course signature Westin Heavenly Bed comfortable , feel ' really live hype . perhaps heavenly bed different one Westin hotel another . overall , comfortable room retire long day . Common AreasThere ' much around immediate vicinity hotel . ' much eat outlet available either right outside hotel find quite odd usually street Shanghai populate various restaurant . fortunately , hotel good assortment restaurant include chinese , italian café serve buffet breakfast , lunch dinner though expect price expensive side . common area generally beautiful light grand staircase change color night . also entire front wall lobby atrium decorate light think Christmas decoration . ' colorful hotel . say hotel fantastic buffet breakfast . food serve fresh , selection huge include many item typically find hotel buffet breakfast . ' something look forward every morning 3 day stay surpass buffet breakfast serve Intercontinental Hong Kong . many hotel include even luxury 5 - star hotel seem serve poor quality standard buffet breakfast day day 's refreshing find Westin Shanghai excel area . ServiceService generally fast efficient lacking warmth . business hotel fast response good thing business trip , dislike waste time wait anything . make many request hotel staff wide variety task item since meet business client everything arrange quickly without fuss . even " Service Express " button phone hotel guest call request promptly . say lack warm service , mean like hotel staff rarely smile " ' busy ' try disturb look " make one hesitate call upon . also , like morning go buffet breakfast , greet good morning staff rush around clean table pour coffee . instead , every table , " Good Morning " card actually greet guest good morning write remind hotel guest hesitate call staff need anything . kind strange greet way , sure Westin way . assume majority Westin Clientele business traveler . conclusionthere ' much fault hotel . perhaps service warm , ' hard press think ' much like breakfast service response . ' business hotel competitive rate good choice purely business , aspect , deliver expect . 
 Oct 26 2008 	 comfortable 	 rough 2 week ; place heaven . room separate lounge $ 350 night . nicely decorate , quiet , free wifi , really good turndown service room service excellent . location close enough walk Bund Nanjing road . particularly like huge bath comfy bed choice pillow . 
 Oct 20 2008 	 Fine hotel 	 stay Westin Shanghai Oct 15th though 17th , 2008 . overall nice property . believe overprice good location attentive staff . workout facility good great , Treadmills slip run speed staff early morning . executive level offer standard fare enjoy egg cook order toast . issue really well option price point fact , well option less cost . favorite hotel book Westin Shanghai indeed good choice . 
 Oct 18 2008 	 Nice hotel good location bit expensive 	 second time Shanghai time ' ve stay Westin . hotel nice , modern beautiful lobby , room expect Westin , bit small luckily get upgrade suite . location good , walk Bund , Yu Gardens , People 's square , quick taxi anywhere else . service okay , bad not feel like 5 star - hotel service focus customer king . not issue not make feel special like hotel ' ve stay before . I try different hotel next time visit Shanghai would still recommend business pleasure traveler since great stay . 
 Oct 12 2008 	 Great Hotel 	 Location hotel 5 min walk Bund 5 min walk main shopping area Shanghai suffice say find perfect . 10 min walk along Bund take tourist tunnel take across Pu Dong . we deluxe room truly excellent . room split bathroom , bedroom sit room could make open plan partition slide door . lovely bath shower really well lit . service hotel good nothing much trouble staff deal . breakfast also good wide variety dish freshly make cooked front you . a pleasant stay ! 
 Oct 2 2008 	 stunning lobby great service ... 	 stay Westin last 2 night trip China treat , previously stay Jin Jiang hotel . we really enjoy stay Westin , really like chain feel like slightly different approach rest similar chain . little thing like welcome drink lobby arrival , excellent facility room ( incl complimentary toiletry / accessory ) , & quot ; Treats & quot ; shop great buffet selection . also Banyan Tree spa although expensive great be into . when arrive hotel strike huge stunning lobby base around massive glass atrium illuminate glass staircase huge palm tree . look great especially evening . get breakfast - include deal Expedia would agree otherwise breakfast little expensive - not standard class hotel ? certainly wide selection good plenty local option well western food . staff mainly eager please , disagree early comment reception staff seem like new recruit - charming keen we . let lobby bar staff service pretty slow even though not busy . mean 15 % service charge stung bit . we try pool jacuzzi time people , great . small gripe : direct access pool change room - bizarre design fault mean walk , dripping towel robe , back corridor past gym get shower change . hardly massive hardship - puzzle . all would definitely recommend hotel although 110GBP per night incl breakfast cheap . 
 Aug 30 2008 	 typical business hotel 	 Westin typical fare expensive business hotel , know get arrive . two side build however , new part old part , stay definitively new part well . time stay old room quite disappointed , room small pokey , bit worn , old style tube TV . water bath brown , in - room internet terribly slow like go back 10 year ( free wifi pay so - call broadband ) , really frustrating . room service good , fast prompt , menu limit , food worthy 5 * price . staff reception poorly train , would recruit . stay many excellent hotel , Westin one . 
 Jul 22 2008 	 good hotel Bund 	 complete 5 day stopover Westin Bund Center Shanghai . hotel good 4 star property attentive staff quality amenity include good swimming pool . I eat several meal include provide hospitality hotel would highlight & quot ; Prego & quot ; serve quality talian cuisine . fortunate receive complimentary upgrade executive club room 18 floor good order well service staff . usual gripe hotel provide & quot ; value money & quot ; experience apply Westin unfortunately . credit crunch catch establishment eventually . also several comment local Shanghai paper regard low occupancy rate hotel . expo 2010 offing , think Shanghai hotelier , include Westin , review room rate encourage visitor . and hate standard practice add 15 % service charge bill . understand speak chinese colleague service charge fact & quot ; service & quot ; i.e . tip , instead cover vat local sale tax . however , think hotel retail outlet China state price inclusive vat etc rather sneak tab post sale . probably need kind legislative change doubt . all good hotel well locate easy walk sight see business premise allow plenty time go one place another Bund present whole area many roadwork area congested business hour . another word advice make sure well buckle take taxi drive see believe , real white knuckle stuff ... 
 Jul 2 2008 	 home home 	 travel Shanghai regularly business typically spend 100 room night year Shanghai . ' ve sample several hotel downtown area much prefer Westin . room generous , quiet , bed comfortable . staff friendly efficient . superb leisure facility house Banyan Tree spa excellent although expensive . wide selection inhouse restaurant fairly expensive quality so - so . Prego , italian restaurant , favourite . however , many excellent restaurant area suit taste / budget . good selection tv channel although couple movie channel often give poor quality reception . business user , business centre well equip although wireless access slow ( wire connection well attract daily fee ) . not enough lift busy time take get ground floor . the executive lounge comfortable nice place spend hour end working day . 
 Jun 19 2008 	 Nice 	 ' ve 3 stay Westin Shanghai past 3 week . first visit Shanghai . reason ' m give top rating - rate - room size vary tremendously . first room good sized ... certainly complaint . 2nd one - grant stay one night - tiny ... tiny ... 3rd room MASSIVE ! ' m sure happened not upgrade pay rate time . check slow first time , 2nd 3rd time , someone meet walk front door escort directly available receptionist . swift . room well appoint , extremely comfortable , a / c work fine , bathroom quite large separate bath shower . breakfast main coffee shop main level average - crowded . food plate / bowl replenish quickly either . Breakfast Executive lounge opposite ... peaceful , quiet , uncrowded , great selection . room service good quality . evening option executive lounge plentiful atmosphere relax . gym excellent large . Complete Cybex weight machine plus free weight dumbell plus cardio gym 6 Precor elliptical ( new one ) , 10 treadmill well stairmaster numerous recumbant standard bike . good shape TV . gym also open flexible hour . room main tower wireless internet ( free ) unreliable . wired connection chargeable . room 2nd tower wire connection fee . my complaint besides size one room tv erratic . would frequently black , last day stay never recover . check pretty quick staff reception ok friendly . would definitely recommend place - especially need good gym typically book executive room . , ' m going try Shangri - La next time something different . 
 Jun 18 2008 	 Great Place Business Travel 	 stay hotel three week May / June . convenient location work downtown area near Xintiandi ( 10 minute cab ride even rush hour ) . can not say Bund lot , convenient within walk distance Nanjing Road shopping . hotel several restaurant , good . breakfast buffet exceptional , selction western asian food , expensive $ 30 / person give current exchange rate . big Sunday brunch , low key dim Sum brunch upstairs excellent . room good sized , logically lay , well appoint . fitness center good - lot cardio equipment separate machine / free weight room . Banyan Tree spa die . fantastic massage , bit pricey local standard . 
 May 31 2008 	 Excellent Hotel 	 Great Hotel . Wonderful Staff . room luxurious . good bathroom product , flat screen television , subtle lovely decor furniture.3 good restaurant . expensive compare local restaurant , nice . Hotel Reception / bar interesting , beautiful . very near sight . would highly reccommend . 
 may 16 2008 	 beautiful property good location 	 last stop 2 - week independent tour China . hotel attractive property upgrade , base Starwood gold status , junior suite Grand Tower , even though use point . also obtain executive lounge privilege use additional 2,750 point per night 3 night . well worth since breakfast hotel restaurant quite expensive . beautiful room spacious , modern bathroom . check - in particularly friendly find English skill Service Express staff somewhat lacking . check executive lounge discover leave ATM card machine hotel lobby night . staff could helpful , include place call US contact bank ( cost ) follow email depart . card find suffer loss . hotel short walk Bund therefore prize location . would recommend hotel location well - appoint room also dedicate responsive staff executive lounge . also attractive pool never time use . anyone interested , take worthwhile walk tour lead Dvir Bar - Gal , israeli journalist , history Jews Shanghai [ - ] 
 May 13 2008 	 good business hotel 	 stay weekend - good business hotel decent location close Bund - check fine - nearly staff passable english - room nice , good size clean big walk shower stand alone tub - food ok - lunch buffet breakfast room - ok western food chinese city - make hotel car ; taxi 's complete nightmare worth every cent hotel car instead getting lose , rip , rob etc - overall good standard hotel good standard rate 
 May 12 2008 	 Best yet 	 check Shanghai Westin impressive Westin Hotel Beijing . sit room / office , bath bedroom elegant comfortable . take quick inventory amenity discover toiletry usually offer hotel . slipper robe , umbrella also available . we free time dinner since hotel centrally locate Bund , group we decide walk Nanjing Road , pedestrian zone . find many famous store like Peloman , Hensen 's Suit , Peng Street , Hongxiang Ladies Apparel , Mankton , Renli Fashion , Long Feng Traditional Chinese Clothes , Heming , Lan Tang , Bobu Leather Shoes , Shengxifu 's cap Zhangxiaoquan ' cissor . walk past department store restaurant . want get flavor district . rubberneck ... fend vendor want sell flashing wheel clip shoe glide along street . age gliding business . dinner quite cosmopolitan . western oriental choice international fare evening South African . nice change , nice choice . 
 May 8 2008 	 fabulous 	 partner spend 4 day Shanghai Westin Bund Center , Shanghai . fabulous experience ! ! ! staff could enough make trip enjoyable . stay one Deluxe Rooms - absolutely pure indulgence . spacious , well appoint room . clean , quite great view Huangpu River Pearl Tower . use Banyan Tree Spa relax pamper . do not think staff quite ready deal European Male - much giggle always present smile treat well . everything read Westin website genuine offer ! ! . outstanding spacious room , fabulous food , wonderful staff - want ! ? ! ? ! ? ! location hotel make walk anywhere easy . reception little map touristy place mark chinese , english PinYin , need help find direction show map either taxi driver passer . intersection ( foot ) ' pedestrian traffic controller ' - good source guidance walk helpful . but remember China ! local bit reticent deal foreigner , do not put approach passer ignore - rude , open west - ( although happen London , Paris & amp ; New York ) .place must see1 . Green Jade Buddha Temple - get taxi dollar ) . Temple vegetarian restaurant food outstanding ! ! oh word caution , fully function buddhist temple , ask permission take photograph - alto ' one say anything do not ask , good manner ask offend Buddhist population.2 . Yu Yuan Garden - cup genuine chinese tea Yu Tea House - ( use downstairs - upstairs visitor twice price ) . talk couple dollar . take day stroll around garden amazing history great experience.3 . walk around absorb atmosphere Shanghai - city fall love . quite safe walk little side street see local live.4 . go antique bricka brack stall ' antique ' market.5 . want authentic local chinese food find ' supermarket ' grocery may find restaurant upstairs . 6 . bund 5 minute walk Hotel also must stroll along.7 . queue buy ticket local push push push ( helps play rugby contact sport LOL ) .I love Shanghai , love Hotel can not speak highly place can not wait go back ! ! ! 
 May 1 2008 	 great room great bed great service 	 stay Chinese New Year escape firework neighborhood . great stay . room Crown Deluxe new tower . loved layout able separate seat area sleep area . bed super comfortable . maybe good bed China . 
 Apr 25 2008 	 CLASSCLASSCLASS 	 stay Westin way through . within minute feel guilty without family enjoy . this hotel A1 would reservation stay again . in actual fact simply would'nt consider stay anywhere else . I try hotel Shanghai , hotel exceptional . the problem need time hotel mention think will take family back later year . the room great , stay suite Grand Tower 10/10.in fact everything 10/10.the chocolate make downstair treat great . carry fragile chocolate 10 hour flight carry nitro make sure do not break could bring intact family , well one break survive . I always compare hotel Westin Guangzhou favourite hotel . well hotel great , still hold Westin GZ top list basically think much small lobby make personnel experience whereas th Westin Shanghai / Bund grand scale hotel . however certainly leave satisfied . the food exceptional , find eat Open Lobby Restaurant good PREGO also good . I still think PREGO Guangzhou Westin much well food maybe might open kitchen front eye . no matter , establishment high standard people , like go place good see , well place might comfort zone . I would rather enjoy CLEANLINESS GRANDNESS service.thank WESTIN SHANGHAI back . 
 Apr 5 2008 	 great hotel throughout one flaw indifferent staff 	 stay two night business Westin Bund . driver pickup airport flawless even though someone yell parking car front . driver calm since idea yell . arrival , upgrade fantastic room 26th floor stunning view amazingly furnish room . really love view river bath tub . amenity would expect top notch hotel staff constantly show good sign well establish hotel ( friendliness , smile , professionalism ... ) ... except one staff take care check .. come back later . the location quite tricky since lot construction go around area overall 's far wish go Shanghai . one snack restaurant one room breakfast could not find fault . the let hotel check experience ; staff take care check indifferent , voice small unforgivingly command . old couple also want check waiting paperwork without eye - contact tell go . voice small couple could hear . couple ask , said & quot ; yes go & quot ; . old left look confused . think rude basically show attitude I . anyway , general enjoyable stay hotel would love come back stay . 
