LOVE 	 would totally recommend Pod Hotel friend ! trip NYC July , leisure , alone . take single room share bathroom perfect , perfect , room small , fit everything ; share bathroom great , 10 day , everytime go bathroom ( two per floor , great ) empty , never problem wait someone , ... hotel full , floor quiet , really love . decoration awesome , cool , perfect young people , nice everybody ! location good value really great . I doubt next travel NY stay Pod ! 
 say tin love ! ! ! 	 book hotel base review trip advisor disappoint . excellent location ; tuck away crazy - walk 3 - 5 min road be Radio City Hall . hotel clean funky little Pod become home 4 night . great people want stay outdoors day use base sleep get ready . double private bath perfect us pop head share shower floor also clean tidy . hotel do not tired look many hotel matter nice clean - hope keep update maintain . feel safe comfortable enough girl would happy stay . breakfast recommend Morning Star Diner - come hotel turn right right ( 2nd ) . really cheap friendly proper diner experience ( look ) . overall great hotel ; look ; cheap , safe , funky , good location , clean room bathroom safe . would go ? ? ? yes wihout doubt ! 
 funky good value 	 return short stay Pod Hotel nyc . although hotel funcky basic 's great value location make short coming . book large room queen bath pretty tiny fine . staff great helpful room bath clean . side space sit garden patio roof garden ... need sort good fun . great group single . 
 Nov 6 2009 	 great location cosy clean 	 spend two night Pod Hotel enjoy immensely . atmosphere cosy welcome , although room tiny , space well organize . place spotless clean people desk concierge helpful . area pack restaurant , start hotel 's Le Bateau Ivre , right next door . I would definitely go back . 
 Nov 5 2009 	 Recommend highly 	 stay friend bunk room two week . small , room always clean tidied day . share bathroom also always clean . staff friendly helpful . 's great location close subway reasonably price . recommend Pod anyone know travel New York . 
 Nov 2 2009 	 interesting experience 	 visit NYC past weekend attend Village Halloween Parade & amp ; NYC Marathon . pod unique interesting experience . different U Hotels . be inexpensive compare hotel , bare bone , comfortable , extremely clean : room share bathroom , employee friendly helpful . good location Midtown easy access anywhere Manhattan . really impressed hotel 's cleanliness ! ! ! 
 Nov 1 2009 	 Fab ! 	 arrive early flight room ready great . small functional single room - bathroom right next door . four floor never wait . light room indicate available anyway , line outside pjs ! bathroom big other , know choose use ! bed not comfy , job - 's criticism . roof garden nice , rain visit look never sit . friendly staff , clean modern looking . day check - out store bag late evening problem . buit cheeky even use bathroom get change overnight flight home ! conveneient location subway ( line 6 local train - one stop Grand Central express line , also line e / v couple block away ) . would happily stay future . 
 Oct 31 2009 	 pod great option budget ! 	 book room bathroom . small , clean space well think . decent view room like window open . rooftop cool , make sure check .. would stay ! complaint bed pillow comfortable . also , full length mirror iron room . 
 Oct 30 2009 	 love pod 	 stay pod october 2009 10 day . check peforme 2 minute , room ready ' ve get info need time . room ( double pod ) small 's structured smart way . will probably problem luggage stuff will buy , put bed etc be fine . shower room inside amazing glass wall 's unique form . internet work perfectly , staff friendly , location good . will 15min walk Times Square , subway step away love thai restaurant ( Thai 51 ) next hotel . I recommend hotel 's modern will everything need amazing town Ny . 
 Oct 25 2009 	 wrong attitude 	 arrival Pod greet rude obnoxious staff . at point feel welcome comfortable . check staff tell not make reservation , do one week prior . fifteen minute later discover book apology make . due uncomfortable atmosphere decide spend little time hotel possible , even not enough avoid confrontation . at end stay ask staff member order cab get airport . already purchase return cab fare staff member tell owe $ 20 . tell already pay return fare abuse saying tell soon . disgraceful attitude staff Pod unnecessary unfair . never see smile , go way customer even tell nice stay - service free ! ! 
 Oct 25 2009 	 POD HOTEL NY 	 hi , travel allot part business , get stick without hotel new york , book online ( easyclicktravel ) . hotel simple , location amazing , room really comfy . staff also good , help get around . would say recommend . 
 oct 22 2009 	 bad attitude 	 stay & amp ; impressed , however recent visit terrible . booking make travel agent , however arrival tell reserve two double advertise , put we one double bed . point staff helpful resolve problem , manager far difficult . require pay additional take grade bunk & amp ; share bathroom . take 3 month hotel agree wholesaler refund difference grade . internet unreliable . I like location & amp ; hotel good idea , enough recommend stay . would recommend hotel . 
 Oct 19 2009 	 good hotel come smaill package . 	 hotel excellent , room small know would , everything work . loved cleaness , share bathroom spotless , shower brillant water stay temp . lobby funky hip . staff nice roof great view . also lovely spot Midtown lot lovely bar place eat around . back . 
 Oct 18 2009 	 cosy clean comfortable ! ! 	 whilst plan holiday NY 3 gfs , overwhelmed choice hotel available . stumble upon pod hotel much research decide give shot appear trendy fall right budget range . stay lovely , pod live reputation deliver promise . trendy , funky yet cosy comfortable . importantly clean central location . bathroom lil small also convenient communial bathroom hallway impressively clean time . pod perfect lil getaway fantastic stay . 
 Oct 16 2009 	 fresh clean great location calm area good value . 	 stay Pod hotel together friend May 2009 . take bunk share bathroom . big concern arrive shared bathroom , experience youth hostel share wc afraid would dirty nasty . shock , pleasently shock clean . bathroom feel modern rather stylish - even cool music low volume , perfectly clean every time need use , almost somebody step clean every visitor ! although share , never stand line . room smaller imagine , efficient . bring one cabine bag enough space hang jacket , blazer etc room . service good . bed ok , bed flat tv screen foot end ! location great looking , be right Midtown East , walk distance Central Park , 5th Ave etc .. area calm Manhattan feel safe . several pub , cafés cool bar around corner . not experience disturb noise outside night . also , hotel roof terrace nice bonus . subway station block away . negative thing think elevator rather slooow ... , nice hotel touch indeed ! 
 Oct 13 2009 	 great little hotel - excellent location 	 stay double room tiny bit small 2 big people know would case reading review . room always keep clean . modern bathroom , furniture etc . location fantastic tourist . smack middle everything great little restaurant next door . 
 Oct 13 2009 	 expect 	 Pod like expect . photo see website absolutly real . room tiny efficient . clean clear . lobby nice comfortable . frill service courteous . location great , center Manhattan . 2 side : 1- elevator . one elevator work slow tiny . 2- noise : door slam alot noise disturb middle night . all , would recommand place young people not need service hotel . part would stay short stay , 3 day . long stay appreciate space room . 
 Oct 11 2009 	 Pod Hotel : great value great location 	 girlfriend stay Pod Hotel early October 09 . read lot favourable review definitely live expectation . room small ( name & quot ; Pod & quot ; bit giveaway ! ) really well design not feel cramp . plus clean bed really comfortable . worried bed small fine . staff pleasant enough ( amazing , certainly rude ) cleaner great job room every morning . 15th - storey roof terrace nice little bonus . but good aspect hotel location . right Midtown East , exactly want New York . never not know expect location ideal - surround tower skyscraper , short walk 5th Avenue , Grand Central Station Chrysler Building . plus transport location really good , subway station nearby . the area feel safe time day night ( catch subway home 4 am without worry ) .I would recommend hotel anyone would definitely go back . 
 oct 9 2009 	 Good Value 	 stay ' the Pod hotel ' three night Friday September 11th till Monday 14th September . first walk hotel , lobby clean , bright big expect . staff friendly helpful . room small , expect ( bunk bed room bathroom ) . room clean nice . room adjustable LCD TV , sink , wardrobe light tell people bathroom . mostly worry state share bathroom imagine really busy dirty far truth . arrive , shock nice actually . big , marble / tile , spotlessly clean soap shampoo dispenser . absolutely Perfect ! ! ' put share . worry honestly nothing worry : ) extra money ' bother pay bathroom . for money compare hotel New York . Pod Hotel great Value ten minute walk Rockerfeller Centre near main attraction . the problem lift slow one three work . I would defiantly stay pod . £ 90 night bargain 
 Oct 9 2009 	 excellent location really friendly staff would stay ! 	 really enjoy styae hotel . close major attraction .. far Fifth avenue , times square . modern ideal visit New York budget ! 
 Oct 8 2009 	 simple perfect need 	 travel look good location , ease , affordability . think Pod Hotel perfect we . be locate great place , block half subway . room simple clean . go bunk bed room would enough room perfect . shower bathroom clean thoroughly enjoy stay . not type hang hotel small room make difference we , see city , inside hotel room : ] Pod Hotel perfect ! 
 Oct 8 2009 	 friendly staff clean accomodation 	 great one night , compact room , sometimes share restroom other . location great walk midtown Manhattan west side NYC area interest 
 Oct 5 2009 	 Lovely Hotel 	 stay hotel July cousin . book bunk room fro two we . room small price pay really great . compact room space use good . small sink enclave hang clothe . bed also 10 & quot ; tv . room clean day relatively quiet . luckily close bathroom could nip free . never wait length time bathroom become free . hotel around 15minute walk time Square 5 minute nearest subway station . plenty pub restaurant along 2nd avenue , would recommend Pig Whistle , staff lovely bar food great . 
 Oct 5 2009 	 Superb Value 	 good value hotel NYC ! service fairly non - existant hotel super funky perfect young people like ! check roof terrace , great view ! walkin distance major landmark attraction / shop / restaurant . if ever go back NYC stay Pod ! 
 Oct 5 2009 	 great place be budget 	 travel 2 student always hard find great place not expensive . time pick pod hotel , website give we good feel hotel review tripadvisor good . ' ve london stay similar hotel not cost much , kinda know could expect . room not big , know came not surprise . important , everything clean ! even 4 bathroom hall perfect . never want take another bathroom one messy something . everything great . blast hotel . trendy breakfast garden real good day starter . must book bunk bedroom would understand couple would not enjoy sleep bunk be holiday . we not problem , especialy see tv bunk ! room clean every day , get clean towel every day bed make . location perfect , nice neighbourhood nice restaurant street ( especially sushi great ! ! ! ) next time definately would go second time ! realise not super expensive new york term , not get suite , perfect ! 
 oct 4 2009 	 tiny nice room . great location . 	 hotel funky modern . locate Upper East side NYC , close Subway . room tiny ( hardly space luggage ) , nicely furnish ( be even hi - fi connect iPod ) . double ensuite room ( ridiculously small bathroom , recommended not know travel partner well ... ) , room share bathroom also available share bathroom well ever see , stylish super clean . breakfast , restaurant . free wifi connection . great rooftop admire skyline NY . claustrophobic , would recommend ( be dead cheap , consider NYC , great location good standard , would say 's good value money option find ) . 
 Sep 29 2009 	 Excellent Value Money - non picky ! 	 first two time New York mother pay little extra kitchen , bathroom etc . time boyfriend do not need picky . go Pod read review little research figure get bargin . ! opt bunk room go share bathroom . review expect room move bed also desk , storage space sink towel , tissue etc . well lay clean . light indicator show bathroom use handy floor every bathroom toliet shower . expect bare minimum bring towel , shampoo shower gel provide . staff friendly help we arrange transport airport . expect little thing come 3 4 star hotel disappoint . recognise bargin happy stay place clean cool , go Pod . 
 Sep 27 2009 	 Excellent love place ! 	 stay first time October 07 return New York April , natural choice . small clean modern room air con , safe personal tv . whole place funky feel really add buzz New York . well locate major attraction well service locally , bar , food , bank etc . stay check rooftop terrace cross road soak tranquility small beautiful Greenacre Park . 
 Sep 20 2009 	 good option budget travel 	 stay hotel november 2008 . be nice hotel . simple funcional . the building relatively new , clean well conserve . 's close subway sation , quite neighborhood . walk famous New York sight . 's various restaurant , fast food facility vicinity . the problem siza room . really small kind hip well project . besides , New York stay stucked room . 
 Sep 14 2009 	 great lone traveller though noisy 	 put small room sharing washroom ( problem book ) , hotel could . room small , well design lay . share washroom problem . never time could not use washroom want , always clean ready use . also not & quot ; awkwardly & quot ; encounter another customer wrap towel enroute washroom time either : ) lobby , hallway , room modern . issue stay door room provide poor sound insulation , consequently , could hear everything ( even normal conversation ) , easily ( fun 4 a.m. ) . , great stay hotel . 
 Sep 11 2009 	 Pod Cute Cozy ! 	 small room - obviously be Pod ! utmost make use space . small closet room safe , drawer bed use dresser . also small desk , flat screen tv full cable , free wifi fast enough use internet email . in - room bathroom nice , small well appoint . nice big shower head good water pressure . could see really tall could challenge use toilet room . want social scene could hang roof top patio area . really tired sight seeing hang briefly cool view seem lot socializing go . service excellent complaint . stay 's decent area close subway restaurant bar . 
 Sep 10 2009 	 funky small close cool stuff 	 good thing say hotel / hostel close lot cool stuff important sight seeing . arrive 7 am normally not check people til 3 pm get room right away . tiny bunk bed , place hang clothe , sink ipod docking station ( think pretty cool / unique ) .it 300 $ CND 2 night actually one cheap hotel could find not gross look middle nowhere . 's lot place sleep . there concierge main floor friendly answered question . only one 3 elevator work normally would ok 12th floor . usually take stair make dizzy ! patio beautiful rooftop something night although not light . overall think research book advance could get well deal somewhere else . overprice like everything NYC ! 
 Sep 8 2009 	 Fantastic 	 stay December 2008 get bad thing say . location fantastic ; within walking distance many place also subway close . yes room small clean like go spend much time room middle New York . private bathroom stay would probably go share excellent system place always appear clean . I would definately stay , clean , close many place reasonably price location . 
 Sep 6 2009 	 Innovative neat- traveller lot luggage 	 husband stay one night , stop - over Caribbean Europe . thankfully , check - in quick effective arrive 2 morning . loved concept hotel : place take shower , sleep ; hang ut room . well itt & quot ; hotel & quot ; such- stylish hostel . yes , room tiny , ` recommend sizeable suitcase .. ! location superb . walk door , ` right middle ! 
 Aug 30 2009 	 Love place ! frill great someone budget ! 	 folk , be call POD hotel . tiny compact , yes , 's breakfast , not expect much sleep ! someone travel Manhattan tight budget twice stay time ( January August 2007 ) , recommend hotel highly . help hotel recently renovate first go - extraordinarily clean . love fashionable shower room iPod alarm clock ! second time , stay room share bathroom ; room clean shiny - clean first room January , bathroom reasonably clean . use bathroom take one shower , stay one night . the room service without fail first stay , last five day . initial request extra blanket answer promptly . free wireless work well time . eat breakfast every morning Pax street . overall , place no - frill ideal person tight budget not want sacrifice cleanliness basic comfort . 
 Aug 29 2009 	 Fair location - bad service low quality accommodation - call hostel rather hotel 	 hotel 's location really close subway station fifteen minute walk Times Square area . issue hotel apparently cancel reservation . call advance order let know arrive time night / early morning make sure consider no - show arrive midnight . arrive early morning hotel ( actually arrive 7 , plan , 5 ) & quot ; welcome Pod Hotel & quot ; anything like . check - in turn obviously give away room somebody else thus earn twice money room . however get room immediately front desk manager unfriendly give we feeling make mistake actually happy get room not show day . find behaviour unprofessional inapropriate leave we impression aware effect first impression overall experience . would seemd reasonable hotel maybe reimbursde us one night actually not stay hotel ( sell second time ) good standard hotel attentive front staff employee would give we least complimentary breakfast something . there 2 small slow elevator 14 floor one service stay . corridor narrow well light ( least floor ) moldy dingy smell . air - condition work night clerk ( red - haired guy friendly ) give we another room immediately . the room small feel like small cabin cruise ship . the price pay ( borderline ) ok . really irritate hotel lack service absence hospitality . rather call hostel hotel . place feel comfortable room spend hour hotel . the wireless network work stay . give good location could make enhance service quality . room small bed comfortable improve hospitality standard could become decent place stay . 
 Aug 26 2009 	 Compact smart 	 great hotel , everything need . room stay share bathroom 4 room floor , never wait queue bathroom spotless . choice 3 different bathroom could check bedroom whether occupy . hotel compact ( feel bit like cabin ship ) would definately stay . fantastic roof garden - worth check . great location , one block subway . 
 Aug 21 2009 	 small hip . 	 Pod Hotel great place stay NYC . hotel stylish , hip . locate Midtown two block Lexington Avenue / 53rd Street Subway station . room , pod , small , sufficient . everything clean well maintain . room bathroom , however mine . find & quot ; bathroom & quot ; odd . shower stall enclose clear glass , mean whenever anyone shower see . keep mind shower room one side , enclose room . staff nice , helpful . perfect place want get close lover . 
 Aug 18 2009 	 good affordable choice midtown 	 stay single share bathroom way back NYC - disastrous stay another hotel downtown early summer . clean good 2 3 step hostel . room comfortable clean - feel modern Ikea , unlike hostel flat screen tv bed great light system show bathroom available inside room . the location good - block east Rockefeller Center business center midtown manhattan , though long subway ride downtown good bar restaurant ( Greenwich Village ) .The pod good lobby helpful front desk concierge small courtyard breakfast . 
 Aug 15 2009 	 nice outstanding . : ( 	 please understand husband travel quite bit . 3rd trip Manhattan year . ' ve also travel Milan , Italy Las Vegas spring . honest , also slow year travel we . I decide try Pod Hotel read hotel magazine , Yelp.com , Tripadvisor.com . stay 3 day 2 night . queen - sized room private bath . the hotel modern trendy . our 1st impression room , & quot ; AWESOME ! ! ! ! & quot ; . instantly remind trip Europe . room minuscule . bathroom tiny . room stylish , well - design , clean . however , 3 thing prevent give hotel 5 - star rating:1 . internet never work : unsuccessfully call hotel 's technical support 3x stay . hotel 's wireless router reboot several time . could never stay connected internet minute . issue also happen midnight . : ( yes , even vacation , need internet find park , restaurant , subway - route , etc . : ) 2 . two 3 elevator work.3 . room iron iron boardIf stay Queens Brooklyn , would suck say anything . : ) Buuuutttttttt ... Pod Hotel Manhattan . : ( hope elevator wi - fi would fix stay . IMHO , hotel good folk who:1 . look budget hotel nice neighborhood2 . not need internet3 . stay european hotels4 . travel lightlythis hotel may unsuitable folk who:1 . need internet2 . lot luggage3 . travel family . may need rent two room , since room fold bed.4 . slightly claustrophobic5 . obese . bathroom tight fit anyone comfortably sit seat airplane . 
 Aug 15 2009 	 Odd Pod perfect family 	 stay one townhouse pod & quot ; odd pod & quot ; say . roomy husband , child queen bed twin trundle . like room little area twin bed / trundle child size table two small bean bag cube chair . daughter little room ( door though ) . room large standard hotel bathroom tub / shower door privacy oppose Pod room read about . there large desk maybe 5 foot long plenty light electrical plug . problem get wifi get little work do . one time could not get wifi connection go comfortable lobby . room also closet iron ironing board safe . safe never work think miss battery . forgot report . large flat screen Tv wall visible bed . the townhouse room separate building walk narrow steep set stair . overlook back courtyard quiet . could observe many people eat breakfast courtyard morning one three window room . hotel locate great area close many restaurant 2nd Street great take picnic supply store 3rd ( lex ? ) e 51st call Allure . think get breakfast go one morning sit little park across hotel next synagogue , never get . maybe next time . great belgian restaurant , appropriately call BXL , door leave exit pod . one night great $ 20 eat mussel special include one Stella Artois beer . bad deal NYC anywhere . we usually stay close Times Square fancy hotel , price size room 3 people great choice . favorite Times Square hotel want charge we another $ 150 per night third person ! first think location little far everything , discover great restaurant 2nd Street hooked . eat breakfast Pod , Allure ( table upstairs ) everyday diner 2nd call Morningstar . one favorite dinner Lasagna 2nd run nice german couple hotel . happy restaurant well . I think family small kid would feel comfortable . make sure okay walk narrow stair way townhouse pod . least not deal slow elevator read main building . great bellman haul luggage stair . love Rafael Marco . happy employee . 
 Aug 13 2009 	 wow ! 	 room great . two adult female want share bed . bed extremely comfortable . like light room indicate bathroom occupy . never problem get . stay second floor , bathroom extremely small . check bathroom floor & amp ; gigantic compare one use . suggestion would walk flight use shower third floor . area great location . wifi work . roof top lounge indicate websiteOn another note ' m sure wine bar connect hotel , worth go patronize . service horrible , could hardly even get drink . 
 Aug 8 2009 	 Smelly room hot room nice room ... third time lucky 	 get back stay Pod four night . fine , nothing well . claustrophobic , enjoy able walk around bed hotel room , without crawl suitcase room , you . our first room ( double bathroom cubicle ) smell strongly damp make we feel like not clean take shower . note : not share room someone 100 % comfortable seeing ( hearing ) shower use toilet ... bathroom glass - wall zero privacy ; though additional shower toilet hall . second night , ask change room smell overpower . second room smell fine , air conditioner break room hotter hell . fix little replacement one window , sound like jet engine room would made sound sleep . call front desk send hotel handy man take look , finally agree give we Queen room ( cool odour - free ) . room absolutely fine , advice would push boat little spend extra queen . pod fine , good budget - conscious ( ) much cheap hotel Manhattan space , privacy basic comfort . pro : free wifi . con : elevator joke , need somewhere hurry , allow extra ten minute leave building . 
 Aug 5 2009 	 small perfect 	 stay 2 night return Sydney find hotel , single pod mean shared bathroom . never fan Hostel type accomodation purely budget choice lovely suprise . adore hotel really perfect . issue bathroom . light go room occupy . spotless well appoint . room little desk corner window bed firm comfortable . staff lovely location fabulous . Less minute walk subway 10 min walk Central Park . mcdonalds close well great little deli easy meal . would definately return look forward soon . 
 Aug 5 2009 	 great place solo couple 	 love room , like ikea . room small well arrange get . feel like romantic place stay . frill , nice . see - through shower would prove awkward without romantic involvement . not suggest business partner , work well wife . we love walk , location close everything want . metro line close taxi could zip location walk line not get you . right around corner great bagle shop , along 2nd street find lot place eat . somewhere nearby single good indian buffet ever ! wife 20 countries- 's say something ! love stay . check share bath room clean nice . next time , savce cash , might go route . if drive , make sure park lot suggest stamp ticket . save quite bit . 
 Aug 3 2009 	 Fit budget 	 great location , great last minute deal . hotel room tiny clean . must several College aged people floor quite noisy midnight hour first night . Fora cheap stay great not think romantic weekend . 
 Aug 2 2009 	 small efficient 	 Excellent location mid - town Manhattan , 2 block métro Lexington , easy access e train JFK . walk every . room 830 , clean , efficiently furnish . room look AC turbine make impossible open window noise intolerable . 4 clean bath - room - shower floor 4 light room indicate one occupy . housekeeping staff friendly , check - in staff so - so . depend time day non - smoking hotel 's great thing , however hotel allow smoker smoke right front entry door therefore often walk thick cloud smoke , mentionne NYC law smoker must smoke 15 foot doorway , bellman shrug told & quot ; ya go to , smoke somewhere & quot ; .I try breakfast . not think 's free ? hotel 3 elevator , mostly one work , make long wait crowded ride elevator small . still , low budget person , go ahead stay Pod hotel . one week stay mostly non US visitor stay . Micheline Seattle 
 Aug 2 2009 	 Perfect budget conscious traveler 	 look follow : spacious , luxurious , roomy , quaint , charming -- hotel you . but -- , like we , seek well situate base explore city ... not much care room long clean safe , Pod perfect . my husband stay room full bed . room TINY ... space - save machination worthy space shuttle . quite cleverly do , actually . staff courteous helpful . location , Mid - town Manhattan , perfect base sight - see . room dock / speaker iPods , free wifi flat screen tv . price location spectacular . 
 Jul 27 2009 	 Fit Bill 	 stay hotel extensive research lot change mind ... take nephew 50 + aunt , additional privacy bunkbed seperate tv 's big bonus . get type room request ( slightly big bunk bed room close toilet ) give demography , grateful extra space . the room small , never feel crowded . sink big expected reading review , view nice , roof terrace well , though never really get spend much time there . the shower nice clean somehow ALWAYS available ... tended choose 3 , slightly big one daylight ( big plus ! ) . also , sideway extra spray fun . the elevator nearly slow expect ! still one apt , live 12th floor ... , pretty good . all , quite pleased hotel . staff friendly helpful , decor hip trendy , people sort stay . noisy . sometimes would hear people talk loudly corridor , inside room , would not hear anything anymore . tv 's working fine . only downside , bed slightly squeeky , make want lie still time . soon let notion go .... nephew fast asleep time anyway . a great budget choice ! 
 Jul 25 2009 	 still perfect . 	 stay pod hotel 4 time time perfect , review state room tiny bit harsh , alright room small lack size make facility , stop numerous hotel Manhatton , small , get charge extra extra . besides go NY sit room day . diffrent & quot ; pod & quot ; without Bathroom would always go one without bathroom public bathroom spotless never busy besides little light bedroom tell occupy matter pod never 20 foot bathroom . great location explore NY . review give bad review please check date first time stay 2005 think refurbe rebrande pickwick arm seem pretty poor review . 
 Jul 24 2009 	 basic 	 compact room - let rephrase - tiny ! expect small really teeny . first room check smelly toilet break overflowed room roach mass . room change issue 2nd room mirror image first , except clean . wardrobe storage dressing suitcase be not seperate bathroom , shower room could touch bed . the place seem like hostel due budget lot young guest wall thin , could hear everyone . thankfully stay 3 night move Marriott Time Square - long think would much . as place stay NYC acceptable serve purpose somewhere sleep want easy walk distance Central Park , Time Square etc . great french restaurant couple door along hotel would definately recommend eat . return NYC stay somewhere else though prefer little comfort , however , ' m sure plenty bad place stay . 
 Jul 18 2009 	 nice gem big city ... 	 good part stay daily leisurely breakfast garden outside set excellent eat , coffee , service ... not pass ! bunk bed pod perfect mother daughter get away ... subway 1 - 2 block away ... great location , walk breeze MoMA , Rockefeller Center shopping 5th Ave . 
 Jul 13 2009 	 amazing value bijou room unbeatable location . 	 friend stay end 3 month trip , decide pay bit stay somewhere nice ; could ask . impeccably clean , wonderful location , amenity could wish . room , course , small side carefully design use minimal floor space store belonging . share bathroom always clean , lovely shower , also sink room nice surprise . cafe downstairs definitely worth visit 's wonderful food atmosphere , roof terrace perfect look Manhattan . 's close Subway station , lot local amenity , restaurant bar 10 minute walk Times Square ; far well anticipate price , wait visit ! 
 Jul 13 2009 	 Great Location Price . sure would go back . 	 stay one Pods without ensuite bathroom 12th floor . elevator slow sometimes take get . room small functional . appreciate room safe AC powerful . bed / couch somewhat uncomfortable sleep . really like sleep couch . the hotel constantly play kind new - age jazz music become annoying . share bathroom okay clean morning . rain shower head nice high enough tall person like . however , water pressure could better . the location price can not beat though . $ 99 night Midtown east . love little GreenAcre park across street . plentiful food option thing within walking distance . great subway connection e 6 line nearby . I satisfy stay love location / price ' m sure would go back . 
 Jul 13 2009 	 small great value 	 stay Pod Hotel six night trip NYC . room , small , work ( even come instruction make good use space ) ! bathroom tad see - through , easily fix shower curtain . the room clean - couple bed - bug bite , apparently unavoidable everywhere . not overly impressed service , every time go see front - desk look wish would disappear not helpful . location great - Central Manhatton , 15 minute walk Times Square , subway startion nearby , right across supermarket / chemist . great value money - cheap New York Hotel room ! hotel also nice , relaxed roftop lounge area certainly make use morning . for traveller budget still not want sacrifice cleanliness / safety , be perfect . 
 Jul 6 2009 	 small small 	 double room really small . advantage disadvantage . could get boiling water room get reception . guy lobby helpful help info thing would help book trip tour I m nearly sure charge & quot ; book fee & quot ; careful . hotel organise bus transfer main airport lone traveller would benefical save money , think 20 $ per head . hotel funky feel clean prepared tight squeeze . 
 Jul 1 2009 	 trendy hotel great location 	 stay bunk room 4 night . room small ( expect ) clean , small basin room shaving / washing always share bathroom available . share bathroom generally clean , good shower . one occasion see cockroach one bathroom , think isolated thing . way make tea coffee room ( guess keep cost ) coke machine lobby . also cool roof garden . also provide free wifi nice bonus Ipod docking stereo . the hotel good location , could easily walk time square subway station 2 block away . downside hotel , one lift service remain two lift slow respond . not seem freight lift , morning staff use one lift move linen , take get high floor ! 
 Jul 1 2009 	 Fantastic Stay miss shower ! 	 stay 5 night , two us bunk bed room . first room tiny , hardly walk room , a / c break , quick move we another room . helpful friendly , new room bit space , overlook 51st Street . great neighborhood lot good restaurant fun bar within walking distance . 4 bathroom floor , never wait use ! shower amazing , like rain fall . always clean , bring towel room shower shoe ! rooftop great ! go 14th Floor & quot ; B & quot ; Stairs , enjoy view ! cute little bench seat pleasure ! overall , would highly recommend budget . comfy , cute great location ! 
