room 	 arrive hotel properly greet take room . get room furniture inside stain really beat . bad part room bathroom door . bathroom fit slide door go wall alongside . door lock leave 2 - 3 inch gap walk could see someone toilet . concierge helpful suggestion restraunt nightlife . concierge tell we well staying room since & quot ; nothing chicago 10 pm & quot ; . last night order movie quality movie horrid ( movie pixelating blurry ) call argue person front desk credit us money back movie stop less 5 minute . full service hotel pay 10 buck anything everything . pay 12 dollar bring we extra glass since old one dirty maid switch . redeem thing trip fun friend hotel . 
 Oct 15 2009 	 Blackstone Hotel 	 Awesome hotel . excellent service , beautiful view Tapas restaurant amazing . 
 oct 9 2009 	 Amazing 	 Chicago one night want get location central Shedd Field Museum . could not do well ! beautiful room friendly staff ! not expect lake view room get grade . amazing look harbor see boat . truely beautiful ! 
 Oct 6 2009 	 Incredible Fantastic Beautiful Wonderful 	 arrive Saturday request upper floor , lake view room . stay room 1918 , corner room look Lake Michigan . beautiful . clean , bright roomy . exceed expectation . directly Michigan Avenue expect road noise . little . also noise guest . zero . hotel beautifully appoint . staff incredibly helpful welcoming . bed comfortable . negative feather pillow extra blanket room . know every upscale hotel feather pillow , hard get foam . still sleep good bed comfortable . room service . price high must specific want . order coffee cream get milk . tragic , however , pay $ 15.00 coffee cream , take 1/2 hour , least give cream . hotel restaurant not good dinner , wonderful breakfast . 2 egg style fantastic deal . worth . go see Chicago Bears game end walk Soldier Field . end walk destination cabbe back dinner etc . great location see city . 
 Oct 5 2009 	 unexpected luxury 	 Hotel : 4 - night stay qualified upgrade corner room overlook Michigan Avenue Grant Park 17th floor , plus $ 50 voucher room service onsite restaurant . nice perk . service , loan friend umbrella walk around downtown . size cleanliness room excellent . carrerra marble bath unique room layout , make feel spacious . hotel classic well build ornate detail throughout . gym many new machine treadmill lot . ' ve never see many guest work 6am Blackstone . negative : wireless internet $ 13 plus dollar tax room , free lobby . barely convenient check email . the location : good walk Millennium park , Art Institute north , even Field Museum Soldier Field south . taxi ride make thing much easy , get Cubs game problem via walk near red line station . leisurely breakfast , try & quot ; Yolk & quot ; south block . variety breakfast food impressive . 
 Sep 29 2009 	 great room location friendly staff 	 Chicago long weekend love hotel . would definitely return . room spotless nicely renovate contemporary charm old hotel . staff awesome upgrade we lakeview free charge since room available . get good deal room would definitely recommend hotel . 
 Sep 29 2009 	 Excellent Staff Beautiful Rooms - Gorgeous Hotel history 	 along hoard kind folk , stay u2 show Soldier Field . can not think anything complain ! everything amazingly well do professional & amp ; courteous staff . restoration beautiful , employee proud property ( deservedly ! ) .ah , think something complain : queen bed room fantastic ! plush , top - notch bedding & amp ; linen ' ve come expect Marriott family even nicer usual . however , king bed friend 's room not great - nearly comfortable Renaissance / Marriott standard . choice , go queen room . the bathroom great - Aveda product & amp ; good lighting . tv bathroom mirror amusing , mostly gimmick . like local art wall , connection Chicago history , selection book local lore - overall attention detail make trip enjoyable . hotel completely full , room , not hear guest . unlike another reviewer , find Doormen , Concierge , desk staff friendly & amp ; helpful . Theo & amp ; Jordan could not nicer helpful ( thank Theo , direction Malnati 's - right , good ! ) . ever - change video feed roof fun watch . also , late night lobby relax place chill good music free wifi . fun hotel explore , staff not seem mind look around . my complaint trip City Chicago - sale tax little steep 10 % , $ 40+/night , hotel taxis insult visitor . traffic management bad ' ve see city size - 's nothing Blackstone . anything , Blackstone charming , comfortable oasis midst city , oasis good coffee lobby within walk distance Lou Malnati 's pizza & amp ; Garrett 's Popcorn - else need ? 
 Sep 24 2009 	 small thing keep 5 - star hotel 	 husband stay Renaissance Blackstone Fri - Sun Labor Day weekend Jazz Fest . stay hotel year reason , come . room clean comfortable location perfect . staff need work thing attentive guest . room face southeast lovely view Planetarium , Oceanarium Field Museum . room exceptionally quiet despite corner Michigan Balbo . king bed clean mattress comfortable . suede chaise room perfect stretch read watch television . mini - bar price reasonable , room come 2 spa robe . starbuck low level outdoor seating area go Sat . pleasant sit people watch enjoy coffee . breakfast Sun Mercat . quibble need increase staffing weekend morning breakfast service . number table occupy enough server . hostess double bartender . server obviously stretch prompt additional thing like hot sauce , etc . price high side , . noticed number people seat , check menu , get leave without eat . be budget , might want go starbuck oatmeal / pastry . fitness center clean 10 treadmill , 10 ellyptical free weight room . towel , fruit , water provide door require room key card prevent outsider access facility / security . Doormen prompt welcome / acknowledge guest . arrive alone ( husband arrive later ) get taxi luggage start stair Balbo anyone acknowledge I / welcome I / offer assistance . Sat evening , come hotel go dinner stand wait bellman / valet / doorman stand around chat never approach we . finally go curb hail cab doorman act surprised do . front desk staff good ; notice concierge seem overwhelmed Sun people ask assistance site - seeing , want check bag , etc . attention staffing weekend need . overall , close 5 star hotel , much cozy , accessible update tired Chicago Hilton & amp ; tower next door , enormous , impersonal much conventioneer leisure business traveler . 
 Sep 21 2009 	 awesome 	 town waukegan u2 concert room service definitely superior hotel I ve visit Peoria Washington DC area awesome ! ! ! ! ! 
 Sep 15 2009 	 totally disappointed 	 reception terrible , valet - 's service part title , bee , good addition room infant . stay almost week wife train Hilton . Marriot Rewards member , surely much eye . start treat though belong . formal welcome except Valet service . want park , big mistake . travel infant many thing , Valet tell bellboy take luggage cart . Valet would't even budge open door absence greeter . climb stair get lobby outside . even luggage come travel infant , Valet not even think tell we elevator . discover . line , front desk serve someone else well dress we first . got & quot ; room view & quot ; also come wasp . complain front desk , ask , time housekeeping staff . caulk hole guarantee . ask moved help offer move crib everything else lug . talk manager get plate stink cheese . complain get back get email information . respond . month half later yet response . stay Hilton across street . use point cut reward card . thank Blackstone ruin good relationship . the good thing stay nice housekeeping folk . management could learn alot . wheelchair bind , go somewhere else open door elevator small . 
 Sep 7 2009 	 blow away service accomodation ! 	 stay Blackstone early August go Lollapalooza Music Festival visit area college . really blow away aspect hotel ( except reservation get later ) . service hotel really topnotch staff extremely friendly helpful . room service go way accommodate we , arrive 10 p.m. require vegan choice daughter . food excellent Mercat Restaurant room service ( often try avoid ) . staff incredible job hotel completely book hectic first three day . even housekeep service friendly accommodating . appear everyone work really enjoy job interested make sure happy . room comfortable . plenty space well lay . bed extremely comfortable . bathroom spacious love walk shower ( bathtub ) . also surprised room pretty quiet . noise street could definitely hear music festival although not bother we end 10 p.m. every night . weather brutally hot - high 90 's room rest hotel always nice cool . the location good interested go museum aquarium well spend time park . restaurant within walk distance somewhat limited . one area problem reservation . request double room ( two bed ) connect king room . later send email let know request available , although realize first think confirmation . realize , call hotel back tell call two week arrival lead believe would possible . call two week tell call back day arrival . , tell call back two day arrival tell call day day . time , tell room hotel double ( think one per floor ) likelihood good one would available . addition , also room connect . end two room king connect . definitely effect trip husband share room bed one child . end , accommodation service make we glad stay . 
 Sep 7 2009 	 Word ... Spectacular ! 	 wife celebrate 22nd wedding Anniversary decide Blackstone Hotel Michigan Ave . Chicago . stay contact via email personal note regard arrival . nice touch . inform anniversary arrive room upgrade lake view room ( view spectacular beautiful September Chicago day ) bottle wine appetizer await we . truely surprise . molly sale department commend take good care we special day . the room ecclectic comfortable . blow away nice hotel redone . decorate dark rich color attention pay every detail . room spacious , king bed , comfortable . even though room lack tub , shower nice & quot ; rainshower & quot ; head world relax . room overlook lake city good part room . give choice future would definately pay extra upgrade type room ... special . bad thing say room ( 1618 ) noise little noticable city 16 floor surprise . noticied morning ambulance morning train whistle . otherwise never notice anything night . request early chcek late check problem staff could accomodate we . drink Mercat Bar fantastic . really never feel & quot ; take care & quot ; stay hotel . one person know anniversary seem though everyone know apply special touch . , Blacksone Hotel Chicago favorite & quot ; home away home & quot ; visit city . 
 Aug 27 2009 	 perfect mix eclectic modern appointment history 	 historic building absolutely beautiful . not let age put -- room update provide perfect guest stay . face Lake Michigan could look weekend firework Navy Pier . if need Chicago Hilton event , skip Hilton stay across street Blackstone . 
 Aug 27 2009 	 Finishing Touches Show True Quality 	 teenage sister stay Blackstone American Idol audition . incredibly convenient location & amp ; parking privilege allow we go back forth audition problem . across street ( short 2 minute walk ) Lake Michigan . interior hotel decor incredible ! ! ! lobby maintain historical detail build . interior room amazing . place obviously complete overhaul top bottom finish touch show whoever renovation pay close attention detail use high - end finish . everything hotel room well could ask amazingly fluffy bed pillow fully stock mini fridge , flat screen tv , huge desk bathroom . bathroom impeccable marble floor counter top . never hear anything wall either . place build completely solid . staff also incredibly helpful . great experience would stay day week . 
 Aug 21 2009 	 wonderful ! 	 stay Blackstone 3 night August . overall , pleased accomodation . room quite spacious , bed comfortable staff member helpful . pick hotel recently renovate wonderful job . 's big hotel either think great kid . breakfast Mercat morning enjoyable fairly price . there 1 thing like . day leave ( August 7th ) begin La La Palooza . prior make reservation , phone hotel ask whether could accomodate late check - out 7th . tell not problem . day check ( August 4th ) , tell thing although tell let know morning 7th . . response get , & quot ; ' m sorry La La Palooza & quot ; take place weekend , unable accomodate reuqest . & quot ; well , be like festival come surprise . would appreciate tell prior confirm reservation . annual event sell room , could honest get - go tell . location Blackstone place right center festival - could pick hotel north Grant Park avoid . actually annoyed day . otherwise , look comfortable , clean upscale place stay , Blackstone would . 
 Aug 20 2009 	 Best Chicago 	 travel work ( sometimes leisure ) often . try stay new place time find favorite hotel city . say ' ve stay number Chicago hotel & amp ; definitely say Blackstone hand , favorite . be like place : * conveniently locate * staff friendly * starbuck connect hotel * room well design comfortable ( bed ) * also conveniently set business , internet * importantly hotel pleasant uplifting energy ( believe sort thing ) . feel happy stay . good , comfortable atmosphere 's stylish . con : * pay wifiI would definitely recommend . 
 Aug 14 2009 	 Fantastic 	 great hotel , great staff , great location . great fitness center . buy 3 day transit pass . well worth . get everywhere subway bus hotel . 
 Aug 14 2009 	 love 	 say one well hotel stay awile . start think custoner service proper cleaning thing past Blackstone meet expectation . reserve King size room problem like previous poster bed size . room nice . nice decoration , white duvet cover - not comforter skeeve . bathroom roomy - although tub like tub place . light also nice room , almost light dimmer . also several mirror someone bathroom could alternate place get ready . also like roman shade block light night . nice soap etc . we know Lollapalooza go go see lobby fill teenager parent bit worried would hear noise night long not . workout room great . large-3 room every weight machine mid - size gym would , plus free weight . also several nice new treadmill , ellipticle , couple bike . tv 's attatche nice . my one recommendation would want pop water do not get little gift shop hotel cost $ 3 . go CVS around corner . we would stay . 
 Aug 10 2009 	 avoid Blackstone 1 king/2 Queens ` ` bait 	 wife kid disappointing experience Blackstone past weekend . book two room two night Blackstone 6 month ago Lollapalooza year , turn poor choice . try book room Blackstone 's website , would let book room describe & quot ; 1 King 2 Queen . & quot ; wife travel four teenager , call Blackstone 's reservation number make reservation instead on - line could confirm would able get 2 room 2 bed room . give book room early , assure person take reservation would not problem . however , get hotel , told & quot ; double queen & quot ; bed room available . obviously , would not book Blackstone hotel know would case , not alone experience . couple check next we tell thing problem . Blackstone clearly know many King bedroom double Queen bedroom take reservation . & quot ; 1 king 2 Queen bed & quot ; option simply & quot ; bait switch & quot ; scam Blackstone . not fool like . make matter bad , time check , take 3 call 6 hour hotel bring 2 roll - away bed . cap less - than - stellar Blackstone experience , urine still toilet one room check Friday . not ruin experience , certainly not pleasant . the Blackstone nicely decorate hotel , room comfortable . stand point room , fine . however , point , can not imagine recommend Blackstone anyone stay Chicago . want experience downtown Chicago , stay Affinia . wife stay several time , excellent . be come Lollapalooza next year , would suggest stay Hilton perhaps even Travelodge . close Grant Park , make reservation , know be get . 
 Aug 5 2009 	 's detail 	 stay Blackstone Memorial Day weekend really perfect stay . beautiful property great location . bathroom gorgeous bed super comfy . room compact everything would need , though mini - fridge . big con exhorbitant parking rate , s'pose 's expect expensive city visit . however , would suggest check one numerous lot / garage vicinity . hotel charge $ 47 per night valet . rate also similar garage rate across street Hilton , believe Blackstone valet park guest vehicle . sure in - and - out privilege include , find nice , new - ish , secure garage corner 8th State . block away hotel . 's build Lou Malnatti 's restaurant entry 8th Street , Wabash State . overnight rate $ 17 - 20 . can not recall name garage , digital sign affix outside building entry say 24 hour parking . two three open - air street - level parking lot , garage work really well stay . hope little parking tutorial help . 
 Jul 19 2009 	 superb every way ! 	 blackstone one good hotel ever stay , period , end story . extremely comfortable feather bed , excellent customer service , turn service chocolate , detail overlook Blackstone . staff friendly helpful ; hotel clean hotel ever stay . fitness center also excellent ; tall window panoramic view far Lake Michigan fresh fruit available end workout . compliment could go , simply put , stay Blackstone disappointed ! 
 Jul 5 2009 	 exceptional service . excellent Property . fabulous view lake park 	 Hotel staff go thi way take care room matter request . Maids excellent . houskeepe well organized . check fast . sodasavailable lobby purchase . Valet Parking expensive , much cheaperlot around hotel . I usually see lot thing need fix improve . see one thing need fix improve . I would recommend hotel everyone . note : pool , excercise room . 
 Jul 2 2009 	 Loved ! 	 stay Blackstone two night attend conference mammoth Hilton next door . blackstone lovely hotel - much nice place stay impersonal , rather tired Hilton . welcoming , helpful staff really set Blackstone apart . bell staff rush help bag hail taxi , housekeeping staff keep room spic span , first - rate job . be definitely worth reserve lakeview room ; mine 18th room , view spectacular - Lake Michigan sailboat , Grant Park , view city Navy Pier north way Museum Campus Soldier Field south . room decor funky modern ; bed supremely comfortable ; everything work well , include flat - screen hdtv lot channel . bathroom spic span ; lot fluffy towel provide , well bathrobe . bathtub , excellent , spacious shower . reviewer point , frosted - glass slide bathroom door problem share room want privacy . stay , not issue . the slight drawback hotel 's excellent tapas restaurant , Mercat la Planxa , close renovation stay - would love try . fun right across street Taste Chicago event . I feel comfortable pamper hard leave room attend conference . would love stay next visit ! 
 Jul 2 2009 	 great hotel ! 	 Chicago business three day really enjoy stay Blackstone . everything customer service relate : check - in smooth efficient , question answer promptly , give late check - out 1 p.m . busy time city ( Taste Chiacgo right across street ) , hotel calm quiet . nenver hear noise guest , something really bug many hotel . restaurant close 10 day re - tiling , great food available room service . drink night closing ambience nice although bit noisy . room little view lake comfortablle chair . great lighting reading bed , comfortable bed . Aveda shampoo etc , favorite brand . really can not say enough great stay , reasonable summer . 
 Jul 1 2009 	 Excellent Choice ! 	 stay excellent . upon enter , someone immediately ask assist luggage another graciously park car . hotel staff extremely nice helpful . room bit small side , elegant . downfall bathroom door . even closed , still see inside . group visitor want use bathroom inside room door , know woman ' bathroom locate 6th floor ( sure one man ) . also across street Grant Park one black away trolley tour make stop ( Hilton ) . 
 Jun 29 2009 	 absolutely good Hotel Chicago Nicest Staff 	 Chicago teenager check Columbia College . Blackstone look like close hotel notice recently renovate . beautiful ! room large , bed comfy staff happy help anything ask . room service cut 10 though ... order early take walk nearby restaurant . location superb . be right across Grant Park 10 minute ( slow walker ) walk Millenium Park . 
 Jun 17 2009 	 great area town nice historic hotel 	 pull we like flys picnic , one help luggage , parking truck . stay two night , pay $ 125 priceline , think good price . ask several time stay local information staff friendly know exactly need go base description look . within walking distance several great Chicago landmark . upon check , ask city view , graciously grant ! great property . Room recently update , big room , plenty room wife . not eat hotel , restaurant pack time . classy place . 
 Jun 16 2009 	 beautiful hotel ok location personable unknowledgable staff . 	 daughter go 3 day weekend wedding . arrive Friday afternoon . feel welcome moment arrive . greet friendly doorman open cab door we take luggage inside . check , go room 7th floor . snack drink provide extra charge , use . notice coffee tea find strange sweetner creamer provide . love actual room . nice big bed , great desk chair , honestly say bathroom design / layout lousy . remind MGM Grand Las Vegas . must architect . absolutely privacy bathroom . everything one room . bathroom door slide opening , not shut . therefore , anybody sit bedroom area hear everything go bathroom . might well leave door open . purpose . odd . shower nice big , , door ok except water get everywhere floor . think toilet always separate rest bathroom . never 2 people get ready time . would embarasse guest visit room someone use bathroom . would hear . poor design , Blackstone . daughter would joke whoever need use bathroom , would wait bed turn tv make distraction noise ! ! ! happily surprised Blues Fest come across Grant Park across street . location fine , noisy sure . staff friendly well informed direction restaurant . ask go famous Chicago pizza give direction never find place . happen 3 different time . ask italian Beef sandwich nobody clue get ( Chicago famous ) last day walk around , restaurant within one block hotel . would think would know . tell we take bus $ 2.25 / each person inform we $ 5.75 could purchase day pass ride want . learn last day well waste money inform . 's college area safe fun . next time , would stay place else close shop would make sure bathroom bit private . thing , guess ! 
 Jun 15 2009 	 Nice hotel 	 hotel really nice . room decorate really nicely . bed comfortable . nice toiletry . location great . easy walk restaurant museum area . staff friendly . room service price otherwise really like hotel . 
 Jun 15 2009 	 nice little lacking 	 charming property interesting juxtaposition modern decorate historic foundation . delighted hear little hotel history Gray Line bus tour city . book hotel $ 115 Priceline -- surely good deal -- disappointed get short shrift service . first time felt get second - citizen treatment deal Priceline reservation . call four time course two week , six week advance trip , request room two bed ; fourth call someone actually put request system . upon early check - in , however , give king room promise rollaway . come return room 11:30 pm , rollaway add room . upon visit front desk , tell rollaway would fit room fire code , rollaways leave , room available . finally , give use & quot ; parlor room & quot ; -- essentially meet room another floor fold - out couch . happy accomodation break promise overall disappointed could get two - bed room begin . hotel clean room comfortable . maid service fair , despite good tipping ; half - empty toiletry replenish first night . checkout room give someone else 's mini - bar charge , error correct phone call . overall , hotel great character could use little improvement personnel front . 
 Jun 15 2009 	 kidding ? 	 arrive hotel 11:30pm , front desk staff inform we room long available ( confirm reservation early day make & amp ; pay reservation 3 month ago ) . customer service much standard hotel affiliate Marriott follow value & quot ; whatever take take Care Customer & quot ; tell Blackstone would accommodate we another hotel , however hotel would near ' Hare airport . live 45 mile south Chicago would make sense . night ruin account Blackstone Hotel . planning spending weekend Chicago could long happen . manager say would reimburse room give money cab ride home . staff seem bit apologetic mistake . angry , could not believe security guard came say would escort do not calm ! ! do not every right angry ! ? UNBELIEVABLE ! 
 Jun 7 2009 	 re - bear yet mature ! 	 good bit first - friendly check - in staff , modern room boutique hotel feel , superbly comfortable bed , shower ( bath ) , small room ( even though apparently slightly large one ) . honest , take face value hotel fine - problem occur scratch surface . be apparently 4 star hotel ( sadly girl reception not know ) . request pay lake - view room sure enough room face lake - room re - design tv put bang slap middle window - completely obscure wonderful view - even staff bemuse , neither desk TV could moved - firmly screw . apparently room tv 's wall - well never ! none thing would expect find 4 star hotel - one offer help bag ( save tip guess ) , write paper sewing kit , cheap toiletry ( thankfully ) . believe Marriott - certainly feel like fairly typical US Marriott albeit wear nice frock . small rather dingy bar smell rather damp Tapas bar award win chef sadly not seem appetising ( fortunately Chicago awash great eatery ) .so view admire decide indulge cup coffee bar - oh could not : bar , even lobby even though 5 pm Saturday . on - sight Starbucks - allegedly open till 8 pm close 5 pm ( staff know not change room info ) . tell could coffee via room service Hilton opposite - know - be plan trip Chicago suggest 's go - could get well rate Hilton - go back Chicago 's truly amazing city , Blackstone simply many well hotel less dosh . 
 May 27 2009 	 great hotel ... 	 stay Blackstone Memorial Day weekend . pay $ 99 night Travelzoo promotion . without doubt , one great bargain Chicago . hotel 5 star , maid service 1 star . spite generous tip morning , sign maid room make bed clean towel . everything else basically . even call re - clean one night dinner thing notice radio play soothe music chocolate bed . floor still vacuum . pay nearly $ 180 night , like friend , would disappoint experience , $ 99 even marginal cleaning , blackstone great deal . 
 may 26 2009 	 Pleasant Annversary 	 book room $ 99 expedia.com . think far good deal ever get hotel . nice elegant hotel great decor . stay night city anniversary pleasant evening . long , require service hotel , something comment much . hotel good location next Grant Park , take nice evening stroll hear part jazz concert . excellent tapas restaurant . 2 thing people may want know advance floor 10 room 4 room face lake / park . thing bathroom basically open rest room . frosted glass door slide shut partially obscure view . fine spouse alone , may want share child . shower door bathroom , turn heat take shower . I would greatly recommend hotel , would advise know get . 
 May 18 2009 	 Beautiful Classic Historic Perfect ! 	 wife stay nice weekend first part May . book Marriott.com save nearly $ 50 pay advance . hotel excellent location , four block away Orange Red line station . room look Michigan Avenue terrific view Buckingham Fountain Lake Michigan . Buddy Guy 's legend quick 5 minute walk easy walk sight Sears Tower , musuem , Soldier Field sight . there three ' negative ' think . bathroom door slider not provide ideal amount privacy .... big deal see people would bothered . parking issue . downtown Chicago , parking expensive $ 47 / day parking privilege . get lucky however find parking open lot one block west hotel . $ 13 / day unsecured lot . rental car concern inclement weather high end vehicle , may want consider parking site . hotel free ' business center ' great two computer stay , printer work . 
 May 17 2009 	 absolutely first rate 	 hotel classy , luxurious modern chic one . love . room fairly spacious bathroom quite large ( although really & quot ; private & quot ; ) . shower totally open bathroom door mini - blind . amenity nice , top . ' bit farth action River North Magnificent Mile would prefer , close convention McCormick Place . term hotel Chicago , one good . I host morning breakfast hotel early morning bit crisis night . staff stay late ( almost 11:30pm ) accomodate last minute change meeting plan . More time Chicago : http : //justanothertravelblog.blogspot.com/2009/05 / chicago - illinois.html 
 May 14 2009 	 Great Physical Plant Staff need help 	 love Renaissance hotel , serious service issue Blackstone . part letter send describe problem encounter . although flight delay San Francisco , phone Blackstone tarmac @ SFO advise front desk would arrive date reserve , without early check - in previously arrange month ago . they say would fine . plane touch @ O'Hare , call Blackstone put hold . call pick , call taxi en route Blackstone tell room sell room kind available hotel . request assisted seek room comparable hotel tell front desk manager possible . our reservation make ( mention ) month early comfirme prior departure San Francisco , instruct front desk manager proceed downtown Marriott ( hotel class Renaissance ) , room would wait we ... arrive Marriott , never hear we not friendly . finally , much ado , give we room . tell Blackstone room would ready we Blackstone next morning .... not . marriott staff come door tell we exceed check - out time , take taxi Blackstone ( never reimburse Blackstone ) . hold lugggage , go kill time , ...... return , room finally available . tell give upgrade . ( not think upgrade , room bath tub look like picture one reserve month ago ) . call see bath tub , tell room lake view two bed ( bathtub ) , exist entire hotel ..... 's 300 + room hotel . there problem get room clean timely manner , one point , find carry room service tray ( find room service slow ) try straighten room husband get back business meeting late afternoon .... something never previously , regardless hotel class . we demand people , opinion , rather badly patronizingly handle hotel staff . little fearful issue like might occur see tripadvisor someone else find parking Hilton without much help Blackstone staff shortly grand opening follow renovation . we stay Renaissance Chancery Court London always flawless stay , select Blackston business Chicago . 
 May 8 2009 	 posh - little noisy . 	 average hotel . probably good hotel ' ve ever stay . would definitely recommend anyone want stay downtown Chicago . fitness center new good equipment : tv screen ipod port every treadmill / elliptical . 
