Fantastic 	 stay hotel Nov. 24 - 26 room # 8 . fantastic location hotel , room spotless really impressed wife cleanliness washroom . room quite small north american standard sleep . special thank guy front desk , make stay enjoyable . back ... 
 Nov 8 2009 	 decent value good location drawback 	 's Victoria Pimlico tube station , easy walk distance Tate Britain . get warm welcome smart reception however not lift fourth floor therefore attractive option , stair seem pretty heavy going ' ve sightseeing day ! room clean small 4 foot 6 inch double bed not particularly comfy , however good shower . Breakfast finish 8.30 , major drawback we ! 
 Nov 7 2009 	 Loved London love Luna Simone 	 truly hidden gem , go back London June definately stay . room small perfect . the power shower get super special mention . two room first floor adjoining balcony overlook main street . tube short walk away road catch central bus taxi . wicked road ! first breakfast menu may appear limited , 's . different cereal available , cornflake , banana , yogurt , extra anything , ask . can not wait June . 
 Nov 6 2009 	 clean comfortable well locate 	 clean comfortable . hot shower , great service excellent location . stay 2 year ago think same . double room small , London standard . good hot breakfast helpful staff . 
 Nov 5 2009 	 pretty good spectacular 	 ' m sure understand rave review . be nice little hotel room absolutely minuscule wall paper thin . next door neighbor keep yell we keep ordinary conversation room . internet work low level hotel sit reception area use it . the breakfast pretty bad opinion . 's sort traditional british breakfast bacon , egg , bean toast either corn flake orange juice . ' ve much well hotel London . the people friendly helpful certainly make hotel way special . 
 Oct 28 2009 	 Great Location friendly staff 	 stay three night late October . nieghborhood really nice 24 bus literally stop outside . Pimlico Victoria Station within easy walk distance . also , be fly Heathrow four minute long take tube take express train . express train 16.5 pound believe , tube ride 4 pound . good place eat around well bunch nice little pub . breakfast provide good service friendly . room small expect UK . price place can not beat . would definately recommend . 
 Oct 28 2009 	 stay 	 stay may hotel time , far one good . clean , good repair friendly staff . good breakfast provide . would recommend hotel other would certainly use hotel . 
 Oct 26 2009 	 Top Quality London Hotel Reasonable Price 	 book hotel base review . not want skeptical , find hard believe place could good . two word . . . . less minute know people rave place . staff incredible ! everyone ! room spotless quite large european standard . stay room 4 basement next breakfast area . plenty room two us teenage boy . hotel 10 minute walk Victoria Station bus 24 right front take right station many attraction area . upon arrival Victoria Station take cab hotel London luggage , 24 bus stop right side hotel , mean doorstep . actually easy we take bus everywhere rather tube . shock easy . still get day pass Victoria station use both . the breakfast like nothing include hotel price point . sit - down breakfast menu . egg cook order . could not believe . great start day . stop search great hotel reasonable price right . Book . will not sorry . 
 oct 22 2009 	 Great London Deal class ! 	 begin trip UK Luna & amp ; Simone . say quality service small hotel offer ? begin location . 5 minute walk Victoria Station 2 minute ( less ) bus ride ( # 24 take many tourist must location i.e Westminster , Trafalgar , Leicester , etc ) . arrive young man desk make ; point learn name refer name throughout visit . helpful everything tourist tip make sure plug converter work properly . realize & quot ; roomate & quot ; 77 year old mother , move we two floor make easy us access ojur room . down - side think small room one spend lot time Europe give ! breakfast location include full English , soft boil egg ( oh Americans miss delicacy ! ) yoghurt , banana ( reuested ) white brown toast . highly recommend Luna & amp ; simone unquestionable cleanliness , efficent friendly service , location . 
 oct 22 2009 	 excellent value price 	 room small side expect . bathroom functional clean , great shower . hotel well locate , 10 minute walk Victoria Station . elevator - count 69 step get room 3rd floor ! Breakfast serve 7:00 8:30 - early ! little room computer access internet - much appreciate . friendly staff . nice neighbourhood . , excellent value price . 
 Oct 18 2009 	 Queen budget 	 yes , budget hotel , 's queen budget hotel . base explore London ideal . reasonably mobile person walk London tourist spot . otherwise , 24 bus stop outside hotel door go heart West end . the room small , comfortable , well equip spotlessly clean . breakfast adequate size prepared perfection . wear sunglass blind sparkle tableware . staff friendly helpful . find anything negative write place . book absolute confidence . 
 Oct 16 2009 	 great staff great location 	 stay Luna & amp ; Simone Hotel 3 night whilst short trip London base recommendation Tripadvisor . confirm hotel wonderful , safe secure . perfect location , 10 minute walk luggage Victoria Station road Victoria Bus station . room small , expect comfortable clean small bathroom powerful hot shower . full english breakfast wonderful way start day hotel small computer room guest use . good thing though staff , helpful courteous really go way make feel welcome - big thank Peter carry suitcase top floor room . would recommend hotel highly .... hidden gem . 
 Oct 14 2009 	 great little hotel Westminster 	 Excellent room , great location , solid breakfast , wonderful staff ! ! 
 Oct 13 2009 	 Great Value Hotel London 	 simple hotel locate nice area London -- near Victoria Station . hotel decorate simply , overall happy service provide . one thing think mention lift ! put 5th floor ( top floor ) hotel , drag suitcase way top ! mention reviewer ( well , remember ) , want make sure mention review . able carry heavy suitcase multiple flight stair -- want request ahead time low floor . think family run hotel cordial well . 
 Oct 12 2009 	 spark clean 	 clean accomodation ' ve ever stay ! stay 4 night . location : 15 min walk Victoria Station , bit long drag heavy suitcase . see couple bus stop nearby not take bus . Staff ok , family run . room : get room 2nd high level ( can not remember many floor ) mean lot stair ! young healthy , first arrive lug heavy suitcase stair almost finish we . lift , however small , would very - very nice . full day sightseeing walk Victoria Station ( without suitcase ) , still find stair challenge . next time will ask room one level ( room near breakfast room even street level would noisy ) . high room face inside ( street ) , room quiet . room bathroom wonderfully clean , spacious , well ventilate light , comfortable . breakfast okay . early , think finish around 8AM ? establishment good value , clean , comfortable good location . 
 Oct 12 2009 	 like Staying Someones Guest Room 	 book hotel line morning book , get call owner . put wrong email want confirm confirmation . arrive hotel Heathrow via tube complicate . room small , quite clean . warm miss a / c fan room sufficient . room 8 flight stair fairness , owner warm book . hear street noise ever . enough variety breakfast menu day stay , may get bit monotonous . wi - Fi inconsistent honestly , quite madening ! upon leave , owner son ( Mark think ) helpful get right tube station . I must admit , bit underwhelme first , day go ( three night stay ) , come really like hotel , coziness , location . 
 Oct 11 2009 	 friendly family hotel 	 friendly comfortable place stay , locate close Victoria Station Bus service number 24 outside hotel . room clean , small 2 single bed much room anything else , enough week stay London . great breakfast serve downstair service unbelievable . highly recommend hotel . 
 oct 9 2009 	 tradition continues 	 read every tripadvisor review hotel prior booking , live expectation . rather reiterate thing write , shall make observation . the twin , Peter & amp ; Bernard , work breakfast run front desk morning part afternoon , Bernard 's son Mark come afternoon shift . Mark nice young man become father past year , proud carry family business , third generation . mind , hotel refurbish nice bathroom feature , flat screen tv , extra soundproofing . refurbish room , Luna side hotel , modern look . January 2010 , Simone side undergo similar work , hotel even nice . although room small , high ceiling ( ceiling fan refurbish unit instead wall hung one ) compensate size . there write up occasional long wait breakfast . due breakfast room capacity 40 , hotel full occupancy 80 . gust decide get 8 breakfast , naturally accomodate many people arrive time . service swift , one go breakfast 7:45am , one get within 30 minute . Luna & amp ; Simone favourite London hotel . 
 Oct 8 2009 	 great hotel great price 	 really enjoy stay hotel . 's fancy , 's GREAT deal , close variety attraction short walk major Tube / rail station . Breakfast ( include ) good , staff friendly helpful . would happily stay ! room clean well light , lack air conditioning problem . 
 oct 1 2009 	 Perfect Affordable Accommodation 	 finally get around posting review . love hotel . solo , female , middlage traveler , ask forum , suggestion clean budgetminded safe place stay . want something central near transit system . Luna & amp ; Simone . admit upon arrival , bit daunt 8 flight stair room . ( travel 24hrs overnight flight , tired , ... also entirely much luggage ... lol ) owner cheerfully take bag room , day three , jog stair problem . room small , functional , imaculate ... , clean ! mind small room . much time spend room anyway ? ? ( explore city ) shower sleep , find quite cozy . shower wonderful ( keep clean ) lot hot water good water pressure . there small television phone room along fan . also internet available charge . feel safe area . bus stop front door . Victoria station short walk away ( 10 minute ) . walk Buckingham Palace , use bus problem . see sight easily hotel . owner friendly helpful . book excursion Paris arrange taxi airport head home . breakfast include price room couple day , enough bacon egg toast , offer cereal yogourt . kitchen breakfast area spotless , staff always cheerful . I would certainly stay would recommend Luna Simone Hotel friend family , great alternative high price nearly clean hotel London . 
 Sep 18 2009 	 Excellent Staff 	 travel London second week September stay Hotel Luna Simone . actually recommend friend mine via Rick Steve book London , saw also rate highly . lovely place stay , staff bend backwards service . two separate occasion print something instead go internet cafe , staff invite behind desk use personal computer printer ! breakfast include service excellent , especially one staffer rather cute . place not elevator , really 's downside could think place . , room not Holiday Inn room , comfortable always clean . give single computer bottom floor personal use . would definitely come ! convenient Victoria Station . 
 Sep 14 2009 	 around Excellent 	 spend 8 night Luna Simone . location perfect we bus service right outside door Victoria Station block away . several block small shop , cafe , grocery restaurant within mintue walk . brother one son hotel always helpful willing answer question . include breakfast skip lunch everyday save expense . room clean . new carpet new bathroom ... think bath remodel . keep mind London room small . 
 Sep 11 2009 	 great stay great value ! 	 family thoroughly enjoy stay clean , family run hotel . second time know previous stay clean comfortable would , disappointed . conveniently locate 10min walk Victoria Station 15mins walk Buckingham Palace also good bus line run outside hotel ' front door . pleasant street fill hotel . cooked breakfast morning good , however , run tight schedule , sleep ! one highlight stay meeting brother operate hotel . friendly helpful enjoyed chatting . would recommend stay everyone ! 
 Sep 1 2009 	 Excellent Stay 	 Luna Simone absolutely perfect trip London . location good quality . bus service big sight pick drop right front . also , within reasonable walking distance Victoria Station . the staff extremely kind helpful . although small , room always clean comfortable . climb stair problem make sure get low floor . amount flight sometimes become burdensome . exhausted breakfast choice within first day , good staff always accommodate . I would definitely recommend hotel someone want cozy hub enjoy London , ' care much luxury . 
 Aug 23 2009 	 excellent b 	 holiday London 11 family member . family 4 , include 2 child ( age 4 & amp ; 6 ) stay 1st floor quad . allow room early , flight arrive early morning . host kind answer question politely . bus strop right outside door . tube station 5 - 10 minute walk . great base tour London ! nice English breakfast daily . 
 Aug 23 2009 	 real cosy place XTRA friendly staff . 	 ' ve book Luna wife & amp ; advice Tripadvisor . stay August 15 - 22 , 2009 luckily prove 100 % good review place ! situated right - Victoria Station 10 minute ' walk - manage extremely lovely people ( one family , suppose ) . nothing else look would like real cosy small hotel good value money . Vitalii OsadchyiUkraine 
 Aug 23 2009 	 good bargain friendly hotel 	 hotel give good review tripadvisor decide stay 4 day trip london regret . stay lovely drama . staff nice friendly , check quick , staff nice ensure recieve email relative send hotel . we book early get early bird rate pay 100 euro night , good bargain . breakfast nice service great ! room spacious clean , although stylish hotel ' ve stay price , still good , tv ( english yay ! ) , thing get room 12 floor 4 ( memory ) elevator , lug 4 flight stair every time , good exercise quite tedious ! quite way centre London , 10 min walk Victoria station , great transport hub take anywhere London , not mind walk . bus 24 go right outside hotel , centre , not catch , not ticket get every day . see quite often though . free interent bargain well ! overall , great hotel , clean , friendly staff , good breakfast , homely feel . would come back definately , great base fantastic london trip . cheap ! 
 Aug 21 2009 	 real Gem London ! 	 stay Luna Simone Hotel July enjoy stay tremendously . hotel locate within walking distance Victoria Station bus stop right front hotel- want ! hotel split two sections- friend stay one section section . breakfast room downstairs full english breakfast serve every morning . the room en suite bathroom clean tidy . size room average sufficient sightseeing sleep ! room clean every day fresh towel . we encounter noise problem guest outside traffic . the owner lovely friendly bantering every morning staff helpful . recommend establishment wholeheartedly ! lovely pub close lovely Indian Restaurant near Victoria Station ( station side road ) . disappointed ! 
 Aug 21 2009 	 bargain price hotel superbly convenient location 	 spend 4 night Luna Simone Hotel , Simone side . room - room excellent size two people , shower room modern clean . front building overlook busy road heatwave , quandry - cool noisy window open , quiet hot window close . fan room , however . cleanliness : scuff mark wall however , picky . service - excellent ! cooked breakfast provide courteous , friendly staff . ' m glad owner wear different shirt tell apart . staff also helpful advice bus etc . location : transport link many tourist attraction near by . overall pleasant stay return , ' m sure . 
 Aug 16 2009 	 Great Value 	 stay Luna Simone find great value good location . near Victoria Stn . 95 GBP / night . family own business helpful assist us direction tourist attraction . hotel free internet access lobby . good breakfast include also . clean . 
 Aug 13 2009 	 courteous staff spartan hotel good location 	 impression fiance hotel quite mixed . side , staff extremely courteous helpful , room clean , tidy well - equip hotel 's rating . however , side , room definitely small side breakfast menu bit spartan . however , be plan spend wake hour outside hotel , pose problem 's location near Victoria train / bus / coach / subway station make good vantage point sightseeing travel even outside London . 15 minute walk Buckingham palace St. James 's Park , half hour Parliament , Big Ben Westminster Abbey . 
 Aug 12 2009 	 good value - for - money hotel London 	 telephone reservation final checking , experience friendly , competent service . room three people good size plenty storage space . bathroom modern clean , rest hotel . breakfast beautifully cook special request deliver without question . location hotel , near Victoria bus stop outside front door ideal walk around area evening , feel safe . & quot ; Chimes & quot ; restaurant around corner cosily decorate serve delicious english food . 
 Aug 6 2009 	 would definitely stay 	 book place husband result TripAdvisor review disappoint . actually love location . since walker , walk around area , pile restaurant bar reasonably price really good food . also close pretty major hub transportation around London . room small , 's expensive place quite adequate we . figure basically day , want place clean , fairly quiet , decent bed , friendly / helpful staff good breakfast start we , place . pleased would stay . 
 Aug 3 2009 	 Little bit Special 	 hotel surround face similar establishment none compare Luna Simone . difference , think , run people care . wife stay two night nice front room balcony apart fact touch snug side , we move time fine . shower room fine new equipment fitting . flat screen tv teamake facility . not trouble noise outside , although could hear window open . could tell nextdoor tv much . People tend tv loudly hotel anyway realise tv stuck wall sound travel back . breakfast cook order bacon , egg ( fry scramble ) bean combination plus orange juice , tea coffee toast , could also porridge . simple enough nicely cook . two brother serve twin cause lot double take . also wife one gentleman son one reception . nice family helpful obliging must , thing make difference . the position hotel convenient much . 24 bus stop directly outside like senior citizen bus pass go anywhere free . want use tube train , senior railcard buy day ticket greatly reduce rate . pimlico station less crowd Victoria likely rush buying ticket . there plenty pub restaurant within easy walk distance money Bumbles probably one good . Buckigham Palce Road , run line good Michelin star restaurant except menus £ 10 , £ 20 £ 30 . front house staff quite polished chef team good indeed . we certainly use Luna Simone , whenever London . 
 Aug 2 2009 	 willing walk great deal London 	 nice little hotel 5 - to-10 - minute walk Victoria Station 15 - minute walk Thames Tate Modern . good deal expensive city . book early good deal ; wait one extra day unable get single room book double additional £ 20 -- still one good deal find London . recommend nearby restaurant -- would well walk touristy neighborhood find grocery store . staff friendly helpful . room decent size , immaculate , fine . decent breakfast prepare get scold sleep ! 
 Jul 30 2009 	 good location 	 Luna Simone provide we clean , friendly , quiet place stay one night stopover head Scotland . situate 8 block Victoria Station 3 block Pimlico . room small , clean . breakfst provide we hearty meal need head catch train etc . free internet access . additionally , eat delicious & quot ; Grumbles & quot ; around corner hotel highly recommend lunch dinner . 
 Jul 26 2009 	 good value London 	 stay one night June choose hotel base TA review . 10 - 15 minute walk back entrance Victoria Station airport train leave handy . front room small expect London . Saturday night reveller street perhaps rear room would well choice other suggest . breakfast cook order along line egg toast . plenty hotel along stretch road ' m sure property stack compare . least complaint LS probably good thing hear London ! 
 Jul 26 2009 	 Perfect Home Base Seeing London 	 Luna & amp ; simone great home base see London . # 24 Bus take way Trafalgar Sq , Westminster Abbey , Big Ben , Victoria Station , etc ... literally right front door . Tube 7 minute walk . plenty restaurant , shop , service nearby . room ( triple ) roomy super clean comfy . staff , everyone , nice helpful always smile . breakfast top notch relief pocketbook super expensive city . return Luna & amp ; Simone Hotel . 
 Jul 25 2009 	 pleased choose stay 	 hotel create high expectation read review post , disappoint . owner friendly helpful , cheerful attentive guest . fact , arrive early 930am flight Singapore prepare leave bag explore lunch . however , check - in say could get room key 11 am . room single , rather tiny , clean comfortable en - suite . describe website . even steep stairs surprise reading review Trip Advisor - maybe bit inconvenient top floor , nothing bad . room clean every day nice . breakfast offer excellent way start day , 7 am 830am . wi - fi available ground level breakfast room , good , work ok . find room quiet , traffic noise . one good part hotel location 10 min walk Victoria Station ( Tube ) train Gatwick , plus , number 24 bus run right Belgrave Road , stop front hotel . bus route operate 24/7 , great get back late tube stop run . overall , good value money , worth 70 pound per night . 
 Jul 23 2009 	 great place wonderful staff stay enjoyable ! ! ! 	 arrive hotel 18 day European Tour , tired need place call home week set another 20 day tour . after receive warm welcome arrival , check breeze , staff accommodating find recently refurbish room ( bathroom ) compact adequate 2 woman travel together . the breakfast serve daily beautifully cook present friendly staff morning . area scrupulously clean . staff respond request offer information enquiry help make stay London enjoyable experience . certainly use venue return London ; also find close proximity Victoria Train Station , ( 5 minute walk away ) regular bus service bus stop door great benefit . there wide range shop , restaurant service within short stroll hotel . would hesitate recommend Luna Simone Hotel traveler look value money , comfort hospitality . 
 Jul 18 2009 	 Excellent hotel great location moderately price 	 11 family stay hotel 4 night 5 room fantastic stay . hotel clean , room small comfy facility need . breakfast freshly cook ( toast arrive hot ! ) hotel approx 10 min walk Victoria station 5 min Pimlico tube station great location get around London . staff friendly willing help . 
 Jul 14 2009 	 London 's lovely Luna 	 return nice stay Luna Simone . ' ve stay plenty moderate ( London term ! ) hotel London year , say , l special touch . Desiri brother wonderfully attentive , although hot spell , room , toward back hotel , cool comfortable . bathroom beautiful , particularly small London room , place immaculate . especially appreciate nice staff 6 - year - old daughter -- ask breakfast choice etc . 
 Jul 13 2009 	 Noisy nice 	 ' ve return London spend one night hotel . hotel reviewer say surely expect cleanliness , staff friendly etc decent breakfast reasonable surrounding ? ? , unfortunately , room front onto main street . noise night disturb sleep reveller shout 2 am expect . window open fresh air muggy night : be air con bedroom fan . , enjoy stay would certainly advise ask room rear hotel . 
 Jul 11 2009 	 excellent value 	 room clean , staff friendly , breakfast nice . much say try youreself . excellent value money.wonderful location- close city centre yet peaceful area . 
 Jun 30 2009 	 Good Location friendly staff inexpensive small room . 	 stay Luna Simone 2 night . hotel 8 block Victoria Station 5 block Pimlico Tube station . many good pub area ok restaurant . city bus stop directly front hotel . use computer free Wifi room computer . need code desk . complaint everyone helpful . breakfast choice acceptable get start . would recommend place price right . lift need climb stair unless arrange main floor room . 
 Jun 30 2009 	 Comfy bed friendly staff 	 ' ve stay hotel price - bed always lumpy squeaky - Luna & amp ; Simone , really comfy bed , really clean , fan bedroom , Lovely Shower room , Helpful Staff , Airy & amp ; roomy Dining room , good Breakfast . really pleasant Surprise & amp ; handy Victoria & amp ; Pimlico . 
 Jun 26 2009 	 London Gem ! 	 Seven we recently stay Luna Simone 5 night great accommodation choice make ! Luna Simone run wonderful friendly family offer excellent hospitality . the office staff welcome enormously helpful regard query . location central Victoria Bus station Victoria / Pimlico Tubes . bus stop immediately outside premise offer alternative mean transport although choose walk place ! room adequate , clean comfortable . breakfast offer great start day activity . the free internet service fantastic ! great value particularly location ! thank staff highly recommend Luna Simone other seek accommodation London . 
 Jun 25 2009 	 place winner . ! ! 	 stay wonderful review . thought would never find hotel London not rubbish . great location within walk distance Victoria Station receive clear instruction book confirmation . also couple Sainsbury supermarket close bus stop on / off bus tour .. near Victoria Station . room small quite suitable short stay . great flat screen tv wall bathroom clean . agree breakfast early . breakfast go back bed . ! ! excellent breakfast substitute item not want serve . staff friendly helpful girl desk great . look like need book advance people ring could get . pub recommend another traveler excellent . batter fish chip husband corn beef . excellent . staff hotel point right direction . spread word wonderful hotel . thank guy . ( first review New Zealand . ! ! ) 
 Jun 23 2009 	 excellent - place stay 	 excellent , quiet clean - place stay London . convenient location room spotless . Slept well miss breakfast day . definitely stay would recommend all . only downside early breakfast ( 7 - 8.30am ) - way early , stair ( lift ) 
 Jun 18 2009 	 Perfect Staff friendly great location great price 	 travel world wife consider hotel friendly staff ever encounter . would eat breakfast everyday know preference 2nd day . hotel clean safe area . although elevator price location make . exceed expectation . would highly recommend hotel hope give great review do not mean full next time go london ; - ) 
 Jun 17 2009 	 clean comfortable 	 stay hotel two night , room clean comfortable . friendly helpful staff . nice breakfast convenient location . would definitely stay . 
 Jun 14 2009 	 Outstanding stay Great Value 	 agree review . place great . would stay anywhere else London . Location Location Location near Victoria Station 24 bus stop outside door . property spotless front door . hotel recently upgrade everything new bright . staff extremely helpful pleasant . breakfast adequate . in summary nothing negative say stay , property staff . 
 Jun 13 2009 	 Faultless ! 	 Luna Simone Hotel extremely well run friendly , helpful staff . room spot really clean facility need . well do work create invite hotel ! 
 Jun 13 2009 	 spotless friendly staff 	 stay couple week ago room bathroom really clean important thing ! staff extremely friendly helpful . negative point time breakfast finish ( 8.30 delicious ) stair ! would definitely stay seem dependable reviewer opinion . great italian restaurant right beside make lack restaurant 
 Jun 12 2009 	 pleasure stay wonderful little hotel 	 could not believe luck arrive Luna & amp ; Simone Hotel stay London . would hard beat great little hotel . expertly run friendly , welcome helpful people need congratulate lovely , comortable fabulously locate place stay London . short walk Victoria Pimlico underground station 20 minute walk Palace . room no.1 downstair quiet , spotlessly clean comfy plenty room 3 we . breakfast delicious filling serve two charming host great little dining room . can not recommend Luna & amp ; Simone Hotel highly enough prospective traveller London look clean , comfortable , well locate friendly place stay . certainly pleasure we start holiday would love return one day . 
 Jun 11 2009 	 Holiday bliss start holiday 	 stay Luna Simone year now . fault superb . they like second family London now . the hotel spotless , service family excellent , room comfortable & amp ; clean & amp ; tidy . I hesitation recommend anyone do past . long may continue . Yvonne Cragg 
 Jun 9 2009 	 great find middle london 	 great boutique hotel - friendly staff , walk distance buckingham palace , westminster , etc . bus stop door , underground 5 minute walk either Pimlico Victoria Stn . free internet , comfortable , clean room , breakfast reasonably price London . would recommend 
 Jun 6 2009 	 great location super friendly staff 	 stay hotel May June 2007 , extremely keen come back ! previously stay single room , arrive time find old single room merge one next door double ! hotel great location within walk distance big London attraction like Westminster Abbey , Buckingham Palace West End theatre . 2 tube station close ( Pimlico Victoria ) not want walk . bus stop front , not use . room spotlessly clean , ensuite . breakfast great , fine want request change menu . main reason love hotel staff . nothing problem - keep luggage we behind desk go get hire car , even though 8 bag ! get car park couple street away , 2 staff member even help husband carry bag car ! , , great place stay be expensive . anything cheap area London bind dodgy ( check review site ! ) . definitely stay recommend friend . 
 Jun 4 2009 	 Great Hotel 	 review spot . great hotel , convenient location . family staff wonderful , welcome friendly . room well appoint personally not find small . double front building . clean quiet . breakfast fabulous start day excellent service . can not say enough . definitely stay hotel get back London , hesitation recommend Luna & amp ; simone friend . 
 Jun 3 2009 	 Great Location Great Breakfast 	 first , really like breakfast . hot chocolate amazing . serve table bring orange juice , coffee , lot toast , bacon bean , egg etc . room small modern flat screen tv nice bathroom ( shower ) . clean . location ideal London day . take tube end street everywhere . beginner London subway easy way travel . buy one - day travel card 8 pound allow take bus tube day long . entirely cheap ! hotel staff nice helpful . give map . internet free computer downstairs public use . 
 Jun 2 2009 	 nice Hotel great staff great value ! 	 find hotel trip advisor review correct . staff fantastic provide whatever need friendly helpful , good come across far travel . one highlight stay wake freshly cook breakfast every morning . hotel clean tidy , room 's quite small location could not complain . hotel situate near Victoria underground , convenient plan take tube planning use hop hop tour bus stop right next Victoria underground . downfall step lift , however soon forget realise value money get stay hotel . overall great hotel great staff . 
 Jun 1 2009 	 Gem Budget 	 budget hotel run family take care almost well Ritz . accomodating , need , ask . triple room , wonderful size , comfortable , quiet , much expect price . 
 May 30 2009 	 Great Hotel 	 Booked hotel read TripAdvisor review good expect . book family room , basement next breakfast room . even patio door lead small courtyard ! room good size everywhere spotlessly clean . owner family make feel welcome . great choice ! 
 May 29 2009 	 nice place stay 	 Partner stay Hotel , part small tour round Europe . find establishment perfect need . room comfortable clean , find staff friendly helpfull . breakfast fill ( egg , bacon bean ) set we day . look good value , great location gem . 
 May 29 2009 	 Excellent value 	 stay 4 night Luna side mid May . room top floor ; elevator , climb day sightseeing . like european hotel price range , wall bit thin noise travel easily . the room clean well appoint everything budget traveler need . bathroom clean modern . room small ; however , catch glimpse large room . though room face street , stay fairly quiet . reviews quality abundance breakfast accurate . Free Wi - Fi available , though ' quite reach upper floor ( bring mine lobby catch interesting travel tip & amp ; conversation facebook / email . ) small room ( like convert closet ) computer internet access also available . the hotel locate Victoria & amp ; Pimlico underground station , bus # 24 right front , within walk distance various attraction ( include Wicked Billy Elliott . ) plenty shop , pub , restaurant close ; launderette around corner ( drop small load pick PM 8GBP . ) owner ( twin Peter & amp ; Bernard son Mark ) know name right check - in helpful . quite gem , ' beat value ! definitely stay next time London . 
