Nov 	 wow 	 awesome hotel ' ve ever see tall building ' ve ever ( 99 floor ! ) 
 Jul 6 2009 	 Standard luxury hotel - meet expectation 	 Grand Hyatt Shanghai usurp new tall sister hotel , Park Hyatt . however , Grand Hyatt still good hotel one good Shanghai . book 2 room total 4 night . check - in desk 54th floor , ( family ) give adjoining room 77th floor . ask could river view room , upgrade without hesitation fantastic room view west towards Bund Pearl Tower . despite , except one waitress restaurant lobby level , staff hotel appear warm friendly , experienced hotel Beijing Lijiang . hotel stun comfortable room big bathroom overlook city . although hotel locate new Pudong area , access side river quick easy taxi hotel locate couple cross - river tunnel . taxi also cheap plentiful . bar 90th floor expensive over - rate opinion . feel little cramp . instead , recommend lounge base atrium 56th floor . excellent buffet breakfast range cuisine choose . hotel great view every direction , comfortable good location good professional staff , even bit robotic . nice spa swimming pool 57th 58th floor good gym . fact stunning build high city magnificent view give edge luxury hotel city . good bathroom amenitie excellent housekeeping , concierge service etc . gripe charge US $ 8 wrap souvenir . fact charge make clear concierge offer . occasion , feel & quot ; nickel & amp ; dimed & quot ; hotel . nevertheless , would definitely stay . 
 Jun 25 2009 	 Grand Perfection 	 Grand Hyatt Shanghai spectacular property amazing service extraordinary facility . even Park Hyatt ( across street Shanghai World Financial Center ) aim surpass Grand Hyatt , strongly believe many way particular property remain top Shanghai 5 - star hotel . Park Hyatt boutique - hotel feel ( = small ) , Grand Hyatt , name state , truely grand , renowned 35 - story high atrium extra classy decor . for stay book & quot ; Regency Club & quot ; room highly suggest yo consider hotel . club room well : locate 72nd 79th floor ( room 79th ) come plenty perk provide top - notch luxury experience around . really worth spend premium ( approx . 100 $ / night ) , consider extra come : free in - room internet connexion , exclusive access Grand Club ( 83rd floor ) , complimentary afternoon tea , evening cocktail continental breakfast ( Grand Club ) . take note evening cocktail come plenty tasty food , easily replace dinner . upon arrival hotel , & quot ; Club & quot ; guest , quickly direct separate check - in counter locate 83rd floor . everything run smoothly luggage carry room process . need mention staff Club floor helpful professional : know ( remember ) name , always smile polite speak good english . my room grand rest . lucky way Club room , mine actually spacious neat . room furniture classy efficiently design , small touch everywhere increase comfort level ( eg . : room light control two console besides bed ) . bathroom remarkable say least . I try two bar hotel stay : Patio Bar ( 56th floor atrium ) Cloud 9 ( 87th floor ) . nice yet pricey . however , little puzzle approach twice & quot ; massage & quot ; lady offering & quot ; lot beautiful girl & quot ; Cloud 9 bar . guess happen everywhere Shanghai ? pool / spa facility ( 57th floor ) stun perfect every aspect . certainly good hotel pool see now . location minor con ( plus depend travel style ) . Pudong generally soulless business - orient , give Wall Street feel little real , lively Shanghai . course , major attraction reach metro Pudong ( short ride ) , cab ready spend lot time traffic congestion rush hour . however , Grand Hyatt short walk away fantastic park lounge Huanpu River . all , Grand Hyatt really deliver fully deserve 5 - star award . 
 Jun 22 2009 	 Stunning Hotel worth money 	 stay two night Grand Hyatt Shanghai business . first , hotel stunning look attention receive staff unparalleled . upon arrive hotel lobby 54th Floor greate stunning 20 foot glass view overlook Shanghai . stay regular room choose opt expensive vip floor ( high floor , internet access breakfast buffet ) . room beautiful complete glass marble bathroom . everything perfect hotel . negative : Shanghai host World Expo May 2010 tremendous amount construction go outside hotel although hear construction ( 60th floor ) , traffic terrible . get hotel nightmare . expect get well construction complete ( sometime 2010 ) , expect wait traffic . second thing , hotel beautiful expect pay . incredibly expensive room , food drink . cost issue , stay . cost conscious , expect pay average stay . stay hotel cost $ 750 usd 2 night . willing accept local brand hotel non - prime location , think find much well value money Shanghai . , great experience . would come back ? probably , would find comparable property save bit money . 
 Jun 20 2009 	 Beautifull View 	 really enjoje Grand Hyatt Shanghai . room commodious . night think twice , wether go toilet room , way far ; ) . service incredible , need business card woman counter even translatet chinese . next morning new card english chinese side . buffet breakfast hat great choice delicious . the view Shanghai nice , nearly clear sky . 
 Jun 16 2009 	 great hotel construction around .... 	 Loved hotel . spacious room overlook Pearl Tower good bathroom toiletry complimentary chocolate ..... great buffet breakfast . great choice delicious . staff friendly . spa / fitness ok . height build obvious attraction smog concrete dust seem spoil view time . showpiece cocktail bar lack atmosphere pricey . walk anywhere around outside hotel involve cross building site dodge iron girder incredibly hear drill 60th floor ..... 
 Jun 13 2009 	 Good 	 Shanghai 5 day conference . hotel excellent plumbing mishap deal well . conciege staff could helpful . breakfast great meal Club Jin Mao , set service great though tradiditional Shanhainese taste ! would like time explore city would recommend hotel . 
 Jun 10 2009 	 Great Hotel 	 great experience stay shanghai Hyatt , become one good tour . nice Hyatt family sure love , family , friend , anyone . like way handle costumer amazing service . word two day spend . hyatt good hotel shanghai . 
 May 31 2009 	 Small Rooms pricy tall hotel world 	 worth staying experience stay tall hotel world . room small small double bed . italian restaurant highly recommend excellent food view price go . canton restaurant disappointing . food bland dress code , shame class restaurant . service restaurant also rather lacking , allow order choice food ! waiter would allow we order starter main course contain chicken ! 
 may 24 2009 	 May good hotel experience ever ! 	 Grand Hyatts visit recently China ( Beijing , Shanghai , Hong Kong ) combine excellent service relax , feel - at - home atmosphere find greatly appeal . Shanghai property good three excellent hotel . hotel stun inside - especially lounge 56th floor . staff universally terrific - friendly , attentive , professional , especially Business Center . convey sense really appreciate presence enjoy work . unbeatable combination weary business traveller . room comfortable , quiet , luxurious understated way . 
 may 11 2009 	 Great View 	 stay hotel foe one night . room , see river , beautiful city , view really nice night light city , lucky enough see 5 minut firework river night . but room quite small , bouble bed size .... funiture bit worn , tv normal one , flat one . the food quite nice , free breakfast next morning . do not chance use facility . seem middle business center , , close everywhere , guess location good , expensive 
 May 8 2009 	 great view 	 not stay hotel eat Canton Restaurant 54th floor drunk CLoud 9 bar 89th . can not find Canton restaurant section . compliment restaurant excellent food , wok - fry prawn slight dis - appointment reasonably price give location view . say Cloud 9 price reasonable high outrageous over - use ice cocktail , experience elsewhere Shanghai . 
 Apr 28 2009 	 stylish hotel great service 	 conference nearby convention center , like hotel location , style , view , deco ( combination old chinese charm / deco , modern furniture , facility ) , staff friendly . great view city room , lounge restaurant . highly recommend . 
 Apr 18 2009 	 Fab hotel Shanghai 	 shanghai never get chance stay . , get back last march , opportunity arise , book place stay 2 night . posh place stay . romantic u staying partner / spouse.highly recommend hotel pleasant holiday / business . 
 Mar 28 2009 	 fantastic experience 	 one great hotel world . fantastic view form 73rd floor spacious king room . excellent restaurant excellent quality variety food . excellent breakfast . the staff polite helpfull professional . 
 Feb 16 2009 	 Great Location 	 Grand Hyatt Shanghai beautiful 5 star hotel one exciting view city . the Jin Mao tower worldwide famous , since hotel age high hotel world . room spacious bathroom beautful bathtube shower look skyline huge window . the Grand Hyatt little bit old style hotel , least compare newly open Park Hyatt Hotel side street , be still worth visit ! service excellent , food average ( improve ) .You manage discount price group . 
 Feb 11 2009 	 excellent experience 	 stay 2 night queen room 64th floor ( 6411 ) . room ample size , though extraordinarily large standard . design building look like probably one small room . look map door look like variety room different size . everything room good however would say start show little age . tv flat panel overall room little worn feeling . still clean everything work properly . room internet 5RMB minute 120rmb max day . service excellent . staff nice attentive try help whenever could . check - in check - out go smooth . would say disappointment , certainly hotel 's control , fog , haze pollution view really great . everything seem quite gray time year ( February ) . thing consider location Pudong side town . without much traffic 's quick taxi ride Puxi side Shanghai tourist , shopping , dining area . traffic take quite . metro station within walking distance get across rive minute . get good rate ( mine 950rmb+various service charge , taxis ) would definitely stay . 
 Jan 17 2009 	 Pleasant stay overall 	 stay Grand Hyatt Shanghai 3 night Jan 2009 conference hold nearby Shangri - La hotel . have amazing 88th floor bar , expectation rather high . check - in easy , cab driver new exactly ' Jin Mao ' build Lujiazui district Pudong ( not ask Hyatt , like 4 Hyatts Shanghai ) . luggage whisk quickly elevator lobby . check quick efficient , despite several people wait . quick ride room . get one ' triangular ' room , fine . however , like commentator , find complicated use infrare desk lamp , honestly think replace lamp on / off switch . room seem somewhat overdesigne , think closet accessible side genius . bathroom great , middle winter decide soak bath must say water rather musty smell , may less fault hotel water supply . I think food cafe excellent . hotel provide foreign paper evening request . everything work beautifully service , really , quite amazing . even get email concierge yesterday tell have leave T - shirt room ask address . incredible . departure similarly effortless . think hotel size amazing job personalizing experience , ensure guest feel welcome . 
 Jan 1 2009 	 great Stay ... 	 quick trip Shanghai ... couple day . extra point Gold Passport account decide upgrade suite ( pay rate room 6000 point upgrade ) - glad ! room amazing . little background - trip partially celebrate partner 's birthday . suite part present . email hotel concierge couple week mention trip celebrate birthday . turn , arrange car pick we airport , suite 82nd floor ( 85th top floor ! ) , top , birthday cake room upon arrival . VIP Services meet we car pull door take directly room check . check quick efficient - everything need validate credit card . even able accommodate 3 pm checkout request ( 6 pm flight ) without hassle . room well appoint . classed & quot ; Junior Suite & quot ; . design hotel , every room corner room ; window everywhere . one reviewer point - level view somewhat hamper smog still quite fabulous . able overlook river , Park Hyatt ( next door ) well well across river city . start entry way ... walk room find nice sized hallway . like many hotel feel & quot ; crammed & quot ; soon walk room closet . , nice open entry table place stuff . , nice small mini - bar area coffee maker , tea set nicely stock bar . also enter private closet area bathroom . the sit room nice sizeable working desk , comfortable couch flat screen tv . measure quality foreign hotel network offer - Hyatt get 5 star ( CNN International , BBC , MSNBC , well HBO , Showtime other ) . desk build - in converter US - base plug not mess converter always bring we . top - free internet ( although free low floor ) . thing not wireless ( day age seem kind odd we ) ... cable provide top drawer set . the bedroom also comfortable . mattress little firm taste - bad . , nice large window another flat screen watch little tv . in - room safe part tv credenza . large enough hold camera , passport wallet , not big enough store laptop . one bed table individual alarm clock well control entire suite 's lighting fixture . light ( anyway ) little difficult grasp . talk simple light switch ... everything electronic . & quot ; panel & quot ; on / off switch , well number 1 , 2 , 3 . time , figure 1 bright , 2 medium 3 low . figure , remember panel : ) bathroom also quite nice . tub right floor - to - ceiling window ( ! ! ) privacy shutter ( full - out wood ) offer privacy would want . separate shower rainfall full - body nozzle . learn hard way full - body nozzle , point right way ( case wrong way ! ) cause water leak onto tile floor . big deal something watch . finally , direct access closet area ( lead back main entry ) . concern little dark . search really could not find light switch make area little easy see . offer plenty hanger ( least dozen ! ) , slipper , robe drawer . as staff ... well , plenty ! everywhere turn always someone hold open door , push elevator button , clearing plate ... one thing Hyatt lack people . not overwhelming . drink one night Executive Lounge 83rd floor . nice spread alcohol snack . view vantage point room , not see anything new . breakfast morning main restaurant lobby ( 52nd floor ) . tad pricey side ( $ 30USD ) breakfast , nonetheless food quite good . great collection local dish , well western food . quite fresh ... always see someone replace something refresh one station ... go back plenty staff . for Dinner , go Jin Mao Club 86th floor . highly recommend make reservation get quite busy ( encounter ) & quot ; smart casual & quot ; dress code ( go jean polo fine ) . food amazing . mix seafood traditional chinese dish everything tasty . menu little large ( 2 page , 8.5x11 ) somewhat daunting . , also offer comprehensive description order help . offer item exotic shark fin simple chicken . go middle road dish contain shrimp , chicken , scallop , vegetable rice . everything serve traditional Chinese & quot ; family style & quot ; not reach grab something someone else 's plate try ! table set chopstick , staff bring fork ask : ) price point two people top little $ 100usd without alcohol . finally , regard location . yes , lot construction area ( look like building & quot ; W & quot ; hotel next door ) . yes , local subway 10 minute walk away . walk quite pleasant ( easy ) .... head front hotel , turn right , go police station ( 2nd light ) turn right . keep walk hit circular traffic stop , . try say - not big deal reviewer may lead believe . kiddy - corner subway large ( 6 7 storey ) shopping mall . mainly upscale , bargain look . need coffee fix , close location Starbucks hotel ( 3rd level , Best Buy ) .since hotel review , will not get deep review shopping . say , quite experience . prepared people approach street try sell watch , shine shoe ( case , want shine tennis shoe ! ) beg money . couple instance , child would run grab onto leg beg money ( parent stand side ) .... would not let go unless give money . either try stay away quick side - step , keep couple $ 1 coin handy get you . all - in - all , great place stay . definitely worth pay definitely city go back visit . 
 Dec 29 2008 	 old new Park Hyatt across street worth stay . 	 great property locate top Jin Mao tower Pudong area Shanghai . location great business would ' ve probably stay Hyatt Regency Bund nightlife center Shanghai . Checkin , Hyatt Asia , pleasure view Sky lobby fantastic ( less foggy - smoggy Shanghai know ) . elevator corridor design asian great piece chinese art display . view guestfloor balcony atrium incredible . guestroom semi - suite size great minibar extremely comfortable bed bedding . bathroom nice size bathtub overlook skyline . amenity plentiful shower pleasure use . the drawback somewhat date appearance furniture tube tv . rate pay , expect 42 & quot ; flat panel . if can not stay new Park Hyatt across street , would stay . John NYC 
 Dec 27 2008 	 great hotel 	 spend three night early December Shanghai Grand Hyatt . quite nice hotel , describe high hotel ( term distance ground ) world . entrance street level , one go elevator 54th floor reception lobby check . ( office space ) . room locate 58th floor , relatively low . ( top floor guest room 85th , 86th 87th restaurant bar , respectively ) . room decent size , though particularly spacious . decoration fitting nice , especially bath room , additional door open wardrobe . clever design . bathroom tub well standup shower area right next . shower consist three adjustable shower head arrange vertically aim upper , middle low part one 's body . shower also powerful , kind thing . on first night , quick dinner italian restaurant . food good nothing exceptional . breakfast next morning also good , nice Beijing Grand Hyatt , favourite hotel capital China . not try restaurant hotel trip , although year ago chinese lunch japanese dinner . good , quite expensive . take brief tour patio bar 55th floor . 's main attraction look 33 floor atrium spiral way top building . 's breathtaking view , little sci - fiction like . suspect effect dramatic light blue rather yellow . I say disappointed swimming pool , probably measure 20 meter length three meter width . rather small , nothing special design decoration , plain ordinary . expect something well great hotel locate China 's second tall building . 
 Dec 23 2008 	 World Class 	 hotel stunning outside inside . upgrade Bund View room end 72nd Floor . room massive , hard try could not find fault it . the view stun , furnishing classic , bathroom fantastic . yes expensive , Shanghai , equivalent price would hard push find comparable room London , New York Paris . do not get chance try spa etc ( work ! ) sure good . 
 Oct 31 2008 	 Wow 	 Awsome hotel . room small solo traveller fine . bathroom absolutely fantastic . view spectacular breakfast although pricy sooo good . on negative side could find really walk distance anything taxi Shanghai expensive anyway . 
 Oct 30 2008 	 great ! 	 Excellent hotel . good service could get China . high hotel world incredible view & quot ; occidental & quot ; city China . 
 Oct 15 2008 	 great hotel 	 amazing hotel amazing city . we 2 interconnect nonsmoke room 70th floor . great height get use ! view spectacular real bonus . hotel feel like penthouse oasis city feel like chinese Manahattan . staff facility top notch , architecture real bonus . breakfast sensational . 
 Oct 9 2008 	 good business hotel 	 good business hotel , make interesting high ( use high world Park Hyatt next door open ) . like , restaurant good , gym really great . change room standard one actually pretty small / poor layout , next size significant improvement . like . 
 Sep 26 2008 	 impressive 	 spacious , quiet room . Hyatt Club lounge peaceful mercifully free television . helpful staff speak good English . 
 Sep 8 2008 	 great view ..... smoggy sky 	 secretary book hotel business trip . really not get infatuation sky - high hotel visibility outside horrendous . room dark make bad give desk lamp ' work ( despite multiple request fix ) . vicinity good business , nothing else nearby . construction make 3min walk subway take 20mins . colleague stay Jia hotel Puxi side love . 
 Aug 24 2008 	 Spectacular 	 stay 4 night could fault . room , service food 5 + star . Pudong , view room 73rd floor spectacular need go observation tower . [ -- ] 
 Aug 19 2008 	 Awesome hotel professional staffing 	 stay suite hotel great stay . room comfortable , big ( living room , corridor leading bedroom , feel like one bedroom apartment ) clean . bathroom also nicely size necessary toiletry LCD tv bath . bed comfortable . staff friendly , speak English well professional . check speedy . everything great . hotel close attraction site ( close mall 15 minute walk away ) , be downside , hotel locate Jin Mao Tower ( 2nd tall building Shanghai ) attraction , go tower get good view whole city . overall , highly recommend ! 
 Jul 31 2008 	 expect good 	 beautiful view / service / room / food - everything would expect hotel reputation - pure luxury . spa treatment also excellent , hot stone therapy . bad part extreamly long elevator ride bottom - enough give serious head spin ; ) 
 Jul 29 2008 	 Sublime 	 hotel surely one unique hotel experience world enjoy every minute . hotel sublime sky high room pool 57th floor bar 88th floor ? family two adult two child two connect hotel room 71st floor four day July 2008 . room huge , super luxurious comfortable outrageous view . room combination cost we around $ aud600 ( $ US570 ) per night , hotel place people budget . hotel opulent like high quality hotel Asia staff everywhere extremely polite . find service facility exceptional . pool spa area fit king . concierge describe expert dramatically improve quality day about . in summary , ' really understand reviewer critical . suspect result two main reason . firstly , cost could bit painful expectation may got hand . secondly , triangular shape room hotel may good majority room . look floor plan back room door arrive . sure staff would happily move suitable room happy . two tip travel Asia relevant hotel : need demand , ask politely always get well result . also well service receive dress appropriately . short t - shirt ' always winner high class establishment . 
 Jul 28 2008 	 view ! ! 	 truly amazing hotel Jinmao concert hall attach . lobby 57th floor , will stun view check - in ( be cloudy ) . room , opt window 3 side could not happy . course book Hyatt point , $ 125 2 night upgrade easy decision . garden tub huge window overlook Bund room overlook Pudong , oriental pearl tv tower , river , across Bund . cloud first day , clear second day take picture . meal ok , not expect alcohol drink Cloud 9 87th floor . note view bar way well table tend seat , appetizer food pretty good . breakfast cheap ala carte , buffet look great eat much food . it be good hotel walk tourist tunnel across side river , Bund People 's Square MISS Shanghai Museum ! definitely good overall explanation China 's history , art , life view People 's square second level tea house inside museum . could go Shanghai , know stay Grand Hyatt jinmao tower experience nice hotel ' ve ever stay . way expect standard ! 
 Jun 7 2008 	 Good Service Good Facilities Good Price ! 	 long journey package trip , decide stop Grand Hyatt lead back home . it be first time stay hotel since open . 's majestic hotel , good service , new facility good place business meeting . just compare experienced hotel . hotel , noticed staff attentive meet foriegn guest compare local guest . tip ? , staff give good service , give tip . but notice not even greet we enter restaurant . they give different level service , pay price . 
 May 18 2008 	 good thing hotel leave . 	 spend day Shanghai think would spend last night Grand Hyatt take view . book we club king room thinking would nice sip cocktails husband . still can not believe doozy complete waste money hotel . vibe unbelievably bad . within hour room crappy , disjoint view ( wall split room half take view ) bad mood could not really put finger . end realise design room bad feel like box somewhere rather supposedly good hotel . husband arrive hour comment have clearly give crap room . anyone want book hotel ( really would not recommend ) avoid hyatt 's website call room . could not get room quick enough kind defeat purpose stay . fitting room cheap , cheap , cheap though design look like luxury . bed line tv tv old one stick cheap cabinet swivel see . may sound petty be pay US $ 500 /night privilige think least put flat screen directly opposite bed . bathroom look ok make cheap material door close badly effort . many tap shower squeak like cheap tap be . I call iron ironing board arrive look like take formula one hotel close ! club lounge bad ' ve ever . food serve ' cocktail ' evening inedible . love food eat almost anything particularly starve , . would seriously advise pay extra club access . view room also nothing special . service bad ' ve tack wrong side building . the good thing hotel leave . seriously . much well mood within 20 minute check . spend night Regent hand room fantastic . immaculate , incredibly well think , comfy . lovely big flat screen could watch bed bath ( slide door along ) great view . can not believe leave ! Shanghai rock ! 
 May 16 2008 	 good great value 	 wife decide round trip Shanghai , part business , part pleasure stay icon new Shanghai . Pudong , neighbourhood , fascinating real glimpse future . China normally excellent value GBP211.00 riverside view extra great value . yes , room spotless , yes staff politeness personify view spectacular . and yet . exception excellent bathroom ( watch neighbour see ! ) ' ve stay Holiday Inns soul big room boot . special praise , however , must go Piano lounge . very atmospheric , low lighting , great house band top service albeit hefty bar price minimum spend tariff . 
 May 15 2008 	 expensive 	 expensive ! ! ! ! great ! ! ! 
 Apr 4 2008 	 Eye Candy 	 location : Perfect ! plan first part Shanghai stay take everything Pudong area ... Aquarium , Bund , oriental Pearl Tower course , hotel . need taxi can not get lose - look , be currently tall building . pool : three sided view , clean first time ever year hotel pools- Liifeguard ! lobby : bit confusing elevator opposite side front desk . view spectacular . stop number time look window . concierge : patient helpful . Lobby Level Restaurant : okay . serve european asian food buffet . room : small love layout . hallway entrance create great often need seperation outside . hear peep . glad A / c work many season outside temperature . bathroom : Design bathtub allow neighbor corner pefect view blind close tight - course year round window cleaner wave ! Oooh Aaah space . nothing special , can not stay , make lobby level destination take view . amazing day night . 
 Apr 1 2008 	 expensive 	 Hotwl great cost 35 % last stay Jan 2008 yet fill 
 Mar 7 2008 	 nice design average service inconvenient location 	 good part hotel good city view . 33 - story atrium showcase architectural prowess . stay 2006 . time , customer service average front desk staff conform stereotype " Shanghainese think well anyone else " .room : well decorate . like bathroom large window could look bund view . location : locate business area close restaurant happen area must take taxi go anywhere . conclusion : nice hardware average service inconvenient location . return . 
 Feb 10 2008 	 thde good coup trip shnagri - la 	 fantastic young tour guide , Tony , book stay 2600 Chinese Yuan . come Shangri - la , rustic sound . despite smelly dishevelled appearance , staff treat we fantastic ! great see salary man wait line pay cover go & quot ; Cloud nine lounge & quot ; walk right past jeans t - shirt . service great room great refresher three week bush Yunnan province . good hotel ever ! ! ! doubt read review , forever glad splurge 
 Jan 29 2008 	 Majestic Quirky 	 stay Grand Hyatt Shanghai last November second time 2007 . honestly beautiful hotel locate upper half , recently , tall building Shanghai . assure room 80th floor build eye - opening . however , time ' ve stay , ' ve run couple problem . example , last stay , another traveler name check give individual room . sure happen guy 's original room seem able give advise would settle something less booked , though error fault . ultimately get rectify hour , seem though hotel staff see nothing wrong downgrading room result error act though insistence getting book unreasonable . thing ( really ) bother assume air freshener use room acrid , almost bitter smell really annoying . guess might pesticide something else smell pervasive cloying . sure will stay ; think enough alternative Shanghai not problem . 
 Jan 19 2008 	 good place ' ve stay Asia 	 Unique hotel - new , well design room amazing view window . nothing negative stay . even expensive try one night ) ) 
 Jan 17 2008 	 good great 	 firstly - like thank everyone contribute site . immensely helpful resource wonder search accommodation overseas ! stay Grand Hyatt Jan 08 level 66 . build definitely impressive , close new Shanghai world financial centre , give great view current construction . re : location , touristy thing locate Puxi side , fact hotel Pudong little inconvenient . however , gather , subway station far hotel one stop side river . catch taxi Bund back hotel , cost rmb 20 , expensive ( careful traffic though via tunnel ) .The room good , great . note previously , lighting could well . give new hotel , surprised tv flatscreen . bathroom fantastic - massive size great shower , heat mirror well . no dispute view - undoubtedly fantastic ( assumption fog / smog day ) .Not happy service receive . whilst staff general polite , service receive time desire . one occasion , room watch television ( door chain ) receive ring room service staff ( even though not order room service ) . do not expect visitor , do not answer bell . staff proceed knock door , OPENED door ( find chain ) , smash door open thus break chain . could believe would happen 5 star hotel . far , check - wrongly charge we orange juice even though not take anything mini - bar . Buffet breakfast excellent wide range choice . however , per , service still little crude need smooth around edge . training require . in general , would recommend hotel business traveller driver , good tourist . 
 Jan 12 2008 	 hotel miss potential 	 hotel surface amazing - high hotel world - ridiculous view Shanghai . problem lie 100 % design planning . Hyatt ashame waste opportunity . room okay - lighting difficult , bathroom disaster design - water always everywhere - save grace amazing view bathtub . restaurant situation pathetic - either go incredibly high end chinese be faux - fancy food court anti - ambient sound lighting . lobby set terribly not capitalize view . good part staff - friendly helpful , concierge club level - although lighting could improve . want like hotel raw space great - disaster . 
 Dec 27 2007 	 Amazing ! ! ! 	 totally exceed expectation can not wait go back ! put 78th floor gym locate 56th floor . breathtaking view Shanghai round definitely worth every penny ! food amazing , service impeccable , room super contemporary enough space . shower bathtub face ceiling floor glass window faint hearted precious princess love travel spoilt STYLE ! ! Hyatt be never fail impress date one top ! ! must stay Shanghai : ) 
 Dec 12 2007 	 Spectacular view ... 	 stay quite short hotel sure memorable ... partner fear height good choice hall room look way .. also room thing view Bund .. love view Bund sit bath take shower relax .. room pretty clean good bed , spacious desk coffee tea facility .. Wonton soup Grand Café , well order try soup meal ! great time Cloud nine 87th floor .. great magician go table trick drink good repeat know : view ! 
 Dec 11 2007 	 Fantastic ! 	 fantastic hotel ! comfortable , clean beautiful . modern great view ! 
