Perfect 	 Quick walk Gloucester Rd earl court underground . shop also bus . make feel welcome special beginning end . one bedroom apartment sofa bed lounge . three girlfriend meet London 5 day . apartment spotlessly clean , kitchen well equip include washing machine . bed comfortable . shower water pressure good . staff excellent , extremely helpful , nothing much trouble . welcome bottle wine chocolate room . highly recommend accommodation . hated leave . fantastic location shopping , theatre cafe . even hear owl one night 
 Sep 28 2009 	 pretty decent 	 book two bedroom apartment less one week departure book accommodation fall . would disappoint pay full rate , book discount ( late ) reasonable good value money . the apartment spotlessly maintain cleaner ( clean kitchen bathroom ) , although feel wall could use layer fresh paint . furniture relatively good shape , get opportunity stay one new furnished apartment . stay comfortable , easy access transport ( particularly access Heathrow , large luggage , ensure exit Earls Court lift access ) young guy reception Mauritius helpful friendly . problem . we greet bottle wine biscuit arrival think sweet touch . I would recommend hotel . 
 Sep 28 2009 	 Location Location Location - Business Pleasure 	 pleasure stay Collingham Apartments daughter February 2009 . fully self contain kitchen , washingmachine come drier , broadband internet ( think include ) , satellite Television , daily newspaper comfortable bedroom first choice return business trip , 8 night , September work colleague . within walking distance Kensington shopping district , Harrods Buckingham Palace , Gloucester Road Underground 5 minute walk away , Hop Hop bus depart , would recommend Collingham business family destination . well price Pubs restaurant close well Sainsbury Waitrose supermarket , also 5 minute walk away . the criticism shower amenity quite ' small ' lot ' turn ' head room . find hit roof shower number time ; 6 ' 2 " ! ! car ' bring car parking available , although believe one hotel road may offer parking exorbitant daily fee ! ! ! ! ! ! ! ! ! yes , return . 
 Sep 28 2009 	 excellent accomodation good neighbourhood 	 wife get London couple time year always rent serviced apartment . first stay Collingham Apartments certainly return . 
 Sep 28 2009 	 great place stay friendly staffvery comfortable 	 Collingham Apartments lovely location convenient theatre restaurant etc . staff friendly polite Manageress make we feel special give we good advice go . suite clean comfortable great care take make feel like home . thoroughly enjoy stay return distant future next visit London . place we find great place stay . Alan Joan Smith , St Lucia , W.I . 
 Sep 28 2009 	 great find 	 know would like pleasantly surprised find . excellent apartment , great service , great location . would definitiely recommend anyone want well locate , spacious place stay . Royal Albert Halls Museums close 
 Sep 27 2009 	 love stay Collingham 	 book stay read glow review site . arrival upgrade one bedroom two bedroom apartment lovely roof terrace . room spotless welcome box chocolate nice touch . furniture bit date wear unclean . find bed comfortable . family apartment upstairs bit heavy footed walk around lotsof hotel find big problem . the location great we travel around London tube . the staff friendly especially little son . great time plan return December 
 Sep 25 2009 	 Tired Rooms Nasty General Manager 	 location Collingham Apartments , would reason we contemplate stay . turn premise not way appear hotel 's relatively decent photograph . furnishing three decade date ( poster calla lily ' 80 ) , personnel surly incompetent . airconditione , ton noise apartment adjacent . go somewhere else ! London full charming vacation rental , one ! sour old & quot ; general manager & quot ; reason warn traveller joint ! stained carpeting , sewer smell enter room , ancient drapery upholstery . Yuck ! ! ! ! hated place ! ! ! 
 Sep 20 2009 	 happy 	 pleasure stay Collingham Suites one night wife . book room wotif web site . arrival reception staff friendly promptly ugrade us studio appt suite . room vey nice , kitchen room clean . suite small courtyard , unfortunately rain could enjoy this . the accomodation everything require long comfortable stay . well position Earls Court & amp ; Gloucester Rd tube stationsi problem recommend appartment intend stay way country October . 
 Sep 18 2009 	 Studio little bit disappointing 	 read good review book Studio Apartment . returne 3 night little bit disappointing . the location good , nearby Gloucester Road Earls Court tube station direct link Heathrow . I book studio basement , pretty dark not think 's nice put someone basement room that s normal Londen . beware small steep stair . roomsize ok , kitchenette , important , microwave . bathroom really small , sink small , toilet flush well . room next laundry room untill 11 evening constant noise washing machine . the first night room smell terrible cigarette smoke . even put clothe suitcase , would smell cigarette smoke . two night smell never smell really good room . hear every step upstairs neighbour child start cry night like child room . overall , pleased , plus side kitchenette location , side noise , smell basement . 
 Sep 18 2009 	 Beware Studio Apartment 	 forget beautiful picture . apparently one studio apartment almost subterranean . room small get poky go bathroom narrow room put luggage . small window narrow entry passage door small courtyard like bottom lightwell - table clean stay dropping . pleasant eat . main room would real stretch open table put 2 chair . eat bed . good thing Ikea kitchen cupboard -very nifty open could not get tiny bathroom . tread stair room short small foot . husband go sideways . suppose 4 stars- receptionist tell 4 star apartment different 4 star hotel . 
 Sep 17 2009 	 home away Home London 	 stay 2 week whilst London see ODI cricket match throughly enjoy stay apartment highly recommend place stay . apartment situate handy location Gloucester Road Tube Station , shop , reasturant museum locate quiet safe neighbourhood . staff service always prompt , friendly helpful . want leave Collingham Apartments counting return trip . 
 Aug 30 2009 	 fantastic alternative hotel 	 stay overnight one night saturday . weekend able park street outside free 1.30pm onwards day check . warm friendly greeting man reception arrive check one bed apartment second floor back building . really peaceful quiet delight private roof terrace . apartment spotlessly clean quite large . bit like maisonette bedroom bathroom one level lounge kitchen another lead roof terrace- feel really spacious . kitchen well equip even washing machine also retractable clothe line bath hang clothe dry need . lot little thing make special- welcome pack shopping tip , basket lot lot coffee , tea , sugar etc , free daily paper . would even well toiletry soap bathroom- french milled soap ! agree review bit wear tear fixture fitting creaky floorboard flat really anything spoil enjoyment . location great- within walk distance museum , Albert Hall , Kensington Gardens , Harrods etc . definitely return alternative hotel apartment fantastic really good value money highly recommend ! 
 Aug 9 2009 	 highly recommend 	 stay 2 week & quot ; 3 bedroom & quot ; really marvelous enjoy stay . receptionist great helpfuli really recommend 
 Jun 14 2009 	 real gem London 	 always stay hotel visit London , decide try something different book two bedroome , one bathroom apartment one night 10th June 2009 . arrival greet friendly staff tell upgrade 2 bedroom , 2 bathroom apartment , 4 female think great girl tend hog bathroom bit ! apartment amazing , could not believe spacious , daughter ( 21 ! ! ) run lounge bedroom , length apartment long ! room excellent size everything exceptionally clean . lounge huge , kitchen well equip everything would need stay . bed comfortable , bathroom spotless , towel bed linen snow white . we arrive back late night greet helpful gentleman desk find us number pizza delivery half past one morning . we thoroughly enjoy stay make feel welcome staff , would highly recommend Collingham apartment anyone stay London , situate quiet , safe road still close public transport . 
 Jun 4 2009 	 great space great area 	 1 - bedroom apartment great -- really spacious living room , good bathroom . , normal price cramp London hotel room . friend stay overnight sofa bed . living room big enough 10 family come around coffee meal . save pile money eat time -- even invite people around meal . area really , really nice -- lot restaurant cafe ( especially Gloucester Road ) , beautiful local architecture . week imagine wealthy enough live Kensington & amp ; Chelsea . staff pleasant helpful , though not ask much know way around London . though basement room , mustiness , nice apartment . would nice view though . only negative -- outside bedroom window tiny courtyard , anyone smokong courtyard ( happen first 3 4 day ) smoke come bedroom , even window close . would definitely return , love place area , would ask upper floor apartment possible . 
 may 25 2009 	 virtually perfect 	 excellent place stay . always rent apartment come London group 4 , time usual place unavailable . try Collingham LOVED . certainly go back . nothing wrong room , everything perfect . good size , bathroom also good size excellent facility . stay 2 bed , 1 bathroom apartment rather neat little terrace , could sit enjoy warm spring evening . bed comfortable linen crisp fresh . reason 4 5 service mark nothing staff , friendly helpful . day check , tell could leave case collect later . one thing not like leave reception . reassure would fine no - one would take someone reception day . return , still course , not stop we little anxious throughout day occasion think . would nice separate , locked room like regular apartment stay . apart , say , everything perfect go back , without doubt . 
 May 20 2009 	 fantastic location great service - ask room view park . 	 already spend 4 month Collingham Apartments , work London , come back week April 2009 . ask stay room spend long stay , unavailable . kindly rearrange try offer close thing possible , room exactly former one . love , perfect view lovely private park across street . high top tree cover view . Govinda , reception , call room ask like , tell room perfect , view . expectation would anything , , guarantee perfect view something hotel . 10 minute later call give upgrade apartment much big , importantly , perfect view lovely park . call excellent service . 
 may 20 2009 	 great place business / pleasure stay London 	 find place last minute request travel London meeting . it be little tricky find , be , really nice pleasantly surprised ( especially not pay earth stay ) room large include lovely big bed , kitchenette ( cupboard , bizarrely ) good sized bathroom dress room . great find enjoy stay - friendly staff front desk . 
 May 19 2009 	 lovely apartment excellent location . 	 sister & amp ; stay final leg overseas trip arrival immediately upgrade self contain 2 bedroom apartment certainly make stay enjoyable . room good size , well furnish clean little courtyard area nice retreat . apartment close underground station , supermarket & amp ; restaurant . neighbourhood feel safe walk even late night . staff friendly helpful . certainly recommend apartment friend & amp ; family hope stay soon . 
 May 3 2009 	 exceed expectation ! 	 stay Collingham Apartments 2 night mid - April . it exceed every single one expectation ! travel 15 month old son , moment arrive , 9 am , 24 hour travel Sydney , make feel welcome much home . we absolutely bless upgrade 1 bedroom apt 2 bedroom apt - wonderful surprise , thank staff Collingham enough show we generosity . much space , seperate bedroom 15 month old son mean well rest . the apartment exceed high standard accomodation:1 . Quiet2 . Clean3 . spacious4 . GREAT location - close supermarket , tube station walk distance tourist attraction , close quiet London pub great restaurants5 . upgrade - even little outdoor terrace son explore ! 6 . amazingly helpful friendly staff - manager exceptional7 . well kitte kitchen8 . good hot water pressure volume9 . Comfortable bedProbably thing little frustrating heating - warm - easily modify opening window . we wait stay , would reccomend hotel anyone want bit space hotel room , whilst residential area London , still everything need close . 
 Mar 28 2009 	 Exceeded Expectations 	 travel two teenager . Collingham Apertments well present warm spacious . staff helpful accomodate assist research place interest . excellent central location close two tube station allow quick transport London tourist destination . 
 Mar 24 2009 	 fabulous family friendly luxury appartment hotel 	 fantastic appartment hotel central London , really care thoughtful staff . could make welome appartment lovely view garden square front . baby well provide toy , cot highchair internal lift make get buggy room really easy . felt safe comfortable whole stay . Manager lovely really helpful . go back every time stay London . 
 Feb 27 2009 	 great place stay teenage family 	 really comfortable , relax spacious place stay teenage family without need book two hotel room . two bed , two bathroom penthouse apartment . well equip kitchen cook food nearby shop , save cost eating . staff friendly offer excellent service . near Kensington museum Kensington Knightsbridge shopping area . definitely return . 
 Feb 19 2009 	 average stay ... another choice hotel 	 first time stay service apartment leisure trip . travel Paris London . bit disappointed quality room compare stay Paris . bathroom small , wifi free . 2 heavy luggage , however , need walk stair room . somehow , room get upgrade bachelor room 2 bedroom apartment large bathroom last night . surprise we , happy offer . would recommend family stay apartment . couple , may choice . 
 Feb 6 2009 	 real find 	 stay 6 day Jan wife 2 kid 4 . 2 bed self catering apartment . superb . gorgeous view garden square . staff extremely courteous helpful . 's real find superb location . ' m really picky . 
 Dec 30 2008 	 Good Location 	 return trip London Christmas holiday . group 7 stay Collingham Apartments . location good , walk short distance selection small shop , chemist , grocerie good resturant . even though take taxi 's town , could walk 30mins . subway within easy walk distance , approx 5 min . the apartment 3 bed sofabe comfortable little shabby need refurbishment . kitchen dishwasher , toaster set smoke alarm fully equip ( miss fork ) .The master bedroom spacious 2 twin room little small side . shower good water tempreture change shower pressure leave lot desire . apartment clean bed bed linen good quality . the reseption man 24hours helpfull , look terribly bore fed . order taxi reception take we airport not bother call apartment say arrive pricey . all , apartment appropriately price would pay well quality . 
 Dec 19 2008 	 Home home 	 stay Collingham five week end 2008 find excellent place stay . staff helpful , apartment keep extremely clean softened blow work away home lengthy period . particularly note housekeeping staff manage find return item keep forget return home weekend . area obviously pleasent , plenty bar , restaurant shopping facility around particularly central London close by . the negative point would price broadband , £ 9 / day expensive . nevertheless , excellent place stay ' ve already recommend colleague 's work London period next year . 
 Dec 12 2008 	 recommend collingham apartment 	 please able recommend collingham apartment , agreeable furnishing friendliness staff . ideally locate , one - bedroom apartment quiet convenient - real & quot ; home - from - home & quot ; ( Mrs ) Elizabeth FridrichLoewenbergstrasse 54ch-4059 Basel , Switzerland 
 Dec 7 2008 	 month South Kensington 	 sometimes win lottery . choose Collingham Apartments spec , know would get . find comfortable , clean , quiet night time conveniently locate tube supermarket . staff friendly effecient . would recommend anyone want short long stay Lomndon , good quality accomodation . 
 Dec 5 2008 	 Fantastic Accommodation Collingham Apartments 	 party 3 adult 16 month old toddler . stay hotel room small one option find self catering apartment great area really pleasing . staff really look we deliver every aspect . certainly return sure anyone read great stay . facility spot cover basis . thank concerned make stay memorable . shaun , Rebecca , Kate Pippa ( nipper ) ! ! 
 Nov 25 2008 	 Good Stay 	 date:16 - 17 Nov 2008my family 5 enjoy 2 night Collingham . comfortable 2 bedroom apartment look newly furnish clean , well equip kitchen in - room safe . soap provide bathroom , please bring shampoo . located peaceful area , still 5 minute ' walk Gloucester underground station , next 24 hr convenience store fast food joint . reception efficient courteous , make good stay . 
 Nov 10 2008 	 look Quiet Room -Collingham Apartments 	 second stay apartment , bacause previous ocassion full , say all . again another great apartment , two room , one double twin , along lounge kitchen/ dinning room area . the apartment clean comfortable even heating turn little cold Autumn night greet outside . a superb location , close tube , yet far enough beat track offer peaceful night sleep . 
 Oct 29 2008 	 Collingham great ! 	 stay Collingham husband 2 teenage boy Oct 2008 . impressed size apartment , 2 bed/2 bathroom , well equip , spotlessly clean , daily maid service , beautiful towel linen . staff helpful friendly , location , Earls Court Glouster Rd Tube station fabulous . variety supermarket bottle shop within easy walk distance . wireless internet reasonably price work well ( essential teenager ) . would highly recommend , think good value money . 
 Oct 19 2008 	 Excellent value money 	 spend 3 day Collingham Apartments begin October . first acquaintance use apartment instead hotel room ( New Zealand ) wonderful choice . apartment clean , lovely linen , huge towel , every facility could want . staff excellent - helpful friendly . duty 24x7 . location superb lot convenience store , cafe , transport option near . highly recommend . 
 Jul 27 2008 	 Fantastic Apartments 	 family stay apartment July 2008 . two adult teenager . two bedroom apartment living room , fully equip kitchen ( clothe washing machine / dryer ) small courtyard . location great - 10 minute walk ( ) two underground station . supermarket pharmacy 5 min walk away . local restuarant close . lovely part London . would highly recommend . 
 Jun 2 2008 	 great apartment - excellent staff 	 wife stay Collingham Apartments last April could recommend highly enough . comfortable lounge , well equip kitchen , separate bed room plenty storage space plus great bathroom . the location ideal we , near Gloucester Road Station shop close perfect we buy food meal . the location , staff facility make trip Australia first stay London holiday remember . 
 May 22 2008 	 nice stay overall 	 stay week Collingham Apartments May two young kid three adult . book 2 bedroom apartment give we 3 bedroom get . unfortunately basement . room high ceiling good amount space London although many window , not provide much light . still , really evening . overall , good location , clean enough room we comfortable , eat meal , adult hang sit room little one bed . would like close Kensington High Street Chelsea easy access bus two tube stop get everywhere quite quickly ( recommend buy multi - day travel pass allow swipe go bus tube without stop pay every trip ) . close several grocery store well . 
 may 20 2008 	 perfect spot 	 want stay quality South Kensington area , walk distance Hyde Park , shopping , etc stay hotel 's Collingham ? price get apartment daily maid service , plenty room . clean , helpful staff , ideal , quiet safe location . 5 min Gloucester Road Tube station [ easy fantastic ] . note early a.m. arrival , arrive 7.30am wait 2 pm checkin . beautiful day find Hyde Park lazed grass , sleep , people watch , picnic etc . dead tired enjoy see quieter side London . fact , return Hyde Park many time . Collingham ultimately upgrade we 2 bedroom apt private balcony ... sweet . also give we bottle wine . really can not go wrong stay independent want explore thing . sure , get lose walk around , people helpful . London huge busy busy city , quiet relax . 
 Apr 21 2008 	 Great Experience Family 	 never England SoCal Family not know expect . also , every website England Europe find list 2 people max per room , would need 2 room anyway . find Collingham Serviced Apartments online trip advisor review positive . book , nervous have really find . however , beautiful section Kensington , short walk 2 different tube station ( Earl Court & amp ; Westminster ) , close Starbucks , close many restaurant . staff helpful Collingham , room perfect 4 member family & amp ; clean everyday . 2 bedroom apartment , family room , outside patio kitchen ! kitchen everything could need well . ever get back UK will definitely stay Collingham ! picky husband , review honest ! 
 Dec 14 2007 	 Better Chelsea Match 	 Booked Apartments lateroom get good deal . arrival upgrade three bedroom apartment ( 2 we ) say place great . big room great bedrrom 2 en - suite bathroom . great location close Gloucester Road Tube quite street . the front desk staff fantastic attentive 
 Oct 29 2007 	 good location basic price 	 wife , daughter stay Collingham week . 2 bedroom Penthouse apartment . location good , quiet street 5 minute walk either Earls Court Gloucester Road underground . also qualified ' 2 minute ' rule London , word , not see London taxi within 2 minute step outside - wrong location ! staff friendly helpful . however , check Saturday , suprise ' serviced ' apartment service follow day ( Sunday ) , although every day . apartment really quite basic - one small dining table , share Wi - fi computer access meal eat . ask second table , inform none available ' all apartment occupy ' ( word , could not borrow another room ) . one power point living room , locate opposite side room table . single power point power lighting television ( small ) way extension cable . plug computer power point hallway run lead living room . plumbing bathroom basic , heated towelrail work , heating control apartment . leave impression apartment equip tight budget . expect price room , absolutely comparison slightly expensive apartment Flemings Hotel Half Moon Street , stay several time previously . London accomodation often disappointment , Collingham another example . 
 Sep 19 2007 	 Loved Collingham 	 staff extremely friendly , helpful & amp ; always available . feel like relative hotel staff . give we travel / attraction idea seem know need easily always pay attention guest . accomodation expect , everything need , comfortable , clean . 
 Aug 8 2007 	 terrific place stay 	 spend 4days Collingham apartment July 2007.the location fabulous , close tube station , shop especially 24 hour Sainsburys , pub restaurant museum . the staff always present front reception friendly helpful . apartment ( 2 bedroom 1 bathroom ) spacious , well appoint extremely clean . we even little patio lovely . great able self cater require , handy laundry facility . would always stay hotel . would highly recommend Collingham apartment friend . 
