great 	 stay imperial midweek couple day November . perfect location visit part London 's West end , go theatre shopping . hotel reception cosy relax . Staff superb ( repeat superb ) throughout , always hepful polite . twin room third floor overlook courtyard large good quality light rather 40 watt bulb provide hotel . breakfast hot cold food ( eat buffet ) serve 10 , staff come around tea coffee stops buffet area getting clog up . very clean hotel would definitely stay . way room air condition need London anyway . 
 Oct 3 2009 	 good choice medium price hotel area 	 recommend hotel certainly expect american style accommodation understand travel experience culture . also recommend upgrade executive room one person afford small extra amount ( get extra room ; nothing , find valuable one person ; travel alone would get regular room ) .The hotel outstanding location . close British Museum Russell Square tube station . love historic area , although Russell Square area get noisy night , ask room overlook square want peace - and - quiet night plan keep window open ( air - conditioning usual per british hotel ) .I find staff OUTSTANDING . accommodate , helpful , pleasant , welcoming , well - train . ' ve stay lot hotel area , find absolute good . feel impressed staff whoever manage hotel . the room appear basic uninitiated american traveler . British London budget hotel standard complaint . clean , nice bath , television , electric kettle room , etc . american expect british accommodation level even Holiday Inn however . british still struggle bit regard accommodation due old hotel . event , complaint could regale everyone horror story british hotel . I express admiration staff . example , request refrigerator medicine arrive , , without ask ( forget long flight ) , arrange one room ( american hotel manage ; remind case ) ; charge either ( many hotel ) . find staff always friendly , helpful , well - train , courteous , level simply expect London , matter price , quite frankly . my one complaint : include breakfast . high expectation british food , except breakfast . nice buffet breakfast british standard though . fact , find food restaurant quite good , surprise ( : like british food ; fresh pea fish chip one restaurant pleasantly surprised ) . suppose really complain british standard offer nice , ample , fill , tasty breakfast . rate big deal ; view minor quirk American . I would stay view good bargain price location . simply beat proximity Russell Square tube station ( convenient ) British Museum ( hint : use back door museum not want walk lot work close Russell Square hotel ) . could happily spend week inside British Museum course . area also nice selection restaurant , pub , shopping , although , , tube station block away not really matter : get explore one great city world ! complain tv show lot satellite channel . true enough , , not visit London spend entertainment time hotel room ! basic selection tv radio , find fine . I would stay . high praise , never stay hotel area twice , choice . love Bloomsbury area too . if fly via Heathrow take excellent express train Paddington Station , either tube Russell Square , take cab ( never visit London , recommend take cab Paddingnton Station even though cost , especially arrive long flight state ; unless fear new big city ) . save time money . 
 Sep 30 2009 	 clean friendly hotel cebtral location 	 book trip surprise husband brthday , search lot different offer decide superbreak Imperial . train time arrive London 3 hour early check . head hotel load luggage . check room within 10 min , efficient polite . bit concerend breakfast might hold due previous review , husband satisfy breakfast plenty choice totally indulge full english three morning . hotel room spotless , shower far powerful shower ever bathroom immaculate . lovelly hotel fab price would hesitate stay already plan follow trip . 
 Sep 23 2009 	 Tired Great 	 find cheap hotel good location London tough . ' ve stay couple ' ve always ok ' ve never really standard ; now . the imperial lovely little hotel nice area easy walk range Euston yet almost mid - point major attraction ( , , walkable ) . area nice quiet , reasonably tidy ... feel safe walk around . basic shop eat place nearby . good . the hotel old , 80 deco , part rather tired look . however clean everywhere . room stay ( single ) overlook courtyard rear nice quiet . think recently update furnishing seem quite new . comfortable , large single usually , good shower ( though mobility issue bath bit tall ) . basic stuff clean , work . addition , rear hotel make quite quiet . staff friendly largely unhelpful . nothing major , ask direction fairly useless ( bus route map much useful ) . also bit fussy breakfast sit not rudeness - busy . breakfast basic good ; especially like egg , pretty much every type imagine reason . now make note ... advertised price would say not get quite enough , though close ... book superbreak get much , much cheap . get deal hotel real gem . 
 Sep 19 2009 	 bad expect 	 stay one night read review , not look forward . generally speak central London hotel , 105 twin room , ok . clean enough , decor bit tired could bad . 60 cell block exterior not invite ' Elizabethan dining room ' key end look like cattle prod trifle bizarre , minute walk British Museum overlook Russell Sq garden . traffic noisy could not fancy cook breakfast - poach egg suspend vat water look like body part . nice , reasonably price italian restaurant around corner , Southampton Row ( Cordoba something similar ) . 
 Sep 12 2009 	 good value money 	 overall good hotel , great family look comfortable stay . pro : clean tidy room . nice breakfast . kind service . good price try stay budget ( 78 pound ) .very good location , close mayfair , 2 minute russell square tube station . con : Noise street . very small room ( single room ) 
 Aug 28 2009 	 place stay ! 	 son ( 26 59 ) stay imperial two night . come Durham & quot ; museum & quot ; thing . stay wife Russell Hotel ( great hotel way ) along road June Imperial alot less expensive pleasantly surprised find good . room nice clean decide take complimentary three course meal indian restaurant street rather President Hotel next door ( read review ) really good free meal & quot ; proper & quot ; restaurant . another good thing abaout Imperial & quot ; Night Day & quot ; bar open 1.00am serve drink normal price , fact would go far say price cheap anywhere else town . while viste Tower London well worth £ 17 entry . Ee find Westminster Abbey far crowded appreciate anything £ 15 entry rather expensive . far good attraction visit National Army Museum ( get tube Sloan Square ) free entry contain host interesting exhibit information exrtemely well lay out . as other say , imperial close mainline station , walk king Cross 10 - 15 min round corner Russell Square tube station . tube probably good way get around London quickly relatively cheaply . 
 Aug 25 2009 	 Imperial Russell Square - appearance deceptive 	 genuinely surprised hotel . 6 Imperial Hotels vicinity inevitably go wrong one first staff helpfully redirect . slightly nervous saw 60 style model egg box could not fault . good location ( 10 - 15 min walk Euston / king Cross / St . pancra , 5 min British Museum ) , clean room , fairly quiet give location ( near Euston Fire Station ) , good room size ( spacious triple - £ 120 night ) . dining room marvellous carpet ' ve ever see , seemingly base deck card / Tudor theme ( have roll take home possible ) breakfast good . - miniscule - thing bit odd try attract waiter 's attention tea , tea weird grey colour . however , probably waiter could not understand accent live London know tea always taste funny account hard water . , great stay , would use . 
 Aug 24 2009 	 thrill 	 not sure expect reading review come away feel positive Imperial . stay business single room single not bad size decent bathroom bath , enough room spread put thing away two large window could open , tv etc . stay back overlook courtyard suppose quiet part sleep pretty well 3 night , not bad central London . light sleeper thought might disturb air conditioning unit not bother window close . sound insulation adjacent room not brilliant lot depend neighbour - always hotel . breakfast ok like cook , hot buffet usual stuff . bar restaurant downstair food ok not kind place would want sit around long . good location always plenty helpful staff about . good budget hotel although 100 quid budget ? 
 Aug 18 2009 	 great location tick box . 	 okay , 's luxury hotel 's mean . certainly tick box - be small family ( one ten year old son ) book hotel one rail + hotel deal Thomas Cook . not expect anything special certainly not - room , though basic , clean spacious twin bed double sofa bed son , plus complimentary soap shampoo . overlook fountain little disturbed people chat outside late night - certainly rowdy , sound seem echo . breakfast plentiful tasty not expect smorgasbord cold meat cheese - instead enjoy lot fry egg , sausage bacon ! tea coffee bit stew ' m fussy comes need decent cup tea . thoroughly pleasant stay friendly , knowledgeable staff . leave suitcase leave luggage room last day surprise reasonable charge 50p ! nearby hotel seem swarm student coach tour ' m glad spare . , might try Bedford hotel , part group , market much small intimate . 
 Aug 17 2009 	 noisy room comfortable . ok budget stay . 	 family room uncomfortably warm . lot noise room either side load traffic noise . next door check 1.30am wake we not settle 3 am . would expect family room quiet side hotel . guest remark quiet room . know specify stay another occassion . buffet breakfast good , ' free 3 course meal ' disappointing . hotel location good king Cross mainline Russell Sq Tube station . would recommend Oyster Card Underground 
 Aug 11 2009 	 fantastic stay 	 arrive early well check room not prepare tell could leave luggage . friendly receptionist change free meal sunday theatre ticket saturday . upgrade family room large airy clean tidy bed comfortable really good night sleep also like fact room seperate bath & amp ; toilet . breakfast normally cereal egg bacon look good resist not . location great around corner russell square tube , also several restaurant Tesco direct near perfect get sandwich instead pay meal attraction . would definately recommend 
 Aug 6 2009 	 ok round 	 large hotel noisy front hotel traffic . helpful staff reception dining room . think breakfast poor boring limited range - cold meat , cheese fresh fruit yoghurt . 
 Aug 5 2009 	 Book hotel location / value money / good staff 	 return three night stay Imperial , usually stay Premier / Travelinn get hotel combine rail deal good value . clean hotelbed / bathroom good price . evening meal first night stay , roast dinner three course absolutely fine . good breakfast nice first floor room . arrive two problem check . ask high floor ( 8th ) overlook Russell Square , wonderful view close British Museum . staff good bed / towel change every day . would definitley return . 
 Jul 24 2009 	 budget - friendly hotel 	 boyfriend stay Imperial 3 night June . hotel book we tour group , not sure expect . arrive 10 am check - in day , expect lock luggage go explore 2 pm check - in time . pleasantly surprised room ready , however , able check - in early . room small , small would expect budget hotel . 2 twin bed , push together make one big bed . Decor bit date , place clean tidy . location good thing hotel - big park scross street super close Russell Square tube station , make easy get everywhere want go . the english breakfast not bad , 's food every day , be long stay , might get tiring . happy hard - boil egg toast . would , however , suggest supper hotel . include tour , go , ' m sure even worth & quot ; free & quot ; meal . lament chicken , be . completely dry ... even hard chew ... flavour . calling & quot ; chicken jerky & quot ; end meal . vegetable clearly bag . plenty great place eat ... not waste time here . anyway , aside food , hotel budgeter 's deam ! overall good experience . 
 Jul 15 2009 	 Good Location good quality - price relation ! recommend ! 	 parent stay Imperial Hotel 4 night , Christmas New Year ! hotel location good , really close subway station ! front hotel , find one small park ( like run morning … , enjoy ) .The hotel staff helpful nice room clean comfortable . want English breakfast , ! love London hotel ' bad ! Good Location , good quality - price relation ! recommend ! 
 Jul 12 2009 	 great value 	 contrary norm , room much nice sixty - style lobby might suggest ! ( room recently refurbish . ) spend 2 night father use stay business year ago . lucky full put large 3 - bed room vs small single room . english breakfast solid current price would hard find well value money . leave new pen knife room find keep . full tour group etc really one good deal town base location , modern en - suite room good power breakfast .. 
 Jul 9 2009 	 Best Value Money 	 stay Imperial June 2009 . know less expect since second staying . still , surprised see hotel upgrade improve many way since 2000 . not get wrong : five star rating not mean imperial compete Ritz ; mean however mere GBP 78 will probably get good value money Central London . I arrive late , 11 pm , ask high floor , quiet room . get room 932 perfect -- quiet , relatively spacious clean room . bathroom also spacious clean , plenty hot water even shampoo ! coffee make kit also much well use . include real milk instead horrendous whiten powder . bed clean cozy though bit wobbly ( chronic problem many hotel ) sleep well . room safe ( use safe deposit box reception desk nominal fee ) air conditioning , would probably pay around GBP150 per night since weather cool , not problem . say , June would recommend booking hotel air - conditioning might bump sudden heatwave . one major advantage hotel offer strategic location , yard Russell Square tube station . trust , can not get well ! downside full english Breakfast pretty basic . vegetarian , choice rather limited . 's cheddar cheese , yogurt , cottage cheese vegetable patty . however , be unlimited supply coffee , tea , orange juice , jam , baked bean , egg , bread roll , brown white bread cereal . conclusion , hotel ideal budget traveler not want risk shabby rundown hotel , compromise location . would definitely stay can not find four star hotel reasonable price . 
 Jul 6 2009 	 Real Value Money great location 	 stay hotel weekend away could fault place , room clean , hotel great location great hotel bar charge earth drink , would certainly go back travel London . 
 Jun 16 2009 	 well worth money 	 staying president next door much nicer.the staff friendly helpfulthe room large double sink bath . flat screen tv quite 6th floor.the draw back safety deposit box open 9 am 6 pm bit much go show . update available rooms.all well worth extra £ 30.00 per night 
 Jun 9 2009 	 friendly 	 good friend want celebrate 18th style , , two friend go London go shop , see show Madame Tussauds . this break book Superbreaks . when arrive hotel , welcome friendly staff . we go room really please lovely - clean tidy . before go show , go hotel restaurant dinner . it bite struggle find - lounge enterance it . when get restaurant , seated table ask order . we order food ask spirit menu . waiter get we one . when try order drink , wait look really confused tell we could not order menu . after cafuffle drink , finally go pick food cavery . when seat , salmon order really nice , vegetable hollandaise sauce cold . this complaint . [ also , beware maid may come room ' ve leave ] hotel walk distance tube station , shop , restaurant bank . just road , Subway Pizza Hut . we go see Grease Piccadilly Theatre , get taxi to . it quite short journey Theatre traffic make bit long . the next morning , go breakfast . there many choice food , include buffet style English breakfast , cereal , toast bread roll . plus , wide selection drink - include juice , coffee tea . inside hotel , bank lovely little gift shop . they sell thing like biscuit , London key - ring , t - shirt , magnet , magazine , chocolate , mini clock , etc . I would highly recommend hotel , friendly , clean , really nice stay . 
 May 31 2009 	 terrible incompetent staff unable deal complaint 	 stay hotel 2 night stay London city trip . when want take shower bath ... discover BLACK MOLD top corner bath . this late night , report morning tell take care it . when cam back hotel evening nothing happen night porter could anything . I report morning ( Asked manager , get comment card ) tell & quot ; nothing leave today & quot ; week later recieve letter hotel state sorry go to change mastic bath . offer compensation anything ..... hotel destroy brithday trip . send photo take hear single word since . I reprte hotel health authority well disgusting word .... never stay hotel ever 
 May 15 2009 	 Bruised sore humilite glad GO HOME ! 	 ask hotel ability help disabiltie . assure we could stayed 12 May room 548.the room 200 foot lift barely big enough wheelchair . later night fall second time ( fall year ! ) , notice help cord unreachable . the coffee good breakfast .... nice ... exhausted ! ! 
 May 11 2009 	 excellant location 	 arrive hotel short weekend trip delight wonderfully quick check - in untill hand room key kid actually key ( day age ) . call & quot ; Wand & quot ; attach long metal pole.when arrive room want take shower head find shower actually work . firstly phone reception phone plumber . eventually get shower work . next night decide stay watch spot tv dismay also work . also aquire injury stay go reception plaster tell injury worthy plaster . overall hotel excellent location . 
 Apr 28 2009 	 Old fashion 	 hotel book company , would never book future . check - in smooth , however , check go concierge get key actually key , hand leave hotel . 's really long metal pole . room single bed , incredibly soft two thin pillow . little sound proof . complaint cleanliness , except everything , except bathroom , date worn . bathroom appear new , mixer tap bath , instead proper shower . mixer tap not connect properly come seal . not try restaurant can not comment . check also quite speedy . 
 Apr 27 2009 	 clean quiet central 	 move hotel couple sleeples night another . lovely room , cosy secure . cheap leave bag day check . 
 Apr 22 2009 	 Location fantastic 	 arrive hotel 10 order hand luggage checkin time 3 pm . nice lady behind reception tell room ready want use . nice indeed . I get single room 7th floor . appear newly renovate . nice clean allthough bit small side . 15 & quot ; LCD tv 15 channel . bathroom nice get one large towel . ask maid second one get next day back one towel . amendment two small soap small bottle shower / shampoo . safe room safe reception area use . noise street busy road hotel situate on . cleaning do early . surprised maid knock om door 8 clean room . however clean thorough room clean every day . breakfast actually ok . world class cuisine freshly make . one annoying thing though wait waiter serve coffee / tea . may take get refill . the staff reception area nice polite . hand key recpetion whenever leave hotel ( key actually attach long metal pole bear around London ) .The location hotel good thing . take less 20 minute walk Covent Garden ot Oxford Street . also front hotel face small park nice . I would definitely go back stay hotel . 
 Apr 20 2009 	 absolutely grim ! ! ! ! ! ! ! ! ! 	 stay part business trip close location . picture look noce internet not pricey ( wonder ! ! ! ! ) .I single room book insist upgrade double room like cell ! room give overlook road incredibly noisy , double glazing hear everything . change room appreciate , back hotel . be female lone want eat restaurant ( situate neighbouring hotel ) , opt room service . room service menu awful ! order sirloin steak deliver tell pay cash ( not cash ) . waiter say would take away speak manager . meal return able sign . ask pepper sauce tell not . meal cold steak absolutley sirloin . also double piece meat stack top obviously cook together ! room date grim could not wait get ! ! ! ! 
 Apr 18 2009 	 imperial ? ' think ! 	 imperial ? ' think ! disappoint hotel . actual room ' awful , least seem clean . many thing wrong , add up . where start , well check - in . hotel clearly use large group stay , family couple check get officious processing . one behind desk seem want actually welcome guest , deal . fill form , exactly information supply book online . as say , hotel room ' bad . however shower holder break , could really bath . towel size handtowel well past good . tv tiny barely visable bed , also 8 channel , ( 1 5 , plus BBC World couple channel ) . hotel offer Freeview FreeSat , would give much choice ? suppose wireless network throughout hotel . hope work stay , boot laptop pick email . sadly service ' working . phone reception , tell ' guarantee would work room , would work reception . strangely try reception service still ' work , time story change ' ' problem today . ' ask whether someone could look system , get ' oh ' know anything computer person deal go home ' , surprising bearing mind 4 pm , midnight . breakfast dreadful . cook breakfast far nice , cheap ingredient – avoid sausage ! tea serve , colour coffee taste worse . all pretty awful , window final straw . seventh floor window firmly closed could hear conversation people park outside siren reverberate around room . balcony room , problem , however window open wide , mean even large hotel customer could easily fit . safety catch stop window opening far , particularly scary small child . would love see risk assessment write , would think inspection pick force installation safety catch . this hotel definitely ' offer Quiet Night Guarantee sleep comfort part plan visit London , ' choose hotel . 
 Apr 2 2009 	 Friendly well Run Hotel Good Location 	 stay Imperial March 09 find difficult think serious fault . staff friendly helpful , especially porter deal key must hand whenever go . twin room spacious appear recently refurbish ; large bathroom well fit twin hand basin , however shower head mind turn normal pressure . manage run shower lowish pressure encourage shower head stop spray ceiling wall . bedding consist crisp white sheet smart , clean bed covering . carpet curtain clean look fairly new , view room consist three side quadrangle hotel building , mean bothered noise . sister stay hotel week one room overlook Russell Square say bothered noise certainly enjoy view . we pick wrong time breakfast first morning , large party guest attend conference evening arrive breakfast time . twenty minute queue soon clear guest arrive later queue problem . food freshly cook plentiful second morning queue encounter . breakfast staff helpful efficient coffee tea dispense soon allocate table . request decaf coffee quickly deal with . as part package , dinner include first evening , choice restaurant within various hotel own group . decide dine restaurant adjoining President hotel , reach simply walk coffee shop bar reception President . choose carvery meal offer choice three meat serve chef , follow good choice vegetable . inclusive menu include choice starter extremely tempting choice desert . we intend make repeat visit London quite soon probably ' consider stay anywhere Imperial , offer we everything need short stay welcome restful place return long day spend sightseeing . location superb , within walk distance many attraction include British Museum & amp ; Covent Garden . bus stop close bus every minute take Holborn , Aldwych transfer bus go East West end . Holborn tube station close . hotel suit we perfectly come part competitively price package , although full price " rack rate " seem bit excessive compare inclusive deal include rail travel . 
 Mar 11 2009 	 great position 	 hotel many time ... say value money ... remember center london hotel presume costly ... case be not .. position great walk distance shopping center say walk distance mean 20 min walk max . close underground railway station 5 min walk .. ideal hotel go london shopping . 
 Mar 8 2009 	 standard 	 book hotel due 2 - day course London . sadly , negative comment positive comment previous review evident . POSITIVEHmmmmm … . struggle ! suppose , location could good bad thing ( see ) . 2 min walk Russell Square station overlook square . negativethe location : due Russell Square noisy , especially night / evening . paper thin glass nothing block noise . the room : apparently refurbish ( would know ! ) . tiny room , small tv , separate toilet ( ventilation ) extremely small uncomfortable bed … . exactly pretty room either . also , keycard entry get Yale key long metal keyfob . the service : slow ( ' find booking ) real effort give good room respond request . the breakfast : basic , small / poor choice , cold dismissive staff ! would stay hotel , much , much well value hotel London price . hotel would passable 15 year ago today ' standard competition , really ' good enough . 
 Mar 8 2009 	 ideal central location 	 stay 3 night theatre break / sightseeing visit , first many year . hotel location excellent travel around hotel clean tidy little lacking facility - bar - limit dining facility . staff friendly helpful overall ideal place rest busy day sightseeing 
 Feb 20 2009 	 ok .. need modernise 	 cheap , basic hotel desperate need refurbishment remodernisation . room clean bedlinen room date , cheap itchy . have book well advance request double bed time book mortify find would put twin bed . push bed together solve issue problem middle night sometimes slide two bed . arrive hotel radiator bedroom turn onto full blast temperature like sauna open window get air however could not sleep night room noisy windows single glaze traffic outside constant throughout night pretty much . the bathroom tidy clean however shower would stay regulate temperature continually adjust temperature setting advoid either frozen scald . towel tiny tea coffee facility laughable . staff seem foreign , front desk staff surly grumpy welcoming however waiter helpful poliite go breakfast morning . talk breakfast - food ok , bit like school dinner edible . orange juice blatently water disappointing tea gray be not earl gray - work one ! whole hand key porter every time want leave hotel ( due key large ) pain . decor hotel dire - seriously need spruce much potential amazing hotel ... plus side location good ! ! 
 Dec 13 2008 	 Regin Lagaac Thomas Gywn Imperial Hotel London 	 convenient place stay , near underground station . bountiful breakfast staff hospitable . free wifi access . negative comment : hear noise outside hotel , window soundproff .... 
 Dec 13 2008 	 well expect 	 hotel book company work . see price -- £ 76 per night , breakfast -- fear bad : hotel central , easily pay two three time amount central London , still get good experience . I pleasantly surprise . place clean tidy , staff helpful , breakfast entirely adequate . bed ok , though roll , onto floor , get cancel alarm clock ! yes , style date . yes , room overlook Russell Square apparently noisy ( ask room back instead ) . yes , room large . , would not particularly comfortable leave valuable room : room lock system , key hand porter every time go , , er . rather date . 's sign say need present card / id every time ask key , not check . bolt inside door -- good remember use be asleep . if want central location lie head , London standard good value money . sign reception give standard room price £ 76 single ; £ 102 double . not pay ! 
 Nov 25 2008 	 Good Location 	 stay Hotel July , staff friendly willing give direction tourist site . good location within walk distance also near tube ! ! 
 Nov 16 2008 	 ` ` exactly say tin '' 	 hotel reflection price range ....... average.the downstairs common area serviceable clean comfortable.the staff friendly , welcome helpfullmy husband stay 3 night infant daughter . room small unusual floorplan , bath washhand baisin one small room separate toilet opposite . main part room neat , clean compact large fit wardrobe one big enough accommadate fold buggy great clear floor space . room look russell square busy road window old ? 1970 's alot traffic noise come room not actually keep we awake seemed constant hum breakfast simular standard particularly good particularly bad . dining room large size get busy time staff good move thing along quickly can.will stay ? really short budget stay central location clean , comfortable hotel . 
 Nov 10 2008 	 Pretty Good Stay . 	 stay Imperial Hotel June 2008 London / Paris contiki tour . hotel centrally locate , breakfast buffet excellent old hotel room clean . door room thick , hear almost everybody coming go . key room leave front desk due size key . would recommend lock belonging safe side . 
 Nov 9 2008 	 well think ... clean ! 	 stay one night Imperial Hotel London October 2008 part Contiki tour . pleasantly surprised could check early ( around 8:30 a.m. ) .The staff kind courteous . room small ( book single trip ) , clean . really one night 's could ask . room face inner courtyard get great night 's sleep . hear horror story hotel , pleasantly surprised . key .... well kinda awkward carry bag since attach big metal rod . overall , complaint . 
 Nov 4 2008 	 need vamp ! 	 book hotel simply price close location West End ! hotel good value , change room first night . outside hotel look rather date need good lick paint . area not bad , plenty little shop restaurant within walking distance . sample bar food - rude staff way ! well people serve we food not polite . food little overprice okay , shame service . Breakfast not bad , though choose eat follow morning . room hotel , general hotel need update would fine ! good Value though - Joseph Hiarspray show great ! 
 Oct 26 2008 	 London 's good value 	 stay Hotel rate highly enough . golden wedding upgrade we receive order champagne daughter . £ 102 per night , adequate newly refurbish twin room breakfast . reception fast efficient . unlike hotel check 1p.m . breakfast plenty variety . bar food available day . pleasant large lounge first floor . newspaper free . London , situation value think beat hotel . 
 Sep 23 2008 	 Successful Hen Party 	 stay Imperial Hotel Russell Square daughter Hen Party . five room next reasonable cost . room surprisingly nice breakfast excellent . staff could helpful . prepaid classed group book one party drop last minute due illness therefore reduce four room . phone hotel two day explain problem immediately offer refund room certainly expece . also leave package behind reception somebody pick could get go home staff extremely helpful friend pick package problem . book hotel little dubious mixed review . would definetely recommend hotel cleanliness , location , helpfullness staff . make stay extremely enjoyable . 
 Sep 14 2008 	 imperial ok ! ! ! 	 stay one night business 7th September 2008 . hotel location good travel around london Picadilly line tube round corner . basically get pay old hotel see well day . hotel need major overhaul . staff however great breakfast look bad . would stay need near picadilly line tube . remember getting exactly pay do not expect ritz . 
 Sep 14 2008 	 everyone moan ? ? ? 	 return 2 night stay quite easily say complaint ever . having read many bad report wonder people stay hotel ! lovely room 4th floor look Russell square garden , yes traffic noise remember centre London can not escape traffic noise ever go ! hotel good position . next tube station around corner British Museum . 10 - 15 min walk Oxford street . easily reach major attraction foot . our room good size twin clean modern . comftable clean bed bathroom spotless nice LCD flat screen t.v . everything would expect 3 star hotel . if look luxury , room service gym swimming pool do not stay . go 4 star pay 3 time price . end day , not come London spend day night hotel , would aswell stay home ! ! 
