Middle 	 hotel , clean quiet , middle NOWHERE . Closest Walgreen 's mile half semi - dangerous walk away . hotel literally surround housing project almost taxi find . fair , bus pass , begin civilization 20 minute bus ride away , , 20 minute far . think company pay almost $ 200 per night know hotels middle action price . car not mind SOUTH SIDE Chicago , mean , stay . choice , will not . 
 Aug 22 2009 	 mixed Bag could much 	 hotel mixed bag , great area , good free secure parking area close public transit . many contradiction stay , every good thing stay one big bad thing . service great one day horrible next day ( Saturday ) , great recommendation wonderful restaurant concierge really good instruction check we hour check time , think great ! however , next day need extra towel , call three time front desk towel , towel ever come , suck reuse towel . that s pretty bad call twice , call three time nothing come . also front desk staff rude , particularly foreigner different heritage staff . staff treat people different background differently , sit lobby hour wait wife hair appointment finish , pretty humorous watch . also , never ask stay give chance follow feedback , disappointing . room large , there s furniture except single chair , big tv big room sit watch relax , also disappointing , get couch . bathroom also large , poorly outfit shower really really bad , like dorm shower , drain pull , not suppose . also elevator bit scary , seem lag stall floor carpet old stained , bad lobby lovely . good hotel budget free parking , probably stay . 
 Aug 19 2009 	 potential new staff hire amentitie add 	 stay Chicago South Loop Hotel conference time spend outside room . however times hotel not necessarily greet good customer service . at check attendant not knowledgeable basic check procedure . stay , call room service clean room replenish item , never receive service . check , problem hotel worker miss ride airport . absurd , appalling , kind sad hope well new hotel . , not expect much like working iron , mirror , clean room friendly customer service -- - need place rest head -- - may hotel ! oh yeah , come neighborhood mean public housing project across street process tear . safe area night , tell local campus security officer give we ride destination think safe walk 5 block north . 
 Aug 17 2009 	 nice stay budget traveler . 	 travel husband in - law quick visit Chicago . pro : hotel clean fairly new . nice big bath tubs spacious guest room . small workout facility nice business center . # 29 bus ( State Street ) stop front hotel easy access downtown attraction . recommend take bus ( walk 16 block ) Roosevelt Center visit Jewels grocery purchase $ 5.95 & quot ; Fun Pass & quot ; unlimited access public transportation day . average , $ 100 less per night hotel near Loop / Pier / Magnificent MileCons : coffee maker room complimentary coffee anywhere premise . pool . area appear little rough , problem walk around daylight use public transport dark . 
 Aug 10 2009 	 Nice Place - Good Value 	 nice hotel . area 's come , maybe little rough : many people , many store / restaurant . Chinatown around corner two - minute cab ride take heart Loop . staff friendly , room immaculate , bed comfy , a / c great ( noisy ) .some caveat : -there coffeemaker room ( cafe site though ) -there hair dryer - the El track right across street - might bother folk ( not bother ) train not run late night.-the window open - nice pleasant day . good place money - definitely stay . 
 Aug 10 2009 	 Tries ( kind ) hard great 	 interior hotel relatively well - maintain , service step short . two night , room clean spacious arrive , ZERO maid service next day ( i.e . new towel , one make bed ... clearly one set foot room ) . location far proximity thing decent -- close bus line go straight city far ell $ 10 taxi town . neighborhood , however , undesirable . dirty , little unsafe ... good atmosphere . service lack . check people nice , , mention , maid service , city guide , amenity channel guide available room , ask call cab one morning take 20 minute ... even though cab depot two block away . , pay $ 100 / night expect well Super 8 , pretty much experience get . be try fancy , fall bit flat . 
 Aug 9 2009 	 would stay ! 	 submit photo stay also sure attach .... stay great . huge room , clean , quiet ( even Lallapalooza guest ) , friendly staff . sit restaraunt .. tiny cafe . bar ... cheap drink ! coffee pot never use hotel room not affect we . neighborhood certainly ' south ' side ... parking free lot behind hotel . lock guard . we would stay ! do nice job renovating although still finish little thing like mount hair dryer wall . nice flat panel T.V. , iron / board , alarm clock . 
 Aug 9 2009 	 enough help information available 	 Hotel look nice , update . car park locked lot hotel eye pleasing location , surround abandon lot building . floor vacuum bathroom floor long black hair . mention front desk , woman look fault say , & quot ; be long black hair stuff ? ? ? & quot ; not send anyone clean left day , come back room shape . another thing , list amenity , idea hotel restaurant ( not ) coffee pot , microwave , fridge , movie channel . internet service work go downstairs try find place eat . 
 Aug 3 2009 	 bad bad cleaning service . old hotel wich wish nice 	 girlfriend spend weekend July 24th 27th . first , arrive 00:00 , saturday 25th , room look clean . bath , go bed discover tje sheet perfectly well do bed , use CONDOM ... ask clerk , tell we wait find another set clean sheet . maids time , service . janitor wife , kind enough help we . day , saturday sunday , arrive downtown 22:00 hrs , rrom do ! ! everything leave morning . clerk , nice blone woman , tell we third room day problem . send we another room . detail , whole stay hotel nightmare , wait happen . apology , nothing admin . 
 Aug 3 2009 	 rude staff threadbare accommodation middle nowhere . 	 hotel locate total wasteland middle nowhere . vacant lot three four side . business within walk distance direction . pedestrian traffic outside hour . not believe we , check Google Street View block . give accurate sense neighborhood like . the people work hotel seem fall two category : rude+incompetent nice+overworked+incompetent . woman check we first arrive scream one hotel guest phone loudly could hear throughout first floor . ( seem try convey pizza arrive . require screaming be sure , tone take little inappropriate . ) internet not work . neither ethernet Wi - Fi . website advertise free internet room . one main reason choose hotel since business need work . call see could resolve issue . woman front desk say , & quot ; ' m 's free service . & quot ; $ 109 / night ( still overprice & quot ; discount & quot ; travelocity rate ) think basic amenity could reasonably consider & quot ; free & quot ; ; mean , bed free , right ? needless say resolve issue , although next night someone else front desk kind enough let we test room . drag computer we one floor next , try three separate room find one internet actually work . repacke stuff switch room . come back next evening lock new room reason go front desk get keycard reactivate . apparently happen several guest well . so rest hotel ? one word come mind : basic . industrial - pile carpeting , hard horribly uncomfortable mattress seem cover sort plastic underneath starchy coarse sheet , lousy water pressure , place put stuff bathroom , full length mirror . not & quot ; Disturb & quot ; sign room housekeeping wake we 8:50 Sunday morning . send away could get dressed room , never come back consequently without towel day . disconnect experience hotel would read review wonder maybe people get confused hotel . good thing hotel far parking . parking free convenient . pretty much always spot available . ... 
 Jul 15 2009 	 Great Place Stay . look . 	 stay hotel Sun . & amp ; Mon . 07/12 - 14 . find hotel online extremely pleased . close McCormick Center Downtown . Taxi public transportation available . room ( 2 queen ) spacious clean . bathroom large , nice tub extremely clean . alarm clock coffee pot . continental breakfast ( advertised web - site ) complimentary . hotel nice business center free wi - fi . Front Desk staff friendly helpful . free Parking nice . recommend place anyone want pay $ 200 downtown . pleased . thank ! back ! 
 Jul 14 2009 	 Great Location Great Value 	 little bump road check - in , reserve room wa not clean , quickly move another room . hotel within walk distance McCormick place & amp ; Chinatown . full service resturaunt site , pleasant , lively bar . also free parking , public transportaion nearby . 
 Jul 11 2009 	 great experience hotel ! 	 head towards Chicago , know downtown hotel would expensive . travel family , trying save money . find hotel , locate outskirt downtown . hotel look brand new price reasonable location . also impressed customer service receive stay . good ' ve see long time . friendly give we direction head . room great size family . plenty space . will back ! mention Free Parking ! 
 Jun 29 2009 	 excellent place ! ! ! would stay 	 big room , clean , nice staff . excellent location price . free easy parking . close major highway downton . 
 May 19 2009 	 great value money 	 locate up - and - come neighborhood , hotel quick cab , bus , train ride downtown . find well price anywhere else ... staff great ! although hotel room bite sparse , clean . 
 may 11 2009 	 Bereavement Accomodations 	 due unexpected death family , need accomodation near family hotel fit bill perfectly . accord Mother , family member well take care wonderful staff Loop South . highly reccomend hotel traveler . 
 Dec 29 2008 	 South Loop Hotel - Recommend Despearte 	 colleague book hotel result overflow registration exhibition / congress . surface , hotel clean relatively new , staff try hard keep customer happy . attend meeting McCormack Place - anything desirable site . hotel sit middle bad neighborhood , require taxi service get anyplace ( , get Taxi come ) . hotel room large clean , relatively spartan . food service restaurant hotel . travel planner take option show recommend McCormack Place hotel overbooke . travel planner rely website make decision believe would suitable travel to / from Chicago hotel space available ( airport ) . give option , make trip Airport Hotels . 
 Nov 17 2008 	 wonderful experience New Hotel Expert Staff 	 nice experience . hotel new pleasant decor fully train / experienced staff serve . clear value patronage go extra mile accommodate need . spend 10 pleasant day care would highly recommend hotel traveler . parking plentiful hotel location ideal either convention goer tourist alike . minute drive entire trade center highlight Shead aquarium Natural History museum . highly recommend booking stay South Loop Hotel . Julie KumlerRE / MAX equity groupportland Oregon 
 Nov 14 2008 	 way Overpriced Starkly Cold Budget Hotel 	 avoid hotel unless last choice . price $ 200 range outrageous Budget Motel type place . six month opening item encounter happened.-the room cold ( literally ) uninvite turn motel - type heater window heat -- process take good 24 hour . -- look like owner try renovate old building run money end -- scrimp finish fit - up . -- hotel restaurant restaurant nearby ( bad ) neighbourhood . & quot ; breakfast deli & quot ; -- source food place open 7:30 ( post hour ) one employee -- result line 20 people try get something eat -- option . -- instead go Convention center eat since go anyway . -- not allow give room side hotel facing & quot ; El & quot ; train line -- really noisy train go multiple time hour . the room look like cheap motel . for example closet -- closet door . iron board -- iron . big bathroom -- finish cheap corian counter tile cheap residential style fixture . jacuzzi tub -- jet . clock room . tv flat screen half channel unviewable blurry . cheap art work literally screw though front picture frame wall sheetrock screw -- seem think would want steal it . there desk notepad pen . bottom line place feel like cheap motel room -- extravagant price . stay motel nothing -- rate hotel mis - bill & quot ; boutique experience & quot ; . 
 Sep 13 2008 	 Great Staff Great Service ! 	 great stay Chicago South Loop Hotel -- clean , pleasant , wonderful staff , excellent service . $ 10 cab ride place like Weber Grill Harry Caray 's , block heart Chinatown . up - and - come South Loop neighborhood great quiet place stay without far action . the service awesome , staff super accomodating . definitely stay next trip ! 
 Aug 20 2008 	 New hotel great people car friendly ! 	 bad experience Hyde Park Ramada move last 4 day 5 day trip . brand new South Side hotel beautifully decorate ' jazz ' theme . hotel come free parking free wireless internet $ 25 . less per night hotel move . ' in ' neighborhood , close Interstate , Lake Shore Drive , IIT Chicago White Sox stadium . car , place highly recommend large , well light ground level parking lot . the room spacious nicely appoint . two queen sized bed separate sit area . Plasma tv dresser , free wireless internet . the good thing hotel staff . friendly helpful , jaded , disintereste automaton see often large city place . I consider hotel real find , great stop people car laptop budget , look relax place stay see sight Chicago ! 
 Aug 16 2008 	 Gottta Love Staff Wonderful Group ! 	 hotel AMAZING ! wonderful staff make feel like home ! part family stay . really LOVED Ron bellman great wonderful person . would go beyond call duty help rest staff never mean never kind service hotel ! hotel SPOTLESS , wonderful extra 's overall joy stay ! price kind service absolute bargain help can not put price . quick bus ride go downtown navy pier long 30 minute ! bus let us right side door can not beat ! ' ve tell everyone wonderful experience hotel ! thank staff wonderful place stay ! 
 Jun 18 2008 	 Hidden Treasure up - and - come part Chicago 	 brand new hotel South Loop neighborhood wonderful . staff - especially bellman Ron - willing go way help whatever need ... ride Blues Festival , ride church , etc . group well take care stay . can not wait go back ' ve complete fine dining restaurant jazz club . everything spotless inside outside hotel . 
 Jun 9 2008 	 Loved hotel ! ! ! ! ! ! ! ! ! ! 	 Hotel brand new hotel . never hotel staff willing anything EVERYTHINg accomadate every request . general manager often take care request . staff remember constantly ask service . hotel extremely clean , pleasant , invite . neighborhood revitalize . hotel not immediate business street quick ( cheap ) cab bus ride away ! make point suggest hotel everyone , cafe great , food homestyle staff great ! 
