great 	 arrive early check staff kindly let we room early since travel early morning . Room nicely decorate bathroom small . main problem room bad draught come window cold . think double glazing would solve problem cold road noise keep we awake . area lovely much immediate area great choice entertainment . Taxis expensive take one west end cost we twenty five pound way . say enjoy stay need minor adjustment . 
 Oct 29 2009 	 Standard 	 book local travel agent pay extra time booking room upgrade . arrival allocate & quot ; superior room & quot ; size wardrobe although spotlessly clean way equivelant 4 star purport . spoke receptionist nice re - allocate we room 10th floor state standard price . room 4 time size keep 4 star establishment . real problem come next next morning breakfast . stand queue 15 minute room number note inform 30 minute wait breakfast . complaint manager receive full refund first day breakfast refuse wait fast track dining room rest stay . staff helpful time fault make shortcoming hotel would recommend . 
 Oct 29 2009 	 Bank Holiday weekend break 	 unfortunately read review hotel book & amp ; pay . read beforehand would do . room & amp ; bathroom tiny , far small even two adult ( mean large adult ) . obvious originally good sized room divide two produce two room totally inadequate normal person stay . everything facility small & amp ; cramp first hotel stay double bed , necessity , push wall ! ! ! ! bathroom ridiciously small . really much say it . we tell day book would wise get early breakfast follow morning hotel busy . read review take heed warn 7.30am follow morning . obviously everybody else tell thing crowd start build around 8.00am . time leave dining room 8.15am must 40 - 50 people quee get breakfast . make sure time follow morning get 7.00am holiday , get breakfast acceptable . on plus side location hotel great , close Lancaster Gate underground right beside Hyde Park beautiful . rate per night reasonable definately would stay would recommend other . would much prefer pay extra feeling stay hotel , shoebox ! ! ! 
 Oct 29 2009 	 small room convenient location 	 husband stay Hotel 3 night 17th 20th August 2009 . exterior reception area hotel look decent , butthe room really tiny . ask double bed booking arrival give we room twin bed , could not join together either room light situate inbetween bed . also hotel fully book could even upgrade . room wardrobes , metal rod hanger hang clothe . space store luggage . bathroom cramp . room size perpective , good . however , location hotel excellent . across road Kensington Garden two tube station , Paddington Lancaster Gate within easy reach travel anywhere time . lovely restaurant area well . amenity also closeby , laundromat internet facility , much cheap hotel . so be look place sleep intend explore entire day , hotel may suit . otherwise give miss . 
 Oct 28 2009 	 full English ? expect wait ... wait ... wait ... 	 thoughts:1 . small room overlook staff 's smoking area- lovely smell tobacco waft room . 2 . really like idea could brush tooth whilst sit toilet soak foot bath ! 3 . nice offer coffee tea reception area morning- good realise 's go breakfast tell 40 other front expect half hour wait least ! something warn check . complain refund breakfast day ( decided not wish waste day wait breakfast would pay like 40 other ) book straight day . however realise reason long queue table turn around quick enough.4 . may sound trivial biscuit . ( add experience ) well lack tea coffee . see house maids trolley tell available type room ! nonsense ! think pay hundred pound justifie biccy tea ! 5 . yeah great flat screen tv advertise shame can not tune terestrial tv available.6 . use shampoos body wash first day replace . 
 Oct 26 2009 	 nobody mention queue breakfast ! ! ! 	 oh dear corus ! ! lovely hotel great location , far enough away walk Regent street site London , 4 star - way ! never wait 25 minute get table full english breakfast , many hotel UK wait minute breakfast 25 - terrible . people speak book go London Eye sure whether going make , pay full english surely expect . could fault staff cope well , problem restaurant downstairs small amount guest - good enough Corus . upgrade executive room 10th floor roomy - well worth . problem whistle noise come cele vent , what s ? ? ? do not happen time 7 , clock morning leisure break great thing happen . book evening meal saterday night could recommend food service excellent good value . one tip visitor hotel , want drink either meal go Swan pub around corner Bayswater Road , much cheap excellent atmosphere . overall great weekend break could do without wait morning . 
 Oct 25 2009 	 Pokey room 	 book standard room . huge mistake . room narrow get bed foot . pathetic look iron board hung wall next bed tacky little metal fan fit wall cool room . window fit ironwork make room look like jail cell hotel . everything do cheap . 
 Oct 23 2009 	 lovely bit way ! 	 hotel look pretty outside inside look really elegant nice . room small can not expect much big London really ! not think 's worth price really quite expensive ( £ 80 per night ) really nice place stay . near tube station Lancaster Gate 5/10 minute walk away not really much walk distance without tube . near shop quite expensive would advise something already be go get peckish way home night ! taxi driver bit trouble find . 
 Oct 18 2009 	 great location tiny twin room grotty outlook 	 hotel location excellent beside Hyde Park top Oxford Street , reception staff friendly breakfast great . twin room 308 small dark horrible dirty outlook smell slightly damp . not complain teenage daughter not mind , one corridor last minute deal , however would accept room supose four star hotel . would recommend location warning check room first . 
 Oct 18 2009 	 stay Corus Hyde Park 	 's 3 star hotel , not expect much ( part long business trip city ) . actually really surpriesd . staff really great welcoming , room bit small taste , okay . order last minute travel site , price affordable . right corner Hyde Park , amazing . 
 Oct 16 2009 	 Great Location 	 hotel excellent location , near tube opposite hyde park . however regular room small , upgrade family room ensure good standard room . breakfast nothing special , limited choice availability . staff fairly friendly busy hotel queue reception bar area . 
 oct 9 2009 	 clean friendly place stay 	 read review site stay agree , yes room small side . room seventh floor fine four night stay . faulty lightbulb attend swiftly . food great one thing would recommend pre - theatre dinner two course meal ten pound . portion large certainly fill beautifully present - not throw plate . serve night lady show we breakfast table morning . wonder ever get sleep time ! always seem . staff come contact friendly efficient . certainly consider stay next time London . 
 oct 9 2009 	 ok hotel standard room frighteningly small 	 book hotel base nice photo website seemingly great price . arrive find & quot ; standard & quot ; room like cupboard stair , could barely stand immediately sense panicky claustrophobia ! get normal size room get executive type room . book online British Airways , initially tell hotel would not allow we upgrade ask pay , thankfully someone BA speak hotel allow pay money normal size room . foyer nice smart location great . 
 Oct 7 2009 	 ok hotel room small ... 	 stay many London Hotels past stay Corus Hyde Park wife birthday allow we see show . picture see website justice . Checkin / out easy quick . breakfast -- -intereste one . massive queue get breakfast morning plus MASSIVE queue actually get food . staff breakfast seem uninterested . bar -- -clean quick . room . stay double room . far small hotel room ever stay . actual door enter room enter bathroom wereabout 3/4 size regular door . big person times togo sideways ... kid . room feel original normal sized room partition middle false wall . bathroom small could touch four wall easily alimb sit toilet . shower excellent enter shouwer side bath high imagine people may find difficult enter / exit . all good hotel value money ..... room terribly claustrophobic . 
 Oct 6 2009 	 ok Hotel 	 good hotel clean tidy , good location right next Hyde Park , facility need short stay will not break bank , not eat like adult size wholesome portion - try Swan pub next door . food good - , modern tasty good service - tiny portion . intend work art would priceless . hard day shop , sightseeing work however want need ! 
 Oct 6 2009 	 enjoyable stay 	 good location , 3 min Lancaster Gate Tube . room clean everything require . staff courteous helpful . breakfast perfectly adequate . double / secondary glazing would helpful traffic noise . 
 Oct 6 2009 	 small room 	 standard double room small worth price . many peolpe breakfast weekend . wate time 20 - 30 minute . next time will find another hotell . 
 Oct 6 2009 	 small well - equip room good location FAST lift / elevator 	 first trip London . 20th anniversary gift dh . lobby attractive , modern . check - in slow . wait 12 min . check , tough be hungry . one good aspect hotel bank elevator . 7th floor thing fast plenty , think 4 . pleasant surprise great since constantly forget thing room run drop jacket umbrella walk outside face yet another gorgeous warm late Sept day . high rating London Mother Nature produce jewel . the room laughably small , plain stark white wall threadbare carpeting entrance , overall well - appoint . room 7 ft x 15 ft . ( plus tiny bath ) double bed window end tuck corner 2 wall . neighbor must think send code knock elbow wall every time turn . drawer closet / armoire , rack hang thing basically live suitcase , hate , especially 3 night stay . long angle desk chair huge mirror ( magnifying mirror build ) really save room . convenient get ready unsteamy mirror husband shower . hairdryer ( powerful typical hotel blower ) locate desk . hair look GREAT London . also love shower , figure arrangement knob etc . good water pressure roomy enough . hotel invest one curved shower rod give little space . big drawback noise . room junction Bayswater Road ( busy street run along north edge Hyde Park ) side road . traffic night long . glad save airplane ear plugs save sleep last two night . we really like location . Hyde Park lovely place walk sit outside . first day , walk Victoria Albert Museum , see impressive monument Prince Albert ( one mile walk Corus ) Diana 's fountain ( less impressive , Royal Family could definitely do well ) . Lancaster Gate tube stop block half away convenient , though end take doubledecker bus everywhere enjoy ( nearly half price tube well ) .food : continental breakfast include package eat morning , prefer save dining pound meal not wait morning continental . expectation not high review would read , spread sufficient need . every day : platter nice ham , variety package cheese , croissant roll , oatmeal , cereal , unappeale fruit , plain yogurt fruit sauce stir , tea coffee . happy see ham cheese — the protein keep go lunchtime . not try restaurant disappoint early closing bar even Swan next door . try go 11:45pm Saturday night table still occupy outside shoo away waiter insist close . pleasant tourist — in fact bar staff encounter anything close welcoming . surprised former bartender , cocktail waitress couple know way around drinking establishment . definitely pushy obnoxious , plus tip well ( not think custom UK ) . pleasant stay Corus . might like try another hotel ( ton area ) price right review excellent , Hyde Park area , would recommend Corus . 
 Oct 4 2009 	 poor 	 hotel , opinion , well avoid . stay two night , wither end trip Tokyo . book family room , turn outsize double . cleanliness not fantastic , whole thing feel tad grubby date . not even enough towel family . family sleep accommodation two double bed push together ' goldilock three bear ' style ! first room particular poor , corridor stank stale cigarette . safe either inoperative , screw anything . waste time . on night disture fire alarm , stumble downstair find go , nobody know . shamble . breakfast ridiculour price , eat nearby Craven Cafe , good . manage get £ 50 rate inconvenience . time research , would not stay return . recommend hotel 
 Sep 30 2009 	 Fantastic Convenient Spotlessly clean 	 lovely hotel close proximity Lancaster Gate Tube . room clean , could not fault . staff friendly eager help . bathroom small everything require . iron board iron room , flat screen remote control TV , hairdryer , air condition ... drawer though , find little irksome . breakfast self service queue , serve 6.30 - 10 . plenty choice suit everyone need . word warn .. return theatre decide visit hotel restaraunt , however close 10.30 pm ! ! walk door hotel across road beautiful garden Sunday morning local artist display sell work railing park .. nice . 
 Sep 16 2009 	 need 	 book single room hotel last minute , get ticket Proms Park . hotel within walk distance venue . nice , small , quiet room 5the floor A / C , flat screen tv small bathroom , perfectly adequate need . room clean bed comfortablestaff excellent . do not eat hotel . 
 Sep 12 2009 	 Great Location 	 stay three night one small standard room London . bathroom tiny , room & amp ; bathroom clean Hotel well place Hyde Park & amp ; close Paddington Station & amp ; tube link . check smooth & amp ; staff helpfull . Breakfast be not worth bother ! stand line room number call , find table & amp ; serve . food luke warm & amp ; poor choice . ( breakfast serve basement rather drab room ) many table clear , generally unpleasant experience ! find good take away around corner . would cook anything request fraction hotel price ! ! ( & amp ; much well quality ) local police & amp ; taxi driver eat ! ! ! ! ! ! ! ! bar nice & amp ; make good vodka lime sodas & amp ; comprehensive selection whisky . we would stay . 
 Sep 12 2009 	 ok .. end 	 experience tale 2 room . initially give room 8th floor like cell hotel room . small difficulty get bag door . room dark , dingy , carpet smell badly cigarette smoke . after complain , tell could upgrade discount rate additional £ 20 per night . second go try move successful . room 9th floor much well result pleasant stay . personally think hotel great value compare hotel similar standard . on positive side good location , ideal Hyde Park . 
 Sep 8 2009 	 great value money 	 hotel really good , enjoyed stay , mostly location great . order room easyclick think good price . room nice clean . would not say 's fancy , though , room could big . location great really not mind . hyde park right outside hotel , tube close . 
 Sep 7 2009 	 Corus hotel would stay 	 stay Corus Aug 23 - 28/09 . say location hotel fabulous . hyde park right outside door , Lancaster Gate tube station close . recommend get tube pass travel around London , purchase 7 day oyster card find not use bus system . easy access tourist attraction hotel . I find hotel exactly expect ... mid - range hotel room small side . second stay area London , room Corus huge comparison last hotel . think expect London unless prepared pay big $ $ $ .extremely friendly staff , clean room , internet access lobby ( us laptop ) , breakfast every morning . must say breakfast mundane , something everyone . staff excellentI would recommend hotel anyone reasonable , clean , central place stay London . 
 Sep 3 2009 	 4 star . three good . entrance nice room tired small . 	 book superior room weekend break superbreak . luckily get good deal would disappoint pay . fire alarm go morning could dangerous people ignore . Sunday go 9.30 morning 10 minute . breakfast slow say least ask receipt checkout show bill pay unable . location great close tube . clean stay well room 2 * bed breakfast . poor quality fitting room . 
 Sep 2 2009 	 Great Location canny staff good breakfast Claustrphobic room . 	 stay bank holiday period , 1st room ( standard ) could not see window becasue condensation position . price charge standard expect something far , far well . claustrophobic . really single room judge dimension . on complain , upgrade executive room free charge . level expect standard room , certainly would call executive standard . bathroom small usable . however , extractor fan work mildew form grouting . the room clean maid service good . unusaul smell perveye around corridor floor occupy . ( 5th ) meal ok , unfortunately breakfast self - service , food continually top period keep hot baine - mary . ( weekend stay country hotel breakfast cook order price half cost ) . staff restaurant welcome pleasant enough . we take early & quot ; Theatre Dinner & quot ; quite nice great deal choice . waitress , polish girl name & quot ; Blanka & quot ; , see every need charm efficient good command english . the fire alarm go early hour , twice . apology place lift apparently frequent occurance . the hotel underground station 100mtrs away ( feel lie bed ) across road park , main city centre not far away enjoy walk . the previous year stay Tara Copthorne well hotel comparison much cheap . owner / management real good look charge room level accommodation offer . sorry , get good location justify pricing policy . would stay ? not think . hear people say good , well there s accounting people taste . 
 Aug 30 2009 	 overnight stay 	 stay Corus 1 night . upgrade executive room . room small , bathroom tiny , decor tired . hate think standard / superior room would like . Breakfast include . large queue breakfast . location superb opposite italian garden Hyde Park . 10 min walk Hyde Park follow serpentine bring Hyde Park Lido , great location lake breakfast , full english breakfast £ 6.50 + healthy alternative , juice etc . hotel average , location great 
 Aug 28 2009 	 Lovely Hotel Great Location 	 hotel great location , beside Hyde Park within walk distance tube . room little bit small really clean comfortable . swan pub around corner offer lovely food reasonable price . staying go back October . 
 Aug 25 2009 	 never - 2 night twice many problem ! 	 location hotel great - could say staff account department . evening meal first evening come alright , however come pay bill ignore end daughter go bed . another 25 min finally get bill ! make cup tea room long life milk ! Breakfast - do not bother full english - give room number tell wait untill call . tell around 15 min - 45 min later other come we go ask happen , & quot ; sorry overlooked room number . & quot ; Safe say second morning book breakfast take room . finally pay bill stay receive letter later follow week say problem card machine would kindly send cheque amount owe . luckily still receipt card authorisation code contact bank check , tell amount go say day . contact hotel tell half hearted apology . account also since twice try put card detail without there . be careful staying card ! location worth con ! ! ! 
 Aug 24 2009 	 Great Location Great Hotel 	 can not recommend four star hotel . room tiny ( usual London ) paint stark white , like little hospital room absolutely character charm . unless upgrade room , also fan air conditiioner consequently little room heat quickly . staff indifferent somewhat snippy . continental break around 8 pound difinitely worth money . suggest pick three star hotel little local charm staff care live die . 
 Aug 21 2009 	 good choice 	 opportunity stay three different type room two seperate occasion hotel .... span day . thing party three enroute canada ... reserve one single one standard twin room . we arrive early morning inform single room ready twin room would available till 2 pm .. however offer we upgrade executive twin room 30 pound per night.i stay single room companion stay twin room . return Canada stay london one night standard twin room ... here take room category .. standard single twin room small ... comfortable .. specially do not single suitcase . room fit modern amenity , flat screen tv , inroom safe , climate control , kettle tea / coffee . bathroom also small side clean . adequate towel , washcloth , tissue , etc . room keep tidy too . continental breakfast include room rate usual fare . nothing special . the executive room much large . believe have not refurbish . standard room contemporary fitting . I guess one need lotsa space executive room fine . one doesent plan room long time , standard room adequate . the location hotel good . couple min walk lancaster gate tube station . taxi ride nearby paddington station cost around 5 - 6 pound , give easy access heathrow via heathrow express ( 16.50 pound , per person , one way , standard class ) .I stay Cumberland one early visit , well locate ( right next marble arch tube station ) four star hotel , also lot expensive . comparitively , Corus Hyde park offer well value . if business trip London , would definitely stay Corus . 
 Aug 20 2009 	 excellent theatre break 	 side bed side light operate separately son wake middle night feel able put bedside light fear wake person operate joint basis only.other friendly staff , convenient location , excellent breakfast choice . 
 Aug 19 2009 	 good clean frill hotel good location 	 welcome staff good , clean room . like hotel , lot room two largish case normal . facility good real nice food . 
 Aug 18 2009 	 good location enjoy stay ! ! 	 back 2 night stay Corus ( book via Travel republic ) Board B & amp ; B ( contintental ) .Hotel really close Lancaster Gate ( central line ) overlook Hyde Park , 10 - 15 min walk Oxford streetLobby area quite nice , room ready 2 pm . room small , cosy , bed comfortable , aircon working , hairdryer , tea coffee make faciltie . bathroom small , clean , good power shower . Breakfast ok .... could well ( fruit ) adequate , breakfast room nice seat window lovely sunshine . staff friendly enough , nice little bar area . would stay , price location . 
 Aug 18 2009 	 nice hotel definitely 4 star hotel . value money . 	 choose hotel basis 4 star hotel disappoint . stay room 602 oh goodness tiny room ever , even london standard ! ! book viceroy , executive room wish have never bother , ' m sure standard room could not much small ! wish have complain look back go complain really tiny ! ! even door en suite not full size door ! ! staff ok , nothing special bit like walk travel lodge , hotel clean average , 4 star quality ! food breakfast good service terrible ! table leave messy eat use plate / bowl not move finish use . staff generally pleasant well mannere seem apologetic state service . 4 star ! general would say 's average 3 star hotel 4 star room price even though hyde park 's door step 's close lancaster gate tube station . 
 Aug 16 2009 	 Bad 	 hotel great location outside central city . concierge front desk staff friendly , overall hotel decent . room decent size . trouble toilet flush maintenance come fix twice work . continental breakfast lacking . provide bare minimal food . overall , price , location surrounding . 
 Aug 10 2009 	 Awful 	 stay many hotel London year business pleasure . disappointed hotel . arrival check room describe rabbit hutch , air conditone work , windows & quot ; bathroom & quot ; door would not close . en - suite small partner could stand . go back reception offer upgrade we fee £ 20 room still small air conditioning work . we last one night hotel , try complain staff unhelpful rude . would not wish anyone stay glorify B & amp ; B 
 Aug 8 2009 	 hotel go back London . 	 husband return 3 week trip thru France tovisit family , trip Paris 5 day trip London come home . delight Corus Hotel . withone exception , everyone polite , efficient , helpful give youthe feeling go extra mile need . forthe one two glitch , indeed go extra bit . hotelis cozy upbeat really nice reception area bar andrestaurant . go road much cheap andexcellent breakfast . beauty hotel . locate next Lancaster tube , across Hyde Park anddown avenue store , bus , Marble Arch , etc . wouldabsolutely recommend hotel friend certainly return . stay five night upgrade we , charge , aroom perfectly fine large bathroom . problem service , wake call , etc . , avery good experience . 
 Aug 4 2009 	 Excellent hotel - order large room : ) 	 stay Corus Hotel Hyde Park four night . love . make sure order large room . first room tiny hotel room ' ever . room around bed two side , closet , room suitcase bathroom could wash hand loo . thankfully able upgrade first night . like go hell heaven . suddenly room living area , walk - in closet bathroom ( shower tub ) large first room . disregard first night , hotel absolutely fantastic . service front desk restaurant superb . room bright , clean , modern ( go also first tiny room ) .I would hesitate go back ? 
 Aug 3 2009 	 clean hotel / good location 	 stay 3 night trip partner . locate close tube Paddington Station order see sight . lovely buffet style english breakfast , downside get v busy queue table . staff friendly & amp ; helpful . room small clean , ask quieter room hotel provide we tenth floor . room could bit redecoration though . overall though nice hotel good value . 
 Aug 2 2009 	 disappoint 	 book stay 3 night break London . location good near Lancaster Gate tube station central line . standard room tiny , small room ' ve ever stayed feel quite claustrophobic . bed small 2 we , sure might 3/4 size double . however really not much guess not matter . bathroom fine tiny . breakfast include basement restaurant fine , full english , usual . it fine one night stay someone business definitely romantic break London ! 
 Aug 1 2009 	 Great Location value money room small breakfast slow ! ! ! ! 	 hotel nice location , close tube bus stop . however previous guest say room ( Superior ) small breakfast slow ! ! first day 20 minute wait full english breakfast ( downstairs ) opt continental ( upstairs ) . ok - croissant coffee/ juice etc . fresh fruit . next morning opt full english , be pay tell would minute . call room number make way downstair expect breakfast room heave . , verge empty appeared reason delay lack staff clear table . whole value money get good discount would extremely dissapointe pay full price . 
 Jul 31 2009 	 nice hotel centre london 	 stay 3 night break go shopping see london . nice hotel great location . room extremely small though suitcase , there s much room move around . typical boutique hotel location really make hotel great . right beside lancaster gate underground stop therefore make see sight london easy . directly across hyde park 20 minute walk oxford street although always use tube take 2 minute get oxford street . breakfast fairly standard full english . continental terrible though . there s choose continental section full english breakfast restaurant . get decent enough price thishotel ( hard london ) around £ 90 - £ 100 night will well worth 
 Jul 20 2009 	 fantastic location service food ! 	 close Lancaster Gate tube station find hotel clean , comfortable excellent staff . room well design compact , full figure . particular note hotel restaurant offer early theatre supper well malaysian English evening menu . would hesitation reccomende hotel other . 
 Jul 19 2009 	 Brilliant hotel close lancaster Gate Tube station 	 lovely hotel overlook Hyde Park easy walk top Oxford Street big Primark ! Excellent Service , book cheapy girl weekend expect full english breakfast include . 3 - 4 min walk Lancaster Gate tube station , arrive back fairly late night feel threat often feel leave tube station couple woman . good pub next door . overall lovely hotel would hesitate book . 
 Jul 17 2009 	 Compact comfy 	 arrive hotel exhaust delay flight Glasgow find hotel easy walking distance paddington station , however take tube think lancaster gate close . delighted see close Hyde Park across road ! reception area nice courteous staff , bit dismayed see sign charge £ 30 air con luckily room . also £ 5 surcharge breakfast room feel bit steep . concern room small well lay modern , lovely comfy bed great shower ! although green neon light bathroom dubious suspect look good ! tea coffee fine iron trouser press room . Sat tv lovely LG plasma ctache news , go walk arrive lovely arab part town give lovely memory Abu Dhabi smell shisha lovely arabic food . room night quiet consiering central london fab shutter window really keep noise minimum , great hotel great price wee bitty small . 
 Jul 12 2009 	 Location fantastic - room ` ` compact bijou '' though ! 	 Booked Corus local Thomas Cook two - night Superbreak . great value £ 110pp include rail travel , even add another £ 55 theatre / dinner package make well - price London break . pleasant reception area , extremely polite helpful young lady check we speedily , nice get two keycard . room 6th floor & quot ; usual & quot ; London view - backyard rubbish bin ! - could hardly expect panoramic Park view price . room clean distance tiny double room ever encounter 30 year , even room door narrow standard size . shower room ( bath ) 6 tile 6 - assume 8 in tile that s 3 half foot - miniscule handbasin correspondingly tight shower . ' m average height weight , wife petite problem we bad be build comfot rather speed .......... bed similar full size ( ? ) wall . one chair , hang rail ( enclose wardrobe , drawer space ) , iron board , hairdryer , decent sized desk , massive wall mirror . Wall mount tv , full Freeview , air con excellent control , good lighting . full breakfast good - downstairs restaurant nice brasserie - touch canteenish , good selection hot cold food unfailingly polite aattentive staff , plate clear quickly efficiently . as other comment , location fault , barely minute Tube station well - light area opposite Kensington Gardens . 4 star rating tad ambitious - would look full size room wardrobe / storage space , bath armchair , base London tourist bit hotel certainly tick box . 
 Jul 11 2009 	 Good London 	 admit slightly worried review site ( never book anywhere wthout consult Trip Advisor ) normally London stay Ruebens , last minute rail inclusive deal book perhaps despite review . without exception staff friendly helpful , public area spacious , english breakfast good perhaps serve slightly & quot ; canteen & quot ; style . room small clean well equip air con , flat screen t.v . , even iron ironing board . perhaps big plus location easy access Hyde Park , Lancaster Gate tube Marble Arch . certainly class Ruebens , perhaps third price certainly somewhere would stay . 
 Jul 10 2009 	 Great Location small clean room 	 reviewer say , location great . room third floor small clean good enough we ( much time actually spend hotel room London anyway ! ) bathroom particularly small , clean shower great . hot air conditioning good . wooden shutter window ( instead curtain ) make room dark quiet problem getting wake early hour ! full B & amp ; b rate , satisfactory set we long day walk ! walk hotel Leicester Square take hour lovely sunset walk round Hyde Park across road hotel . we great time London great stay Corus Hyde Park would definately stay 
 Jul 9 2009 	 great location small adequate room - nearly come grief internet booking system ! 	 book hotel well advance £ 109 good ( ish ) value solution stay near Hyde Park concert venue . location could not better . check - in nearly not happen have fail notice due problem Corus website have book room night try book website rather want stay ! thankfully wonderful Monika reception save day secure 7th floor room . perfectly adequate small ( room , Monika ! ) .the bar / reception area pleasant spot post - gig drink late night store next door good solution accompany late night nibble ! hear poor report continental breakfast use local coffee shop include rate . 
 Jul 6 2009 	 good location good price watch room description ! 	 partner stay hotel last week good stay . check friendly room clean . eat drink hotel comment . one thing rather miff description room .. pay £ 20 extra via last Minute.com superior room , rather disappoint Corus ' version superior room . room really small room walk . mini bar comfy chair , toiletry basic say least 8 channel tv - freeview , american news channel . us bad pay £ 20 , guest pay full rack rate , could big disappointment they . the location hotel brilliant - one minute walk Lancaster Gate tube Central Line 15 minute walk Marble Arch / Oxford Street . be look nice place eat near hotel , eat ' Island ' restaurant part Royal Lancaster Hotel - great food , great service bad value money , pay £ 56 2 ( drink 2 bottle sparkle water though ! ) good stay , hotel four star compare other stay - careful pay extra upgrade .. 
 Jul 6 2009 	 Good Value 	 cost £ 99.00 B & amp ; b advance last minute good value . clean , good location , friendly staff ( London ) . relaxed lobby area plenty seating . tiny room . continental breakfast rubbish , english breakfast bad . Smack bang across Hyde Park . 10 minute walk Oxford street . 15 - 20 minute Knightsbridge . next Lancastergate tube station . would pay normal hotel rate ( £ 220 ! ! ) would stop couple night right price . 
 Jul 6 2009 	 definitely 4 star hotel . 	 hotel fabulous location 's really good news end . originally book we non - smoking double room despite specifically request smoking room . change twin smoking room totally unsatisfactory we couple weekend break . room small poky dirty carpet floor basic amenity . window old single glaze allow noise street hear night . wall room paper thin hear neighbouring room occupant every move . definitely four star hotel would like suggest definitely stay . 
 Jul 5 2009 	 good hotel good location 	 Hotel suit requirement - pleasant , professional staff - good breakfast . comfortable , air condition room . 
 Jun 29 2009 	 Corus Hotel - slow rude painful - book hotel 	 hotel 4Star staff positively rude guest sense customer service . cancel booking beacause bad experience 
