beautiful 	 Hyatt amazing unobstructed view river 's beautiful night . location superb , situate two minute start Magnificent Mile shopping endure . however , be pretty much end . room average , poorly decorate , 4 - star quality . iPod functionality clock break , pen provide in - room , colleague stay floor constantly complain noise distraction prevent get good night 's rest . source noise include : - elevator door open / closing- Elevator gears- Street noise- water run pipesunfortunately , noise momentary persist entire night due placement room throughout week stay Hyatt . be almost like build design consideration sound - proofing ! also internet include price pay almost highway robbery ... not archaic still charge in - room internet nowadays ? say , hotel still decent stay . service acceptable friendly . location convenient , view amazing . would still recommend friend . find good deal place 's worth ; otherwise , would suggest look hotel area around Michigan Avenue . 
 nice business hotel well locate . 	 good positive surprise . hotel maybe 2 drawback : 1 - bad isolation hall , like every hotel USA , 2 - it might get crowded conference time , baby BIG ... otherwise amenity good , nice gym spa , shop basement staff impeccable usual Hyatt . good experience . 
 expect MUCH Hyatt 	 get room great rate , still expect standard four - to - five star Hyatt experience . yes , enjoy great location , facility twenty - five year old , facelift give , be still pretty shabby . here lowlight : Got room notice black stuff caulk around tub . ( see photo ) . mention front desk staffer , apologize profusely . say housekeeping manager would get right dinner . we get back dinner ... still black stuff tub . , next morning , bring attention new front desk staffer duty , , , apologize profusely . ( use almost identical wording first woman . script follow ... ) ask housekeeping team address breakfast , could clean tub rest stay . shockingly , change tub breakfast . go back counter , speak staffer early morning . ask would like move new room , , inconvenient , sound like good idea . credit , offer give we sort freebie trouble . since not need free internet food voucher , apparently nothing else could offer . ask could comp $ 48 parking bill ( yes , 's daily rate ! ) sorry , dice . , go look new room . unfortunately gunk tub ! ( see photo . ) 's foolishness ? make matter worse , return breakfast , find sheet actually multiple rip tear ! impossible miss , tell housekeeping staff either not care not give guidance , know , rip sheet not really enhance Hyatt brand . so , pull rip sheet bed go back front desk . tell desk agent would stay original room since new one not much well . ( think sarcasm lose . ) , profuse apology , housekeeping manager call , put good people , yadda yadda . we two night . interesting see play .... 
 Oct 13 2009 	 pleasant hotel fantastic location 	 husband stay hotel travel Chicago pleasure . hotel well locate directly Magnificent Mile . bit walk blue line stop ( fly O'Hare ) , bad . hotel nice , receive excellent service . 
 Oct 13 2009 	 hotel wall talk ! 	 hotel fairly expensive , expect give excellent location . REALLY something sound transfer room , absolutely atrocious . sit type 4AM listen people talk ( conversational tone ) next room . awake past two hour , ever since occupant come back prostitute ( honest God ! ) lay awake listening every detail , payment completion gory detail . early could hear occupant room side urinating , last drop . bathroom mind , bed . might well tent ! & quot ; neighbor & quot ; loud would complain , every right speak conversational tone perform bodily function , be . the room clean comfortable , place attractive , slightly date . parking $ 48 / day . restaurant lobby , 2 egg bacon $ 18 go ahead buffet $ 22 , good , price . internet gouge $ 14 / daythe location good , facility acceptable , never stay due lack soundproof . really expect well Hyatt . 
 Oct 10 2009 	 great location tour Chicago ! 	 hotel obviously cater business world , plenty couple family , . staff courteous prompt . big complaint would $ 48 / day fee park ! ! room clean & amp ; spectacular view river lake ( room hotel 's west tower , northeast corner , 6th floor ) . get take firework lake room Friday Saturday night . great location tour city - Millenium Park block south , Navy Pier far east , be right river ( restaurant tuck major bridge / road , right along river ! ) , plus be Michigan Avenue 's fabulous shopping & amp ; surround restaurant ( soooooo much amazing food ! ) . architectural river tour wonderful - river great vantage point take city 's wealth architecture . 
 oct 9 2009 	 nice room great location 	 please stay hotel . room nice clean . hotel staff hotel amenity great . get great internet rate . location perfect - close theater restaurant . would definitely stay . 
 oct 9 2009 	 not mind hotel 2000 + room one great buy ... 	 fence attend four day conference Chicago Palmer House conference rate $ 179 night limited budget . decide go use Princeline 's name - your - own - price option find 3 * hotel end Hyatt Regency Wacker $ 59 night . cut cost , decide use take taxi airport opt train easy use . tight squeeze get turnstile roll bag walk block hotel close station $ 5.00 round trip sure beat cabfare . hotel Realtors conference go time lobby check remind check - in Vegas hotel run smoothly room nice . hotel close everything need walk everywhere go include conference attend Palmer House . also close Millenium Park since arrive Sunday day , take one Segway tour leave site couple block away blast ride around area see site . 
 oct 9 2009 	 Great Location 	 ideally situate center city , hotel offer easy walk acce Millenium Park , Art Museum great restaurant within Loop . room spotless bed comfy . 
 oct 9 2009 	 huge hotel little service amazing stay . 	 first check , decide use automate check - in , avoid line- seem easy . line completely empty 10 minute time FINALLY get key . part process completely eliminate contact Hyatt employee well , avoid possible . be always nice greet person option rather machine . we get room key go elevator , go floor realize room not tower- room , fact , across street tower . use actual person instead machine -we probably would know waste time travel wrong floor . once finally get room , everything amazing . view incredible , view river Magnificent Mile . bathroom clean . room incredible . aside view , bed nice size comfortable , tv nice sized flat screen . the downside room housekeeping not come 3 pm usually , little late , especially want come back morning walk something , downside water pressure / temperature . pressure low temperature fickle- rarely always hot , usually wait 15 minute temperature get reasonable degree . but , two downside aside , everything else awesome . can not say much service level experience Hyatt , not really need whole lot service- , one really go way say & quot ; Hi & quot ; ask stay be . if stay , not miss Big Bar , be novelty definitely something worth check . really good ( really big ) drink bartender really nice . in , not many thing negative stay . neutral level , level really , truly count , Hyatt go beyond expectation would stay heartbeat . 
 oct 8 2009 	 great location nice hotel 	 Chicago October 2 October 5 husband 4 young child . Hyatt large hotel , bit impersonal . would prefer stay property history , recieve reservation Priceline get great deal . price pay , hotel fine . the hotel clean well keep . bed nice plenty pillow . room clean update . bathroom nice granite vanity spectacular view Chicago River Lake Michigan . would consider hotel luxurious , nice ( nothing spectacular ) . location hotel prime . short walk north Michigan Ave . , Loop , museum . I encounter one small problem housekeeper throw away grocery bag snack . matter resolve quickly courteously housekeeping manager . we happy hotel would stay 
 Oct 8 2009 	 wonderful location heart Chicago ! ! 	 service excellent , book room online flight , get great rate 4 day . room nice , fridge treat , use leftover . lobby coffee shop restaurant hotel . room overlook Chicago River Chicago skyline , fabulous look night . bed comfortable variety pillow , room clean . concierge service great help locate get place , particularly whether use bus pass walk . usually quick walk verify safe route evening . close-2 - 3 block Millenium Park train . not use restaurant , pricey , coffee shop 2 block away well Houlihan 's reasonable drink meal . 
 Oct 8 2009 	 location great service pricy 	 student go sightseeing . hotel near loop many place interest . however , since tight budget , pay extremely careful attention use additional room service . think low star hotel could provide free internet connection room might well choice student like we . , everything nice . 
 Oct 8 2009 	 would stay .. 	 stay one night great . staff great ! room good view . good time & quot ; BIG & quot ; bar would recommend stop . 
 Oct 8 2009 	 hotel perfect location see lot 	 hotel ideal want see . wish could flown park OUTRAGEOUSLY expensive park car never use . walk everywhere . pay extra view Lake Michigan glad . everyone helpful friendly . do not like charge internet refridgerator use . bed super comfy room clean . enough drawer space clothing closet large . take extra hanger though . 
 oct 8 2009 	 dingy run - down room air 	 room dingy run - feel like stay cheap motel . carpet exceptionally wear , wallpaper peeling , bathroom grout dingy . place feel like not redecorate 30 year . top , window would open ( unusual hig - rise hotel ) , air fan ac heat - temp control suppose work , idea ( say ' radient cool ' whatever ) , call front desk ask floor fan cool room air circulation . even go far prop door open put fan fan door room feel suffocate . much privacy . I can not comment food , eat every chance . Chicago fantastic food ! much within easy distance hotel . hotel good location , near waterfront millenium park , shop dining . conference facility average , frustrating basement cell phone reception non - existent . I never stay hotel , especially price , poor room quality . 
 Oct 8 2009 	 nice pleasant stay 	 stay week Labor Day via & quot ; name price & quot ; site price , Hyatt exceed expectation . property clean staff courteous location central . there convention host Hyatt not problem . also , coincidence , block away Oprah 's anniversary kickoff celebration . bonus . we use fitness center nice new weight machine , plenty cardio equipment individual tv even connection hook Ipod . we not dine on - site restaurant can not comment inexpensive . & quot ; Big Bar & quot ; pretty cool . on - site bar literally big & quot ; big & quot ; martini glass greet entrance . one minor issue layout room . nice large tv position side bed make little awkward watch . guess make room pullout couch foot bed . big deal since Chicago watch tv : - ) 
 Oct 8 2009 	 Excellent customer service watch rate . 	 Hyatt locate river downtown within walk distance Magnificent Mile , many restaurant , Millennium Park , Navy Pier . 18th floor room river view much spacious comfortable Allerton Hotel downtown . two tower , get bit confusing try navigate underground get adjoining office building . cozy irish pub ( ' Daddy 's ) trendy ( pricey ) Big Bar , know fancy cocktail . also steakhouse look pretty upscale , not try since alone . breakfast , lobby cafe fast convenient coffee , bagel , etc . prepared pay internet anywhere hotel . avoid go pretty much anywhere else , like coffee shop , bar nearby free wifi . downside ; get back home look bill detail . prepare single rate , extras . company research make sure overcharge . charge per night nearly twice list internet room . apparently particular weeknight late September , hotel area charge much , even cheap . always conference go Chicago , still not know night hot . maybe something Olympics ? upside : helpful staff . realize flight home leave cell phone room . call get home security find assure safe . customer service take information make arrangement FedEx ship home . opt overnight delivery receive right time , intact . sure going break . really panic getting steal , reassure know take care it . they also go Airport Shuttle 's route fly in / out O'Hare . 
 oct 8 2009 	 great stay .... great hotel great location 	 stay Hyatt Regency ... actually find great deal wonderful stay . read review ask renovate roon great view please .... couple we even get huge suite price ! service good , room big enough clean . perfect location 
 Oct 8 2009 	 hotel really nice convenient location expect pay amenity ! 	 location hotel amazing , central . happy room location . however , expect pay high fee amenity may want . really expensive park . pay wireless even pay use refrigerator . 
 Oct 8 2009 	 Nice hotel GREAT central location ! 	 husband & amp ; visit Chicago anniversary September . able get great rate Hyatt Priceline.com . hotel clean , room nice service good . look something unique swanky . hyatt perfectly nice , average hotel , special . room , could city , view decent & amp ; spend time . transportation nearby & amp ; lot see within walking distance . one downside ... parking extremely expensive , even guest . would recommend parking couple block parking structure . really enjoy stay & amp ; could find well hotel price pay . 
 Oct 6 2009 	 Great Location atmosphere Tired 	 stay four night . excellent location thing want see include Navy Pier , Loop , Millenium Park , Theatre district etc . conference style hotel 2000 guest . room tired , furntiture dent carpet dirty . bed comfy plenty pillow , towel etc . long corridor lack character like cilivise prison . guest nearby dog bark quite often . could not wait get hotel day crowd constantly mill around wait shuttle bus , blackberry , talk business etc . the hotel bill $ 25 per day put anything bar fridge room . no free internet check email . 
 Oct 6 2009 	 expect great stay get one . 	 nice place business travel . utterly bland vacation , leisure , etc ... location dead zone end Wacker , little depressing . also , view neighboring condo voyeuristic , bit strange . that say , food pretty good ( hey , be Chicago , food good even be bad ) room renovate , spacious comfortable . bed nice . they nice job business traveler - safe choice . & quot ; get it . & quot ; 
 oct 6 2009 	 Paper Thin Walls 	 first let start say Hyatt Gold Passport member stay Hyatt hotel city travel . this third stay particular hotel needless say disappointing . let rewind tape . last year stay hotel Christmas . location excellent shopping room good view . unfortunately stay spoil late night party hotel staff could get control . credit provide we complimentary night stay return , last week . check time remind problem last year ask locate we room would hopefully quiet time around . go great approximately 1:30 hear man scream loudly room next door . follow deep moans , groan , scream woman obvious intense business go . ordinary session take place - it right movie go seem eternity . criticize consent adult privacy room walls hotel paper thin private anything but - and mean REALLY LOUD . check morning ask stay offer complimentary stay breakfast deep apology . let wrap summarize - this hotel great location staff ( especially Maria ) top notch . love Stetsons restaurant . morning breakfast buffet fantastic . look quiet night good night rest real crap shoot . 
 Oct 6 2009 	 Great Hotel 	 arrive 10:30 Friday , room ready we 11:30 , mind check 3:00pm . get room Priceline $ 65.00 per night stay 3 night . upgrade - free - suite . think blow away , forget thank check - in ! room fantastic . also wet bar fridge . bathroom quite large nice sized closet many hanger . know previous review touch mini - bar . bed pillow comfortable . room clean . every employee go way friendly helpful . stay 25th floor east tower quiet room . yes , could hear people hallway , rude yelling . child , adult . not know everyone complain $ 48 parking . Chicago every hotel see charge much , without in / out privledge . we not use restaurant health club . try eat Corner Bakery crowd . breakfast nearby Houlihan 's buffet $ 9.99 per person . also grocery store behind hotel great . 7 - 11 far away . I not know many bad review hotel . yes , be big hotel . not want busy lobby , not stay 2,000 plus room hotel ! ! love Hotel would recommend anyone . one problem . not busy . would stay heartbeat . 
 Oct 5 2009 	 drink DECAF ? 	 Hyatt Regency Chicago E. Wacker , admittedly , large hotel Chicago . still , reason coffee service 1 single serve regular coffee 1 decaf ? think housekeeping oversight ( call housekeeping failed rectify ) , change room Day two ( order get king bed room ) , realize normal set . apparently one caffeine addict family . also , reconcile wet hair shower , provide shower cap . also , know true king - bed room , ( East Tower ) , bed right angle large flat screen tv . gymnast watch tv whilst bed . on handy side , two computer next concierge 's desk print boarding pass . bell cap yeoman ' job handle mountain luggage leave ..... people look city late flight . the hotel well serve cab location pretty much central be . the architectural boat tour leave riverfront hotel ( River Walk pleasant also ) highly recommend . 
 Oct 5 2009 	 surprisingly good 	 hotel huge - have east west wing . 's business / convention hotel accomodate family . refrigerator upon request . microwave toaster lobby self service use . food expensive . plenty restaurant nearby . conveniently locate CTA train system . small grocery Walgreen nearby . O'Hare airport take CTA blue line exit Clark ( cost $ 2.25 ) . take taxi walk 6 block hotel . fun ! 
 Oct 3 2009 	 ` ` hotel security '' ? ! ? ! 	 ( reluctantly ) switch wonderful Peninsula Hyatt Regency Wacker financial reason . husband , make reservation , conference . move stuff hotel check , , absolutely problem . six year old son put away thing go day museum - hopping . meanwhile husband 's conference end needed get change business suit , key . explained concierge give two new room key . son come room , leave dinner already two key inactivate , could get inside room . go downstairs get new key , explain suppose husband get key , mine inactivate , concierge refuse give new key let room name ( last name , though ! ) not reservation . , needless say , furious . explain security purpose . explain forcefully bull concerned security , would not let six foot five man room 115 lb woman small child already check , mean hey , be SAFE , right ? finally acquiesce let could prove stuff room . idiotic policy ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! one note , less three pubic hair stick bathtub check , Disgusting ! ! ! ! 
 Sep 30 2009 	 Motel 6 Downtown Chicago 	 room nothing special . relatively clean might well motel I-80 , be really difference . be due renovation ( find plan renovate much hotel next year ) . location great . try find deal plan stay would shame spend anything $ 100 night standard room . get deal Priceline complaint . breakfast buffet $ 20pp room service breakfast also outrageously price be Chicago . parking @ hotel $ 38 per night ( unlimited in / out privilege ) be plan parking car use , lot right next hotel Wacker Drive charge $ 30 per 24 hour save buck . 
 Sep 30 2009 	 Mediocre Hotel Good Customer Service 	 huge hotel nice location . pretty much everything within fairly walkable distance . room ' fine ' , decorate nicely obviously see LOT traffic . extremely noisy - time room ... could hear full conversation hallway conversation neighbor ... include bathroom use flush , could even hear elevator go up / down floor stop . become extremely irritate hour . bathroom could use major updating . hate mold shower crack joint floor . also , $ 13.00 day wifi ridiculous , $ 25.00 day charge keep food drink mini fridge ridiculous , immediate charge touch pick anything fridge ... due weight sensor .... ridiculous ! ! ! Customer Service wise - everyone encounter friendly , smile helpful time . problem area . generally , pretty much everyone encounter city friendly ! ! Tip - ask front desk floor fan drown noise . great call ! ! work perfectly ! 
