3 	 stay wedding anniversarya great hotel .... good bedroom ... great fym /pool ... also thy spa ... spa treatment .... lift ok ....... prob ........ nice walk primrose hill regent park canal ... nice park area kid .... playground stuff ..... nice clean ....... fresh towel everyday .... staff good friendly ..... defo stay 10/10 ..... 
 Sep 21 2009 	 well many visit hotel 	 stay many time , good visit . staff attentive , executive lounge access enhance stay excellent breakfast , complimentary computer access place unwind day 's walk touring . room comfortable , specially quiet side hotel . hotel well locate underground bus access . return next visit London . 
 Sep 15 2009 	 ordinary hotel charme little Central London 	 husband choose Marriott Regents Park London visit friend get marry Chewton Glen , New Milton ( see separate reviw ) live nearby , suggest us hotel . Marriott Reward member happy gain point . I little disappointed Marriott . nothing really complain , nothing great point out . the hotel pretty old show age expecially inside . room quite small – ok consider standard London . bathroom old , small surely disappointing . would need massive redecoration . room overlook street noisy . bed confortable , always happen Marriott , room keep enough clean stay . the lobby much nice room Marriott touch . associate hotel kind we – although special need . neighborhood ok , go also night kind problem . near tube station " Swiss Cottage " 5 minute walk away . area " 2 " , little outside Central London . spite name , Regents Park close . we try facility hotel see nice fitness centre – advertisement Swiss Cottage Tube station claim open public limited fee . internet cost lot . we pay stay 160 € per night think worth . hotel ordinary show personality . would back price . 
 Sep 7 2009 	 Great Value Friendly Service 	 stay overnight attend wedding hotel . staff helpful friendly breakfast follow morning substantial . room good size well appoint . criticism quite noisy . 5 year old we , would appreciate quieter spot , especially reserve room quite time advance stay . however , say , would definitely stay would recommend . 
 Sep 4 2009 	 exceed expectation 	 apparently true take personal review grain salt realize often negative experience vocal . apprehensive stay Marriott Hotel Regents Park base less positive review , not . stay 9 night 2 week ago dh 2 child - age 13 9 . book hotel Orbitz work $ 160 / night practically unheard expensive city like London ! staff accommodate special request include room refrigerator ( bring one room free charge ) , room quiet ( give we room 4th floor locate residential side building -- Swiss cottage beautiful residential area stroll ) . far slow elevator ( lift ) read ... absolutely idea talk . never wait minute one arrive . the room standard sized marriott room two double bed , desk , tv dresser , closet , iron ironing board , small table 2 chair trouser press . bathroom bite small Marriott hotel stay US yet clean . complaint room : 1 ) less - than - adequate housekeeping clean one day . follow day write note doorknob housekeeping request room spotless - housekeeping manager even stop check everything satisfaction . 2 ) complete lack towel rack bathroom would nice hang wet towel bathing suit . which bring next positive . pool . pool great family kid . clean well keep provide perfect respite day sightseeing . also steam room sauna . not use fitness center , could see nice . hair / nail salon well not use . dh 's complaint not complimentary newspaper free brew coffee hotel - give instant room , end get takeaway coffee across street cafe Community Center morning . 2 restaurant hotel -- chat bar / grill Brasserie Centrale formal restaurant . eat either one clearly overprice . plus , huge number restaurant within short walking distance Finchley Street . walk Finchley almost every evening find new place eat . O2 centre 12 minute away foot offer many restaurant , huge bookstore Selfriges . also Marks & amp ; Spencer Waitrose grocery store Finchley come handy we buy breakfast food fruit / water / juice fridge room . fact never eat breakfast anywhere else save money time . the hotel 5 minute walk Swiss Cottage Tube Station . tube Baker Street 5 minute central London 10 minute . Primrose Hill London Zoo ( must dd ) 15 minute walk . Jubilee line maintenance weekend , hop bus stop right reach tube station . easy kid love ride top . mid way trip run clean clothe , concierge give direction nearest laundrette . wish hotel offer washer dryer way go pay price charge laundry service . kill 2 hour , dh kid go swimming pool everyone happy . so overall impression stay hotel positive . look luxury facility step front door heart London , hotel probably not . willing sacrifice 10 minute day travel time stay beautiful neighborhood reasonably price hotel perfect family , Marriott Regent 's Park place 
 Sep 3 2009 	 Good Value Money - Ideal Non - Fussy Business Travellers 	 stay night August 2009 . hotel exterior say bland thoroughly unimpressive . lobby area spacious bit cluttered . room quite spacious ( maybe get family room ) . difficult paticularly great view . staff job professionally , great ideal business traveller want get quickly possible . taxis readily available hotel 's doorstep Swiss Cottage tube station Jubilee Line ( Zone 2 ) short walk away . would recommend value money basis also business traveller want stay heart City . holidaymaker - London wide choice offer , particularly whole London experience . 
 Aug 31 2009 	 terrible maintenance - good location 	 inexpensive hotel . base category cost , expect something similar Marble Arch County Hall Marriott 's ' ve stay past . will say concierge helpful . ( otherwise have give 1 bullet rating . ) hotel WAY WAY hotels maintenance customer service . { extent might depend room floor get . friend different floor room make early afternoon hot water . } room ( guest elevator ) tepid hot water . room never make 6 pm except one day wife call housekeep steam after-6pm - service previous day . room make return hotel 4 pm day day . the sink stopper instal incorrectly room sink would drain . call maintenance twice giving . get knee could push lever make drain slowly . see not likely fix , ask could another room . king room available . offer take room 2 double bed . ' save ' guest large family . internet service business center 5 pound ( time 's $ 8 ) per 30 minute . net access speed satisfactory . 3 internet cafe 's within 15 minute walk one never open go , one computer could use editing , one ( Kodak store ) ( accord friend ) incredibly slow . figure pay $ 16 per hour . we book 7 day - friend also stay pick hotel , would 2nd day . this hotel - stay room - way overprice . would rank 2 star hotel . conceirge well average . maintenance well average . experience might well . friend 2nd floor - 3rd . 
 Aug 30 2009 	 bad room stunk fag staff rude 	 hotel actually quite nice , book smoking room tell none , reassure would smell say would spray , way stunk go baqck reception tell guy rude , eventually get do forth time ask . watch take card take extra £ 50 without ask apparently save carry cash , do not tell spend , mad discover , dare take cash without permission ! . hint weekend pay £ 2,50 get breakfat inyour room queue massive , feel sorry poor sod , good first floor room either enjoy music wedding ( ) 
 Aug 26 2009 	 Excellent family hotel 	 always find hard get room London 3 adult , Holiday inn add £ 20 - £ 50 extra per night third adult sharing . eld son autism need room we . Marriot hotel cost extra third adult sharing room one reason choose it . I book room 2 night 3 month advance include breakfast 2 people . check say breakfast include copy conformation email state breakfast include . sorted take copy email add breakfast . we please room quiet room second floor overlook King Henrys Road . bed soft comfy sleep well . bathroom small side every thing need plenty towel . care smell toiletry remind citronella smell candle keep fly away . there good choice breakfast include full english item continental pastry , meat , cheese , smoke salmon , fresh fruit , cereal toast . drink include tea , coffee , ice water selection fruit juice . the hotel good area close Swiss cottage tube station bus stop Finchley Road short bus ride London . well see many London sight walk around local area take Primrose Hill ( enjoyable large take Washington Englands Lane ) another walk take we along Chalk Farm Road end Camden Lock many market . go Adelaid Road get c bus Highate go onto Hampstead Heath picnic go direction Brent Cross shopping centre . cost Taxi journey king cross station hotel £ 10.50 Taxi Green Park Piccadilly hotel £ 15.00 tip . we would recommend hotel stay . 
 Aug 21 2009 	 great Help Front Desk Concierge 	 agree outside not anything write home , room fine . breakfast great ( scramble egg well ' ve ever ) . room include breakfast 2 , never charge daughter breakfast say be include . want commend staff hotel . luggage lose concierge go way call airline help we locate luggage . also , wallet steal purse . not know happen ' m always careful - please diligent pay attention purse . front desk call police department also follow phone call see everything go . also , check , girl ask get wallet back . course hadn't . if ever go back London , would definately stay . 
 Aug 17 2009 	 Excellent Hotel complaint 	 stay three day , great hotel , large room , clean quiet . great pool . close tube station . 
 Aug 15 2009 	 comfortable clean beautiful ! 	 stay 3 night hotel 13 15 year old kid . hotel nice inside indoor pool nice fitness center . restaurant site great breakfast ! room update nice really comfortable bed . hotel close metro station make transportation easy hotel near wax museum . would definitely stay ! 
 Aug 13 2009 	 70 Hotel ... 	 Booked & quot ; 3 2 & quot ; special thought get good deal $ 160 night discount . friend life block away great , Bond St stop away Jubilee line ; otherwise location unremarkable . outside hotel quite run depressing , paint peel metalwork dirty brickwork everywhere . several spot overhang front building rainwater leak downspout . inside hotel clean orange carpet relatively large & quot ; Deluxe & quot ; room right parent 's living room , 19 & quot ; tube TV . annoying detail one unused outlet room . having say , bizarre thing stay put room right next Terrace Suite , get , door room open . naturally assume have give suite ( perhaps late booking ? ) spend next two day take advantage extra space . last night call cutlery phone room . tell would pay tray charge 2.50 , say would call back order something . right away phone rang politely inform suppose room someone would check shortly , could please vacate room next 10 minute ? clean staff twice . needless say bit awkward embarrasing . service check - in fine , breakfast okay . 
 Jul 30 2009 	 good value family . pool safe neighborhood easy tube access 	 Overall 's three star hotel . nothing fancy , good value . clean room , kind staff , safe surrounding easy tube access . short walk Primrose Hill neighborhood Regent 's Park experience bit London charm without shuffle tourist . pro : comfortable bed linen , pillow nice . nice clean pool unwind kid end day sightseeing , staff professional kind , taxis always available front , easy access tube , safe location , short walk park restaurant , Bar ( chat ) family friendly , menu item kid adult , food good . con : exterior hotel need refurbishing , hotel lobby perfume musk scent , breakfast overprice breakfast taste average . wait - staff friendly , slow . reason give 3 star rating , otherwise hotel good . so , positive negative - would stay family room comfortable accomodate 11 & amp ; 12 year old nicely , enjoy pool lot . 
 Jul 28 2009 	 nice location - big room good pool 	 stay 1 night husband 5 year old twin . little strange last time stay property 30 year ago child visit London ! hotel quite nice - room big ( London ) quiet . kid love pool breakfast great . like Swiss Cottage lot , although convenient place base want central London - esp Jubliee line work . load restaurant close , enough survive ! great little park behind Swiss Cottage Leisure Centre Library really good kid . 
 Jul 27 2009 	 Excellent Hotel stay ! 	 stay price central London high . could not believe 15 minute tube journey Waterloo ! quick stay regular hotel walking meeting ! staff reception friendly professional . order room service dinner , excellent - Rib Eye Steak superb . room great size , absolutely spotlessly clean . close Swiss Cottage Tube - definitely stay ! 
 Jul 23 2009 	 badly run poor management ... call Marriott hotel 	 arrive 7 pm Friday night horrific 3 hour trip Gatwick Airport rain tell receptionist 6 pm give room away ! ! confirmation / booking mention time limit , except charge credit card night not arrive ! 1 3 lift order stay way leave Monday morning ; second lift also issue door get stuck opening . room amenity , feel dark daggy . book room 6 month advance many room big hotel , give one noisy side close busy street . Saturday night 1 am , fire alarm go 5 minute look see people leave room go fire stair outside . stage see staff direct anybody . 1 fire engine arrive advise false alarm . sign lift ask guest note 9 - 10.30 prime time breakfast one try make breakfast ! breakfast chaos , staff unfriendly hygiene poor .... child touch bread , roll , etc , food uncover staff supervise . good check . location great ... near tube , hotel Regents Park Swiss Cottage ! maybe Regents Park sound grander . stay Marriott USA not stay ... four star hotel stretch imagination . 
 Jul 22 2009 	 mostly nice good amenity 	 repeat stay , overall like hotel location . generally like Marriott hotel . business class hotel , amenity . great fitness center pool . room comfortable , nicely sized , acceptably clean although spotless . location Swiss Cottage lovely section London plenty restaurant , pub , market nearby . nice feature proximity Primrose Hill park walk view . Jubilee tube line two block away good bus connection . hotel get crowded family weekend . the staff friendly reliability continue problem . example : hire car early departure get schedule , room issue take couple request ; repeat time bill neither correct ready checkout ( watch bogus minibar charge ) mail post . disqualifier annoy . peeve : slow elevator service ; mattress comfortable ; complimentary bottle water room ; internet 15bp / day . : recent package include breakfast two three family member schedule despite repeat business ( normally travel alone ) would add one . know ahead bad business relation - walk across street community center restaurant ( open 7 ) , other nearby , quite good ( free wifi ) . anyway hotel weekend breakfast serve 7:30am ( schedule early business meeting ) 630 weekday . 
 Jul 21 2009 	 Great Family Hotel 	 return wonderful trip London Paris . strike gold hotel choose . since stay London six night teenage boy 5'10 & quot ; , need american - sized room queen - sized bed would comfortable . sleep incredibly well ... comfortable bed air condition room . rare heatwave , wonderful come back hotel room cool - down . the bathroom like typical , small american bathroom . shelf organize toiletry keep counter clean . beware ... shower tub high step getting - hold onto bar ! ! staff extremely friendly , helpful professional . this hotel residential neighborhood hotel , restaurant ; although walk main street , Finchley Road , bank , grocery store , etc . become , good use tube . easy 10 - 20 minute tube ride town - inconvenient Jubilee line go service ( close whole weekend ) need walk Finchley Metropolitan line ( 10 minute easy walk ) take bus station take bus town , slow , not problem read bus map . purchase Oyster card ( transportation center Heathrow - helpful ) easy jump on - and - off bus train necessary ( note : child 14 1 GBP day travel weekend weekday 9:30 - not buy Oyster card , buy travelcard day ) . loved transportation London - easy , clean almost entertaining . Paris much challenge . we use hotel 's business center know advance expensive . close - by Swiss Cottage library - pass way tube hotel . go inside explain stay Marriott ask possible receive pass use computer . give 3 - month membership free could use computer ! give free breakfast many hotel offer order get large hotel room . ask refrigerator , provide extra charge ! small market open 24 - hour across metro station buy milk , juice , etc . eat room - save we quite bit money . safe room hairdryer - 's bureau drawer . need go St. Pancras get EuroStar . concierge recommend taxi , think go expensive , not - 15 GBP able fit four us luggage . not try save buck drag stair tube - take taxi . concierge reserve one we early morning right time wait we . at St. Pancras , turn Oyster Cards get deposit back ( 3 GBP / card ) transfer gbp Euros money soon get Paris . stop Marks & amp ; Spencer , pick reasonably price sandwich , drink snack get Eurostar . 
 Jul 10 2009 	 Good Hotel not Judge exterior 	 Good Hotel . Clean Modern Rooms . close Underground . arrive early hotel room ready offer smoking room decide wait drop bag go explore . hotel good safe location . stay one night go concert . staff friendly helpful . room clean modern large bathroom . 
 Jul 7 2009 	 okay money 	 Regents Park Marriott London , great hotel , good deal London standard ( $ 200 / night include tax ) . careful checkout : hotel try get pay US dollar add large currency exchange surcharge even though claim otherwise ; give three star lack honesty exchange rate poor attitude catch ask bill pound . also charge $ 2.50 / local phone call $ 25 / day internet Beverly Wilshire charge ; inconvenience . book hotel close Regents Park running , close Triyoga Camden , gym pool . local area forgettable poor restaurant , tube close hotel great job keeping taxi available . exterior hotel ugly rundown ; inside bit soulless generic good condition . room large London standard marble bathroom nice . elevator slow poor repair want avoid go to / from room hotel busy . breakfast pleasant waitress cute , friendly , british accent ; however , enough Russians London one could hire consultant pick good bread . pool look nice intensely use young child skip questionable hygine ( know mean , think do … ) . gym nice large window view pool garden ; cardio equipment excellent , bench press . jog Regents park excellent especially run along Regents canal . combine outer path Primrose Park , outer loop Regents Park run along full length canal path solid 12 - 13 mile . surprise Brits good runner ; perhaps ban smoking pub improve cardio fitness , still british food amazing reasonably fast . 
 Jul 6 2009 	 terribly Managed Hotel 	 Described & quot ; luxury hotel & quot ; Marriott website , hotel probably worst run Marriott ever stay . beg towel almost every day . day , give hand towel wash cloth , quite ironic since profile Marriott website Marriott Reward participant spcifically request extra towel could not even get basic allotment ! hotel charge 75 british pound ( $ 125.00 U.S. dollar ) week room internet service , bill & quot ; high speed & quot ; 's bad take hour get onto website . one morning vacation , spend three hour room wait hotel engineer hotel 's internet system would allow log . another day , friend wait laptop hour could get participate video conference . manager duty early stay tell would & quot ; take care & quot ; internet charge since service bad . however , ask printout bill two day leave , charge still . follow refund call & quot ; embarassment & quot ; hotel . also ask repeatedly turndown service , certainly minor thing ask enough . one night , turn bed leave mint one bed , completely ignore bed room . pretty amazing . also , bathroom sink not drain well back . room either freeze stuffy 's way get air circulate without air either cold hot . one afternoon , ask concierge suggestion persian restaurant say would slip note room door leave fo day also ask replacement go shift call we . needless say , not follow either . another day , clean staff leave plastic spray bottle clean top television set ! addition , restaurant food absolutely horrible one morning decide breakfast . not even mediocre inedible . this 3rd stay two year . hotel clean room quiet large . staff nice . location great access restaurant Hampstead , Regents Park nearby tube station . not seem anyone actually manage hotel , training staff job training supervisor monitor staff hold accountable . 's bad could nice hotel . 
 Jun 27 2009 	 fantastic trip London 	 return 10 day trip London / Paris . fly Chicago London easy we get flight Chicago London Paris . husband book we Marriott Regent Park , London research . not London 25 year not familiar hotel . 3 people . grandmother ( 68 yrs ) , mom ( 49 yrs ) teenage girl ( 16yrs ) . sceptic book hotel review TA , hotel great we . the bed room comfortable , feel fine Marriott state . review say elevator slow , absolutely true . , be always good research well use advice people travel website may disgruntled whatever reason . hotel great location : Regent Park area close Swiss Cottage Tube Station ( problem use ) . walk around area feel safe . finchley road ( close ) many store , post office , atm machine , movie theatre , restaurant , etc . hotel also pool , not time use , look clean nice . thing recommend hire private car adavance ( online ) trip pick London Heathrow airport arrive , quite distance hotel . book online British Airport transfer 39 pound much cheap London black taxi . transport company well book . also take cab hotel St. Pancras train station ( 10 - 15 pound ) 10 minute cab ride . another reason book hotel , proximity St. Pancras station catch Eurostar Paris . , three we truly enjoy hotel would recommend , especially family . staff friendly , attentive , helpful . we would definately stay . 
 Jun 25 2009 	 ok 	 stay hotel 3 night 19th - 22nd June , , wife , daughter , daughter law . book family room 2 double bed e - mail guarantee we 2 double . arrival inform not room 2 double would 1 double pull bed . fortunately print guarantee copy insist provide book . receptionist go try sort . return 10 minute say find us room request ready would like complimentary drink bar wait , ( obviously accept ) . room give nice quite spacious although bathroom bite small walk - in shower turn bit noisy night . eat hotel breakfeast Saturday morning extremely satisfactory ( expensive , £ 16 - 99p ) . drink also expensive lot choice go swiss Cottage Primrose Hill , pub . one final word warning , car parking £ 25 per night swing car park quite tight big car need careful driving order scrape , big 4x4 's long saloon car owner beware . 
 Jun 25 2009 	 Decent Location 	 could choose hotel thick tourist location destination , however hotel price range . Marriott well downtown , residential area , yet coupld block underground station ( Swiss Cottage ) . check interesting . arrive hotel noon say room would ready 90 minute . colleague choose take smoking room , could drop bag go sightseeing . decide wait 90 min . exec . lounge work internet . two hour later call , room still not ready . 3 hour later , check & quot ; official time & quot ; , go front desk . say request king room still not ready offer double . ( ' m platnium member ) , kind disappointed . tell would continue wait king bed . one night want sleep .. within 15 minute , upgrade suite ( probably available noon ) ; grateful get bed . suite room sort odd shade go normal type window onto ceiling would open . room , London standard , really lovely huge . rest two lengthy flight , walk around neighborhood see could pick souvenier . quite shop area happy . although Wimbleton go , could find wimbleton Shirt anywhere , even airport . hmmmmmmmmmm ? ? ? ? executive lounge leave much desire . think Marriott ' abroad offer complimentary cocktail , one . be okay . not llike food offer . weird squid thing way chewy . eat hotel resturant obligatory fish chip disappoint , yummy . look forward breakfast buffet , include , normal buffet . scone , soda break . boo hoo . I not use pool , hear nice . for overnight , decent . 
 Jun 20 2009 	 Lovely Hotel 	 wife always like hotel . originally call Swiss Cottage Holiday Inn ( Holiday Inn be consider posh UK ) recent trip stay area night . also quite major wedding anniversary ( 30 year long suffer wife ! ) , request Champagne Roses room fuss . deliver impeccably , ( receptionist venture friendly & quot ; make sure come back 60th ! ) . hotel upgrade we lovely room although length time , find service excellent . for visitor London , possible drawback door step anything ( actually think blessing ) cab appear plentiful Swiss Cottage tube 5 min . walk . 
 Jun 19 2009 	 quiet area London 	 stay total three day , two begin trip one end trip . check first time lengthy arrive early morning room available , exhausted fly last 24 hour decide wait lobby instead go sightseeing . room promise 30 minute really take hour , pleased room finally receive delay check great experience . concierge helpful confirm bus tour next day transport airport . also surprised find & quot ; american & quot ; plug room , nice touch since one adapter several electronic charge find extra plug nice . one negative breakfast include due scheduling tour flight depart restaurant ever open . also find selection restaurant area slim , area residental find fast food near subway station ( swiss cottage ) real restaurant walk . walk Abbey Rd Regents Park hotel neighborhood feel safe . underground station block away , convient use . overall nice stay need would stay . 
 Jun 19 2009 	 Shame work 	 hotel one good hotel stay whilst London age ! staff friendly conference facilite excellent intend book departmental meeting December join xmas party ! 
 Jun 12 2009 	 Repeat Visitor - always take Great Care Staff 	 recommend colleague , repeat guest always great experience . last June 2008 several night , go France week get back miserable french service , staff give beautiful room top floor -- bad thing stay last night London . room always spotless , everyone staff helpful friendly ( extra gold star David concierge ) . walk Swiss Cottage tube station , local area one everything ( try find overprice , noisey Kensington Belgravia ) include great indian restaurant ( Ericki ) Waitrose . 
 Jun 7 2009 	 nothing much trouble 	 arrive hotel nightmare journey european business trip , frankly pretty foul mood . receptionist ( can not remember name come Berlin ) absolutely delightful set tone every member staff encounter whole stay . mention nice room certainly - huge sofa huge , huge bed . location hotel great neighbourhood whilst not central , 's quick cab ride west end tube 10 min walk away . I think excellent definitely use one London base future . E Bateman 
 Jun 3 2009 	 Fantastic hotel exceptional staff could enough 	 lovely big room , quiet , traffic noise , service staff second none . great leisure facility , adequate swimming pool . favourite part , apart great food , size comfort bed ! huge enough family ! highly recommend hotel , meeting , weekend/ mid week break , 
 Jun 2 2009 	 nice long tube ride ahead 	 maybe get spoil first hotel south kensington right next everything LOT cheap option would probably pay extra money ( 800 usd 6 night ) stay south kensington . having say nice hotel locate 1/4- 1/2 mile swiss cottage tube station . pretty typical marriot ... nice big , clean room 2 queen size bed good size bathroom also . small balcony stangely can not go open 5 inch so . one word warn area ... pub call swiss cottage exit tube station would go PUB ! local seemd grumble we walk ... first time think maybe bad day second time downright surly ! bar staff well basically ignore we . first time travel feel downright unwanted place least warn folk ! ! overall good solid hotel ... long tube ride away action london price cheap .... btw ... internet free really rip 6 gbp one hour 24gbp full day ! 
 may 26 2009 	 5 star stay Marriott Regents Park 	 husband stay Bank Holiday weekend 2 night . know wedding anniversary upgrade spectacular penthouse room - stunning . could not fault thing hotel - great pool ( although not use ) , breakfast fantastic . would say especially good family ( already plan trip back two child ) - film play tv foyer man make magic balloon . Primrose Hill 10 minute away Camden 5 minute take bus outside hotel . tube stop 5 minute walk away also . husband say would also great location vist Wembley . lovely relaxed feel hotel staff welcoming . all fantastic stay thoroughly recommend . 
 May 25 2009 	 Excellent Hotel 	 stay marriott bank holiday weekend . we love . pool great cool hot day sight seeing . the breakfast excellent staff friendly helpful . it five minute walk underground station London . the room spacious comfortable . definitely recommend hotel 
 May 21 2009 	 see bed BUGS bed YUKKK ! 	 stay hotel 1 night room number 247 . ( thank God , 1 nightmare ) ! ! night see 1 bed bug lie baby . never see one show husband . check internet laptop . say bed bug . think maybe one incidence late night not complain . ( do ) . morning , see 2 small one 1 big one plenty blood kill . husband see another big one well . call reception complain . duty manager come offer breakfast not need . rude attitude check . decide write true comment . be back home ' m still paranoid BED BUGS . 
 May 21 2009 	 Mamma Mia Marriot ! ! ! 	 book family room two night . arrival upgrade penthouse floor 7 - room spacious bed huge ! conservatory style lounge area balcony . the fan shower work , tell staff really could anything 7th floor extra cost ......... bit miffed pay internet access , think expensive ............. pool great kid , evening meal first night cheap service food exceptional . all wonderful week end Marriot great place stay 
 May 18 2009 	 lovely hotel bit far action 	 stay Marriott Race Life Regents Park May 09 , delight size room , great breakfast ease get Primrose Hill Regents Park . hotel lovely pool shallow end , great kid breakfast usual Marriott high standard . as location well walk Swiss Cottage usual food restaurant small shop Sainsburys O2 centre 10/15 minute walk away . where hotel lose location , weekend Swiss Cottage Tube close maintenance , next near tube good 10/15 walk away ( appose 2 min ) Taxi Oxford Street need cost £ 10 - annoying nothing .... 
 May 16 2009 	 great hotel shame cost parking 	 stay hotel ticket 4th day Lords hotel walking distance . hotel great , room large busy road could window open . break include dinner first night set menu adequate choice delicious . next night decide eat area north hotel quite run bit wary go far find small albanian restaurant pack manage squeeze we . near tube station bit walk across busy road . our bad shock whole weekend put card pay carpark ! ! ! £ 50 33 hour seem bit excessive especially hotel centre London . usually stay Kensington Hilton reduce price Hotel guest work around £ 30 . 
 may 6 2009 	 good POSITIONBUT AVOID ROOMS 527528 ETC suffer ROAD NOISE 	 enjoy stay altough pricey like London hotel , least clean well maintain . my wife try pool family base really good serious swimmer due length shallow end . we stay well room position overlook internal courtyard . this time overlook road lot road noise ( light sleeper ) .my 84 year old mother - in Law actually think hotel railway line go , 's load be . we real compalint apart noise . 
 Apr 24 2009 	 nice serene place 	 locate close regent park , place quiet place despite 's proximity central london .. room could well . ditto business service like internet access all . the executive lounge nice addition . u entry Gold Member marriott 's high 
 Apr 20 2009 	 Quality 	 spend two night family room wife kid . hotel completely live expectation . near tube station five minute walk , three stop Central London access tourist & amp ; entertainment sight good . hotel pool keep kid happy need breather sightseeing room comfortable well appoint . gripe , say check 3 pm , long day travel pitch 3.45pm tell can not room hour - honest check - in time please . 
