great 	 great hotel Beijing ! ! ! ! price affordable , location great , staff awesome ( speak English haha ) , translate everything chinese , room nice , organize tour ( highly suggest Beijing ) . great experience , hotel make stay Beijing relax . 
 Great Hotel great price ! 	 stay Park Plaza Beijing wangfuje last week love hotel . recommend friend stay last year also read review , happy say even nicer imagine photo indicate . staff great nice helpful room cozy , clean comfort need day sightseeing ! would definitely stay . not eat restaurant , breakfast use service ( however drink half bottle wine mini bar decently price $ 89 rmb - consider might pay one glass would much US half bottle like convenience : - ) go upload photo room well . 
 wonderful hotel except absence good gym 	 say . live without great gym pool ( helpful combat jet lag ) , want / need stay Dongchen , hotel great . also 1 minute subway , important BJ . 
 Sep 24 2009 	 great hotel would definitely stay ! 	 stay three night September 2009 . great value , nice location , excellent service . book 2 room travel party five - include two child 10 . room 12th floor nice view , quiet . pay $ 120 / night . location , great value consider expensive Beijing . walk distance one gate Forbidden City . 's Starbucks several restaurant choice right outside front door , restaurant easily within walking distance ( even w / kid ) . room service nice , although western selection limit . concierge , front desk , doormen always smile help hand . good English speak . complaint small , hard mattress - 's typical Asia . stated & quot ; twin bed & quot ; barely big enough two adult hard . 
 Sep 23 2009 	 definitely return ! 	 wife stay 5 night August 2009 part China honeymoon . Beijing Hong Kong Shanghai . hotel stay previous city live expectation bit dubious last hotel , Park Plaza . my wife correspondence hotel booking mention would honeymoon stay check tell upgrade we also thay would deliver cake room get settle . get room rise petal lay bed shape heart arrow go within hour get chocolate moouse cake happy honeymoon write . feel really nice touch alot work go into . in regard stay , could fault hotel . 3 hotel stay give mention staff other . exceptionally polite , attentive english excellent . the location perfect . hotel attach Regent Hotel subway stop directly underneath get around fairly easy . if ever return Beijing , hopefully one day , would stay without question . while realise glow review , one thing fond . tour Great Wall . order get also visit Jade factory , traditional chinese medicine school Ming Tombs Great Wall last stop . factory school awful . feel much like money spin . Ming tomb disappoint hurry around ground put back bus less hour . probably norm tour like would prob well research around see tour available go directly Great Wall instead . 
 Sep 13 2009 	 Hotel Run ! 	 can not say enough great staff Park Plaza Wangfujing - truly hotel run . always smile , always help , hold door take bag without ask , wait patiently observantly restaurant moment sense want something . truly pleasure stay - especially next hotel experience really miss Park Plaza ! LOCATION - right across street Jinbao Plaza high end shop , lot restaurant price range across street , include Da Dong Duck Restaurant . two block wangfuje Street block Food Street Night Market . subway station right next door . taxis super cheap - usually 1 2 dollar ever want go , nice able walk . Tiananmen Square Forbidden City 2 - minute taxi away . great location tourist - good business , bad either taxis cheap easy get . STAFF - See . outstanding , restaurant bellman housekeeper restaurant employee . always feel welcome appreciate . restaurant - overpriced , one might expect . Menu bar poor . room service available similarly overpriced . Buffet Breakfast 128Y - $ 19.00 . good , good . starbuck across street . oodle onsite noodle bar - great , cheap eat . not eat restaurant dinner - many option nearby . nice lobby bar , cozy , live music time , expensive drink free wi - fi make nice hangout catch work . NEARBY - Hot Pot restaurant across street fine ' ve never try hot pot - help learn , would nice not already know . also cantonese place special soup . Da Dong Duck Restaurant across Jinbao , Quanjude Duck Restaurant 10 minute walk away . night Market maybe 15 minute walk . starbuck across street , also Japanese Place not try . walk street toward wangfuje plenty fancy shop semi - local restaurant . rooms - upgrade suite , regular superior room . spotless , nicely appoint , modern . turn - down service available . shower massive water pressure nice . could splurge flat screen tv think , ok . view across street another hotel . bed terrible , rock hard feel springy like really cheap mattress feel . bed comfortable , would give hotel 5 - star , really trouble sleep well , back hurt every morning . Met people stay Hilton nearby , whose bed apparently luxurious . business - free wi - fi lobby , Free Ethernet LAN broadband room , awesome . large desk big enough 2 computer . Business Center second floor - use print , go well . business district , taxis cheap take 10 minute . long quality bed not important , Park Plaza can not beat price range value money , location , service staff . 
 Sep 7 2009 	 clean excellent location great staff - complaint 	 travel kid ( 12 15 ) , want nice , clean easy place stay cost arm leg . Park Plaza Wangfujing seem fit bill . the hotel location excellent - centre luxury district , surround many hotel cost least 3 time much . staff extremely accomodate speak excellent English . room good size clean ammenitie one could want trip . hotel give we connect room without we even ask . hotel swimming pool , many thing outside hotel ( much see around Beijing ! ) happy distraction . not fly half way around world stay hotel swim ! say , wer.e pretty poope first day arrive & amp ; order room service . really good expensive all . when adjust time difference , find major tourist attraction 30 minute walk 10 minute walk 5 minute subway ride away ( Tien man square Forbidden City ) . site really close Beijing term - hotel right next ( like Raffles instance ) price 3 time Park Plaza . walk really nice & amp ; visit huatang might never see would right . book air ticket Beijing Hong Kong follow week concierge staff we quickly easily - fuss much well price have get have book home . taxis tough get Beijing time , hotel always able find clean friendly driver we need it . we snack one day & quot ; Beer Garden & quot ; ( yes , call ) enjoy 2 one drink free hor d'ouevre , along fresh soy bean snack . really nice . inexpensive again . the Plaza Hotel wangfuje nice mix traditional chinese service style , mix good North American & amp ; european touch . ' ve do right & amp ; would not hesitate stay . 
 Sep 4 2009 	 simply excellent 	 stay many hotel across Beijing year excellent experience date . think service outstanding . 
 Sep 1 2009 	 Awesome Hotel 	 hotel excellent location , room amazing ( big luxurious ) , value money well encounter . 
 Aug 31 2009 	 Park Plaza Beijing Excellent 	 & quot ; deluxe & quot ; room floor 10 . lovely room , problem , good location . UK plug room desk next bed . staff always helpful , cheerful , pleasant courteous . free internet RJ45 cable - secure wireless . shaver socket bathroom , odd , take adapter that . a little tricky find , may trouble taxi driver , hotel slightly tuck away behind another hotel , Regent , try ask , Dengshikou subway station - Park Plaza right next north exit . also right Ferrari Lamborghini dealership , one way locate it . use subway - easy great value . no ATM hotel , many Jinbao Tower across entrance courtyard . some local restaurant : * Da Dong , floor 5 shopping mall contain Gucci store , across road hotel - high class looking , reasonable price dish , include roast duck . nice . highly recommended . * Sunshine Kitchen , along small road lead front hotel - nice food modest price . several large tv change channel nearest one us request could watch F1 Grand Prix . * Casa , also along small road lead front hotel - nice food reasonable price . 
 Aug 29 2009 	 nice hotel 	 Park Plaza 's nice hotel - easy see excellent review . upon see room , brother immediately ask , & quot ; hotel China go nice ? & quot ; folk front desk concierge helpful . convenient able exchange currency front desk . one incident note - realize someone smoking room point tell front desk , accompany we room see . realize indeed someone smoking , help we change room . unfortunately , second room , although nice , face back side hotel , face construction site , two morning , hear folk work loudly site early 5:30 morning . say hotel staff eagerly encourage upgrade nice room different occasion , breakfast include , decline ; kind would defeat purpose find excellent deal room internet . hotel several - block walk Forbidden City , Old Beijing , Tiananmen Square . locally , starbuck across hotel , yogurt water Q convenience store right around corner prefer eat breakfast in - house would like big bottle water take explore Beijing . also , around back side hotel alley , local small store buy fruit nut . a couple point practical advice Beijing : 1 . great Wall one highlight trip . however , sign first tour recommend concierge Ming Tombs , two stop place could spend money . , would sign different tour . go day , two half hour Great Wall , would love time , especially give many folk weekend , mean spend lot extra time line -- everything besides actual Great Wall day tour filler we . also , brother irritated tour skip stone animal near entrance Ming Tombs -- tell sign different tour see . 2 . Temple Heaven unexpected highlight trip . highly recommend , along Summer Palace relax time . love singing , folk play music , people dance Temple Heaven ; not know routine Temple Heaven - Sunday afternoon . also , visit olympic village area , right dusk . great see everyone fly kite evening , fun see building light get dark 
 Aug 25 2009 	 Excellent - Previous Reviews Spot 	 return Beijing . choose Park Plaza base previous Trip Advisor review want stay solid western style hotel rather anything designer / hip . stay five night total love hotel staff . price get via book website unreal value consider would pay type hotel Hong Kong , NY , London etc . everything faultless - lovely room , fantastic bathroom , spotlessly clean , superb air conditioning , friendly helpful staff . location great esp . sightseeing . the doorman concierge extremely helpful trust 100 % esp . comes get taxi make sure get need go . starbuck opposite not want pay extra breakfast hotel also recommend japanese restaurant next door - good indeed . not much say , except hotel definitely deserve 's top 10 rating Beijing ! ! 
 Aug 24 2009 	 Welcome service without equal 	 favourable review hotel excellent staff fully justify . feel home moment taxi stop feel genuine regret time come check . upgrade include use club facility available take adavantage , food drink accompany deal make good value extra . Vicky serve club lounge excellent customer skill love practice English . room excellent condition impeccably clean , breakfast buffet offer wide choice one meal restaurant excellent . Metro station around corner make get around City easy proposition although train get crowded time ( part China experience though ! ) . essential hotel direction write chinese character , accompany good map , since taxi driver struggle find ( hide away behind much large Regent Hotel Bank China , Jinbao Tower ) universally seem speak English ! 
 Aug 23 2009 	 nice big room good service 	 first trip China ( accompany husband business ) not know expect . relief encounter clean , well - run hotel , nice big room ( upgrade suite ) . clean comfortable , one minor problem run ( AC unit stop work ) quickly fix dinner . great breakfast option , friendly helpful staff , overall great experience . 
 Aug 21 2009 	 great location Awesome hotel 	 stay hotel 5 night . location great basically subway station hotel , easy 10 minute walk bustle Wangfujing , street 's nice walk plenty people around , feel safe . all staff ( esp . concierge desk / bell desk ) incredibly pleasant helpful , fluent English . service compare well 4 star hotel US destination , totally outclassed 4 - star hotel stay Beijing . with rate reasonable , reserve room ~ $ 120 / night , on - site offer we upgrade regret take minute , include daily breakfast buffet ( good ) cocktail snacks & quot ; executive lounge & quot ; additional $ 40 / day / for two we . big eater , could make dinner , although , since close many great place eat , get . oh , free internet . check hotel website , think offer package deal even well . 
 Aug 16 2009 	 love hotel ! 	 nice hotel conveniently locate Jinbao Ave . short taxi ride ( RMB10 ) Forbidden City Tianamen Square long walk , take back road , quite interesting 9some Hutongs see ) . area around hotel smart shop like : Gucci Burberry , girl naturally Maserati Lamborgini boy everything : ) room hotel well- equip free broadband , excellent plug selection we forget adapter ! staff delightful helpful aware whole China , English easily understand confusion arise . take club package offer we mean sumptuous breakfast buffet include well free drink snack evening club lounge . one computer , printer etc . use day long . one thing particularly like hotel fact one open window- hate sleep air - conditioning . the restaurant around hotel look great- Peking duck across road Jinbao centre excellent quite expensive ( RMB195per head ) – Starbucks right outside door ( although hotel coffee great selection tea sensational ) . 
 Aug 11 2009 	 Staff really helpful 	 last night , father become sick . not know wrong . scare , especially since foreign country could not speak language . call front desk . woman name May came call ambulance . reassuring , make feel well . two staff member come we hospital , be grateful , hospital patient - friendly . ambulance drop father small room check swine flu . blood test show not flu , expect somehow make way main hospital entrance dark - 2 - weak . fortunately , male hotel staff member get wheelchair father push need go . hotel staff member , woman name Kira , help we hospital procedure ; also interpret we . leave father settle hospital bed encourage go back hotel . hotel staff really help we ; ordeal would bad without they . the room bathroom clean . executive room , iron board iron room . also umbrella six drinking glass plus mug ; usually two room two bathroom . drink ( water ) often , lot glass plus . bed comfortable . we could breakfast lounge coffee shop , since tell breakfast coffee shop well , be eat . breakfast buffet good . hot dish change , something new eat every morning . happy hour lounge evening serve small snack dish , cookie , fruit , drink . subway stop next hotel , find helpful , find easy cheap use subway take taxi . need taxi , tell doorman , flagged taxi ( hotel entrance tuck away main road ) we tell taxi go . ask , doormen concierge also write chinese name address place need go , good taxi driver could not speak English . wangfuje street , shopping mall restaurant , ten minute walk away , also restaurant around hotel . want duck , branch Da Dong ( serve good roast duck ) fifth floor mall across street hotel . you exchange money front desk ; unlike money exchange airport , one hotel not charge commission , hotel give we well rate . aside one help we hotel , staff member also helpful . doorman quick help we cab would arrive ask we want go whenever leave hotel . check check quick . housekeeping respond promptly ask thing like extra hanger ice . it be hard find fault hotel , really help we medical emergency . highly recommend hotel . 
 Aug 9 2009 	 great hotel 	 Park Plaza good choice want nice place stay reasonable price . walk distance wangfuje area , subway also step entrance . room nicely decorate , staff well educate helpful . starbuck around corner . base experience spend two night , come back Beijing 3 - week tour , choose hotel last night China . 
 Aug 8 2009 	 five Star Room Service Half Price 	 great location . 2 minute walk subway . quiet - setback shield Regent Hotel street noise 2 nearby main road . room hallway nice - seem almost new . service super . lobby big swimming pool . laundry expensive , like hotel . 
 Aug 5 2009 	 Top Class 	 will echo reviews hotel ; excellent location great value money . room spacious spotless . food excellent . 's staff place alittle ordinary . stay eight night explore Beijing every time deal member staff obvious enjoy work . every request deal efficiently good humour . housekeeper floor speak excellent English take pride work . concierge , porter receptionist full information willing take time ensure guest look after . I will back ! 
 Aug 3 2009 	 absolutely excellent 	 like everyone else seem say , absolutely nothing negative say hotel . staff efficient , friendly helpful time . hotel sparkle clean , room comfortable location brilliant . would definitely recommend anybody . 's Starbucks right opposite , useful ! 
 Jul 29 2009 	 great location super helpful friendly staff good value 	 friend shopping splurge / city highlight holiday want nice hotel good location could not afford 5 * . great - great room super location within walk distance Forbidden City city centre shop really great rate . the staff speak English well helpful friendly . Breakfast include really great ! something everyone . cheapish restaurant walk distance night time . safe area bang smack central Beijing . love would highly recommend . 
 Jul 28 2009 	 Nice Hotel ! 	 hotel nice , one thing like room picture web . good hotel ! 
 Jul 27 2009 	 treat like family 	 stay Beijing break two segment since go elsewhere decide try two hotel . Stayed Park Plaza first . hotel conveniently locate near major sightseeing spot walk wise , prefer take subway , be right next subway station ( Dengshikou / Line 5 ) . hotel good facility ( gym , bar , restaurant , free in - room internet ) room spacious . one would expect hotel . think distinguish Park Plaza apart service . everyone hotel pleasant deal . particular , concierge extraordinarily helpful recommendation , direction , tour arrangement really make feel like ' m home important solo traveler . 2nd hotel one much high ranked . even pay almost 50 % night , service level nowhere near Park Plaza ... carry luggage hail taxi go airport ! 
 Jul 21 2009 	 Greatest hotel service ' ve ever experience 	 big hotel 's BIG service every way - warm , friendly courteous reception helpful concierge ask direction thoughtful housekeeping staff . really impeccable ! even travel agency rep , base concierge area attentive helpful every way . 
 Jul 20 2009 	 Superior experience 	 everything stay excellent , start staff , caring , helpful , efficient , decor . location great : starbucks ATM machine across driveway , 7 - 11 ( chinese equivalent ) subway block away , great shopping restaurant within 10 - 15 minute walk . hotel amenity could ask , , bed sooo comfortable , spite quite firm . doubt could find well hotel 4 - day stay , though probably could paid lot $ $ . 
