decent 	 want good basic hotel good price offer decent accommodation , inexpensive restaurant , internet access situate old part city Ajanta nicely . offer free transport airport ( 24 hour ) handy first time visitor India . onsite Bureau de Change add bonus . street noise slight problem early hour . 
 great hotel true value money 	 great hotel excellent staff friendly helpful , room clean n tidy close public transport go back hotel whenever visit delhi 
 Sep 26 2009 	 Decent Hotel 	 little bit suspicious Hotel Ajanta , base review . however , hotel perfectly fine use base explore Delhi . generally clean , room decent size shower warm , albeit little temperamental . complimentary hotel pickup good . first room give bit cell like small , window bathroom look bit grubby ask , staff happy move we slightly big room next door window well bathroom . hotel bit noisy expect location ? staff freindly we , lobby etc ... clean . restaurant fine . people complain & quot ; pushy & quot ; travel agent hotel try force overprice tour . check hotel spoken friendly man office travel plan , know , not try sell we anything ( though hotel might want note people website find approach bit pushy unwelcoming . ) overall enjoy stay Ajanta would recommend budget place stay Delhi . 
 Sep 18 2009 	 guest friendly hotel 	 please carry cash time check ( credit card accept hotel ) else walk five minute take cash ATM pay bill . 
 Sep 17 2009 	 Ajanta Hotel clean hospitable impeccable location . 	 appreciate clean , cool room hot season , friendly , helpful staff . hotel lovely view Taj Mahal rooftop eat area , car driver hire drive Jaipur back Delhi comfortable clean . excellent value would hesitate stay . party three adult travel together , husband sister - in - law . 
 Sep 13 2009 	 much improve first time stay 	 stay Hotel Ajanta 2 occasion , first good experience however maybe prepare difference lifestyle thing . feel pressure take taxi 's everywhere lose money decide give another go return . this time find much easy , food good , service excellent yes room bite noisy New Delhi ! ! ! would recommend hotel really good place chill whilst aclimatise beautiful country . 
 Sep 6 2009 	 ok ' m sure well option price . 	 stay Hotel Ajanta fine , hotel not especially nice . staff time bit rude also quite pushy arrange trip / train / activite . food ok restaurant not nice place , although one night eat roof well . room everything need not well keep . location quite good , close New Delhi train station . basically 's fine place sleep ok option , maybe look around well option first . 
 Sep 1 2009 	 nice room noisy location good budget hotel 	 really spacious room , front hotel . thin window , little sleep , hotel locate ' flea pit'/backpacker area ' , Pagarhni , Delhi . travel agent man within hotel , good saleman book we 5 day trip driver around Rajasthan . overall good hotelshort stay , would not stay Delhi long anyway ! 
 Sep 1 2009 	 good place heart New Delhi 	 clean quiet place heart New Delhi within walk distance New Delhi railway station . bustle outside affect stay inside hotel . room clean maintain . restaurant seem good though could use due itinerary . room service ok time take service improve upon . hotel offer one free pickup / drop / airport . hotel reasonably price . 
 Aug 26 2009 	 nice safe hotel Delhi 	 stay Ajanta hotel several occasion . staff friendly helpful , help organize trip , get safe taxi , good advice travel . 24 hr room service hot water . government approve hotel , mean safe . restaurant good food , breakfast buffet , delicious . good value price . location also convenient , close New Delhi railway station Paharganj commercial area ( go walk ) take auto Connaught place well quite close . good friendly place stay Delhi good price ! ! plenty foreigner choose hotel well . 
 Aug 24 2009 	 great experience amazing cost 	 Oe several apprehension book hotel another city . see net experience reach Ajanta Hotel . the ambience staff hotel - Hotel Ajanta make feel welcome comfortable stay thereafter worth mention . highlight would cleanliness prompt service . hard day 's work make difference enter good , well keep , clean room . need something extra , reach promptly . would make review incomplete mention food . give place try . come back 
 Aug 24 2009 	 Excellent Value Money 	 really great value money hard explain word . staff helpful say location perfect . problem , first trip ever Delhi really need lot guidance place see , eat etc staff give great suggestion help get around area . 
 Aug 20 2009 	 excellent hotel great service location value money 	 really enjoy stay , staff helpful provide great service . centrally locate make easy move around city . room clean good . , would recommend hotel . 
 Aug 19 2009 	 service great rate ! 	 pleasure stay Ajanta business trip feb stay staff way well large chain country . time need something minute tough India . must stay ! 
 Aug 18 2009 	 Bait Switch 	 sure hotel rate 3 star . maybe low price , pleasant stay . arrive shuffle small room tell room . however hotel rear building room . log book hotel , evidently proof complain [ -- ] place reservation honor booking . believe hotel tehy use teh system credit card machine locate teh Ajanta . hotel nasty part town club next door play loud music well night . picture front building definitely photo shop . 
 Aug 10 2009 	 not let photo fool . 	 's budget hotel be exactly . 's good budget hotel webiste seem fluff thing little much . low expectation way way low want stay . check big group rather unfriendly guy , feel like local government office rather guesthouse . another indian guy keep ask follow hotel , not know 's go , guy passport .... mess . not scam anything , arrive Delhi , sort disorientation place stay not ideal . make two reservation , one arrive another end trip . cancel second reservation . that experience stand word . 
 Aug 5 2009 	 Good Location room 	 go tour group 10 us occupy 5 room , staff know everybody want great 2 night ajanta , right next everything great location book sanfre travel good decision . they serve food 24 hour day great yes overate , awesome balcony room overlook city easily well look hotel area . they give we upgrade return udaipur welcome surprise . kudo ajanta hotel 
 Jul 26 2009 	 warm drink 	 stay July 2009 hotel . occupy two room , one single one double . the single window ! room price 40 $ ! double fridge work . complaint housekeeping boyscome three time look without success ! order cola come warm , mineral water . forget beer , tell we go outside cold beer , also never come . a special service small bucket ice cube 30 r ! ! hotel nice roof top restaurant sense without cold drink ? one night check go neighbour Grand hotel wasreally great . 
 Jul 24 2009 	 Mrs. Ravi Kher 	 good hotel Pahargonj Area mainly arakashan Road . hotel arrange free transfer us airport midnight excellent service . I visit Delhi July . weather hot scorch heat . son get high fever arrive Delhi stay Hotel three day nursing . find hotel comfortable . stay 3 different room Hotel span five day . 404 , 215 319 . except 215 room excellent . mention name Mr. Gautom whose cooperation forget . lastly would like mention name Mrs. Kher arrange excellent tour us visit Ajmer , Pushkar , Jaipur Agra . tour wife ask give we comfortable vehicle hotel , since son sick . show we photo hotel computer . little bit afraid . promise arrangement would committed . tour find nothing complain . Rather Father Law join we Jaipur Mrs. Kher arrange additional room Jaipur Agra immediately . arrange good vehicle us tour Delhi eight hour . would highly recommend Mrs. Kher anyone want tour Delhi city . know customer need keep commitment . I would also recommend Hotel Ajanta anyone want stay Pahargonj area . 
 Jun 30 2009 	 MRS KHER 	 good stay Ajanta Hotel . could recommend Hotel everybody . staff nice helpful , always smile . : - ) also like recommend Mrs. Kher ( Travel agency managerin hotel , [ -- ] ) thank herShe organize trip well feel alsway , safe . ( woman , 32 ) travel alone . nice safe . thank Mrs. Kher . I hope come back soon : - ) see enjoy itgreet SwitzerlandSeraina 
 Jun 26 2009 	 highly recommend 	 Delhi last year quick business trip want find something centrally locate economical . never stay Hotel Ajanta pleasantly surprised customer service room . staff friendly room well keep , linen clean crisp . overall great experience price . would highly recommend . 
 Jun 25 2009 	 budget hotel 	 stay hotel couple time husband transit Delhi . first time see hotel , really worried . never back pack hotel crowded area really like . however , husband , mind much . believe photo see home page ! room bad . quite spacious . flight postpone , stay additional night upgrade we . however , think semi - deleuxe room well upgrade room ! ! also , sure staff front desk . nice other ... sure ! last stay meet lady front desk seem quite nice . room could bit clean . decide stay take we nearly 2 hour go hotel airport end long travel , keen go crowd place ! think ok value money ( give hotel Delhi quite expensive ) . 
 Jun 19 2009 	 Safe Friendly 	 make arrangement pick airport & amp ; give nice meal 3 night wake next day breakfast ready per request email send early . hotel staff spend time answer question help query . definitely back whenever New Delhi next time . 
 Jun 9 2009 	 ticket travel holliday thanks hotel ajanta new delhi 	 nelson kelly stellar trip management usa plan journey india nepal ticket india plus stay hotel ajanta , travel professional know pain travel 3 team would encourage via review whoever behind ajanta operation say guy deliver fantastically ( that s word ) client Life ! professional extremely hard work Team .... however take sweet time check we reckon security protocol well adhere ... send write recomendation soon 
 Jun 2 2009 	 sophisticated affordable ! ! 	 Ajanta hotel one good place stay Delhi . cost effective ambience , food service superb ! ! definitely recommend everyone choose first preference stay Delhi . 
 Jun 1 2009 	 single woman need safe relatively cheap place hrs middle night 	 get Delhi 12:30AM Delhi city horrible reputation safety single woman . greatly relieve see hotel arrange driver wait patiently flight delay hour . glitch even though pay via cleartrip.com , hotel guy say make payment . however , able connect bank call centre people speak hotel receptionist convince card charge . leave 4 next day , spend 3 hrs room , seem perfect fit specific need . staff curteous room bathroom clean . 
 Jun 1 2009 	 convenient location great service . 	 spend four day Ajanta enroute Europe find budget - price hotel great bargain clean room hospitable staff . location central hotel provide good guidance transport city tour . find facilities free Airport pick - up , Internet , Licensed Foreign Exchange Bureau useful . all pleasant experience would look forward return next trip India . 
 may 20 2009 	 terrible experience 	 book twin room hotel 2 day via telephone ( that s one way book hotel ) . finally reach foreign friend , say let we stay one room relation . try argue use . shift we another hotel instead . location hotel - Paharganj , terrible , decent restaurant cafe . food hotel 's restaurant also average . overall , experience woth forget . 
 May 20 2009 	 clean friendly hotel great price 	 Stayed weekend Delhi . location good central sightseeing . we book car reception day - rate reasonable . driver reliable & amp ; informative car good condition . only eat breakfast restaurant fine . room clean bed comfortable . security seem good . for tourist hotel tick box perfect weekend sightseeing spend time hotel . 
 May 13 2009 	 4 Star room 3 star service 2 star pricing 	 work lead international hotel chain write review time hotel stay , holiday trip mine start ajanta hotel delhi . ask upgrade mostly oblige want mentally challenge every claim go order butter chicken claim good town blow away super delicious serve indian naanaz . all friendly stay everybody always willing talk help lend solution every issue might even though sometimes do not ask it . I surely recomend hotel everybody look great room great food limit budget . 
 may 11 2009 	 GREAT LOCATION FRIENDLY SERVICE 	 Budget traveller long stay India ... hotel ... one really fit Bill .. real value money easy access everywhere Delhi Railway Station door step . 
 May 10 2009 	 never ever come back first impression bad 	 make resrevation Phone tell provide Pick drop pff teh airport cancel another reservation near airport . pick horrible take time get Hotel tell teh check provide one way either pick Drop , tell phone make reservation could use Drop car time . force pay Airport drop , matter 400 , matter give fasle information ! ! ! suggest do not rely tell phone get write confirmation everything do not even stay , Airport hotel much well , safe customer orient , hotle could accpete thier mistake provide tranport fault give wrong information . their Resturant say AC worth sit always hot 
 May 8 2009 	 can not wait go 	 girlfriend architect arrive delhi find ajanta amazingly build property room royal exactly tourist would love , later see hotel realise hotel look like grand imperial hotel delhi inside room except small much small one fourth price , sincerely wish would offer room view guess delhi do not real view see . all great service excellent room back 
 May 5 2009 	 good friendly Price n amenity 	 safe reliable family run professional hotel u take tour rajasthan feel safe person city help u ensure u great trip ... car use 15 day trip comfortable hotel book carefully pick later learnt recommend guide book travel agency call capital city travel ... would however suggest serve sandwich easy snack etc rather restaurant food . , good 
 May 4 2009 	 perfect hotel stay Delhi 	 Hotel Ajanta , use family friend since 2005 . service provide staff always excellent . personally book three tour Golden Triangle recently book trip parent state Hotel Ajanta make trip memory never forget . hotel well run facility adequate . restaurant hotel provide good indian food India . simply sit home front computer plan trip India Hotel Ajanta . never let family friend . strongly recommend stay hotel , definitely book tour . 
 May 4 2009 	 wide variety room 	 facility good comfortable wide variety room choose . room well maintain . problem location bit shabby . 
 may 3 2009 	 mixed feeling 	 hotel locate busy lane near New Delhi Railway station . that s primary reason choose hotel three day stay . also , offer pickup airport ( free ) . arrive Delhi airport Saturday hotel driver airport pick we . slightly take aback appearance street hotel locate , crowded , however , hotel neat well maintain . stay hotel comfortable . however , restaurant room service lack promptness . food quality average . think good avoid travel desk hotel . rate high near value money . another negative point fact accept credit card final settlement run find ATM draw cash order make final settlement . 
 may 1 2009 	 sure worth stay 	 room comfortable , staff warm helpful . food wad great centrally locate get around city . 
 Apr 30 2009 	 clean safe place stay - good value money 	 travel India girlfriend warn several friend safety factor delhi girl . greet friendly driver airport take hotel . room service good fact in - house restaraunt help day want spend time relax . together stay safe comfortable good value money . would suggest offer non smoking room . staff warm friendly . 
 Apr 28 2009 	 Defiantely worth trip back home : ) 	 soon arrive hotel , impressed warm sincere welcome staff offer assist way need . check superb do efficient manner . the room setup beautiful exceed expectation much high level . the staff department hotel professional courteous always friendly smile face , matter time day , 
 Apr 28 2009 	 Value Money 	 stay March 3 - 9 2009 . check quick painless . room HUGE , nice extremely clean . king size bed , coffee maker , microwave mini - fridge room . bathroom nice marble sink , tub , shower extremely hot water . plenty towel toiletry ! tv excellent - extremely good range channel great asset location , close popular shopping place like CP Karol Bagh . staff friendly , efficient helpful even though extremely busy . 
 Apr 27 2009 	 VALUE money 	 room neat clean . tv provide wi - fi connection make u feel u enter low budget hotel . doubt bath tub provide do not know wat xpect we without proper water storage dat tub . ( prob wid valve n culdnt stop drain water ) even water bottle , chip & amp ; cold drink provide room charge , nothing complimentary . food restaurant worth price , bad taste bad quantity . 
 Apr 2 2009 	 would recommend hotel anyone 	 recently stay Ajanta ambush arrival Mrs Kher - inhouse travel agent - arrange travel remain time spend India - follow day request travel plan cancelled - tell possible - give reduuction INR 21,000 total travel cost - leave New Delhi request plan make Capitol City Travel cancel - ignore day - tell yes cancel & quot ; loose money & quot ; - back india month still recieve refund people - BUYER beware - think check hotel initially - book holiday - would recommend Hotel Capitol City Travel anyone - check review confirmation TripAdvisor.com 
 Mar 22 2009 	 Nice hotel Shame location 	 really nice hotel . free airport pick , room clean good shower restaurant excellent . shame locate old part Delhi rather New Delhi advertise , ( 50rs rickshaw ride connaught place ) mean white tourist novelty . prepare stare walk round . do not think would recommend lone female traveller stay . room noisy day night ; dog bark , horn beep general crowded area sound . whole good hotel . 
 Mar 20 2009 	 okay choice short stay price 	 stay hotel two night way Varanasi . organise transfer airport hotel seamless trip check in . we book room two people little small cramp although comfortable short stay . clean shower good plenty hot water ! bonus India . we overly impress service hotel . find quote driver , taxis day trip expensive . never really get feel try good help we . issue Delhi general would recommend research tour , driver arrival option . 
 Mar 19 2009 	 Ok Hotel Delhi 	 wife stay hotel around 4 time January March . good thing hotel price quite reasonable compared Delhi standard . also central crowded area close Delhi railway station . want quite residential area , place .. room clean generally well maintain .. different type room less look . point spend money high room . arrange early , also provide free airport pick . last stay , car ' come . provide free airport drop instead . room service also quite good . major prob place bell boy hang around time tip .. sometimes get nerve .. although reception generally good , time bit rude .. safety point view look ok notice lot female tourist .. however would reluctant allow wife stay alone , street quite crowd sure whether safe single female travel alone . also look spend one night Delhi due flight connection , make sense stay somewhere else close airport .. 
 Mar 12 2009 	 staff make difference 	 well , say EMPLOYEES nice , care alot stay ... make difference journey New Delhi , make feel comfortable safe like home . room like show website ( website see good one .. : - ) : - ) , arrival satisfied mine upgrade immediately free Superior Room N. 419 ( room need real closet , one inside invisible small hole ) . WAY , THANK everybody ESPECIALLY MR . ARVINDER . leave hotel 2 day go Agra let leave 2 heavy lugguage hotel . come back Standard Room A / C n. 218 good bathroom renovate , even well Superior . bed comfortable . restaurant nice good , close late night buffet breakfast morning 200 RS . find useful pick service airport include price . 24 hour internet service , sometimes problem line ( 30 min 30rs - 1 hour 60rs ) street noisy , noisy , bring something ear otherwise will not able sleep . now one thing important say WESTERN FRIENDS ( cause red bad staff review ) ...... reception sometimes little bit messy , crowded , people come go do not understand guest employee . probably staff stop hundred time ask go , plan .... etc etc ... , dont SCARED ... .. know BUSINESS BUSINESS , indian way ..... Europe different way ... advise always nice FRIENDLY STAFF ... listen say , proposal , anyway remember last decison always ... hotel staff recommend always introduce smile guest jump ... : - ) : - ) : - ) remember western people might scare impressione arrive hectic caotic Delhi ..... give time get use make feel safe like home . 
 Mar 9 2009 	 cheap would expect altogether bad value money 	 main problem Ajanta run management team centralise system communication , record anything pay order make sure defend case find trace advance payment . but find suspicious way charge 10 % ' service fee ' top usual 12.5 % luxury tax tourist normally pay . dramatically increase cost accomodation , make Ajanta almost expensive 4 star hotel much nice area Delhi ! funny enough , one manager propose reduce service charge 5 % choose pay cash , refuse . smell tax evasion ? anyhow , never see anywhere charge 10 % service top room fee , especially since porter other employee still expect tip . dodgey would recommend hotel anyone unless enjoy rip . 
 Mar 7 2009 	 Fair Hotel overnight 	 permanence New Delhi would one night . wouldarrive Delhi 23:00 hs flight Kathmandu would inthe follow morning find convenient location free pickup theairport offer Ajanta Hotel . find driver easily itwa nice welcome New Delhi avoid ground taxi hawkers attn airport . good clue buy pre - pay taxi airport cost 230.00rupee ( US $ 5.00 ) . not bargain driver ! hotel room clean . bathroom clean . not see anycockroaches mosquito . quite pleased room , number 9 , outside building . seem annex . unhappily room not window . ( ? ? ) big surprise check come across & quot ; luxury tax & quot ; 12.5 % service tax 10 % , HotelAjanta & quot ; fake 4 star & quot ; . ( price course ! ! ) cost US $ 60.00 cost we US $ 80.00 . also charge we 400.00 rupee thetaxi turn airport . ( turist trap ) .If not plan nex day take care ! ! follow breakfast personnel try sell anycost full day trip place . very pusher ! ! 
 Feb 27 2009 	 bad start India trip 	 read number review feel relieve many experience mirror mine . pick airport good , ' pay ' small , dingy room first night pay appx AUS $ 60 . take room interrogate travel plan . backpacking not want tour , like dog bone would not leave we . time leave , have get used duck cover time see travel agent lady ! extremely pushy . extremely nosy . extremely bad manner ! could not leave hotel without someone ask go meeting , go next , plan stay . terrible start holiday unfortunately put we stay hotel run travel service assume would . thankfully find later not . would not recommend hotel anyone would never stay . 
 Feb 24 2009 	 Great Customer Service - good coft stay 	 overall experience wonderful , comfortable stay right pick - up till drop back airport . customer service great room clean quiet give feeling stay away hectic city . great facility like neat hygenic food restaurant , Business Centre , internet access , Shop . good food quick room service .. would consider stay place : ) 
 Feb 23 2009 	 Traveller 's New Delhi 	 good mid - range hotel stay India . good food , good company , good service , clean bright room . thank Mrs. Kher travel desk organise wonderful tuk - tuk sightseeing trip we . free collection airport . ANNA ANTHONY SCHLESINGER , BATH UK . 
