nice 	 spend Thanksgiving weekend hotel get good price ( much low normal rate ) . room nice pool exercise room . parking expensive , give 50 % discount hybrid car ( yea ! ) reasonable . not many place immediate vicinity eat , nothing far walk . 
 Oct 16 2009 	 Great experience 	 stay Swissotel weekend Oct. 10th . hotel great location sort middle Millennium Park / Art Institute shop Michigan Avenue . able walk everywhere even train stop , maybe 7 block away . night , cold walk , take cab , even place 1 mile away . hotel simple , clean not try trendy top , mostly business traveler . double room spacious clean . 
 oct 8 2009 	 Great Hotel 	 nice hotel . front desk personnel friendly efficient upon check , room fabulous view Navy Pier & amp ; lake . room plush , wonderful bathroom . also comfortable bed / linen ' ve ever experience hotel . 's perfect location shopping . experience noise come room , pretty quiet . definitely return . 
 oct 8 2009 	 Great Hotel ! great location ! 	 walk distance Grant Millennium park Magnificent Mile . staff hotel helpful nice . hotel truly amazing ! 
 oct 8 2009 	 Good Hotel Good Location 	 travel husband 2 year old . hotel clean room comfy . son enjoy view water pass boat . conveniently locate navy pier Michigan avenue . thing like $ 52 night valet parking . 
 Oct 8 2009 	 comfortable 	 huband & amp ; stay hotel conference . everything comfortable room good view . rooftop pool cool ! 
 Sep 28 2009 	 Bring conditioner 	 return three night stay business conference . disappoint hotel several reason , couple probably unique stay thus irrelevant other consider hotel ( indifferent staff , multiple interruption engineering try install hi - def tv , mini - bar charge result engineering guy move refrigerator jostle mini - bar sensor , damp comforter cover bed check ) . generally applicable comment : standard room small , lobby bar small ( amenable lot people post - meeting drink ) . compare large lively lobby bar Marriott Westin North River . bathroom mirror well place apply make - up , minimum number towel supply , shampoo refill without express request , conditioner supply -- bring conditioner ! might feel less critical pay $ 279 ( taxis ) & quot ; conference rate & quot ; standard room . wish do other conference : stay across street Hyatt half cost . Westin North River remain favorite Chicago hotel . lastly , Trip Advisor allow hotel post & quot ; thank comment & quot ; response review hotel ? 
 Sep 24 2009 	 Nice hotel 	 stay Swissotel Aug ' 09 . efficient . nice room good view . good location . clean . would stay again . Keith + Kate Marsden 
 Sep 24 2009 	 comfortable room 	 excellant room , comfortable far superior usual large american hotel chain . nice view good location city . good breakfast buffet . pool gym average acceptable . date lobby area . 
 Sep 22 2009 	 great hotel room ! 	 stay 2 night ( 6 7 september ' 09 ) room 12th floor ' backside ' building problem ; still great view ! Checkin swift friendly staff explain everything good . room good , lot space , superb bed nice cosy relaxchair view tv come back late room . mag mile shop closeby several interesting thing ( navy pear , millenium park , art museum ) lett honest kind city need walk trough enjoy even . subway ( El , red blue line ) need walk bit overall not problem ... bathroom room spacious seperate bath shower . spot clean ! good stay ; even room cost 99 dollar night ( get trough booking.com ) . 
 Sep 11 2009 	 Beyond 	 return 3 night visit Swissotel . staff front desk concierge housekeeping could professional obliging . we offer upgrade corner room high floor ( expect - as $ 99 TravelZoo special ) . rate also include free access pooland gym . room ample size extremely immaculate , plenty toiletry bathrobe . terriffic view Navy Pier contrary reviewer able see firework fine . food lounge great fresh -- -salad , sandwich etc . location terriffic - so close & quot ; Mile & quot ; , Millenium Park , Navy Pier EL stop Wrigley . travel 13 year old impress well . theresa gift shop go far get son sweatshirt size another gift shop location Hyatt . service truly beyond . definitely stay swissotel next visit Chicago . 
 Sep 10 2009 	 great hotel ! 	 center Chicago , one nearest place important place city . with 10 min walking stay michigan avenue , navy pier , loop ... millenium park , sears tower much . good price high quality find . book confortable vacation wonderful city ! 
 Sep 9 2009 	 great stay nice hotel ! 	 stay Labor Day weekend really enjoy hote . king bedroom lake view 10th floor . view amazing would stay view . room really big bed quite comfortable . flat screen tv also nice . bathroom nice could ' ve little big . full size tub separate shower kinda odd . bar nice ridicoulius drink price , although free trail mix ! concierge not friendly rather dissappointe . would not ask particular person recommednation . not rude kinda blah not really care . complaint room 1001 share wall elevator . nice near elevator wall thin hear muffle sound go . not wake really distract since muffle . would prefer hear . hotel really nice , great location , would stay hearbeat ! 
 Sep 8 2009 	 great value great location 	 daughter return week end stay Swissotel . read reviews Trip Advisor book 99.00 room review positive . find location room every employee extremly nice . ask nice view since daughter previously offer one additional charge say thank desk clerk say view wonderful view . lake city . I visit many large city stay exclusive hotel . resturant , parking etc alway expensive . someone trip Advisor compaine parking charge , hey hotel web - site . book web , read everything . far food , walk block toward Michigan Ave turn leave right plently less expensive place eat . great city , yes expensive . would definitly stay ths hotel . drink bar average price ( high ) city . palm resturant hotel special Sunday night , eat food service , etc outstanding ( portion large share since big eater . trip Advisor never let . 
 Sep 7 2009 	 Nice hotel good value . 	 stay Swissotel Aug 28 - 30 . lakeview room one high floor . room large , modern , quiet clean great view Navy Pier lake . plenty storage space we . king size bed comfy , large walk - in shower nice touch . everything clean well maintain . location ideal within easy walk distance Millenuim Park , Art Institute , Michigan Avenue Navy Pier . area much quieter Loop River North . avoid outrageous $ 52 parking fee parking $ 25 Millenium Park garage 3 block away . need car prime location anyway . we find service fine need . type want check leave alone rest stay . not use concierge service service unless problem . check go quickly we , could see people could wait long time get busy . breakfast include hotel package buffet good service Geneva top notch , would never pay $ 26 . probably worth $ 10- $ 15 . pool fitness center also include , never go . like hotel , mini - bar outrageous , quick trip Bockwinkel 's grocery store , block away , solve beverage snack need reasonable price . want bottled water least , tap water , well , Chicago 's fine city water . there really not anything complain , thing know hotel . first , could see Navy Pier firework room high rise build hotel place boat sit shoot firework . hotel 's fault advertise see firework room . assume could wrong . also , construction lot directly east hotel large truck dump dirt Saturday morning . could hear room , turn tv not let bother we . , hotel 's fault , not expect advertise this . we stay 2 night $ 139/ night two CAF river cruise ( miss ! ) two breakfast include . cruise ticket $ 28 piece figure $ 10 - 12 piece breakfast buffet bring total $ 100 night hotel . quality location hotel , would say bargain . 
 Sep 7 2009 	 Fabulous 	 wonderful hotel amenity . everyone helpful . breakfast buffet wonderful . bed & quot ; like home & quot ; . would definitely stay . nice touch water bottle leave car we enjoy way home . little touch like make hotel one good . 
 Sep 6 2009 	 excellent choice 	 Spacey , quiet sense luxury . would definitely choose highly recommend . however park cheap ( find 52 $ lot ) , breakfast need refine ( good quality limited variety ) front desk need employee . 
 Aug 31 2009 	 Excellent service Awesome view 	 1 . Navy Pier view visible corridor near lift 31st floor.2 . need charge phone battery dying provide leave charger return back check out.3 . near downtown Millenium park walk way Sears Tower ( less 1 mile walk ) .4 . also near Navy Pier although hotel fault do not ask direction . map loop + nearby attraction clearly mark details.5 . room neat hey excellent BOLD TASTE coffee.6 . take charge minibar use keep 2 year old son food.7 . do not use parking gym pool technology remember guest name call concierge guest service address name.8 . son love Chicago river view 31st floor , room neat clean . 
 Aug 27 2009 	 Excellent 	 stay property travelzoo rate $ 99 , incredible value property . overall excellent hotel , charming modern room , would stay pleasure . 
 Aug 26 2009 	 Pleasant Surprise 	 stay Chicago couple night wife three young child . really want stay Peninsula price bit high us suite . several hotel would allow five people suite , even though young would crib . initially consider Swissotel mixed review website take another look book family suite two night . when arrive room 31st floor blow away spaciousness room great view Lake Michigan , Chicago River city . pay per night really not expect nice accomodation . room clean plenty ammenitie provide . notice charge excessively extras not really issue we . staff friendly courtious happy help ask . wife two kid decide go swimming hour pool close front desk person compe entry pool rather charge we $ 15 per day pool / fitness useage fee . bell hop friendly helpful well give we plenty direction patient cleaning car gathering ~10 bag need go room . location hotel perfect we locate Navy Pier Michigan Avenue close several great park attraction . not go on - site restaurant many great restaurant Chicago . Palm seem like would pretty nice place eat menu look good . downstair restaurant , however , almost seem like afterthought . strolled look place get breakfast one day not much atmosphere basement window . get coffee pastry little cafe / bar area lobby one would expect . while Swissotel may super high end service ammenitie ( associate snootiness ) top tier hotel , nice hotel would problem recommend anyone . price pay typical go rate would say spectacular value quality hotel . return Chicago would even bother look hotel stay - would call Swissotel . 
 Aug 24 2009 	 Good Value Good Price 	 Swissotel Chicago locate near top attraction , i.e . Magnificent Mile , Navy Pier Chicago River . good price , receive double bed , large spacious room view city Chicago River . however , Geneva Restaurant basement price . example , breakfast buffet $ 26 hot chocolate cost $ 6 . $ 15 daily fee use gym . equipment business center outdate . bellhop staff resourceful . another recent trip Chicago , stay downtown W Hotel near Art Institute . room small much expensive . therefore , would definitely recommend Swissotel W Chicago . 
 Aug 21 2009 	 wonderful stay 	 comfortable bed . beautiful , sparkle clean room . great service . get super price take advantage $ 40 per night upgrade 3 night stay get spectacular corner panoramic view hate leave room . Lake Michigan , Wrigley Building , Navy Pier glance firework night . wonderful stay . will . 
 Aug 18 2009 	 Awesome Service 	 family book Staycation package Nicole , Director Marketing . start finish 4 day/3 night trip excellent . love VIK desk ( 2 4 year old ) view Navy Pier 31st floor window superb . mention Air Water Show take place see great air trick . damper trip son hit lip windowsill room ( 4 year old level ) bust lip open . bleed forever ! tramatic ! despite enjoy mini trip love staff . everyone super friendly package fabulous & amp ; easy walk everywhere take water taxi . hope return ... minus injury ! 
 Aug 17 2009 	 would stay . 	 stay business trip August , 2009 , thoroughly enjoy hotel . previous review mention elevator noise -- yes , hear elevator , be loud real bother . bed comfortable ; room clean ; view fantastic ; staff helpful friendly . fitness center good equipment , room service arrive even fast predict estimate . internet service reliable fast , desk room large . highly - rank restaurant hotel , also many eatery nearby , almost every price range , choose eat elsewhere . ask business hotel ? architecture hotel unusual -- triangular - shape building , feature City Chicago 's architectural boat tour along river . hotel close Michigan Avenue Navy Pier Grant Park , etc . , be conveniently locate within walk distance many thing will want see / do Chicago . stay week , every single employee encounter friendly . would happily stay again . having say , not expect much way spa amenity leisure activity -- business hotel , resort . need place sleep prepare work , hotel great . hope resort experience , need leave hotel , might well stay actual resort . 
 Aug 15 2009 	 2 Sleepless Chicago 	 Husband stay 3 night hotel . give room 2002,2 door elevator east side lake view , big mistake ! loud elevator noise . callle stair , switch we 2403 , bad mistake , like helicopter room , noise unbearable . sleep iwth Ear Plugs .I call voice concern elevator might pose risk thing sound like break . one come check . Mini - Bar Scam , Buyer Beware . buy nothing ! ask girl Check charge extra $ 250.00 plus dollar item use . remove everthing mini - scam fridge soon get room . confused charge , , the girl confuse & quot ; NT understand charge thing did'nt take . Manager come straightened . explain girl extra charge room tax already factor price recieve final online purchase . girl desk say noise , ' oh 's unusal room would noisy , since be 03 , , , mostly 01 's & amp ; 02 's noisy . [ -- xxxx -- ] difference make ! spend $ 350 night room fantastic view , . great comfortable bed . excellent housekeeping . Shower leak floor , soak towel , continualy ask fresh one 's shower . not even offer Comps sleepless night , vague , , oh be sorry . Menu Prices room service Forget ! rate , Priced , Nickle Dime Scam ! even compe Breakfast ! well Amenities Best Western Suites 89 buck night . view would recomend , correct everthing else . will save Dough staycation ! Mrs. work Joliet , Il 
 Aug 12 2009 	 read many review 	 although lucky enough find deal ( never ; pay full price ) , stay Swissotel could go much well . buy Shedd aquarium package upgrade corner room view river one side Navy Pier . AWESOME VIEW ! wife trip spa plan make go without hitch . room large spotless . Shedd package could little simple ( charge restaurant breakfast credit back front desk ) give we promise . couple thing watch settle room & amp ; 7th floor even midnight street noise unbearable ( include hotel taxi whistle every 5 minute ) make sure skip valet parking . two parking deck one directly behind hotel one within block park half price ( count tip ) . 
 Aug 2 2009 	 plenty within walking distance . 	 go first anniversary never Chicago , pleased value , cleanliness location . room feel little squish , think room slightly break vent make mildly annoying whistling noise , appear like someone pry open vent vain attempt fix . nonetheless bathroom luxurious separate shower bath , love wear plush bathrobe provide . within convenient walk distance many popular site downtown Chicago also within 5 - 10 minute walk bus & quot ; L & quot ; . would certainly recommend hotel ! 
 Jul 30 2009 	 great choice Chicago ! 	 never seem away Swissotel Chicago lately ! work keep bring back , absolutely fine ; know exactly expect , equally , know high standard . the hotel smack - bang Magnificent Mile , super - central location - i.e . one right middle hustle bustle - important , may wish try Marriott Intercontinental . however , swissotel close , also nicely remove ; locate close Navy Pier , quieter lot calm , still offer easy access shopping attraction city . pleasant stroll along river bring end Magnificent Mile , also possible catch boat trip join one ' hop , hop ' bus / trolley tour . ' ve olny ever stay ' standard ' room property , spacious airy , function well business leisure traveller . always generously - sized workdesk , would easily accommodate two work laptop , ( though one chair provide ) . generally two telephone room , ( one workdesk another coffee table beside lounge chair ) , occasion , one . major issue , worth note . similarly , size bathroom visit small usual - still separate walk - in shower well bath , much appreciate ! room appear either look onto river bustle Chicago , side , face Navy Pier , ( especially great view summer month regular firework display ) .The technology room good up - to - date ; large plasma tv , ( think ... ' m especially thing ! ) , complement handy clock / radio nightstand also allow charge ipod indeed play music ipod speaker , make nice touch . on negative side , minibar one nasty move - anything - and - you'll - pay - through - the - nose one , come hate vengeance ! past call Guest Services loan mini - fridge previously instal room problem ; time round , tell flat US $ 50 fee , irrespective duration stay . well would appreciate mention in - room literature , not exactly understand hefty charge , ( be like ' m go run thing ! ) , especially have pay less 24 hour useage traveller spending week ... ( needless say , not pay ! ) also worth mention quite ' conference ' destination make thing busy stay one event ; service slow erratic , wait elevator long frustrating ! breakfast buffet Geneva restaurant highlight good start day . definite continental twist spread offer , lovely birchermusli lot cold cut accompany usual american - style fayre . serve time generously extend weekend breakfast quite easily become leisurely brunch , be worth take time whole thing be rush ! excellent choice stay Chicago , would recommend try get room high floor possible maximise enjoyment view ! 
 Jul 30 2009 	 nothing like 	 think title say . nothing absolutely fall love hotel , also nothing like either . manage secure unbelievable deal last minute Swissotel . not first choice honest , live expectation supercede need get it . the location almost unbeatable price . earn cre triangular shape hotel build Chicago . sit right river depend room will get unparallelled view architecture , two body water beautifully light Navy Pier night . we face Wrigley building 29th floor . bit unnerving also face busy office building across street we especially come change relaxing . really spend little time room . when come room , standard run mill hotel room . clean , bit small side . two double say room feel bit cramp . one bed almost wall . yes , good thing go hotel location negative . 's hip trendy place . be single be probably go kickin time . see mostly family , old couple suit people come convention . the staff friendly enough check , check go smoothly without incident . room clean spic span every day . bed comfortable soft / plush , 's matter personal preference . mini bar super annoying charge move thing place , also brainer rectify situation check . probably use type complaint , not give we hard time all . all , within 5 - 10 min walk major destination downtown . loop , red blue line , El , millennium park , grant park , lake shore , boat tour , step Michigan Ave Magnificient Mile , Navy Pier . convenience factor unbeatable . ton restaurant within block radius . never eat anything onsite can not vouch food option immediately avialable . another thing annoying fact charge internet , gym pool . guess make money somehow since practically give room away . it be really great value money would not mind stay visit city . be say lot ! 
 Jul 29 2009 	 nice place stay 	 overall hotel pretty good . 4th floor quiet clean . front desk staff mean , informative either . check lady look we promptly leave say would right back . 3 - 4 minute information another lady come back give we key . nothing sign , rate confirmation direction room . ran manager walk we way room nice however . problem promptly resolve . location also good although option close action . always look location cleanliness hotel one fit well . one thing point ... elevator get busy peak time . 6 entire building time wait 3 - 5 minute one open . big deal prepare . 
 Jul 27 2009 	 complaint 	 book hotel , little worried review , go low expectation pleasantly surprise . agree Swissotel super memorable hotel 4 star place , ... basically , business hotel . rate $ 209 recently renovate queen / queen room high floor . wonderful view river Wrigley building . room clean , bed comfortable , bathroom huge ( think handicapped accessible room ) . quiet , even though hotel full . place could hear people bathroom , reason . front desk nice let we check - in 12 noon store bag bellman . desk clerk tell we day would able room noon , hotel sell night many people still check noon . read expensive valet parking , pull , drop bag , move car less expensive garage , save we $ 22 ! , good experience , might first choice , would stay . 
 Jul 27 2009 	 impersonal worth price 	 stay week July 9 - 14 , 2009 . response automate message send hotel thanking patronage ask feedback . management response : & quot ; thank feedback helpful ! sure pass along management team review corrective action . thank great week . & quot ; = = = = = = = = = = = hello , enjoy Chicago may visit . visit business sure would stay hotel . price prohibitive personal visit , actually little surprised extra charge . husband travel extensively first Swissotel . disappointed find every amenity extra charge . $ 11.00 bottle water , gym use charge , wireless charge per laptop ! truly first we . many family multiple laptop one main warning review . stay Klimpton Hotels , Omni ' , Sofitel ' well Hilton ' Marriott ' believe offer complimentary wireless ( though require free signup member service ) . even ' offer room , lobby complimentary wireless . see critical we , suspect , many travel regular basis . the room nice large assume give handicap room ( though disability ) conference rate . head front desk would nice , though suspect explain reason room spacious . tub though look little hospital like bar drippy faucet stain porcelain . report drip , kid might get charge : ) concierge staff abit chilly time , housekeeping service staff extremely friendly cheerful . bad several day , able service room late afternoon . another surprise want take nap 4:30pm room still clean . appreciate promptness request make ( e.g . wakeup calls , non - allergen pillow , shampoo ) say , surprised request shampoo ! second day finally realize , nope , ' mistake , ' provide . however , ' bring extra packing , call , note , promptly deliver . appreciate follow - up email hope feedback helpful . 
 Jul 26 2009 	 poor value price 	 pro : comfortable bed , nice room , excellent viewscon : nickel - and - dime death ! parking hotel guest $ 52 ! 's crazy . $ 15 fee use pool , sauna fitness center . order bacon breakfast $ 9 . mini bar unheate small bottle water cost $ 9 . mini fridge room little extra like shampoo bottle hand soap miniscule . tv channel available few get home basic cable . two people front desk check guest . one ignore guest type computer , effectively one person check guest - Saturday ! particularly gracious . seem slightly annoyed job . suppose upscale hotel poor value money definitely worth price . 
 Jul 23 2009 	 wonderful Location View 	 stay Swissotel Chicago 4th July weekend . great place stay — especially partake city ' festivity . short walk bring Grant Park firework 3rd . afterwards , since hotel slightly main drag Michigan Ave , able retreat quickly back room enjoy peace quiet rather noise everyone walk around . view room — spectacular ! ' ask idyllic picture Chicago right outside window . room quite spacious clean . bed comfortable feel like sleep home . hotel bit busy weekend , staff great job help whatever need . would definitely recommend Swissotel place stay visit Chicago . 
 Jul 23 2009 	 Great Hotel bit impersonal 	 spend 5 day July Swissotel find facility excellent . our room view Navy Pier lake comfortable spacious . the hotel well situate explore catch bus various attraction . my criticism would perhaps due size building busy staff appear bit impersonal . numerous excellent eat establishment nearby esay walk Navy Pier . 
 Jul 21 2009 	 clean quiet hotel 	 hotel nice clean quiet location we . right smack middle hustle bustle o.k . we . 20 minute walk Navy Pier Millenium Park . several meal Fox Obel River 2 block right . meal fresh delicious . hotel staff professional , fornt desk somewhat slow check . lobby bar serve food late night could not find vend machine soda snack , stop nearby market go night . even crack open mini bar price outragous . view lake Michigan Chicago River . room comfortable , clean quiet . upgrade suite room spacious . hear much traffic street . book room hotwire get good price . Park one pay park area street one public parking lot hotel park $ 52 / day . 
 Jul 20 2009 	 Outstanding lake river view bit beat track 	 hotel bit beat track . 's Wacker Dive Columbus Lake Shore Drive . daughter stay 16th floor . July fourth weekend hotel pack . wait time elevator bite lengthy . also wait ten minute baggage clerk return wherever . hear nothing people next room , hear elevator constanly midnight . quiet 5:00 a.m , elevator begin earnest . pay upgrade room spectacular view Lake Michigan , Chicago River , Navy Pier . hotel within walk distance Navy Pier take cab get John Hancock building . also , 42nd floor unexpected autographed jersey photo famous Chicago athlete . king size bed extremely comfortable , feather pillow comforter . room clean bathroom spacious well stocked toilletree . concierge friendly helpful . order room service breakfast disappoint . though pretty costly , definitely worth . well scramble egg ever , outstanding bacon , actually bring we toaster could toast bread room . OJ freshly squeeze . potato excellent . 
 Jul 16 2009 	 would recommend .... 	 read review , say grateful father share horror story people . father town four day Los Angeles catch game Wrigley Stadium , front desk bar staff friendly accommodate , provide recommendation us attraction , transportation service . dispute charge last day ( charge us meal complimentary move item mini - refrigerator store water ) , happy remove charge apologize inconvenience . hotel across street Chicago River various boat tour , 15minute walk Navy Pier . train , bus , shopping area , bar , etc . within walking distance hotel short taxi ride away . also , Giordano 's Pizza five minute away hotel . HIGHLY recommend fantastic pizza ! ! drawback thin wall able rest comfortably other use shower room another room , slippery shower clean vending machine . also , limited television channel charge internet ridiculous ( stand dingy hotel NY wireless internet service ) , one go vacation surf net watch television anyway . overall , would recommend hotel . can not beat price convenience ! ! 
 Jul 14 2009 	 adequate nothing special 	 college roommate try meet twice year trip decide hit Chicago July 4th weekend . find $ 99 rate Swissotel Travelzoo make book accomodation easy choice . location super convenient we ... quick walk Grant Park Taste Chicago firework , Art Institute , nearby L station get we everywhere else without car ( grateful base hotel 's parking fee ) . room two full bed comfortable like shower stall separate bath . everything clean room ... housekeeping take good care we . hotel pack hear quite bit noise guest pass hallway ... big deal . problem crazy wait time elevator . People line halfway lobby time pass ... luckily always way line bad not wait long . overall , think Swissotel perfectly nice facility feel like get good deal would never consider pay full price stay get amenity service low rate elsewhere . 
 Jul 12 2009 	 great view pool ... 	 love hotel , great view pool roof , look like fitness centre well look after . breakfast amazing , good location good view look Navy Pier . 
 Jul 12 2009 	 beautiful view ! 	 checked offer upgrade room view . since cost decline room 16th floor side face away river . view wonderful . overlook park new Aqua building . could also see marina Natural History Museum . room comfortable . enjoy single - serve coffee / tea appliance . charge mini - bar item even though open refrigerator put water bottle chill , sure check bill check . hotel take false charge immediately mention . Geneva restaurant delicious breakfast . location convenient pick bus boat tour walk Navy Pier Mag Mile . we disappoint internet service free . 
 Jul 9 2009 	 worth get deal ! 	 stay Swissotel July 1 – 5 , 2009 . get superb rate take advantage hotel ' price match / beat policy rate find Orbitz.com . four night stay end cost $ 320 US include taxis . check - in smooth . call ahead request high floor view Grant Park . hope could see firework July 3rd room ( 30th floor ) . ask check - in clerk would possible say even high floor , would obstruct view . room nice spotless . garbage desk , capsule coffee maker previous user still coffee maker , bed sheet hole ( 1 " long ) . oddly , ' give shampoo either – conditioner . container bathroom counter mean cotton ball , swab , etc . empty duration stay . huge deal since use toiletry expect hotel calibre . surprisingly , see July 3rd firework quite clearly room – beat fight crowd street level . able watch firework Navy Pier Wednesday Saturday window right outside elevator floor . hd tv nice touch analog channel bite odd . need ice every night store drink buy CVS next door ; hotel ice machine floor . machine ice July 4th ! apparently , hotel charge $ 5 in - room ice delivery night . ( PULEEZE ! ) location perspective , hotel ' centrally locate Loop Mag Mile train station . take bus ( # 6 – right @ corner Wacker Columbus ) lot since efficient . little amenity near hotel – except newly open CVS next door Bockwinkels near Fairmont ( Stetson ) . frustrating spend day shop Mag Mile , come back hotel dump bag , shower , head back Mag Mile dinner . concierge service line okay . greeting call ( Westin , Hilton , Marriott greet name call ) service fine indifferent . map / tourist booklet readily available . would give another swissotel try another location return Chicago , would stay elsewhere location really important we . , price pay , little complain ! 
