Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 oct 8 2009 	 City Hotel 	 Conrad everything city hotel . great location downtown Chicago , roof top bar lounge , wonderful room comfortable bed pleasant service . could not ask . 
 Oct 5 2009 	 Comfortable well - run Convenient 	 return long weekend Chicago Conrad . try use TripAdvisor help we choose Hilton property stay . think Conrad right choice would concur positive review other . room attractive , spacious , modern . service superb . eat restaurant every morning go quite well . try bar , include afternoon tea , staff super job . Conrad actually part shopping mall anchor Nordstrom 's , shopping interest , Nordstrom 's Miracle mile doorstep . we , prefer take river architecture tour see site . departure river tour two block away , red line subway ( Wrigley ) also two block away . would certainly stay . 
 oct 1 2009 	 Wonderful Hotel -- would definitely stay 	 Conrad wonderful . use Hilton point stay one night check follow day go across street Chicago Marriott conference hold . much preferred Conrad Marriott . king - bed room huge great amenity . great snuggly robe slipper guest 's use . especially enjoy use immaculately clean soak tub ( right next glassed shower ) afternoon bike riding along Lake Michigan . room clean upon arrival . large desk , comfortable lounge chair ottoman , large flat screen t.v . , bose sound system , dvd player alarm clock / docking station next bed Ipod . low floor ( 6th ) occasionally could hear El train rumble , notice occasionally awake ( bother sleep ) . great location . not try restaurant hotel can not comment . fitness center adequate . less cardio eqiupment think would hotel size ( think 8 - 9 piece ? ) weight equipment could use update . great stay would definitely book hotel . 
 Oct 1 2009 	 worth every penny ... ( wheelchair guest ) 	 get back week Chicago . yearly & quot ; girl vacation & quot ; ...... mom , sister . mom wheelchair , require search hotel thorough bit demand . want GREAT location , 5 star category , spacious wheelchair accesible room walk - in shower . suprise find one asume 5 star hotel type room . not ( Westin ) . get great deal ( $ 220- $ 240 night ) . eventhough rate not include meal , agree worth every penny . service wonderful , begin Bell Boys , Front Desk , restaurant Staff ( great food way ) , housekeeping staff ... anyone remember courteus , considerate mom ( us ) concierge give good tip Dine ( budget ) good recomendation Architectural River Tour ( Chicago Line ) . see company offer , mostly depart Navy Pier , one 's harbor separate location . boat well , guide awesome , price include Starbucks coffee , muffin cookie . make sure take cap hat sunblock , since 90 min tour completely uncover deck , appreciate building . the room much large average double room . Eventhough hope 2 queen bed , get 2 full size bed . bathroom extremely acomodating , able actually & quot ; wheel & quot ; mom shower ... fold - in bench sit , hooked wall ( convenient ) .We room service twice , sister could get body move without coffee . actually send french press press right , coffee fresh be . they lively bar main lobby , mostly populate business collegue ( typical family friendly hotel ) . floor , beautiful Terrace overlook downtown Chicago ( Main Lobby 5th floor ) limit creative menu offer variety & quot ; tapa - like & quot ; appetizer range asian cuisine eclectic dish nothing exquisite . try Terrace , leave satisfied amount food quality / taste . consider 5 star hotel , price menus ( Main Restaurant inside , Terrace Bar ) considerably high . delicious breakfast consist egg / omelette , toast , juice & amp ; coffee neighborhood 25 - 30 dll . the PLUS hotel , ... not want spend per diem meal , COSI right across street 2 3 decent choice breakfat , Quiche , Croissants excellent coffee . we also discover ( halfway stay ! ) passage connect hotel directly mall , NORDSTROMS , , Nordstroms Cafe , serve good breakfast ( simple fruit bagel complex delicious Veggie Omelette ) aprox . $ 10.00so ... choice right there . the location another plus . within walk distance good Malls , Miracle Mile , Navy Pier ( recommend unless like shopping & quot ; Love Chicago & quot ; T - Shirts Key Rings ) , dozen good restaurant downtown Chicago , many attraction . cab ride financial district Theatre Disctrict long 10 minute , cost around $ 5 - $ 7 dll most . I extremely light sleeper asure anyone room soundproof start 5th floor , room quite far street noise . the one thing complain extremely cold temperature keep lobby hallway ( around 55 - 60 F ) bath towel ( thin rough ) .i write separate review point interest , comment Wheelchair accesibility , surround neighborhood , dining museum . we would definatelly go back hotel . hope helpful ! 
 Sep 19 2009 	 Excellent Staff - Wonderful Suite Michigan Ave View 	 trip combo business / pleasure event daughter friend . arrive early day check - in knowledge would shop return hotel later day . luggage hold conveniently room return . corner suite good view look North Michigan Ave . could see way lake . suite 's living room / dining area huge well appoint . next day several we able meet plenty room work table . light fill room windowsWe use terrace bistro cocktail one evening lunch next . food drink good . serve tapas ' style . atmosphere delightful . ' m breakfast person daughter friend rave omelet main restaurant . automatic coffee maker room provide good cup coffee . the Concierge attentive make several good restaurant suggestion well advice different river cruise . overall staff excellent . good service everyone . unfortunately , Conrad like hotel new type mini fridge sensor automatically charge item room move even slightly place fridge . unless buy item mini fridge useless average traveler . personal item medicine store . all excellent hotel good service . 
 Sep 18 2009 	 Beautiful Hotel Afford 	 beautiful hotel would stay normal conditon cause expensive deal work 3 we sharing . decor fantastic , Bose stereo system , beautiful bathroom , plush linen etc . hotel well locate Chicago get around everything fact adjacent / attach nice mi . avenue mall . breakfast include rate busy town use service hotel comment . location plushness hotel make wonderful stay we . 
 Sep 18 2009 	 Favorite hotel city ! 	 start Conrad wonderful hotel great location near everything make downtown Chicago great . okay ' cheap ( pay $ 248 per night awesome property ) , valet parking cheap hotel make great staff , wonderful service , fantastic terrace bar . travel 150 + night per year always look forward stay Conrad . PS bed super comfortable quiet stay . 
 Sep 17 2009 	 everything great .... 	 get bill $ 285 side clean mini - bar . every last thing . ABSOLUTELY ABSURD ! not even know mini - bar room ! call dispute charge , say would not reverse . ' m well travel ' ve never absurd accusation . would stay away hotel . 
 Sep 12 2009 	 5 * beyond expectation 	 return 4 night Conrad Chicago , everthe hotel excellent . wonderful room service staff first class . great view room . hotel location great , right centre magnificent mile . wonderful stay amazing city make perfect stay Conrad . 
 Sep 10 2009 	 Loved ! 	 stay Conrad first trip Chicago UK love hotel . NYC many time room enormous compare tiny one . have travel 16 hrs time arrive reception staff lovely we . room need bathroom heavenly . complaint petty one . not many bar nearby mean could not nip couple drink hour teatime . secondly need coffee wake ! know complimentary coffee bar til 8 am hol deserve lie . finally , turndown service leave radio super loud . 3rd night leave note ask leave . not mind feel bad room next door . hotel stay would give 5/5 one . 
 Sep 9 2009 	 everything glitter gold 	 husband decide go Conrad anniversary , lot look decide Conrad three day stay . first inform extra hundred dollar day policy call check reservation . parking fee wat expensive ! ! ! room nice clean , however , everything else horrible . room sevice suck , order soda meal kid , take twenty four hour get . husband call three time finally ask speak manager . inform we soft drink would next meal , well , order lunch next dat still soda ! ! ! husband call manager state would soda walk restaurant get self . amazement finally soda twenty four hour wait . needless say , rest staff refuse order anything else hotel . one first day husband decide take nap hear someone tug room door , scared . staff person try get room . never identify husband ask . person rude angry . finally inform we check mini bar . call speak manager assure we would talk person . call front desk remind room service come room take dish away . staff person get still leave dirty dish room . upon we leave decide fill stay card , also send letter general manager hotel . it be almost four week since stay still hear anything ! money spend Conrad would think service would lot well . problem deal kind take away eleven year anniversary . 
 Sep 4 2009 	 good choice Chicago ! 	 ' m tourist travel around world . stay friend back february year really like hotel . room nice staff really friendly . nothing complain . 's totally luxury 's perfect tourist explore Chicago Business traveller . 
 Aug 22 2009 	 good business hotel downtown Chicago 	 not many Conrad hotel USA honestly shame valid competition high end hotel chain ( i.e . JW Marriott , Westin , etc . ) . particular hotel fine business hotel . upgrade Jr. Suite , basically one large room sort l shape . big city standard room huge , complete Bose 321 dvd system high def tv HD programming . bathroom also highlight huge large walk shower addition big tub . Conrad Chicago unique service ( additoinal charge ) present & quot ; pillow menu & quot ; . choose several different pillow ( relaxation , clod flu magnetic ) cool . magnetic probably bad lot relaxation wonderful . their location terrific . one block Michigan Ave Rush near Ontario . connect mall ( big city standard ) . easily walk Loop . ton restaurant within walk distance well . the valet parking rip though $ 51 / night . cheap parking alternative neighborhood . thankfully work company ok sort parking expense convenient park hotel . they little outdoor bistro type restaurant fifth floor . great set food terrific . would highly recommend . 
 Aug 18 2009 	 Faux Art Deco ? 	 despite longtime Hilton visitor , first time stay Conrad . number meeting private dining requirement , book suite 17th floor . room spacious facility necessary service friendly check - in waiter concierge could fault . expensive stay value money ... big tick box . try might , could not work old hotel . definite art deco feel everything main colour sort beige . lift ( elevator ) straight Gotham City appear design give little possible interior light indeed public area . ' m still sure whether hotel design & quot ; 1930 's Experience & quot ; indeed 1930 's ... event , impressed would certainly visit business ... assistance night vision goggle . 
 Aug 16 2009 	 clean 	 birthday wish year visit city Chicago . always check TripAdvisor book hotel , friend suggest Conrad Chicago . pay extra city view ( $ 50.00 night ) waste money . not pay extra city view . the hotel clean staff extremely helpful . quiet inside hotel , could hear traffic noise road . 7th floor . the bed extremely comfortable . read TripAdvisor towel Conrad soft . true ! ! ! rough actually . invest new towel . loved shower gel lotion provide ! friend suggest eat hotel restaurant breakfast . food overprice not tasty . suggestion : spend money elsewhere . plenty Starbucks around city . Yum ! would definitely stay Conrad Chicago . pleasant relax experience . 
 Aug 14 2009 	 Great adult 	 ' m big city summer family decide take trip visit another big city - Chicago . really go see team play Wrigley Field . hear great thing city , uncertain stay . read review look hotel website directly , dedide Conrad . get decent rate directly hotel website . comparable hotels area class . transportation really depend familiar Chicago preference . decide rent car traffic horrific parking hotel cost much $ 51 day . take orange line airport stop near hotel . since luggage , decide take taxi cab last block hotel . , problem check , although must say staff front desk not friendly . hotel lobby room look exactly like website , nice . be clean , neat , well maintain . bathroom large well lit . flat screen tv accompany Bose sound system , family enjoy . nightly turn service , nice touch . bed decent . ' ve sleep well bad . since large city , view hotel not anything special . surround office building . mainly keep curtain closed . drink late night snack outside terrace restaurant . 's comfortable bar , plant , patio furniture ( include couch throw pillow ) . food drink average quality , little high price . three drink chocolate fondue cost we $ 70 . also eat room service breakfast one morning . service prompt , impressive . food average well . probably would not order . breakfast run $ 30- $ 40 per person . live major city use semi - high price , seem high we . hotel nice centrally locate many area attraction , hotel absolutely cater business class traveler . if / when return Chicago , will likely stay another hotel . although ' ve stay 4 5 star hotel , not feel comfortable welcome hotel . nice people hotel bellman . 
 Jul 26 2009 	 Great Hotel 	 recently stay Conrad Chicago first time . attend conference Marriott across street . ' m glad stay Conrad instead . facility well maintain . service great . long possible find good rate , would mind stay . 
 Jul 25 2009 	 disgusting room service 	 imagine get first time overlook room , suppose ready , use towel mouthwash open use ? leave towel floor ( foot towel ) dry face ? slipper , although still bag , sole break leave tiny plastic part way garbage ( room , de facto ) .i not realise would happen see paris hilton tv know god great us idiot go company able create her.shame we , actually ! 
 Jul 17 2009 	 first time Conrad - awesome ! 	 great hotel completely worth pay , consider really not much expensive low - end hotel area . great service , clean / large room , excellent location really cool restaurant . definitely stay ! 
 Jul 15 2009 	 first stay Conrad 	 experience Conrad one Dublin 10 year ago . Chicago facility pleasant reminder fine product Conrad brand . location excellent , decor subdue tasteful , service friendly ( generally ) helpful . complaint staff seem terribly responsive note lock door room seem defective . someone apparently send look , never receive feedback explain problem fix . 
 Jul 14 2009 	 Happy Traveler 	 husband recently take trip Chicago little fun sightseeing . book conrad great rate Expedia week prior trip , tell pleased sight - unseen hotel . ' tuck away Rush St – block Michigan Ave . – within step Miracle Mile offset enough stay quiet un - crowded . park car ( self park $ 31 / day valet whop $ 51 / day ) able walk – take short cab ride – everything want see / do . room , well - appoint … spotless , modern , comfortable bed linen , awesome bathroom , huge flat screen tv premium channel . much view , amenity make . minor setback towel ( rough would expect nice hotel ) must adjacent ducting sort could hear occasional knock ping wall . housekeep excellent job clean everyone valet concierge extremely congenial helpful . fact , enjoy stay much ended stay order room service last night , also pleased . would stay heartbeat . 
 Jul 8 2009 	 Immaculate hotel 	 hotel awesome . room bathroom awesome . hotel cool bar never grab drink . front desk always friendly helpful . hotel great location- one block shop Michigan Ave . use point 2 night weekend stay would definitely spend money stay ' m sure nearby hotel , like Marriott , would big let . 
 Jul 5 2009 	 Perfect place Chicago 	 fantastic location magnificent mile . Conrad connect Nordstrom mall . everyone come contact bellman Concierge top notch professional . room luxurious spotless . great flatscreen tv . find one thing absolutely perfect would mattress . linen pillow great , mattress good . pillow menu fun . rooftop terrace lovely place evening . free high speed internet . 
 Jul 2 2009 	 terrible service not even get 	 call sale department three time , get voice mail every time , return call , period two week . hope stay Terrace suite , tell reservation , ( number give reservationist , ) book phone , online . three message leave , response , assume not need business . ' m surprised rude treatment think nice establishment . 
 Jun 16 2009 	 nice 	 three son decide spend 2009 Easter weekend Chicago end Conrad Hilton . great price Hotwire . room clean , big , quiet . lobby floor ( 5 ? ) make private . small hotel , small bar area , one restaurant see . excellent location connect skyway / elevator seriously good shopping . wish would computer available lobby confirm print airline departure tix . Coffee morning bar . want , order adjoining restaurant . 
 Jun 9 2009 	 Perfect location Miracle Mile join Nordstrom Mall 	 hotel room elegant , quiet , nice view . location Miracle Mile near Chicago River perfect shopping dining . Grand Lux 1 block away , 2 starbuck be within 100 yard . terrycloth robe room spacious bathroom separate shower tub . T.V . huge H.D . bose sound system well home . high - speed wireless connection room fast ' ve ever see . another plus outside hotel free trolley Navy Pier . hotel totally quiet , friendly , get good deal pay advance . will definitely back . 
 Jun 9 2009 	 like President - diamond member 's treat 	 book HiltonHonors ( diamond ) reward stay , extremely pleasantly surprised - executive room book - double triple upgrade we Presidential Suite ! ! ! WOW . suite indeed . location hotel also excellent ; lot 's stuff walk distance . parking indeed expensive , be expensive everywhere downtown chicago . Breakfast - although food great - poor point hotel : seem disorganised constantly line people & quot ; wate seated & quot ; although empty seat abundantly available ; one person take care thing well ; also wait like 20 minute coffee come twice ; i.e . not go breakfast hurry . , truly great hotel next time will go , also pay customer ! 
 Jun 9 2009 	 great central location close everything 	 really enjoy stay . walk shop fun Chicago eatery not need spend lot money transportation . room luxurious classy . 
 may 26 2009 	 great location especially shop Michigan Ave . 	 negative Conrad also thing make nice . mean 's right smack middle Michgan Ave . shopping action , be little hard find driving -- -which make quiet stay -- -no busy lobby pack bar . classy , upscale elegance . like property , room decorate nicely , small side . standard room , view nearby office building . want see lake , will need spring one expensive room make sure tell check person desire good view . food restaurant good service , though breakfast little pricey . try cheeseburger room service . will not disappoint . the hotel connect elevator adjacent mall . elevator drop right next entrance Nordstroms . , walk hotel , little hard find . look quiet luxury hotel step great shopping , . 
 May 26 2009 	 ok stay 	 Hotel nice , nice location . room fairly clean except robe closet red stain inside , desk drawer comment card leave 4 month prior ! guess housekeeper clean look drawer since ! front desk service average . 
 May 26 2009 	 Great Hotel ! kid friendly thought . 	 book hotel read website say Conrad one kid friendly hotel Chicago . state greet kid cotton candy check - in give age appropriate toy . decide factor fact dvd player room . 3 year old daughter like watch & quot ; Incredibles & quot ; night go bed . well , say hotel absolutely beautiful , cotton candy toy greet daughter check - in . oh well , deal breaker mean , expect kid friendly . actually not see child entire time . not matter we , also not pool , could downer want one . room great , staff helpful friendly , location right - on ! room nice spacious not hear peep anyone entire 3 night . think one quiet ! look kid friendly hotel , spend little extra go Ritz - Carlton . excellant playground right across street get energy . hear , cookie milk turndown service . not get wrong , would totally book Conrad husband , not know would book 3 we . 
 May 25 2009 	 's love 	 location fab ... right next Nordstrom ( mothership ... ) staff lovely room comfy invite . cool , relax color cushy furniture .. love deep soak tub . ridiculously great burger Room Service ( personal survey good rs burger ) conrad top 3 ... nothing beat midnight burger jammie ! ' ve stay least 6x never bump ... good view , great staff , zero problem . get ! be come back Nov MAGMILE LIGHT FESTIVAL corner suite will perfect view Parade . book early get asuper rate . skip in - house restaurant , go across street COSI great coffee breakfast : ) 
 may 18 2009 	 Chicago Conrad - everything expected 	 stay son weekend May 16th . check - in quick pleasant . my room 6th floor , cityview . room identical . entryway room spacious . room large ( 50 & quot ; ? ) flatscreen tv , desk comfortable leather chair , easy chair ottoman dresser 3 drawer storage . life , understand hotel wifi , old fashioned wire hookup . there good sized closet equip large Conrad shopping bag carry home souvenir . closet also eqippe slipper , cloth laundry bag umbrella use inclement weather . hotel proximity firehouse , area loud time never hear anything room hallway 2 night stay convention town , quite impressed quietness . bathroom & quot ; Kohler & quot ; brand luxurious marble countertop floor , tub , glass enclose shower . Toiletries Italian , also include q - tip , floss stick , mouthwash toothbrush small tube Colgate toothpaste include . toilet seperate door bathroom . towel thin worn mention other . hotel bar around 12 barstool table easy chair accomodate another 28 - 30 patron . table easy chair area surround lounge entrance . bartender assistant good job pleasant boot . use restaurant breakfast . give voucher free Continental breakfast . voucher worth $ 14.00 could use credit item menu . opt american breakfast consist egg , potato , meat item , toast , juice coffee tea . price $ 19.00 . portion small side would definitely opt another restaurant not voucher . onlike comment staff , happy service receive waiter waitress . hotel great area shopping , 20 minute walk waterfront . also 5 minute walk C.T.A . redline , great travel friendly confine Wrigley Field connect train line . ride come city ORD Friday evening 35 minute ride $ 45.00 + tip . Sunday morning , ride take 25 minute cost $ 36.00 + tip . diamond status Hilton Honors program , thing slightly disappointed lack executive lounge . know go . overall , hotel everything expect . lack executive lounge , probably try Drake Hotel next time Chicago . 
 May 18 2009 	 solid experience 	 stay Conrad Hotel time , business leisure . trip , May , 2009 , leisure ( long weekend Chicago ) . give keep return , obviously like hotel . room well - appoint , decor luxe end without ostentatious , fitness center awesome , location -- right Michigan Avenue , car entrance rush -- beat easy access downtown Chicago beyond ( subway block away ) . late stay offer another solid experience . the hotel position high - end property , mostly fit bill . concierge service always excellent , several thoughtful amenity [ slipper , plush robe , fantastic av room ( include DVD & amp ; cd player additional charge ) , huge bathroom , luxe bathroom product , umbrella , complimentary shoe shine , fabric laundry bag , etc . ] . bell service always nice . property seem cater old , ancient , crowd , feel like retreat hustle bustle Michigan Ave . , hotel small property Michigan , lobby lack craziness big hotel . think areas hotel miss mark bit detail work luxe property ( like Ritz Four Seasons , hotel position compete ) get 100 % correct . instance , ATM lobby not read card , staff not know ; turndown service forget room one night ; hotel 's newsletter room , detail movie show terrace summer fall , old featuere 2008 , rather 2009 , schedule . also , attempt order simple room service breakfast one morning ( pastry coffee ) , tell wait would one hour kitchen overwhelmed ( appreciate honesty , hour coffee croissant ? ) . stay pretty great rate , not minded small thing , pay rack rate hotel have sensitive thing . overall , nice hotel good ( sometimes exceptional ) staff fantastic location . 
 May 9 2009 	 nice place - little tired place 	 stay 6 night business , wife . 8th floor room : neat enough , room fitting bit tired need update . bathroom well 4 - 5 star standard . wide screen tv ok . towel nasty , cheap scratchy correctly advise another reviewer ! hotel breakfast poor value . nearby deli market well bet ( Jewel Osco market Fox & amp ; Obel within walking distance ) . fitness centre air con not wife use 0500 - request . good location lower end magnificent mile . entry bit weird nordstom mall - luggage , certainly enter via Nth Rush Street . btw need real coffee try Lavazza cafe E Ohio , Bice restaurant E Ontario good italian meal . 
 May 4 2009 	 intimate hotel nice location 	 hotel pretty small one ( Chicago least ) nice location . main entrance Rush street Illinoins Grand . lobby level 5 , need take another set elevator access room . sound difficult , be really . also get fifth floor lobby Michigan , need go mall access elevator take Conrad . luggage , might bit difficult . this first stay Conrad hotel USA expectation set pretty high since Conrad hotel Asia excellent . HH Diamond member usually get upgrade free breakfast . Conrad though continental breakfast coupon , upgrade perk somewhat disappointing . my room high floor , pretty much face wall nearby Marriott . otherwise room nice . beautiful décor , clean , large size good bathroom separate toilet . I trouble stay tv 's hd channel , since staff unable fix problem give free access movie channel , nice way solve issue . the complaint hotel really average service & amp ; food restaurant breakfast . twice breakfast Conrad , time service inattentive slow . food , say , average . sad , since staff hotel great . on third morning walk Sofitel 's Café des Architects breakfast ( nice 10 - 15 min walk ) great . service food . sofitel btw nice hotel well . use Fitness center twice . Lot 's space , otherwise nothing special . good stay . one thing really need improve though restaurant 's breakfast service . 
 Apr 30 2009 	 beautiful property amazing location ! 	 everything ( minibar champagne ) amazing ! front desk staff allow we check 9 am ... 9am ! ! ! ! ! without charge anything extra . room nicely appoint clean ! large tv , Bose dvd surround stereo , bathrobe slipper , separate soak tub stand - alone shower , huge desk , complimentary bottled water ( rare day ) grant request late checkout next day , also hold bag we almost 7 pm night go shopping dinner ! really nothing would change ... except champagne minibar gross ... dry ! 
 Apr 29 2009 	 excellent hotelgreat service location 	 return Chicago , stay Conrad excellent . good service attentive staff , nice room ( upgrade suite ) . overall nice certainly would stay . 
 Apr 26 2009 	 modern room great location 	 leave Conrad Chicago nothing good thing say . use Hilton point stay pay $ 35 / night upgrade junior suite . room 1519 . would reccomend people ask odd numbered room view look north Michigan Ave . our room modern 2 large HD / flat panel tv Bose 3 speaker sound system . 4 big window actually open . bed lined nice , towel ok . room clean bath room seperate shower tub . marble everywhere . robe , slipper , etc . work room good different machine free weight . clean towels workout room too . we never eat hotel can not comment food price . starbuck across street ( Michigan ) Espresso bar attach Nordstrom ground floor hotel . nice little mall right hotel . location hotel could better . walk distance everything . every kind shopping dinning experience could possibly want within 2 mile . over hotel boutique feel even though part hilton chain . 
 Apr 25 2009 	 Nice hotel great location need refreshing 	 work group nice stay Conrad , feel room little tired . much update deep claning . know 2 we suite , clearly host party one could really sort feel - hard explain . - staff helpful price quite good . all - in - all nice hotel . 
 Apr 22 2009 	 nice spectacular 	 wife stay weekend get - away . arrive room not ready . manager buy we drink terrace bar room prepare finish first drink still pay second round . I hobble around broken leg trip staff excellent . make sure room close elevator . concierge always take condition account recommend & quot ; walk & quot ; vs & quot ; cab . & quot ; terrace bar fantastic . great view fire pit great cool fall evening . we eat restaurant breakfast disappointment . food sub - par service slow . wait staff would disappear long period time . actually track waitress get check . hotel nice , money , Hilton well propertie Chicago . 
 Apr 22 2009 	 Lovely 	 first time Chicago pick great Hotel ! right centre Michigan Ave , Mall attach Hotel . Conrad 5 * boutique Hotel , room large , bathrooms clean staff extremely friendly ! .Will deffinately return wonderful experience . 
 Apr 21 2009 	 decent hotel 	 towel seem old quite rough . location perfect . skimpy come bathroom amenity . nice clean room . slow breakfast service . good thing hotel would concierge desk helpful staff . 
 Apr 13 2009 	 high quality big - box hotel 	 Conrad smart shopping mall north downtown , shopping district . 's good quality hotel , service match - staff well - train friendly , generally efficient . check - in helpful , housekeeping concierge staff deal dumb question tact , bellboy good job good grace . the room large well decorate . huge tv dvd player ( good range free - to - loan dvd concierge desk ) , play small Bose sound system cd capability . also ipod player , make teenage daughter happy . bed large comfortable ( maybe slightly soft , might plus ) , window open ( little ) sleep fresh air . bathroom large well - light . internet work well , LAN ( hooray ! ) wireless , free , increasingly annoyingly rare good hotel . so expectation high ! negative ? bathtub . like soak read book go bed , especially leisure trip . humph . tea / coffee room - like able make tea travel , carry supply favourite ... go unused trip . take two elevator get street level lobby 's level 5 , & quot ; popping & quot ; something major exercise . parking public garage opposite , even hotel discount 's expensive . , guess , part hotel 's service proposition , , overall , good one . two complaint could well handle . first , one day , housekeeping forgot make room , remind go dinner evening . secondly , seriously , need keep hard copy final bill tax record , , first time ever ( spend 100 night year hotel , do year ) ... let repeat , first time ever - front desk could not issue final bill - ask call 1800 number get copy send ! not make bad stay , make administratively inconvenient one . but generally , assume get good rate ( pay US $ 250 twin - bed room ) , good value , high quality hotel . not charm & quot ; special something & quot ; independent hotel , be pretty good . not expect receipt ... ! 
 Apr 13 2009 	 Perfect family treat ! 	 schedule change stay one night instead two . WONDERFUL hotel ! staff polite helpful . lobby room spotless beautiful . room comfortable- great bed , comfy chair . daughter love bath phone private restroom . Mary 's Cafe reasonable tasty breakfast . 
