Great 	 stay long & quot ; Thanksgiving Holiday & quot ; - first time London think charming , nice location hotel . could not happy . compare hotel stay Europe room not super small .... 
 Aug 19 2009 	 wonderful place stay 	 husband , two son age 20 17 , spend two night Cavendish London week visit husband 's parent Cambridge . could happy . two Superior room , one queen bed one two twin . neither especially large , comfortable . view room across London wonderful view window south end corridor floor even well . breakfast include room rate exceptionally good . as other say , hotel great location . be close lot thing people want see come London , quiet street . walk Buckingham Palace , Westminster Abbey , theater several central London park . oyster card travel Underground , use little . concierge able recommend several nice nearby pub lunch dinner , though seem less familiar moderately - price restaurant area . overall , staff helpful without intrusive . at 169 pound per room per night , bit splurge we , definitely worth comfortable stay location . see advertisement small standard room hotel start 129 pound per room per night ; none available travel date , even Superior room large , judge plan floor , standard room would seem small . still , give hotel 's amenity , available would good value . 
 Aug 13 2009 	 Excellent Hotel 	 hotel tick box . nothing complain , look forward stay . 
 Aug 12 2009 	 Fantastic Hotel - Book book book ! 	 Love hotel . review seem agree , much say ! go executive room - well worth . request high floor . get breakfast include - really good spread . stay special occasion let know advance - get REALLY nice birthday cake . keep Cavendish ; back ! 
 Aug 11 2009 	 Lovely London Hotel ! 	 stay cavendish late July five night love ! location fantastic room nicely decorate clean staff helpful . love breakfast include price room ! nice walk downstair start long day sightseeing delicious breakfast . staying help make first trip London completely wonderful ! back ! 
 Aug 9 2009 	 good value great location 	 book hotel birthday weekend call ahead organise bottle champagne . arrive room champagne follow along birthday cake & amp ; card courtesy hotel ! room small well equip . clenliness could well though ( hair shower ) .the first morning room service order lose make deliver two breakfast extremely quickly error raised.do book hotel want spend lot time room , location great & amp ; fantastic view include gherkin , london eye & amp ; big ben 
 Aug 3 2009 	 absolutely Fabulous Hotel - Everything Perfect 	 wife stay wedding anniversary weekend fantastic time . hotel perfect location minute Piccadilly foot . from arrive Saturday morning leave Sunday afternoon treat like royalty . staff always polite , friendly smiling . nothing much trouble . on arrival deal straight away reception staff , , special occasion give complimentary upgrade superior double executive double room . room 12th floor fantastic , right size amazing view across London . could see London Eye , St Pauls Cathedral , everything - fantastic . the room spotless everything could want . bathroom double shower bath - immaculate . on Sunday morning breakfast deliver room spot time 08.45 everything cook perfection hot . able eat breakfast comfort room whilst overlook London . this hotel far good hotel ever stay definitely back stay - hopefully soon . 
 Jul 31 2009 	 great location fantastic breakfast 	 hotel stay want great spot London ( 5 minute walk picadilly circus ) . room confortable , great bed , great view London . breakfast amazing . one suggestion improve : improve elevator ( long time wait get one ) . 
 Jul 31 2009 	 Excellent hotel plus outstanding service ! 	 stay hotel short break 21st birthday . upon arrival receive complimentary upgrade top floor superior room . reception , bar restaurant staff brilliant . couple hour return room find birthday cake card hotel ! view amazing . perfect location . situate within walk distance Bukingham Palace , Oxford Sreet West end show . can not wait return ! 
 Jul 29 2009 	 Great Value Great Location 	 price little doubt cavendish one good bargain London . primary purpose stay theatre , well location . easy walk distance West end National yet 's locate quiet Jermyn Street across road Fortnum & amp ; Mason . Superior Room 11th floor amazing view , top notch decor , wall mount flat screen , spotless bath good size London standard . never hear either street noise guest . rate include superb breakfast buffet include fresh juice , fruit salad , scottish smoke salmon , wide assortment jams wonderful pan de chocolat . addition opt cook order full english breakfast ala carte item egg benedict extra charge . prefer , breakfast serve room extra charge . staff could not courteous helpful ( couple minor billing discrepancy quickly pleasantly resolve ) free lobby WIFI access comfortable seat hotel lounge bonus . thirty trip London , ' ve finally find place stay . 
 Jul 24 2009 	 tight space great location . 	 wife stay first part honeymoon . upgrade 20 bp per night & quot ; large & quot ; room ... still tight , good . shiek hotel & amp ; room interior . room rate breakfast include -- good option .... buffet varied enough satisfy anyone . remember ask toast english muffin etc -- toast one bring table - nice . you beat location -- walk Picadilly & amp ; Regent St snap ; many great pub dinner / snack / drink nearby ... one particular , recommend hotel & quot ; Blue Post & quot ; -- pack , great food resonable price . the weirdness -- perhaps 's british thing -- shower . & quot ; door & quot ; short glass partition not really much good keep water go beyon tub . even care , would get sink area wet .... course could we . we not use on - premise pub etc ... bit pricy we . 
 Jul 20 2009 	 outstanding service location food . 	 family 4 2 room stylish european hotel . full english breakfast include room . restaurant fabulous , daily breakfast include buffet well egg cook order . egg benedict superb . enjoy dinner twice hotel , pre - theatre special . meal outstanding , hard time convince family eat anywhere else . however , try local restaurant find food service excellent well . one standout Al Duca italian restaurant around corner hotel . food great provide true contemporary italian experience right heart London . the Cavendish conveniently locate 3 block Piccadilly Circus , far enough away avoid Piccadilly noise crowd . within easy walk distance Trafalger Square Buckingham palace . in typical London style , room small comfortable . quality material use room top notch elegant . my one complaint lack reasonably price internet service . get free wireless service lobby , want service room pay £ 20 pound daily privilege , current exchange rate $ 32 . room service wire not help 're use iPhone iPod touch . want able plan sightseeing day lobby inconvenient . if live internet service issue would highly recommend Cavendish . 
 Jul 17 2009 	 great job Cavendish ! 	 cavendish wonderful hotel . ' stylish , clean , comfortable treat like dignified guest stay luxury boutique hotel " posh " part town . many hotel London overprice , dank feel like grandmother outdate parlor . ' one . review cover basic , important stuff . stay superior twin room , ' think small . two girl , two large suitcase , lot stuff fit . bathroom well light modern . water pressure great . linen new . bed comfortable . black curtain sleep . good sized television plenty channel . get great advanced rate include breakfast vat . hotel actually nicer anticipate give relatively small price difference cavendish 3 star hotel London . ( aside , visit friend stay expensive Holiday Inn Mayfair , 2 block away — it ' dumpy , dark , smelly — this much well hotel . think W Hotel vs. well , Holiday Inn ) . aside comfortable accommodation , like location service . location really ' beat . able walk everything — Green Park tube station around corner , Piccadilly Circus ; park ; museum ; major tourist attraction ; shop Thames River . two year ago stay Darlington Hyde Park much , much , much preferred part city — attraction , dining , shop accessible well quality one good neighborhood . staff extremely accommodate polite . deliver ice , juice make cheese sandwich especially we early hour morning . also ' freak friend visit late night drink less quiet . professional . breakfast great , especially ' include price stay . Eggs make order ; coffee deliver table ; everything fresh take plate room later . also deliver breakfast order night . hotel deliver quality little luxory reasonable price . overall great . intend stay . 
 Jul 16 2009 	 cavendish - great place ! ! 	 hi , ' ve return home great stay cavendish - find everything hotel fantastic , fact , not one complaint ! notice previous review people say room small admit mine not huge city like London not spend much time hotel not ... ' m always busy explore ! ! location hotel second none ... barely get tube central ( always bonus Summer tube get hot ! ) day , Green Park Piccadilly Circus within 5 minute walk distance . and breakfast buffet good - lot choose bacon & amp ; egg , cheese , ham , cereal , fruit etc . so , would definitely recommend hotel 
 Jul 14 2009 	 Great Location beautiful room super view 	 stay cavendish one night follow cruise . book executive room , arrive say 30 pound could penthouse terrace . say ok truly worth . penthouse large , 15th ( top floor ) stair floor 14th floor elevator . living room two slide door large terrace overlook London wonderful view Eye , Big Ben , Parliament , St. Pauls , pickle Westminster . the bed king size comfortable . bathroom large separate shower bath eco - green bath amenity . thing could quibble leave two towel total . anniversary celebration staff send delicious chocolate cake ! leave Heathrow Express 6:10 breakfast include not start 6:30 . however , staff prepare beautiful breakfast tray fruit bowl , croissant , juice coffee us room . wonderful ! would stay anytime London . location , near Piccadilly Jermyn Street fabulous . 
 Jul 13 2009 	 aware cancellation policy 	 husband stay hotel many time business mainly central location . book today tomorrow regular booking site hotel london realise soon read confirmation book today accident . immediately email book agent call hotel straightaway . advise tomorrow full , although website still show room available nothing cancel book retain payment . website 's reservation page say & quot ; check modify booking & quot ; can not find cancellation regulation lay either stay , think other aware let finger slip . 
 Jul 8 2009 	 stylish compact hotel perfect location 	 would buy dh ticket see king Leon O2 Christmas . search , decide go Cavendish base good review TA , central location reasonable price ( get early book discount direct website ) .Was really easy get Euston , even Victoria line action - one change . 's 10 - 15 min walk Green Park luggage , 5 - 10 without . hotel not massive facade like other easy spot immediately -but easily spot directly opposite Fortnum Mason's . check - in service excellent . have request high - floor room book website one not available time , give complimentary upgrade . Bonus ! also give voucher use bar pre - theatre dinner menu restaurant . when get room , first impression stylish small - upgrade , wonder standard room size ? ! however , everything need - hairdryer , iron , big flatscreen tv . bathroom equally compact cramp . really nice range toiletry . assume small size room reflection age building may previous life office , something hotel anyway ! one thing clear cavendish green - impressively . toiletry recyclable plastic sachet significantly reduce waste . hotel brochure - information available tv , reduce paper usage . everything could reduce , reuse recycle reduce , reuse recycle ! really encourage see kind green thinking possible fairly big hotel . the breakfast delicious - really wide choice good quality local food . staff pleasant efficient . even well us bedhead , serve right midday weekend ! bar really stylish quite small . really nice selection spirit table service . however , popular business type - lot power lunch go ! fair enough - would rather hold meet pokey office .... 's fun patron , feel speak lower voice disturb ! top trendy styling friendly service , hotel FAB location . say , right opposite Fortnum Mason 's , minute ' walk Picadilly Regent Street . be go O2 , be 15 min direct Tube ( think 's Jubilee line ) .I love hotel ' m sure use base future trip London . 
 Jul 8 2009 	 READ RIGHT REVIEW ( iam pillock ) 	 wife & amp ; want stay Cavendish Hotel JERMYN STREET , age birthday treat wife book we stay weekend go watch Oliver love Oliver . tell week due go surprise tell think planning somthe else , check always hotel . put Cavendish Hotel London read review could believe review new avery nice hotel bit miff review . so back home ready wright review tell everybody nice hotel can not understand people think rubbish , find look name hotel Gower Street , Jermyn Street , yes pillock . let say hotel nice food good , well situated walk distance sight 's . room bathroom small side nice ( superior room ) ammenitie require , would definetly stay . problem . quick tip never mind Londoe eye think waste money , go 14 floor lift turn right end corrider see see eye . 
 Jul 7 2009 	 good position great hotel 	 hotel central , yet central make problem . upgrade room glad room get small . staff reception good , staff bar excellent , staff dinner breakfast good . early dinner show ( Waiting Godot ) good , dinner show , limited option good staff side either . need somewhere middle London price issue , stay , want good great hotel not . 
 Jul 6 2009 	 cavendish Fabulous 	 cavenish fantastic hotel . excellent choice . upgrade executive room . room fantastic .... clean , spacious outstanding view London Eye . bathroom amazing . plumb Villoy Boche . good hotle bathroom ever see .... heat towel rack , huge shower , long deep tub Villoy Boche fixture . not get well . staff friendly helpful . thankfully breakfast include rate . excellent IMHO , price 21 pound ( breakfast worth much ) . overall excellent stay wonderful hotel . 1st choice London . location outstanding . close Piccadilly West End theatre ison quiet street . 
 Jul 5 2009 	 Great Base 	 second stay faultless . we stay 1 night Hard Rock Calling festival nearby Hyde Park . the check efficient room , executive room top floor , really nice great view london skyline also clean . one massive bonus hotel breakfast , think good breakfast hotel London include room rate . the location brilliant ( behind Fortnum Mason ) winner 
 Jul 5 2009 	 lovely hotel 	 go London familymember . ask 2 room floor get . get hotel check - in time . lovely lady reception make possible one room ready half hour . could store luggage relax . concierge give we direction map . lobby free internet . room small , nice clean . view great . 
 Jun 29 2009 	 Great Location 	 stay 4 night Superior room - find room quite small , 's clean quiet central location ( Fortnum Mason 's right across , Piccadilly Circus mere 3 - minute walk ) . expect free WIFI , free lobby pay load connect room . Staff 's helpful yet discreet . even let leave luggage 5 day even not come back hotel afterwards . breakfast pricey end choose various cafe nearby - try Patisserie Valerie Piccadilly , close Ritz . 
 Jun 28 2009 	 lovely small hotel friendly staff 	 hotel great location , minute walk green park , piccadilly circus . room clean , newly renovate spacious . Breakfast LOVELY . stay cavendish good choice . 
 Jun 26 2009 	 Wonderful Hotel 	 love stay cavendish . room modern , well appoint , comfortable , clean nice bright . traditional dank musty London hotel room . wonderfully big , double pan window really keep street noise bay . stay 13 night love every minute . concierge wonderful , fabulous room service breakfast every morning include price room . feel pamper head toe . food service hotel restaurant A++ hotel lobby bar great place relax catch afternoon tea cocktail evening . great location heart good London offer yet still enough beat path get quaint neighborhood feel . stay alone neighborhood safe walk alone night . highly recommend hotel . 
 Jun 25 2009 	 never want stay anywhere cavendish- 	 say ... everything great Cavendish .. mother stay 8 night return Cavendish ... executive room spacious , comfy well tend housekeeping .. even get new mattress stay .. first . the morning breakfast , include room rate , endless buffet option order menu well . Luis genuinely kind make sure completely happy whenever sight . traveller ask ? since many restaurant close sunday , eat David Britten 's hotel restaurant Easter Sunday . one good meal life ... presentation work art . sublime amuse bouche served- deconstruct stuff mushroom brioche . service Martin thoughtful , engaging , cavendish way , straightforwardly elegant . springtime cream celeriac soup enjoy via room service , beautifully serve elegance less 15 minute time order . Ben , head concierge , accomplished , warm , generous assistance helpful trip 2007 2009.we hope day never come cavendish anything less fantastic luxury hotel great staff elegant hospitality 
 Jun 23 2009 	 modern clean comfortable boutique hotel great location 	 read review prior trip must say hotel definitely deserve positive feedback . primary reason trip business week . stay Windsor week move central London along husband join weekend . early 30 - kid , yet ! location perfect . easy get airport . Tube take right Green Park Picadilly Circus - 5 minute walk hotel . little cumbersome luggage , far cost - efficient mode transportation . arrive hotel , look exactly picture , always good thing ! woman reception nice . request room away lift upper floor . request honor . book Superior Room ( upon recommendation friend stay ) . highly recommend Superior Room ( minimally ) . can not imagine size Classic Room b / c Superior Room tiny . however , exactly expect . , many reviewer mention , much time actually spend hotel room ? plus , modern super clean . bathroom actually big relative size room . bed super comfy ! little difficult find place 2 suitcase , manage fine . room actually quite cozy - good way . although hotel fully book , hear tv , voice , etc ... come room hallway . rate include breakfast take advantage every morning . buffet offer everything imaginable traditional english breakfast cereal , yogurt , fruit . although really good , not think would eaten not include rate . cost 21 pound person ! think bit excessive - even London standard ! speak excessive ... charge internet access crazy . think 20 pound 24 hour . travel quite bit ( albeit mostly US ) free wireless pretty much become standard . anyway , way around . go reception , give code free 15 minute lobby computer . perfect quick search restaurant , check flight , check Facebook : - ) back location ... really perfect . London familiar surrounding besides know map . say major tourist attraction within walking distance . even walk Tower London , not recommend . 's bad walk , take hour need plan day accordingly . addition lot tourist attraction , also ton place eat within close walking distance . look inexpensive , EAT , Costa Coffee Pret Manger almost every street . , want something upscale , plenty option Soho , Leicester Square , Covent Garden . , course , ton pub look ale Fish & amp ; Chips . look clothing shopping , would recommend Oxford St . big ( reasonably price ) fashionable store like Next , H & amp ; , Topshop , etc ... also big toy store & quot ; Hamleys & quot ; locate . want go theater , would recommend check half - price ticket booth Leicester Square . 's 5 minute walk hotel . know lot information directly relate hotel . however , think & quot ; stuff & quot ; around hotel almost important hotel . would definitely stay highly recommend other . couple , minor negative . one , key . really cool , husband back pocket must sat weird . , stop work get locked room . easily avoid . negative lack exercise room . work 4 time week really miss work - out . however , think make walk ! lastly , travel child , would book next room level . Superior Room would much small 2 people . as side note , would highly recommend day trip Windsor . lovely tour Castle worh money . train Waterloo Windsor . 's 45 minute ride . think cost around 10 pound . 
 Jun 16 2009 	 lovely hotel 	 Husband stay three night junior suite , visit London first time 18 year . my first impression room little disappointing , look smallish JS little cramp . must say room , hotel , grow we . though glamorous luxurious could expect four star , hotel prove incredible hectic city suffer tube strike , follow tube repair half network . hotel two major thing go : first excellent location could walk almost everywhere , second wonderful staff , prove enthousiastic , professional , friendly helpfull . the room fact everything be important : comfortable king bed , clean bath , good tv . experience noise elevator , get use hinder sleep . nevertheless , next time ask room little far lift . next time hopefully , not want wait another 18 year visit wonderful city , would happy stay cavendish . 
