Clean 	 London expensive city , especially come hotel / accomodation . look something simple , quiet , clean affordable spend week London . that be Windor House be . for £ 38 / 40.00 day get clean room shower ( en - suite ) simple breakfast ( enough start day ) .ok , tv , telephone , internet , tv set , example , would spend night see tv , & quot ; ruinning & quot ; day ! , place stay day quite clean place keep thing sleep . Earl 's Court tube station really around corner , make easy go everywhere . if want take food hotel , kitchen open guest Marks & amp ; Spencers & quot ; Simply Food & quot ; shop 50 meter far hotel . two internet shop really nearby . I recommend Windor House : good value price ! friendly people too . but look real luxury , go ... House windsor ( call Beth Phil ) .André Acker , Rio de Janeiro , Brasil 
 May 21 2009 	 quite convenient great value stay Windsor House Hotel . 	 Taiwan , far be live Stockholm husband 's research . early May 12 - year - old son , husband visit Lodon . plan trip , surf net good place stay . two girl Taiwan express Windsor 's convenient location , though think room small . however , time think important thing first - time traveller London find clean convenient place stay . 's choose Windsor House . get , begin hope room face front street view . yet , one day , find many thing see London . time stay home sleep . therefore , even staff say insisted room view , would try manage one we possible . however , do not ' think necessary , later . Windsor House reallly old . room , kitchen , shower room , toilet keep clean . think staff work hard keep standard . 's wonderful kitchen ! though be old . yet nearly everything need make simple meal . example , tired eat fast food , cook instant noodle vegetable stuff buy nearby supermarket . be really wonderful . P.S . two small friger . necessary , store food there . about location , 2 - minute 's walk Earl 's Court Station . bus go Kensington Hei - Park corner . besides , find nearly every world chain fast food store , chinese , japanese , italian restaurant too . most important near Earl 's Court Station , least three internet cafe ' . cost 1 pound hour . really convenience . want mail buy home . right front station post office . also self - help laundry store too . if want luxurious hotel , Windsor House definitely choice . want convenient clean hotel nice price . would recommend Windsor House you . this June be go back London , Windsor House still choice . 
 may 14 2009 	 get pay . 	 windsorhousehotel good choice leisure trip friend . I say suitable romantic trip elderly people . the room fit bed bathroom small someone go London last thing think ! breakfast simple bread , marmalade , butter , egg , coffee tea almost satisfy . ihave London many time stay here . definetely would stay expept go boyfriend . tip : get room share room share toilet shower much well comfortable ensuited gain money spend elsewhere ! hve wonderfull time London ! 
 May 5 2009 	 great family good location excellent value low budget class ! 	 ( family 4 child 7 - 16 year ) stay WHH easter week really good time . begin , lady answer email inquiery friendly und patient answer numerous question helped find good option we 6bed room incredibly fair price 94 pound per day six we include breakfast ( Easter special , normally bit ) ! room nice quite spacious , big window overlook little garden high ceiling six single bed ( bunk ! ) bathroom . drawback fact bathtub shower ( room shower ! ) , community shower basement use - problem ! room clean almost every day bed make - something expect low budget place ! except faint noise nearby tubestation ( 5min . walk - great ! ) quiet place ( noisy party night ! ) , wake bird singe garden every morning ! breakfast serve basement breakfast room ajourne kitchen could use 11.am . - 10p.m . breakfast tea , coffee milk , cornflake , toast jam much like boil egg . really great able use kitchen eat expensiv kitchen well equip clean fridge use quest . also enjoy garden quiet rest sun sightseeing . the staff reception friendly helpfull . if expect luxury , wrong place , want clean , friendly comfortable low budget place stay , go ! surely come back ! 
 Apr 11 2009 	 Avoid 's really dump place 	 like place . actually can not believe stay even three night . boyfriend book dump stay meeting friend travel Brighton see we . like over - price hostel hotel . lumpy bed , blanket stench unprofessional staff . cash payment front ; weird extra charge credit card . area bad people speak Earl 's Court afford bit well mean . avoid nightmare -- -seriously . 
 Apr 1 2009 	 Great Location Value Money 	 Windsor House Hotel provide exactly web - site promise : homey clean setting frill . offer access Central London tube bus Earl Court Station , clean facility , helpful accommodate staff . 's walk distance South Kensington museum , Holland Park . travel companion 's first trip Europe ( Latin America ) describe B & amp ; b neighbourhood imagine England would look like . 
 Mar 22 2009 	 Beware ! 	 stay 5 dismal night Windsor House Hotel . describe hotel & quot ; super - clean , comfortable friendly – without super - luxury & quot ; . clean , furnishing decrepit , matresse sag middle spring stab back , en suite shower / toilet impossible - literally size phone booth . staff consist two asian lady prepare breakfast ( toast , boil egg & amp ; coffee / tea ) clean everything : room , toilet , shower & amp ; kitchen . over - work show . good thing hotel location 
 Mar 19 2009 	 good price 	 boyfriend stay 25 pound per night . brilliant value money consider 's London proximity Tube . the hotel bit dilapidate long think & quot ; ' m sleep & quot ; be ok . & quot ; en - suite & quot ; shower corner room sink , toilet outside room use . therefore room smell bit damp . in term cleanliness , couple stain carpet , sheet bed immaculate press , important . the breakfast awful , not first experience . try keep cost , thin , cheap toast jam hard boil egg , nasty coffee / tea , consider price would not expect breakfast place . Most people previously say staff rude , answered enquiry keep we informed . not overly chatty . 
 Feb 28 2009 	 good thing money 	 okay Ritz get head fine . girl week great . price excellent . breakfast ok . toast , jam , coffee , tea , hard boil egg corn flake that s , fine us time , one five go breakfast day coffee fine . I take first shower try get way . five bed room small dresser enough space hang everything . bathroom funny story tell . manage five woman anyone can . let say , take pant shower do not run water full blast . Bathroon small . use toilet downstairs . staff okay super friendly rude . towele need , ask . we even liitle explosion converter do not seem surprise knock power return fix . location wa excellent , close everthing could want , tube 2 minute grocery store restaurant 2 minute even pharmacy need ace bandage ( sprain ankle ) . bottom line well worth unless look super elegant . clean , great location , excellent price . 
 Feb 20 2009 	 Perfect place great price ! 	 Windsor House Hotel great deal , great location . 6 room ( parent 4 kid ) . room main floor . room large bathroom bath tub . ( shower basement allow use ) . hotel 2 min walk Earls Court Underground Station ( walk 4 kid 10 bag ! ) 15 min walk Kennsington Palace , 10 min walk & quot ; Big Bus & quot ; bus stop . breakfast toast , jam , boil egg , coffee tea . room clean , ( well serface clean , nook cranny much attention , remind home ! lol ) bed plenty blanket , heater provide enough heat room . bed spring stick right kneecap , mean mention manager , forgot . sure would helped complain , far tired concerned spring ! 
 Feb 17 2009 	 Good Location value money get to laugh place 	 perfect place stay go mind set sleep fair price place stay central London extortion place pretty good deal consider . good bit lucky come home funny story stay like do . there six we stay one room get tell second night would move room o.k get room shower bath ( six people ha , ha ) thing protect rest room see flimsy see shower curtain glass door . second night make sure go shower room Man assure would . get back long day six we get ready party night get new room shower corner room ! ! ! kidd curtain anything stand like wardrobe , laugh unless good friend no - one go use . luckily shower level room use instead , pressure pretty poor . overall good laugh experience , staff really nice place clean can not ask much . would stay . 
 Feb 6 2009 	 Museum tourism family Prague 	 highly recommend hotel unassume family children , want spend time London want standard , clean , atractive locality cheap hotel , close underground , centrum , even walk accessibility London beatiful museum historical sight . really appreciate unusual possibility use kitchen evening meal . 
 Feb 1 2009 	 nice place nice people 	 start go Windsor House Hotel 2004 still go whether alone London theatre break friend show around city . fantastic location , nice friendly people , kitchen facility , room small clean even give towel ! price reasonable one . 
 Jan 30 2009 	 Nice hotel sleep . ask 	 read review Windsor House Hotel , match experience . good place ? location price ! hungry 3.00 ? problem ! go look place eat . find McDonalds , Burger King , Marks & amp ; Spencer , chinese food , pakistanese food , Indian Food ... whatever want . yes , plenty never close . less one minute walk Earls Court Station . dare say will not able find anywhere London very - well locate place price . mean ! bed pretty good too . well , Heaven . room small . toilet inside room . toilet work properly . shower great since problem water heating . room look clean , can not say kitchen . terrible breakfast , way ... staff friendly , they . be plan go alone ( friend ) use hotel sleep ? go ahead ! sure good choice . be plan romantic honey moon ? look great meal kind luxury ? definately place want . 
 Jan 20 2009 	 Cheap cheerful 	 price location main reason book hotel . good point : clean , friendly accomodate staff , price , kitchen . I book mother . unfortunately mother flu bronchitis time many stair big problem . kitchen clean tidy use make meal simply tea coffee . breakfast simple enough . staff friendly accomodating . less 2 min walk Earls Court Tube station plenty supermarket restaurant / take away within walk distance . bad point : Stairs .. can not handle stair , not book . thing improve : room could lick paint . smoker ashtray provide outside . matresse bite old side , comfortable enough . plan spend lot time room , possibly good choice , base great . would recommend hotel . say tin . CHEAP N CHEERFUL 
 Jan 19 2009 	 Perfect Hotel trip 	 Windsor House hotel choose mostly price right trip . turn great choice reason . close underground train station ( less 2 minute walk . ) several restaurant also right within walking distance . staff friendly accommodating . not fancy place , want stay within budget hotel ideal . also allow guest use kitchen day prepare meal add cost saving . not take advantage feature like knowing could want . price also include full english breakfast . 
 Jan 18 2009 	 really well locate ! 	 clean hotel friendly staff . location perfect . within two minute walk Earl 's Court tube station . simple good breakfast , kitchen make coffee tea , good use I . would definitely stay next visit London . Júlia Brazil . 
 Dec 20 2008 	 well locate familyroom 	 friendly nice low budget hotel , perfectley situate close Earls Court . Underground bus nearby . problem fit 6 people big familyroom . we stay 1st floor , wich quiet convinient . bathroom , tub , 6 people , good moore shower wc´s , basement . friendly staff , always smile . typical English breakfast , keep we go lunch . remember wintermounth , England cold central heating . although , problem get electric heater room . 
 Dec 15 2008 	 good value money 	 spend week Winsdor House end 2007 hope repeat experience time soon . would particularly recommend hotel fellow South Africans good value money , take account exchange rate ! look luxury find find clean , homely environment . modest breakfast include free add extras kitchen always available make tea snack - another cost saver . shop buy provision take away also street . I winter grateful heating room well plentiful supply hot water . the convenient situation hotel another plus feature . tube station ( Zone 1 ) bus stop almost doorstep . the thing mindful old London house must fit enough stair . so , base sight see holiday London , would definitely recommend hotel . 
 Dec 2 2008 	 awful ! ! ! 	 stay Windsor house hotel 5 night say not even call hotel ! ! ! first , double room partner , give 2 single bed push together - not even level ! carpet bad state , & quot ; bathroom & quot ; small could shower , brush tooth use toilet desire . Management inform we could use kitchen make meal , breakfast include price . breakfast morning ( basic - toast , cornflake , boil egg - not expect much price place , fine ) . go make dinner first night , look pot , find breakfast item - milk , margarine etc - cupboard ! towel replace week although bed make every day . & quot ; lovely patio garden & quot ; weed filthy patio furniture .. whole place complete shamble would thoroughly advise stay elsewhere ! ! ! 
 Nov 25 2008 	 nice time hotel near centre 	 i´ve London fourtime every time live hotel / hostel . hotel good one good location . room clean quiet . staff friendly give we good advice . breakfast pretty good . go London i´ll stay . 
 Oct 30 2008 	 good value money 	 Comming Norway nice stay two night Windsor House Hotel . room clean ok . bathroom small ever - carpet bathroomfloor : - ) wish every hotel Britan look Windsor House Hotel aspect . miss carpet bathroom big pluss . the staff helpfull serviceminde . nice location Earls Court Underground station 1 - 2 min away . highly recomende value money London ! 
 Oct 24 2008 	 Pros Cons 	 ok definteily pro con place , : pro : great location , safe convenient Earl 's Court tube station . lot shop , restaurant pub nearby . b & amp ; b clean comfortable . staff friendly . Breakfast include : hard - boil egg , toast , butter , jam , tea coffee ( salt , pepper reason . ) con : room shower share toilet . hot water shower never work properly stay although staff look try fix . share toilet real problem . toilet flush properly would clog every morning . good thing wake . staff friendly . also , although pay ahead time confirm several time prior arrival . still tell owe money check - in . luckily e - mail blackberry say pay full still confusion . book management well - organize . breakfast minimal want nutritional value need supplement ( difficult & amp ; shop road . ) overall would definitely stay , room . also may easy pay cash check - in credit card ahead time , seem cause confusion . 
 Oct 21 2008 	 Great Frills stay 	 3rd time stay B & amp ; b , first time large group 15 . B & amp ; b accomodate , especially add another person week trip . everything describe . room basic . problem check - in check - out . hotel staff willingly answer question & amp ; give direction . breakfast basic , excellent - enough toast , coffee / tea , & amp ; boil egg could want . use kitchen always much appreciate , though rarely take advantage thank excellent eatery area . definitely stay Windsor next time London . great location great price . 
 Oct 15 2008 	 Budget describe need maintenance 	 definately feel well prepared expect B & amp ; b - read re - read previous review trip advisor . it definately frill budget accommodation not believe owner misleading point make clear website email receive . say not think could bring stay . check one room tell ( check ) next night would move another room due maintenance work . ' m sure maintenance work story quite true believe need first room big family - say staff carry luggage new room day . unfortunately new room come broken shower . I try factual list good bad point below . good pointslocation excellent - close Earls Court Underground StationBest Chinese Restaurant within minute walk Earls Court Road ( think call Dragon Palace ) Supermarkets , Pubs , laundromat everything could ask close by . cheap accommodation ( London ) Room make day ie . bed re - make general tidy up . bed Sheets Towels clean ( obviously expect want add reassurance ) reception staff quite accommodating request . we able leave luggage reception check outBAD POINTSShowers / toilet require good deal maintenance - shower break wall leak therefore water pressure rubbish . toilet seat keep fall . sister - in - law toilet / shower smell like urinesome room quite cramp - feel like sleep dungeonbeware noisy upstairs people - keep awake 3 am morning due squeaky floorboard everyone seem walk every 2 minute . use kitchen facility - good point something thought would make use first night arrive oven filthy leftover food scrap . not clean two day - definately put use kitchen facility . overall stay not bad would probably pay little bit next time hope getting somewhere little well maintain present . feel comfortable go bed , say bedsheet clean not feel like get dirty bed . bed nearly due replacement . overall feel place make cringe little not believe particulary fussy . garden back overgrown definately somewhere could go to . I hope help make decision . 
 Oct 11 2008 	 Excellent value money 	 Windsor hotel though modern , freindly , welcome hotel . room basic need . room clean fresh . idea kitchen use prepare snack etc great , save money restaurant etc one travel budget . the surround area perfect , shopping , nice bar etc doorstep , tube litterally 2 minute walk hotel . if luxery wait look use hotel . basic , clean friendly price that s easy pocket looking , look far . at 96 pound 5 people one night bargain , happily stay next time London . 
 Aug 31 2008 	 never 	 could not believe first thing ask toilet roll share toilet third floor . staff friendly welcoming , decor hotel condition room , bed towel really could little upgrade ( i.e . hole ) picture room 18 show site long true . find one curtain require de - dust cover 66 % window . dread child need toilet night door facility stop lock behind . may suit people old child , recommend elderly people familie young child . a great point near Earls Court underground good base sightseeing , much potential much . cheap cheerful may say . 
 Aug 23 2008 	 Nice hotel 	 Windsor house hotel nice friendly B & amp ; b people not want spend much accomodation.it 's place rest long sightseeing tour magnificent London . the staff friendly , room clean breakfast good .. lot toast egg ( include ceral butter , coffee milk ) .I think 's good place young people , maybe old people snobber prefer high quality theri accomodation . finally will definitely choose Windsor house hotel next tripo London friend ! 
 Aug 13 2008 	 good family option 	 family 5 finding hotel could fit we hard find . Windsor House great we . 's location convenient . 1 minute Earls Court Tube Station close food store shopping . room clean , bathroom small adequate , front desk service always available breakfast fill we . one big plus we availability use kitchen cook food dinner time ( big money saver ) . breakfast toast jam ( much want ) , tea / coffee , hard boil egg cereal . the room 5 single bed small full bathroom . room clean daily . hotel quiet street hear little noise room . to sure deluxe accomodation good value money nice we not rent 2 3 room normal hotel . furniture wear serviceable carpet plain functional . hotel frill feel frill price . exactly look . staff friendly willing help . would stay . 
 Aug 8 2008 	 avoid ! bad experience ' ve ever b 	 begin , arrive , charge extra £ 6 pay credit card . , so - call ' superior ' room pay tiny smelt damp . two day suppose leave , inform move another room follow day , . last night realise shower new room give even though book ensuite bedroom . I immediately complain receptionist ask refund since not give room pay . say impossible , unable explain pay shower bedroom . say want speak manager reply could not . well , kind ' hotel ' ? send email website book accomodation , hotel manager reply comment ' purely subjective' . this dingy B & amp ; b run rude , incompetent people make fun client . do favour , avoid shabby place like plague ! 
 Aug 8 2008 	 excellent location London 	 daughter stay 8 day Windsor House Hotel ( 1min . Earls Court tube station ) recently , totally satisfied cosy hotel . the staff polite , friendly , willing help question problem . room / toilet clean every day , bed ready sleep again . a simple , good breakfast include price also . local cafe supermarket open midnight , bank post office 2mins . walk hotel . the tube take 8mins central London ( Oxford St. , Piccadilly etc . ) .This & quot ; fuss & quot ; hotel , locate quiet side street . excellent location family child example . stay hotel , certainly stay future . thoroughly recommend anyone want stay London reasonable price , include good service ! Derek Susanne 
 Jul 26 2008 	 Flying Flag 	 cheap cheerful good describe accommodation . room cramp spotless . come see sight London stay look wall ! Brilliant location- easy travel Heathrow Airport back Gatwick , safe neighbourhood underground shop close . staff friendly helpful . Use kitchen day bonus . complaint would recommend B & amp ; b excellent budget accommodation . want luxury mod con go somewhere else pay lot . 
 Jul 16 2008 	 Pass one 	 impressed hotel . arrive , fly night long States , find dark , narrow hall guy seat table fold chair instead traditional reception . friendly enough , take key deposit we call shirtless guy , take bag one flight stair quad room . room big small . tower high ceiling , full bed ( 3 single double ) little walking room . bed luxurious , seem fine clean . bathroom tiny bathroom ' ve ever see life . ( live year Japan ) . could literally sit toilet , wash hand , shower . one visit , toilet clog stop flush . ( credit , management fix promptly ) .The first morning stay , kitchen commission , & quot ; breakfast & quot ; set table front hall . consist bag full grocery croissant ( butter jam anything else put ) , several box pineapple juice , box glaze donut . 's . coffee tea . blow , try adjust time zone need caffeine ! second final morning , eat breakfast basement kitchen . crowd sort depressing . shirtless guy day ( time shirt ) , set coffee give kid hard boil egg toast . much well . all , would give hotel pass . quite dingy seem worth pay . say , convenient Tube station locate nice area full decent restaurant -- recommend place area . 
 Jul 13 2008 	 Windsor House great us 	 family stay Windsor House Hotel 4 day vacation . perfect place stay need somewhere clean convenient stay visit London . 's modest B & amp ; b basic . provide good / plentiful breakfast every morning , use kitchen anytime , location extremely convenient get tube . 
 Jul 8 2008 	 hold dutch flag 	 reviewer : Harry van Haeren ( Netherlands ) .my visit London March 2007 son special . on internet pure coincidence come website Windsor House Hotel . communication book personal en feel good . , feel great . London , rest staff Windsor also friendly . the Windsor nice , clean cheap hotel quit street ' yard away underground station Earls Court . breakfast simple , lot coffee tea . visit www.windsor-house-hotel.com people Windsor make stay London special . I visit London September 2008 second son yes , definitely stay Windsor . 
 Jun 27 2008 	 Basic lowprice moneysaver great location 	 Windsor House basic budget hotel . want roof head , bed rest , base London excursion money spend shop etc rather hotel extravaganza , could place . not expect anything else simple hotel satisfy basic need , tv , WC hall , simple standard budget room . 2 minute Earls Court tube station , London foot , ready explore , overall satisfied stay , low cost , basic accomodation make experience spend outside hotel perfectly fine , be like - minded think Windsor House suit fine . 
 Jun 23 2008 	 Loved breakfast 	 family ( 2 adult 1 child ) stay 5 night view sight London . make welcome early morning arrival offer breakfast long flight New Zealand welcome . room , way top floor , clean tidy . little bit noisy train pass worry we hotel base go sleep . young russian staff breakfast room make morning fun English . location ideal get around London short walk tube station . windsor ideal inexpensive accommodation good breakfast set we day sightseeing . look frill hotel not stay Windsor look inexpensive , clean accommodation handy locality sight Windsor job . would hesitation stay . 
 Jun 23 2008 	 friendly enchanting place London 	 first time spend week Windsor House Hotel 2006 first trip London . everyone Windsor House welcoming , helpful nice , help move around cuty give great advice . room Toilets always clean , chance use kitchen ( furnish always clean ) great idea save money breakfast look little garden kitchen . since really love place come back year March wonderful week end , Earl 's court underground station around corner shop around make wonderful little walk morning since quite place . well , else ? ' m going go back September , come guy let us join they . price great homely , expensive snob place , great place live London holiday ! 
 may 23 2008 	 would never consider return 	 several time London , favorite vacation city & amp ; like Earl 's Court area . Found & quot ; hotel & quot ; last year TripAdvisor end book triple 3 night $ @ Hensley House round corner . since US dollar weak , opt special offer @ Windsor . five we reserve triple & amp ; double 2 night . first bad sign check . despite 50 % credit card deposit make week early , employee / receptionist demand pay remainder due cash give we room key . , instead label legal hotel receipt , write amount pay blank piece paper . refused & amp ; scribble word hotel stationary pad w/o sign name . computer , telephone even calculator desk . looked throw together . know lift & amp ; fortunately room first floor . bathroom tiny clean w. hot water . not care tv phone room . - bed replace age ago ! Bed linen & amp ; towel highly suspect . sheet look ok one woman stain pillowcase smell hair oil & amp ; /or body odor . Dark colored towel large not smell clean ( one white paint stain ) . wear dirty carpet . Wall bed look like blood spatter ! hardly room 1 person pass bed & amp ; place 3 medium - sized suitcase . complain , pillow case replace triple room . breakfast room w. TV & amp ; small adjoining kitchen clean . basic breakfast undercooked egg , stale toast white bread , instant coffee . cup not looked properly wash . wait 5 - 10 min . past opening time young woman unlock breakfast room & amp ; wait egg cook ! nice enough speak almost English . would classify business hotel , like youth hostel not want offend youth hostel ! website misrepresent various level . never encounter person name Jan , list hotel owner . one seem charge & amp ; palpable employee indifference . 
 Mar 4 2008 	 depend upon expectation 	 stay week 2/23/08 3/1/08 . would go back . wife , maybe . B & amp ; B say contrary post deceptive claim . old place fair condition keep relatively clean provide BASIC need economically . hotel great location public transportation even walk many London attraction . surround plenty eatery kind 4 major supermarket location within block . breakfast boil egg toast , Cornflakes milk . plenty excellent tea passible instant coffee . always augment english chedder , fresh fruit yogurt buy herrod 10 minute away C1 bus knightsbridge . keep thing one two fridge without problem . breakfast tricky many bed hotel seat dining area . everyone show interesting process seem stress . one favorite aspect though seat group stranger every day make aquaintance . many different country represent . we use kitchen sandwich , see other cook full meal . small bare essencial . there phone tv room . accept . tv breakfast room . lug bag steep stair without assistance . 2 ground floor room even stair street level . the bathroom / shower combo size training module mile high club . suggest take full advantage . hand , keep clean , 300 + lbs trouble get clean it . I actually find size quite reassuring visit & quot ; Golden Palace & quot ; chinese restruant Earls Court Rd recommend reviewer . cockroach see establishment would fit cozy commode . I recommend steer clear place several big fat thumb . the water always hot . heater work able keep room comfortable easily . clean sheet towel check . towel change ask never problem get clean one . mess room every night day vacumed straighten like real hotel except without pillow mint . the mattress replace . clean firm well past thier prime . wife likely make choose another place next time . this 4th trip London last 5 year . always pay . one place would prefer . twice price provide breakfast . the place ok save bundle funI hope let know expectMarvPa 
 Feb 20 2008 	 return home London 	 old grandson first come Windsor House 2006 , meet Jan , proprietress , helpful information London sight travel . need room enjoy stay . year 2008 return second grandson , glad talk Jan today know room available would set need . hotel inexpensive close tube station London . consider make plan . Pat BinfordWaco TX USA 
