great 	 balcony overlook Vegas strip ; room full - functional kitchen dish , appliance , etc . ; tub also jacuzzi , shower rain shower ; bed extremely comfortable ; staff friendly ; location great ; Ghostbar ; Little Buddha ( sushi place ) ; playboy club ; rain ; Moon ; everything spectacular ! 
 Sep 14 2009 	 Build ... 	 decide give Palms Place try not Vegas 10 year . want go family , huge gambler , not want stay Strip . want action Strip , not stay Casino Hotel pretty good distance Strip . palm Casino right next door , use tube get back forth really fulfill gambling fix . book Studio , ask complimentary upgrade renew wedding vow . oblige . bottle champagne cherry also send room , nice surprise . room much well expect . quite spacious , whirpool bath , beautifully build bathroom shower , course , guest bathroom , washer dryer , utlized full , full kitchen , huge patio 51st floor great view strip . mention Whirlpool Bath ? however , good usually little bad . whatever reason , Palms Place feel need charge $ 100 day incidental . $ 100 day ? ? ? ? informed check fork $ 500 hold could put serious damper vacation spend not . wireless internet free . $ 14.99 day connection , balk , tell sign BOINGO stay $ 21.99 month would access Hotel , check BOINGO would see ripoff well . pass . use Blackberry internet access fine . staff nice valet 's know name , park , not utilize free parking , not much since rent Benz , kind forgot name . cable channel extremely limted reason , make matter bad , first two night not function properly COX cable ... tell . since not come Vegas watch tv , give pass guess . automatic $ 1 day phone charge , whether use phone . talk nickel dim . would rather charge whatever get go clean slate unless buy pay per movie , make long distance call damage room steal robe . overall , pleased stay would return , especially get another free upgrade ! 
 Sep 14 2009 	 Hot night Palms Place 	 fabulous time Palms Place Las Vegas last February . ask room view get 17th story room face strip . room perfect , depict website . feel like LV condo 3 night ! cool , absolutely love ultra modern , clean design furniture building decor . room everything need , everything work well . not get room service , eat Simon 's restaurant three time three day . time great , staff Simon 's super friendly , even meet Simon twice . food fresh innovative . next time go LV definitely stay Palms Place . much less frouo - frou much available strip . ! 
 Sep 12 2009 	 wonderful hotel - bad 's far strip . 	 4 we travel Vegas stay one - bedroom suite . suite amazing . huge , beautiful room , great bathroom ( be 1.5 one - bedroom suite , unlike signature MGM Grand give 2 ) amazing view Rio strip . walk Palms casino easy skywalk , great bar club Palms . Palms Place pool lay back , like . 's nice go swanky hotel Vegas great service deal casino every time want go hotel . casino conveniently close hotel . complaint pretty far strip , want go anywhere else , need cab . 
 Sep 9 2009 	 Amazing Room - Hot 	 promise previous review , room Palms Place amazing . husband rent directly owner guarantee 27th floor full strip view , deliver every way ( sidenote also second time work owner directly vacation accomodation , another positive experience great deal versus book hotel directly ) .Having visit Vegas several time , husband not worry slightly strip - though cab bill add course long weekend - something factor overall budget versus centrally locate . a couple thing make reluctant stay : first would young crowd - husband late twenty mean old , find overrun 21 - year old group guy girl prowl .. expect young , hip crowd , almost much time . ( could issue versus time year , Labour Day weekend .. ) second thing would deter we stay : staff . great experience bell boy , also pretty snotty experience staff Simon restaurant room service ( sidenote : room service table stay outside room door day half order meal - even call .. ) .All , hotel deliver trendy boutique hotel vibe spade , room amazing , staff somewhat hot / cold - not type people let affect stay , overall really enjoy Palms Place . next time , may return Signature MGM instead - feel well overall experience . 
 Aug 20 2009 	 Perfect Mix Relaxation Excitement 	 wife stay Palm 's Place 3 night 08/10 08/14 . first trip Las Vegas feel choose perfect place stay . bit concern right strip turn positive . one view beat . corner , strip - view , one - bedroom suite amazing- like picture website , maybe even well . also , quite honest nice hip mellow atmosphere close right middle chaos strip . prepared get cab want go strip , August heat likely need cab get point - to - point strip regardless . my favorite aspect property pool , Simon Restaurant , course room . pool great really pool person . lay back great staff . Simon great restaurant perfect atmosphere . room everything could ask include balcony jetted tub . it also nice close Palms via air condition walkway . palm good restaurant N9ne , enjoy much . would liked also try Little Buddha time . club palm also great attraction . Playboy Club awesome view Moon experience itself . all - in - all , Palm 's Place definitely place would recommend anyone wish back relax pool right . 
 Aug 18 2009 	 Celebrity Chic 	 Plams Place two week Jul 09 . travel World series Poker , go wife spend lot time pool spa ! one good thing Palms Place fact be slightly tuck away Vegas madness strip . despite large Vegas hotel still somehow manage retain boutqiue hotel vibe . be probably thing continue attract celebs . we stay Studio Suite 38th floor . amazing strip view look back main Palms Hotel Casino . room everything need . initially go upgrade one bed suite not one strip view . Stuido Suite plenty big enough large wet room multiple shower jakuzzi bath really hit spot . service mostly excellent . even screw wake we 4 am someone else room service order , make follow day send big basket up . the pool area ( 6th floor ) Palms Place retain boutique vibe relatively small overcrowded . spa also great . the Palms Place ajoined main casino move walkway take minute travel two . the place ' ve stay Vegas MGM , really like . place would imagine like would Bellagio , Encore ( Wynn ) Palazzo ( Venitian ) , ' m sure luxury could make much enjoy slightly away strip . definately ever stay Palms Place future . 
 Jul 25 2009 	 nice little surprise 	 stay room 31 - 306 King bed pull double size sofa bed . ( one large room ) sofa actually sectional . hotel / condo / spa soft opening Feb. 08 actual opening May 08 . fairly new . modern decor . ( stay mid July 09 ) book Palms hotel double deluxe tell move Palms Place instead , turn really nice . our room huge balcony look strip area ( distance ) . beautiful view . have full kitchen sharp microwave , Fisher Payal dishwasher drawer , GE monogram bottom half frig guest use top pre stock item Bar Tech brand , Gaggenau 2 burner stove , dish , glassware , etc . , blender , toaster , stainless steel sink , dish towel pot scrubber . in room high speed intrnet access $ 14.99 / day 24hrs . per room per laptop . wire provide wireless.2 panasonic flat screen tv 's room , sleep timer , could not make work . the bathroom huge . seperate toliet room , 1 sink , rain shower stall bath tub inside shower area . bath product supply Aveda . lotion , shampoo , conditioner , body wash , bar soap . axe body spray . nice smell . tv bathroom well . there small store lobby area sell snack , drink , newspaper , etc . there Simon Restaurant Rojo lounge hotel / condo room dining . the pool 6th floor . self valet parking available . I push housekeep button phone go front desk , ask blanket sofa bed say problem . going show 3 - 4 hrs . later , blanket . call explanation , come 20 min . poor service . the book / manual room say turn service , service do either night . there fitness center cost $ 30.00 access fee spa 6th floor . there Kids Quest Palms hotel near food court , open 7 day per week . age 6weeks 12 yrs . old . hourly group babysitting . a complimentary USA Today deliver door Monday . ( service M - F ) climate control Sky Tube ( move walkway ) take Palms hotel / casino . within palm restaurant movie theatre . the Palms Place nice quiet location . want action go strip hotel perhaps Palms . check 11am . if price right would stay . 
 Jul 23 2009 	 Awesome ; fabulous ; Brilliant - simply well ! 	 return home dejected day ago . sad leave awesome place ! ' ve read damnlisa 's review agree almost apart price cab ! will not split hair say never pay much $ 15 cab strip ! ' start say delighted everything stay Palms Place . staff come contact 1st class credit hotel . could also teach staff hotel thing two courtesy . check easy ' ve experience anywhere ' ve ever ( ' ve around block ! ! ) ; housekeeping discreet meticulous ( newspaper deliver early every morning never hear thing ! ) ; porter similarly discreet incredibly friendly respectful . decor dark throughout reception , lobby , lift landing corridor lead room . take we little surprise come glare outdoors , quickly come appreciate indeed welcome , almost film noir atmosphere . incredibly relaxing . we stay one bedroom suite , look simply stunning website picture . think good true suite exactly like image spend first half hour take picture video ! ! feel homely actually like own place right Las Vegas . shower almost big bathroom home ! 3 shower head , experience . lovely tub bedroom , view outskirt city hill , offer cosy romantic alternative . fully equip kitchen washing machine , dryer , dishwasher , microwave , hob , fridge freezer also await . enormous bed could comfortably accommodate another 6 people adorn bedroom , along good sized ( 42 & quot ; ) plasma . $ 2 & quot ; plasma lounge 19 & quot ; bathroom - really watch much tv course ! ! ! suite ( 27321 ) opposite side building Strip . okay miss complete view 2 balcony choose , least option . small balcony uninterrupted view Bellagio south mountain , sun main balcony set behind hill west . high temperature around 5 pm , mean could retire suite sun long reach pool area , catch last seclusion balcony . pool cosy much quieter pool Palms , honest full poser , wanna - be 's attitude anyway ! water fairly shallow 's child friendly one point , folk water we certain Lou Diamond Philips daughter . pool bar great , staff attentive friendly , although drink price bite high side . Palms Place ' Casino mean ' much quieter big hotel Las Vegas . however , lazy 5 minute trip along air - condition skywalk move walkway ' Palms , Casino , cinema , food court , restaurant , bar , club pool . everything want city right one place , ' want leave complex . come – ' go Las Vegas stay hotel . even ' great place ! strip around 20 minute walk away , be feel lazy 's hot , 's 5 minute cab ride . palm Place latitude Strip Caesar 's Bellagio , ' pretty well central . take cab walk rest Strip . okay heat oppressive hey , can not stand heat - not go Las Vegas first place ! walk lot duck numerous hotel store cool A / C everywhere go . there pretty awesome eatery Palms complex choose , range price suite budget . outside , be great TGI Friday 's road , whereas 200 yard road opposite direction , will find Starbucks Subway , offer cheap alternative hotel restaurant cost conscious . book , look lot " top " hotel , scour picture room see hard - earn overdraft would buy we ! many expensive hotel charge far , simply convenience Strip . paper least , ' feel match quality size room Palms Place . ultimately , risk sound like snob , want escape & quot ; Benidorm Crowd & quot ; polyester football shirt brigade everywhere day . pay need , stay somewhere special . Palms Place tick box , none spoil experience . loud drunk , disturbance , dawn - raider lay towel pool - lounger , none kind tourist get UK traveller bad reputation . sanctuary - somewhere quiet could escape busy Strip long day . , easily fine hotel ' ve stay will hesitation recommend other . intend go back Las Vegas , , Palms Place place will even consider stay . 
 Jul 12 2009 	 simply great ! 	 great value , great stay , great service ... great room , nice bathroom ( stand shower rain shower , hand hold show head , large whirlpool style bathtub . nice view . comfortable king size bed nice bedding . small kitchenette , less . two huge flat screen tv 's ... go Las Vegas watch tv . really great room good bathroom . service staff good helpful . say work hospitality business internaationally 20 year . Location Strip attraction close Strip almost walk - able . almost . disappointment loud throbbing music one endure breakfast restaurant . still , great place stay ! highly recommended . wonderful resort style Hotel . good service . good value money . 
 Jul 10 2009 	 hip joint town . 	 Stayed Palms Place conjunction attend National Hockey League Awards show . third time ' ve stay 's mistaking . Room beautifully appoint ( 2 flat screen , waterfall shower , balcony ) be far away close large palm resort . walkway connect two property ( 5 minute walk ) 20 - something crowd , be well serve quieter , cooler small Palms Place . Rojo Lounge lobby small bar good kanoodle people watch Rojo cocktail fun drink . 
 Jun 28 2009 	 best room shower pool . Head shop 	 love Palms . , love Palms Place . we stay room 21308 , huge modern studio view entire strip . never close drape b / c view spectacular one could see room anyway . small full kitchen 30 second heat stove top , fully stock minifridge another minifridge ice maker . dishwasher , full sink modern fixture spout head . plate , cup bowl include . big microwave oven . stainless steel . we huge bathroom . small television could watch television soak deep tub . shower two head : one 10 foot high ceiling like rainfall one handheld one could also use . great anyone whose tall 5 ' 8 & quot ; ( 5 ' 8 & quot ; standard Vegas shower height ) . sink one bowl basin . BEST part bathroom kitchen hot water turn immediately warm / hot . the floor marble kitchen bath hardwood living / sleeping area . ceiling least 10 foot high making room seem even large . the pool close due & quot ; inclement weather . & quot ; learn happen every day around 2:30pm b / c build pool location well design would sunlight 2:30pm pool area ( instead pool hide shadow building ) . however ... pool Palms Casino available good Vegas hand . be get good mix people . mean course see Los Angeles bimbo fake book bust dental floss outfit hooker heel , stupid enough think man would bring sort stripper look home mother . muscle testosterone MMA fighter look man tatoo . crowd mainly make - up people late 20 late 30 , mellow looking get tan get drunk . cocktail waitstaff girl hit miss . will either get someone sweet , wonder , fast , attentive man woman ( Sam favorite ) , occasional hard edge [ -- xxxxx -- ] serve man appreciate fake boob . the casino pretty good . be one $ 5 table novice , love . $ 300 $ 5 crap table one roller . husband $ 90 $ 0.25 slot machine . enough say . there be Sonic across street awesome slushie 100 + degree weather . 's shopping plaza across street 24 hour deli well head shop / smoke shop smoke . the people work Palms Place ( Palms ) gracious . give 25 cent tip thank profusely . humble , good honest people . I like return Palms Place , away nightclub junkie & amp ; Eurotrash flamable clothing , hair two pound make - up . check - in super easy . fyi : get deal Travelocity $ 149 per night plus $ 20 travelocity coupon . con : lot thing break . hair dryer break . one tall lamp break . quick dial key get message , call department ( like housekeeping , room service , etc .. ) break . internet connection program break ( log couple time work get back machine ; result several charge need removed check - out ) . location kind suck . cost minimum $ 15 get strip high end hotel . 
 Jun 22 2009 	 simply GREAT ! 	 Palms Place Hotel & amp ; spa wonderful ! 's locate strip close enogh quick taxi ride . service awesome hotel great , spacous , CLEAN ! Hotel Skywalk escalator take directly 2 Palms hotel witin second . Due 's location , every view Las Vegas great Simon resturant offer great lunch dinner along great drink . first trip Vegas hotel stay add wonderful weekend ! 
 May 20 2009 	 simply awesome 	 bachelor party 2 bedroom suite , place fit 8 guy comfortably ! ! balcony view mountain strip ! day go palm pool crazy scene , day chill palm place pool . quiet , never hear another visitor . three bathroom , two kitchen , plenty fridge room . ipod docking station . ride elevator Jessica Simpson one day wait limo Robin Leach another . see reality tv star palm pool . beware sunday brunch , 2 mimosa 's & amp ; 2 brunch bill around 110.00 ? 127 tip . complaint . trendy , ton space . 
 Apr 26 2009 	 nice place . 	 go three night stag ( bachelor ) party October - 18 Brits one token American ( bless ! ) . internet booking go okay , book room Palms Casino everyone else book . however arrival , tell fully book weekend would & quot ; upgrade & quot ; suite Palms Place , part complex ten minute ( 15 minute beer two ! ) across walkway main hotel . complain bit ( fool ) promise would not disappoint . imagine surprise find room 18th Floor Palms Place corner suite usually retail $ 2,900 night , massive flat screen tv 's everywhere , massive lounge , kitchen , spa tub , two balcony ! boy , boast & quot ; lad & quot ; night , fight raid room rest stay ( joke ! ) . comfortable indeed , needless say part suite sure not quite get visit busy stay , huge ! palm great place round , party hardly go Las Vegas venue ample choice bar , restaurant , night club / disco 's great . table staff friendly competent , superb time couple croupier blackjack , educate Brucie Forsyth 's & quot ; everyone 's winner & quot ; line , surprisingly could not quite get ( non - Brits ) ! Mint bar great place chill night , Ghostbar top hotel ( 55th floor think ) . try Playboy Club - do - one get absolutely rip drink . Rain disco & quot ; okay & quot ; . we enjoy superb meal N9NE steakhouse outstanding , otherwise stag daily sustenance cater superb fry up 24/7 Cafe great good value . pool , Palms , Palms Place ( quiter chill ) great . all , great place quick visit Vegas , would recommend palm anyone . 
 Apr 26 2009 	 really really Nice Hotel 	 stay Palms Place two Bedroom Suite friend birthday ! great perfect place party , lovely pool extremely lovely room ! ..... jacuzzi middle bedroom spectacluar view Balcony 's ... Great Hotel ! realy want go back ... ! 
 Apr 24 2009 	 make wedding perfect 	 hotel fabulous . stay one bedroom suite floor ceiling window overlook strip . first hotel stay room actually exactly photograph website ! hotel staff exceptional really helpful . none card work arrive ( forget tell bank go ) really helpful . hotel really wow factor . spa lovely simon 's restaurant good pancake ever ! get marry stay really make whole occasion feel extra special ! ! 
 Apr 6 2009 	 Best Hotel stay ever Las Vegas 	 Vegas 100 time stay Palms Place good hotel stay ever . love smoke free environment tight security . suite phenomenal . good bathroom ever hotel . terrific bed . sleek modern decor . suite spotless . 2 plasma tv . Balcony . stainless steel kitchen area amenity could want room . book package hotel give we access spa . terrific Spa . also get $ 50 dining credit use restaurant . restaurant cool , company . Band Maroon 5 eating lunch restaurant time table away . parking super convenient . really criticism hotel . guess first time visitor would want hotel strip short cab ride Palms Place . 
 Mar 25 2009 	 one new Las Vegas favorite 	 go Las Vegas several time year meeting convention stay everywhere . palm place one new favorite . room incredible , like apartment . trendy comfortable , like W little kitchen , bar area , big comfy bed , seat area , two plasma tv , awesome bathroom shower great balcony view . loved pool area spa / gym . kind bum charge $ 30 day use gym make good use gym spa . love take skywalk right palm great time hang Palms . really like walk casino get room . would totally recommend young people , single couple . $ 10 cab ride anywhere Strip . actually enjoy Strip happy everything offer Palms Palms Place . good service everywhere go get awesome room rate internet . 
 Mar 17 2009 	 good stay ever Vegas ! 	 Incredible , love top , good customer service ever receive hotel Vegas . go back April 30th 4 night . even though hotel strip , add appeal . good describe vacation away vacation . strip view hotel amazing , nice change able step outside balcony enjoy surrounding . this hotel . move walkway Palms casino take minute . 
 Mar 11 2009 	 BAD SERVICE 	 disappoint lack customer service provide hotel . account debit several time without notice . stay 3 day housekeeping come clean room . robe bathroom rip . Customer Service friendliest . would recommend hotel anyone go Vegas . go Vegas least 2x ' year , much trendy hotel past . give hotel access credit card go account whenever feel need , without authorization . 
 Mar 10 2009 	 beautiful room great view ... price 	 staying business enjoy much . love able get feel Las Vegas without directly strip . view tower room fabulous ! hotel seem popular area . room ( suite ) luxurious staff exceptional . objection would price , business discount ! look room ' ; stay . price important pocketbook -- price not issue be willing pay security luxury please book room Palms Place ! ! 
 Mar 5 2009 	 horrible service 	 horrible service . aspect . doorman front desk laundry service concierge management . slow poor customer service skill … easy please please Palms Place . come Vegas lot never come Palms Place . 
 Feb 20 2009 	 one good hotel ' ve ever see 	 strongly suggest stay beautiful , trendy , stylish hotel . mostly suggest young couple young single traveller . opinion 's suitable old couple traveller kid . 's also romantic sexy ( hugh hefner suit : ) ) even strip , luckyly amazing view stip famous hotel . be almost middle opposite strip , easily see everything . need cab get strip . take 5 min . way clean , comfortable big ( room standard dbl , whish 25 sqm ) bathroom a - mazing ! tha big shower , feel like 's rain , separate jakuzi . I will definitely stay ther go vegas ! 
 Feb 17 2009 	 place will stay Vegas 	 stay studio apartment amazing . kitchenette fully stock dish & amp ; utensils & amp ; . bathroom luxurious deep , jetted tub & amp ; tv.quick check - in & amp ; check - out . room service pricy , not wait long . even put write order breakfast door - know . easy get Palms Casino thru sky - tube . reasonable rate get Vegas . not strip , care ! almost stay @ palm , chaged Palms Place @ last minute & amp ; ' m glad . palm place cheap , 
 Jan 24 2009 	 amazing place stay 	 wow , must say , awesome place stay . room great view fabulous . get great deal third party website knock $ $ regular room rate . matter fact , enjoy place much ; decide stay one night . all con relate Palms casino , suite stay . ' small casino , many table game , seem like cater famous people , . think hotel concern throw party Paris Hilton take care gambling need . ' bit distance strip , walk question unless ' adventurous . car ' big deal . the room great give MGM Signature real run money , ' look close action , ' vote MGM Signature Hotel . 
 Jan 7 2009 	 Sweet ! 	 say & quot ; wow ! ! & quot ; . week travel Southwest finish stay evening flight leave . hotel set apart Casino complex ( though connect move walkway ) , immediately upon enter fall oasis calm . quickly check 1 bedroom suite 11th floor . picture post reviewer , really not room justice . love prior comment & quot ; Lad 's Pad & quot ; , maybe love much ! be talk super comfy king bed , two huge flat screen ( one dvd player ) , one half bathroom , one deck white marble huge shower rainwater dual showerhead , fireplace , full kitchen , oversized spa tub set right bedroom . VIEW- two balcony showcase strip red rocks Vegas . immediately begin chill room , set use spa , fairly basic exception Hamman ( kind like steam room , hot great smell ) . dinner Nove Italiano Palms , honestly good steak life . location strip , add appeal . want visit Vegas everyone else , drive park Ceasars Palace grab cab ; be less mile away . finish , every employee encounter cheerful friendly , feel place ( far away Hollywood A - list get ! ) . 309 / night , be certainly bit splurge , especially multi night stay , place rule ! ! stay ! 
 Jan 5 2009 	 Palm Place Awesome 	 stay Plam Place Decemeber 24 thru 28 2008 2 bedroom Suite 50th Floor strip view . accomodation awesome.2 bedroom suite actually 1 bedroom combine studio suite use pair door main floor hall create private entry , do not forget tell front desh send 2 door stop ( will need ) . combined suite get double door entry private foyer , 2 kitchen ( kitchen 1 seat 4 , kitchen 2 seat 2 ) laundry closet stack clothe washer dryer , masterbedroom soaking / whirlpool tub room ( masterbedroom slide door open / close living room privacy ) . Masterbedroom ample closet space makeup table , master bathroom sink walk rain shower stall . living room 1 bedroom glass enclose gas fire place powder room foyer , enter studio get bathroom walkin shower stall rain shower soak tub . total bed : 1 king bed , 1 queen bed 2 queen sofa bed . Suite 3 balcony , four 42 & quot ; LCD Televisons main space two 13 & quot ; LCD Television 2 bathroom . my stay perfect , staff pleasant , concierge make reservation show send ticket efficiently room . perfect place stay couple friend , not forget use spa exercise room room 6th Floor . 
 Dec 5 2008 	 amazing stay Palms Place ! 	 amazing stay girlfriend Palms Place hotel Las Vegas ! room hotel beautiful ! room 2 flat screen TV 's , mirror wall , comfortable bed , frosted glass window bathroom balcony overlook Palms Las Vegas strip ! also stay Fantasy Tower Palms , think place , wish not ! & quot ; skyway & quot ; literally take 2 minute , stay hotel , DEFINITELY worth 2 minute ! : ) use Palms pool , decide factor ! friendly hotel staff , bell boy , reception , room service ... great ! would definitely return hotel , great Palms / off strip option , definitely underrated ! 
 Dec 1 2008 	 lucky 	 Holland stay 5 night hotel . room spacy modern . unfortunatly problem : - bathroom clean ( hair floor , bath clean ( even day stay ) ) - toilet flush oke ( even unstopped ) - airconditione noisy , loud sleeping- swimmingpool close ( deu season ) - shuttle strip leave two time aday ( 11 am 2 pm ) ( mention anywhere front ) good thing : - food restaurant good- nice casinonext time book hotel strip . 
 Nov 30 2008 	 Palms Place place 	 2nd time stay hotel . love much first time . enjoy strip side 1 bedroom suite 32nd floor . love spa facility . relax use gym hang lounge area soak hot tub . great place stay , visit party side Palms Resort via Sky Tube jump car grab dinner property . great staff , always friendly helpful . 
 Nov 28 2008 	 one Complaint - Stayed one Night 	 third property ' ve stay Vegas , think would struggle well offer hotel Sun - Thu offer snap stay November . the room excellent - be condo carry feature Vegas hotel . ( Fridge , Kettle , etc ... ) room great - complaint would 2 flat screen tv make , little space , result remote control work tvs time . there great view , complimentary spa admission great quick visit morning use steam , sauna , etc . easy access great range nightlife within palm , well Rojo ( Bar ) Simon Lounge ( Food / Drink ) within Palms place tower - good . staff excellent throughout , Palms place well worth short journey strip . 
 Nov 25 2008 	 Lovely Modern Hotel 	 fly San Francisco Las Vegas stay US . hotel quite close airport taxi drive quite short . hotel good 15 - 20 minute walk away main strip . get hotel greet cheerful receptionist . lobby , hallway room dark air condition possibly keep cool Vegas scorch heat . enter room amazed ...... huge . chrome kitchen , include dishwasher , bathroom wet room also jacquzzi LCD TV , bed room massive king size bed huge sofa 2 LCD tv 's wall . room design man complete lad pad : - ) woman also delight stay . balcony look strip onto pool fantastic . great thing palm place walk casino get room , casino locate part hotel , along fast food restaurant cinema . negative hotel feel upmarket worthy staying . cab driver tell we celebs hang weekend . also notice lot film premiere shot Brad Pitt George Clooney screen enter cinema . overall loved hotel go Vegas stay centre strip maybe cesar palace feel brave enough embrace whole casino scene . could fault hotel 10/10 . 
 Nov 16 2008 	 Gorgeous ! 	 book Palms place one night move strip impress website price amazing . disappoint ! upgrade junior suite gorgeous , spacious great view strip . downfall room good not want leave subsequently not spend money casino floor . bit away strip first time Vegas worth splitting time , want relax enjoy atmosphere perfect . 
 Nov 13 2008 	 Quiet strip hotel great quality 	 book Palms Place resort Junior Suite offer happy . the room , well fact whole hotel , high standard quality cleanliness . staff check - in helpful complimentary valet service really help check bag . we stay 16month old daughter love . room quiet baby crib supply comfortable . just little bit let food option . room service pizza nice rest selection not wide . eat option casino also pretty limited . however , good stay would recommend other . 
 Oct 16 2008 	 Mixed Review 	 select hotel base price positive review . encounter problem start try book online . not receive confirmation number . problem solve quickly phone call hotel . lady speak nice enough give number reserve cabana , part package . call several time leave message . nobody respond . upon arrival , impressed lobby walk casino . check smooth , however , ask cabana , inform nothing file would go directly pool make arrangement . go pool , inform cabana 's book day . go back front desk complain , inform call advance book cabana , ( ) , already get great deal price room . impressed response . come back later speak someone else , hope get well response . still not sympathy least time go look ... think . somebody suppose call back , never . ( stay 2 night ) . realized not going get anywhere issue , move on . nevertheless , hotel room one good ' ve ever see . love modern look feel . actually not hotel room condo . awesome view face strip balcony unexpected . bathroom world 3 LCD tv 's room awesome , ( two 42 & quot ; main room small one bathroom ) .Simon 's restaurant super first class great food . I might give Palms Place second chance , will probably stay another hotel next visit Vegas , impressed front desk handle cabana situation . 
 Oct 8 2008 	 Great Getaway Palms Place 	 room beautiful great view balcony Strip . comfiest bed ever ! Hammam spa must - do , hotel staff friendly . definitely Strip , want able walk lobby walk casino , may far away ( short cab ride though ! ) not lucky adjacent Palms Casino , buffet delicious . want get away not mind strip , enjoy hotel / spa casino . 
