quiet 	 love stay find hotel clean relax . actually lounge lobby read collection travel guide book . front desk staff happy assist us snail mail , restaurant , anything else need . breakfast great variety staff tend buffet readily available supply whatever need . stay back side building noise comfortable bed . room decent size Europe . also location three block north major metro stop Hyde Park . 
 Jul 16 2009 	 wonderful Hotel excellent location 	 stay sumner 8 night enjoy much . hotel clean , complimentary breakfast good helpful especially full day sightseeing plan . we two room , king double . hotel quiet comfortable . the location 2 block Marble arch tube station . many shop restaurant within short walking distance . bus tour leave Cumberland hotel Bus tour ticket booth across street tube station . we would stay .. love ! 
 Jul 14 2009 	 wonderful experience highly recommend 	 husband return spend week hotel love every minute stay . everything lovely , clean , modern . staff helpful fantastic job cleaning room day . location terrific , right Marble Arch . first time stay Marylebone area would definitely recommend neighborhood anyone want stay someplace central , look something bit less touristy central area . great restaurant surround area ( Marylebone High Street many ) , great hotel , wonderful time . 
 Jul 14 2009 	 great Stay London 	 stay 3 night Sumner June 22 June 25 , 2009 . sumner great place London visitor stay . room bathroom large well decorate supply . front desk personnel helpful answer question . breakfast great . Breakfast schedule serve 8:00am able get everything offer except hot food item 6:45am could catch tour bus 7:15 . last day go tour , breakfast include hot food item good . place well locate , close bus stop Tube Marble Arch , good neighborhood . Premium Tours ' bus stop Cumberland Hotel pick people tour . Cumberland two block sumner . plenty place nearby eat place buy almost anything visitor would want . internet available cost . would definitely recommend hotel . sure ask Rick Steve 's discount make reservation . 
 Jul 14 2009 	 great place stay London . 	 choose sumner basis outstanding TripAdvisor review entirely live high expectation . thoughtfully lay , well appoint , scrupulously clean . three we ( , son , 13 - year - old son ) share King Twin room extra bed , though predictably cozy , quite comfortable . many thing like sumner ( convenient Marble Arch location , more - than - satisfactory complimentary breakfast , free broadband access computer lounge , etc . ) -- -but great asset staff . first email contact checkout beyond , hotel personnel efficient , unfailingly friendly helpful could . 
 Jul 5 2009 	 great location good value 	 arrive London long haul flight delightful welcome Sumner Hotel . good room , good service , good breakfast great location . thoroughly enjoyable stay . love cup ot tea deliver room busy day sightseeing . 
 Jul 2 2009 	 Great Hotel Near Marble Arch 	 wife return London spend honeymoon year ago . find Sumner great little hotel . stay nice size deluxe queen room , tastefully decorate , firm bed , armoire , flat screen tv . bathroom shower spotless . breakfast good include egg , sausage bacon , cereal , great coffee . sumner free internet access , 110V line available wall adjacent desk easy laptop connection . hotel locate 5 minute walk Marble Arch tube station , short cab ride Paddington Station ( connection Heathrow airport train ) St Pancras ( Eurostar Station ) . also easy ride west end , spend evening . great location , nice accommodation , helpful staff make sumner great choice stay London ! 
 Jul 2 2009 	 Great Location helpful staff ! 	 room nice nice size London . little expensive , believe par course travel London . location great ... right next Hyde Park Marble Arch tube station ( would make short walk tube station whenever would go day ) . breakfast good ; buffet style assortment food ( egg , bean , cereal toast , yogurt , juice ) . staff nice accomodate whenever question . seat area front hotel classy several travel book available use stay . computer internet room definately plus available time throughout visit . 
 Jun 25 2009 	 Gorgeous Elegant friendly Clean Quite Hotel 	 highly recommend . stay Sumner New Years Eve Dec 07 / Jan 09 gorgeous small friendly hotel right heart ' old fashion ' London . look room window like step Mary Poppins film set . gorgeous room lobby area . clean , friendly , quite hotel security entry main building . nice cozy warm room wintery new year eve . perfect distance Hyde Park / Oxford street tube station . perfect round ! stay . 
 Jun 18 2009 	 great find repeat traveler London 1st - timer 	 London twice & quot ; college buddy & quot ; trip ten year ago . time ( March 2009 ) wife . previously stay hostel ; finally choose hotel go around . what find ! member Best Western point club , could find favorable location base Trip Advisor review price . stumble Sumner ton online search . we arrive early day expect room already go . Marble Arch area great . actuality , location Marble Arch St. Christopher 's part town . easy ( block ) walk Marble Arch tube station . room great ( back side quiet ) . Bathroom large compare many London bathroom . electrical outlet configure type . learn owner recently purchase building one next , combine two , gutte everything create hotel . everythnig new , modern , clean . everything gutte build scratch , room large & quot ; make sense & quot ; ( unlike many hotel room GB retro - fit old apartment three hotel room ) . although hotel fill , rarely see guest . wife still amaze little cost ! always stay , 
 Jun 18 2009 	 good value 	 stay Sumner May 2009 . w|e large room ( 15 sq ) overlook front hotel . large window open street unfortunately screen close evening . nice surprise north american electrical appliance work already adapt plug . room comfortable , bathroom adequate extremely small . small bar fridge would greatly enhance visit ice readily available . breakfast excellent consider part already reasonable hotel rate . coffee great - fact place decent coffee England selection breakfast lovely . negative comment would would foyer area - look unwelcome - dark hallway - lead back townhouse - would well change sit area front reception area . staff efficient , helpful outgoing / friendly - perhaps due language problem . previous reviewer correct marvelous location five minute walk Marble Arch tube station - two convenience store way tube pick refreshment ( beer wine well ) . many restaurant neighbourhood find end May lineup quite long . find wonderul italian restaurant one block south block west Sumner call Biagis Restaurant - food wonderful , service excellent price reasonable . airport transportation arrange thru sumner prompt efficient - good value - hassle . , would recommend Sumner would stay . 
 Jun 14 2009 	 cute townhouse hotel Marble Arch 	 really enjoy stay Sumner . upgrade deluxe queen room honestly think bit small expecting , use huge USA room . room great furnishing include comfortable bed , desk , armoire , flat screen tv large bathroom . continental breakfast quite good , especially free breakfast hotel good . egg , selection meat , cereal , great service . hotel locate two three block underground , make great location . safe neighborhood lot local shop eatery . would highly recommend place anyone stay London - staff provide excellent service , room clean decent size , locate great location - good price . 
 Jun 13 2009 	 bring earplug 	 hotel great location , check efficient friendly , room lovely . traffic noise noticeable bad . people walk around upstairs heavily foot , restless inconsiderate encounter . every night 3 night stay pace heavily back forth seem likemost night . might add partial hearing impairment mosthotel noise bothersome exception . maybe unluckybut think floor soundproof . would stay Luna Simone much well deal good rest previous stay . 
 Jun 11 2009 	 comfortable welcoming . 	 hotel comfortable stylish , staff friendly helpful location convenient . Marble Arch tube stop we five minute walk , 10 - 15 minute mention another review . breakfast fine , although real fruit juice , rather flavor water , would appreciate . hotel clean well maintain , would happy stay . 
 Jun 6 2009 	 real find - competitive price 	 have give Sumner five star rating fact bungle booking put we first floor room would specifically ask top hotel avoid street noise . , however , good enough move we second day , though inconvenience . the king size room good size London though bathroom small - clean adequate . the hotel small , beautifully present spotlessly clean . staff professional , efficient helpful . breakfast bit limited hotel would well look , well perhaps consider supply tea / coffee make facility room . the place bit rabbit warren sure get direction reception lift use . also prepare carry luggage stair . the Sumner 's location extremely central - 5 minute walk Marble Arch tube station . perhaps critical factor price sumner - truly excellent value hotel quality central London . we will stay . 
 Jun 4 2009 	 nice boutique hotel London 	 nice helpful staff . room small small hotel king side bed . good breakfast internet available lobby . 10 - 15 minute walk Marble Arch tube stop . would recommend hotel London . also get discount mention Rick Steves ' book . 
 Jun 3 2009 	 helpful ! ! 	 staff incredibly helpful ! ! advise we daily travel route info . incredibly polite patient well . location good , block away tube . fantastic sandwich shop couple block away . room spotless ( although quite small ) . bed comfortable bed ' ve stay . hard get morning go tour ! ! ! hotel clean , neat quiet . breakfast hearty wonderful . go back would stay would recommend other well . congratulation job well do ! ! 
 Jun 3 2009 	 Highlight transatlantic trip 	 complete transatlantic cruise end London . choose Sumner Hotel base review . check early Sunday morning , Mark desk say room ready recommend nice pastry shop coffee sweet . return hour later , luggage already room . room bright cheerful immaculate ! London , room fabulous ! breakfast outstanding .... open breakfast room we early catch tour bus 7 . small pub street ( say stop point criminal execution ) . addition , 3 4 middle eastern restaurant well wonderful indian restaurant locate within 3 block radius . Hyde Park street hotel tour pickup nearby . easy find currency exchange within area . depart , hotel kind find we reputable way get Heathrow . Mark , read .... thank help . back next year ! 
 Jun 2 2009 	 Good Hotel Choice London 	 book Sumner Hotel reading review Trip Advisor . hotel small boutique hotel locate near Marble Arch . room clean , standard - sized London , amenity include free internet . excellent market street Marble Arch tube nearby . hotel residential area , feel safe walking evening . mason arm pub , next door , excellent food reasonably price . 
 May 31 2009 	 Happy - meet expectation 	 great , boutique , hotel . long flight Australia , arrive hotel 7.00am make feel welcome , even early hour . give access cosy lounge ( & amp ; internet ) without problem allow we leave bag reception whilst freshen , check email etc go around corner Oxford street find breakfast . time get back breakfast quick walk around area , ie 10.00am , room actually ready - great advantage . clearly big / commercial hotel , bar restraurant etc - actually add charm , place one good part London , find good bar & amp ; restaurant problem . room excellent , breakfast - highly recommend . 
 May 31 2009 	 lovely quiet hotel perfect location 	 husband spend 3 night Sumner Hotel , combination business / vacation trip England . choose hotel read great review Trip Advisor , Sumner certainly meet expectation . staff always friendly helpful , room immaculate comfortable . ( room top , mean take luggage stair exit elevator , manager immediately offer help we . ) happy find could open window room , since like fresh air . even window open , quiet , sleep well . breakfast good , serve cheerful room basement . computer available use lovely sit room ground floor . location can not beat , easy access Tube bus . thoroughly enjoy stay sumner return soon . already recommend hotel friend frequently go London . 
 May 31 2009 	 fantastic little boutique hotel 	 January , make decision visit London ( first time ) May . browse TA good small hotel . sumner # 6 rating time . like everything read it . FF , return home spend 7 night Sumner . happy everything : room , service , location . stay top floor ( room 109 ) . room quite big big city standard . bed king size , firm , comfortable . since one bed sheet use two bed , bed drift apart night . the receptionist professionally polite helpful every request . book coach trip we not take care . come back end day , ticket ready go next morning . evening girl print direction go restaurant way . I complain breakfast . well home everyday . least hot cook . make good start day . 
 May 29 2009 	 Quirky Hotel great service fantastic location 	 long flight , welcome relief sumner live reputation . standard hotel excellent , staff reception breakfast friendly helpful . unusual layout room hotel may make difficult people navigate , especially alot luggage , however make easy access Oxford Street , public transport & quot ; must see & quot ; tourist attraction . Good Pubs restaurant close by . a good start holiday . 
 May 28 2009 	 Happy Sumner 	 stay sumner 4 night May , 2009 . daughter boyfriend we well , actually two room . reseache Sumner TripAdvisor happy choose stay there . I feel money great hotel . room small , amenity need . immaculately clean bed comfortable . breakfast , basic , fine start day . staff always available help anything need . location perfect . close tube station , within short walking distance many good restaurant . elevator , way room lay may still stair climb get room . even we ( Seniors ) much inconvenience . would definitely stay sumner , recommend friend go London . 
 may 22 2009 	 disapointing 	 stay Sumner Hotel one night may part honeymoon . disappoint service standard hotel . welcome reception would expect hotel offer ' warm , friendly attentive service ' , ' even warn need carry bag upstairs . room ok , would expect Deluxe Bedroom . furnishing seem little cobbled together mostly modern furniture ' distressed ' wardrobe corner wicker chair . bedside light appear foot switch make somewhat difficult operate switch among tangle wire side bed . blind string tatty knot net curtain pole handle miss . extractor fan bathroom ' work shutter never open , make bathroom rather damp may explain mould form ceiling peel paint . exactly luxuriously appoint . would also expect tea coffee make facility room traditional uk.whilst advertise Gilchrist Soames toiletry present , bubble bath useful room bath ! room also noisy , particularly noise within hotel . even re reception late night complain noise TV another room . could constantly hear people move room above . the lounge look quite nice pc available stay one night not much use . I complain checkout simply tell nobody else complain . also email hotel receive response . I really not understand hotel good review people , 
 May 22 2009 	 avoid Sumner Hotel 's King Double 	 recently stay King double large spacious room bathroom bathtub . Sumner Hotel , , neat clean . great location ( Zone 1 ) tourist . include breakfast simple , nothing write home . point never mention TripAdvisor Sumner 's homepage . the King Double locate basement . bed ( 2 single ) locate directly underneath hallway lead to / from main front door . thus , expect awaken foot traffic noise , amplify creaky wooden floor . make sleep impossible , room locate directly across breakfast room . King Double 's bed actuality 2 single bed . would expect bed immobile , yet bed could easily roll place . example , sleep watch tv upright lean headboard . none supply : -bathrobe and/or slipper - iron and/or ironing board - standard - sized blanket 
 May 21 2009 	 Loved Sumner Location Service 	 stay Sumner Hotel , near Marble Arch around 22nd April 5 night ( husband , wife daughter . ) initially , check , find hotel room little cramp . probably case centrally locate european city hotel . day wear , fall love Sumner . breakfast great ( although vary day day . ) location fantastic . good service . guy front desk ( believe name Mark ) superb come help we plan day itinerary . would figure cheapest way get particular place . would help get reservation ticket . help we move luggage also ( mean task give huge amount luggage carry we . ) 
 May 15 2009 	 superb location great hotel 	 spend 4 night sumner , recommendation friend - glad - location convenient bus tube ( foot ) return comfortable quiet room ( top floor ) . front desk helpful , make perfect start vacation . 
 may 10 2009 	 great value London 	 stay sumner come go London end April / first May 2009 . attentive friendly staff . really good breakfast ( available 8 9:30 morning ) . first time try small boutique - type hotel good choice . near Marble Arch tube station . side first night room face street construction noise really loud . move we back hotel room would highly recommend ( either 204 208 ) . good value cost . stay ever go back London . 
 May 10 2009 	 excellent location quality service 	 small elegant hotel block Marble Arch metro station , close Hyde park Kensington Park . time 3 lady girl . simple yet elegant breakfast room , comfortable stylish living room nice collection travel book magazine available . room bath room comfortable quiet . comfortable high quality bed , linen towel . excellent breakfast . kind service . cheap option , realiable quality excellent spot reasonable price ! 
 may 5 2009 	 Nice Stay 	 come back London stay sumner 8 night . book hotel cause review tripadvisor , not dissapointe we . first stay 5 night one ' King Size ' room . space room good , compare european hotel . although , bathroom quite small adequate enough usage . last 3 night upgrade we deluxe room feel room size different king size room size bathroom much big . breakfast excellence , although much variety taste type food good enough . can not find fault service . ask scale weight luggage boarding . although not scale luggage be still able find normal scale we . the location great , 10 minute tube station Marble Arch start end Oxford Street . anybody go London prefer small , friendly hotel would definitely recommend hotel . 
 May 4 2009 	 fantastic hotel ! 	 stay Sumner Hotel 5 night . would recommend anyone . very clean , superbly locate , friendly , obliging staff , close tube , close shop , good restaurant , pub ( cheap meal ) , lovely cook breakfast morning . 
 Apr 26 2009 	 Great Small Hotel ! 	 stay sumner five night March find outstanding : close Paddington Heathrow Express , near underground bus stop navigate city . hotel clean well - keep , staff friendly helpful unobtrusive , complimentary breakfast quite wonderful . ask - receive - quiet room back hotel , photo small room front , adequate . since trip , ' ve recomende sumner several friend without hesitation . 
 Apr 25 2009 	 Amazing ! ! 	 stay sumner two night july .... word describe amazing time hospitality receive ... beautiful quiet room ... amazing breakfast ! ! ... everyone front desk friendly kind ... great job guy ! ! ! .. can not wait go stay next trip london . 
