luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 oct 2 2009 	 Brilliant Hotel ! Great Location Rooms ! 	 read review site , rather nevous expect however find hotel perfect recomende friend ! check fast , give large family room ( 1 double 2 twin bed ) amount space room great , bathroom clean . room clean everyday , new towel toilette leave everyday . luckly back room , quiet . hotel great walking distance many sight ! Empire State building , around 15 minute walk Times Square , near subway . many people comment lack customer service reception , however find problem , acknowledge , acknowledge you . the downside room , although fridge room , tea / coffee make facility . Captins Cafe adjoin hotel serve brilliant breakfast , eat everyday . people work friendly , , acknowledge , make conversation , happy talk back , give infomation need . ( also buy takeaway coffee tea $ 2 drink room ) hotel free wi - fi , two computer printer downstair . obviously use 5 * luxary , hotel will not , want nice cheap ( new york stander anyway ) hotel must ! 
 Oct 2 2009 	 good value hotel great location 	 hotel clean room large . Free Wifi air conditioning . quite well close Empire State subway . 
 Sep 24 2009 	 clean room amazing location great price 	 Location everything island like Manhattan . hotel step Madison Avenue , Park Avenue ... block away Empire State Building , decent stroll theater district ( Broadway ) Times Square . bother get cab . service good room , small , definitely clean comfortable . 
 Sep 11 2009 	 Excellent Hotel Staff 	 recently stay hotel 7 night husband honeymoon New York could recommend highly enough . room comfortable , quiet clean daily excellent cleaning staff . staff reception extremely helpful . hotel centrally locate one block away Empire State Building . alot nice irish bar / restaurant street surround hotel . hope return New York love much definitely stay Hotel Grand Union return . 
 Sep 9 2009 	 Great Location 	 location hotel beat . great value New York City well . Booking Amtrak , get hotel 90 dollar night , stupendous . could recommend well place stay money , room clean quiet go absolutely anywhere , easy access subway . great restaurant bar nearby well . A+ 
 Aug 19 2009 	 Comfortable Quiet ! 	 boyfriend budget not want spend lot money hotel go NYC view city stay hotel room . trip 4 night 5 day . find hotel Expedia $ 100 / night CAD great deal compare hotel . leave , read review hotel week leave , email hotel request room quiet section hotel . check - in really quick easy . also flexible we check 4 pm ( check - in time ) . room clean small double bed , okay expect . bed really soft comfortable , however , boyfriend not think firm enough ; nonetheless sleep well night room great location really quiet ( outside noise ) . also mini - fridge handy week , really hot could buy bottle water store fridge . people hotel really nice accomodate . manager even give we free pass internet since first usage . hotel also secure luggage storage area useful day check - out , transportation not go later evening able put luggage storage cost one last tour city retrieve luggage later evening . location hotel excellent ! literally block away Empire State Building . could even walk Times Square ! 's 30 minute walk hotel Times Square one way . hotel also close food area . thing not know hotel Korea Town , fine , since lot korean / japanese restaurant street hotel , walk street , reek garbage . arrive Saturday afternoon weekend , soon step outside , stank ! however , smell tone bit week ( probably garbage truck work ) . think downfall , since hotel great location , bear ! hotel also cafe beside really convenient grab bagel / muffin something go way instead search breakfast place . overall , enjoy stay hotel would come stay come back NYC . 
 Aug 18 2009 	 Great Location ! 	 Grand Union Hotel great ! people welcome . price right & amp ; location perfect . would defintely stay ! 
 Aug 17 2009 	 say tin 	 NYC standard good value money . like location . NYC standard ' budget ' hotel something 200 buck night . room adequate , boring clean tidy . since be not NYC sleep fine . would recommend ' m sure one could hunt well deal enough time . one annoyance : ' fix ' rate airport transfer list foyer incorrect . expect yellow cab , instead get dude beat piece americana ( 1980 cadillac ? ) dirty boot , drive like demon . overcharge price list hotel 10 buck gave ask do not tip- check front desk do not want cowboy beat monster . 
 Aug 9 2009 	 Gloomy depressing ! 	 stay 5 night leave feel like troll escape daylight . give room 4th floor small close . daylight window impossible anything without light . bathroom much . room right side clean . air conditioning unit set window right top bed close enough touch ! make life difficult night go bed . positive hotel 's location central thing want see . want location top list stay couple night go , want standard comfort ( daylight ! ! ) avoid like plague ! ! 
 Aug 7 2009 	 great location clean fancy serve purpose well 	 stay NYC two teenage daughter . look clean , inexpensive ( NYC standard ) , comfortable hotel safe neighborhood . able get quad include two single bed twin $ 150 ( $ 189 total w/ taxis ) three night . save book two night . hotel great location . look like convert apartment building . able check early . use unlimited Metro pass be anywhere city within 20 minute . easy walk Herald Square Times Square . front desk polite , businesslike , friendly . expect decent , clean place stay ( luxurious ) will not disappoint . room quiet - little street noise , could not hear neighbor . water pressure shower low , still usable . elevator pretty slow . Captain 's Cafe next door terrific . good breakfast good price . kid love . quite pleased . 
 Aug 5 2009 	 great place reasonably price perfecet location . 2nd visit 	 wish could remember manager 's name reception travel May can not recall . brilliant . really look us trip wise friendly . Grand Union posh Marriott Marquis Marriott Marquis price either . opt room without view ( not need NYC see ) quiet . hotel clean Captains Cafe join great breakfeast . try omelette ! could not really close Empire State . word advice . afford one trip tall building , opt Rockefeller centre Empire . get much well view park experience well price . recommend Grand Union highly enough always stay NY . weather week amazingly good , really warm sunny , lucky . if never ny , love . 
 Jul 28 2009 	 excellent location ! Clean Hotel ! Fab ! 	 partner stay Grand Union hotel last November 5 night ! want NY budget , good location ... hotel ! hotel nothing spectacular , everything need clean ! also , diner right outside hotel , eat morning ! .... cheap , traditional american breakfast set day New York City ! ! ! 
 Jul 21 2009 	 perfectly adequate central budget hotel 	 husband recently stay 4 night Grand Union Hotel . budget hotel room large much possible problem . lobby area internet lounge quite smart . go lift , quite plush get pay . stay four hotel East coast holiday Grand Union hotel offer go rate day book , rather high rate make reservation ) consequently save we £ 200 . adjoining cafe breakfast pop round corner Starbucks bagel . hotel one block Empire State Building , 10 minute walk Grand Central Station 20 minute Times Square . air conditioning seem work well could leave window open quite noisy outside ( front hotel 1st floor ) early morning . main road sure noisy . want budget hotel within easy walk distance thing , would recommend Grand Union . 
 Jul 16 2009 	 great location comfortable bed friendly staff 	 stay hotel 5 night . room fairly small , meet need . bathroom little date , everything work well . room clean , bed comfortable great service desk . location amazing . able get anywhere want short time , 5 - 10 min walk Penn Station . great eatery close 2 block Empire State building ( view bathroom window ) . would highly recommend couple friend travel together . 
 Jun 28 2009 	 WOW ! deal 	 location could well . within walking distance many NY 's great site . price beat city . safe area . clean bed comfortable . although & quot ; 2 - star & quot ; hotel , great find . would definitely recommend hotel ! 
 May 21 2009 	 cheap clean excellent location ! ! ! 	 boyfriend come back 6 night stay Grand Union Hotel . hotel excellent location see main attraction metro stop minute away although mostly walk everywhere . hotel basic clean room back hotel ( room 208 ) really quiet . captain cafe next door nice cheap ton cafe deli 's nearby plenty choice menu . want clean safe hotel basic amenity good location hotel certainly tick box . would definitely stay recommend hotel other ! ! ! 
 Apr 26 2009 	 GREAT LOCATION 	 stay 6 day go cruise . great location good price . ask room rear hotel would not know New York quiet . room quite small not spend time apart sleep fine need . room clean maid come every day change towel every day . also find room get quite warm air con time . fridge come handy . find reception staff ok . Captains Cafe serve good breakfast reasonable price . ask reception book us cab Cape Liberty big black limo arrive , however nice end New York stay enjoy travel style . return New York , would stay would rather spend money sightseeing thing hotel room . 
 Apr 15 2009 	 nice nothing fancy 	 visit Grand Union not surprise . arrive , staff accomidate give room early check time . staff nice friendly make sense . room stay clean small basic , one expect price . Captains cafe connect hotel ok food , cheaply price . overall , would stay budget low .it 's nice place stay look good night sleep 's . 
 Apr 15 2009 	 fantastic location basic noisy hotel good NYC budget 	 Hotel Grand Union ideally locate see sight great city . walk place , metro station extremely close well - 33rd st stop actually come 32nd st , 100feet hotel . something remember stay - rely wake call hotel . lucky we set back alarm mobile wake call come late . also , hotel offer call cab , make sure yellow cab . clearly say want regular cab , call private car company seem affiliation . cost regular cab . at first think street noise would not issue . day reasonably quite street noise wise , night completely different story . room street . think changing soon find , sit room think not bad . middle night garbage truck grabage truck ( ' m talk 3 - 4 + hour 11 pm 3 am ) really loud , guy yell eachother well . peaceful ! one morning wake jackhammer go really early well . might sound like much- honestly really bad . get room back ! room always warm , fact bit warm night . small , manhattan . bathroom nice shower smallest ever see , can not even bend wash foot . bed reasonably comfortable , double be use queen bit small . other , good . staff helpful enough need ( apart departure arrangment discuss ) . cafe next door great breakfast . 
 Mar 23 2009 	 Grand location ! 	 partner back five day visit new york stay wee gem hotel , perfect position visitor attraction price spot great value centre manhatten , would recommend plan take trip big apple go budget do not want spend load money hotel sleep . 
 Mar 23 2009 	 Perfect 	 place fantastic , trip NYC overshadow hotel selection , not want spend hundred pound hotel . place great one reasonably price hotel Manhatten private bathroom , £ 80 per night ( 2008 ) steal ! walk distance Times Square , Central Park , 1 Block Empire State Building view distance Chrysler Building great . also Metro station 5 minute east front door take straight financial district Brooklyn Bridge , Staten Island Ferry Statue Liberty view WTC memorial . excellent . 
 Mar 4 2009 	 good location room 	 location : 8 minute ' walk Penn station , along busy West 32nd Street onto East 32nd - traffic disappear 5th Madison Avenues time reach hotel 's reasonably quiet . adjoin Captain 's Cafe serve cheap comfort food like burger breakfast , decent oriental food spot area , really top - notch cuisine subway ride away . Macy 's Empire State Building block away , whilst subway stop block hotel , nearby 34th / Herald Square stop go far destination . room : stay room 208 . decent - sized bed comfortable , although notice small collection hair pillow . shower toilet facility spotlessly clean . room face inner courtyard - excellent sort person might bother small amount traffic noise , natural daylight whatsoever . hopefully not come NY spend lot time room , keep light . one complaint - room temperature fluctuate toasty sweaty . radiator need repair replace . service : Adequate . not expect paint - on smile & quot ; nice day & quot ; attitude would get NY establishment , check - in check - out seamless . facility : many . internet access available price . hotel excellent location room quality consider price pay . would recommend hotel anybody . 
 Feb 27 2009 	 great Good Value 	 stay 4 bed room 4 night tax £ 40 night each . the captain table next door great breakfast . the Hotel clean warm staff friendly helpful . it really close Empire state building 5 minute Braodway . if go back New York would stay 
 Feb 24 2009 	 Excellent Location - good sleep 	 stay Room 504 - face street , little noisy night bad , view Empire State . room clean comfortable , great shower powerful . location 5 - 10 min walk Grand Central , 33rd St station less minute away , Times Sq 15/20 min walk . lot good place eat breakfast nearby , Captains cafe good there s cafe / deli opposite hotel alot choice breakfast . staff helpful , internet available use , free 10 min p / d . also 2 unsecured wifi access select , room ; - ) - price pay excellent choice want good location good night sleep walk NYC . 
 Feb 16 2009 	 good location nonsence hotel 	 read numerous review hotel view picture various part hotel . pre - booking hotel excellent report get worried towards depart New york varied report hotel . arrive decor looked date . staff friendly give we key . room big expect , television , hairdryer fridge . bedroom bathroom clean . initially hot water cold run 15 minute get hot . problem rest week . heat come evening get hot night hard control . room clean every day give fresh towel . double bed comfortable . location hotel excellent . walk everywhere week hotel central . check macys , century 21 great shopping . avoid Jack Dempseys Irish Bar guinness serve clearly guinness ! ! although breakfast provide numerous place surround hotel . captain cafe average much preferred cafe directly across road . would definitely recommend hotel . 
 Feb 11 2009 	 Great Location 	 Execellent location , room big enough , comfortable warm . hotel book we onto shuttle bus return journey airport generally helpful . 
 Jan 29 2009 	 clean 	 stay grand union hotel . originally put room 308 draughty cold especially January freeze New York . speak helpful staff put room 708 . room clean comfortable warm . hotel conviently locate . near MACYS & amp ; Empire State building . diner attach hotel nice breakfast / lunch , lovely friendly staff . basically 2 star hotel say comfortably clean quiet , enjoy staying would stay . internet access access free safety deposit box . 
 Jan 22 2009 	 good hotel 	 stay four night two parent two teenager . stay nice , spacious three bedded room . nice hotel price . 
 Jan 13 2009 	 great option budget traveler 	 look affordable option convenient Manhattan location , fit bill . room small dark , one window face brick wall , plus side quiet . room clean , newly renovate bathroom nice . staff helpful . complaint hot water day evening - morning . staff say maintenance people work , give pattern every day , doubts explanation . finally , radiator loud , light sleeper , earplug bad idea . aside hot water situation , happy , be somewhere would stay . 
 Jan 13 2009 	 great value money 	 would definately recommend hotel great location , clean ( come every day ) cheap chip . luxury great place lie head that s be look . would definately go back . 
 Jan 10 2009 	 good price midtown clean basic room 	 decide hotel choice sell out . kind glad since convenient location , even block subway 6 line , little cafe connect hotel great . very short walk esb , Macy 's , Herald Square , shopping , food , etc . the room little small absolutely issue fitting & amp ; teenage son & amp ; 2 large suitcase . have room w/ full bed & amp ; twin . # 211.bathroom tiny like shower stall w / no tub . no place leave toiletry . just leave everything toiletry bag & amp ; put handy shelf bathroom window . left essential soap / face wash everyday use . towel change every single day & amp ; good job clean actual room . no complaint there . there luggage rack & amp ; rod w / hanger great . there large water tank type thing outside bathroom find odd . really noisy strange . however , step huge puddle happy thing generate heat able dry sock , boot & amp ; pant it . never use heater room , actually crack window . nice little fridge room great drink . a microwave would make hotel almost perfect I . no view window ' m go NY look window not matter . I right Xmas holiday & amp ; nice tree lobby . the front desk never really acknowledge we leave return think bad customer service . you least say hello . it seem front desk talk / be friendly foreigner find strange . speak English w / accent maybe be why . I say treat everyone . time take elevator check & amp ; otherwise always take stair one flight room . the time see maid friendly . nice small hotel close everything . would hesitate stay next trip nyc.hopefully front desk people warm we non foreigner & amp ; will work free internet . voucher 10 minute use cheap . lady , go Century 21 shopping . have buy boot 'cause snow . got great pair bearpaw $ 38 ! can not find price back home / online ! great $ 5 supposedly pashmina scarve . I load souvenir . use Captains Cafe . Tony nice . breakfast two never $ 12 w / tip & amp ; get coffee / cocoa go . city pass way go . good price & amp ; line short general public line . get metro card & amp ; not afraid ride subway . I always buy 7 day option . great value & amp ; safe . never issue & amp ; 2nd week long visit NYC 2008 . can not believe much police force always present almost everywhere . always feel safe NYC . go Astro Gallery Gems 34th want see awesome mineral specimen . son rockhound anyone else interest , good store country specimen . John friendly / super nice . get good stuff good price also carry thousand $ $ stuff . , FUN ! 
 Jan 5 2009 	 Loved Great Location 	 check December 27th check 12:00 December 30th love every minute . hotel staff helpful tell we get place little resturant next door Captains Quarters great breakfast really good price ! ! ! . ever go back stay Hotel Grand Union . 
 Dec 16 2008 	 Good Solid Choice 	 return four night stay Hotel Grand Union enjoy stay much . luxury five star hotel mean , price location , can not beat . short , half block walk green line subway station . ask quiet room , give one back building . go two fire door get room , problem . cut hall noise . hotel sort resturant , excellent diner right next door call Captain 's Cafe -- good choice breakfast , could also get cup coffee bagel take back room . enjoy small refrigerator room . would nice small coffee maker well , small inconvenience . find front desk staff helpful friendly . able check room quickly . would definitely stay , would hesitate recommend friend . be look luxury accommodation , place . want clean , reasonably price , well locate hotel , give place try . 
 Dec 14 2008 	 clean comfortable . 	 boyfriend stay night , return two night couple day later . first night pretty small room , return second part stay much large room . small frig room bathroom room clean . 's great value . desk staff could little friendly , be ok not make new friend anyway . & quot ; free & quot ; internet actually 10 min . pc lobby . able find free wifi . bottom floor lot street noise . subway right outside hotel ! day leave , store luggage lock room lobby . really like . Manhattan , rate cheap . 
 Dec 13 2008 	 bad hotel experience ' ve ever ! 	 husband able check hotel early sit thing room , proceed sight see shop city . return later evening , find hotel break valuable steal . sign force entry ; however , notify hotel staff , practically accuse we staging incident . call police , file report ask Hotel Grand Union refund . yet receive refund . extremely defensive never even apologize happen we . luckily , NYPD compassion we give we ride another hotel . would never recommend hotel anyone . 
 Dec 9 2008 	 great overall location 	 friend travel NYC August long weekend . find hotel comfortable clean . locate great part city , mere block away Penn Station close proximity many famous sight . subway locate less block away may travel around city easy . also feel concierge service hotel offer helpful . would highly recommend hotel anyone know . 
 Dec 5 2008 	 please give place chance 	 bad review bit worry Hotel Grand Union fear unfounded . yes room basic decor date hey be 2 street away 5th avenue jewel crown & quot ; Captains Cafe & quot ; right next door ! ! fab breakfast sadly , day leave , realise good burger area ! ! brilliant value ! ! central everything e.g Empire State Building , Macys etc doorstep . excellent location , tasty breakfast friendly reception staff . would definitely recommmend friend family . use 5 star luxury may want somewhere central , comfortable , clean , friendly helpful Hotel Grand Union . not hesitate ask question ! ! enjoy 
 Nov 26 2008 	 great value hotel 	 wife pick hotel 3 day break head New England , base Tripadvisor review . Booked Hotel Discount , phone Hotel 4 day due arrive , well never hear we ! staff helpful contact agent able resolve problem fit we plan . room front bit noisy FedEx depot street , everywhere NYC share noise - not excessive not spoil stay . room describe reviewer - clean , adequate size , reasonable ensuite facility ( rare price bracket Manhattan ) , helpful staff . ideally locate near Empire State . recommend go soon arrive get bearing , forget map use audio guide . buy city pass , Empire state include audio guide part deal . go see Museum natural history , Metropolitan art gallery , feel touch & quot ; king new clothe & quot ; Guggenheim Museum Modern Art . frick Collection 5th Avenue absolute gem miss . we would happily stay Grand Union , would recommend friend family . 
 Nov 25 2008 	 Comfortable Mid - Town Hotel 	 find hotel clean comfortable 3 night stay NYC . be nicely situate mid - town Empire State couple block away , Times Square 10 minute foot number 6 subway train town end street . there several cafe / place eat within block two hotel 's coffee shop . there small fridge room coffee maker - 's worth take travel kettle like . bathroom nice clean , ok shower hairdryer . hotel provide soap shampoo though couple extra towel would nice . the front desk matter fact - want payment arrival not fix problem tv ( remote working ) request . I would recommend hotel , particularly budget . usually get hotel price range NYC share bathroom stay Manhattan mean long commute . case want somewhere clean comfortable . not go NYC hang around hotel ! Grand Union fit bill exactly . 
 Nov 23 2008 	 Great Location ! ! 	 Great Location ! thought would need take cab location want travel , walk place . need go ( i.e . Statue Liberty , World Trade Center Site ) take subway , easy get hotel . room small , not plan spend much time room hotel great option price . 
 Nov 21 2008 	 good location 	 get back stay hotel honest reading review bit worried go ok - - room clean , hot water time clean towel everyday , reception staff friendly helpful location could not much well . negative could say need new mattress room , lift slow wall thin . reception staff sort taxi airport , free safety deposit box office safe room put bag not fly til late day . Captains Cafe next door great breakfast cheap . empire State Building 2 block away , really enjoy downtown bus tour , tkts box theatre ticket sale everyday , see Statue Liberty - Staten Island Ferry - good idea free go right past Statue . 
 Nov 19 2008 	 nice hotel 	 stay 3 night pay £ 550 per person flight manchester . firstly good point , location brilliant , well within walkin distance many attraction , check fast efficient , give two room ninth floor hich not bother we , room clean ( though see bad point ) good bathroom t.v . tea / coffee make facility , towel change everyday . breakfast adjacent hotel brilliant captain cafe diner , full house breakfast special $ 7.95 ( see menu pages.com ) set day . hotel internet access need . hotel quiet street , nice bar west 33rd st five minute walk include jack demsey 's bar serve nice food . now two bad point , whilst room 901 bite several time mosquito room humid air conditioning noisy , secondly advertise car service take back airpoprt , aware price quote price pay , offer $ 60 + $ 8 toll , figure tip price would $ 78- $ 80 get newark price $ 85 want tip well , needless say not get one , honest good point far outweigh two minor bad point . great little hotel would put people stay . 
 Nov 16 2008 	 rare diamond Manhattan 	 choose hotel one reasonably price ( New York standard ) hotel ensuite bathroom good review midtown Manhanttan . location excellent , two block Empire State Building one block subway . hotel locate relatively quiet street , provide calm environment away hustle bustle city . I arrive late 3 - night stay , nearly midnight , receive polite welcome hotel reception . reception area impressive small hotel , bright clean feel . I allocate room double bed rear building . room reasonable size well - furnish typical american style heavy dark - wood furniture . bathroom spacious large bath , nicely decorate marble effect . bedroom bathroom window onto shaft back building . consequence , not much natural light room , problem spend much time room daylight hour . real criticism , usual , hum noise shaft , night day , close window use ear - plug get sleep . nevertheless , comfortable bed allow good night 's sleep , overall , room provide perfectly adequate base short visit New York . breakfast include room rate ( $ 175 per night plus taxis ) , hotel small adjoining coffee shop excellent breakfast reasonable price . another positive feature hotel cleanliness . room communal area clean , every morning big band cleaning staff even see hotel clearly visible work . in summary , hotel would seem rarity central Manhattan - clean , relatively quiet good value money . 
 Nov 11 2008 	 Excellent value cigarette smoke not bother 	 stay 3 night . staff friendly . location central . hotel clean . although decor date , easily overlook give price per night positive aspect note . room 7th floor back quite quiet . my complaint non - smoking room / floor . problem first 2 night , third smoker presumably next room , cause room smell smoke . if not smoke , would certainly stay without hesitation . even , would probably take chance can not find clean hotel affordable place NYC , really wish would allocate floor non - smoking . 
 Nov 4 2008 	 great stay ! 	 stay hotel 5 day great ! location fantastic 's subway corner . the room bathroom clean ... could change furniture , look like old ... 
 Nov 3 2008 	 Worth Money 	 Wife stay Grand Union Hotel week October . hotel actually exceed expectation price level downtown NYC . point - come NYC set expectation certain level . generally NYC , pay 200usd get room downtown Manhattan size sarcofagus contain zero bug , add $ $ $ per square foot order enlarge . reality NYC . hotel , greatly locate north Union Square great cafe 's restaurant stone 's throw , Empire States build around corner almost & quot ; private & quot ; subway station 10 meter door , clean room ( renovated recently ask renovate one , even renovate room unattractive look ) , room feature small fridge , tv , Hairdrier phone - 200USD . respect 's bargain . way - - take big room ( since basic one small ) . enjoy stay Recommend hotel . 
 Nov 2 2008 	 Fantastic ! ! ! 	 5 night Grand Union say alot well expect due low cost . arrive late evening staff welcome friendly . find room good size clean comfortable . bathroom good shower constant hot water . room well furnish everything could need , chest drawer , hang rail even dress table . find right . there one lift sometimes wait we stair much need exercise big yummy breakfast Captains Cafe right next door hotel . room clean everyday fresh towel , plenty of . we find staff helpful , friendly always acknowledge we around hotel . Captain 's Cafe great addition hotel . great friendly staff food could well . reasonably price amount get always welcome happy cater need . owner Tony staff make stay Grand Union Hotel even well . location perfect first ever visit NYC . subway close many main site walk distance ( esb , Macys , Times Square , 5th Avenue , Broadway ) . recommend hotel comfort , great location . Captains Cafe reasonable price . definatly go back next summer stay . 
 Oct 30 2008 	 good location small room 	 Husband stay Grand Union 4 night . initially give room 2nd floor , overlook street . room really , really small . be not even room wardrobe chest drawer , rack wall . room suitcase , put door ( good fire ! ) . mattress bed really soft sunk middle . after poor night sleep , go reception ask another room towards centre hotel . we give room overlook central wall , do not view , really room sleep anyway . room much big desk , chest drawer nice flat screen tv . Captains Cafe next door good value food good . location hotel brilliant , Empire State within walking distance Subway stop end road . there computer lobby hotel could use reasonably price . if stay hotel unhappy room , ask reception move . 
 Oct 30 2008 	 Creepy dubious cleanliness 	 stay one night pay $ 200.the sheet pillow case crumple stain , remove pillow slip reveal even stain pillows.so go downstairs request fresh pillow slip counter staff stare say linen clean , old would budge , offer show say , want see , & quot ; thing wrong linen & quot ; . turn return room , think time change hotel guy present four new crumple pillow case , take back , try get sleep , feel creepy sleeping bed feel clean . please read " never ! ! ! " Mariolla give good description . 
 Oct 25 2008 	 never ! ! ! 	 stay hotel 10 night well prepare basic room luxury amenity . however though price ( $ 205 per night ) not worth ! pro normal size room nice location . list con pretty long though ... 1- service- book property read review expect least welcoming staff - disappointment - stay one ever greet we & quot ; Hello & quot ; , & quot ; Good Morning & quot ; & quot ; Good Night & quot ; . not even bother raise head tv monitor guest enter premise . upon arrival , pay cash owner give we bad face ask receipt . ask cupon entitle $ 2 10 free minute use internet- representative ( Eastern Europe ) give we look like not know talking insist give we like we favour . one bad service ever ! ! ! ( travel lot ) . representative not even bother help we open main door , could carry suitcase towards shuttle upon departure . give we cold look , , , however , towards Scandinavian Russians guest kind reason ... unbelievable ! ! ! another representative not willing help we make call Super Shuttle back airport . though say pay call- insist call another specific company , agreement ... say driver help we suitcases- not , member staff indicate ... 2- room- expect brick wall natural light ( get ) smoky smell room ( though suppose non - smoking room ) noisy air conditioner , not expect find dirty water toilet even flush several time ( nothing do 10 day stay , though make alert time ) , water pressure shower , control hot / cold water couple time shower water stop dudden return couple phone call reception long freeze minute ... towel stain ( one towel hands- chance 2 towel 2 guest ! ) , linen not change though usually week . result above- receive severe infectious rash face ... moreover , one lamp not function guy came say need call electrician , need move bed bit plug ( , course ) ... wall pretty thin since room near door entrance side corridor , loud noises night people coming go back forth towards door elevator . speak which- though previous review here- 10th floor not need use stair even once- , hey , guess manage scrape another pathetic pro.3- Location- though close Empire State Building Macy 's , pretty isolated night main good diner , restaurant lively theatre district . all , though hardly room visit magnificent NYC though accommodation price killer- next time will save bit and/or reserve enough time advance , order adequate room POLITE staff proper service . thus , value money ( yes , $ 205 nothing ! ) - stay away Grand Union Hotel look place well hygiene service ( would not hard ) ! 
