nice 	 stay hotel weekend one night dockland like ghost town weekend , unless event going excel . use hotel go see Disney Ice O2 . careful check tube DLR weekend though , bit way . get DLR Tower Hill , straight Royal Victoria . nice hotel , modern new feeling . swimming pool nice relaxing feeling . not eat hotel , go italian restaurant near excel , five minute around corner . also shop along road sell water , drink snack etc . staff seem nice friendly reception . room large one large king size bed large sofa bed 3 year old . look like room refurbish recently . nice stay , must admit not pay much room , really could not complain , £ 60 night ! 
 * * * * Star Hotel * * * * price * service . 	 stay Crowne Plaza Xmas party . parking nightmare . pointed direction hotel car park 40 parking space resident hotel far big . run reception get code order get barrier lift car park behind we . great start night . end go EXCEL car park bill £ 18 night . Food Service party excellent . however want rest will not get . room overlook car park door lead next room could hear everything . couple next door keep we awake two hour , end resort phoning front desk . something ' ve never do . to credit management , matter deal immediately . Breakfast rush . get plenty time go close , cereal gone not replenish . show table , . ask waitress tea , could not find toaster , toast . standard request every hotel ' ve ever . everyone hunt around milk , sugar , butter . totally disorganised . one guest boiling tea knock clash rather rush waiter . return breakfast see check queue stretch lift . resorted organising check 1 pm miss rush . Xmas hold next year , will take taxi home . really worth aggro . could much well staff key place reception restaurant . 
 Aug 24 2009 	 dissapointe ! 	 room ready 2 pm check , probably near 2:30 manage get room . the room clean , modern comfortable otherwise . the mini bar inventory short refill correctly feel necessary mention front desk ( would incurred additional £ 7.00 room charge otherwise ) .The Food Beverage service seriously lack ' m afraid . we wait hour bar & amp ; grill seat menu , feel like invisible end end leave taste food . 
 Aug 22 2009 	 Excellent 	 husband grand - daughter return 2 night stay hotel must say lovely time beginning , greet polite manner departure . room spotless bed comfortable . hour journey city , time go quickly DLR railway onto tube etc . hotel situate righ dock overlook o2 arena . return evening ( night ) able sit drink unwind . grand - daughter love swimming pool sauna steam room spotless staff friendly . 
 Aug 18 2009 	 great family break 	 stay 4 night thoroughly enjoy stay . bedroom clean . flat screen tv room good selection channel . whole family enjoy pool . child allow pool 8 am not problem . ( make sure take towel bedroom will not give one ! breakfast fantastic - load choice . staff whole friendly . Docklands Light Rail 2 minute walk away journey Central London take approx . 10 - 15 min . would recommend hotel anyone . 
 Aug 16 2009 	 lovely hotel would stay . 	 book hotel unsure situate , pleased easy get underground light railway , would stay travel back city , nice meal bar reasonably price although do not stay breakfast . room comfortable queen size bed , good I ve sleep whilst away , would recommend hotel anyone want quiet area mind use underground etc . 
 Aug 10 2009 	 relax stay away hustle bustle 	 family stay hotel July couple day visit London see sight take show . first time stay London , idea far London hotel would . problem . Docklands Light Railway take straight back hotel . area really quiet ( imagine would different event Excel ) . lovely view Docklands Canary Wharf . 3 child book 2 room , adjoining . room exactly website . kid go pool certain hour good not take child . stay include breakfast Spar Nisa 2 minute walk get yoghurt , juice , fresh bake etc . excellent restaurant within walking distance . oyster card must , find easy go back forth centre London . would highly recommend hotel . 
 Jul 24 2009 	 superseede Expectations ! 	 stay Crowne Plaza London Docklands 2 night Family Room ( 1x Queen Bed , 1x Queen Sofa ) superseede expectation . hotel modern , room clean , excellent facility , location perfect . dlr station 3 minute walk away take 10 - 15 minute get Central London ( Tower Gatway Bank Stations ) . woke every morning beautiful buffet breakfast include . 109 pound 2 night ! 
 Jul 19 2009 	 good hotel nice location spoil small silly thing '' 	 book hotel well know late booking site price competitive . front desk staff attentive efficient . offer upgrade suite extra £ 70 tell would view dock etc , decline . however still give nice queen room view extra cost . enquire robe book tell not room call would bring . deliver promptly . the room clean almost everything expect hotel standard . however bathroom towel small two small peg wall hang wet hang robe . thing find disappointing Dove cream wash dispenser shower sink . understand hotel try cut waste help environment , however use suited budget travel hotel four star one . I would recommend restaurant dinner breakfast excellent . dinner disappointment partly waitress manage get two thing small order wrong partly pretentious way food serve ( Grilled salmon serve wooden board new potato dish side ! & quot ; cheffy & quot ; unnecessary . a walk along dock afterwards reveal great look Thai restaurant look like would much well proposition . however aside , hotel good value price pay , might happy pay full price . would return get similar deal . 
 Jul 16 2009 	 nice hotel 	 arrival hotel mini suite extra £ 25 pn accepted.the room spacious comfortable good view dock 02 arena . breakfast good plenty choice . pool gym nice also . Taxi hotel Euston station cost £ 23only one problem reception cleaner take Towels mistake room , speak supervisor say know would bring we straight away.1hr later towel . go receptioin check ask towel ask could find send we . only pay tell . rufuse cleaner take room leave fold chair get mixed bath room towel . we wait another hr end leave leave never send we . ok 2 towel 2 expensive extra large bathsheet take use pool . apart nice hotel enjoy week stay . 
 Jul 4 2009 	 first rate hotel well worth ride City 	 stay 2 night wife . hotel exceed expectation . fantastic location Victoria Dock , sit sun could anywhere world . 
 Jul 1 2009 	 clean comfortable - good night sleep 	 book Top Secret Hotel lastminute.com please . pool ok size , breakfast lovely room clean . the hotel around 2 minute walk Royal Victoria DLR station around 20 minute central London . give room overlook dock nice view although bathroom quite small think good value money – especially breakfast buffet style lot choice . eat attach restaurant food good standard although service little slow . the lobby impressive offer upgrade room check - in extra £ 30 night decline people may think worth money . spar shop next door avoid part lot money mini - bar ! ! 
 Jun 16 2009 	 would expect - expensive due 's location . 	 sum expensive comment - 's would expect really . 's slap bang next door excel centre Royal Victoria Dock , far o2 ( albeit side river ) easily reachable distance Canary Wharf - yes , be expensive side London . having say , 's reasonable hotel . clean , well appoint would expect Crowne Plaza . check reasonably smooth , although not expect cheeky get early check - in . slightly concerned swiping credit card & quot ; provisional & quot ; check - in ( ie , sort detail give room key ) - turn ok key wait envelope return show excel . however , colleague mine tell ( late night ) error system room not available - offer re - locate nearby Marriot canary Wharf - least sorted problem ( include provide transport alternative hotel ) .The hotel seem pride & quot ; Docklands Bar Grill & quot ; restaurant - feel pretty much standard hotel fare . order steak side order chunky chip pay around £ 25.00 , end run mill steak , serve run mill way . lead cost & quot ; extra 's & quot ; hotel . bar expensive , avery little choice around excel centre ( several hotel bar area ) , be bit fish tank area local wise . say , couple good restaurant local vicinity - option eat . there small hotel car park attach back hotel , large multi - story back hotel . excel centre run car - park charge expensive ( around £ 20.00 per 24 hour ) , context area - 's hotel . the room well appointment general decor hotel good standard . one slight niggle return hotel room breakfast one morning find service personnel room clean . rush , apology offer come back get ready . walk room start get ready . ask leave face grumpy reaction ! return evening , found not return finish job ring reception ask fresh towel deliver room . would expect 4 star hotel . in general , front house staff quite pleasant . poor breakfast , especially busy . ask room number arrive breakfast , , be free . chase service staff around ask tea / coffee toast ! however , arrive nice . the service staff room sub standard opinion . least courteous enough know whether leave room - especially use people prepare conference event excel ( surely hotel gain 's trade ) .In general - 's ok . pick tab would not first choice service level not meet price tag - however , corporate guest ok bar good area socialise colleague friend evening . total cost worth result gain stay opinion - hence overall rating . 
 Jun 15 2009 	 ............. okay ! 	 stay one night . arrive hotel , first impression like good . reception staff okay . check bit werid . ask something room like ask lotto number . drama ! sort set mood whole stay . restaurant okay . decide head drop bag room . one say hi us restaurant . busy seem like staff stress place . girl behind bar ask senior memeber staff something walk away , roll eye make face ! professional ! wait 15mins even get menu ! believe GM take order ! lovely ! nice guy ! even though restaurant staff can not understand GM take order ? least say hi ! make big difference ! could go Breakfast pretty much ! nice though . try get cup coffee server like check ! would probably stay ! check ten time well check . young man girl duty morning . Chatty Friendly ! want ! normally do not make point thing like obvious thing need look ! 
 Jun 7 2009 	 Zero - Problems ! 	 book online Crowne Plaza get excellent rate £ 74 / night B & amp ; b family 4 advance payment . give we negative , travel back London . dlr station close bus Canary Wharfe / Canning Town , little stresful time can not hold hotel responsible poor staff London Transport . on entry hotel bright , modern spotless . check - in effortless , professional human . room functional , comfortable clean . eat restaurant cut hotel restaurant offer . simple menu well cook present . staff professional human . hotel quite every night despite use local airport . breakfast excellent . wait table , plenty space . buffet service lot choice always well cook , fresh use good product . service drink / toast excellent . also eat bar small problem one meal , sort immediately spoil experience . not much round hotel , couple restaurant bar , 2 shop excel short walk . dlr station Royal Victoria 200 mts , open ! pool gym usual hotel offer welcome after / before full day London . once issue check - out . all excellent hotel good staff , would return without hesitation recomend anyone . somewhat unusual get city / chain hotel manage give feel small family run hotel , , expierence . good facility good staff credit industry . well do everyone Crowne Plaza Docklands . 
 Jun 5 2009 	 good Hotel 	 exactly business hotel . smart , clean efficient . reception bar staff professional polite . bar goos breakfast . , would thoroughly recommend ! 
 May 28 2009 	 fine Stay darkland 	 Docklands Crowne Plaza major downside , would isolate location . hand , need close Excel Centre , location could hardly well . the Crowne Plaza good great . start basic : room rate 180 GBP , 270 usd 206 Euro – little pricey offering probably good London standard . front desk service prompt friendly memorable . room clean odor - free , bathroom adequately appoint , climate - control system work well . room bit narrow adequate one person . carpet little worn . two single bed soft ( i.e . firm ) mattress love might find intolerable even painful . Maid service adequate ; leave tip first day since yet local currency note transgression replace towel shower floormat . room soundproof experience hallway noise night . view room dull . interestingly , door handle key slot guest room wheelchair level . room photo little misleading furniture appear make cheap particle board , case . hotel décor probably good judgment call whomever design – orange , red , maroon color combination minimalist furniture design . clearly intend retro Mod motif , simply impact look cheap like last decorate 1974 . assure neither true . oddity : see bellman four day hotel . hair dryer provide tethered inside closet . low - voltage , two - prong outlet bathroom . safe room . closet drawer space minimal . internet access ridiculous 15 GBP per day . a breakfast buffet hotel ' restaurant , Docklands Grill , include room price adequate remarkable ( except offer baked bean ) . Dinner Docklands Grill really quite good reasonably price . good - sized swimming pool , jacuzzi , well equip exercise facility available . the surround area – call Docklands – beat path . local disparage area action . true , clean , quiet , safe . clearly old working - class area process revitalize modern style contrast exist architecture day - go - by . number small shop little grocery store within block two Crowne Plaza , look far re - supply . happily , quite easy inexpensive ( roundtrip 3,20 GBP ) ride central London " DLR , " above - ground train station directly behind Crowne Plaza . ' 15 - minute ride Tower London . Crowne Plaza probably knock sock , suitable stay near Excel Centre . intent explore London , probably want stay somewhere close action . hope help . 
 May 20 2009 	 Wonderful Service 	 hotel beautiful , staff take care travel issue vacation would ruin . restaurant nice private bar several sport event go . happy get would like go . good experience hotel ever ! 
 May 20 2009 	 staff ! 	 hotel lovely quiet area river , seem peaceful feel safe . hotel couple minute walk station easy find . close 02 want want . the hotel fantastic , modern , clean , pretty large room London comfy bed . hotel swimming pool etc also brilliant , clean plenty big enough need . breakfast also great , plenty food , cater everyone . however side staff let hotel badly . stay many hotel ( 1 star 5 ) never come across staff unhelpful rude . ' ever complain unfortunately feel really need hotel . example - member staff swimming pool would give towel , tell use one room , explain ( kindly ) want use shower would budge , never come across 4star hotel ' give towel ! request clean towel send room , never show ! breakfast advertise 2 people £ 18 , checking get charge £ 18 tell show voucher – one tell we point within stay lady rude pretty much say ' problem . pay check go double check sign – mention voucher go back speak manager – refund breakfast . even little thing like ask spoon eat cereal never show . overall hotel wonderful staff let place shame great place ! 
 Apr 29 2009 	 excellent round ! hotel ! 	 stay easter weekend , little wary rotton exerience i d birmingham last month . however , need worried.from moment westeppe hotel make feel welcome genuine force like many.we great suire smash view albert dock.the room brilliant , staff credit hotel industry food service second none.im quite picky , I m well beat one.book advance good deal will not go far wrong here.its 3 min walk DLR station 25 min run central london.brilliant pool beware & quot ; brat & quot ; school holiday . 
 Apr 25 2009 	 TERRIBLE CUSTOMER SERVICES - would never go ! ! ! ! ! 	 member Quad Club number year , decide change term aggreement without notify . discount take away without reason , even tell . Absolutley appal customer service . tell manager would call discuss membership - day still await phone call . use HOTEL GYM ! ! ! 
 Apr 24 2009 	 Abysmal Service never bad service ! ! ! ! 	 join call service call quad club would get extra benefit stay particular hotel . stay IV bad service level communication abysmal . ! monthly subscription pay worth nothing get use gym swing cat inn use swimming pool dirty ' wash tramp ! ! also cheek withdraw discount benefit complain bar manager disintereste could manage stump ' sorry ' company policy ' ! ! absolutely appalled would never stay hotel price staff useless ! ! ! 
 Apr 23 2009 	 good place quite difficult get 	 book stay lastminute.com . £ 60 night seem good value also offer around price website , cost turn day appear four time . man initially give we twin room two single bed want double . read website twin room two double bed not think phone ahead state preference ( must read wrong section ) . lad reception nice , say not double room executive suite give we instead extra cost . needless say happy mean cost four hundred pound . problem construction work tube line not easy could get hotel . walk Canning town really dark bit scary . 
 Apr 21 2009 	 Crowne Plaza Quad Club - complete joke . 	 member Quad Club two year Crowne Plaza decide change rule membership , without notice , without notification care customer say . ask three time call manager - day wait . some staff believe customer , hear rude comment female bar staff duty manager service skill whatsoever . I stay Crowne Plaza least month shall never stay . 
 Mar 30 2009 	 lovely stay Crowne Plaza London Docklands 	 husband stay 1 night could visit exhibition Excel ( road ) .Our expectation great , since book Lastminute , bargain price area . however , happy stay . check - easy , despite arrive early , able move room 10.30am , whilst wait room ( 30 minute ) give complimentary beverage bar . the room spacious clean lovely view Thames ( worried would get car park view , would awful , delighted get ) . bed comfortable , little soft , manage get good night sleep . the bathroom nice , full size bath good water pressure . we avail 19 .. 99 unlimited room movie internet package ( 24 hour ) good value . parking easy inexpensive ( 4 pound 24 hour ) .Breakfast plentiful good quality . good cook selection average continental option . if need area Crowne Plaza would first choice . 
 Mar 17 2009 	 lovely location shame twin bed ! 	 book hotel via lastminute.com Top Secret hotel cost £ 60 one night . sign reception say room would normally £ 250 ! ! sure would find value money price . we get check ease . busy Tina Turner o2 , however open extra check desk cope queue . upon reach room annoyed find twin room - ask upon check boyfriend man flu sniffling rather lot decide keep twin bed . we go Greenwich Observatory evening , location pretty accessible . Set Victoria Dock lovely outlook ( although room look car park , - £ 60 ! ! ) , Sunday morning walk around Thames Barrier Park look Barrier . I pre book we Docklands Bar & amp ; Grill ( attach hotel ) dinner , advise vegan . get back Greenwich 9.30 meal clue vegan thing , although ask manage whip pleasant roast veg salad , boyfriend chicken something enjoy . perfectly pleasant , unsure would Greenwich food wise , would eaten somewhere else money cost we probably outstanding meal . breakfast include meal , however decide take advantage two one offer £ 17 . would pay £ 17 ! breakfast usual buffet , soya milk - day age soya milk pretty poor hotel standing . cereal , hash brown bean - feel unwell . veggie meat eater though , great selection breakfast . I would recommend hotel work pay - get cheap deal discount website . clean , pleasant meet need . 
 Mar 2 2009 	 great location good pool poor food 	 stay deluxe room , two night . choose proximity ExCel exhibition centre . room quite small , London standard reasonable . price ( also London standard ) also reasonable . the swimming pool quite large ( 20 guess ) quiet . gym area not use look ok . overall , fitness facility amongst well come across London hotel . dinner restaurant arrival . pleasant , since dining room drab , food boring ( bad ) jazz band play loudly . next day dinner room , merely boring . number restaurant area probably well option food . recommend nearby China Palace dim sum example . 
 Feb 20 2009 	 unbelievably bad .... not stay . 	 first night stay ( 6th Feb ) experience extremely loud dance music pulse hotel early hour morning . partner rang front desk ask explanation 3.15am , night porter say would call we back . call back , apology disruption offer . music finally stop approx . 3.40am . follow day , partner speak Guest Service Manager , Benjamin Langer . apologise , offer we bottle wine room , accept believe night one . unbelievably , thing happen Saturday night ( 7th Feb ) , even worse listen brawl fighting outside hotel well . rang front desk get response previous night - apology , explanation . expect lot Crowne Plaza hotel . put loud bar / club hotel mind crazy - customer stay & quot ; nice & quot ; hotel get good night sleep . say customer service occasion poor understatement . on check even ask pleasant stay - probably good thing . get little sleep weekend , leave hotel thoroughly feed whole experience . 
 Feb 15 2009 	 great facility location 	 everything Crowne Plaza Docklands lovely , great decor , facility , cater well leisure business . the one thing would complain weight machine gym rusty could staff leisure area 's e.g . pool , gym , problem question rarely someone help . food hotel lovely , thoroughly enjoy restaurant bar , staff helpful . parking hotel pricey safe location ... £ 29 2nights parking . I would stay . 
 Feb 8 2009 	 another fine mess ? 	 book double include breakfast £ 57 Lastminute . check fast friendly opted take offer £ 30 upgrade executive room large big bed . also include on - site parking £ 14.50 day would pay way . room 6th floor modern , spacious clean great view old dock across O2 . impressed . it take around 20 minute , hour state previously , get west end , ' ve check location hotel booking will know heart thing . big deal we though , want bargain , little time spend tube problem we . after busy afternoon shopping , dinner west end , return hotel around 9.30pm . nearby Spar still open enable we pick couple thing want , change headed bar . fun begin ! bar area big large central rectangular bar , modern , cold . double door front building let huge blast ice cold air whenever guest come , also seem draft adjacent reception area , possibly cause front door building . ask arrive table service , tell , find table nobody come serve we . go bar , although person wait still several minute serve return drink . not bother , later someone else happen . seem local evening one , large surly guy opposite side bar we start loudly tell bar manager think keep wait buy drink . complain another group local guy , 10 , serve ahead have wait first . go back table rejoin friend call manager carry complain , reappear bar still barrack manager also berate female bartender apparently serve guy first . time attention every guest bar . girlfriend comment manager long since lose control situation security call deal well . also agree would soon trouble guy complain serve ahead , sure enough , cue , begin heckle . within minute group foot , push shoving , see least one guy pull disagree party make sit friend . close see nasty bar fight two group man clearly fair bit drink , security finally call first class job calm thing . entertaining , free , possibly kind entertainment expect ! next morning venture breakfast . food good plentiful lot choice suit , theory nobody go hungry , might need spoon eat cereal yogurt . want ketchup HP Sauce couple bottle 30 table share . general service dreadful . could say ' ve already tell one long anecdote . would stay ? yes . price great weekend break London patience eat restaurant service worthy Laurel Hardy . 
 Jan 20 2009 	 Get Past Ordeal Check - In Perfect 	 arrive London wet wild December Friday evening 2 week Christmas spend time Family . due illness travel companion unable accompany . however accomodation book Credit Card , go cause problem foresee . however expect leave wait almost 40 minute get near reception desk . stage get frustrated . person deal reception happy let stay hotel person make original booking . friday evening close Christmas party season get 
 Jan 4 2009 	 good 4 * relaxation stay near 02 Excel 	 book hotel lastminute.com 30th december top mystery hotel , describe & quot ; fantastic amazing superb dockland luxury hotel - 4 * - London & quot ; . pay £ 60 double room think amazing value . I want spend quality time girlfriend new year 's day , somewhere quiet spa facility , price ideal . I request room view waterside 02 arena previously read ugly carpark view . fortunately , able comply request give really nice , spacious room second floor , face river , set romantic tone . when check , give card fill option include delivery morning newspaper . watch receptionist tell charge newspaper , lead believe complimentary . not . the room everything could ask except safe keep valuable , bath gel bottle virtually empty go use . tea coffee facility fine enough sugar milk we drink . also , minibar well stock expensive . mini bottle wine cost approx £ 5.50 ! therefore not purchase anything instead buy snack Spar supermarket nearby . addition , keep mind tvelevision extras film , internet use , chargeable service expensive too . the Quad Club offer guest purpose - build health fitness facility , indoor pool , jacuzzi , sauna , steamroom gym , really enjoy , although swimming pool gym little small side . also , first enter , nobody reception , familiarise facility . girl appear desk , although keep leave . feel could improve upon . beware since 1st January £ 2 charge use towel , however welcome bring room towel . as other mention , area quiet nothing vicinity , unless happen go Excel Centre 02 arena . , limit dining option . Crowne Plaza bar restaurant call Docklands , expensive . instead , opt dinner Ibis hotel restaurant road come £ 20 2 , without dessert , reasonable . next morning planning breakfast ibis well , £ 5.50 per person , see basic cold buffet opt it . luckily , Crowne Plaza offer we 2 price 1 breakfast , cost £ 16.95 normally . breakfast impressive , variety hot english breakfast item , well many juice , yogurt , cereal fruit . £ 16.95 far expensive , offer 2 1 basis worth ! would recommend hotel ? well , want hussle bussle London , near attraction answer . however , relax getaway quiet surrounding right . 
 Jan 1 2009 	 great hotel 	 read comment hotel , worried make bad choice . stay hotel 2 night bed breakfast deal ? 70 per night . right minute enter reception know make right choice . reception staff excellent , friendly curteous . double room top floor ( 6th ) view front O2 Arena . room spacious clean . lunch bar must say staff attentive . varied choice menu price comparable London price . good quality food . breakfast buffet style choice varied , food quality good hot . yes hotel dockland read travel time London . find heartache since know book would Central London . matter know want go take right tube first take DLR 1 minute walk hotel . find could Tottenham Court Road 20 minute . could find fault hotel do not understand previous people find complain . good 4 star hotel well worth trip . 
 Nov 9 2008 	 next nothing 	 reviewer : 30 something travel business bring wife ( kid ) . be US first trip London . the dockland may great place live London ( cheap centrally locate place ) , horrible place average hotel . price : almost $ 300 usd per nightroom : nice , modern , clean , thin wall ( ask move ) check : horrible . hardly anyone hotel , take hour check . Manager blame new staff . food : restaurant serve good quality food , slightly priceynightlife : bar ok , need hop train see real nightlife . Business Center : meeting room freeze . single pc use surf web . positive surprise : train ( DLR ) 3 minute awaynegative surprise : nothing immediate areanet : stay elsewhere 
 Oct 13 2008 	 great stay Crowne Plaza 	 Crowne Plaza great hotel occasion dock visit Excel O2 . stay spend entire trip sightsee central London . state , hour 's ride DLR Tube . choose hotel close main attraction . , back Crowne Plaza , room 5th floor lovely - king size bed , desk , bathroom full tub offer plenty room move around . room clean bathtub , particular , pristine . dockland restaurant lobby great dinner . salmon salad tender , tasty salmon ever ! breakfast buffet also quite good , offer large variety food , pricey ( 16.95 pound ) . also several restaurant leave side street near Excel ( 5 - minute walk ) warehouse build : chinese , japanese , Fox pub . Fox pub good food reasonably price . Crowne Plaza less 5 minute walk Royal Victoria DLR station . important note aside hotel restaurant other reviewer mention ( Carribean , spar convenient store ) nothing area ! 
 Oct 13 2008 	 good business stay . 	 stay corporate conferance . nice hotel clean room good food , although bit upset get salmon starter lunch dinner night before . staff fine . bar expensive ( £ 9.50 vodka redbull ) .Sorry enthusiastic bland characterless business hotel . stay someone else pay . 
 Sep 5 2008 	 corporately dull poor value 	 suppose not many problem - annoyance - £ 15 wireless 's free place , pn top stiff £ 129 single room ( ok , 's London , ) . characterless box dreary redevelopment dock . room fine , elsewhere 's grim al way . reception slow , breakfast shockingly sparse price , ' m kind service , be patchy . would recommend choose somewhere lot cheap , quality will not much bad overall . 's unless someone else io pay bill - suspect stay actually foot bill . go . 
 Aug 23 2008 	 great ... dinner menu terrible 	 six we stay hotel last week . really enjoy stay , check fast efficient , room lovely 5th floor bed soft comfy . use pool twice clean staff be not great time go one desk find way aroud . we book dinner hotel , menu terrible 3 option starter , main desert none good two start vegetarian portion tiny , definitely worth £ 21.99 ! ! breakfast lovely , book B & amp ; b ! huge amount food cereal , fry good bit pancake machine , press button 2 pancake freshly make pop ! internet room terrible , use book attraction take age even get site ... cost £ 5.99 defo worth ! ! 
 Aug 14 2008 	 Hotel lovely location ... 	 stay Crowne Plaza two night 6yr old son . hotel lovely well worthy 's four star . get amazing deal make 's location - hour worth train ride heart London ! although tube / dlr price good two hour return journey really eat day - fault book . visit 02 excel location ideal . the room exceptionally clean tidy , spacious enough food delicious - children meal high standard . drink price ok . staff friendly efficient . there great deal nearby hotel Spar shop , newsagent lovely carribean restaurant - albeit little pricey - watch penny also food take much reduced price . I would stay go 02 Execel .... Olympics . 
 Aug 12 2008 	 not bother ! 	 great location Excel , however service hotel terrible . tell arrive restaurant bar would closed refurbishment give reduction rate inconveniece . bar restaurant need refurb . anything need replace , staff . restaurant pasta buffet , however several table leave dirty pot take away , buffet replenish . try get serve bar 45 minute , give ( lack try either ) . would return hotel . think Crowne Plaza would good , wrong . go Excel future , would prefer stay Novotel Ramada . 
