overprice 	 book theatre package recommend ( 4 Star hotel ! ) sister & amp ; look forward relax birthday celebration . the first thing one room still ready 4 pm discover one considerably small & amp ; dark ask another room tell . could get seat meal hotel Saturday facility pay guest general public thing tell order room service ! consider overprice rate hotel wonder facility pay . breakfast good keep wait table morning & amp ; din room cold , complain ignore .. staff abrupt rude last day try get meal leave tell run food & amp ; kitchen close ! travel & amp ; live abroad several year & amp ; honestly say dismissive disorganised overprice hotel misfortune stay . captive audience due location ( good ) , pride job well do along standard & amp ; quality sadly lack ( watch standard reply hotel ) 
 Oct 23 2009 	 Lovely Hotel excellent location friendly helpful staff super comfortable bed . 	 locate beside seven dial , Covent Garden one vibrant area London . interesting small shop coffee shop doorstep . .We greet friendly staff give big room wihout hesitation complain size 1st room assign . lovely reception area sit relaxe . bed must super king sizs comfortable mattress pillow experience Hotel . date . also sound proof wall window , silence night remarkable city centre location . eat hotel breakfast include restaurant look nice . little budget well worth extra could fault . stay 
 Oct 21 2009 	 great location 	 find hotel internet look good value versas star rating . wife stay two night . hotel staff great , room super location could well . able walk major site block away broadway plenty shopping food . 
 Oct 19 2009 	 Great Location sure hotel . 	 go London weekend book hotel via advice give trip advisor . go dulex room find spacious oddly design poorly decorate . location point view could not fault however let down , kettle tv not work room ( though fix ) one lift working hotel , room key seem faulty little thing like complimentary news paper never arrive morning . 
 Oct 17 2009 	 Small perfectley form 	 husband stay one night shame could not long . room standard double yes small everything need . room first floor dial restaurant hear noise dispite team people . staff pleasant polite seem genuinley want help . postion hotel mean husband able go book shop able shop lovely store surround hotel great coffee shop ! feel comfortable safe area can not say lot London area . the receptionist tell refit next year double room get big , another visit must feel . 
 oct 8 2009 	 round excellent hotel . 	 Husband stay Mountbatten Hotel 7dials , covent garden friday night . perfect location theatre , restaurant centre cultural london buzz .. room spotless cosy , shower , tv , etc full nworke order ! meet staff reception bar could not welcome , warm friendly go extra mile . definitely stay . 
 Oct 7 2009 	 jou beat place location 	 trendy sevendial part covent gardenstaye 1 night single room , always , large still thing need , good bed , nice bathroomhotel good facility also important safety ( need room key operate elevator ) free wifi always usefull , use breakfast ( london hotel ) overprice 16 pound , instead go place 3 minute away call diana 's diner , find review online 4.50 pound full english breakfast . shopping thing sevendial heaven , covent garden tube station couple minute away . attraction walk distance british museum starter . service good , check 11 am early allow stay till 12 free 
 Oct 6 2009 	 staff go way way make welcome comfortable . 	 wonderful experience hotel . staff great really go overboard make stay comfortable easy - even give upgrade room large cost , plus extra . store luggage day everything easy . today 's stress travel , happy choose hotel ! 
 Oct 3 2009 	 Love love love hotel ! 	 stay various central London Radissons , far nice . perfect location theatreland central london nightlife - completely thick thing , set lovely , quiet bohemian street . clean elegant bedroom public area , friendly helpful staff . enjoy stay much , extend another night there . I ' ve book stay next trip London . 
 oct 1 2009 	 fantastic hotel vibrant location 	 wonderful Hotel situate heart Covent Garden theatre district . tidy beautifully appoint hotel middle one world expensive city . 
 Sep 29 2009 	 treat good old fashioned customer service- 	 want take trip London friend Birthday . friend London work lot socialise . ask recommend somewhere whilst pricey , could see treat also ask situate right place eat shopping . he come back list 4 hotel begin look internet . I pick one seem look for . so .. arrive London Euston hop taxi , busy time traffic wise expect cab 15 - 20 min . take approx 6 min . pull onto cobble like street arrive outside Hotel . character give right first impression outside . step inside pleasant indeed . reception area comfortable see right away , ask need help luggage , not give direction . 2 lift unfortunately one order , lifts small manage fit us bag could probably fit another 1 - 2 people max . our room 7th floor sadly disappointment . it small , decor little date bed lamp badly situate , every time move bang head shade . view also disappointment bed comfortable hope , say , 's clean hotel room bathroom ever stay , reference Monica tv show friend clean - aholic , fact say spotless mean spotless lol . when come get ready , girl like light make - up , one mirror could get work , not state reception tell 2 specific light need use key card . manage get ready go head bar meet friend drink , one lift still order already full arrived floor take stair instead , bar area quite small adequate , waiter pleasant polite take order remember drink night nice . hotel bar situate what s call Seven dial . roundabout 7 street lead , bar area glass frontage great place start drink watch go , Seven dial busy thrive area drink start great , price wise drink London Hotel would expect , service atmosphere perfect . we come back much later decide finish drink , waiter remember drink , nice touch . on enter room encounter another problem , 2 am loud generator start seem head , contact reception quickly pleasantly try come conclusion fix everything . this hotel inform afterwards wait re - vamp . would stay ? yes definitely . room tho : ) room may disappointment pay , complaint deal quietly , without fuss , happy offer compensate indeed return November . the staff big part make stay hotel worth return worth , find staff well come across long time , professional , obliging , courteous pleasant . hotel spotless situate , perfect shopping , eat entertainment : ) 
 Sep 24 2009 	 perfect stay perfect day 	 stay Radison Hotel daughter give present 60th need stay overnight . Radison first choice .. staff amazing .. enough , room beautifull clean , everything need make stay perfect . the food first class staff amazing . we many place visit short stay Radison situate perfectly . say heart everything rating fact ... would stay Radison time . time perfect 
 Sep 20 2009 	 great location 	 book hotel birthday treat husband along trip theatre . book suite , book process smooth phone & amp ; explaind although check normally 2 pm would put early check 12.00.we arrive 1.00 tell politely room would not ready another hour . anyway busied & amp ; finally get suite impressed . large suite bed huge & amp ; comfortable & amp ; bathroom nice large bath & amp ; seperate shower & amp ; double wash basin & amp ; plenty lovely toiletry complement . complaint stains & amp ; mark carpert throughout suite ! unfortunately bathtowel went mention & amp ; resolve efficiently celso upon check & amp ; seem right check follow day ! ! atmosphere nice & amp ; buzzy hotel staff proffessional & amp ; efficient . great location theatre & amp ; covent Garden shopping . lovely time . 
 Sep 18 2009 	 Fantastic Hotel 	 stop rave hotel . great location , right next theater district , yet lovely quiet street . awesome staff quality hotel . highly recommend . 
 Sep 8 2009 	 Perfect west end 	 Hotel excellent , great location friendly service . room small well appoint & amp ; within easy reach theatre , Covent Garden , restaurant , plus plus . do not try breakfast can not comment Monmouth cafe across road serve good coffee croissant . 
 Sep 7 2009 	 Great Location not breakfast ! 	 central hotel London . within five minute Leicester Square Soho . less one minute walk Covent Garden . the hotel situate seven dial crossroad , little busy till midnight , ask quiet room . less 10 metre hotel Cafe Nero , pay £ 14 breakfast hotel not really worthwhile , coffee muffin less £ 4 ! nicely decorate clean room . overly friendly staff , hey ... 's London ! single room , honest probably small hotel room ever stay , really nice location sell hotel . 
 Sep 7 2009 	 Superb service location value - highly recommend 	 arrive early grant access room look front well ahead offical check time ( something normally recommend general ) delight . never noise room bright , airy , exceptionally clean . great location wander site centre London . good attach restaurant bar excellent breakfast . I highly recommend hotel trip London either business pleasure . will not disappoint . 
 Sep 7 2009 	 Excellent hotel well situate welcome staff 	 lucky enough book well advance get good discounted deal . location excellent , hotel beautifully decorate staff welcome eager help . room small view speak Central London £ 75 night . would certainly choose . 
 Sep 4 2009 	 place rock ! 	 do not care anybody say , place great . extremely centrally locate . walk everywhere hotel door . concierge Louis fantastic . really help figure go , get . take care get theatre ticket wicked ( awesome ) . super nice ! dude get big fat raise awesome . stay single deluxe room 6th floor . single person think plenty big although people might think . bed comfy , bath great . wifi hotel computer lobby use check email , etc .. thing problem w/ use key card get elevator work . good security . love almost everything place ! restaurant little overprice ... place close funky wonderful eat - go ... 
 Sep 1 2009 	 convenient hotel show shopping 	 Radisson Edwardian Mountbatten really convenient show Covent Garden , especially Chicago , be literally road . also shop , 's heart Covent Garden . 11 year old daughter stay last week see ' Oliver ' . feel safe walk back show 10.30pm . hotel room clean particularly spacious everything need . bathroom modern clean . staff courteous professional . complaint hotel however breakfast small cafe street hotel breakfast feel , £ 18 per person , far expensive ! ! 
 Aug 26 2009 	 good location small room bird cage 	 good location . service definetely visit . small room without even hairdryer , look next building create dark closetrophobic atmosphere ... barely walk room ... walk bathroom even think . furniture old . business center work , make online checkin solution offer go internet cafe rather computer . friendly stuff definitely capable ... ask train schedule airport advise check internet ( great answer huh ! ! ! ) insist 5 min agree find train schedule . frequent traveller definetely four star .... definetely well hotel london price ... btw room seriously small make sure check traveller picture still think go review ... 
 Aug 17 2009 	 excellent visit - return future 	 stay 4x night hotel late May . find staff professional attentive . allocate room rear hotel find quiet ( stay incl week - end ) . sunday night problem door lock , effectively lock room . staff maintenance team immediately attend issue , break door , help move well room . give quickly address fix problem , certainly stay hotel . good room size , clean , great location reasonable price book Expedia . 
 Aug 6 2009 	 place stay London '' 	 ' stay Montbatten least year 20 year . full - english breakfast great get jet - lag . location fabulous : surround restaurant ( upscale , humble , in - between ; romantic family - friendly ) ; easy find friend meet we town ; within 30 - minute walk everything , near tube station everything else . small room really small one step large good . bathroom silly half - length glass door keep shower water mostly tub ( water pressure excellent ) . ' typically leisure often business ' quite accommodating . occasional drunken lout floor staff take care promptly . staff helpful friendly ( many long ' come ) . 
 Aug 4 2009 	 Noise room keep we awake night - compensation 	 return one night stay . keep awake night television room . staff good get turn leave turn . complain manage get slight reduction room rate ( fair staff good ) feel give much great discount - even free ! ( email formal complaint - could take week reply ) .The location great , hotel reasonable standard , staff helpful possible breakfast ( often UK hotel ) awful ! 
 Aug 1 2009 	 Smart Hotel excellant location 	 stay hotel one night , organise hen sister choose hotel look good brilliant location . situate seven dial area road covent garden . hotel really smart , room everything need . eat Dial Restaurant , food really good Pollack Eton Mess , 11 us total 2 course get 5 bottle wine , pay hen 's meal £ 33 think good value food good . side breakfast , do not include full breakfast £ 18.would recommend hotel . 
 Jul 27 2009 	 much well London 	 return Radisson Edwardian Mountbatten stay 2 night treat 40th birthday , stay another couple also celebrate 40th . my husband friend husband get head together book suprise choose hotel thought would luxurious treat . book 2 kingsize deluxe room . review much 2 half . the big positive hotel other say location , minute walk leicest Square tube quiet street good local restaurant pub . breakfast also good wait seat . staff exceptionally helpful really unhelpful . huge shock try fob deluxe kingsize room . check contribution see stay several hotel around London never offer one small basic even much low rate hotel standard double , certainly price . description verge fradulent , although kingsize bed room lay could touch wall either side we space move around would estimate size 10 ft square . wall paint dark mustard blind window . tv size portable mini desk right bottom bed look fairly worn . bathroom almost big room floor appear clean thoroughly crumb . husband could obviously see disappointment face really upset spend much time planning suprise place cell like accomodation , honestly know room could less luxurious without remove tv bathroom . struggle believe right room rang reception check , woman speak extremely unhelpful presume must use complaint ( not know would not ) ask ' what expect ' point hotel 5 star say room available night although might able move we tomorrow . we go check friend room although still fall short other stay deluxe grade much big well appoint . point ( find much husband pay ) decide not stay room go reception complain . wait complain hear 2 complaint other nature result offer alternative room . however deter speak ( male ) reception staff member clear give unacceptable , point comparison friend room explain occasion . give credit 's due theis staff member ( Cesko , think name ) extremely apologetic offer show we junior suite offer we additional cost . junior suite offer nice accept alternative . room actually right next door one vacate good size sit area good bathroom still without fault . room level would still expect well tv small old tv main issue gap door hall inch half think draft excluder use , test big gap post tv remote door hall , go without much touching underside door . mean whenever anyone talk corridor sound like room we , presume noise travel equally well . decided complain enough one weekend decide use roll towel door noise draft excluder ! final morning workman hall well drilling telephone keep give single ring cutting , look like work telephone electrical circuit board put , check already would less welcome still bed . debate score one would give 1 base first room response first staff member bit second room staff member . give mark remain appalled fact room offer continue offer deluxe king would classify standard class single size . if look luxury close tourist attraction would definitely recommend Royal Horseguards unfortunately not review time far far superior similar price . really want stay near covent garden would suggest Kingsway Hall alternative . although end fantastic weekend despite poor start hotel make weekend will not stay probably would go another Radisson give overall management rather local one probably decide grade room . post photo upload , unfortunately think take first room see second room generally nice . 
 Jul 27 2009 	 Location can not beat 	 Mountbatten Hotel perfect location London theatre break want central . room clean might consider small american standard . might want upgrade flat - screen tv point . good quality Gilchrist & amp ; Soames moisturizer , hand wash , conditioner hair shampoo / body wash . AC room work well . staff friendly . excellent quality breakfast . bar night hip stayed open 2:00 am.why pay Covent Garden hotel door , hotel meet need half price . value money credit crunch . 
 Jul 26 2009 	 Good Value Great Location 	 great location Covent Garden Theatre Land . hotel clean staff friendly . think good value , special advanced , non refundable rate . 
 Jul 26 2009 	 great place stay wonderful location 	 hotel situate heart Covent Garden . many theatre walk distance good restaurant shop . staff hotel courteous helpful room stay comfortable need . stay hotel Radisson Oxford Street always maintain high standard , 
 Jul 21 2009 	 london @ good ! 	 beautiful , well staff hotel london unique location , close everything . 
 Jul 20 2009 	 Mountbatten Hotel - perfect everything ! 	 stay one night celebrate partners birthday . go see dirty Dancing day sightseeing / shopping / eating & amp ; drink . hotel perfectly locate Leicester Square , Covent Garden , Strand , Shaftebury Avenue etc etc . the staff friendly , bar reasonably price breakfast satisfy heartiest appetite ! 
 Jul 19 2009 	 good value great location 	 great location quiet street heart Covent Garden . deluxe room roomy comfortable . 
 Jul 18 2009 	 Excellent location - would visit ! 	 location hotel great . everything within walking distance many option food entertainment nearby . first night place non - smoking room clearly non - smoking . complain next day immediately upgrade another room provide discount discomfort . hotel extremely accomodating could please . also internet access extremely useful room bathroom decent size ( european standard ) . also , hotel excellent breakfast ! definitely stay ! 
 Jul 18 2009 	 ok business trip 	 arrive check quick efficient . room top floor , enter room smell musty , like leak flood room dry . room though clean need term amenity . the location excellent everything need walk away . end evening grateful top floor could still hear noise reveller outside , would hate think loud low floor . although something hotel control something bare mind stay sumer likelyhood window open high . service breakfast excellent selectionon reflection hotel good enough we , one night part work trip . stay leisure break , sure would place , staff service excellent , smell room noise night would put 
 Jul 15 2009 	 excellent small hotel Fantastic Location 	 second visit stay , staff attentive genuinely caring , room good size , pay extra King Size well worth . breakfast superb room service late night opera fantastic . walk China town theatre land like we 20 minute walking problem get St Pauls one direction Oxford Street . good place stay try . 
 Jul 12 2009 	 Excellent Location 	 stay hotel several time location main selling point . theater district Seven dial . close Covent Gardens Leicester Square -- really within walk distance attraction . the staff hotel wonderful . extremely knowledgeable helpful . could find fault staff . I always book King Deluxe room always extrememly satisfied room . hall corridor look little run - down room good . particularly like fact room overlook quiet tree - line street . five - star hotel excellent place stay . I stay would recommend anyone like stay west end section London . 
 Jul 10 2009 	 perfect base explore London warm welcome Mother . 	 mother stay two night June . second visit three year anything service even warmer friendly last time around . particularly impressed reception concierge staff . query much trouble like nice touch half - bottle wine deliver room shortly arrival . our standard twin room basically furnish spotlessly clean comfortable reasonable size mid - price hotel central London . good bathroom powerful shower helped end sticky summer day . our rate room able avail buffet continental breakfast , excellent range fruit , cold meat , cheese , fish etc , discount rate . location excellent West end show shop Covent Garden Oxford Street - within walk distance immediate area Monmouth Street pleasant wander day night . 
 Jul 10 2009 	 Luxury 	 spend last weekend hotel , locate seven Dials London , one minute walk Covent Garden two minute walk Leicester Sq Theatre Land . I would regular stayer radisson around world , find one particularly good . everything excellant service absolute luxury room . staff friendly could do enough two night stay . hotel decorate high standard nothing spare , set place apart much hotel ( superb ) location . go vacation London go Business still want heart thing could get much well . 
 Jul 7 2009 	 dissapointe room 	 overall nice hotel , maybe ' m little picky ... arrive 2 pm , wait 1 hr check in . room tiny cramp not expect money pay . room service excellent arrive within 15 min order pipe hot , lovely breakfast too . good central location , would advise upgrade deluxe room 
 Jul 6 2009 	 disappointing 	 stay partner Friday night last disappointed . stay Radisson hotel please disappointment . give due staff nice room dreadful ( room 226 ) . room extremely small dark . bed lumpy uncomfortable . perhaps complain assume room standard . also find toenail clip floor old bar soap leave shower tiny bathroom . luckily stay one night certainly return . much well experience hotel Southwark - even though centre town far well value money worth trip tube . 
 Jul 4 2009 	 praise hotel enough ! 	 praise hotel enough . hotel great , room brilliant , staff helpful friendly location perfect business vacation . stay disappointed . downside hotel bit expensive , afford – great hotel . comment regard stay : check - in go room five minute late reception call ask like room ( nice gesture ) , leave hotel concierge help get cab accept credit card take least 20 min friendly cooperative . 
 Jul 2 2009 	 beautiful hotel pretty road real hide gem London ! ! 	 stay lovely hotel third time , husband come fora birthday treat show , hotel rarity London , tuck awayin select area London , gorgeous restaurant , bar shop within walkingdistance . hotel beautiful inside room lovely . breakfast delight . bed comfortable , staff attentive . I get anything negative say hotel . it always list extra special treat . 
 Jun 30 2009 	 Disappointed stay Mountbatten 	 return weekend trip London must say disappointed room ( room 211 brother room 210 ) husband stay Mountbatten much well room . recommend hotel brother us trip reason also dissapointe room , imagine feel responsible trip write review . the mattress bed room old spring uncomfortable curtain wall non existent apart blind short window . presume curtain big hole wall tie back must be . as one night originally check room ready 10.30 not get see room till go 6 pm arrive back sight see day tired move room . although hotel good location breakfast good , expect spend £ 180 room tired appearance . mind would definately look stay another hotel value money next time stay London . when check staff front desk ask enjoy stay maybe know answer would ! 
 Jun 29 2009 	 Location Location Location .. oh quiet room .. 	 stay hotel time , mainly due 's location , friendly staff reasonable price . the location could not well mid - London Hotel , smack middle Theatre Land / Covent Garden / Leicester Square , lovely little area atmosphere 's . plenty good restaurant within stone 's throw short walk everything else . on occasion room quiet ( especially London ) clue time without look clock , strange experience London , usually know ambient noise 's time get . 
 Jun 26 2009 	 be look great place stay London 	 location great . staff terrific - helpful . great value dollar . I plan stay next trip July , 2009 . 
 Jun 21 2009 	 Fabulous Hotel 	 friend travel London girl weekend book stay Radisson Edwardian Mountbatten Covent Garden . arrival greet Jorge welcome friendly . every request make meet hesitation . room clean well present necessary facility . breakfast follow morning absolutely wonderful well worth every penny . hotel perfectly situate night life day time tourism . without hesitation recommend hotel certainly stay next visit City . 
 Jun 18 2009 	 Good Value Superb Location 	 Mountbatten superbly locate Covent Garden area West end . bloomsbury minute walk . British Museum , Trafalgar Square , National Gallery walk distance . room standard double small , clean quiet . would say standard double would tight squeeze couple . pass hotel breakfast . way overprice many place neighborhood get breakfast . staff helpful accommodate 
 Jun 17 2009 	 good clean brilliant location . 	 book hotel night either side wedding choose mostly location . opt upgrade room need bit extra space people get ready . room nice good view west end 6th floor . furniture little batter nothing bad . service reception staff good breakfast although pricey also good . all good little bit uninspire . 
 Jun 15 2009 	 really comfortable relax hotel 	 Service Mountbatten good , check - in check - out . anything require seem hand . room clean , facility would expect city centre hotel . location superb . centrally locate , five minute walk Covent Garden . plenty designer shop immediate vacinity , cafe restaurant . visit business , share leisure . therefore suitable purpose . I would definately stay competative price offer . 
 Jun 15 2009 	 Great Location Nice Hotel 	 hotel perfect location see sight London well trip theatre near . hotel clean well - appoint . twin room bit small , typical european hotel . overall , great place stay visit London . 
 Jun 14 2009 	 fantastic convenient location theatreland 	 stay hotel 2 night whilst go see show covent garden area . room ( no121 - standard double ) small adequate , although carpet / bathroom starting look little tired . however quiet - not hear London traffic noise . lot great restaurant within metre hotel . not eat hotel restaurant night can not review breakfast £ 18 give good choice plentiful . also give we voucher check - in let we continental breakfast £ 9.50 . would certainly stay go theatre . 
 Jun 13 2009 	 worth another visit 	 welcome check - in good first impression . smallish room drawer clothe convenient couple stay 2 night , ( 4 night ) . housekeep excellent . friendly staff . breakfast week exceptional freshly prepare , portion huge , need eat evening time ! Weekend breakfast buffet style still good value . restaurant staff efficient helpful . location ideal theatre , restaurant Leicester Square 5 minute walk away . Covent Garden even close . 
 Jun 13 2009 	 Excellent position helpful staff 	 stay Radisson Mountbatten times family business stay . family stay long serve concierge Michael brilliant helping make arrangement . recent stay colleague , attend exhibition , good get back hte hotel relax . occasion lucky enough grade King Deluxe Room well long stay - extra room , however standard room tend high floor bit claustrophobic ! upgrade previous stay make , put twin room expect standard - tired look faulty shower small twin , let know impressed . however overall stay good , think breakfast include £ 15 bit steep tea , cereal & amp ; toast , surley basic quick breakfast could include . generally though always find radisson ( Edwardian & amp ; SAS ) good , mountbatten large , good feel , quite happy stay , . position excellent , real London atmosphere , close Convent Garden . 
 Jun 10 2009 	 clean room great location 	 good value central London . small room clean quiet . 
 Jun 8 2009 	 excellent location close major attraction 	 superb small hotel edge Covent Garden , great service friendly staff , great atmosphere hotel . 
 Jun 6 2009 	 Little Gem - perfectly locate 	 arrival , greet friendly professional front house staff . offer upgrade double rom nominal fee . decline one night business stay . single room small , perfectly adequate , excellent full size bathroom , good facility ( safe / mini bar / tea making ) good aircon . importantly , clean quiet . bed comfortable . tired part room tv , work OK.The hotel bar delightful window world Seven dial reasonably price ( London ) wine . restaurant bar abound nearby street . on departure , look well reception staff concierge . suspect none staff meet UK national , speak good English , impressively polite extremely helpful . speak volume training standard leadership hotel . I would definitely stay price ( good rate Late room ) strongly recommend staff , location service . 
 Jun 5 2009 	 excellent location great weekend stay 	 wife stay weekend January 2009 location super . recommend good friend stay many time . room typical London size . bar hotel super look directly onto seven dial great people watch . it near everything include theatreland . breakfast great staff polite professional . defintely back . 
 Jun 4 2009 	 would keep go back 	 first stay last year love Covent Garden area . truly please happy hotel . 's locate cute circle call Seven Dials . 's slighly beat path main street , close everything , barely take tube stay . recently go back London not look stay anywhere . location beat . price totally reasonable , every staff member helpful pleasant . small gym , good restaurant / bar fun pub across street . highly recommend hotel continue go back . 
 Jun 4 2009 	 great spot - 	 great hotel great section . staff accomodate , room comfy . 
 Jun 2 2009 	 wonderful hotel wonderful location 	 Radisson Edwardian Montbatten situate seven Dials area London . within walking distance Theatreland , restaurant , pub famous London landmark . room large , clean , well appoint obviously well maintain renovate . in - room safe provide . the service receive Reception , Concierge Cleaning staff exceptional . the thing bother we minor degree slight hum air - con system , probably expect old building . 
 may 27 2009 	 Excellent hotel great location 	 radisson edwardian mountbatten excellent hotel great location . room reasonable size amenity could want . hotel centre Covent Garden minute away Holborn Covent Garden tube station . right beside shaftsbury avenue lot tourist shopping area . the good thing hotel staff . business traveller , staff friendly , remember name make every effort make feel home . 
 May 27 2009 	 Excellent location 	 hotel great , room small hardly . convenient location . friendly helpful staff . not breakfast go cafe round corner . 
 may 22 2009 	 Great Location 	 good location stay , whether be travel alone group , family friend , whether be gay straight . theatre short walk plenty restaurant choose right outside door . area quiet 11PM , problem noise interrupting sleep . staff friendly helpful ; even allow early check - in . 
 may 20 2009 	 avoid single room . 	 see review website confident £ 165 ( room ) ' special ' rate would money well spend - however put tiny single room bathroom anyone BMI 25 would trouble walk ! decor beige dowdy , quite unlike picture website . plus side location brilliant , breakfast go excellent . all quite disappointed choose alternative accommodation . 
 May 15 2009 	 favorite hotel London 	 family London 30 time , last 15 year . live check many London Hotel . business pleasure .Now find favorite hotel . : Radisson Edwardian Mountbatten . great location , cultural experience , shopping , relaxation trend experience . great service , feel welcome beginning , charming room , trendy bar , good restaurant welcome positive people ! 
 May 13 2009 	 great location . nice room . good service . 	 great location . need taxi underground 3 day stay London . Covent Garden lovely neighborhood theatre near . nice clean roon service friendly professional . 
 May 11 2009 	 great one night stay 	 really enjoy one night stay . convenient Piccadilly tube line easy access to / from Heathrow . located heart exciting lively Covent Garden / Soho neighborhood . Hotel nicely furnish keep excellent condition . check - in quick courteous . room spacious , ensuite bathroom up - to - date . room overlook rooftop next - door restaurant - not great view , not room long . step lead into / out room bit awkward navigate luggage . would definitely consider stay price . 
 Apr 23 2009 	 FANTASTIC WEEKEND 	 clean modern hotel character superb location theatre opera . covent garden , China Town Shaftsbury avenue door step . staff friendly accomodating . parking easy possible ( little expensivve ) 
