Weekend 	 excellent hotel Chicago weekend not mind take MTA City ( 30 - 40 minute $ 2 ) . fly , frequent shuttle pick ORD . driving - in weekend , hotel adjacent Blue Line Station get city . traffic maddening . they good fitness room basement pool area adjacent family . caution would recommend room end # # 14 , away freeway room set 1 bedroom . many room tv lazy Susan / dresser separate sleep area living area . thing , bathroom modern walk - in shower -- tub ... 
 Sep 9 2009 	 wonderful stay ! ! 	 stay REnaissance Chicago O'Hare Suites Labor Day trip Chicago kid - age 9 & amp ; 11 , fantastic experience . front desk staff friendly helpful . service staff pull - out linen we within minute request . room clean even playfully prop child 's stuff animal bed everyday . quite impressed overall experience . room nice bed comfortable , pull - out bed not . the hotel convenient & quot ; L & quot ; Cumberland station . park car upon arrival need see leave ( park $ 20 / day hotel guest cover garage ) . short sidewalk hotel station , ride city 30 minute . train run every 8 minute , feel comfortable kid ( although ' m also season mass transit rider ) .We nice breakfast last day leave . quite pricey ( thus utilize one day ) food good staff quite accomodating . also nice indoor pool boy use leave . clean pool , hot tub available adult . very nice experience , highly recommend hotel less expensive alternative pricey downtown hotel parking ! 
 Sep 8 2009 	 bad staff make 4 * hotel 	 hotel not impress 4 * hotel except staff ... helpful could possibly . need linen hide - a - bed ... call desk arrive less 5 minute . need plastic bag wet clothing ... housekeeping bring 5 bag we matter minute . staff front desk equally helpful seem enjoy service . top ranking dept . the hotel pretty ho - hum . lobby nice room / hallway ( 4th floor ) look like need help . carpet stain hallway . room ( two double bed suite ) almost small suite . chair pretty uncomfortable , hide - a - bed awful ... mattress wear much son want sleep couch without unfold bed ... good 4 & quot ; tall sitting area ! nice mini - fridge , microwave , great coffee maker . bath area nice large , tho , terrycloth shower curtain kinda strange.the $ 20 / night parking garage not necessary either . lot east side hotel work fine weekend , although may different story week ( think 's actually neighbor office building ) . lot choice around dining , although Dominick 's super market side freeway convenient . seventy buck per night pay , not complain . 
 Aug 30 2009 	 nice ` ` Airport Hotel '' 	 need hotel near Airport . Renaissance Great . their shuttle long hour opperation hotel . ( need ) room nice , staff friendly . 
 Aug 20 2009 	 's ok -in need re - model 	 hotel serve 's purpose ( cheap hotel right next blue line ) 30 minute train ride Chicago . busy weekend hotel city sell overprice . find hotel online reasonable rate ( $ 100 ) , 2 3 star hotel city charge near $ 200 $ 400 night . , respect , hotel deal . be also reasonably convenient train - close hotel train stop ( 2 minute walk block away ) .The room desperately need remodel . honestly , clean ( hair , dirt , crumb , strange stain floor , couch towel ) . not super dirty , not clean , either . level Holiday Inn therabout . the front desk folk nice . be much around within walk distance food anything . be probably nice hotel near airport also fine tour Chicago be try save money . 
 Aug 17 2009 	 nice 	 beautiful hotel ! take trip Joliet visit boyfriend play football college . night schedule fly back Louisiana huge snow storm & amp ; fortunately place hotel . treat ? ! ? clean , well keep , classy place . room overlook expressway . also Bennigans restaurant walk distace & amp ; shuttle airport PLUS . 
 Aug 4 2009 	 Wonderful Surprise 	 stay downtown week convention . book Renaissance O'Hare due extremely early return flight want close airport . pleasantly surprised arrive . hotel literally couple minute train complimentary shuttle airport next morning . room clean fresh smelling ... bathroom immaculate . thing could not say expensive , 4 star hotel spend week downtown . tell husband , would rather stay Renaissance take train everyday ! next time go Chicago , definitely keep Renaissance mind ! 
 Jul 29 2009 	 oasis amenity 	 attend conference airport hotel . pleasant surprise hotel ! ! ! way average cost . Suite beautiful . corner room sit area , office area , frig , cozy bedroom , 2 tv 's , beautifully tile bath room , good room service . coke machine floor not work . complaint . hotel concrete jungle , look nightlife , go downtown . look discrete , luxurious , stay room vacation . hotel want . fly , Fly . 
 Jul 17 2009 	 yet another happy Park 	 great rate ParkSleepFly.com good pass ! suite accomodation sleep wife & amp ; king bed , two boy ( 8 & amp ; 10 ) sofa sleeper . front desk inform call housekeeping make sofa sleeper , within minute notice . nice large bathroom large walk - in shower , high countertop mean wheel desk chair kid reach sink brush tooth . hard surface bathroom also mean sound echo , even though bath close bedroom sit area , loud be try get kid asleep early wakeup . limited service available 5 pm -- Starbucks closed . go dinner , early bed 2 am wakeup ( eek ! ) . airport shuttle run half - hour , night long need it . indoor parking can not beat space tight people park however darn well please . glitch parking ticket not work exit gate upon return trip , authorize week parking leave . fortunately one behind automate gate , back re - park , go back front desk wait behind customer family wait anxiously lobby . front desk eventually give new ticket allow exit garage successfully ! will definitely return future Park & amp ; Fly 's ORD . even be fly , check rate normal hotel parking $ 20 per day might cheaper be quote elsewhere property . 
 Jul 6 2009 	 Fantastic Park n Fly 	 stay night international flight O'Hare . book room thru ParkSleepFly nicely discount rate include parking five day free shuttle O'Hare . shuttle service offer 24 hour prompt . front desk service exceptionally helpful airport information . the room spotless spacious two - room suite . living room area large tv , desk , chair sizeable sofa . beautifully decorate . bedroom also tv . bed quite comfortable sheet high quality . bathroom amenity upscale aromatic include shampoo , conditioner , facial body soap well lotion . hairdryer magnifying mirror also bathroom . shower amazing- huge , glass wall various water pressure setting . towel fluffy soft . also , airport hotel surprisingly quiet . maybe location room , hardly disturb noise even tho could see plane come go . possible negative lack dining option walkable distance . room service on - site pub menu limited bit pricier expect . would stay hotel fly O'Hare . el stop nearby , would think far stay involve downtown activity , nice hotel around . 
 Jul 1 2009 	 unbeatable 	 room , staff , position , breakfast , unbeatable , fiveminute blue line . excellent hotel excellent price . 
 Jun 22 2009 	 good choice want close O'Hare 	 book weekend package wife , adult daughter Travelocity . able stay one room sleeper sofa available daughter separate bedroom wife - ( definite advantage Dad pick tab weekend ) . extra towel bed sofa deliver promptly call front desk , find service good overall . we visit son wife not dine drink . restaurant convenience store see within walk distance . I will not repeat other ' comment nice room proximity blue line . prefer close downtown , money accommodation , property hard beat . 
 Jun 19 2009 	 Easy Park Fly 	 stay night 8AM O'Hare . highway access super easy shuttle get we O'Hare quickly . room tenth floor face highway little noise nothing bad . get late not visit restaurant bar look decent enough . be step Cumberland stop Blue Line lot option easily available . room full suite , not expect , plenty room move around . would consider base long term visit city , least Blue Line weekend work do . luxury hotel comfortable . we book ridiculously cheap rate Park Sleep Fly , include 2 week cover parking total less have use O'Hare remote lot . would definitely stay . 
 Jun 16 2009 	 Great Hotel Great Price 	 modern stylish hotel locate close O'Hare . easy access aiport via hotel shuttle ( run every 30 min ) - need call want pick T5 International terminal . room large sunny light wood finish . suite consist living room sofa , chair office area . tv large LCD affair AV input hook laptop . bedroom also large well equip second tv ( CRT ) bed high quality bed comfortable . suite large bathroom huge walk shower . lobby stylish sit area small rather dark bar good restaurant . key visit proximity blue line take directly downtown 20 minute . make hotel attractive proposition leisure visitor . great stay $ 95 night book Marriott website bargain - easily 100 - 200 cheap staying downtown 
 May 16 2009 	 rip unauthorized charge credit card 	 hotel nice enough . beware , hit credit card charge know little nothing get credit card bill . we function downtown pre - pay room hotel . hotel nice room . however , drive expect park car please think twice . when arrive raining , valet service car park every conceivable spot , include dozen car two wheel still pavement rest car curb . result , greate near street value hand claim ticket . walk front entrance directly front desk check in . no see sign advise parking charge guest park . sign , way side building next garage exit - someplace come anywhere close . inform staff charge parking . know hotel charge guest parking , other not . we stay night leave check front desk say everything take care . drop room key go get car . offer give receipt . assume need since reason additional charge already pay booked room . hand car claim ticket valet service wait car bring . wait , wait - wait 30 minute . drive completely pack park car yet relocate parking garage . car finally come one place could put near street - least time rain . having check credit card account reason today notice several charge hotel . one 25.01 , 19.99 . call , idea charge - supposedly card charge $ 45 parking $ 5.99 bottle water mini - bar never even open . parking downtown Chicago weekend overnight rarely cost $ 25 parking garage . thus charge , neither get consent inform time hotel , excessive . after speak manager hotel agree remove mini - bar charge , refuse remove parking charge . I great deal problem business take free license charge credit card without first inform charge obtain consent charge . seem able problem would strongly advise avoid hotel . 
 May 5 2009 	 Superior Location Airport Nice Rooms 	 stay two night hotel , short distance Chicago 's O'Hare airport . hotel offer free shuttle service airport run every 20 minute , take cta blue line , 5 - minute walk front door hotel , ' m sure call cab ( not use cab ) .The room hotel nice , bit modern . noise airport not bad , though airplane head overhead time time hear . close one world 's busy airport , be surprisingly quiet . room bathtub , not big deal , reason like tub , might issue . check see one . while hotel offer unique ' dive ' movie every Friday Saturday night indoor pool , pull float lounge chair watch family movie pool , practice not work well . first , can not listen , well , kid loud pool enclosure tend echo . second , can not see well pool need certain amount light hotel not choose use powerful projector . want choose place solely purpose , might good choice . as might surmise , hotel not really family - friendly . not say 's bad hotel , 's . appear quite new , everything rather nice . nestle among several office building , mean really choice anything outside ' working hour ' , thing even inside hour . building alongside rather large freeway . somewhat residential area available across freeway , footpath across freeway - 's bit hike . because , lack tub , design hotel 's eat facility , somewhat surprising even family night one , two not really fit together . we , hotel serve purpose well , could easily catch train town need . speak , good deal find get Visitor Pass - $ 5 24 hour unlimited ride train bus , available number location , include airport . 
 Apr 21 2009 	 concierge AVAILABLE ! 	 really want like hotel fact not concierge available ( especially first time Chicago ) concierge leave 10:30am . elite member get access concierge lounge . 
 Apr 6 2009 	 great stay fly hotel ! 	 hotel locate 5 minute O'Hare . parking car cover structure , well hotel . 24 hour service airport . hotel suite roomy . clean . bed comfortable . staff courteous . van driver quite helpful , particularly since husband handicap . 
 Feb 26 2009 	 Decent Room nice hotel overall appear Marriott Revive Bedding 	 hotel fairly nice . front desk staff friendly room clean . complaint bedding . Marriott hotel upgrade Marriott Revive bed , hotel appear do . bed firm comfortable ' m accustomed Marriott / Renaissance hotel . also yet flat screen / hdtv . hotel nice , give average rating comparison Marriotts . 
 Feb 20 2009 	 great value 	 book Park / Sleep / Fly leave car week . easy get I-90 , cover parking really nice room . clean spacious . well worth money . able use pool warm clean . staff helpful shuttle quick easy airport . problem . stay . 
 Feb 3 2009 	 Love hotel ! 	 usually always stay hotel O'Hare area . quality expect Renaissance property get : great ! location good ... close far airport , provide airport shuttle every 30 minute . place eat drink side highway Rosemont ( 2 minute drive ) . parking cover garage ( extra charge depend room rate ) nice summer winter . the hotel nice - look hotel . decor well put - together clean new . every room suite plenty room pull - out sofa . one favorite part hotel bathroom ; bathtub , shower amazing beautiful . bed soft fit nice linen plenty pillow . front desk usually extremely helpful . there starbuck downstairs near lobby hotel bar / lounge nice place drink mode transportation . this property also offer reasonable park , sleep fly deal . 
 Jan 21 2009 	 modern clean next transit 	 asolutely perfect . modern clean hotel . would stay next time go Chicago . 5 minute away o'hare airport 25 min downtown . walk rapid transit line ( CTA Cumberland ) . 
 Jan 14 2009 	 Great Hotel 	 try stay every time fly o'hare . great service , room , bar , food shuttle . room large nice . cover parking shuttle easy find leave ' Hare . 
 Jan 8 2009 	 short pleasant stay 	 spend one night Renaissance OHare find good value . especially need park , sleep fly package early morning flight ohare . note , leave vehicle week parking ramp theft issue note different review . however park middle row leave anything value vehicle . check 10 pm . staff energetic courteous hour day . room suite much need 7 hour stay fridge , sofa , tv work area business side bed , bath tv bedroom area . room clean fairly modern . bed average , spacious . we eat hotel bar . 1015 pm , menu limit , food okay . service good . also notice deli snack area near front desk prepare sandwich , salad , soda snack look pretty good . check fast 445 shuttle take we right terminal . also validate parking time necessary way back . wait bit return pick , whole van service adequate . 
 Dec 25 2008 	 Excellent Stay Renaissance 	 stay Renaissance Chicago O'Hare Suites use sleep fly package . check - in go smoothly friendly front desk staff . room extremely clean comfortable , bedroom area attach living room area separate flat - screen TV 's . bath modern large glass - in shower . nice ammenitie product bath . visit lounge area cocktail evening service great quality drink good . lobby impressive Christmas decoration beautiful . we use shuttle service airport efficient prompt . upon return , equally efficient . appreciate cover parking area experience problem . although stay brief , would definitely go back also would recommend anyone . 
 Dec 3 2008 	 good pre flight night 	 stay hotel one night fly O'Hare vacation . nice hotel hard find since set inside main street . room nice large good amenity . eat hotel food service good . Manager immediately wait we speak we large portion . go order much food base huge size portion , friendly assist we . waitress helpful also . I think hotel good value location good fly O'Hare . Free shuttle service good , depart every 30 minute hour 1/2 hour . 
 Dec 1 2008 	 love place ! ! 	 wow , talk really nice hotel room , love everything . color scheme layout extremely well think , bed comfortable , bathroom spacious ( forgot ask room tub , shower large walk shower ) . flat screen tv swivel could watch tv sofa bed . find hotel quiet , hear plane noise . sheet need bit upgrading softest . room quite warm , end open window get room cool . staff friendly 24 hour convenience store salad , milk , soda , item exactly , convenient overly expensive . be right front desk grab want pay front desk . lobby attractive , lot wood warm looking . indoor pool nice clean . hotel show movie family Sat . night . could swim watch Finding Nemo . hot tub also nice clean hot , would suggest low temp bit , everyone go complain hot . pool water comfortable . pay $ 20 / day park stay use Marriott point mind . other pay full price , probably mind . not think charge parking . bell staff entrance offer help luggage etc . enjoy one night stay definitely would consider return right price . 
 Nov 30 2008 	 CAUTION Park Fly 	 partner purchase park fly package hotel cover parking . vehicle park close elevator 2nd floor main area garage . vehicle vandelize GPS Unit steal Console ( security code ) Sirius Radio steal . broken passenger windshield , break console damage door . hotel hotel parking behind office building well travel evening . parking gate leave open least one evening . manager indicate responsbility parking structure . warn post hotel guest parking risk . manager indicate issue . suggest advise General Manager put camera employee walk parking lot . Police Report file Chicago Police Department . 1st room hard mattress . room return trip soft matress . would stay hotel park fly unless parking lot secure . 
 Nov 19 2008 	 Excellent Hotel 	 stay 11/17/08 one night . room clean living area , bedroom large bathroom . food excellent hotel , service good . return hotel would recommend . 
 Oct 2 2008 	 enjoy stay . 	 friend stay Renaissance Sept 12th-15th . love room separate bedroom huge bathroom . want tub accomodate . notable : agree another reviewer bed really firm . room w / two double bed pretty hard . aside , clean & amp ; soft linen . flat panel tv & quot ; living room & quot ; , nice . big desk /mini fridge great , too . you pay $ 10 / day in - room internet , although free wifi lobby . the breakfast buffet Fresh really good . $ 12 , get eat : fresh fruit , oatmeal , make - to - order omelette / pancake / french toast , bagel , muffin , bacon , sausage ... endless . really enjoy eat morning time . odd thing happen entire hotel lose power last night . two day horrible rain . manage get warm shower leave , pleasant surprise . hotel staff nice power - outage apologize inconvenience . even power outage , bill still shove room door easy check - out . obviously could not use video check - out power , checking take two minute front desk . the hotel great job accomodate need , i.e . bring we bottle opener robe request . 
 Sep 16 2008 	 great place fly Ohare 	 stay park - and - fly rate book third party web site love experience . part like drive Chicago get . , park INDOORS . area feel safe . shuttle 24 hour perfect take we pick we airport . plus hotel right beside EL train want / need go place not want drive . service exceptional area use . room way cool suite . free breakfast ? true overall good deal price . not believe , price parking trip would park airport , price room hotel park - and - fly rate . will get idea quick . 
 Sep 1 2008 	 Overall Pleasure . 	 room nice , clean large . complaint room bed unusually hard . ( fan Hard bed ) excellent excersize room , ok pool basement . excellent Bar , Good Restaruant ( Fresh ? ) , Starbucks lobby . parking expensive , close safe . I stay multiple time , 's son 's favorite hotel . soundproof quite impressive considering 's proximity O'Hare . we will likely back . 
 Aug 20 2008 	 solid choice O'Hare 	 ' ve stay several hotel O'Hare , one good ( even well , often reasonable rate ) . -- efficient check - in . -- great staff overall -- everyone interact , shuttle driver housekeeping , polite helpful . -- huge , big room . suite large desk allow spread get lot work do . bathroom also large . -- great bedding ! great night 's sleep . room also room - darken shade , lot well typical hotel curtain gap open let light . -- timely , tasty room service . -- liked sell buy - to - go meal lobby . grab one way airport . -- decent fitness center . would like well not basement , good cardio weight equipment , free water , etc . a couple surface room show sign age ( chip wood , wear fabric chair ) enough problem . overall , excellent stay -- solid choice overnight O'Hare . little farth airport hotel , shuttle ride still 15 minute , be right next train want ride downtown . 
 Aug 15 2008 	 finally wonderful airport hotel ! 	 stay hotel airport , expectation high . however , finally find hotel choice attend meeting O'Hare . room welcome bright color . despite plane take landing , sound -proofe excellent . room spacious comfortable yet functional furniture . bathroom definitely large walk - in shower wonderful . bed provide restful night sleep . service throughout entire stay superb staff always friendly accommodate . starbucks downstairs tiny convenience store bonus . parking reasonable great able self - park without go far . great hotel business traveler , room - quiet . 
 Jul 30 2008 	 overprice Small room 	 not normally stay full service hotel consider value base traveler . stay work travel special coupon . this hotel & quot ; nice & quot ; small room extra $ $ everything . internet $ 10 per day ; use computer cost $ $ per MINUTE printing . & quot ; free & quot ; breakfast kind , overpriced resturant . pool workout room nice well equipped . would not stay like & quot ; full service & quot ; be least pretty hotel staff accomodate . even cell phone charger service , leave charger home , go one unclaimed previous guest , try find match charge phone / laptop ; pretty cool . 
 Jul 27 2008 	 excellent hotel 	 Excellent hotel . great room , clean , restaurant/ Starbuck 's lobby . Close O'Hare , gas station fill rental near by . excellent staff . parking include . 
 Jul 22 2008 	 top notch hotel superb value 	 stay hotel park , sleep fly . 10 day parking include , good value trip week . extra day cost $ 20 , though . big hotel . lots airline crew check . everything clean nice -- probably nice room ever stay . suite room modern , nicely decorate , stylish . bathroom include huge shower enclose glass . bathtub . room nicely equip , 2 LCD tv 's , fridge , safe , hair dryer , etc . even copy Newsweek room glass bottle water . kitchen , however . quibble -- prefer disposable cup glass . hotel avoid normal name thing , be ' hair wash ' instead ' shampoo ' , something cute instead ' do disturb ' . clock radio complicate ever see . card place helpfully suggest arrange wake - up call instead . breakfast include anything buy expensive . high end hotel , trademark scent blast lobby . anyone issue fragrance would doom . actually find lobby design bit lack sterile , even though lot comfortable chair . airport shuttle frequent , large nice . take 20 minute get airport . 
 Jun 21 2008 	 pleasant surprise near O'Hare 	 normally think stay airport hotel fill dread . much prefer stay city , especially place like Chicago , since business meeting build literally 5 minute walk away make sense stay close . ( come handy unpredictable Chicago winter weather ! ) pleasantly surprise hotel . first , be pretty new everything clean design modern . room include living room desk sit area , separate bedroom . bathroom large - ' m female , always judge hotel bathroom - shower huge . plus Starbucks hotel . 
 Jun 18 2008 	 wonderful park n fly family ! 	 value ! $ 99 get week worth cover parking , free shuttle spacious suite ! park O'Hare 10 day going cost we ! hotel really absolute good parknfly option O'Hare . the room bathroom large . family teenage daughter , trying get ready early flight , could ask more . we stay ParknFly hotel near O'Hare , know talk here . the pool awesome , workout room window pool . could keep eye girl , one swam work out . the & quot ; L & quot ; right across street easy access Chicago . we definetly use hotel ! 
 Jun 10 2008 	 well need oasis 	 flight O'Hare cancel , find need place stay night . airline give voucher discount hotel near airport , hotel good price- $ 79 plus tax fee Sunday night . able catch free shuttle hotel . really suprise warm color modern design lobby room ! hotel chain Marriott Hotels , expect sort cookie cutter look previously see Marriott . book non smoking suite king size bed . room warmly decorate deep red gold . shower fantastic large open glass shower stall . say , really wish nice tub bathe stressful day . bedroom offer bed comforter , closet , tv , cd alarm clock . sit room , really comfortable couch , foot stool , large desk office station , tv coffee / tea station . room also offer refrigerator ( minibar ) use . really wish could stayed much long explore . service fast quite friendly . starbuck locate hotel well fresh restaurant r bar . also food available check desk restaurant close , rather expensive ( $ 9 sandwhich ) . would definitely stay . 
 Jun 10 2008 	 conveniently Located Nice Hotel 	 self 3 colleague business trip Chicago . land ' Hare grab rental car drive hotel . hotel bear get rush hour go toll plaza jump 6 lane traffic right get time . arrival fine check polite smooth . grumble $ 20 / day park attach garage . give paper receipt hotel validate come go feed ticket slot non - attended gate , still get charge $ 20 per night validation allow come go ... big deal aggravation . hotel lobby nice , loud - free wireless internet lobby .. otherwise be $ 10/ night room . starbuck site hotel restaurant bar not use . room suite - spacious clean comfortable bedding . glass enclose shower stall nice , drain slow move end shower nice little lake build . hotel nice gym low level , stepper , treadmill , elliptical , free weight dumb bell 50lbs cable machine - lot hotel offer ! ! ! get rate $ 188/ night . all bad hotel convenient anywhere Chicago . flight path ' Hare even 10th floor could hear plane land would probably stay mostly convenient . 
 Jun 1 2008 	 exceed expectation 	 lovely hotel feel clean new , upscale attractive modern design room spacious beautifully decorate . upon enter hotel room , door first open , be either immediate feeling disappointment elation base one 's expectation . room ( dbl / dbl ) airy , comfortable , stylish , roomy give great welcome feeling . 's Starbucks lobby -- yes ! -- easy access airport . would definitely stay , pleasant unexpected delight . 
 May 28 2008 	 great park ' n fly option 	 stay Renaissance O'Hare Suites several ocassion ' ve flight O'Hare . get great one - night rate , include week free parking . parking cover deck attach hotel . room large , clean , well worth price . shuttle service free airport . 
 may 27 2008 	 love breakfast buffet friendly staff 	 book hotel memorial day weekend trip chicago read review ' m glad . well worth money breakfast buffet awesome ! restaurant waiter nice , good service ........ sorry forgot get name else would post . .... good . ........ lady reception extra nice ..... kid keep switch room back & amp ; forth two time glad offer room choice . ......... thank Renaissance , definitely stay ......... : ) 
 Apr 22 2008 	 great hotel O'Hare 	 normally not stay airport hotel , exception well worth . Renaissance O'Hare modern suite - type hotel nice sitting area , separate bedroom , huge bathroom . minute airport free shuttle , also easy get downtown Chicago . train station 500 foot hotel could get foot . although take little less hour get downtown , inexpensive . overall , nice hotel great value . 
 Apr 1 2008 	 Mixed Review 	 would great location three star hotel , problem four star . Overall propoerty work well we . wonderful location , step away subway , blue line , cumberland station . the room clean order . everything need , bed comfortable . get deal rate good choice , want service four star may want consider place else . room advertise bathrobe , ask . rate include breakfast , & quot ; accidentally & quot ; add room one morning . key elecrtonic card like every else , stop work several time . small detail , not happen class property . like say , get good rate , place fine . the food restaurant good , reasonably price . towel , water fruit available pool . exit subway skywalk opposite direction , will find grocery store two hundreed yard sidewalk . we pay $ 199 week night , would not pay place . pay $ 115 weekend night , include breakfast , would . want location , A+ . want service , b+ . want small detail high class property , B- . 
 Apr 1 2008 	 perfect ` ` Park Fly '' 	 brother stay hotel prior fly Miami brief vacation . & quot ; Park Fly & quot ; rate excellent 10 day cover parking include price . the hotel new modern room excellently appoint . bed unbelievably comfortable great pillow . room include comfortable sit area separate sleeping area . bathroom , like rest room , spacious well equip . bathroom shower however huge . minor dissapointment equip fairly basic shower could easily accommodate powerful multi head shower would keep modernistic look frameless shower stall . say , one could complain shower , pretty lucky . I would highly recommend hotel go anywhere else fly O'Hare . say , actually , would stay anywhere else even visit city . full mark . 
 Mar 26 2008 	 Perfect Overnighter 	 pick hotel stay overnight leave Ohare Puerto Rico . drive Milwaukee early flight next day choose park , sleep , fly option stay one night get park hotel 10 day . price inclusive get free shuttle ride hotel airport . room extremely spacious . separate bedroom , bathroom , separate living area mini - fridge microwave . not really get take advantage much since idea nice place use cheap room / car storage . pay $ 100 one night 10 day car parking Jan 2nd . check large pool area fitness center . free apple bottle water near fitness center . would know nice place , would drive early day start vacation day early ! bed comfy bathroom really nice . Place spotless decorate modern . would recommend place anyone ! 
 Mar 15 2008 	 outstanding ! ! ! 	 stay couple year ago decide give another try .... could not pleased . stayed lot O'Hare airport hotel far , good ! rate well competitor , room spacious clean , service genuinely care considerate . last time stay bit noisy .... highway / metro side ... make sure request room opposite side ..... quiet comfy . look forward stay ... 
 Mar 14 2008 	 Comfy bed big bathroom 	 book park , sleep , fly . pay $ 170 room 10 day parking . shuttle service time friendly . room clean , big , comfortable , quiet . restaurant good ; one good salmon dish ever taste ! difficulty find place get shuttle service back hotel . make sure know pick . detailed van would . 
 Feb 7 2008 	 Nice airport hotel 	 strand O'Hare United Airlines , need place sleep night expense . United give slip paper call & quot ; distressed passenger service , & quot ; offer Renaissance $ 79 . Renaissance hotel usually nice , seem like good bet . indeed . excellent shuttle service airport every 20 minute , 10 minute ride . fast friendly check - in , hotel look sharp . annoying double bed instead queen , also get fold coach be travel kid . bed super comfortable , room suite , 's plenty space . definitely top 10 % airport hotel ' ve stay . 
