third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Nov 13 2009 	 11/13/09 bed bug .... read review 	 first , upset realize middle night sleep mattress instead sheet . turn , least room , bottom sheet - kind elastic hold sheet place . instead , use two top sheet sheet lay mattress . Sunday checking , see 6 bite . do not think much - rush get home . night next day , bite . Weird appear two different place - Vegas home ( cal ) . itch like crazy & quot ; cluster & quot ; different part body look like welt . research become suspicious find appear 9 day get bit look like welt bite cluster ( ussually 3 ) . total 21 bite . disgusting . 
 Nov 12 2009 	 happy hotel choice . 	 return 4 day ( 3 night ) Monte Carlo Las Vegas , happy choice hotel . read rather negative review , make reservation , little concerned might end disappointed . wrong . check , 11 am , smooth quick . state , several line along registration desk , luck draw far choose good line go . manager guide people short line , quickly open two station . book three separate room expect able check , leave bag , come back later get room . two room ready ( could three not want floor . ) , desk clerk friendly professional . the room large luxurious . bathroom new granite countertop ; floor tub obviously recently re - tile . towel large thick . everything spotlessly clean , throughout stay , housekeep thorough , little unpredictable . it also note wall paper thin . quite , could hear plumbing sound neighbor bad cough . construction noise new City Center next door minimal . hey , be Vegas ! expect peace quiet ? ? two definite negative : daily & quot ; Resort Fee & quot ; bogus way wre money guest . tell go toward bottled water daily newspaper . two bottle water present room check . not drink , obviously never give . newspaper stack elevator , go 9 am .... negative # 2 : pool CLOSES 4PM ! pool nice , say pool , plural . 's large pool , wave pool , hot tub , lazy river . be close 4 pm . evening soak hot tub . enjoy pool two afternoon , really would enjoyed evening . inner tube lazy river WAAAAY over - price . ( not Resort Fee cover ? ) love casino dealer . buffet spectacular , especially Sunday Brunch . parking free ! ! location could not well . we not Vegas 10 year , well may long get chance go back , negative hotel experience would really spoil special trip . not happen . 
 Nov 10 2009 	 average always consistent 	 go April friend . ( late submission ) . ' ve stay , construction still go , expect , , much issue . room good , value good . not do Vegas chill pool . ( hubby go Vegas , be usually tie shopping sightseeing ) spend day pool , night party club . great vacation . sun sit right middle sky get warm lazy river cool right . let say DJ his / her mash - up either awesome horrible . thump music crowd people watch ... perfect . I not notice , awfully strong floral smell emit hotel find time nauseating . fact , leather jacket ( stay suitcase duration trip ) reek week after . as always , service fine ( outstanding bad ) , decor cleanliness fine . poolside room guess spending day room might issue- music carry 27th floor rock walls- cool . ( lay pool day nap make sure shape night 's festivity ! 's tough life ! ) tip- try Jimmy Buffet 's Margaritaville inexpensive , entertain dinner . another favorite ? Gonzales Gonzales New York New York ! place never fail satisfy craving southwestern cusine- , get mile high margarita ! ! another great place dinner- Voodoo Restaurant . expensive classy awesome service cool decor . afterwards , head VooDoo Lounge drink enjoy view rooftop patio . advise , 10 pm , table reserve bottle service , DJ crowd patio , want sit table ? be one favorite nightspot ! Monte Carlo not Wynn , Caesars . 's average accomodation great location strip . 's nothing extremely fancy , dive - joint . pool fantastic , location great , ( also be CVS right next door Walgreens across street case need sunblock , toiletry , etc ) 
 Nov 10 2009 	 not waste money Monte Carlo 	 book stay hotel 2 night Nov. 6 7th . however , arrive one night early booked room Wednesday , Nov. 5th . room okay , however , never come clean room room rug hall rug stain dirty . stay 18th floor , look like empty hallway , nothing , chair etc . would never recommend hotel price charge . book room Nov. 6 price $ 130.00 Nov. 7 price $ 165.00 , could believe wednesday charge we $ 175.00 plus taxis . 
 Nov 9 2009 	 Monte Carlo breath fresh air ! 	 end day tour street hotels strip , always niceto come back Monte Carlo . elegant . lobby , hallway smell like fresh flower CLEAN ( smoky ) . come back always feel like reprieve craziness strip ! room ' fine ' . stay 3 night housekeeping service not spectacular , find surface floor clean upon return day . room attendant also make lot noise morning vacuuming hall knock door . finally , wall thin , listen neighbor party bed ! pool area lovely , keep mind close 5 pm SHARP . ( Music , bar close literally throw hottub lifeguard staff ) . hope enjoy hottub early evening star , seem pool hottub Vegas close early , safety reason guess . the Monte Carlo central everything , would definitely stay ! 
 Nov 7 2009 	 enjoy every minute stay 	 spend 3 night Monte Carlo enjoy every minute . check - in quick , desk clerk friendly helpful . arrive 11 a.m. room 20 minute later . give we room near elevator , request , husband trouble walk . like sleep vacation one day not leave room 1 p.m. , housekeeper respect Disturb sign somehow manage clean room soon go . great job -- room sparkle clean every day . 8 we meet Sunday brunch buffet spend hour visit , wait staff never seem impatient food great ! fitness room well - equip , appreciate free water juice . one small complaint -- daily resort fee cover 1 trip fitness room per day . want use weight morning go back later treadmill , extra $ 5 . seem ridiculous , be pretty small thing compare great thing hotel . will definitely stay . 
 Nov 6 2009 	 FIRST TIME VEGAS LOVED MONTE CARLO 	 boyfriend go Vegas first time Oct 2 - 7th . origanally choose stay one fancy hotel , later decide Monte Carlo good price . happy get ! ! ! Monte Carlo deffiantly one top notch luxary hotel , exactly need . room basic , suffecient . pay extra high room /strip view . necessary , great view . room bit small side . similar would Holiday Inn , clean enjoyable . bed comfortable sheet clean . enjoy 9.50 service charge per day & quot ; luxary 's & quot ; room , room service , 2 small water fresh daily , local newspaper daily . highly impressed fact shower probably well ever , hotel . great water pressure lack hot water , even 2 people room shower first . overall , great value room . although awe hotel bellagio , venetian , would stay Monte Carlo day ! Monte Carlo small hotel / casino , we exactly want . never get lose hotel , like majority large hotel . end first night basically new resturant food court , could easily make room within minute . large hotel , MGM , Bellagio Venetian literrally get lose walk around hour find look . waste time VegasLocation GREAT ! ! ! ! ! love ! ! quite middle strip , directley accross street bus stop MGM Grand could buy day week pass . also , directly across couple ticket stand could get discount ticket show day . always first stop would make plan day . last , Denny 's right across street get breakfast cheap ! resturant hotel , opportunity visit 2 . eat lunch newley branded & quot ; Pub & quot ; . order 2 build burger 2 domestic beer peice . burger probably well ever , huge , overall delious ! ! however list price menu , first clue try something different ! burger fry 25.00 peice 5.00 domestic draft beer . come 75.00 dollar tab ! ! expect ! also go & quot ; Buffet & quot ; breakfast one morning good . lot choose , nothing extraordianary . price deffaintly cheap buffet week . , GREAT experience Monte Carlo would deffeintly stay value get money , size hotel , great location ! would recommend 20 something go Vegas stay night party part fairly quite , would deffaintly recommend people sight see take Las Vegas get good rest night ! 
 Nov 4 2009 	 Brilliant Week 	 Las Vegas twice stay Excalibur Luxor . spend week travel Arizona Utah spending last week Vegas celebrate friend wed . member party stay Bellagio , Wynne , New York New York Luxor , look good deal reasonable hotel Monte Carlo seem good option . initially book 8 night arrive Vegas night early service desk helpful accommodate we . room bit date clean . Monte Carlo look impressive outside spacy inside also ideally situate strip . cheap eat drinking option upmarket hotel . try buffet lunch good . building work go hotel Bellagio do not pain walk . friend bride groom stay Bellagio spend lot time hotel luxurious also expensive drink etc . join we Monte Carlo evening . would return Monte Carlo find hard fault , perhaps new decor ! 
 Nov 3 2009 	 great place Vegas getaway 	 not go Vegas hang room reason Monte Carlo PERFECT ! room bad , average . spacious , comfortable bed clean nice washroom . good part hotel great price , amazing location lovely pool area . would definitely recommend ! ! 
 Nov 2 2009 	 Halloween Adults 	 staff friendly check , Pub bar Buffet . pay extra high floor view , disappointed city center block half strip view . room clean , worn sheet bed cover pille . room movie date , guess 6 month year old . internet 14.99 24hrs . wireless low wire work . room need serious updating . like room safe . bell service quick friendly . miss microbrewery . room phone old none service list . dial operator get right extension . housekeep professional courteous . 
 Nov 1 2009 	 take CHANCE MONTE CARLO 	 four we stay 25th October 30th October , great time . previously stay Venetian , obviously Monte Carlo nowhere near venetian luxury . however half price . room 25th Floor overlook pool , soon open City Centre Site . problem construction noise project almost complete . however new building cast shadow pool area large part day , laze pool thing may want go elsewhere . problem safe room . quicky fix friendly security staff . room need modernisation clean everything need . hotel theme attract large amount gawp tourist , guest gambler . buffet ok , close MGM Grand well . hotel also include food court , Starbucks , Macdonalds , subway other . hotel good position strip . not buy food drink hotel shop , pop outside CVS Pharmacy walgreen save load . MGM Grand across road give access Monorail , , may cheaper quick get taxi . sum , Monte Carlo good hotel strip good value money . room cost $ 340 5 night , time £ 207 . excellent value . 
 Nov 1 2009 	 Better Functional 	 stay 5 night Vegas first time . place see , Grand Canyon . hotel less obviously theme Strip . pleasant & quot ; wow & quot ; factor . seemd big , small nearby . essentially functional abnd ' do say tin ' breakfast road @ Denny 's , well value probably well quality , 's offer Cafe Buffet within hotel . usual fast food outlet site , little interest we beyond Starbuck 's takeaway coffee . 's massive construction next door & quot ; city within city & quot ; describe we . think noisy part , hotel procession hard hat , high - vis . jacket worker fill middle quality fast food outlet day take break . enhance attempt @ ambience . day - to - day manitainance take place also bit obtrusive , lot screen area paint go on . & quot ; Pub & quot ; site restaurant , reasonable burger steak usual immense quantity . finish serve @ : 10.00 p.m. feel tad early city not sleep . movement around hotel help clever multi - lift arrangement i.e . certain floor sequence certain lift area , seem efficient . the room big , basic mostly quite clean . toiletry non - decsript tad mean . bath robe , guess hotel size , maybe have pinch rate knot . ice machine corridor freebie USA Today newspaper day nice touch . hotel review reputation noisy , thin wall etc . People raucous outside next door could occassionally disturb , not bad . the Bellagio next door give classier feel Cesar 's Palace . casino functional okay , compare say hotel like Sahara Stratosphere North scruffy part town , smell fast food , pop - corn candy floss . the pool river ring ride wave fine , splendid near neighbour already mention . we great view room . little disappoint , thereare unsurpisingly well hotel . Ray SandraOrpington 
 Oct 30 2009 	 use love Monte Carlo 	 family come Vegas celebrate mom - in - law ' 80th birthday . usually stay Monte Carlo due service , room location . within step , several casino visit Rosewood Grille right across street . normally great luck Monte Carlo , trip might last stay . it start check . still people get variety line get front desk . instead one line get next available person , get line hope pick right one . , course , . watch people come go front desk staff stand stand . 3 single people front , course , get desk , 2 – 4 other join . 20 minute wait , finally front desk . I book trip 6 month ago ask connect room , one king , one two queen . course , could . option king handicap room different floor 2nd room two room queen various section floor . work , finally able get we two room , queen , close one another . would think today ' technology , planning room would difficult . 30 minute , finally room . room okay . remember Monte Carlo nice room , guess get old . really disappoint condition room clean staff . bed look like , make , someone lay middle bed . comforter wrinkle one case , pillow bed , comforter . spend first part visit look room ensure actually clean . the first evening day nice . casino clean , get around easy staff hotel courteous . clean room expect room seem good shape , go bed . one room , sheet fit either queen bed . like camping trip get bed short sheet . try strip remake bed , matter . sheet right size . sleep part sheet , part mattress . the final insult survey ask fill . offer survey two time Monte Carlo survey link never work . guess hotel Vegas own one major company , term service long practice . 
 Oct 30 2009 	 ' m change brand 	 seven star Harrah 's year ' ve never receive kind treatment . Limo driver wait hour late flight , host meet we door , sign vip lounge , escort room , etc . good food , nice room , even hit payable . well annual trip Harrah 's give . hardley ever play MGM property , sure . want treat cheap stay Harrah 's . well do , Monte Carlo ! 
 Oct 29 2009 	 great locatio great stay 	 stay 5 night 7 - 11 Oct 40th birthday visit New York , taxi ride airport less 10 min pay $ 20 include tip . arrive 4pmish & amp ; check empty , give choice room , ready & amp ; . choose 13th floor king size bed pool view wait 30min ready check luggage & amp ; go pub beer . friendly barman time visit . room good size & amp ; clean , tv , safe , iron & amp ; iron board . clean bathroom , notice water slow drain shower nothing major . view pool , notice building around never hear noise . never use pool area look around , need show room key enter & amp ; look bag , look good & amp ; popular . build area notice pool not get lot sun . food hall really handy . eat chinese restaurant ( food hall chinese ) & amp ; brand meal good , look girl give 241 cocktail voucher Brand cocktail . casino large & amp ; easy navigate , cocktail waitress around often like ! ! ! location hotel great . walk everywhere option use monorail & amp ; bus . downside find show ID , hotel & amp ; restuant never ask , viiste bar , club pay VISA ask nearly every time , come UK find little frustating , not drive passport keen carry everywhere , manage blagg place ' sorry be England & amp ; not need carry ID ' problem one bar would serve we & amp ; 40 & amp ; 46 ! ! ! ! ! ! great time & amp ; would stay & amp ; hope visit future . 
 Oct 29 2009 	 Beautiful Property Disappointing Room 	 Monte Carlo gorgeous hotel great restaurant choice nice pool area . splurge book spa room hot tub overlook city . arrive , immediately disappointed cleanliness room . though non - smoking floor , room reek cigarette smoke . jacuzzi tub dirty , ring coffee table near jacuzzi drink set previous guest . first time use bathroom , find & quot ; surprise & quot ; float toilet ! money pay , expect fresher , clean room . though food drink cafe pub excellent , service cafe slow . also waitie line half hour seat , even though half seat empty inside . maybe short - staff , become problem ? overall , stay Monte Carlo disappointing would not stay . 
 Oct 28 2009 	 Hotel Monte Carlo 	 hotel middle & quot ; new & quot ; strip Vegas . New York New York one side new City Center side . finish El Diablo Grill Bar addition prior arrival . great time . 
 Oct 26 2009 	 Monte Carlo Resort Place spend vacation ! 	 spend last five year vacation Monte Carlo Hotel Las Vegas . service excellent please . restaurant nice although miss Blackstone Restaurant delicious Prime Rib , brand okay . Monte Carlo place we ! stay ! art 
 Oct 25 2009 	 Perfect Hotel vacation ! 	 , father brother stay Monte Carlo 4 night October 19 - 23 could not ask well hotel . hotel locate city center ( currently construction ) New York , New York . many restaurant , nightclub shop within walk distance . our room 18th floor awesome view pool new City Center . room well keep , clean everything need ( hair dryer iron / board room ) . really matter bed - vegas ! ! want nice quiet place - stay home ! ! staff Monte Carlo awesome ! anything need ( extra towel , water , match ... etc . ) time smile . even take 2 long distance phone call bill not get ( $ 15 per call - buy phone card ! ! ) check - check breeze . thing not like $ 9.50 per day resort fee . include bottle water room daily print boarding pass . I vegas times , father brother never , rent car take Hoover Dam . stop old historic casino hotel way . make sure eat pack lunch get Hoover Dam . pay $ 45.00 3 burger & amp ; fry ! ! casino monte be not crowded time , nice wait table machine . win little ( enough pay 3 ticket 2 show , meal ) bonus . Jubilee ( Bally 's ) - see 3 time . fantastic cabaret style show . definately worth . ask cab driver coupon book - get $ 92.50 seat $ 35.00 ! ! want ticket Beatles Love sell , see Human Nature Smokey Robinson Imperial Palace . great show , lively . anyhow , ' ve stay many big property vegas , like MGM Grand , Paris , etc . , Monte Carlo definately great place stay , go back sure . one tip leave people : good time vegas do not get wrap review whatnot . vacation make . get upset every little thing - stay home ! ! ! 
 Oct 24 2009 	 good 	 great room zervice , .. clean towel , clean bathroom , great food , fine stallion .... 
 Oct 23 2009 	 great time 	 stay friend past week great time . expect long wait check wait 10minute able check hotel 9 am . information conceirge extremely helpful one party realise leave key suitcase previous hotel , engineering prompt come remove lock . hotel clean food court good except open 24hour . also vistie chinese / japanese restaurant cocktail food great . casino so / so many other discover strip . Monte Carlo great location not hear construction room . would definately stay current price around $ 59 night week could . 
 oct 22 2009 	 great location middle 	 Stayed past weekend family . choose hotel location , price previously stay . good experience overall hotel . pro : location strip . easy get many place . casino mangeable sze Pub great place drink , bartender great . good food selection hotel , buffet , fine dining Andre 's , even small food court room good sizecon : bed comfortable , still sore back bad mattress . bathroom could use refresh check Check amazingle slow painful . clerk friendly enough , central line , take FOREVER Pool ok - too many chair space , loud . construction next door pretty much , bldgs loom area , relax respite would want . afternoon attract loud , overly intoxicate 20 something next little kid . would stay ? certainly , especially price good . 
 oct 22 2009 	 go -- pool ! 	 spend 2 night Monte Carlo late June . one hot weekend hit around 106 . JUNE ! hotel nice , clean could expect . location ok , sprawl property combine construction strip , pretty much stayed put . the issue hotel temperature room . could seem get a / c cool enough night trouble sleep . also , think hear hallway , neighboring room conversation , realize maid leave radio low volume . little irritating , easy fix turn radio . the BEST PART pool ! although good crowd trouble find seat outside later 9 am , plenty water play around . lazy river blast ! buy intertube Rite Aid ABC Store instead rent hotel . also , bring beverage pool save cash . wave pool serious party DJ , though playlist could use well rotation . think play 15 song continuous loop . another cool thing , suspect hotel go pick ... sign hotel deal discount text messaging . getting offer BOGO dinner drink hotels company ( include NYNY Caesars ) .We would definitely come back Monte . 
 Oct 20 2009 	 great location room pool ! 	 like hotel . vegas probably 6 time past 3 - 4 year I ve place . room huge , smell pretty clean . do not good view care view vegas hardly anyways ... bed super comfy . pool loud pump music i d read not annoying . drink pool bit pricey u expect ? drink girl pool smoke hot like lazy river though be not exactly move lazy speed . sure casino bit date do not play much anyhow , food court handy quick bite can not beat location price . mostly I ve stay budget place like Imperial Palace Excalibur definitely step . check easy painless well . 
 Oct 20 2009 	 simply amazing experience . 	 arrive Monte Carlo around 10:30PM take 10 minute check problem , oh love hearing & quot ; already pay room , not need card file , unless want movie something . & quot ; get room huge ! ( 2 Queen bed non - smoking ) . bathroom big well , nice tile floor marble counter , show head could update still nice waterfall style . great view New York New York Excalibur . we go pool next day , lazy river pretty cool , although $ 12.95 inner - tube kind steep , go without one . pool nice well , jacuzzi . the service make place amazing , shirt bed leave , leave room get bite eat , come back guess SHIRT FOLDED bed , ' ve never maid before . the food - court open 24 hour kind pricey , instance foot long turkey sandwich Subway $ 9.00 . ask front desk coupon upon check - in however , get free soda something purchase . the one complaint air conditioning unit room in - wall control thermostat room , set 60 fan hi , take get cold loud guess 's good . could use tv channel also noise pool DJ , room side not hear . admit wall kind thin , hear people talk door shut ok , will not keep bed amazing . overall , one good hotel ' ve stay , ' ve stay luxury hotel New York San Francisco among place far compare one . 
 Oct 20 2009 	 third time lucky get pay 	 Monte Carlo good strip hotel , fantastic , awful , good . checkin give smoking room two Queen size bed neither partner smoke , room taint smell cigarette not ideal . call front desk move we non smoking floor immediately . second room albeit slightly well two Queen size bed frank useless couple take lot floor space . call front desk ask move room single King size bed . front desk tell could not first evening able next day . finally , next day get room ideal , king size bed , plenty floor space luggage , shop etc . throughout experience say front desk accommodate helpful every turn . as remainder , Pub makeover Beer Towers go bit bind make old micro brewery worth visit . not use pool go couple time , unfortunately not get much sun late afternoon new building adjacent good block sunlight . Casino ok , free crap lesson every day 11 . occasional $ 5 blackjack table gambling budget give special mention Gail , one blackjack dealer . friendly demeanor really make play table pleasure , introduce we several people world table great atmosphere . there be also starbuck back Casino need morning coffee , one thing would say queue get pretty big may wait need fix might quick go NYNY next door . all , location strip pretty good central , cleanliness service would expect hotel . gripe would room could probably touch overall , book 90 day advance get good discount strength great value money location would not qualm stay hotel . 
 Oct 19 2009 	 overpay mediocre hotel ... need total ` ` face lift '' room . 	 boyfriend go Las Vegas 23rd birthday . book regular deluxe room two queen . upon reservation , request ugrade Monaco suite room thave renovate . say could not upgrade day check , understandable since work resort . check considerably fast easy . unlike hotel , ACTUALLY check credit card file , need pay hotel fee use gym phone . 's but either . came think $ 35.so , request ugrade even pay difference , fully book suck cuz really hope could stay Monaco Suites . stay 10th floor face back side strip . quiet , room need renovate ! ! ! tv outdated need channel . full hotel advertisement 1 news channel . LOL . bed comfy , airconditioning take forever cool room not good one either . the casino , much like casino SOOOOOO smoky feel like smoke since birth . mean hey , 's vegas . near casino , fast food place remaie open throughout night . pool seem small well lazy river look clean . also crowd chair . check fast ! fast , do not even need stop front desk ! lol.the nice thing hotel probably brag statue front , many . next time , stay Mandalay Bay , Venetian , Caesars Bellagio . it would worth ! 
 Oct 19 2009 	 would never return Recommend anyone 	 arrive 2pm , Check 3PM ' get Room till 4PM still Needed get Ready wedding , Water Shower Horrible Water pressure come Loose Water Hot one Pulled Shower , horrible . Booked Room week Ahead time charge card one night right away still ' Room Ready , go Thursday ' seem busy . First Time , way Better Nicer Hotels Strip . 
 Oct 18 2009 	 nice room bad nightly experience 	 room nice , young adult party room side we 2 am . call front desk twice remedy . room 31 - 116move next day room 24 - 317 , nice view strip . room great much quieti neighbor . unfortunately & quot ; Club Diablo & quot ; ( part M.C . ) thump techno bass beat 2 am . boom , boom , boom , boom .... staff apologetic , offer discount upgrade trouble . the pool shade 2 pm , sunny 6 - ish . 1 Beer 1 maragrita - $ 23 include tip pool . good room price , good quality . someone look relax call early night 11 pm . 
 Oct 18 2009 	 desire ecomonic room simply sleep Vegas may good hotel ! 	 Vegas , ' ve Wyndham , Bellagio , thehotel ( Mandalay Bay ) , Planet Hollywood , signature ( MGM ) , Cesaer 's Palace , Monte Carlo . Monte Carlo = impress . almost appalled . casino bar area nice . however , room hallway plain eerie . little design suggestion luxury . room surprisinlgy , bad Holiday Inns ' ve stay previously . maybe get bad room . staff nice . curtain stain , room empty ... equate alot floor space luggage ! bathroom large , plain . go Vegas , not expect room subpar . stay Circus Circus , Imperial Something Flamingo ( less expensive rate ) , Monte Carlo suppose notch ... consider worried . anyhow , not spend much time room , great thing . , be tight cash need place crash , consider Monte Carlo . 
 Oct 18 2009 	 do not bother 	 poor attitude staff along poor expensive facilities.dont try get sunbe 11 am the60 be not shade already taken.if lucky manage get one either dirty broken.dont sign anything bar etc find 30dollar tip add bill andre be even though leave 15 dollar tip.we tell staff slip pen behalf.its 19 dollar use gym plus 5dollars change rooms.dont bother reopen pub two lot fish chip couple beersis 60dollar tax.the room large basic thin wall lead listen next door noise . terry .uk 
 Oct 18 2009 	 good hotel great layout good value 	 stay hotel end September week , previously stay Luxor , Circus Circus , Flamingo Ballys . choose change get good rate week disappoint . many hotel Las Vegas great layout complicated get lose . that s hotel pleasant change . casino basically one long room , place eat , sport book bar easy find . elevator come near Pool food court could never get lose . upgrade high floor room strip view $ 20 dollar night . end room corridor ( 335 ) strip view ok , window really dirty ( think end room get dirt construction next door- room friend next door we much clean window ) . would pay upgrade . anyway , room clean tidy bit date , furniture bit shabby around edge perhaps need refurb . face onto strip also little noisy ( even 30th floor ) , do not sleep well choose room back . however , amount time spend room Vegas fine . good system elevator , although 30th floor , elevator split group accord floor service . set lift stop floor 24 upwards never take long get room . food court 24 hour good ' Cafe ' hotel . ' Cafe ' also serve Steak Eggs midnight till 6 be $ 5.99 . try one evening steak good come hash brown toast , service also good cafe , although perhaps little slow get bill end ' Steak Eggs ' meal . hotel good lively bar eatery call Diablo 's mexican theme open onto strip . also happy hour 3 - 7 . pool area great lazy river , wave pool , normal pool hot jaccuzzi . cocktail average 10 11 dollar pool , little expensive good . hire inner tube lazy river 15 dollar day , buy pool shop $ 10.81 include re - inflating necesary . downside pool area shade till 11 am ( probably due new construction high rise ' City centre ' next door also time year ) . try Chines Noodle restaurant hotel also , food service good wine little expensive . all , great week Monte Carlo would certainly stop . 
 Oct 16 2009 	 nothing special ... would pay room . 	 two night compe decide take . check - in quick ( Oct 10 , Saturday morning ) . first room 31st floor adjoining room side could clearly hear tv next room . decide change room call front desk . person check we answer phone immediately change room . go front desk , clerk room key ready . new room 21st floor view pool . try pool . lazy river fun , however little sun . pool area right next new City Center many building seem block lot sun . the room fine , bathtub drain slowly - review mention thing . nothing particularly bad hotel - special . mention , room compe , ' m really complain . however , not think would pay room hotel . 
 Oct 16 2009 	 fabulous hotel great room . friendly efficent staff 	 go see yorself Monte Carlo great hotel , room clean comfortable , cater within hotel great , service second none . staff helpful friendly . do not know whny people moan music pool , perhaps stay convent instead , Vegas . come expect 
 Oct 16 2009 	 Dirty Old run ! 	 try sneek away Vegas twice year ( be 50min flight ) never stay Monte Carlo decide give try . hotel good location room old run clean ( okay know 's hotel will not clean house , pretty dirty ) enjoy hotel . spend little money stay somewhere nice alot . return . 
 Oct 15 2009 	 nice stay great location 	 Monte Carlo definitely someplace would go back . room spacious clean , staff attentive helpful location perfect . locate next New York , New York Hotel across street MGM Grand Planet Hollywood , entire strip doorstep . 
 Oct 14 2009 	 nice room great deal attach ! 	 love stay Monte Carlo right middle everything happen strip . nice , 4 - star hotel price great ! usually deal free show ticket 3 - night stay ... will end spend less $ 300 per person three night four day ! 
