could 	 get great deal Priceline two day advance annual black Friday boondoggle . location beat . one half block Union Square . lobby busy arrive people come go - they several doorman valet duty . even though arrive busy time two hour ahead schedule check immediately greet give room . front desk , gracious accomodate fact accidently show credit card wallet ! ! wait elevator , notice lady really struggle get elevator really big rolling suitcase . employee jump nowhere help ask other need help . nice - I love see people make extra effort come service . lobby nothing exciting . 's long narrow , front desk right enter elevator leave . behind elevator small seating area decorate holiday . room 21st floor . look Westin St. Francis ( daughter fascinated outside elevator ) , Sir Francis Drake Hotel Starlight Room tiny peek Union Square . book room bidding site . . expect get one & quot ; less room & quot ; , be fair enough . room seem sub - par anyway . spacious clean like location high floor . right next housekeeping closet expect noise morning , happen . either quiet 's little used closet . bed super comfortable nice linen . extend stay , plenty room put thing . spacious closet , two dresser . tv amoire Mini bar / fridge - sensor kind can not use fridge stuff . 's desk chair small sit area arm chair table window . Liked iPod docking port . thing room not perfect , other mention , furniture little bang up . the storage bathroom countertop . nice , Portico brand white ginger soap shampoo little tube toothpaste ! not eat Grandview 36th floor go look BEAUTIFUL spectacular view ! ! would drink bar full . would recommend hotel service , cleanliness , spacious room awesome location . especially get $ 66 price tag ! ! fun ! 
 Aug 22 2009 	 Grand not grand 	 hotel great location , close downtown shopping.but walk room average . stay 32nd floor great city view . tv likely 10 year old tv . bed great.the bathroom average , small 5 & quot ; tv . long likely 1990.there pool .. assume 4 star hotel would pool.the view 36th floor restaurant amazing , could stay motel 6 come eat well.the lobby average . I travel bunch , would easily 3 star hotel . 
 Aug 17 2009 	 Service need Improvement ASAP ! ! ! 	 must tell love Hyatt Hotels , rare thing happen Hyatt . nice hotel nice location , stone throw union square . family check hour , take almost half hour check 2 room . despite people check 10 pm . family 3 small child , imagine scene , room doubt nice , small , date clean . entertainment system nice ipod dock ( common ) upon check charge wrong room , book package hyatt.com include free 3rd night , staff say idea put system go charge 3 night . literally print book business center show booking take bill . 3 room package . notice mistake would charge 3 extra night 280 $ + service . know calculate room rate . front desk staff . think well porter . 2 thump concierge staff , know good place eat SF . tip : Valet parking expensive , lot opposite hotel cheap place self park . 
 Aug 11 2009 	 fabulous location great service close shopping 	 stay Execute Suite Grand Hyatt . family 5 3 teen , plenty room . there one king bed one room , second connect room sofa bed , large dining table 4 chair . bonus 2 bathroom . also request rollaway plus fridge , upon check . 16th floor , great view , quiet room . order room service twice , prompt delivery , great food . the hotel little old bathroom little date , rug showing wear , hotel clean . I would definitely stay , close shopping , close cable car line also . make sure visit Alcatraz take audio tour , book ticket well ahead time . also visit Fishermen 's Wharf , ride cable car . lot fun . we also use gym . also use computer lobby print boarding pass . soda machine gift shop hotel . buy snack drink Walgreens across street . starbuck also across street . 
 Aug 8 2009 	 Noisey wallpaper bathroom clean great location 	 ' m wall one . certainly not level Hyatt hotel . the noise level main problem outside ( thin window ) hall outside . bathroom need abit modernising , 's first time ' ve see wall paper 4 * hotel bathroom year . having say room clean bed fine . staff pretty helpful location spot . pay full price stay would think price though priceline $ 110 fine . 
 Aug 5 2009 	 Grand Hyatt - location perfect especially firework viewing ! 	 Grand Hyatt expensive , course know directly Union Square . end book directly hotel 's website use AAA card discount . make sure book concierge level floor ( 31 - 36 ) . floor well view higher , serve pretty decent breakfast , evening snack discount alcohol . breakfast lox , bagel , fruit , plenty pastry . even serve Starbuck 's Seattle 's Best Coffees . afternoon snack sushi one evening , shrimp appetizer next . alcohol purchase wine , beer , hard liquor juice mix . San Fran 's local beer , Anchor Steam , pretty tasty ( $ 3 bottle ) . 's lot cheap bar 36th floor ( check ... go early table window ) . concierge level also free wi - fi , pay room ! Grand Hyatt awesome location right Union Square ... be come shop extra cost stay worth ! not eat restaurant , comment . get special vip treatment waiter concierge level .... keep open hour allow we watch firework lounge ! amazing ... 10 we , window seat nice comfy lounge chair . get lucky hardly fog . check - in check - out easy . weird mini - bar charge ( fault since move stuff around fridge put drink ) ... girl front desk remove charge 1 phone call . valet parking quick easy , course pay pretty penny service . amenity room nice , right touch . shower awesome , perfect water pressure . pillow bed leave something desire . you stay .... be worth extra $ $ $ ! 
 Aug 4 2009 	 great location understaffe hotel 	 Grand Hyatt right Union Square can not get well location sightseeing shopping . problem hotel appear severely understaffed . arrive 9 pm Wednesday evening one front desk clerk . large family right front check lot question issue . wait 15 minute finish next line . shocked not second front desk clerk help . even bellhop uncomfortable amount time take . time get front desk , 5 people behind wait angry . seem like problem staff accord load . hotel charge $ 350 / night standard room busy weekday recesssion , one would think would least second third person duty . train bell staff help ? otherwise , stay great . concur comment room comfortable great view bathroom need update . bathtub 70 's shower not quite work right . LOVED housekeeper , friendly , professional go way help . 
 Jul 29 2009 	 Disappointed 	 ' regular ' Hyatt visitor not think hotel live previous Hyatt experience . Lobby - Dark dingylift - extremely slow . slow husband walk 9th floor quick easy . room - double queen . room dark quite depressing . color , brown rust along dark wood furniture make room feel small . four staying feel though top other . bed comfortable quite large queen bedsbreakfast - recommendable fantastic view San Francisco ! ! although use starbuck directly opposite . a couple morning bit slow block ( maybe 9ish ) maid constantly barge ask leave could clean ! Bathroom - brightly light clean . shower powerful good . Towel 's plenty , large , white fluffy . good thing location . chinatown short walk away tram public transport major tourist area . Macy 's large shop within throw distance . we hire hotel car take we airport reasonably price , quick convenient . this hotel good average . would say need make brighten make appealing . condensation window 's air conditioning vent rattle bit disturbing - although probably room . ( additional advice - visit san Francisco even Summer , take plenty jacket sweater - cold ! ) 
 Jul 27 2009 	 touch hotel barge pole 	 , wife 15 - year - old son stay Hyatt Hotel Grand SFO San Francisco 3rd June 6th June 2009.I choose hotel access proximity important place San Francisco . on first night start hear knock sound door room people talk loudly . disturb night son whose bed close door particularly disturb . the next night , loud knock door start would happen every half - hour one hour . unable sleep , call reception 5 a.m. morning narrate problem . tell noise perhaps high wind fact minor earthquake keep occur San Francisco . specifically ask anybody else report similar problem night problem high wind could other . tell nobody else report similar problem might . however , promise upgrade room next day . next day narrate tale woe write give reception . promise evening room would change would upgrade compensation disturbance bear two consecutive night . however , evening tell well room available would shift room low floor . reluctantly agree choice matter . express serious reservation manner hotel authority attend . late evening receive call reception state complementary breakfast coupon send could use next day . the next day three us breakfast needless add ordinary . hand coupon attendant . we check another hotel next day expressly tell reception due outstanding we . on receipt credit card statement 15 day surprised find usd 106 charge I . I promptly call account department hotel ask detail usd 106 charge . shock learn charge complimentary breakfast . narrate incident person express surprise complaint etc record computer hotel . tell look matter something wrong go hotel . ' hear Hotel since . never experience casual lackadaisical approach staff hotel life . bother customer relation prime motive make money whichever way , whoever come hotel . needless add till date despite write complaint form apology hotel . other reasonably good location , nothing hotel talk . 
 Jul 23 2009 	 good view 	 stay 4 night part Virgin package . room 717 . spacious room wheel chair user . connect door next room . guest friend back 1.30am loud room go till go three . inconsiderate . receptionist friendly arrive 10 pm . not look Hyatt gold passport . we cocktail bar 36th floor . tremendous view overprice drink . the door man really nice friendly . location superb . walk around great deal , take we half hour get fisherman 's wharf . we prebooke Alcatraz trip good idea . it fully book four day advance . good shopping right outside hotel place eat . now something watch . give credit card check hotel tour problem . also give voucher accommodation pay Virgin . when come check queue try automate machine lobby . it say owe $ 600 . know owe nothing duly queue man confirm pay Virgin . Imagine suprise check credit card statement saw charge . rang hotel England speak helpful man account call Bennie . refunded money due change exchange rate leave we $ 20 pocket . another international phonecall want copy bill hope eventually may get back . careful check not happen . 
 Jul 22 2009 	 Nice hotel perfect location 	 lot people seem disappointed property , Union Square hotel ' ve stay Grand Hyatt far favorite . the room range almost New York City compact spacious , depend ability stretch budget , even regular guest room quite comfortable . bed wonderful room surprisingly quiet city location . unlike high - rise hotel ' ve stay ' ve impress ability easily get elevator whenever ' ve stay - ' ve never wait minute two . I also highly recommend Grandviews lounge atop hotel . excellent view night , view completely jaw - drop day . the exercise room also open 24/7 , nice plus long day meeting . the location Union Square also can not beat - fact 's set back bit square keep bit quieter many nearby property . the tv room old CRT model , Union Square right outside door , except morning time watch tv ? complaint would highly confiscatory daily rate valet parking - high Union Square hotel far tell ( though within $ 5 / day nearby property . ) 
 Jul 10 2009 	 Great Location Average Room 	 Great Location , Average Room . stay Hyatt twice - fine get good deal , really need update . staff friendly helpful . 
 Jul 1 2009 	 Great Stay 	 recently book reservation Grand Hyatt SF one night , pleased stay . girlfriend 's birthday , decide eat dinner SF celebrate birthday club near hotel . book Hyatt walk back hotel worry drive home night drinking . park car across street , Union Square garage $ 31 night . hotel 's parking would $ 50 per night . check - in fast efficient , along great customer service . room modern decor , yet flat screen tv . however , importantly , room clean spotless . morning , go Starbucks , right across street , walk around Union Square . even walk along Market St. gay parade go . location Grand Hyatt ideal location anyone visit San Francisco . stay Grand Hyatt SF , step away shop , restaurant , bar / club . chinatown 5 - 10 minute walk hotel well . overall , pleased stay would recommend Grand Hyatt anyone come visit San Francisco . 
 Jun 26 2009 	 Disappointed 	 Hyatt Hyatt standard . stay three year ago please . Balcony door long open ( one reason choose stay ) , carpet stain , trash bed bathroom door dirty . second day finally wipe door . four day , three people room receive one water glass since accidently book two people ( although check - in three we give three key ) towel two . room service second day go front desk mention glass shortage towel not want bother , although receive towel . mention something & quot ; green & quot ; . well , ' m sure three people share one glass four day thought & quot ; green & quot ; . originally book five night change four night cause rate go ? ? doubt would stay would probably opt Westin Union Square . 
 Jun 24 2009 	 Awesome Location everything happen San Francisco . 	 Love location hotel . throughly enjoy stay hotel . Ate & quot ; Grandview & quot ; breakfast dinner expensive . good view Lounge restaurant . price wise try restaurant area . would definitely stay . 
 Jun 23 2009 	 overprice 	 admit location view perfect . overall experience . make two reservation . one friday saturday check - in find could make thursday call extend stay get early stay . price we double price orginally get also understand connection already book room next two night . instead call priceline book room much low price . admit rather deal priceline direct service Hyatt . say alot Hyatt 's overall customer service . bummer reason low review leave Sunday charge two charge debt card use bar . debt card use hold room give front desk . call ask charge say could help we . accounting department could help . ask possible able tell we charge . lady line say high end hotel therefore department take care thing . tell we accounting department call we . two day ! reverse charge 3 day later without call notice . think bad customer service ever recieve hotel Econolodge even well service . charge everything ! free internet / no free business center/ 45 dollar per day parking . 150 dollar night would think least internet free . 
 Jun 19 2009 	 Great Location 	 find hotel great base explore San Francisco . location perfectly locate , overlook Union Square great shopping eat within short distance . room smallish comfortable clean . gym son use every day well equipped well stock towel earphone etc . thing do not like overprice internet access in - hotel restaurant . hotel like learn price restaurant compete local establishment eat hotel give money . do not seem get . internet day free reason rip people . tip : cheesecake factory great well price , popular restaurant locate top floor Macy be across Union Square . do not take booking waiting time hour plus . talk concierge actually make booking give priority . use twice wait 5 - 10 min time . great food 
 Jun 14 2009 	 Excellent hotel great value 	 Excellent location downtown SF , overlook Union Square . lobby modern feel room large comfortable . view room ( 22nd floor ) stunning . service ( especially concierge ) great . price $ 125 night , low give location ( least one hotel area ask twice ) . 
 Jun 10 2009 	 Excellent Hotel Excellent location 	 hotel great lobby unbelievable location . room bit date grand hotel , flat screen , date bathroom etc 3.5 star hotel sure . the location great right Union Square walk distance china town trolley , talk wharf difficult . the 36th floor bar awesome view really blow mind , drink pricey one would expect . 
 Jun 8 2009 	 love location 	 one good hotel stay Oracle Open World . walk distance Muscone Center lot shopping & amp ; dining option near . 
 Jun 6 2009 	 Awesome Priceline deal 	 great room friendly staff . posh roomy room . get $ 65 night ! 
 Jun 6 2009 	 Perfect Location Nice Hotel 	 Brilliant location , litereally Union Square ( border ) . underground station tram line 2 min away ( 2 - 3 block ) . famous cable car also 1 block away . the hotel clean , good room , clean . staff friendly helpful . use hotel bar restaurant visit main one , 36th ( top ) floor great view city . 
 Jun 4 2009 	 magnificent view excellent service 	 check Grand Hyatt yesterday could not please stay . staff friendly helpful . travel child ask concierge kid friendly italian restaurant . recommend Uncle Vito 's unbelievably inexpensive wonderful , two block away good meal trip . room 22nd floor overlook Union Square - course bay view behind city . linen excellent typical Hyatt quality . bathroom marble complaint tub small 's expected hotel age . amenity excellent . the view 36th floor lounge restaurant 360 degree incomparable ! would definitely recommend hotel , especially since get Priceline $ 80 , bargain ! 
 Jun 1 2009 	 nice stay Grand Hyatt San Francisco 	 stay Grand Hyatt 3 night middle May . nice lobby , clean room , comfortable bed , big bathroom good shower . AC / heat individually control digital thermostat work well . room quiet , clean daily restock towel day . hotel right Union Square easy access mass transit lot shopping place eat nearby . complaint ! 
