quiet 	 stay 2 bedroom unit clean comfortable . bed comfortable staff nice . fact nonsmoke property wasvery attractive we since 's hard escape smoker actual casino . the property close enough walk MGM although car , walk mostday strip . 
 excellent accomodation friendly service 	 convenient location , close major attraction , heart downtown . everything need comfortable stay . 
 Oct 25 2009 	 gem ! 	 spend 9 night Desert Rose late October . weather good ( degree high seasonal norm - mid 80 's day ) .flight - arrive mid afternoon direct Virgin flight Gatwick room wait we . flight great 's direct downside everyone go Vegas ) be full not expect spare seat b ) passenger take much advantage free drink feel bit like rowdy all - inclusive resort . also seat pitch economy poor - much bad airline US Carribean . room - room three storey block around swimming pool fantastic . plenty space load cupboard / storage space . one bedroom apartment lounge /kitchen diner large bedroom bathroom . room Phillips tv load US news sport channel also HBO TNT always find film watch . kitchen extremely well equip everything kitchen home - holiday place UK could certainly learn lot ( , .e . salt pepper / washing liquid supply ) not need buy arrive . takeaway / delivery leaflet also supply use good . bed comfortable . pool - pool get quite busy certain day rush get bed - get usual inconsiderate one bag bed go morning - resort 's credit manager come round remove towel ! water bad - ok get . jaccuzzi good warm . breakfast - add bonus continental breakfast free coffee throughout day . Basic not really need full breakfast ginormous portion get go eat ! Manager 's drink - nice addition 5 - 7 pm Mon - Thurs ( sure not weekend - perhaps worried people Virgin flight drinking house home ! ) . beer wine - good quality . people give dollar per round tip . good way lot people meet other stay resort . location - people say resort block Strip take 10 min walk . also go back MGM ( valet check ) handy monorail . downside unless car decent grocery store nearby . couple convenience store get drink , snack etc fresh meat , salad bit etc . one suggestion would make management open snack bar pool lunch / drink would make fortune . overall - brilliant resort away madness Strip . would definitely recommend . 
 Oct 24 2009 	 great suite 	 suite extremely well outfit clean . love . loud slot machine lobby , quiet clean room . morning breakfast nice addition . less 10 minute walk strip ( MGM Grand ) . 
 Oct 23 2009 	 fantastic quiet location near sight Vegas 	 dessert rise one bedroom say 4 people ok familys couple bath toilet bedroom none inthe room . staff upgrade we cost great 2 bed 2 bathroom manythank Niecha . Dessert Rose great quite locationbut near Vegas he s offer would love stay .tipsget Vegas see great place . 
 oct 22 2009 	 perfect refuge chaos Strip 	 stay Desert Rose seven night three kid , aged 15 , 12 9 . 2 - bedroom suite spacious , clean , quiet ( even though overlook pool area ) . hard believe MGM / Excalibur / Tropicana / New York corner 5 minute walk away . we spend day evening see Vegas foot , monorail bus , blissful return Desert Rose peace quiet . great value money ! one tip - not many seat breakfast area , try get early . 
 Oct 21 2009 	 Comfort convenience -- quiet oasis 	 resort everything advertise . much enjoy suite , location service personnel . breakfast buffet perfectly adequate -- get crowded later week . cocktail hour also nice benefit . would stay would certainly recommend . 
 Oct 21 2009 	 wonderful experience 	 return yesterday 6 day DRR , stay perfect . find online book reading review . Desert Rose disappointment , 1 Br condo roomy , impeccabley clean ( entire property ) , quiet perfect location . staff could'nt accommodate nice would hesitate stay . continental breakfast great , ( people complain must understand continental breakfast ) coffee well . complaint rude Europeans would push way get bagel ( would also take enough food back room hold winter ) would go pool 8 am grab lounge chair even though would not return pool hour later . say would let negative keep stay recommend resort family friend . 
 Oct 21 2009 	 good value Las Vegas fabulous roomy suit modern clean . 	 Desert Rose Resort short walk strip . stay 10 day definately back . 2 bedroome suite spacious clean also kitchen appliance new . also free buffet breakfast throw go early 8.30am tend get busy . staff friendly helpful . great value much cheap hotel load room . see first trip advisor . 
 Oct 21 2009 	 almost 5 5 - incredible value 	 location price place can not beat . suites superb , large , comfortable , clean lot nice touch . beat many Hamptons stay cock hat . great friendly welcome too . the fail bun fight , mean breakfast buffet . take one look mass people stick finger ear walk away place size popular guess expect . ever come back LV head , question . 
 Oct 19 2009 	 great suite ! 	 location convenient many attraction , room clean comfortable , PLUSH bedding ! great water pressure hot water . hot tub hot , luke warm like many place . gym high quality machine . complimentary breakfast good , nice selection change day . happy resort . 
 Oct 19 2009 	 excellent place one night long 	 fly Las Vegas stay one night take lengthy road trip Grand Canyon envrion . well treat staff give every assistance ensure stay pleasant could quickly get road next day . large suite spotless . stay long , kitchen area suite well appoint . plan allow , certainly would return end trip Vegas . close strip ( walk ) far enough away avoid crowd . excellent breakfast place suitable family . definite spot stay revisit Vegas . 
 Oct 19 2009 	 100 % impressed ! 	 good place stay Vegas price ! loved GREAT rate get book early . Hope continue offer reasonable rate grow popularity ! 
 Oct 18 2009 	 fantastic 	 stay week get amazing deal Expedia . pretty much get apartment per couple en suite bathroom , fully equipt kitchen tv / lounge area . breakfast basic good value ( breakfast hall get bit crowded ) fancy american brekkie amaze diner call ' Coco 's Lounge ' road go 3 time always great food . apartment good location strip , stone 's throw MGM Casino quite nice away madness bit . would definitely stay . 
 Oct 17 2009 	 place might call home 	 recently wife pleasure stay Desert Rose Las Vegas attend convention host local Union . stay Desert Rose previously aware careful attention provide guest . however , stay special experience way accomodate . Desert Rose recognize elite member way certainly make realize cared . delivery breakfast morning extra mile take help we get business take care Desert Rose truly home away home . one certainly appreciate consideration give folk place frenzy glitz easily add caos relaxation . thank job well do . would hesitate recomend location anyone look reward Las Vegas . the Grears 
 Oct 17 2009 	 Wonderful 	 go Vegas marry love life oct./09 , stay 5th go Luxor rest week , room compte would stay Desert Rose . room nice spacey like , ( ha , ha ) great location right near MGM Grand . really care customer problem , take care right away . wedding cake make scratch bring Vegas , need keep refrigerate 7th ! return vegas stay Desert Rose every time . trump Mr. Wynn compt executive suite hotel Vegas , would stay resort sure . ROCK .......... GO check ....... LOVE ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Oct 16 2009 	 Faultless accommodation great location 	 could fault complex . great location Strip , amenity could want great value money , highly recommend ! ! ! ! 
 Oct 15 2009 	 Convenient Reasonable 	 Stayed daughter , husband 2 young child ( 4 yrs & amp ; 18 mos . 2 BR suite night flight back Atlanta . nice hotel staff front desk offer print boarding pass we not wait available computer print airport . suite nice clean , except carpet old stain sofa stain lumpy . say process update room get build yet . advise would ask update room make reservation . stay one night would ask move new suite . like car close room valet park walk long distance self - park garage like big hotel . 
 Oct 15 2009 	 close Strip say nice place . 	 & quot ; resort & quot ; close strip say . basically behind across street MGM . get walking bagaine . one bedroom suite , bathroom access bedroom . nicely stock kitchenette not really use . Maids wash dish use . celebrate daughter 's 21st birthday . take son , will stay casino Strip , probably Bally 's Paris . small pool 
 Oct 14 2009 	 secret gem 	 second stay , 4 day last year two week time . always great stay , daily maid service , great team locate conveniently strip without noise . stay two bedroom suite two bathroom lot room . recommend place everyone know surprised lot people speak travel never hear place . represent excellent value money . 
 Oct 14 2009 	 definitely go back ! 	 stay family kid , spouse parent around Christmas time . fairly full . room clean good size . full kitchen ideal we include utensil & amp ; dish . staff friendly even bring whole new set non - stick pan kitchen point upon move teh one already teh non - stick coating chipepd . breakfast buffet excellent . provide vareity food choice . worth extra charge ! goign back year ! free wifi room ! 
 Oct 13 2009 	 yearly Girl 's Trip Strip ! ! ! 	 pick hotel 5 we would able stay together . soon check go straight grocery store around block stock 4 day stay Vegas . eat breakfast lunch hotel dinner strip . perfect ! ! ! happy hour pool every night free drink . top shelf , enough get night start ! everything need hotel 5 we comfortable include cooking utensil ! stay strip perfect ! & quot ; Vegas thing & quot ; , do nice come back peace quiet ! ! ! definitely recommend hotel ! ! ! 
 Oct 13 2009 	 pleasure ... highly recommend ! 	 gem ! 3 week Utah tent camping , relax 3 - night stay fly home . location excellent , staff friendly , room clean comfortable , kitchen big bonus ... definitely stay ! 
 Oct 13 2009 	 Good Value Price 	 want place strip would walk casino get room . facility fit bill . block MGM back Hooters . place quiet amazing far airport within flight path tour helicopter . good continental breakfast get 8 beat crowd . front desk helpful need cab response time cab minute . room suite ( beleive ) comfortable lot space . overall good place stay . 
 Oct 13 2009 	 Fantastic 	 well say other have not , great choice first visit Vegas . moment check , brilliant staff cleaner reception always smile genuine greeting , room comfy spacious kitchen every possibe appliance need apart Washer hey there s laundry site really need . pool area always clean never go without sun lounger 2 week , say get busy weekend . Desert rise great place come back hustle bustle strip . take 15 - 20 minute walk begining strip , less young fitter . deuce bus take along entire strip hop hop 7 dollar 24 hour . great place like we , stay 1 2 week . although not pay breakfast every morning Cereals toast , croissant , jam , marmalade peanut butter juice . coffee available day free massive bonus manager happy 2 hour Mon - Thurs beer wine available cost yes cost anyone want info email . would go back definately ! ! ! ! ! ! ! 
 Oct 13 2009 	 bargain get . 	 stay one night experience fault could give . room massive fully furnish clean make sure request non - smoking one room party smell stale smoke . Breakfast include standard continental job nicely . location 5 minute walk hooter . 
 Oct 12 2009 	 Fabulous ! 	 hubby stay 2 week September love every minute ! stayed get marry vention last year lovely beautiful Venetian ... would choose Desert Rose due value ! check quickly make room : spotless , comfy everything could need 2 wk trip , really home away home ! breakfast fab , well early time 8 am get crowd pleanty food go around , also manager reception great , free beer , wine , soft drink & amp ; snack ! lobby free Starbucks coffee day ! thing negative be not enough sunbed around pool , get later 8 ( time open join que people ! ! ) towle every sunbe stick chair sometimes nothing ! hotel situate behind Hooters Tropicana , 10 min walk main strip would cross back entrance MGM ( Hooters ) cut MGM lobby & amp ; casino nice cool ! love Vegas much planning night next year travel around California would choose Desert Rose hotel Vegas ! 
 Oct 12 2009 	 great place great location excellent value ! 	 first stay Desert Rose Resort . come Barrett - Jackson Collector Car Event . nice place stay amenity could possibley want need ! Close Airport Strip affordable price . time ' m head Vegas ' m stay ! sincerely , DellHouston , Texas 
 Oct 12 2009 	 place ! ! ! ! 	 2nd time year stay . love location . close everything . family orient . quite , relax , room super spacious . staff nice helpful . excellent price ! ! ! ! would stay next trip VEGAS ! ! ! ! 2 Thumbs ! ! ! 
 Oct 11 2009 	 great location friendly service - hide gem 	 stay week husband 2 friend 2 bedroom unit . room clean quiet , bed comfortable plenty room 4 we . live / dining room large Parents come day still not feel crowd 6 people . staff member come contact front desk housekeep friendly exceptionally helpful . trouble check maintenance problem report . nice workout facility , clean Pool towel provide , plus ( less pack ! ) . resort quick walk , maybe block , south end Vegas strip ( MGM , Tropicana , Luxor , Excaliber , Mandalay Bay , etc . ) hardly use rental car go grocery store downtown . continental breakfast serve every day decent . definitely stay return . 
 Oct 10 2009 	 great place stay convenient strip clean . 	 hotel clean full kitchen . good breakfast buffet . plenty pick start day , careful get closing , close right minute state . location walk distance strip , could easilly catch bus train . 
 Oct 10 2009 	 great value 	 second stay Desert Rose , will not last . talk fantastic value ... find sale Expedia 90 dollar canadian , tax two bedroom unit . hotel provide breakfast . place spotless . room overly large , spotless . guest appear time share people . need car get around hotel shuttle strip . half mile strip could take bus along strip wish . monorail stop block away prefer . find car convenient way get around Vegas . staff hotel amazing . nothing much trouble always smile say hello . could tell hotel start bit cost cutting breakfast year ham slice boil egg day way use last year ( periodically ) . still good fill breakfast find fault , stay home ! ! love idea full kitchen living room dining room travel . save lot money ! ! complaint ever hear Desert Rose pool water always cold . stay weather 105 , one go water say cold . lounger around smallish pool fill 10 am . I would recommend place hope water type holiday . Vegas see sight , hotel . comfortable bed . will definitely go back ! ! 
 oct 9 2009 	 little tired good value 	 Desert Rose nice place doubt . frill good value ! good location Strip , close enought walk main attraction . hotel offer free breakfast usually run quite item way soon . pool heat , pity , room rather tired stained carpet faucet come wall shower . however , nice place stay anyway . good size room , well - equip kitchen , nicely decorate , spacious bathroom up - to - date amenity property . dollar well spend Desert Rose ! enjoy ! 
 oct 9 2009 	 excellent value location close strip 	 hotel right strip locate Hooters less block MGM Grand . MGM Grand Hooters side . hotel staff accomodate . let we check hour check time arrive early . friendly . hotel great value get . two bedroom suite . bedroom large closet , window , large comfy bed . three tv 's suite . master 's bathroom another bathroom side suite . room full kitchen dining area . clean . hotel large resort offer restaurant . pool . cool April use . continental breakfast morning . short walk MGM Grand tram system . use long distance travel strip . rent car four day . would definitely stay want strip still close . nice quiet hotel without smokey casino . great location . would definitely recommend hotel . 
 oct 9 2009 	 Fabulous stay DR - 5 Star comfort 	 check check hotel aim please . small family reunion fun affordable . even cook one night every utensil appliance necessary . can not recommend jewel highly enough . 
 oct 9 2009 	 staff Desert Rose everything possible make stay enjoyable . 	 Desert Rose Resort great place stay Las Vegas child . strip , close enough walk everything . crowd casino premise . staff accomodate helpful . continental breakfast good facility clean . 
 oct 8 2009 	 Cozy Comfortable 	 stay hotel past May 2 friend boyfriend , perfect . get 2 bedroom suite , enough room we . 2 full bathroom , sleeper couch living room , kitchen , dining area , balcony , 2 decent - sized comfortable bed bedroom . downfall hotel walk . car , be marvelous locate like couple block away strip , walk little different one block Vegas huge . bring running shoe ! desert rise also pool jacuzzi locate inside visitor use nice feel like relax trip . desert rise not necessarily party hotel , 's family / lounge kind place . not big deal go friend hotel , walk back desert rise quiet nice change pace hustle bustle city . would definitely recommend desert rise not mind distance . honestly , lot nicer even room partie Mandalay Bay three time cheap . 
 Oct 8 2009 	 exceed expectation . FANTASTIC hide Las Vegas Jewel ! 	 property fantastic . clean , well appoint , comfortable room enormous give average Vegas room . strip great . , resort fantastic , be look maximize dollar Vegas , Desert Rose way go . like , read rave review Trip Advisor wonder could possibly live . well actually exceed expectation . money save rate , able enjoy fabulous 4 Diamond Vegas dinner , trip Grand Canyon . never feel way . could easily inside MGM Grand 5 minute walk . unless money burn , will always stay Desert Rose . will not disappoint . 
 Oct 8 2009 	 Wonderful Hotel location price . 	 find place online base decision stay review receive . disappointed . upon arrival notice close ( walk distance ) strip . check quick simple staff friendly . six us 2 bedroom 2 bath suite enter room happy . plenty room everyone sleep put away belonging . room clean balcony face parking lot nice . offer simple breakfast morning good eat little something go day . although use pool day , appear get full quickly 's good idea get early get seat . go pool last night late evening pretty much empty family great time . would definitely stay . look family friendly place something not casino place stay . 
 oct 8 2009 	 Brilliant stay Desert Rose Resort 	 decide stay base previous review give price compare big strip hotel . location perfect , 5 min MGM strip far enough away quiet night . plenty parking able get park next room every day . room huge separate living sleeping area . also well stock housekeeping staff keep clean tidy ( even put dishwasher we ) . small gripe would pool area quite small enough sun lounger tend mad rush bed morning . could fault place would definitely back another stay future . 
 oct 8 2009 	 Excellent value location ! 	 family stay Desert Rose Resort one night , amazing . get 2 - bedroom suite less half price , expect much suite . however , extremely surprised got , suite absolutely spacious clean . love wish plan night Las Vegas enjoy resort . 's locate strip , light noise bother we , close enough within walking distance . also , gym adequate simple workout , machine , complimentary breakfast good . ever go back Las Vegas , definitely stay resort . 
 Oct 7 2009 	 Convenient Location ... 	 good : location , service value . the Bad : rent two 2 - bedrm suite clean ( dirty couch bug ) . room thin wall . clearly hear person 's conversation hallway also constant hum ice machine night . perhaps stay would well different area resort . would avoid room near front parking lot . 
 Oct 6 2009 	 Loved ! 	 great stay Desert Rose Resort , especially price . nice 2 - bedroom comfortable living space ; live room kitchen . teenage kid love pool area , idea could buy snack little shop anytime day night . impressed comfortable ' at home ' feeling . staff friendly , especially room attendant . would look stay next time come Las Vegas . conveniently locate close enough strip walk easily . 
 Oct 5 2009 	 great place close strip definitely not Las Vegas strip ! 	 thank nice relax beautiful place stay anniversary . Desert rise friendly helpful staff , nice amenity room , comfortable atmosphere . could part Las Vegas scene want could definitely away scene want . definitely recommend resort great place stay Las Vegas area . 
 Oct 5 2009 	 great value money Las Vegas 	 turn price famous hotel Strip week want visit , read review Trip Advisor find off - strip hotel Vegas . be really glad , Desert Rose Resort gem hotel close back MGM Grand . not come want hotel huge Vegas buffet breakfast / lunch dinner , want clean hotel , excellent pool , good size room , easy access strip , free continental breakfast , helpful staff , long queue check , affordable price one . previous visit Vegas stay Strip ( Luxor recently ) , experience , always try stay Desert Rose Resort . 
