much 	 good hotel service start check - in front desk agent Red Roof always friendly ! make sure thing need night greet we everytime walk past desk . room cozy clean . comlimentary coffee room perfect morning . will definitely stay soon . 
 Jun 25 2009 	 good news let we leave ... 	 recent business turn leisure trip Chicago boyfriend book stay hotel . read review apprehensive , not make booking not really choice . seem though review hotel bipolar . experience definitely negative side . staff seem apathetic , room small decor depressing . recently spend two week Europe stay budget hotel : put tiny room , share bathroom , cheerless decor , surly staff . put uncleanliness . debris carpet , instance toothpick lay middle carpet . bathroom floor describe ' crud ' grout around toilet . tub dirty people 's hair stick . hair clearly visible floor . concerned not even pick clearly visible toothpick floor , wash sheet ? boyfriend ask move different room , staff oblige , room dissappointing . concern event occur lobby . several young man come hotel lobby begin solicit people lobby - try give flier stuff . rather harmless , though mildly sexually harass , clearly business staff make attempt remove . good news hotel let we cancel everything leave without fuss . fortunately , Courtyard Marriott , locate right across street open room , cost approx . $ 2 night . difference night day . ( highly recommend - Courtyard Marriott Mag Mile - currently construction business hour weekday . ) 
 Jun 9 2009 	 good option try will not disappoint 	 dear traveler , real pleasure spend day hotel . must confess , read comment hotel booking . therefore , get , scare death . , arrive , great wonderful surprise . everything perfect : clean room , good condition regard price , good location , friendly staff people . world traveler , spend day great hotel , i.e . Ritz , four season , Hilton , Hyatt , Best Western , Fairmont , Sheraton etc . , expect find luxury . , price pay location , confident . , hesitate choose hotel will please . complain , contrary . good luck ! 
 Jun 5 2009 	 good location ever 	 hotel one block away Magnificent Mile 's go . also be one cheap Chicago downtown ! wait lot check room not ready . room not clean either . think person clean loose hair , hair everywhere ! ( yes , even bed ) . anyway , be look great location low price , will find ok . 
 may 25 2009 	 great location could clean . 	 Booked hotel Priceline somewhat concerned see hotel . location relative Michigan Avenue could not well . room decent size nice tv . bathtub dirty not drain well , carpet vacuum well . be fine be look room downtown Chicago not plan spend much time hotel . 
 may 18 2009 	 feel clean showered ... street would well 	 travel student block 6 room . 6 , 3 tv remote control work , 1 tv work , 1 blowdryer work . suspicious stain one room look like blood . find lettuce floor one room hair sheet another room . complain ask switch room , action take . finally demand new room give corner room leak seal toilet , leave floor wet entire time . room clean stay . desk staff incredibly polite nice , yet unable anything status dirty room . stay location price , would stay . try Congress Hotel Best western much well deal . 
 May 12 2009 	 Decent budget hotel right centre downtown Chicago 	 book 2 room myslefi , husband friend 2 night May . read review checking- hotel , skeptical point even cancel reservation , bad early review make sound like . infact worth value pay stay location . it CLEAN , decent budget hotel right centre downtown Chicago . major attraction / restaurant walk distance . staff courteous polite . room clean ( although give slightly old feeling ) LCD tv.towel bathroom clean problem shower , working room alright friend 's room . even temperature control work fine . however , please note since budget hotel , water bottle available within hotel , recommend carry one you . overall , good value money . 
 May 10 2009 	 affordable acceptable 	 reading review site , expect barricade room sleep clothe try fend horde lice . experience , hotel deserve review 's receive . let preface saying & quot ; DISCOUNT & quot ; hotel . even call . want high class , go book W. make weekend roadtrip Chicago want something cheap central get bang buck . Red Roof deliver . first , service . check service polite point . not chat , try up - sell , bother triviality . check show way room . sure be nice W ask , & quot ; wish ? & quot ; come price tag . staff helpful ask direction rude all . secondly , room . read review cleanliness give room serious unpack anything . room little run 's old building , real cleanliness concern . little dusty bed stain dark coloured carpet , nothing would consider unhealthy . sheet towel pristine white clean . odour anything unpleasant comment review . the room quite small . would little cramp couple , certainly would not want sharing room kid . room 1 bed though , other may large . 1 person perfect , not go vacation spend lot time room . the room also equip safe . my complaint would broken item room . window look like someone try force open able actually remove frame . notice little noisy , right downtown 's expect . a / C also not work room , not need time year . would not surprise two relate . third , location , location , location . not get much well ! 1 block Miracle mile , 10 minute walk Navy Pier , less 10 minute John Hancock building . 's phenomenal central location able cover lot site foot . lastly , value . book priceline get room $ 50 / night ! complaint consider price nearby hotel . valet park another $ 40 / night ask around sound like be pretty typical . in conclusion , single traveler look cheap central hotel sightseeing vacation , have problem return hotel . 
 may 7 2009 	 Cramped Rooms Bad Tempature Regulation 	 stay one night late November 2008 . service friendly get room turn heater ( 30 outside ) within hour room still cold . tell front desk get back room hot ! also , bed seem old room tiny . hotel take people 21 GREAT location room pretty bad . you purchase t - mobile hot spot get wireless . 
 Apr 14 2009 	 great last minute decision . 	 friend visit Chicago early April see RENT . unfortunately , book room Howard Johnson completely horrible able find hotel opening last minute ! grateful room we . pay $ 36 / night parking kinda hurt valet take car nice accommodating . room small clean cozy . staff friendly . want go Field Museum last day checked 12 pm still keep bag car do museum free charge ! would definately recommend hotel anyone . price location value great ! 
 Apr 9 2009 	 Filthy shower standing towel 	 Shower floor thick shelack filth grime god know else . foot stick floor shower ! ! ! thin throw blanket bed along dirty bed spread . hard argue price location , even one night stay unbearable . lastly , instruct valet would need 20 minute get car - wait hour , fitting end stay . 
 Apr 6 2009 	 place flea bag 	 picky person especially pay $ 130 room downtown Chicago -- not expect fabulous , expect clean . room small could hardly get round bed decor look like not update 20 year . none we would walk room without shoe carpet disgusting . would compare motel freeway middle nowhere would pay $ 29.95 / night maybe pay hour . left go across street Marriott Courtyard . say routinely get customer like we . say location great staff nice take $ 40 bill without we really gripe . pay extra buck somewhere decent . 
 Mar 28 2009 	 afraid afraid 	 travel two teenage kid , pay extra & quot ; deluxe suite . & quot ; filthy . still crumbs floor bed sheet change ( someone else 's hair bed already ! gross ! ) . room smell like dirty sock . bathroom door hinge . bathroom mold sink vanity . candy wrapper corner room . tv remote work . a / c rattle we room . run flea infest firetrap stay one hour . pay -- completely enjoy -- marriot courtyard direct across street . post ever make website . 
 Mar 21 2009 	 one step homeless shelter 	 sleezi , dirty , disgusting hotel ever encounter . heat , hot water , leak toilet sink , window not close way , filthy carpet , dingy linen , customer service ... front desk help correct problem room move we another one . ( actually doubt another one well condtion move we . ) hotel condemn . 's hard believe health department not close mold , filth , leak urine toilet . can not believe audacity charge money room . close renovation . hotel great location would well deplorable condition . one would think Red Roof would see building least bring liveable condition . unless standard much substandard , would favor steer clear pit . not care cleanliness warmth , least make sure date vaccine bring supply antibiotic . would soon stay homeless shelter subject atrocity . 
 Mar 6 2009 	 Disappointing 	 hotel well locate , room would hardly wish remember : window could properly shut , heating - month November & quot ; windy city & quot ; . well , seem amount money expect anything well Chicago downtown ... 
 Feb 13 2009 	 Afraid . Afraid ! ! ! 	 stay two night so - call hotel . like housing project . reason stay business Northwestern 's School Law hotel close . ' m surprised make alive . hallway narrow quite seedy . elevator slow loud . place may grand hotel 1920 . 's slum . expect take shower cold water well . also expect hear everyone 's conversation wall paper thin . seriously consider barricade door stop thug break robbing boogere . yike . stay away . 
 Feb 11 2009 	 good location nothing else 	 room 401 . seal toilet floor leak . bathroom floor constantly wet urine / water . entire bathroom absolutely reek urine moment arrive . believe housekeeper cleaning room would notice . give strength smell , must go week even long . drunk hall keep we half night . floor dirty . sleep clothe . block Michigan Ave ( would receive & quot ; terrible & quot ; rate otherwise ) , price cheap - $ 50 priceline- would never stay . spend extra $ 30 stay somewhere not turn stomach . 
 Jan 11 2009 	 Penicillin may need stay . 	 Hotel Name : Red Roof Inn Chicago Downtown excited walk see lobby renovate . two lounge area new sofas big lounge table . bracket flat panel tv be not tv attach . hotel one person desk check line wait . elevator small expect old city building . exit floor pleasant smell deodorizer housekeeper use . hallway clean . upon enter room , notice door little small , 36 & quot ; standard . although room next handicap excessible . second thing notice room update lobby . room look nothing like website . furnish update lamp chair , bed small low floor . bed covering also outdate look worn . sheet pillow case however look new . look room wall enclose bathroom big crack middle wallpaper start peel away along whole length crack . bathroom grout mold mildew . tile tub / shower surround sink paint peel . toilet long affixed floor , find sit . look ceiling attrocious ammount black mold . tile surround also warp regroute maybe rupture water pipe . thing do make bathroom look nice new mirror light fixture . walk bathroom look entrance / exit door notice look door pry open , entire frame door deadbolt crack pull away wall . husband thoroughly disgust hotel . 
 Jan 3 2009 	 Good Price Good Location 	 stay Red Roof Inn Dec. 6 - 9 part business training area . several room choose hotel basically price location alone . hotel perfect location . although business , able spend time enjoy location - right Michigan avenue mean many restaurant shop . although inexpensive , hotel perfect we . room clean look like begin update well . room already new flat screen HD tv like home ( nice touch ! ) surprise know book like coffee maker room . one colleague look like renovated room new bedding carpeting . the small negative thing lobby renovate new paint , etc . , care - not stay lobby ! need inexpensive , clean frill hotel choose Red Roof Inn Ontario . 
 Nov 14 2008 	 still stay read ... 	 still stay reading , not bother website . stay Red Roof several time , not great , never bad visit . big trade show . hotel unreasonable . try save money . big mistake ! hot water 3 5 morning . tub not drain 3 5 morning even complain . not clean room make bed one day . soap shampoo night . towel one night . sink fall wall , toilet seat break . Door would not open time . tiny room bathroom . plus , comedy error part maid service . two pleasant staff member entire hotel one night . not know stay nice polite . dive get bad . wonder remodel since 50 's . mtc . guy say go remodel start soon , would not solve cleaning staff problem . half wrong ... 
 Nov 13 2008 	 Ughhhh 	 deplorable condition ever encounter hotel anywhere . room window jammed open , heater not work , hot water , filthy carpet , huge stain comforter look like blood . sleep wear coat ! front desk say could move we another room fully book . say would send someone make repair never . Management say start renovation soon , reserve room hotel unless guarantee renovated room see room first . 
 Nov 4 2008 	 great location 	 Red Roof locate street main shopping shopping stretch , near COACH , jazz bar , short walk Hard Rick cafe , Heaven 7 ( cajun food ) convenience store . room cosy enough , warm do not expect great amenity . service staff friendly , recommend great place visit ... would stay , oh 's close pizza UNO , famous Chicago deep dish pizza .. yummy 
 Oct 20 2008 	 bad hotel ever ! ' m kid ! 	 hotel advertise & quot ; surprising luxury affordable rate & quot ; ! bold lie , one bit luxury hotel . carpet filthy , not take shoe ! one elevator break Chicago fire dept . rescue stick people . elevator stop every floor go . due someone press button happen 3 day straight , day night . front desk notify dozen customer still nothing do . there vomit next one bed upon check - in ! hallway look like dark cell block room small dirty cell ! absolutely disgusting , please , please take advice stay elsewhere ! would stay hotel complimentary ! ! ! 
 Oct 13 2008 	 get pay ! ! 	 would read report hotel kind know expect . central city hotel , right corner ' Mag Mile ' , relatively cheap price not expect kind luxury . Carpet could changed , bathroom clean little tired looking . room smell window would not open . front desk staff helpful direction map - wake call not come . hotel would recommend long stay bearable couple day pick tour right outside door . 
 Oct 12 2008 	 average place good location 	 stay one night Red Roof Inn October 2008 . book room online advance . least expensive option area high expectation . arrive early check , accomodate efficiently front desk . main glitch first room assign still occupy , front desk apologize get another room quickly . room bit ragged . peel paint ceiling bathroom furnishing look bit dirty , think worn . bed okay bit soft . room size big , oddly shape - long narrow . lot amentie , tv work issue mechanical room . front lobby coffee free , try any . the location main reason stay . one block Michigan Ave fairly close lot nightlife restaurant area . overall , need place sleep need frill , . 
 Sep 27 2008 	 Disgusting 	 arrive two night stay hotel 11 September 2008 member coach tour , look forward comfortable room travel across Los Angeles . find ? carpet corridor absolutely filthy , facility hot drink room ( machine lobby certain hour , overall decoration dirty dingy , trouble door lock , air conditioning noisy , could regulate temperature still make noise even switch , socket nearly wall , hair dryer working , ceiling top floor corridor leak quite badly crown toilet fix floor move rock everytime sit it . apart near Magnificent Mile shop hotel absolutely nothing go . fact opion close bad . wish take photograph prove unsavoury hotel . 
 Sep 17 2008 	 Scary Ugly Noisy 	 stay red roof inn one night arrive early hotel reserve full night . it horrible experience , room small , smell weird door lock loose . sister , use iron board hold door shut . would not recommend stay hotel ! bad not cheap ! 
 Sep 16 2008 	 bad value Chicago 	 wow , first time ' ve write review tell bad hotel . 's much hotel dump , 's value . pay nearly $ 250 & quot ; king suite , & quot ; really want spend last minute figure would suck least enjoy nice hotel have typically book . no luck there . this drab , uncomfortable hotel . linen , carpet , furniture , everything bottom barrel wear top . bed uncomfortable room smell funny . toilet clog first night -- think would do even 'd use clip toenail -- never get fix , luckily another toilet room suite . one equally weak use reeeeeeeeeeeally conservatively . count piece toilet paper $ 250 night hotel ? credit , front desk give toothbrush tell forgot . highlight stay . if force spend penny place least get room low floor . 16th , even make stop , elevator take long get darn lobby back almost not want run get cup coffee morning . especially irritated find cup . 
 Sep 1 2008 	 horrible pretty bad 	 hotel locate prime area downtown . , location good . however , notify guest service time air conditioning room avail , give take cover AC unit mess around 15 minute get work . , customer service , especially night , poor . additionally , pay internet , signal got & quot ; poor & quot ; unable actually utilize internet laptop . , customer service help . summary : although location good price decent , would rather pay $ 20 $ 30 stay nice place downtown . 
 Aug 12 2008 	 bad Red Roof ever stay 	 book room Red Roof website , arrive ( even & quot ; confirmation number & quot ; ) people desk could find reservation . still get room rate promise , though . on hand , pleasant experience . room smell like dirty sock place air . , turn a / c full blast unload car downstairs . speak downstairs loading zone , valet parking attendant suggest give car key could move car case police decide tow car since park halfway loading zone halfway . ( quickly figure car dominate loading zone , see take couple smoke break deal problem registration desk . decide would take chance police rather trust guy key . I park across street way lot another hotel . easy get : series one - way street go around couple block get even though short walk Inn . return room , find phone work , several tile miss bathroom wall floor . hallway dingy carpet unclean . elevator slow small , necessary 15 story building . go six floor find ice machine . I ' ve stay many Red Roof Inns different city .. tend & quot ; cookie cutter & quot ; copy : kind boring , least know expect . one . would stay another Red Roof Inn , would avoid one like plague . 
 Aug 8 2008 	 bad experience worth price 	 locate Ontario N.St . Clair- hotel perfect spot walk Navy Pier , Michigan Ave shopping , even cross river . stay , however , good . pipe break hotel day early smell like stale washclothe . room sink clog , mold ceiling , table dirty . much effort switch different room . dingy place , location , worth cheap price pay . 
 Aug 1 2008 	 Red Roof Inn downtown Chicago 	 hotel horrible -- dirty nasty . stay 1 night feel like go get lice bad . carpet filthy hallway room . hair dryer not work , room creepy dirty . sleep fitfully first thing morning find another hotel close $ 40 day 1000 percent nice . never stay another Red Roof Inn . doubt CEO company would let family stay place . shame , good location . 
 Jul 6 2008 	 Recommend stay elsewhere ! 	 positive hotel location . extremely convenient Michigan Ave Mag . mile area . 4 block Red Line ( ESPN Zone , Niketown , etc . ) school trip 40 kid 18 room . expect well , 18 room would think least half would recommendable . just everything bad experience . front desk clerk rude indifferent . hotel safe anywhere . two elevator extremely old slow . Hallways dark , dingy dirty . carpet NASTY . sock black walking floor . room small , outdated . bathroom fall apart . room toilet leak , faucet leak , loose tile , clog showerhead . nightmare . there parking . nothing . Nada . be own . Chicago way big city many option choose place . 
 Jun 22 2008 	 Bottom barrel 	 stay Red Roof direct wedding planner . one must never visit site . distance price seem reasonable area , book room . begin . elevator : one break , way . management really bad sense tell guest cable break . elevator ( still work ) hallway room . dingy . Dark . Carpet dirty , wrinkle tear place . ' m get creep . room : tiny , even NY City standard . need move sideways around bed . room sit chair . battered furniture . thick , accumulate dust month non - desk dresser surface ( ie , furniture dust , horizontal surface ) . attempt renovate bathroom . consist paint ceramic tile tub . might expect , say paint crack peel . after one hellacious night medieval rack bed , grab computer 6AM find well deal lovely place -the Fairfield Inn- literally three door block world quality away , complete free internet breakfast , real shampoo bottle , big bar soap free magazine Chicago ! feel like have check Ritz . overall , Red Roof over - price , depress experience . would advise anyone steer clear . Head Ontario St. half block check Fairfield Inn . 
 Jun 17 2008 	 horrible ! 	 boyfriend attend wedding take place Michigan Avenue weekend May 17th , 2008 . groom wedding advise we Red Roof Inn would perfect since 2 block away wed prime location ( block away Michigan Ave Magnificent Mile ) . follow advise b / c think good deal especially w / the price ... well , certainly get pay ! service receive front desk excellent . even w / how busy , 3 woman work top everything friendly . however , room horrible ! bathroom floor stain brown multiple place smell like dirty foot . try prop bathroom door air smell go since windows bolt shut . do not ' know describe , room plain dirty ! feel gross . also , know information velet parking state take value car , idea possibly b / c velet employee ! figure concerned case car break . arrive Friday afternoon leave Sunday morning . whole time car hotel 's parking garage . far know velet employee one car b / c sign break . quite bit luggage first arrive unable take everything car . leave bag snack / beverage backseat ( drive IA stocked car ride Chicago ) small tin w / change toll . however , get car back Sunday , Red Bull , $ 2.25 quarter $ 1 dime miss car ! feel odd someone would break steal random item car stereo , money change food / beverage leave car . know 's way prove employee seem strange anyone else . 
 Jun 6 2008 	 great location Michigan Avenue shopping 	 Red Roof one small block main shopping street , Michigan Avenue , therefore good number shop . unfortunately 's close subway stop , may find take advantage one many taxi pass hotel . room comfortable , tv , iron / ironboard , hair dryer air conditioner ( although cool function not seem work ) . mini bar , safe coffee make facility , although complimentary coffee lobby . room ensuite look tired , flake paint bathroom , chip bathtub toilet fit close wall cut handle make flush properly ! least generally quite clean . the staff friendly helpful , even send someone fix block sink within 30 minute report ! 
 may 20 2008 	 price location make good place stay 	 visit Chicago Cleveland group friend . stay Red Roof 5/08 - 5/10/2008 . hotel ok . room could use update maybe good scrubbing . corner room wonderful view . group floor . shower clog , call front desk someone room within couple minute fix . staff friendly helpful . good coffee lobby . price hotel make good option not want spend fortune want stay great location . 
 may 19 2008 	 remember ECONOMY Hotel ! ! ! 	 friend book room hotel we share Chicago recent conference . will admit , bit worried reading comment site . pleased hotel , staff , LOCATION , security . hotel luxury resort hotel , search skip . conference attendee , traveler plan spend time room , someone need bed night , pleased . room small sparsely furnish , bed comfortable enough room unpack luggage . bathroom TINY adequate - keep makeup groom stuff closet shelf . room obviously wear dated , clean . staff friendly charming , give guest undivided attention take care need . sometimes line desk bit long , say attention detail . happy wait come back later know would also great service . the ' negative ' think ' pseudo - chino ' free coffee machine lobby often function - not drink stuff anyhow , would throw trench coat nightie morning go across street Starbucks . add plus conference attendee super shopper - post office one block mail home conference material purchase ! 
 May 19 2008 	 would never stay 	 website state recently renovate . carpet stain filthy . room 16th floor ant room . mildew / mold shower . housekeeping make bed , change towel nothing else . talk manager phone say would talk we check morning unavailable . would switch hotel conference town hotel book . hotel great location go . disappointing . 
 May 15 2008 	 impressed ! 	 clean room , tv , microwave , mini fridge , desk , comfy bed , clean bathroom . price location worth stay . hallway narrow ( ) elevator pretty tiny slow , not spend time elevator hallway , room count . 's Trader Joe 's Ontario 3 block - load cheap food / drink save buck . take $ 100 save Red Roof splurge across street Capital Grille . bar Viand also across street cocktail quiet conversation . 
 May 7 2008 	 Great Location 	 return 4 night stay Red Roof Inn , Chicago say location fantastic price . one block Michigan Avenue within easy reach Navy Pier , John Hancock Tower site . as reviewer say room quite small need place rest recuperate enjoy Chicago not think beat place price - pay $ 129.00 per night . bathroom small clean , good shower plenty hot water . we breakfast West Egg - great little cafe around corner hotel . also good evening meal Copperblue restaurant near Navy Pier . all budget think hotel ideal . 
 Apr 28 2008 	 make one night would stay . 	 take group teenager church & quot ; senior trip & quot ; weekend . luckily stay one night hotel enjoy stay . room small bad musty smell . elevator smallest ' ve ever see hold 2 - 3 people luggage . hallway narrow , poorly light , dirty . first day sight - seeing , return room hot . air conditioner run whole time go obvious working . call front desk tell A / C would turn next week . roasted whole night ! good thing hotel location . definitely would stay ! 
 Apr 25 2008 	 great location basic service 	 Red Roof locate heart downtown Chicago , easy walk lake , park , restaurant , shopping . moderately price . basic , really basic . tiny lobby . tiny room . dingy elevator . room key need reprogramme twice one day . want reasonably price place stay middle city , ok choice , expect amenity . 
 Apr 17 2008 	 diamond ruff 	 ( hurry , skip last 2 paragraph ) come Chicago see Widespread Panic . just buddy.i search hotel day day leave could not find anything 200 - 300 $ $ downtown chi-town.we decide get tail chicago see fate lead we . after talk people find see show visit lobbys hotel room - still luck . find one place -travelodge , willing & quot ; squeeze & quot ; we sell establlishment . exicte happy would near venue pull cash ... reality visa commercial hit us - sure see - everything stop guy try use cash symphony everyone use charge card ? anyway - use cash require 250 $ deposit . unheard . blasphemy . mainly do not 250 leave sit front desk next morning . head walk street - stop camera shop kind people let we use phone book make cpl call around see luck way.i remember red roof one afordable hotel notice online previous day , ( afordable without downright scary ) . call call 6 other . reservation say one room leave give local phone # . great - call local # service , latasha marvette - be wonderful . hold room we could get , credit card # . sell we room without deposit . call one time way get stick traffic plead sell room - do not beg marvette say , & quot ; good & quot ; .yes small - we , PERFECT . two tour kid need place crash 200 $ .it clean people inside work stay nice alike . lobby renovate two room do well . coffee machine lobby spin really great taste joe 2 morning need eat - front desk refer Ranaldi 's - good pizza ever . Chicago great due part red roof . check next day thank staff kindness yesterday two employee exclainme , & quot ; be nice ! & quot ; place perfect . 
 Apr 14 2008 	 Small Nice . 	 arrive early Chicago , let check - in anyway . hotel bit small side , king suite plenty room . noisy neighbor , good night sleep . return Chicago , stay . price , $ 119 website , well within budget , talk participant summit , much nice $ 199 & quot ; closet & quot ; ( one member desbcribe room ) other pay Hyatt regency . 
