would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Nov 11 2009 	 pleasant surprise- huge room 	 stay long weekend October . junior suite huge ! completely seperate sitting room . make nice quiet , especially able close bedroom door . little kitchen great well . service good . bark Dog adjoin hotel- breakfast one day . two morning go deli bagel save $ $ . also Dunkin next store make quick cup coffee easy obtain . also really like Murray Hill area . definitely stay . 5 star ? tired one night stay in- want buy move . sell , call desk say movie sell out- certain number room watch movie give time . huge deal want check Public Enemies . 
 Nov 11 2009 	 Average 	 stay Affinia Dumont 5 night October 17th 22nd . book hotel first trip NYC base positive review tripadvisor come away little disappointed . pro : room spacious relatively clean . bed big comfy . small kitchen nice bonus , find especially useful store fresh fruit drink . location fantastic ' beat . ' Duane Reade drug store across road Murray Hill Market couple door hotel , make use stay . ' within walking distance ( quick subway ride ) main tourist site ( 5 min Empire State Building , 15 min Grand Central Terminal , 20 min Times Square ) , far enough away ' stay tourist trap . con : light sleeper , make request , advance , room high floor would good distance away street noise . unfortunately , give room 7th floor , reasonably quiet majority stay , last night noise outside sound like revving engine , last night continue next day . misfortune catch cold day depart London NYC , combine unseasonably freeze cold weather encounter arrival , mean heating room essential . heating begin malfunction third day stay emit cold air . tell wait 20 min sometimes take time hot air circulate . 20 min later problem still persist place another call , someone call fix problem . issue next day informed weather improve ( average October weather ) , heating switch offer small radiator instead . appreciate staff resolve problem inconvenience wait heating fix two evening row , get ready head evening . summary : £ 200 night , Affinia Dumont call good value money , may worth get good deal . , would say Dumont slightly average deserve high praise receive . unlikely book plan return trip next year . 
 Nov 2 2009 	 cherry top cake 	 Affinia Dumont cherry cake . splendid hotel great location . after listen story regard personal security bit apprehensive New York holiday . however arrive Affinia late night immediately put ease . Butchers Dog close decide look around locally something eat . five minute later stand next Empire State Building feel safe house surround host eat place . the hotel staff first class accommodation spacious clean business ! ' main drag keep noise . however short walk away subway within short walking distance Macy 's even Times Square . definitely return see nice people Affinia Dumont.p.s . you re arrive JFK late night bit tired , careful you re rip limo company " special " could end pay upwards $ 150 $ 45 yellow cab ride ! you re inside big black car there s nothing good start holiday . stick public transport , reputable shuttle yellow cab fix price . talk experience ! 
 Nov 2 2009 	 good hotel excellent location 	 return 3 night hotel . pick result read review Trip Advisor disappoint . hotel well position 34th well within easy walk distance 5th Ave , Grand Central Times Sq . despite room look onto 34th quiet night . ' m light sleeper trouble get decent night sleep . facility room use work perfectly , shower good plenty hot water . not use internet can not comment 's speed etc . two queen size bed main bedroom sofa bed lounge daughter think great one two tv ! ! staff helpful courteous , especially doorman day due leave find have book return limo airport wrong day ! ! nothing much trouble get we replacement taxi short notice $ 10 less expected pay ! ! drawback weather , pour middle two day holiday , can not blame hotel . certainly curtail plan trip ! would certainly recommend hotel family trip . 
 Nov 2 2009 	 Nice Hotel 	 wife reservation Marriott upper east side . realize hotel 15 - minute walk nearest subway station , find great deal Affinia Dumont Travelzoo . snag 1 - bedroom half four night stay . lobby nice , location great , room huge NY standard . gym small nice , staff amazing . kitchen nice bonus take advantage daily . would stay heartbeat . take Amtrak NY subway entire time ny , location hotel perfect . 
 Nov 1 2009 	 great base NYC 	 Affinia Dumont great hotel make base New York . location perfect , right next 6 train , brilliant going uptown 5th Ave shop / Central Park / Museums go downtown SoHo , Wall Street Battery Park . staff friendly , although concierge tend bit snooty . room big kitchenette , really handy breakfast / tea etc . Decor bit 90 date , bad . one complaint 27th floor room face side hotel great view . room clean , although get bit dusty window open . charge tea coffee , rude . neighbourhood nice , good bar restaurant , relaxed area . , great place base New York . 
 Oct 30 2009 	 Rip phone call charge 	 business purpose , & amp ; good deal base description read lastminute.com , company book package £ 1000 fly Air France / Delta & amp ; 3 night stay Affinia Dumont . ( flight London New York would normally £ 300 ) ' ve stay various hotel around world , & amp ; Affinia Dumont nothing like 4 - star hotel ( state lastminute.com ) . since know flight arrive late evening , email hotel advance late arrival . however , unable offer standard double room , instead , give room twin bed ? ! general , room good size , provide toiletry Aveda . however , twin bed room stay first night , toilet area stunk , not notify hotel , since late night & amp ; going move another room , room & quot ; one & quot ; bed next day , not want make fuzz ... not time spa , talk lady spa reception , nice , friendly & amp ; patient , explain well facility could use . I make couple phone call room stay , call charge completely unexpected - feel total rip - off . 40 - minute call New York California charge US $ 134.25 ( £ 80 ) personally think unreasonable . the internet free , US $ 13 ( £ 8 ) 24 hour , ok , would expect free internet access 4 - star hotel though . pay £ 200 - ish night stay Affinia Dumont , 3 - star hotel , plus experience , satisfaction . one last thing , hotel would ask would like go airport & quot ; car & quot ; . car would cost yellow taxi , also , please check car / driver properly license / insured safety . ( not go & quot ; car & quot ; taxi driver tell & quot ; car & quot ; ) 
 Oct 29 2009 	 hard press Agree Luxury Hotel 	 ' ve stay Library Casablanca ; luxury . would give 3 star . Stayed Affinia get SUPER deal via Priceline . price right location good . 1.5 block subway equidistant Grand Central Penn Station . the bed good part room - comfy , nice linen . room fairly quiet free hall noise ( 7 room floor ) . room clean , show wear . bathroom light poor . good water pressure , shower temperature constantly change ( without help ) . television would turn . discover unplugged . discover unplugged . turn via remote manual button set . way turn unplug . many channel work ; static . internet connection constantly go , continually reboot browser reset . stay two night - really enough take advantage kitchenette - really see would appeal long stay city . I chance use hotel spa fitness center , available . restaurant bar next door . meal elsewhere due plan . 
 Oct 28 2009 	 Awesome everything ... 	 husband decide go NYC & quot ; mini - moon & quot ; . alot research hotel New York . review hotel great saw price , make decision book even easy . happy book . location amazing ... close walk everything touristy ... Empire State Building , Times Square , Grand Central Terminal , Madison Square Gardens , etc . time take subway ( also close hotel ) go shop Century 21 see Battery Park . like Mexican , try blockhead huge burrito $ 3.00 margarita . brave , try & quot ; re - fill drink & quot ; make margarita shot sangria corona bottle upside , constantly refill cup ! WHOO ... strong ! place busy every night week . also , good NY style pizza , try Pizza 33 around corner . fresh mozzarella good ( bonus : order lrg dinner 2 night put fridge room ) .The staff great ! friendly helpful question . one night , stand talk one doorman ( name escape ) good hour . pretty great story . one thing want mention inquire room upgrade other say , even honeymoon , could not accomadate we . biggie though ... feel get paid not bother all . the room really nice . find furniture quite modern bed super comfortable . kitchen handy come equip everything need : wine corker , wine glass , toaster ( buy bagel Market corner eat breakfast save money ) . not actually cook dinner kitchen everything would need make decent meal . anyway , next time head NYC , would not even bother research hotel . would stay every time go . thank Affinia , making & quot ; mini - moon & quot ; much well ! tips : ) afford , take personal cab hotel . take one shuttle drive around Manhattan 2 hrs drop 7 people 7 location we . b ) neat experience , not take cab back hotel , use guy ride bike pull little buggy . would pay $ 5 cab thought , ah well , be honeymoon , pay $ 15 get ride buggy hotel . honestly , hilarious ... tiny bit scary due way ride bike traffic much fun ... totally worth . 
 Oct 28 2009 	 hotel exceed expectation . 	 wife stay Affinia Dumont week October 2009 . hotel prove even well expect . location good Manhattan 's attraction , room nice clean ; view 32nd floor spectacular staff efficient polite . small kitchen handy make life easy traditional hotel room . attach Barking Dog restaurant offer good food price reasonable New York . complaint relatively minor mixup room - service order , quickly make right . definitely stay Affinia Dumont next stay . 
 Oct 27 2009 	 great hotel great hospitality 	 partner decide take one trip NYC move south . limited budget priceline name price , 4 - star hotel pick hotel . get absolute steal room price pay . hotel decently convenient theatre district , want close . front desk staff friendly , helpful . lobby beautiful well keep . book low grade room , locate 6th floor , view 34th st . decent view , want high floor , tell would pay additional 40 dollar , pass . room still nice . Kitchenette full size fridge stock beer beverage cost way would want drink . wa also mini snack tray nut , candy , also price high eat . nice sized standard television , large variety channel . bathroom nice , clean , lovely ementitie . bed also nice , comfortable , pillow nice well , cheap one sometimes run across . plenty light , room whatever need . room seem old , member state . always welcome back travel NYC . next morning , want information museum helpful . complaint , maids morning noisy . late night , go see broadway show walk around city night , want sleep little later morning . feel like housekeeper yell c arrye outside room , laugh bit inconsiderate guest floor may try sleep , like we . , would definitely stay . 
 Oct 26 2009 	 good NYC trip ever 	 Affinia awesome hotel great part Manhattan , staff friendly accomadating . room , price amazing , 2 full bed small kitchen equip everything would need great week NYC , save money . please check Affinia Dumont , pretentious great neighborhood ! ! 
 Oct 24 2009 	 fantastic location friendly staff 	 spend five night Affinia Dumont find location perfect sightseeing . want visit district Manhattan could easily hotel 's location East 34th Street Lower Midtown ( couple block Empire State Building 15 minute walk Times Square ) . nearest subway couple minute walk serve we well get many area Manhattan ( 10 - 15 minute ride main place Manhattan ) . staff friendly helpful room large clean bed comfortable . great view Chrysler building room 30th floor add bonus . kitchen also useful keep juice breakfast etc microwave not feel like eat night . negative free wifi room hotel charge use internet lobby not computer . however would definitely consider stay . 
 Oct 24 2009 	 Perfect Hotel perfect location ! 	 partner stay Dumont 3 night October thoroughly enjoy stay . staff extremely helpful sorted couple problem room swiftly . room excellent term size centrally locate hotel box room . want space spread purchase place ! Metro block away , Murray Hill Diner fantastic breakfast . 34th St mean main attraction easy walk distance . use Metro times want venture afield . would highly recommend Dumont location , sizeable room friendly helpful staff . definately stay visit NYC . 
 oct 22 2009 	 bit disappointment 	 go trip friend celebrate birthdays . e - mail advance request 2 room close together room view - get neither . 4 floor apart view back another building . also e - mail advance request cupcake friend ( pay ) never appear . receptionist shrug shoulder ask . room ok , location good , walk distance lot attraction , subway , bus etc .. definitely prefer Metro service smile . 
 oct 22 2009 	 fanthastic stay 	 order hotel , husband friend . sleep nice big room kitchen nice view Chrysler Building . spend nice 4 day . room clean , nice , staff helpfull . location - good . 
 oct 22 2009 	 wonderful place stay ! ! ! 	 room 36th floor fabulous view skyline New York City , Chrysler Building right center . weather not cooperate stay , could not ask well accommodation . hotel locate block half subway , not take long go anywhere city . staff friendly helpful . 
 Oct 19 2009 	 great appartment style hotel - practical rather stylish option 	 stay sister five night one bedroom two double bed / sit room / kitchen suite . around £ 250 night , reasonable value lot space comfortable bed . maid service excellent . the communal area not particularly great - lobby lift date , furniture room office like luxury hotel . say , two us great plenty room view great ( 23rd floor ) .The subway close 's nice central . six hospital close , siren go night - take ear plug be light sleeper . all find practical option , trip friend family , be great . couple look something , stylish romantic , would try elsewhere . 
 Oct 18 2009 	 excellent hotel - excellent position 	 tell unless pay lot money hotel New York room small . Affinia Dumont disprove . room large king size bed . amazing view Chrysler Building Hudson River give fairytale view night beautiful sunrise morning . room clean service excellent . within easy walk distance major attraction . bark Dog Cafe next door set we day excellent breakfast . staff friendly helpful . every go back New York definitely staff . 
 Oct 18 2009 	 Super location extremely friendly helpful staff large clean room 	 greet cheery enthusiastic staff make first visit New York feel special . read previous review request room upper floor disappointed view 33rd floor . room large comfortable . studio suite 2 double bed . two teenage daughter ample room we . kitchen area well equip crockery , cutlery , coffee maker pot pan . free coffee tea provide . thing lack kettle . bed extremely comfortable great long day sightseeing . hotel ideally situate although find taxis reasonable want return hotel tired walk . Murray Hill Market couple door along handy provision room . stay 4 night eat breakfast morning different local deli- plenty choose . Dunkin donut Starbucks right next hotel . super hotel although secure good room rate hotels.com 's sale . 
 Oct 15 2009 	 Excellent Location Amazing Views 	 ask high - level floor view Chrysler Building . easy walk distance many attraction well Subway . would consider 3 star hotel . may apartment previously . get good rate unbeatable ! 
 Oct 14 2009 	 absolutely nothing special 	 first time n.ythe hotel 70 ' style hotel overprize . the position great . I miss air coz u can not open window N.Y air condition going kill ya . I like fresh hotel welcome reception hotel not prize be.ok dirty N.Y city . not we . I sorry . 
 Oct 13 2009 	 GREAT LOCATION STAFF 	 second stay Affinia Dumont mainly be location member staff go way help stay comfortable possible . organise car airport well supply whatever neccessary make stay great . room could bit update , spacious kitchen self catering prefer . also bar restaurant downstairs call Barking Dog regular local / character New York amuse anyone bar area . location central many attraction easily accessible other afield . 's ideal hotel family friend stay New York . 
 Oct 12 2009 	 Fantastic Hotel everyone friendly helpful 	 daughter stay Affinia 10 night . everything absolutely fantastic . room great overlook beautiful light NYC , 2 great bedsand great pillow comfortable sleep well , ready day adventure . staff go way assistance everytime re - enter hotel always greet least 3 staff member . concierge put we great tour could not help enough constant question . want cry leave , hotel NY . 
 Oct 11 2009 	 Friendliest staff hotel stay 	 lovely warm welcome reception doorman arrive continue every member staff . never feel home hotel . get fantastic room 36th floor dual aspect view . spacious 2 bed kitchen - not use much thought would , wecould least store cereal first thing morning . good sized fridge store water cooker never need . I ' ve read post kettle , drink maker pop teabag . make 2 time guess might awkward family tea coffee drinker . the bathroom especially nice . clean lovely marble flooring . I like fact room like apartment standard hotel room bed coffee maker . feel homely that . the location quiet Manhatten still need ear - plug sleep . busy , exciting noisy city ! plenty restaurent nearby offer many different cuisine road full indian restaurent . shortish ( 10mins ) walk Union Sq , Empire State ( 4mins ) , Chrysler ( 6mins ) Grand Central Station ( 7mins ) , Subway around corner . free wi - fi would nice surprising not . minor dissapointment we . computer lobby use check - in print boarding pass return flight internet need . would recommend get voucher front desk set time . I never get use gym . walk 6 - 8 mile day enough ! watch sunrise morning east Hudson south towards financial district . as mention post , limousine recommend return JFK base cost . maybe not know standard fair Manhatten JFK , much difference price . defense , dollar , stretch limo worth money . would wholly recommend . pleasent end great trip . if go New York , stay . 
 Oct 11 2009 	 great hotel mother daughter trip 10 13 year old 	 greate one friendliest doorman ' ve ever meet make we feel welcome . first time New York bit overwhelming get Penn Station hotel wonderful treat help we relax start enjoy trip immediately . daughter love bring 2 ipod pillow right away . room perfect . reason give 4 instead 5 star room think kitchen bit understocked . hope normal coffee pot make coffee morning . location locate center manhattan quiet night . comfortable ! 
 Oct 11 2009 	 Affinia Dumont live good review 	 good review Trip advisor website book 8 night September echo ! yes decor bit date everything else way hotel ' ve use New York . 36th floor view bonus , studio suite roomy , little kitchen useful basic bed sooo comfortable long day . helpful staff nearby subway 7 day metro card ensure have plan . definitely one use ! 
 oct 9 2009 	 great stay ! 	 return home 4 - night stay Affinia Dumont . can not say enough good thing hotel . check go smoothly , courteous front desk staff . happy room , small , Studio Suite . room not small -- plenty room solo traveler . king - sized bed , large desk great work chair , comfortable chair ottoman . smallish closet , hold 5 day worth clothe . full kitchen , include full - size fridge small microwave oven . great bathroom marble tile floor , Aveda toiletry , two magnify makeup mirror ( one sink , one shower ) . Loved & quot ; pillow menu & quot ; fitness kit waiting room check . day arrive , receive auto - email Affinia Concierge , allow select special pillow ( go buckwheat ) fitness kit ( e.g. , yoga , strength ) . nice touch ! housekeep great -- room always thoroughly clean . amazing fitness center -- well hotel ' ve ever stay . be also & quot ; manned & quot ; 10 p.m. , really appeal female , solo business traveler . 's nice spa well , full - menu spa treatment . my one complaint hotel -- fee internet use . . . fact 's wireless ! ( maybe ) get fee . . . day age , high - speed wireless access ? bring ethernet cable -- long one like work laptop bed ! : ) one good thing hotel location . twenty - four hour drug store across street , anything may need . nice deli corner . walk 3rd Avenue ' ve get ton restaurant choose . not bother Barking Dog , restaurant attach . completely mediocre ( read review restaurant be interested , http : //www.tripadvisor.com / ShowUserReviews - g60763 - d942813 - r45945256 - barking_dog - New_York_City_New_York.html ) . believe provide room service hotel , keep mind . I definitely return Affinia Dumont recommend confidence . 
 oct 9 2009 	 third stay ; even well ! 	 third time ' ve stay hotel year . return fourth stay , base great location , amazing view , spacious room helpful staff . arrive late dute delay flight tell room give away . problem hotel kindly offer we two large room price one small room ! view room incredible ran / walk Central Park , Time Square Grand Central Station . love hotel return soon ! 
 oct 9 2009 	 Excellent 	 partner stay high room view Crysler Building 4 night 18th September , nothing bad say hotel . room like apartment ; complete personal fitness room full gym equipment sauna . kitchen useful stock utensil need , lounge comfortable sofa tv excellent variety channel choose , bed extremely comfortable , bathroom nice , service receive staff excellent overall hotel good central location . honestly could not ask anything ! yes agree lobby look tad outdate , greet smile face doorman , reception staff concierge somehow pale significance . sit lobby NY doorstep , lovely room retire ( foot give walking ! ! ) anyway ? ! one tip traveller visit NY , ( book hotel politely request high floor view Crysler building - 's pretty Empire State ) , bring comfortable shoe likely walk around - lot ! nothing location hotel , ' l New York much see . 
 oct 8 2009 	 Wonderful Hotel -- - Great Neighborhood ! ! ! 	 highly recommend hotel be look stay close enough Times Square ( nice walk ) yet far enough away crowd . restaurant around area good feel safe walk around late evening . room large , clean enjoyed view . go back without hesitation ! ! 
 Oct 8 2009 	 Great Atmosphere 	 great hotel retreat long day walk street New York . comfy cozy . kitchen not want spend lot money eat whole time . staff knowledgeable helpful . restaurant attach hotel & quot ; Barking Dog & quot ; good food . husband eat breakfast dinner really enjoy get . 
 Oct 8 2009 	 amazing ! 	 husband 9 11 year old child stay week celebrate birthday . wow ! great view , comfy bed , nice kitchen , reasonable price . would HIGHLY recommend ! ! ! 
 oct 2 2009 	 nickel dim 	 stay year whenever come NYC . room kitchen . three day September blow away see sign next coffee tea bag : $ 1.00 coffee bag ( make one cup ) $ .50 tea bag . cheap PETTY SMALL GET ? next will charge clean sheet towel clean room . will look new hotel go next time . 
 oct 1 2009 	 nice Clean Cozy Hotel 	 book via travelocity eight month advance get great deal five night . check late flight staff accomodate . loved little cozy room 3rd floor corner large window side . want stay high location perfect ; view back old building , mind since reflect old ny . room clean , bed nice , Jr Suite desk comfortable chair . ask ottoman foot deliver one immediately . small kitchen perfect snack cooking breakfast . Murray Hill deli & amp ; pharmacy street stock . would pack essential item come back save money , pharmacy nearby expensive anything convienient usually ; deli nearby fabulous quick food . fresh fruit every corner restaurant everywhere . small cozy restaurant connect hotel ( Barking Dog ) , perfect dinner first night since arrive tired . great patio eat ouside . grill shrimp salad great along scallop . small pizza one night good . cozy spot drop drink , also grab coffee morning . hit Spa first morning chill stressful flight . get Amy neck head massage . great ! spa relaxing . one negative hotel : not reserve car front desk . specifically ask Town Car take we somewhere special one day , driver meet we SUV ; needless say luxury model , rough . get door - man get we Town Car go airport . Stick door - guy , top . staff otherwise nice . love location -- great place stay return . 
 Sep 29 2009 	 Great Location 	 stay Affinia 10 day September lengthy business trip excellent purpose : room lot closet space , great kitchen . room perfectly nice nothing special , carpeting could use little refurbishing , decor totally acceptable . staff nice , good thing location ideal . lot delis place eat neighborhood , well , convenient . use room service , however -- food seriously mediocre will eat well pizza joint street . seriously , be NYC , excuse room service food terrible . con : room service , WIFI -- ethernet connection -- internet free . ridiculous point time , NYC , hotel design business traveler . 
 Sep 28 2009 	 Comfort design ! 	 husband spend 3 night hotel 6th 9th September . overall experience good . pro : star hotel room . spacious , compare NY hotel . clean room bathroom , good quality toiletry . major plus room come kitchenette ( large fridge , cooker , plate , cutlery , saucepans ) . tv come multiple channel , will spoilt choice . use room service quite efficient tasty ! . location also good . ' 5 20 min walk major landmark site . room overlook Empire state building . beautiful sight night ! entire hotel design comfort guest heart ! con : little minus hotel lobby . urgently need upgrade . 
 Sep 27 2009 	 New York first time 	 New York first time wih family ( 2 young child ) . ' ve choose hotel use TripAdvisor site , say exactly expect . main reason view room , marvelous . get corner room ( Junior suite ) 24th floor , skyline several building ( Chrisler build first ) window , Hudson river other . the room little bit renew , large enough 4 person , good kitchenette everything need quick meal case need , usual family travel kid . bad , lobby small , really important travel holiday , whereas travel business , use pass time lobby , use laptop , etc . 
 Sep 24 2009 	 Great Location ... need renovation . 	 find Affinia actually default almost every hotel ny book . mere night not realize many thing happen NY week . scout Trip adviser usual favorite Kimpton , W , Royalton , NY palace ... seem nothing available Murry Hill love stay . come across Affinia , hmmm sound like groovy boutique hotel exact location want be . our room ready 3 bellman kind hard decide start afternoon . bathroom lobby level scary dark corner behind steel door . upon first appearance bathroom wonder get . filthy , smelly hotel use lobby facility . ok , return later one bedroom suite . ask view really not get one definitely well NY hotel view . room nice size .. kind odd , kind dark , also kind charming . furniture extremely comfortable desk set awesome also wear need repair . bedroom really nice great closet space . great bed pillow . bathroom extremely tiny little matter . room smell artificial chemical make sneeze bad part room . kitchen perfect keep bar supply misc . food snack . ton good deli store right next door block ... anything could possibly desire great pricing . great beer wine right near , lot organic supply too . go great wine / cheese bistro & quot ; Artisianal & quot ; 2 Park Ave . block away amazing time wonderful wine . the work facility floor 2 nice little dirty . sweat equipment glass towel lie around really nice set lot window not feel like cave . oasis spa fantastic therapist good price NY.All happy stay . 600.00 night tho , really think room hallway little polished . seem like hotel high price week even good can not complain . probably would look first choice would give another try point thing book price right . 
 Sep 23 2009 	 Great Hotel Great Location 	 second stay Affinia Dumont year disappoint . arrive early morning overnight flight west coast request high room allow check early get room 34th floor fabulous view Chrysler Building . the room spacious , neat everything expect . bed comfortable bathroom clean . some thing note : room small kitchen convenient even do not plan cook . store soft drink , water fruit time room . internet access cost $ 13.95 per 24 hour period . location fantastic . feel residential touristy great restaurant nearby . 34 bus run right outside door two block subway line 6.I plan stay next trip NYC highly recommend hotel anyone look boutique hotel Manhattan great location . 
