super 	 Sanderson one cool hotel London , great design / cool bar . must go would say .... 
 amazing hotel 	 beautiful place , like 's sister hotel St Martin 's Lane , hip , trendy noisy ! Perfect 's sort thing be look , . lovely food well . 
 Oct 13 2009 	 Sanderson London Incredible . 	 incredibly stylish entrance , bar cathedral pool table chic innovative choice detail pay guest suite , Sanderson London far one comfortable , convenient hip property encounter travel . staff friendly dedicated service - step black cab greet name , room ready take luggage send spa 2nd floor . room service within 20 minute generally , in - suite bar selection would expect Morgans Group ( Generous quantity & quot ; Top Shelf & quot ; Liquors Beers , Wines aperitif ) . one tiny complaint Exclusive Hotel Guests Bar - & quot ; Purple Bar & quot ; , not carry Jack Daniels , be simply fancy enough ! stay London 26 night , not take long Sanderson become home away home . say ' m homesick Sanderson ! Bottom Line - 's great destination will not disappoint - Business & amp ; pleasure combine . 
 Oct 13 2009 	 certain idea Perfection 	 second stay Sanderson time everything perfect begin end ( since last stay , room maybe little bit & quot ; tired & quot ; new LCD screen definitely great touch , concept still refresh Staff absolutely perfect friendly begin end - except concierge allow we make picture lobby ) . usually come severall times london ( week time , leisue pupose ) usually let apartment middle SOHO . last stay sanderson nice , maybe , next time could plan stay ( even though would expensive & quot ; option & quot ; ) .The concept hotel still perfect really & quot ; urban retreat & quot ; . contrast public area room refresh real place unwind . turn service candel lighten room modify take great part sensation . the locastion convenient quiet . whe chance upgrade ( former client hotel ) great touch . moreover , breakfast include rate absoulutely perfect . hesitate try . cold part luxurious ( real fresh fruit , luxury jam , absolutely amazing pastry ) hot part completly fit requirement ( order everything want , even term cooking ) .this night Sanderson last night holiday perfect allow we forget end ! 
 oct 8 2009 	 Amazing experience - one Best Properties ' ve ever stay 	 time Sanderson short . moment step foot property , treat like royalty , experience last moment leave . I book one night Sanderson via Morgans Hotel Group website , mainly huge fan property . ' ve always enjoy Mondrian Los Angeles , Clift San Francisco , think since would London , would check another . hotel rate could qualified & quot ; budget , & quot ; certainly much less expensive choice like four Seasons , Berkeley , Mandarin Oriental . book standard room , plan wonderful stay solo traveler . I arrive Sanderson foot , take tube Oxford Circus station . short walk station hotel ( maybe 10 minute total ) , populate shopping area ( chance ever feel like walking & quot ; shady & quot ; neighborhood night ) . upon walk hotel , feel like another world . furniture incredibly unique fun , would certainly consider lobby & quot ; minimalist , & quot ; everything work well together . since arrive around 12:00pm , inform room available yet ( check - in time 3:00pm , property world ) , apologize inconvenience . give young lady mobile number , check bag hotel , go little shopping . employee Sanderson quickly learn name , upon return hotel hour later use restroom , greet first name whenever walk past someone already meet . around 1:30pm receive phone call say room ready . go back check - in desk , young lady apologize wait ( apology necessary mind , 3 hour early check - in anyway ) . inform upgrade & quot ; loft & quot ; room , beyond word describe . another employee come bag , introduce , help room . elevator unique hotel include sort & quot ; outer space & quot ; vibe , still maintain antique London quality . room first floor , short walk elevator . hallway , dark , private unique , room number label light ground ( nice change typical number door ) .upon enter room , blow away . huge bed sort & quot ; sleigh & quot ; frame , hardwood floor , curtain instead wall ( control button wall instead pull curtain around ) , gorgeous shower bathtub lounging . behind bed functional desk , two nightstand include complimentary bottle water fun fact hotel . I decide inquire Agua Spa hall whether massage appointment would available , pleasantly surprised could schedule one within two hour . cost around 75GBP , consider reasonable high - end property ( usually would pay much , since short vacation , think would splurge ) . take advantage steam room , calm room , delicious flavor water heading massage . say , massage ' ve life , favorite . rush , masseuse friendly engaging , know exactly focus attention . certainly would return spa . after dinner , decide take advantage Purple Room Longbar hotel offer . Purple Room guest - only & quot ; lounge & quot ; drink serve . name check list register guest door , dark , yet fun room await . two guest enter ( space huge , large enough probably hold 40 50 guest ) , friendly waitress recommend nice beverage try . expect , beverage delicious , cheap standard , find reasonably price . since solo traveler , waitress engage fun conversation , never feel like lonely space ( guest Purple Room couple , much chance meet solo traveler ) . inform Purple Room open 3am , nice treat case market late - night drink snack . afterwards , decide visit Longbar , see atmosphere . Longbar ridiculously long ( would guess 80 foot ) bar fun furniture exciting music . crowded Thursday night , able easily get one bartender ' attention order beverage . like Purple Room , find Longbar full couple business group ; come across solo traveler . would necessarily recommend anyone look meet someone new , would fun conversation other , fun atmosphere . also outdoor lounge ( cover huge canopy ) could enjoy , well restaurant hotel hear delicious , though try myself . even night progress , hotel employee address name always courteous , could please . return first floor room ( could hear music room , even though could see outdoor patio Longbar window ) , little work . everything room functional easy use , room incredibly spacious . check - out simple process , take advantage breakfast hotel room service , feel food would delicious ( base hear guest ) .The Sanderson truly gorgeous property fun , friendly , engage staff , must - see visit London look high - end property without go overboard price . comment difficulty use Wifi ( require go front desk request physical username / password ) , wish would simple log room charge directly . repeat guest complain room need renovation property almost ten year old , though since first stay , find everything look fresh new , least bit tired design time leave . highly recommend . 
 oct 1 2009 	 2nd wedding Anniversary Stay 	 book Sanderson one special package call Suka package - give double room £ 100 credit Suka restaurant £ 270 ( exclude vat ) second wedding anniversary celebration . first impression location - close oxford street - well position quiet enough seem though near bustle . outside hotel look like shabby old tower block inside opinion quickly change - cool lobby area lady reception helpful professional . room ready say would call - promise . room stylish - light corridor get eye use dark space enter room BAM flood light white style fitting . add feeling . we eat restaurant - would not rush back - pricey get eye money look back dish heavily overprice actually . say tasty enough . say do nice evening meal couple drink long bar start liven time finish meal . do not breakfast major thing £ 25 per person hotel breakfast - wife hate call want can not handle ! ! ! ! ! ! go round corner bacon roll croissant tea coffee , plus nice morning stroll sample delight tramp morning bin scavenging breakfast . Sad see . all nice hotel experience look back would much rather stay £ 100 hotel spend £ 200 really good night out . enjoy somewhere dream go back ! hope help . 
 Sep 16 2009 	 Cool ! 	 oh god ' m hip ! doubt pure Euro chicness trendiness Morgan 's Group property . like slick happen place need ; equip couple bar , purple pool table lobby modern aesthetic happen restaurant place go distance . the room curtain lover dream wall door might traditionally light translucent curtain . bed comfortable paint english country side humorous touch . shower good pressure fixture moment . wash basin mirror however oddly place , make shaving bit challenge ever be . we breakfast Room Service twice rather standard . important thing time , hot . the concierge professional though wish steer we away York & amp ; Albany Hotel support guest guide . the area hotel locate pretty lively within walk distance many shop theater well Underground stop . a couple side note bar get loud roomed court yard hear crowd music midnight ; gentleman check we inform we hand not bother . visit Purple bar small lounge couple drink head dinner . order Brooklyn ( Manhattan make Sazerac ) beverage good get bit surprise eat cherry ; pit inside ! bartender concerned explain awesome use fresh cherry prepare liquor not really see problem cherry pit expect . hate sound like tool would liked warn . anyway going stay Morgan 's Group Hotel London , Sanderson pick St. Martin 's Lane . 
 Aug 29 2009 	 Mixed Feelings 	 initial apprehension approach time stay Sanderson heighten arrive entrance hotel directly Heathrow 12 hour flight , nothing signify hotel entrance , porter doorman welcome we , least , help we luggage . 6.30pm . finally , struggle luggage practically kick front door open , meet ... nothing .... funky designer furniture piece ... smart - look bar right front desk leave . determined put , first holiday husband together , approach front desk . perhaps experience Asian 5 star hotel colour opinion ' ve always feel notwithstanding decor hotel , funky , cool avant garde may , friendliness / sincerity reception / front desk staff priority . . adequate reception . enough say . thing start look young bellhop lead we strangely incongruous lift darken scene space , Final Frontier ... , apologise help us luggage assist another batch guest . sincerity warmth contrast initial reception . the room door open directly bathroom dress area lovely freestande bathtub leave glass - wall water closet & amp ; shower cubicle end . white sink bowl sit atop orange venetian glass vanity mirror float slightly side suspend ceiling . filmy white curtain form & quot ; door & quot ; glass shelve hang space right fluorescent uplit floor ( presumably designer shoe would look cool ! ) . bellhop carefully go in out room , stress gently opaque curtain behind transparent curtain serve block bathroom bedroom purpose modesty , since wall bathroom transparent . curtain work touch conveniently place button . ample storage space find behind white cupboard along length wall window , expect amenity soap , robe , hairdryer umbrella artfully place frosted plastic box directly glass shelving dressing area . however , despite promise would return extra luggage rack we , bellhop see till check 4 day later . the silver white leather bed position angle room directly ceiling silver frame landscape painting . grey pashmina provide white duvet silver & amp ; glass writing desk set behind bed 's headboard . white spanish shawl drape white office chair , presumably use . silver bedside table , another white chair , silver chair wing tall mirror make extra furnishing - slightly eclectic functional . together upgrade come treadmill ( however , country , know clothe horse ) management thoughtfully provide we bottle mineral water , bottle wine daily newspaper . slipper , though , survive . adjustable airconditioning godsend London , good day well day . need engage service hotel staff , instance , check - in , porter service check ( remind twice , please note response & quot ; oop , forgot & quot ; impressive one ) , concierge service leave gift collect 2 day later go missing several visit call ensue , will say enjoy stay . service really nothing write home hotel brag coolness . cool hotel one manage serve guest 's one thing earth put . staff , exception porter , doorman couple housekeeping staff , seem feel job act cool . all , new experience , ' ve never stop entrance hotel ask whether stay although make sense remember Friday night Sanderson house one & quot ; cool - er & quot ; bar London , sundry try get . bouncer doorman , novel idea ! Purple Bar also legend right admit hotel guest . never try malaysian restaurant call Suka , arrive ... Malaysia ; ' m sorry comment regard , sample outlet take full advantage fact hotel less minute ' walk Oxford St , Regent St , Bond St etc . wonderful side street , nook cranny . ( eg tall doorman first morning , kindly direct we sweet italian coffeeshop round corner . ) think time little bit maintenance work do fitting furnishing although complaint see comment regard room rate reflect upkeep hotel / room . enjoy old world traditional style decor , hotel . 
 Aug 25 2009 	 do not even think dine Suka business dinner ! ! 	 hi , city lawyer bring colleague Sanderson hotel , Suka restaurant , yesterday . think write let know experience . decor place lovely experience end . food awful service . get table twice / three time get someone assist us - something really want business dinner . order second champagne cocktail arrive 45 minute finally walk restaurant ( sit outside ) call waiter . food standard - lamb leathery ' m sure teh waiter notice leave . duck taste smoke duck packet put fire grill roti chanai taste make age ago heat microwave . skewer beef cold . call malaysian food absolute apology disgrace . not want complain time business colleague finally want get . even get table get bill ! ! get hotel ask black cab tell black cab infrequent offer mini cab refuse ( two girl do not want take mini cab ) . finally walk find cab meet unpleasant element . Asia de Cuba stay Hudson NY great experience ... do not think ever want bring business colleague Sanderson certainly never food service ! review pass management would great - might help next unsuspecting person go meal ! ! 
 Jul 28 2009 	 outdate tired noisy 	 hotel cool 2002 way past prime . bathroom water damage , 1990 's treadmill room , spa space lack privacy . overall , decor really tired also well keep up . we stay Saturday night flight next morning . discover music Long Bar really loud 1:30 . ' m usually bother kind thing , hilarious - loud base shake room , 4th floor ! ask move , available room courtyard , room courtyard equally loud . also & quot ; quaint & quot ; ( aka outdated ) film delivery service . dvd player order film menu . sound fun , look selection film , 's . many great place London , skip . visit Long Bar drink , not stay . 
 Jul 23 2009 	 overprice 	 's great location whole thing look trendy Michael Douglas sort way . much , decide stay night . first glance , room impressive , white waftiness clinical design . sort net curtain meet damian Hirst . anyway , two dot blood sheet . complain ( mention feedback ) time have discover ' scene crime ' , would already unpacked . could not get tv work call room service , come fairly quickly . air conditioning rage night could not turn . not really like toilet bedroom . seperate frosted glass wall still see partner silouette , romantic . be suceptible stage fright , pee front partner , good stay elsewhere . far , able laugh killer come next morning remain shred romance swiftly despatch . soon breakfast deliver , someone knock door say finish ? 5 minute later , man hostess trolley ask we would like buy alcohol ( 10.30am ) , knock breakfast dish . feel like shout , & quot ; ok , get point , want we leave & quot ; . two drink bill come £ 400 . price , have rather blood free , quiet room toilet not end bed . call old fashioned , know . 
 Jun 28 2009 	 chic funky central - love 	 stay wife weekend . bit unsure whether would one overly fussy place everyone want tip everything hang around like nasty whiff . thankfully , none . like ' we be need us' . the hotel fantastic look walk . trendy . lift 's cool dark space theme music play . staff nice . professional far approachable stuffy type get upmarket hotel around Park Lane area . the Suka restaurant great . food sheer bliss . word note though , will need bring wallet . think main meal sort thing become apparent meal ' tapas ' style -and 3 dish recommend . view , need 3 dish , be either extremely hungry , issue eat . food beautiful tapas range £ 12 whop £ 20 - ish single tapas style plate . if get 3 dish , be look c. £ 45 - £ 60 main course dish ( es ) .The drink also pricey . c. £ 10 glass wine . £ 5 bottle water . £ 4.50 OJ . four we eat ( dessert two soft drink ) expect bill come £ 150 . come £ 300 two drink soft drink , work quite lot . thankfully , food good . overall , great hotel . yes 's pricey hey , be stay one nice hotel London 's unlke hotel will ever stay ( positve way ) . know be let . walk hotel feeling like Lister , let us face , will stay hotel first place . would bit like buy Bentley complain drink much juice . re room , funky theme continue . nothing like hotel ' ve stay 's good thing . superior room great . not know standard room like realirt , be probably bit small side 1 , need room sleep 2 , rest hotel make . want treat , would highly recommend hotel . would defintely return . thank staff make lovely weekend . 
 Jun 11 2009 	 decor substance 	 night hotel really excite reading review look info receive . book delux double double accord website swan chair city view price expect pamper lol . first shock breakfast be not include £ 25 per head could not afford get top dinner etc . big shock room . 126 certainly do not city view horrid view air conditioning fire escape people smoke look room ! ! ! ! ! ! - keep blind close keep privacy stark room take locked feel . swan chairs sofa grubby could good deep clean aswell rug . one tell we anything hotel look , reception bar lovely likewise terrace . can not help feel knew room do not get service pay guest would got . expect treat like queen feel like someone stay jazzed travel lodge . perhaps diner bed breakfast would different story . cinderella certainly do not get go ball real shame could never afford go hotel like feel cheat 
 May 23 2009 	 fantastic stay 	 come back 1 night stay Loft balcony suite highly recommend modern , chic hotel right middle need London . fabulous room , great service reception bar staff bellboy . return ! ! ! thank . 
 may 22 2009 	 tatty style substance 	 disapointing . room good look dirty . there even speck blood lady lobby toliet . we cound , check 15.00 leave 12.00 alot money even 24hrs . have two room book last year cound , even get floor .For real service , style hotel calirber stay langham 
 May 13 2009 	 feel cool 	 like staying - modern design triumph everywhere look . service friendly competent . location central . stay room 129 wifi neighboring building , avoid pay annoying 15 pound charge internet - yay ! one thing not like gym positively arctic blasting air conditioner ! young co - worker ( 24 yrs ) definitely enchant , suspect place hit twenty something . 
 May 9 2009 	 not quite meet expectation 	 stay one night , recommendation friend . location excellent shopping , easy access underground car park , etc . not know quite expect , room feel bit stark . would probably ok people ( white wall , picture ceiling ) , not feel comfortable . bathroom behind curtain toilet glass box much we ! - ok ' m sure , lose we ! not try food , bar definately fun . ' ve stay Soho Hotel time , next time be London return , feel much comforftable , love little extra touch . 
 May 7 2009 	 tired tatty overprice 	 partner spend one night hotel romantic anniversary break - really choose wrong hotel . although photo web make look funky stylish , bedroom simply former office large bed middle . yes bed comfortable , bath shower fine , thin , metal venetian blind window , one painting - ceiling - white net curtain seperate sleep area bathroom , really romance . reason old , cheap , grey pashmina throw bed - reason know part room something leave behind previous guest , change room first one horrible smell . tea coffee make facility - 's expensive room service cup tea . need use bathroom night , one light switch turn light , thus wake partner . bedside light , stumble dark find switch ! room hotel corridor look tired bit tatty - maybe due refurbishmentthe chair famous Purple Bar size 5 year old sit school - comfortable ! breakfast great , long wait . save grace wonderful staff - really friendly helpful . 
 May 5 2009 	 Disappointing .... 	 really look forward visit Sanderson although not rate highly trip advisor assume ' out ' different average visitor . yes , trendy bar great vibe . yes , decor first arrive quite stunning completely different hotel ' ve ever stay quite refreshing . room ( deluxe king ) minimalist quite refreshing simplicity . not quite hit spot quality furnishing look closely quite poor ( low lighting hide imperfection ! ) . price pay room , would expect face flannel would not ? ? yes , light candle ( tealight ) turndown . ... ! foolishly assume quality hotel would provide bottled water room . - charge £ 10 bottle water . coffee / tea make facility room - doubt hoping go downstairs one cost £ 4 ...... stay good hotel world not mind pay good service surrounding somehow feel bit cheat . really want love . really really want ! come away feel like want get much money we possible ! mis - information payment front leave bit sour taste ..... positive note , hotel locate great position central london concierge great . go Long Bar cocktail night , would stay Sanderson - lot hotel make feel special not feel . 
 Apr 15 2009 	 good outstanding - shame .... 	 Interior design great , typical Stark , & quot ; space lift & quot ; super cool . service range cool ( verge ice cold ) reception welcome , bar manager deal complaint extremely well ..... room rate be not cheap ( expect ) , everything charge extra , include £ 5.95 shirt iron , £ 3 room delivery charge room service , gratuity add everything ( unfortunately normal London nowadays ) , £ 20 charge hotel driver take us restaurant etc ..... bit irritating , I ve never charge similar hotel I ve stay - , that s pay stay 5 star hotel , benefit comfort , service amenity . book Deluxe room bit disappointing price ( quite often case Morgans Group hotel find ) , complain receive upgrade Loft , comfortable . overall , enjoy , glad try , although want love , personally , unlikely would stay . 
 Apr 13 2009 	 Trendy Chic Hotel ! 	 go hotel 23rd birthday amazing ! ! arrive park outside say do not put old office block look hotel soon get door WOW ! ! reception swing random chair work . desk friendly check quick . then make way lift amazing ( will not spoil anyone ) ! everyone else point room white ...... mini bar great full normal stuff . tv music system movie 's music playlist great forgot bring ipod put docking station choose pop example would play song style . the Long Bar downstairs lovely bar staff helpful do not mind help drink choice . food good small bar snack . Saturday night bar get busy one coolest hang out London preare spot celeb get busy 6 pm onwards . everything hote li love definately return ! ! ! like something bit diffrent understand hotel look traitional do not come ! ! overall 10/10 round , good enough Paris Hilton , Orlando Bloom Leona Lewis say ....... 
 Mar 18 2009 	 Ultra hype hotel 	 minimalist trendy , Sanderson great anyone like kind hype hotel . location : berner street minute walk Oxford Regent street . Perfect . great minimalist lobby original sofas chair . on right lobby bar , much crowded saturday night , quite empty sunday evening . good music ambiance . breakfast good lot choice . the room huge , incredible design : white curtain everywhere ( even separate bathroom room ) , comfortable bed paint ceiling ( never see ! ) .service good ' ve ask . the Sanderson really cool hotel , like traditionnal luxury hotel , understand people might like hotel . I certainly return , even rate quite expensive . 
 Mar 16 2009 	 Beautiful Hotel Fantastic Location 	 husband return another fantastic stay Sanderson Hotel . stay back 2001 shortly open extremely imnpresse everything hotel offer extremely pleased absolutely nothing change year . service faultless , especially conciege / doorman always polite friendly ( particularly one gentleman welcome we hotel arrival help we taxi 4 day later leave remember exactly return ... impressive memory ) ! ! room spotlessly clean tidy lovely touch ( light candle evening turn service ) . shower amazing bed extremely comfortable ) ! fan Phillipe Starcks work great walk reception area stop look piece ! plus , elevator probably funkiest ever see ! hesitate stay ( especially gauranteed upgrade next time stay , thank apology experience group disrespectful guest decide shout scream corridor ridiculous time morning . upgrade necessary , hotel fault , kind gesture none less ) . 
 Mar 14 2009 	 fantastic concierge overall great hotel 	 three night stay Sanderson August 2008 . hotel conveniently locate near Oxford Street Theatre District . Liked design love breakfast ( although ' quite expensive ' include room rate ) , good part probably excellent concierge service . highly recommend , would hesitate return . 
 Mar 1 2009 	 would never stay recommend Sanderson ! 	 book Sanderson suprise partner birthday , indulge booked romance package set back 800 2 night expect damn good service money ! concierge fantastic , manage organise cake beforehand ready us night request . reception even offer help luggage room , dissapointe .. onto bad bit ... room , find use shaving kit drawer ( cover hair ! ! ) disgust hole bed sheet .. real icing cake someone come room , .. twice bath ! ! ! ! speak front desk downstairs assure would investigate let know happen , later day receive call duty manager explain porter come room mistake go room next door bring luggage guest . return inconvience offer we free soft drink bar find insulting ! complain sanderson departure since offer another night stay , least could .. let us hope next stay well first ! 
 Mar 1 2009 	 great service room little tired 	 Yep 's achingly hip staff would expect top notch hotel - friendly well - inform . let standard room - bed linen towel feel like have wash sandpaper consistency , amount silky white curtain disguise fact 's clearly convert office block . hotel need revamp really justify price charge . well option price bracket elsewhere . 
 Jan 23 2009 	 bragging right ahoy 	 stay suite . modern , lot glass minimalist line use . floor ceiling window , welcome bouquet evening munchie . Yada , yada . when come late one evening , ton hoochie front door , try get hotel bar . doorman see we immediately part crowd . sweet ! yes , suppose 's bragging right . ' ve certainly stay much well hotel , London experience . 
 Jan 17 2009 	 style substance 	 vote hip hotel UK 2008 , quietly excite visit gently disappoint experience . hotel nothing look outside , great interior design , buzz atmosphere . room different normal corporate hotel , comfortable , well thought - out nice touch . bar , restaurant lounge area great fun sit , watch see . shame therefore let shallow , dis - interested borderline incompetent staff . over - aggressive security staff entrance , vain vacuous reception staff , interested trendy look rather provide 5 star service , awful . diamond amongst rubbish Purple Bar staff , discrete professional time . 
 Jan 4 2009 	 Loved Sanderson 	 Chic hotel right heart Soho . modern trendy , staff pleasant helpful . standard double room spacious tastefully decorate . Loved super comfy bed sleek bathroom ( especially Korres toiletry ) . room service tasty though slightly pricey . two cool bar main floor ; especially like funky Purple Bar endless list yummy martini . location beat ... much prefer Sanderson sister hotel , St. Martin 's Lane ; happy room definitely service Sanderson . my complaint paper - thin wall . could hear nearly everything go room next time ... 
 Nov 12 2008 	 Satisfaction guarantee 	 centrally location , great service , good interior food . 
 Nov 7 2008 	 great spot location 	 stay sanderson hotel november live toit expectation . look forward day break london want hotel central live expectation . sanderson exactly . oxford circus tube 5mins walk away leicester square 5 - 10 min walk location could not well . room well finish funky cool calm design . staff friendly helpful available anytime need . beware cost room servise . £ 24 2cups coffee 2 scone . def recommend hotel though I d stay sure 
 Oct 9 2008 	 blast room funky make 	 Sanderson offer interesting makeover 1960 's hotel , element Hotel W attempt ultra cool . lobby enormous feature out - there furniture bit confront business traveller , wait ! . enter lift blast space tin milky way around . landing floor plunge cavernous darkness illuminate room number floor foot door . ( imagine stumble around dark pissed ) . room quite large , white lofty wispy electric curtain separate washroom bedroom . spacious light London large window mention natural light . great alternative stomach experience get room want close Oxford Street . 
