beautiful 	 Mayfair Hotel stunning - great location , clean tidy uber trendy . barely week go without photo one celebrity another see go come popular hotel . therefore , expect alot hotel . we arrive later day , reception relatively quiet , however gentleman behind desk surly , moody not look remotely bother attend we approach desk . make eye contact we whatsoever not even greet we . after give we room key walk away without tell we room , get etc .... least expect ask we want newspaper morning , need help luggage ( large suitcase ) , disappoint whole demeanour could not believe 5 star hotel checking . however , get room delight . large , clean , king size bed marble bathroom , make rude reception staff . however , 8 am follow morning , woken knock door ! housekeeping staff want make room ! 8 am ! could not believe , especially go relax weekend catch sleep . I shock later day return hotel 4 pm discover room not make , despite housekeep eager 8 am ! confront front desk , surprise surprise shrugged shoulder not really see problem . breakfast bar first morning restaurant busy . staff polite attentive , however still wait 40 minute breakfast , order la carte breakfast menu , feel wa long , especially bowl porridge order . all say , hotel alot excellent quality . bar fantastic always lively atmosphere matter time day . the spa outstanding food Amba grill delicious ( would recommend cod ! ) .It also one clean hotel ever stay in . when book room , ask one not overlook front hotel keep awake night people leave various bar / nightclub area . 
 Nov 2 2009 	 Contemporary Comfortable Convenient . 	 stay one night big , comfy , bed . Nice Bathroom . good Breakfast buffet , hot food cook order . 
 Oct 29 2009 	 highly recommend 	 outstanding hotel ... clean , great service location . particular concierge staff member attentive , accessible knowledgable . 
 Oct 26 2009 	 Terrible HotelWorst service 	 choose hotel position good report see Trip Advisor unfortunately terrible experience . though friend book 2 normal room upgrade promise due big avaibility hotel . instead upgrade arrival despite Silver card Gold Point plus show check in . at 4 pm , one two room ready , luggage stand 20 minute alone lobby , 15 minute give 350 room ( one bad small ) . room small noisy night ( 3 floor front Nobu club restaurant ) .They not clean day forgot use make ROOM botton , 8.30pm late . the last day ask late check 3 pm one room leave luggage use bathroom ask 20 GBP our . finally , 3 lift , always busy , often key card not work . man work say always happen . forget look luxury enjoy hotel wonderful city 
 Oct 24 2009 	 great hotel perfect location 	 wife return two night break May Fair Hotel , London . it minute walk Green Park tube station , good sized bedroom ( stay deluxe room terrace ) , lovely restaurant ( Mel B , ie ex Spice Girl , next table ! ) two good bar . would definitely stay next London . 
 oct 22 2009 	 Manners word know May Fair ! 	 want stay hotel many year finally get chance . look website enquire room price . understand book twin deluxe ( could see superior twin ) call reservation directly . tell person phone wish tell need twin room ( would visit father ) . tell price would £ 722.20 . double Deluxe would cost £ 488 ask steep difference price two people would stay room ( eg like double fact want twin room ) tell rudely abruptly , quote & quot ; well can not afford price state interested staying type hotel & quot ; phone put I . I extreamly upset comment . way ignorant angry towards member staff ( whose name remember shocked time ) expect speak way . stay Radisson hotel never trouble extreamly upset . want stay hotel well let Hotel see bank balance first not seem want & quot ; & quot ; people use hotel . 
 Oct 18 2009 	 good hotel celebrity spot 	 decent hotel central London . room include iPod dock spacious . view windows windows room hotel . they provide room service breakfast additional cost . 
 Oct 18 2009 	 great hotel location affordable center London 	 close underground conveniently locate central part London . hotel ammenitie great - staff friendly . 
 Oct 17 2009 	 fantastic experience - shame Paparazzi ! 	 friend travel London birthday weekend treat book room Mayfair really want stay various reason . occasion contact hotel arrive due previous nasty experience payment another Radisson hotel want ensure everything run smoothly - run smoothly ! room beautiful - friend quite blow away ! everything perfect . staff lovely could not enough help fantastic experience stay ! little niggle though - really complaint niggle thing . book room Mayfair website clearly state title ( female ) Miss . however seem somewhere along line revert Mr - I m clearly Mr no - one correct - sort website glitch ? do not mind refer Ms I m Mrs do not want use assert female status ! also , request arrival arrival mini bar lock do not want amount cost room vat charge card due previous experience - hence fact go nowhere near mini bar still 2 random charge £ 3 mini - bar appear bill ! however say reception efficient remove upon check report I m curious know end first place .... also know I m first person say doubt will not last . well aware would likely paparazzi - previous run - in Paparazzi elsewhere little unnerved walk crowd get front door ! however overall fantastic experience - feel like Queen sit gorgeous bed eat birthday cake drinking pink champagne : - ) book Valentine 's Day partner 's 39th birthday February hope good experience ! 
 Oct 16 2009 	 Fantastic hotel ! 	 shopping / theatre trip 19 year old daughter stay 2 night deluxe room . hotel ideally locate within ten minute walk distance Regent Street , Bond Street , 15 minute walk away Oxford Street . room clean , contemporary great size . hotel bar absolutely buzz atmosphere , breakfast Amba Bar & amp ; Grill excellent . order room service late night , arrive promptly good . ' m sorry not get chance eat dinner lunch restaurant . staff helpful polite definately return ! 
 Oct 15 2009 	 beware : glitter gold ! 	 think check pucker hotel London . reception / check staff adequate - unhelpful particularly helpful either . room large , clean nice enough . Sunday morning room service turn request 7.30am . two coffee polystyrene cup shove unkempt man limit english . put foot door tell must pay coffee ! ! 5 star hotel ! ! take slightly unawares ( foolishly expect man waiter uniform small tray coffee pot ) , give note say good change . want give big tip guess . eventually , return change also receipt already include 12.5 % service charge ! disgraceful . female bathrobe time day , not feel comfortable confronting guy . complain Raddisson hear nothing back . impressive . this hotel adequate - 's certainly ' special ' would wary room service need outside 9 - 5 monday friday . stay many good hotel around world never encounter this . just record , coffee disgusting not drink anyway ! 
 Oct 13 2009 	 Luxury 5 star Hotel noisy 	 want bring attention quite unpleasant experience last stay Mayfair . first let tell first time chance stay May Fair , use come London regularly basis want treat girlfriend weekend choose Mayfair oasis peace luxury right heart London , previous experience really positive say last stay perception dramatically change . on Saturday night 1:00 3:00 bunch completely " high " people loudly party next room well 4th floor corridor making sleep simply impossible . invite turn volume rudely back , ask reception send someone calm unfortunately party go late our . the bottom line we completely insomniac night imagine cause we great inconvenience distress weekend . strongly believe 5 star Hotel guarantee cost peace , tranquillity comfort guest . totally unacceptable bunch reveller could take possession entire wing Hotel one take action restore order . I hope take feedback constructively despite negative experience might stay May Fair near future 
 Oct 12 2009 	 Hats May Fair remarkably marvellous Afternoon Tea 	 May Fair several time . impressed quality service decide organise afternoon tea business meet 32 people . although arrive hour early venue , staff helpful make we comfortable Amba Bar . great cocktail great wine list . afternoon tea amazingly delicious . one colleague fast day time eat , staff bring date , soup bread . thoughtful , attentive staff great service good value money . I would like thank staff restaurant general manager hotel . I strongly recommend place everyone want stay and/or organise business meeting , conference ; quality service , perfect location quality food disappoint all . hat ! 
 Oct 6 2009 	 HAPPENING stylish FRIENDLY 	 visit May Fair year . main reason go be happen hub heart ( surprise ! ) Mayfair , central London 's good neighbourhood . hotel venue London Fashion Week attest ' cool ' property . the bar lively great buzz night week , well soundproof room . my partied hotel ! function gathering always great fun , seemingly meticulously plan cocktail food innovative , tasty readily available . one formal charity banquet downstairs - orchestral organisation perspective - many lively party . genuinely , not recall leave disappointed . as room , well ... guess pay money take choice . indulgent delight stay infamous penthouse . would great idea proposal weekend ( rotate bed less ! ) corporate hospitality ( terrace ! ) . party not splash kind money . modest rate . hear suite individually design , think attraction talent . my partner take client May Fair business room say bent backwards , pretty much sum look penthouse . case , say food original plentiful . Amber , hotel restaurant , seem get well every time visit . last Friday delicious meal . disappointment previosuly , last Friday flawless . would never choose hotel restaurant - certainly London - one respectable . for , be always staff define five star hotel 's hotel excel . hotel attention either unwanted , over - familiar obsequious one hand ; snooty , unwelcome formal . may Fair crack . people warm , genuine helpful without intrusive . way , doubt draw star . and point ... paparazzo worth salt also tell 's place spot famous face . loaf sofas reception evening watch Bentleys come go flash flash experience . 
 Oct 5 2009 	 Anniversary Weekend ` ` Proposed Girlfriend '' 	 travel London Friday morning arrive Mayfair , greet pleasent staff make partner feel welcome moment arrive reception . arrive room , get beautiful room luggage arrive even friendly staff . I arrange propose girlfriend mentioning staff ask need help ask feel nervous great calm thing make opinion hotel even well . travel London least 5 6 time year fantastic weekend mayfair definatley stay hotel mow on . my girlfriend say yes make even perfect . 
 oct 1 2009 	 way exceed expectation 	 May Fair Hotel locate great spot right picadilly near every mode transportation , staff would envious hotel . arrive hour early make sure get room ready we within 30 minute check . host Fashion Week completely flood people request . never ignore always attend every customer need regardless . I doubt reason stay anywhere else London , family alone . 
 oct 1 2009 	 Penthouse Suite Business Networking Event 	 participate business event Penthouse Suite . ambiance lay - out venue conducive circulate engage participant . venue staff do great job create feel intimacy catering effect elegant non - intrusive manner – top mark staff training attitude , would happy recommend excellent venue social / business event . 
 Sep 29 2009 	 May fair badbut expect ... 	 partner stay mayfair friday saturday morning celebrate birthday . the room comfortable feel picture website look lot well find slightly misleading . facility excellent one hiccup partner guy deliver morning paper hastily rang bell open bedroom door without wait answer ! lucky decent , leave dampener stay would expect well standard top hotel sort . the decor whole hotel excellent .reception staff seem stress quite snappy checkout . bar staff service average could friendly . probably would not stay leisure due point would consider stop business central london future . 
 Sep 29 2009 	 fantastic hotel perfect place enjoy London 	 stay May Fair number time yet disappointed . staff always friendly polite go business highly professional way . odd occasion something not right rectify immediately without question . experience start moment approach hotel , reception onto room , beautifully furnish appoint . eat dinner restaurant great evening friend fine food wine . mayfair bar fantastic place enjoy night opportunity play celebrity spotting ! highly recommend hotel . 
 Sep 27 2009 	 comfortable experience 	 husband book we night ( Friday ) birthday dinner Nobu across road 's location fantastic ! ! ! Mayfair real Star Spotters Paradise ! ! ! ! ! ! reception grand spacious beautifully clean elegant . enter room new crisp decorate high spec ( even remote control posh ! ! ! ) strange thing bed centre could bit put , although forget laid soooooooooooo comfy ! ! ! ! ! bathroom little small awkward shut door get sink nicely decorate clean . we complementry phone call see room , nice ask ice tell we ring room service think 5 star rating say would send us - small thing . also price not include breakfast think hotel include . the bar evening great people watch spot ' entertainment ' include Mutton dress lamb man decide one go ! ! ! ! ! ! ! brilliant watch ! ! ! ! ! great place cocktail great excuse dress nine fun evening . all fantastic stay ! 
 Sep 21 2009 	 good hotel ever stay 	 hotel fabulous . staff could helpful help we book restaurant , give we info generally make we feel welcome . room great size , comfortable bed ever sleep ! bathroom fit movie star - monsoon shower tv watch bath ! breakfast fantastic- juice , smoothie , fruit , yoghurt , cereal , pastry , toast , full English etc etc etc . not eat week afterwards ! wonderful hotel - would return blink eye . 
 Sep 21 2009 	 great space networking event 	 attend networking event penthouse suite . well intimate atmosphere typical venue , staff friendly helpful . mulptiple room use , decorate well , make get around people easy . 
 Sep 21 2009 	 thank fantastic meeting 	 want thank everybody May Fair 's Meeting & amp ; event team – personally , behalf partner client - amazing hard work company 's workshop . everything perfect , perfect – Mirella 's fantastic pre - meeting organisation ( patience last minute request ) , Janice ' constant assistance ( room freshener furniture rearrangement headache pill , matter second – save day ! ) , Stephen ' presence every break ( receive compliment presentation , quality originality refreshment ) . meeting suit fantastic . you make we feel special , put we ease could difficult session we . positive mood create reflect successfully workshop ' outcome : surround happy people , smile throughout day . finally , suggestion complete session Amba Bar , great table reserve us - completely unexpected - great way finish day – grateful . thank magic day , look forward host another event May Fair near future . 
 Sep 20 2009 	 lovely hotel friendly staff great atmosphere 	 really enjoyable stay Mayfair , find staff helpful friendly hotet great location real buzz . downside stay breakfast second day extremely busy , buffet replenish service poor . overall really enjoyable stay would definetly use Mayfair next trip London . 
 Sep 20 2009 	 great hotel exceptional breakfast 	 stay May Fair mid week , staff friendly helpful , room comfortable , food Bar excellent . breakfast buffet exceptional great variety fresh fruit nut well usual . location second none shopping , art gallery transport link . would definately stay . 
 Sep 18 2009 	 back 	 say never good first time , case think might well . again , treat like royalty moment arrive . reception staff lovely , smily seemd genuinly pleased see we . know stayed ask enjoy previous stay , even ask family . ( stay we previously ) escort room room dissapoint . , General Manger personally write we note hope would enjoy stay leave gorgeous fresh fruit we . we plan dinner china town go insist another Moito fab May fair bar . good remember . love bar Friday night buzzy full beautiful people . want weekend take away reality may fair hotel . 's fun glamourous staff make feel like million dollar . can not wait go back . 
 Sep 18 2009 	 luxurious set superb staff delicious champagne high tea ! 	 thoroughly enjoyable time Mayfair Hotel . party +30 people high tea Amba bar grill , portion extremely generous beautifully present . 
 Sep 18 2009 	 sober accomodation heart London . 	 ' ve spend 20 night May Fair last couple year perform flawless service every time . the May Fair bar definitively place , extremely luxury fine sober touch within style service . might spot celeb bar across street Nobu ... breakfast buffet Ambar Grill fantastic , selection fruit berry much appreciate one prefer full english breakfast sure available together fine french pastry . location perfect ; close business partner leisure activity Hyde Park , Piccadilly , fine shopping etc .. 
 Sep 17 2009 	 great Location quite five star 	 stay wife celebrate 50th birthday , hotel great location . check friday night go Mayfair bar cocktail eat , bit confusion table book settle people watch . place buzz lively especially pap outside Nobu . order seafood platter share £ 22 excellent value , cocktail fantastic . Sarah barmaid could helpful friendly . room reasonable size , clean , quiet night , negative . complimentary bottled water , biscuit even chocolate pillow would expect five star hotel . big dissapointment coffee , Nescafe instant five star hotel ? acceptable , would expect coffee machine ; latte , cappucino french press . recently stay three star kimberley hotel Harrogate undergo £ 5 million re - fit . room superb , free bottle wine , complimentary slipper , chocholate , bottled water , coffee press coffee , free teddy bear £ 90 night ! . honest think Kimberley deserve five star status May Fair . breakfast good pleanty choice . arrange meet family Saturday cocktails bar area , stepson forget belt go desk see spare belt chance , do not one staff ( Joao Carlos Vuygvein ) proceed rempove personal belt loan ! great sewrvice . Unfortuneatly son forgot return nigh promise post back next day special delivery , hope get ok , thank Joao . Sunday breakfast good , check hassle free . overall great location let little extras room . would stay ? yes . 
 Sep 16 2009 	 good location quite 5 star 	 Overall , stay May Fair definitely enjoyable . area fantastic , upscale still walk distance & quot ; tourist & quot ; area downtown London . also , Green Park metro stop literally around corner . the room somewhat small bathroom literally right main bedroom area somewhat transluscent door ... exactly ideal situation romantic holiday . would much prefer bathroom area bit separate sleeping area . nevertheless , hotel bar nice . sure people talk regard alleged hooker ... not see anything like . yes , scantily clothe woman 's exactly uncommon posh hotel bar directly across street good club area . also , find service adequate . , ' m sure would rate hotel 5 - star still nice place disappoint . 
 Sep 14 2009 	 bad good . 	 second stay May Fair last . be particularly bad , think find well price . room vary much size arrangement never know get . also get bit noisy full . b list celebrity end show last night well Nobu party penthouse everyone pretty much catered instead pay guest . many paparazzi outside bar window one could enjoy . penthouse party go well 1 am music reverberate whole 8th floor - it Tuesday night . husband friend ( also stay recommendation ) go casino one night say extremely snooty decide fun enough give cash . afterwards , bar , ( include wife ) proposition prostitute boss . Classy . flip side , fairly clean , modern hotel . good service receive porter name Simon . exceptionally helpful . location fantastic restaurant , park , tube sight within walking distance . , basically , like modern hotel , not mind noise be b list celeb , will love place . ' m go Blakes next time . 
 Sep 14 2009 	 Posh Hotel noisy ... 	 double bedded room 7th floor ( 754 ) corner room nice big . good : - comfy bed , big white fluffy towel , air conditioning , breakfast ( make sure pay inclusive rate english breakfast , cost £ 22.50pp do not ) . excellent location walk theatre Shaftesbury Ave . walk Green Park Buckingham Palace . walk back Victoria Station . buy Oyster Card £ 10 ( plus £ 3 refundable deposit ) use twice . what good : - slippery bath ( mat ) , useless pillow , biccie tea / coffee tray , slide wardrobe door flimsy keep stick , Bang & amp ; Olufson tv basic sound terrible Radio 2 . want go sleep radio timer , picture big & quot ; HOTEL RADIO & quot ; sign screen - bright ! bad : - windows triple glaze brochure say ... 7th floor could hear traffic night horn . also noisy party goer come club , pub , discos . peaceful night 's sleep weekend . we know 5 star hotel not mind pay £ 189pp 2 night b & amp ; b Superbreaks , hindsight , next time stay London , choose small b & amp ; b & quot ; quiet & quot ; road half price . 
 Sep 13 2009 	 great location poor service noisy room 	 stay hotel business , month , every time disappoint . service awful , staff attitude not friendly , except bar . wait everything breakfast , clearly understaffed . buffet not replenish come late , not expect much . time ask tea / coffee not come table offer . quite shocking 5 star hotel . regard room , different type never manage restful sleep . face street , hear music nightclub people gather outside , plus car , ambulance etc ... stay inside , inside noise wake . mean staff , bang service door time , hoover room 7 am etc ... hear people corridor , especially part corridor tile instead carpet . room blind small window frame , therefore room get really bright morning . view mostly bad , face ventilation duct , escape stair brick wall . change room every single time stay . much vary size quite nice . soap / shampoo come dispenser attach wall , unaccetable 5 star hotel . the good thing hotel location , be unfortunately . they improve customer service . choice , would never stay ! ! 
 Sep 13 2009 	 fabulous hotel gorgeous room delight visit 	 come network event recently Penthouse Suite absolutely amazing set evening . particularly impressed balcony bathroom amazing bath ' ve ever see . also delicious food bring around lovely staff . I impress May Fair general would totally recommend . 
 Sep 11 2009 	 Stylish Friendly 	 attend networking event Mayfair recently hold stunning Penthouse Suite . staff friendly , helpful attentive food great good King Prawns ' ve ever taste . I not know normal guest room like rest hotel must high standard . downside visit see Peaches Geldof ! ! ; -p 
 Sep 10 2009 	 comfort style withexcellent service 	 gorgeous penthouse room splendid view city . decoration trendy , yet warm comfortable . the friendly smile staff always happy help work lot care think . 
 Sep 10 2009 	 Excellent Service 	 attend networking event hotel recently extremely impressed quality friendliness staff . food also good hotel ambiance really help make event complete success . would happy recommend hotel anyone look style & amp ; substance ! 
 Sep 10 2009 	 Penthouse Suite - Business Networking Event 	 lucky enough attend event penthouse suite . stunning . 
 Sep 8 2009 	 nice trendy hotel avoid room overlook Berekeley Street 	 ' ve stay May Fair several time 's mostly ok . first good : great location , nice bar restaurant great service . room good B & amp ; television free Wi - Fi . the bad : room overlook Berkeley Street ridiculously noisy night midnight 4 am . stay June specifically ask one room , give one anyway . four year old tow not complain next day . get small room ok , absolutely quiet enough . at checkout , assistant manager give £ 20 bill insist room rate different . rubbish complete contrast excellent staff restaurant bar . other time ' ve stay wedding apart noisy room fine ( weekend rate pretty good ) . 
 Sep 8 2009 	 Ultimate 5 Start experience 	 moment walk know hotel experience go excellent one . website clearly give justice style ambience real statement ! make feel like VIP soon check , staff attentive nothing problem . arrive room theme continue attention detail ( KIng Deluxe Room ) superb B & amp ; tv , Ipod Doc , comfortable Bed quality fixture fitting . feel like King ! albeit one night . May Fair bar great place take atmosphere Hotel , real buzz ! ! hungry Amber Restaurant would suggest try 're venture . 
 Sep 7 2009 	 great location good bar fine room 	 first : be look quit business hotel not bother look May Fair . last year hotel become celebrity hot spot therefore hotel buzzin ' . location central , piccadilly close shop park . deluxe room ( 621 ) large London standard fit nice kingsize bed . bathroom separete shower , nice spacious . staff overall friendly , doormen helpfull keep photographer and fan outside ... nice trendy bar great food ( take bento box two ) nice wine glass ( try Villa Maria Sauv Blanc , good sauv buck imho ) . skip hotelbreakfast try place neighborhood ( try napket snob food , great ! ) 
 Sep 5 2009 	 delightful stay 	 stay mayfair hotel enjoy every bit , great hotel , modern furniture , clean , lovely staff , good locationThe room spacious clean , furniture new chic , staff helpful friendlyi would totally recommend hotel anyone go london 
 Sep 4 2009 	 lovely hotel great location ... expensive ! 	 Judgeing Paperazzi camp outside , lot celebs stay ! ar not upgrade May Fair another hotel , dissapointe . perhaps struggle little true five star , overall pleasant stay locate 100 mtre Green Park tube staion give good access great London . our room , 350 , face side street noisy around 2.00 . light sleeper anyway . casual mention waitress breakfast ( formal english ... delicious ! ) , within minute approach duty manager see wish allocate another room . that s impressive . 
 Aug 23 2009 	 30th birthday 	 partner book Mayfair part surprise weekend break celebrate 30th birthday . check effecient new renovation hotel stunning ( stay former Radisson Edwardian Mayfair look old date ) . check staff kindly upgrade we suite birthday . room not immediately available give complimentary drink bar whilst wait . suite spectacular decor size . would certainly recommend hotel special occassion 's budget hotel worth every penny excellent service decor receive . 
 Aug 22 2009 	 4 Stars Max 	 check eight night stay review fresh . check - in seamless great . room not ready offer spa shower freshen . arrive room , large room type especially room London . deluxe room category . featured walk - in closet hich quite large suprisingly two sink bathroom . absolutely view , brick wall well not matter we much . later night , receive chocolate cover strawberry one bottle water ( two wouldv ' e make sense ) . regardless , nice touch . here problem start begin . first , hallway smell terrible soon get elevator . smell like indian restaurant yes multiple floor . room right next service entrance not think go big problem . hallway also 90 percent cover carpet however room part 10 percent tile outside room instead carpet . , hear 230am-7am everyday service door slam people roll luggage loudly tile . give two night experiment work we long . move room without see new room . new room half size ! say sell night move we morning . next day look two room one ( room 356 ) absolutely fantastic . good room far ! thing missing view not care will great . quiet large . encounter problem room point flaw hotel . tv turn 11 pm call say oh must something wrong send someone . someone came say oh be right work maintenence go home tomorrow ( five star hotel always maintenence hand 24 hour day ! ) make sure call next day still come fix . also , find call multiple time request slow forgetful . addition , idea gilchrist soames bathroom product HORRIBLE . can not move bottle pump direction would convenient . affix wall . also personal amenity q - tip slipper . thing standard five star hotel . the May Fair Bar hand make good drink ever try ! baffle bar close 1am weekend 10pm week ! make sense . also freeeeeze cold bring jacket . vibe wierd despite great drink . conservative say feel like bunch escort prostitute kid girlfriend watch man meet hire date . quite odd . also , try find car service Kelly Executive hotel arrange . the car average come dirty old bodystyle ( old e class compare new 2010 e class ) . window dirt car seriously lack car wash . make example hire great car service call Havering Carriage Company offer new e class price . , would stay may fair , yes would . location unrivaled however , need tighten act customer service amenity . take care , hotel would deserve five star rank . 
 Aug 21 2009 	 Disappointing . five star service quality . 	 stay Eurobonus point , may account certain aspect experience . generally speak , hotel disappointing . first , check front desk . every exchange require wait , least five minute . staff unintelligent , question whether speak understand sufficiently fluent English . second , room . two room , adjoining . one , television light function . call wait , someone come correct situation . release room ? clean manager ? generally , room large clean , although bit scruffy around edge . must say , however , never five star without personal amenity . large squeeeze bottle , even Gilchrist Soames , do not . continental breakfast weak , little selection poor service ( take three request get staff person bring bowl ) . location excellent , every hotel Mayfair Mayfair . conclusion , do not spend money hotel . numerous infinitely superior competitor right around corner . literally . 
 Aug 21 2009 	 wonderful experience 	 take holiday home end May Fair . staff absolutely brilliant , room excellent location perfect . hotel seclude quiet . perfect weekend & quot ; home & quot ; restaurant bit stiff staff friendly really need . 
