pleasantly 	 stay attend ATP Tennis Finals O2 Arena . book hotel economy practical reason near dig leave o2 late night . after book ...... turn Trip Advisor ( ! ! ! way suppose work ... read review book ! ! ) half review hate place half satisifie .We pleasantly suprise , expect bad hotel well locate safe , front staff polite helpfull . room basic definately clean ... especially bathroom . will use . 
 Aug 11 2009 	 great value fantastic location friendly staff back ! ! 	 stay travelodge year ago rebooke summer 6 night . after read review site wonder happen hotel since last stay worried go find . we hear relative least three car windscreen smash stay January think cancel altogether however , find hotel even double pay . £ 29 per night room ( two three child ) £ 6.75 per Adult breakfast pre book . child eat free . request two room next high floor exactly get . it true get certain extent pay . hotel tired round edge . carpet could replace use toilet ground floor foisty sort smell review mention . however , Floor 4 fine . room spacious clean . fault could find two chew gum type stain carpet one room pleasant show lack respect guest treat accomodation ! fan room pleasant surprise . the staff good work could fault service receive . friendly helpful . request extra towel pillow get . replace room daily basis . towel smell fresh sheet change regularly . room clean well tea / coffee etc restock . Breakfast Hilton far good travelodge . hotel extremely busy everything always available food wise ; time queue seat short wait clean mugs/ plate etc service always perfect despite stress cope lot hungry customer . dinner two night ok money . the car park seem man 24 hour attendant extremely helpful . incident aware feel extremely safe area . five minute stroll East India DLR perhaps twenty minute either Towergate Bank . for money hotel beat would like say thank staff great stay . back soon . 
 Jul 27 2009 	 average travelodge . 	 large travelodge seemingly endless room corridoor check good room ( family size ) large clean . there s big restaurant bar downstairs.big compaire travelodge I ve stay like standard hotel restaurant TL . car parking cost £ 5 per 24hrs get car pass easy staff hand help.you tend always know get TL different one I ve stay . 
 Jul 14 2009 	 ok stay lot road noise use quiet location . 	 Normal Travelodge Offering , room fine clean . close Docklands Light Railway . only point worth raise could understand Security Guard buzz get secure park , take 3 attempt understand say . next busy road , noisy use sound busy city , even window close . overall though , complain price . 
 Jul 2 2009 	 first last stay Travelodge 	 bed sag shower black mould sealant curtain . crumbs carpets window greasy hand mark . sofa room smell tobacco staff unwilling accept problem . manager completely useless , blindly defend hotel clear problem . would equate behaviour someone titanic insist sink everything absolutely fine . the redeem aspect breakfast although expensive ' all eat ' buffet type . however family work cheap buy breakfast item supermarket instead . to top issue & quot ; penalty charge notice & quot ; parking company . illegal also totally unenforceable . Travelodge lose custom forever must incredibly financially desperate rely issue customer fake illegal parking ' fine ' order secure extra income . 
 Jun 21 2009 	 need improvement 	 easy get use DLR , great price hotel payphone , cashpoint , towel smell stale , bathroom smell dampness . prepare ` O2 there s nothing eat get back late nothing surround area get anything , breakfast slow fill food tray . may sound like I m moan simple thing like teaspoon can not find breakfast offer tea n coffee ! ! ! staff friendly helpfull . overall great time fussy go fot . 
 Jun 14 2009 	 far nice Travelodge ' ve ever stay ! 	 stay one night go concert 02 . really great position 02 need cross river either tube case , Jubilee line , free boat provide DLR , port short walking distance hotel . as hotel , impressed . staff friendly helpful ; room good size clean bathroom ; shower good powerful ( be nothing hate bad shower hotel ! ) ; lovely able breakfast travelodge buffet good price , particularly eat ! parking good always bonus London hotel ! £ 5 24 hour . would definitely stay next visit 02 ! 
 Jun 14 2009 	 great hotel - especially O2 	 back weekend London . Stayed Travelodge Docklands close O2 arena . hotel fantastic price pay . room basic clean good size . staff always accomodate ; first key not open door sort straight away give extra towle request . bar good , food basic trick . pay 7.50 breakfast okay doi not know would get go back . hotel also close East India train stop get centre London quite far away . O2 's spot ! 
 Jun 11 2009 	 good value money 	 Slight queue check enough staff hand cope . first door card not work quickly rectify . room tidy , small side easily adequate overnight stay . 10 minute drive O2 , rush hour give half hour least . adequate parking , nice bar evening . gripe would poor breakfast . poor selection high quality . 
 Jun 9 2009 	 basic - good access O2 parking 's 	 go conference O2 - need somewhere close reasonable parking . Travelodge look ok TripAdvisor book 3 night need . arrive 12:00 tell early check - in could investigate 12:00 , guarantee , would cost GBP10 extra available . place not full , could well room available , horrible woman front desk totally unhelpful . once , find room clean incredibly basic , basically nothing could not nail . parking fine , respect , barely acceptable . 
 Jun 9 2009 	 Bargain stay 	 5th stay travelodge say tin , cheap clean accommodation good transport link . we avoid lodge weekend something O2 . noise horrendous night . we ground floor worryingly walk corridor behind reception smell dampness , also evident last stay corridor . time carpet dry . room ready arrival 3 pm , wait check . room clean scuff mark wall . tv remote miss bulb shower room . report way , receive remote bulb be not replace , disappointing , light bulb afterall . the one thing really annoy lodge good bar open limited hour . 's something like 5 pm 11 pm Monday Thursday open till midnight believe Friday Saturday . place busy people wait outside reception would not make sense open bar , people sit may even make additional £ £ £ ! ! go show west end , early possible time get back lodge 11.15pm , get can not alcoholic drink . lodge be not really near bar convenient drink , bring thing back drink head back lodge . 
 may 20 2009 	 would not go 	 arrive late ( 10 pm ) absolutely shatter 4 half hour drive pull back cover find rip sheet well pleased late thought would no - one change cover pillow night ( rip right head ) . next morning go reception ask sheet change , look like manager side reception desk we advise reception staff although have one night change never put rip , go day return 10 pm find sheet change , annoyed told would do despite time go reception complain . result ? ! give sheet put bed , work travelodge ! ! specific cleaner another member staff change sheet ! ! first night towel follow day one towel remove share towel , mile reception 3 floor time wait lift walk mile corridor ( phone ) queue reception desk could day request another towel . final day wipe face ' cleanly ' provide hand towel discover cover bright pink lipstick least think lipstick , ' m sure not tell disgusted make feel . overall awful stay cleaner obviously not give damn . plus location , price be not far centre dlr tube . 
 Apr 28 2009 	 Typical Travelodge 	 engineering work Jubilee line Easter weekend , stay Docklands Travelodge would much less tiring . Travelodge blame , time take central London without Jubilee line become annoying . otherwise , staff utmost keep client happy , room spacious enough clean . restaurant serve basic cheap food . con : staff seem struggle cope breakfast , plate could cleaner sometimes , noise road nuisance window open . otherwise another pleasant stay yet another Travelodge . 
 Apr 14 2009 	 ok ( ISH ! ) 	 Good Points - easy get London via DLR East India 2 minute walk away . can park £ 5 night good value LondonOutside Congestion ZonesBad Points - Rooms smell badly toilet . get use first return room always smell like somebody toilet ! horrible shower mouldy shower curtain stick whilst shower . water go freeze cold boiling hot ! people hair hang wall tile bathroom ! carpet rather disgusting , especially main coridoor coridoor SMELL AWFUL ! Noisey outside due plane overhead kind generator go day nightFor £ 19 room can not complain would not pay anymore . apparently hotel ' do ' ... do not look smell like ! 
 Apr 5 2009 	 good hotel 	 stay one night go O2 . quite long wait check , staff pleasant apoligetic . one towel room quickly remedied reception staff . problem parking DLR short walk away . room small basic ideal overnight stay . would use hotel visit london . 
 Apr 3 2009 	 great o2 	 great value money hotel , room clean comfortable , good shower ! ideal o2 arena . very helpful staff , additional room item readily available , plenty reasonably price parking ( £ 5 24hrs resident ) . good breakfast plenty choice nowhere else nearby eat . only improvement would cash point hotel maybe extend bar time shut time return o2 would ' ve nice night cap ! ! thank alot , recommend . 
 Mar 22 2009 	 OK 	 check take forever ..... room adequate breakfast . good location , close public transportation . probably would choose give choice . 
 Mar 22 2009 	 Aufweidersein Pets Day 	 stay London whilst work excel exhibition . not impressed . assume many people attend nearby exhibition do not need worry customer satisfaction , however recessionary time think . corridor painting whilst fume awful , much awake really bad throat . cast aufweidersein pet greet 8 am painting room oppposite loudly poss . reception bother certainly would stay last resort future 
 Mar 16 2009 	 Bargain ! ! 	 stay four night £ 29 per night think bargain , take 20 min Central London DLR may bit far bad quite good service . the hotel undergo refurbisment may cause bit disturbance work go day probably would not notice it . the breakfast okay , nice breakfast room attentive staff , although scramble egg akin rubber . if arrive tube / DLR East India station , little signage late night deserted make sure cross footbridge ( signpost Town Hall ) , go stair past bus park look like security gate , see travelodge right hand side . I would happily stay give cost , even full price never seem go £ 55 London bargain . 
 Mar 11 2009 	 Cheap Chearful 	 Stayed time money ( get hotel £ 19 night book far enough ahead ) , can not go far wrong . decor room little tired , clean . room facility include tea coffee en suite . family room worth extra space cost extra . restaurant good quality , pricey , bar whilst open till late serve bottle drink around £ 3 . DLR east india station 4 minute walk away take direct bank station . look somewhere stay whilst shop take show , will not go far wrong , park available site £ 5 per 24hrs . 
 Mar 9 2009 	 gr8 location 4 th o2 - typical travelodge value 	 typical travelodge.so close o2.good value money.and yummy breakfast too.what one say . 
 Feb 24 2009 	 Great O2 	 Stayed go O2 Arena . look everywhere get good deal somewhere close . last year stay Holiday Inn hotel much well location , right financial times area dockland quite secure group girl . East India DLR right behind hotel . take next tube station change get O2 arena £ 5.60 day pas zone 1 & amp ; 2 . hotel ritz get pay . parking £ 5 24hrs . good hotel O2 though 
 Feb 13 2009 	 pro con 	 Think get pay . staff nice helpful . corrider smell stale hole wall . room ok , bathroom could clean , towel disappear follow day . shower powerful though water lot cooler follow day . on plus side not experience noise outside bed comfortable clean , car park cheap safe . East India DLR short walk away . pro outweigh con . I would stay easy drive whole ok . 
 Jan 27 2009 	 poor example Travelodge 	 stay one night whilst visit East Lond attraction fly Gatwick . General note : Travelodge 's ' jobsworth ' policy allow check - in 3 pm unless pay tenner really put chain . large hotel next main road business district . Woken City airport plane 6.50am - double glaze neither use ornament . room small , bathroom even small . room not clean have see equipment date . would kill put picture wall ? ' ve see cheerful look prison cell ! be ok be workman guess would not recommend anyone else ! 
 Jan 8 2009 	 usual value 	 stop £ 19 family deal 27/12/2008 . glam usual clean basic travelodge . everything need sleep hour only . easy drive dockland £ 5 per day parking handy . dlr two minute walk . easy get London . have rebooke Summer £ 19 deal ( £ 9 night ) . bargain . 
 Dec 18 2008 	 frill value money 	 great hotel . stay ground floor , overlook car park . 's quiet window shut . window open hear bit traffic noise/ aeroplane noise . nice area , feel comfortable walk tube night ( 3mins ) . comfy bed , clean sheet kettle / cup decent shower . hotel staff pleasant . convenient O2 . pay £ 29 online room would definately stay . 
 Dec 7 2008 	 cheap good location 	 Nice budget hotel near O2 book breakfast delicious . easy access central london via dockland light railway ( east india station 5 minute walk away ) . twice ! bar open till early hour . 
 Nov 24 2008 	 great base explore London 	 arrive hotel initially feel quite apprehensive due mixed review read , however pleasently surprised . the reception staff friendly helpful . room basic ( would expect travelodge ) clean comfortable . the hotel short walk DLR , extremely efficient way get city . the hotel busy road rear window closed issue . I would recommend hotel anyone expect five star service look base explore London ideal . 
 Nov 14 2008 	 Disgusting ! 	 like smell urine walk corridor also smell room like hotel ! room small , basic , linen dirty , shower curtain mouldy , bathroom sink crack one towel ! breakfast ........ great like mouldy bread morning ! dirty cutlery plate . I know cheap hotel , ask cleanliness HOTEL CERTAINLY CLEAN ! 
 Oct 2 2008 	 bad .. great 	 hotel not bad money decor litle ' tired' . it hard find ( even Sat Nav ! ) situate rear high rise office ... warn ! Taxi O2 £ 15 . dlr station fairly near would not like walk winter windy bit desolate outside office hour . also require change train get o2.breakfast adequate shut promptly 10am . car parking £ 5 24hrs pay advance . Tea Coffee room . limited iron available grab one early . personally would not use hotel evening like wander around business / office park much see . ( actually .. nothing see ) nearby restaurant open office hour offer full english £ 4 , modern clean tidy want lie get breakfast ( actually close dlr station cashpoint next door . ( cashpoint hotel ) .Staff pleasant hotel book taxi 's we give direction . one word warn go see concert O2 planning eat one many restaurant , either arrive early prepared queue table ( around 30 min go see Stevie Wonder ) get fish chip actually concert arena £ 12 two not bad value tasty too . hope help someone make informed choice . 
 Sep 26 2008 	 ` ` bad night ever ! ! ! ! '' 	 woah ! hell day busy London want get home Manchester .... chance , nut train line fire gun staff andtrain station .As become clear would stick night phone husband say worry , would phone travel lodge switch board book room . I wish have not ! floor Euston station would comfortable ! ! apperantly dockland close room availible know london well go realise trek euston . I rock half 11 even dark could tell be not go pleasent experiance.as totter past crowd bozey , leary man gather enterence , tell self can not bad ... bad ! ache foot die kick new platrform heel , finally give key room rather gruff receptionist.take lift look like something horror film make room 3rd floor , least could rest .... no . the key have not swipe would not open door . another journey hell lift ... dear ! grotty room lumpy smelly bed ( I m even sure bed linen wash ! ) hideous couch would not place dump highlight room , bed side table break smash chipboard remain place . no phone.whilst shower vision phsyco equse see .... tre sleep near impossible , wall paper thin could clearly hear couple go near , even loud traffic ! light day room look even worse , go breakfast ask show breakfast pass ? ? ? guy front desk manage get one handed man breakfast area instructed.nothe look particulaly appetising eat carry meager picking one grimey table acouste kitchen worker demand breakfast pass ! I d enough , hand crack stained key room 320 in recption , call taxi get heck outta ..... nightmare ! 
 Sep 16 2008 	 Value Money 	 review would concur hotel offer value money provide take advantage ( ) £ 29 per night offer available Travelodge website.£6.75 pre book cook breakfast also good value - particularly London . one word warn though - travel car late night make sure clear precise instruction regard location hotel . spend 30 minute go round circle around Canary Wharf trying find location hotel . approach wrong direction road sign help local seem know hotel either ! 
 Aug 22 2008 	 good value CLEAN 	 book cheap deal direct Travelodge get room £ 19 location quite good , nothing really around hotel DLR short couple min walk easy access everywhere London . we go O2 take 20 min get theredlr tube good location that . the room stay clean well decorate . nothing fancy course Travelodge . tea coffee room unexpected bonus . we breakfast hotel good hot really worth money honest . I would definatley stay 
 Aug 22 2008 	 great Stay Travelodge 	 stay 1 night , get £ 19 room deal via website , easy find 's right A13 bit noisy , car park side hotel away road noise bad . hotel 5 minute walk away East India DLR , check engineering work weekend ! reccomend Bar Cafe Breakfast , book online 10 % discount- 2 kid per adult eat free , food well cook , good choice value money . room clean staff helpful , one well travelodge 
 Aug 13 2008 	 get Pay - Better expect previous Reviews 	 Goof Points - near ( 2 min walk ) East India DLR station go directly Bank go Canning Town take Jubilee line . in nice clean respectable look area . mostly office apartment . cheap get good rate book advance ( room £ 29 look Travelodge website ) .Bad point - Room bathroom smell mouldy toilet ! dirty windowsflight path hotel , expect areoplane noise ! ! Bar Cafe downstairs expensive , food cold price get mouthful , not fill ! sell beer bar can £ 3 ! breakfast £ 7.50 ! ! did't think absoulute rip contininetal breakfast ! slow reception service , wait 20 min check out . pay parking - £ 15 try make we pay leave refuse ! overall , well expect previous review suppose get pay ! 
 Jul 23 2008 	 Travelodge - Brittania expect pay ! 	 stay Travelodge 2 night weekend . good hotel ' reasonable pay . room basic bed cabinet tv window bathroom , like say basic . hotel main road one side business complex depend side room determine ' noise ' ' experience noise side business complex . you everything close transport DLR give access Jubilee line central line . many food shop scatter around area . Nearest shopping mall Canary Wharf Cabot ' Place shopping mall . the hotel altogether reasonable give everything pay , one thing make cringe chew gum mark floor .. yuk everywhere room , ignore everything else fine . it good location great ' go o2 , ExCel Exhibition centre Canary Wharf . ' fussy person deserve nothing well would like something luxurious Radisson Edwardian 5 minute across road get 5 * treatment . 
 Jun 30 2008 	 bad make 	 read review prior trip worry book nightmare hotel wrong be . we stay Travel Lodge whilst weekend family visit London find great place stay . yes okay room basic not spend much time . early breakfast not arrive back well evening . base weekend great . East India DLR station minute walk around 15 minute centre London . hotel clean , room staff could not helpful . room opposite side car park noisy fair tired arrive back think would slept anything ! family room cost we £ 125 2 night bed breakfast 2 adult 2 child think represent excellent value money . breakfast basic plenty fill heading day . do not put previous review , 's base want hectic weekend London place . intend book next time will not worry . 
 Jun 28 2008 	 good value price pay 	 stay Docklands Travelodge two night February half term . we boke see Tutunkamun exhibition combine time London . find Travelodge good value , stay car park side quiiet , clean somewhere rest weary heads.20 min central London Docklands Light Railway ..... 5 min o2 bubble . conveinient frill place stay , good pay . 
 Jun 28 2008 	 noise alert 	 stay hotel one night . good check , good clean room . go meal go room sleep problem . warm night window open . problem room back onto A13 trafiic noise constant night . get limited sleep . ask room overlook front . 
 Jun 13 2008 	 basic al Travel Lodges 	 stay Travel Lodges regular basis seem basic . everything basic & amp ; empty Reception , room , bathroom & amp ; food . clean however could pin specific issue stay . would stay - far station bus stop outside . 
 Jun 1 2008 	 hey be everyone 's problem ? 	 look come guy Travelodge advertise fact keep price toiletry hairdrier etc . not expect world . return three day son attend David Beckham Academy ( DBA ) really complaint . use stay 5 * hotel world certainly not expect standard Travelodge Docklands . get pay , goodness sake ! ! room comfortable , clean quiet ( yes stay car park side ) . quick walk East India DLR change Canning Town see O2 , ( North Greenwich ) ( three minute walk DBA ) load restaurant . SPUR favourite far . first night buy bottle wine bar hotel soon get wise Budgens East India DLR station ( sell ice ! ! ) ) fifteen minute see heart London . bargain price location . breakfast bit average apart complaint ! ! 
 May 28 2008 	 Rubbish 	 never stay place ! bedroom rubbish . bathroom discuste shower grow mould hole slicone.the bar downstairs celle fall health safty hazard.the food crap ask everyday soup day guess tomatoe soup everytime.the cheese burger be not proper cheese place use normal cheese supermarket cut up.the thing good reception people big help need direction take away menus . 
 May 23 2008 	 Yuk Yuk Yuk never stay 	 never stay bad hotel , think travel lodge mistaken could apart terrible location have pay taxi 's time , room facility awful , ceiling bathroom black peeling , shower gel shampoo take never stay hotel complimentary , curtain bedroom fall rail report nothing do , morning left come ny hand . get shower discover hairdryer provde , could ring reception borrow one phone room , dress wait 10 minute checkout que ask one . I think terrible exhibition excel centre pay huge inflated price . bad Bad bad 
 May 21 2008 	 good price need . 	 Stayed Travelodge Docklands price right , great way see London shoestring . hotel offer basic , clean room comfortable bed . restaurant downstair good dinner , breakfast bit pricey . instead , take DLR breakfast Wetherspoons right near Tower Hill / Tower Gateway underground stop . it take long get hotel , back town . not let Docklands location put . hotel close East India stop , 2 block north . I ' ve stay travelodge across UK , be exactly inside . ' ve see one , ' ve see . be good basic hotel know expect - MUCH safe bet similarly price independent hotel . not expect Ritz , expect comfortable . 
 may 7 2008 	 Terrible - avoid 	 bad hotel ever stay . check - in 3.00 pm , however , pay £ 10.00 extra check slightly early . weekend Docklands Light Railway action , necessitate number expensive taxi journey struggle get taxi Sunday eventually take bus . the staff indifferent point rudeness . room relatively clean jaded . curtain fall rail use net curtain greyish colour . family room sleep four , give two towel 3 sachet coffee . website looked say 5 minute O2 Arena . maybe true take DLR , however , take 15/20 minute taxi . my sister , also family room , unable use shower tile break around fixture feel might fall wall . when mention problem desk care . Travelodge ashamed hotel . 
 Apr 7 2008 	 goodinexpensiveclean Travelodge 	 husband stay Travelodge visit Tutankhamun exhibition O2 travel central London , stay 4th floor , clean smoky smell ( hate ) unless use traffic noise ask room overlook car park . dockland light railway ( East India Station ) 300 m away , large clean new look supermarket ( Budgen 's ) underneath station ( outside ) sell travelcard cost £ 5.30 one day use even travel city . hotel breakfast good , fresh plentiful bit free like many hotel , aware close promptly 10 weekday 11 am weekend . they start clear stuff away lighten speed clock hit hour ! car parking safe £ 5 resident ignore sign go state £ 24 non - resident , receptionist tell we people complain mis - lead sign time , make wonder not move ! 's luxury £ 26 - 40 per night 's fine . 
 Mar 31 2008 	 avoid like plague 	 stay many travel lodge , think would . wrong . start area office Tower Hamlets town hall . driving mean go manually control barrier ask Travel LodgeThe room extremely noisy right next exceptionally busy main road . indicate website booking . room break window catch make impossible shut effectively noise . large gap catch stuff toilet paper noise cold . room rather grubby tired ; curtain cover window filthy , full dust grime road . shower rusty , mouldy floor clean properly accumulate ingrain dirt . breakfast poor , toaster work effectively , long queue , lack food . evening meal wait 45 minute dozen people restaurant , busy . room bore resemblance one show website . after sleepless night ask move different room . one member staff say come back 2 hour would check we . 10 am check different member reception staff inform we idea check day ! could not tell we another room available 12 pm , highly unlikely . find unbelievable . surely staff know check ? feel feel bit intrusion . yes room cheapish ( £ 50 night ) check rival company hotel , standard service far exceed expereince , extra 20 quid night . if go ask room away road , not book saver room internet 
 Mar 27 2008 	 good location 02 	 Stayed one night go concert 02 . hotel great location purpose . basic ok needed . Bar / Cafe locate within Hotel bar restaurant immediate area . I book pay 6 room friend 2 month event . arrive tell sorry have not get room double book ! ! offer find we room king cross pay taxi etc o2 within hour say option would late concert . try tell we book late . book 5.15pm start check 3 pm ridiculous ! annoyed pay room still book one room mistake fair enough 6 ! alot confusion frustration miraculouslyhalf hour later find 6 family room ! ! amazing ! say need hotel concert 02 could find hotel would still stay convenience . 
 Mar 25 2008 	 good basic hotel ; cheap convenient 	 London Docklands Travelodge conveniently site 200 m East India DLR station , quick route west End Jubilee Line Canary wharf bus 277 Leamouth : bus terminate approx 50 m hotel ! ) room comfortable clean , fine 3 we , tea coffee provide , big towel . tolietrie ( soap ) bring . weird thing plug bath basin , none turn ask ( tho ' ask , ok shower really ) . otherwise quiet comfortable , wouldhave rate high plug turn . excellent value £ 29 per night book advance , 30 min west End ! 
 Mar 25 2008 	 Great Location O2 	 ideal location O2 get London . stay 4 night two room 29 gbp book advance . parking 5 GBP per night guest outside Congestion Charing Zone . save Congestion fee take walk newsagent 10 minute away oyster card allow travel cheap rate London system include Docklands Light Railroad 2 - 3 minute walk ( East India Station ) go right heart London connect Tube get O2 elsewhere London . well worth money location . hotel basic expect , clean , could use touch up . elevator ( another ) break duration stay Easter long weekend . staff courtious get we extra towel pillow . bar / cafe avoid due line up , sure price like rest London ............. get use hurry ! ! ! ! 
