Fabulous 	 could fault hotel - great location , lovely friendly helpful staff , spotlessly clean , comfortable bed .... everything could hope . Loved much intend stay next week ! side room service menu operable 10 pm find mass selection fast food joint around corner stem hunger ! 
 good location 	 hotel 's lobby small nice . room nicer small . like bathroom white plastic floor shower cheap ugly not fit rest bathroom nice . design room furniture ok . bed good . internet free ( WiFI ) fast . would rate hotel 2 - 3 star . location good come train Heathrow airport . check slow miss & quot ; welcome & quot ; . lady reception bad mood helpful . food roomservice avarage . room expensive even discount rate . next time try hotel London . 
 lovely 	 pleasure stay Hotel Indigo London Paddington 2 night . initially issue double charge booking , however end sort . stay exceed expectation would happily return . the Hotel perfectly locate near Paddington Station within easy access variety restaurant ( find hard choose go ) .Found staff helpful knowledgeable go way assist . request action quickly smile could not ask professional , helpful , care friendly staff . end day great room , however 's staff make stay good bad . Hotel Indigo staff pleasure interact with . while room small ( one twin - bed room ) , boutique Hotel , room abundant feature comfort . rain shower well receive Ipod dock . bed extremely comfortable spacious layout also good . decor excellent 's nice see Hotel not afraid splash mixture colour . carpet hallway look amazing bode well rest interior . hotel well design 's amazing think 's large number room locate within facility ( especially see exterior size Hotel outside ) .I would definitely return Hotel would recommend friend family . experience initial issue , overall could not ask well stay . hotel alot go require accommodation Paddington , would definitely recommend consider Hotel . 
 Artsy boutique hotel -- comfortable clean great location 	 Indigo 3 minute walk Paddington Station , directly connect express train Heathrow Airport . locate street lot pub , small restaurant , etc . area pretty urban night ... single woman people small town might feel uncomfortable , not think unsafe . room small US standard , big enough . bathroom quite modern plumbing work ( always case UK ) . new hotel , even month clean , seem well maintain . staff helpful , not think native English speaker , communication take little patience . 
 Sep 24 2009 	 great location - beware shortfall 	 would stay Hotel Indigo Chicago impressed - thought would try London version . hop plane Heathrow - get straight Heathrow Express . 15 - minute later , hotel 's reception . could not easy . Indigo basically across road Paddington Station - make terrific location . spend week buy Oyster pass allow hop train bus ( need buy credit advance ) . oh - one tip , not leave oyster card wallet hotel key - oyster card stop fuctione properly . London transport good get - be smack bang middle right . thumb location . first impression - hotel look new . certainly stand street . cute cafe / bar ground floor roadside table . room funky . good design - big expecting . good sized bed - although mattress hard sometimes feel floor . good wall mount plasma channel need - satellite not break ! free high speed wireless internet , excellent . the bathroom small - well design not matter . terrific shower - 's big problem hotel -- keep run hot water ! ! Luke warm good 8 am 10 am , people get ready . complain staff not think ordinary . say happen demand high . well , sorry - not . hotel - one command good money . second problem seem trivial - become annoying . stay room 101 - right alongside lift . reason , not de - activate bell - go regularly , time night . ( similar problem smoke detector inside room make strange noise often ) . really crazy . overall staff polite - bit standoffish . the hot water problem damn lift bell would probably stop we return - shame , place enormous potential . 
 Sep 18 2009 	 great around ! ! ! 	 great hotel , well decorate , clean great staff . I 3 week , like take residence . desk know boyfriend Dad voice phone , leave difficult , like leave home ! ! ! location perfect acess nearly everywhere , funnily enough , open top bus tour go right past front door ! ! ! plan stay again . thank ! ! ! 
 Sep 16 2009 	 almost perfect 	 lucky person encounter one recepicionista name catrinal catarina , patience , like treatment , guest check , stay 100 % , king size wonderful , detail , would perfect . 
 Sep 14 2009 	 Nice hotel little pretentious 	 stay Hotel Indigo 5 night Sep 2009 . room small , stylish clean . big complaint breakfast not include business center pc could use guest . feel meal price Phi restaurant ( part hotel ) expensive , either get breakfast elsewhere buy food nearby market . internet access , hotel wifi , need go internet cafe street want access pc . price pay , would like see item include . staff nice , seem little aloof always dress black . 
 Sep 13 2009 	 nice modern hotel ideal location . 	 stay Hotel Indigo last night London , choose proximity Paddington Rail Station . check - in efficient staff friendly , provide prompt service need . stay Executive King room , nice size small sofa couple chair seat option , addition bed . find bed bit firm liking . room modern , , even face busy street , quiet window close . bathroon bit small modern , nice & quot ; rain & quot ; showerhead high quality bath amenity . ask iron board iron , bring room within minute . the location great several restaurant , pub , convenience shop along road front hotel . couple minute walk Paddington Tube station Paddington Rail station , include Heathrow Express train airport . we room service breakfast Phi Restaurant , fast quite good . we would definitely return hotel ! 
 Aug 30 2009 	 different Stylish Excellent 	 well , back weekend London friend today . compel write review , experience must terrible exceptional say Hotel Indigo truly exceptional . important aspect cover , really comfortable bed , nice work shower ( huge rainstorm jobby ) , clean , air condition , good location quiet . top , 's standard chain type feel , 's stylish , designer different . good value breakfast London ( £ 6.95 buffet inc . juice , smoothie etc ) , nice friendly staff really take interest . three room group five friend , king room 215 , 212 etc . spacious , consider London location . term manage expectation ( see lot review mention small room ) , say king bed room great space ( everything need , include huge bed , wardrobe , desk , huge shower even plenty room chaise armchair - however travel North America , every room Europe appear tiny compare huge room standard States , especially London reputation small hotel room due period property real estate price etc . ' m sure different room may less space room , space major factor , give hotel call directly book advice . location good train , tube road next Hyde Park Paddington Station mean district , circle bakerloo underground line close city west end . drive London convenient parking seem NCP Colonnades , 10 minute walk hotel . ' m look forward come back Hotel Indigo . 
 Aug 30 2009 	 Nice - Great Room 	 quite impressed Hotel Indigo Paddington . ok , be large luxury hotel quality room - inculde design , bathroom fixture excellent bed - go way beyond find much expensive hotel . service friendly efficient time . small restaurant good breakfast . the location - araound corner Paddington station - convenient catch plane Heathrow also good explore central London large number tube line bus hand . personally would think Paddington area highly attractive exciting though- 
 Aug 23 2009 	 surprisingly good experience 	 probably one nice small hotel encounter Europe . receive promotional email IHG group decide use combination & quot ; point + cash & quot ; book two night towards end Europe trip turn great deal experience . as everybody mention , hotel locate great spot near Paddington Station - literally one block away . traveler need fly London Heathrow , location simply fantastic . hotel premise small sit middle side road along hotel , restaurant shop nearby . walk lobby , tell immediately modern trendy hotel stylish clean - line furnish property . I upgrade 3rd floor Executive King suite certainly wow reaction walk room - huge king size bed , , lounge chair , large work desk , big LCD tv , iPod music station / alarm clock , free internet great bathroom totally separate sleep / working area , overly big yet compact space . everything tastefully decorate functionally arrange . comfortable cozy . service . say front desk staff exceptional - professional attentive customer ' need ( Tony great ) . rarely feel totally spoil travel Europe hotel certainly give wonderful feeling . drawback , must point , price breakfast bit high get good quality item . overall , give hotel 4.5 star rating hesitate second come back get good deal ! 
 Aug 18 2009 	 Plenty charm moderne check lock 	 5 night March 2009 travel alone business trip , satisfactory experience . since need bring laptop work anyway , able stay touch relative NYC via email send hotel 's wifi . nice spend money telephone call merely let other know have arrive safely , etc . definitely plus , free wireless yet standard London hotel . charge wire internet access . speak safety , New Yorker check room 's security rather carefully settle . floor # 3 , window face back . roof extension far window would possible someone stand haul window . window unlocked ! Hummmmmm . would strongly recommend travel alone check window arrival , check sure be close lock whenever come go . ( look topography outside sleep open window . ) little lock - box provide inside wardrobe . use . far neighborhood go , feel quite safe walk hotel -- stay pricy hotel Seven Dials area year ago harass street never feel safe . location plus . speak street , be nitpick : though know 's hotel 's business maintain London sidewalk , rely wheel luggage cope aware cobbled pavement cause heavy baggage tip several time short walk Paddington hotel . brace certain amount bag - wrangling . I problem staff , though cleaner get little noisy morning . complain staff 's service may aware London , NYC , be quite usual even front desk run people native English - speaker . find ' m polite patient try communicate other , will similarly polite patient american accent . as other write , room decorate prettily , american standard , less dorm - room size . watch slippery laminate floor hot towel bar bath . also find enough hot water quick shower . plus outweigh minus far . since stay season , get nice rate , pay advance Indigo 's online site , guarantee low price . London business acquaintance confirm unusually good deal . restaurant lobby decor clean cheerful , guest entertain business breakfast impress meal service . since would prepay , checkout accomplished blink . , pleasant stay good value ! 
 Aug 17 2009 	 fair attempt botique hotel 	 lifestyle botique style hotel brand InterContinental Hotels try hard run mill hotel . looby bar small perfectly form blue sky corridor funky artwork welcome change . later dinner brasserie food pleasant surprise . stay free use Priority Club point however first time Receptionist deal free booking seem understand . information give hotel check . bedroom compact well appoint clean monsoon shower hand hold shower . room modern , clean fresh , however many light room stay night , I - pod docking station light , tv standby light , small emergency light telephone light mention click sound fire alarn sounder- sorry feel like sleep aircraft landing strip ! fair hotel sleep well leave early catch train Paddington think would well frame mind stay leisure . overall good try botique hotel brand please ditch cheap guest supply let otherwise good product . 
 Aug 16 2009 	 fantastic little hotel superb location . 	 husband vacation London one week celebrate 32nd birthday , 8th anniversary , recent college graduation . trip worth spending bit , choose Hotel Indigo , Paddington , even though costly other . ( not know reviewer look , say Hilton around corner cost thing -- could find room twice price Indigo ) . pay US $ 1,100 6 night , book hotels.com . flight get 8 am Sunday morning , not suppose check 2 pm . take Heathrow Express ( 15 minute ) direct Heathrow Paddington Station . ( way go , opinion ) . hotel 2 - minute walk Paddington , also close tube stop , place catch train visit Windsor Castle . ask advance early check - in , request note , unfortunately , hotel book solid . woman front desk nice could , another man try help , nothing do . nevertheless , busy buy 7 - day Oyster Card ( , be run around London , public transit city unmatched anywhere else ' ve , include NYC ) . went Picadilly pick London Pass have order advance on - line ( buy 2 - day pass spend first 2 6 day see pre - pay sight use discount , spend next 4 day take time ) . time return 11 am , room still available , stroll around neighborhood grab pint nearby pub . go back 12:30pm , room ready ! needless say , crash hard hour go dinner . room top floor ( remember : London , 4th floor really 5th floor , Yanks call 1st floor Ground floor Europe ) . decor hotel model around Fibonacci sequence ( mathematical series number , create aesthetically pleasing shape call golden proportion ) . hotel modern without cold , trendy without annoying . plus , ground floor restaurant -- cheap , fabulous breakfast buffet . not eat meat , delighted find full english Breakfast ( glut food must eaten believe ) include veggie sausage . the hotel close public transportation , be also 5 - minute walk Hyde Park . Hyde Park beautiful location stroll , see local soap - box Speakers Corner Sunday , visit Kensington Palace tea Orangery . summer , also seem temporary performance tent erect park production Peter Pan . go swim Serpentine Hyde Park one day , 's clean body water . ( 4 pound swim ) . much well going run Hyde Park . Hotel Indigo great little workout room , never use weather beautiful , take exercise outdoors . for romance simply great urban vacation , would highly recommend Hotel Indigo - Paddington . 
 Aug 12 2009 	 Fancy hotel ( include price ) great location 	 clean new . Decor modern chic . room quite small , european standard , well distribute decorate . no hidden charge , coffee maker room , LCD tv , safe , etc ... still glitche new hotel , example first day hot water , conpensate breakfast voucher . second night , fire alarm sound middle night , evacuate ( scary though ) good thing location , 2 minute walk Paddington station plenty eatery area . 
 Aug 12 2009 	 Hotel difference 	 whilst stay hotel propose Girlfriend . staff aware make we feel special stay . room bite small space premium part world . however , standard decoration styling first class . even come away idea home . bed one comfortable ' ve ever sleep on . for location , complain . Paddington Station literally end street . Dinner Breakfast superb . would point Dinner selection not vary expect . overall , enjoyable stay make great weekend break . fact Girlfriend say yes propose make well . 
 Aug 6 2009 	 surprising experience 	 stay Hotel Indigo three occasion . recently rundown hotel fantastic greek restaurant basement . Indigo buy old hotel renovate ! room tiny .... much big inside cabin cruise ship . wallpaper , paint , carpet furniture intertwine create illusion space . totally impressed ! lobby also tiny , design give illusion space . coffee shop / wine bar lobby good , although pricey food . it step away Paddington surround pub restaurant . excellent location . 
 Aug 4 2009 	 recommend London Black Cab Drivers . 	 nevertheless , £ 150 one person one night bit shock , even four - star boutique hotel . it first - ever night London , ask cabbie somewhere close Paddingto Station could get early train Heathrow . Indigo take I . & quot ; not know charge , & quot ; say , & quot ; place new look clean . & quot ; cleanliness could not fault , although carpet seem garish side . my room , 307 , tiny Room 307 invariably find stay Tokyo . bed comfortable , although enough pillow , cushion bolster strew across it . three small worry , though . night spend theatre , get third - degree concierge could get back building . ? room stay ? book ? not seem notice hold room key hand . also , internet access cost extra £ 10 . consider price room , unpleasant surprise . and , next morning , clean try come room sit enthrone toilet . those two little niggle aside , Indigo decent hotel . probably reasonable price Paddington , be still pricey side . 
 Jul 30 2009 	 style substance 	 high hope hotel review , sadly disappointed . minimal staffing , friendly efficient . room INCREDIBLY small . 8 foot across . 4 foot bed take , however bed good quality lot cushion - trouble cushion take wardrobe space turndown . safe small would hold laptop , would useless safe not secure could easily remove . opening fridge mean scrape knuckle force wardrobe door way fridge door . nice size tv , room small may appear large . partner regularly bang head try get 12 inch gap one side bed . Noise corridor unbearable , bed 3 foot door . room would get dark either - green night light ceiling , light phone light door mean room actually light enough read . check alarm clock not set previous guest - awful night sleep light noise awake 6 am damn alarm clock . comfortable bed make poor sleep age . poor mobile phone signal room , two major network . nice toiletry big towel . thunderstorm showerhead need serious cleaning / descale - water shooting direction look like great shower spoilt . shame really . funky decor , really hope , 's style substance . price Hilton Paddington around corner much nice hotel . 
 Jul 29 2009 	 Super Hip Hotel 	 agree great review , minor exception . room amazing . love huge photo wall behind bed ! room double bed plenty room either side nightstand . nightstand complimentary bottle water ( replenish daily ) one side ipod ready alarm clock , perfect charge ipod adding ambiance . wall opposite bed armoire , safe hair dryer , desk hi - tech phone , chair , kettle comfort tray ( read : tea , coffee , condiment ) , enormous flat screen tv . bathroom fairly large UK standard . modern glass tile behind raise sink . water sink come really quickly cause splash sink , learn pull handle SLOWLY . large walk shower , rain shower head hand hold wand . short learning curve get wand , addition rain head nice . wish well shelve hold item shower , minor . air conditioning room truly amazing . room actually get cold . sure possible UK . good number outlet throughout room , fabulous today 's electronic age . bath small nightlight switch nice touch . room keep clean , although daughter find someone else 's pill check , mean 3 day . shower look though one use ... ever . like . linen good , towel good , duvet snuggly . view speak , little alcove another building , problem . quiet . air conditioner ( something ) make weird noise occasionally .... pop like sound system pa ... sporadic . minor drawback . check , friend arrive together . front desk person start friend . time , gentleman arrive check . finish friend , start gentleman , skip . soon realize start mine , seem annoyed 3 people time . later afternoon , stopped tell safe room work . tell person check mention , maybe work right .... really ? tell would check return dinner see maybe make mistake . upon return , check work . say would send someone . . trainee . nice young man , first day . tool idea . leave get help . return appear manager . manager try explain use safe . explain know use safe , work . look wrong , discover work . tell begin think battery . idea possible since safe new ... 7 month old . tell would find kind battery take change would back . time see check . remember incident first . little embarrassed never return . one ever fix safe . also , housekeep good , time weird . return first day unmade room . 4 pm . call say someone would right , daughter go lobby allow clean . send daughter periodically see finish . 5 pm someone come clean room do shortly . second day go morning come back around 1 pm . Room do . 3 pm someone knock ask want room clean . seem late hotel also turn . last little complaint ... ginormous tv 's sound weak . time could understand voice fairly loud . worried neighbor hear it . there another young lady front desk helpful , Marieclo ? ? ? ? . even help print boarding pass . all , hotel super cool completely comfortable . would stay minute . service could use tweak . front desk woman ( first one ) could friendly , first impression . 
 Jul 23 2009 	 best night sleep ever ! ! 	 stay middle Wimbeldon final week whole city manic ; hotel fantastic . , quiet room big expect London ; clean new towel turn every afternoon . pleased - hotel experience mean wake fresh great mood every day . great location , 5 min walk Lancaster Gate Hyde Park . would definitely stay recommend ! ! 
 Jul 20 2009 	 Great Location - Standards slip .... 	 second time stay hotel within 6 month - 's clear honeymoon period hotel ! location boutique feel hotel continue great ; somehow management adopt policy keep IHG brand hotel almost need pay everything front ! ! change 6 month ? stay IHG Branded hotel know get , hate treat second class citizen front desk pre - authorisation seemingly everything ! also , pricing strategy change - long reasonably price . small room . 
 Jul 19 2009 	 still good value ? 	 stay 4 night . price hotel skyrocket recently , ' toss - up whether still consider good value . book reasonable price Priceline , look ahead next trip London , price par Paddington Hilton , get superior choice ' price bracket . positive side , quality furnishing , linen towel excellent . use towel replenish twice day ( turn - down service night ) . housekeeping maintenance excellent ( sure put disturb sign room , army inspector troop room day long make sure everything perfect ) . air - conditioning work perfectly light bedroom good ( oppose bathroom ) . stay executive king single small sit area foot bed , convenient comfortable . hot water kettle coffee tea small refrigerator . amenity make comfortable stay . on downside however : room really miniscule . executive king fine single , two people ' fight closet space toiletry space bathroom . even room necessary slither sideway bed wall . exec . king street side building . traffic noise ' bad night , bray drunken reveller nearby pub certainly sit upright bed . room obviously design man mind , woman . another reviewer mention , electrical outlet near mirror . odd otherwise well - plan room . floor room laminate dangerously slippery wear sock . light bathroom horrendous – front mirror one halogen light point ceiling – absolutely impossible apply makeup lighting . take stand hand mirror set window sill – possibility . another reviewer mention , instruction shower . know , ' difficult : bottom lever temperature , top lever alternate hand - hold shower ( right ) overhead shower ( leave ) . unfortunately , first time try , hand - hold showerhead point directly towards door shower get full gush right face , drench , bathroom , bathmat towel . place plug hairdryer ! water sometimes replenish , never see newspaper . ' breakfast 14 GBP Phi , full english breakfast corner ( Lite Bite ) £ 4 . lunch , food mediocre . meat extremely overdone , despite order " medium " .Location great , hotel area . ' sure whether ' stay next time – depend price competition . 
 Jul 17 2009 	 amazing hotel - highly recommend ! 	 stay one night hotel brilliant aspect . staff nice friendly , room excellent restaurant breakfast serve excellent freshly cook food well bakery buffet . definetly recommend anyone stay London location great hotel fault way . 
 Jul 15 2009 	 tear ( great review ) 	 stay three night double room fourth floor ( room 416 ) . other already note , room almost impeccable . high quality furnishing overall . phone fabulous ! rain shower always nice touch room face street , street noise minimum . say , follow room nitpick : ( ) would like bathroom wall feel solid floor bath less plasticky ; ( b ) water heater somewhat temperamental - take age go cold warm sometimes ( sometimes ) deciding go warm cold ; ( c ) could also say water pressure , least regard basin 's faucet . ( get exactly one inexplicable surge water pressure say faucet ) .Cleanliness likewise near top - noth . ( another small nitpick - house keeping succeed sweep away stray hair bathroom floor . ) WiFi free ( advertised ) quite fast . I , however , receive supposedly complementary daily newspaper bottled water . staff professional . ask early check - in ( 9 ) hotel readily accomodate request . likewise request late check - out ( 5 pm ) hotel accomodate request 50 quid penalty . ( Ouch ! pay ... flight 930 pm , seem like reasonable deal . ) ( , however , finicky traveler prefer thing . hence , tend interact much hotel staff . can not really say top notch , matter , poor . ) buffet breakfast include room price strictly continental affair quite acceptable ( London ) . ( hot dish available ala carte menu pay separately . ) fan Indigo 's hot chocolate though much prefer hot chocolate Garfunkels across street . location great . other mention , hotel 's close Paddington station tube . restaurant convenience store ( count four fast food place , two steak place , one pub , two upper - end restaurant , two convenience store ) within easy walk distance hotel . still can not get price room size though . realize City London price go high room size small say , Kota Kinabalu , Malaysia . nonetheless , be hard get fact pay USD300 per night Indigo able get room another city easily twice size even luxurious half price . will stop complain ... , say do , nonetheless end thumb Indigo . 
 Jul 14 2009 	 Great Hotel lively neighbourhood 	 stay Indigo 29th June year . stay one night get Heathrow follow morning location great get Paddington express train . fantasic room , modern funky plus great little terrace area attach room . hotel near good restaurant pub pleasant place stay . come London stay place around central london lot bad money . place great would recommend anyone want couple night London . 
 Jul 5 2009 	 Hotel staff superb ! 	 location perfect ( 2 minute walk Paddington Station Heathrow Express ) , hotel design fresh , contemporary intelligent , good -- staff among helpful friendly ever come across . Lois ( work night front desk ) absolute gem . come rescue handbag steal first evening ( hotel , restaurant Marylebone High Street ) , quickly google phone number credit card company hand phone could begin arduous process cancel card . rock ! staff , , helpful pleasant 3 day stay . hotel also fitness centre stylish cafe , outside seat pleasant staff . already recommend hotel several friend definitely stay next trip London . 
 Jun 26 2009 	 simply brilliant ! 	 Everything Hotel Indigo Paddington , we , stunning . 2 3 minute walk Paddington Station , location excellent , easy access tube London sight shopping . extend family arrive 24 hrs early ; stuff - up ! trouble simply wonderful staff Indigo find & quot ; room Inn & quot ; two family , weekend commencement Wimbledon Tennis Championships . room gather smallish side , book executive room wonderful , cope comfortably addition cot . everywhere clean , bed beautifully comfortable , linen crisp , towel fluffy bathroom uniformly well equip good standard . Phi Restaurant , impeccably manage Francesco , could fault breakfast , lunch , dinner . but overall , stand we , staff . housekeeping staff , reception staff , staff Phi Restaurant , without exception , incredibly friendly professionally efficient willingness help . hope read review wish thank make short stay London bit memorable . I absolutely hesitation recommend Indigo anyone . 
 Jun 25 2009 	 Gorgeous Quirky PERFECT Hotel 	 wow ... hotel look great picture soon arrive love ! ! modern decor absolutely thing think clean line , bright colour etc great , especially huge print behind bed , WICKED ! room smallish bed big ( comfortable ) shower nice big , also get flat screen tv , hairdryer etc lush little chocolate leave bed evening ! packed weekend do not get spend much time room normally would not matter actually fab hotel wish able ! . ask late check grant rush . I think hotel perfectly locate parking really reasonable station around corner ( although park right outside load / unload etc . ) room 2nd floor right front hotel big sash window wide open could watch street ( little park area ) below . definitely recommend hotel slightly quirki style bore big chain samey samey room 
 Jun 23 2009 	 little gem near Paddington ... 	 easy get hotel Heathrow . one train . staff hotel attentive service impeccable ! 20 - 25 minute walk Buckingham Palace .. hotel far Oxford Street either . inconvenience order take tube say Tower London would need use two tube line . downside location , many place eat area since residential area . other , room fantastic ! small , , chic clean . furniture complete update bathroom beautiful modern . would definitiely recommend hotel anyone want bit peace quiet . 
 Jun 23 2009 	 good place ' ve ever stay UK 	 want hug bellman see room . spotless , good size London , quiet fantastic location value . I stay every time visit London future ! look pic will know . 
