suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Sep 30 2009 	 stay somewhere else pool make pay parking ! ! ! ! ! ! ! 	 stay 7 day package deal , standard room cracker box 5 ft 6 in ( tell unacceptable , negotiation , threat want money back finally get we upgrade ) want use pool go stair , casino , across freemont diagonally binion , casino , elevator roof , reverse do ! ! also make pay 3 dollar day park parking , almost 700 week ! ! vegas 2 week , try make deal second , want full price , idiot know give money back , go else ! ! ! 600 money ! ! ! another thing mustang floor 2 year , get to put least 10 buck machine bar get comp drink , be 10 2 dollar beer , pretty far free ! ! ! good luck find waitress week , everywhere weekend ! ! Freemont street dirty , vendor overprice , well quality stuff well price outlet mall , show old news second night , take lady cover walk way , old vegas , least happen pan handle death ! ! ! nice place ! ! ! actually want thank 4q 's lousy service room , never ask stay staff ( could see mold paint bathroom ) damn near fight maid extra coffee pack room ! ! ! force we shop around second week , find beautiful extended stay facility third price , full kitchen , microwave , full amenity , include laundry room , ( find casino hotel ) talk 250 350 week ( 7days ) real t.v . channel & amp ; HBO could actually lay around watch game sun sit ! ! place vegas ! ! check ! ! ! ! 
 Sep 28 2009 	 hardly room non - smoking . 	 even say non smoking go room check . talk front desk ( nice want helpful ) quadruple check room non - smoking one . tell 4 time . get room window open stank high heaven . talk house cleaning help classify smoking room say even room non - smoking way stop next person smoke . run room find one could sit gasp breath . even offer suite bed couch pull uncomfortable . finally find person group two bed not stink high heaven trade go front desk get thing change new key we . next thing equally mess electrical outlet near head bed . first try plug computer cpap . front desk say extension cord use . time tired want get dress go argue someone get one . exhausted go sleep . roommate find new room next morning . forget cpap need stop snore . love casino ambience old style easy accesss fremont light show night . excellent . first show Bad Bone , next American Pie , Queen , Rock end Kiss leave since familiar Kiss stay . know age earn age first three satifie entertainment night . able well casino think crowded slot Wynn . everyone seem give free $ 10.00 start sign Deuces Wild fun almost 3 hour . even $ 60.00 . strip bus $ 3.00 one way come back go get bus pass ( good 24 hour ) get bus first day . way back everybody go Fremont light show across mall walkway Four Queens . good luck good trip extension cord talk front desk find room smell good . oh almost forgot offer send someone spray room topical since cigarette smoke embed room . would probably spray least every day . oh not know pay wi - fi internet . make sure available one mention cost . also pool premise access one across street . will not keep visit . will prepare next time . 
 Sep 16 2009 	 great hotel money 	 brother travel LV year . usually stay strip , year decide stay DT . got great deal 4 Queens , TA review backing , book 3 night . whole DT experience great we . hotel , old , clean , bed comfortable , casino fun , Magnolia 's great food , central location could beat . room 6th floor , bit concerned noise , quiet , even hear neighbor come go . go forward , make DT , 4 Queens , base future trip . sleep shower room , clean room , great hot water pressure , work we . add great rate get , could not happy . we agree relax trip Vegas year go . 
 Sep 14 2009 	 Super Bargain 	 spend Labor Day weekend four Queens completely satisfied . start Ruby front desk personnel , employee friendly helpful . room overlook Fremont Street Experience one favorite nineteen year visit Las Vegas . clean good bed , obviously recently renovate . casino busy lot fun , food Chicago Brewing Deli excellent , service . sport book one friendly professional experienced Las Vegas , thank much Stephanie crew . security , housekeeping , parking garage checkout guy positive friendly . four Queens super bargain money make hotel choice visit Las Vegas . 
 Sep 10 2009 	 fine place stay downtown Vegas 	 husband ( early 40 's ) stay one Saturday night Labor Day weekend extension stay next three day compe 5 - star hotel strip . never Las vegas , want see downtown like , addition decent room rate extra night . choose 4 Queens base room rate review would read Trip Advisor . the hotel advertise . really major complaint . obviously old building , everything good repair . 17th floor view north tower . hear much noise canopy . show free conncert great . the casino reasonable size good variety slot table game . drink service slow first , pick keep tip make point search cocktail waitress tell bit hard track . say slow summer sudden much business could not keep . believe . really not enough server number folk play casino . the front desk friendly efficient . check 1:00 , room ready yet . we eat Magnolias breakfast good , reasonably price fast . the room coffee maker update tv set . bathroom small , hot water hot ! pleasantly surprised . bed comfy . like say , real complaint . 5 star place , advertise . get pay , get $ 48 worth . 
 Sep 8 2009 	 absolutely amazing deal . price drop prior trip call give room reduce rate . 	 Fremont street experince right outside door marvelous . awesome tribute summer 1969 , light show free concert great . 
 Sep 7 2009 	 nice stay rough start 	 visitie four Queens Casino Aug 16 - 21 great deal find Expedia - $ 18 per night . stay get bit rough start never hotel / casino difficulty find valet parking due construction . Valet parking actually side street ( 2nd street think ) end behind bandshell four queen fitz . enter wrong street end go wrong way valet exit parking garage entrance - poorly mark eventually get thing straigthene slightly annoyed valet staff . ( valet difficult good time - seem understaffed anyone around separate valet drop pickup area ) parking 4 Queens $ 3 per night - player card ( anyone get free - remove bill ) . / procedure problem ( lack staff parking rental car ) .The check breeze - less 2 minute , polite efficient check staff . come late casino busy - stay find trip eleveator first time ( across casino ) little confusing . nice room the17th floor view towards stratosphere strip . friend room overlook Fremont street 4th floor nice view much nosier night . our room clean excellent value $ 18 per night . include flat screen tv channel , nice king size bed adequate ( small ) clean washroom . we enjoy casino restaurant - excellent Prime Rib special $ 9.99 ( less player card 2 1 ) .unfortunately pool , access surprisingly nice , quet pool roof Binions ( hotels own group ) like hotel - stay night strip well start prefer downtown atmosphere . walk many place easily ( Fremont , Golden Nuggett , California , Main Street Station , El Cortez other ) never feel heat walk strip length . strip always drive never drink . downtown , easily walk less pressure drink little much . I highly recommend hotel - stay Fremont last year would hesitate stay either one future . 
 Sep 7 2009 	 totally unexpected 	 first time stay Freemont Street . hotel renovate 2 year ago . request room face Freemont Street since hear could noisy . room small beautifully furnish bathroom modern . love shower head take picture show husband could replace old one . even though face Freemont street , could still hear Freemont Street Experience echo tired , feel asleep anyway . want something different stay Strip , go four Queens . 
 Sep 7 2009 	 Security Issues ! 	 leave wife hotel room alone , good idea . ex - tenant try togain access room wife do not open door ask want . say leave something behind bathroom tissue box . wife frieghtene notify security intuder leave security get . return curious see leave tissue box find crack pipe inside . would thought security would check nothing . bring aritcle front desk wife frighten stay sleep . security staff watch elevator prepare see stranger lurk hoel corridor . 
 Sep 2 2009 	 Loved stay 4queen 	 stay 4 night good experience . arrive noon get check room right away . top floor south tower . room clean , bed soo comfy . food Magnolias good ( use 2 - 4 - 1 's 3 time eat ) late breakfast twice ( french toast yummy ) prime rib special ( $ 9.95 ) come salad , baked potato , vegie , roll . $ 116.00 $ 10 free slot play join slot club . & quot ; big & quot ; win I . great location , lot slot play , fun time good cocktail service one complaint - yes , bathroom small , much , shower head really small old . replace would help & quot ; old & quot ; bathroom setup . we would definitely stay recommend anyone look stay downtown . 
 Aug 31 2009 	 bad price 	 go Las Vegas year usually stay downtown get well value . pick Four Queens find rate website $ 23 / night . arrive hotel 3 pm trouble get checekd . room 15th floor directly canopy Fremont Experience . 4q old hotel old customer pay pleasntly surprised room . well pay $ 200 NYC . bathroom small do not like manuvere around door get tub . shower fine issue like other describe . there flat screen tv reception be not great true HD picture standard choice although somewhat limited thought . also coffee maker . able get small refridgerator medicationMy real complaint could hear band Fremont St quit midnight . be careful later night . hooker little aggresive remember previous trip , girl continuosly approach want beer bar . but $ 23 can not beat . sort pain get Strip bus . take 45 minute get Caesars . also careful use debit card check . will swipe card tie fund may need . 
 Aug 29 2009 	 great time back sure ! 	 frequent traveler las vegas area , share time strip fremont street experience . 3rd time year come across really great deal southwest airline airfare travel $ 450 total could pass . usually stay Fitzgeralds , plaza vegas club , always say need venture stay somewhere else .... impress 4 queen ! ! ! stay 19th floor room yet small , clean tidy nice 42 inch tv . front desk staff friendly well bell desk . complaint , do not even know count , elevator do not work parking garage get lug suitcase street get hotel , mention check aware someone work ut . tub really really slow drain . oh pay $ 6 fee parking garage , tell think stupid do not really seem care .... ! would highly recommend place .... sign player club good one , get free play 2 4 1 cafe call magnolia . great 4th meal aka drunk feast ! 
 Aug 26 2009 	 Afraid ... Afraid 	 's much Four Queens - although , service issue casino less desirable . main issue location situate seedy area husband accost & quot ; sex worker & quot ; vagrant . overall sub - par environment . 
 Aug 23 2009 	 great time ! 	 room cost $ 115 four weekday . room clean , comfortable , quiet . location convenient Greyhound bus depot , Downtown Transportation Center , Walgreens . take deuce bus Las Vegas Outlet Planet Hollywood ffrom Las Vegas Blvd Fremont . Thc Mirandas coffee shop overlook Casino floor . economical daily special . not win , not lose much either . 
 Aug 23 2009 	 great value ~ stay many time come back 	 stay many time satisfied room . big fancy clean comfortable coffee pot seem luxury 's self anymore ! everyone whole place friendly helpful . location great within walk distance many place . comp great . however , disappointed gambling trip . expect slot tight economy , much bad thought would not able spend much time gambling love . 
 Aug 22 2009 	 Disappointed 	 ' m sure refurbish 2007 , room look visit 2000.dark , small bathroom . impressed . stay else future . parking $ 3 per day 
 Aug 15 2009 	 Fantastic experience ! ! ! 	 first ever trip Las Vegas say please stay four Queens Freemont Street oppose & quot ; Strip & quot ; ! staff encounter helpful seem happy serve we . arrive hotel , give desk clerk $ 20 ask possibility receive complimentary upgrade give we petite suite ! ! spend 6 wonderful night 14th floor South tower room king size bed , two sofas 32 & quot ; lcd television less $ 190 include $ 20 tip ! room clean , spacious , even refrigerator room safe large enough hold laptop computer belonging . bathroom also spacious long vanity two sink . view room overlook canopy Freemont Street , although could hear performance evening , able drown watch television . room one evening performance , noise really issue . Vegas therefore sleep late stay late ! Freemont Street great ! nice able walk onto street go casino casino without worry traffic walk hot sun middle day . remarkably clean large city many tourist , pleasantly surprised . find Freemont Street much clean & quot ; Strip & quot ; experience . food hotel fantastic , service . also find several buffet surround casino fantastic , enjoy meal Freemont Street area . Paradise Buffet probably favorite place eat . breakfast , lunch dinner trip . restaurant buffet really good deal food . blackjack player play slot except goof around time . blackjack player , sure ask pit boss complimentary food leave table earn comp food card . casino Freemont area make ask comp offer card , couple . also , look around area , find casino offer 3 2 payout blackjack oppose 6 5 find they . there easy access & quot ; Strip & quot ; via Deuce ( double decker bus ) walk block Freemont bus stop . $ 7 per 24 hour period ride much like . take approximately 15 20 minute get strip hotel . spend day strip , go back hotel , return strip evening see show Mirage . Freemont Street speed enjoy wall wall people walk long distance go casino strip 105 degree weather full sun . temperature bad , dehydrate quickly prepared take along water . overall highly recommend four Queens Freemont Street ! definitely go ! ! 
 Aug 14 2009 	 New Favorite Downtown Hotel ~ we love ! 	 husband stay 4 night early August . first time stay four Queens . normally stay GN , decide try somewhere & quot ; new & quot ; , disappointed ! check - in Thursday morning line . give room North Tower , 16th floor , view Strip - perfect ! Ruby , girl front desk , kind helpful question . room fine recently update . other say small , not spend lot time room , work perfectly we . room digital safe , coffee maker ( big plus ! ) , flat panel tv . air conditioning work perfectly throughout 4 night stay . clean comfortable ... happy room ! also , anybody wonder , 2 tower ; set elevator in / very close casino ... long walk . understand pool , guest use pool across street Binion's . we also find gambling good , well . play slot / video poker , also play let Ride . cocktail service great , well friendly bartender bar . tip well ... guy / gal work hard ! one small disappointment , reflect hotel hotel / casino staff . go breakfast Saturday morning Magnolia 's . seat right away . bring coffee rather quickly . 25 minute later , still wait someone take order . crowd , completely full , mean . wait 5 minute , decide 30 minute enough , leave . can not comment food , never , decide go back rest trip . seem we staff rather unorganized . server take order , also clean table ; seem bit odd . maybe catch day , not know . our 4 day stay Four Queens overall wonderful experience , book next trip without hesitation ! thank read ! 
 Aug 8 2009 	 RUDE PEOPLE SCAM SEE SHOW 	 family go nice dinner server host rude . I embarasse family . then ( free ) ticket comdy show turn free . they SCAM drink , rude family myself . over half audiance walk middle show . it horrible show experiance . 
 Aug 3 2009 	 deal ! 	 stay Four Queens research Tripadvisor . husand take long weekend trip celebrate 10th anniversary , wish long . absolutely complaint four Queens . staff encounter friendly . free breakfast every morning Magnolia 's , basic good ( like sourdough toast ) . receive buy one get one free dinner , since birthday player 's club . order NY strip dinner Magnolia 's think pretty good . $ 20 voucher slot playing , little gambling ( big gambler ) , buck . within minute sit slot machine cocktail waitress offer drink time . room small comfortable , great air conditioning shower , clean . go back room clean change tennis shoe walk bit ( think walk ten mile morning check site strip ) clean lady nice , request use key get room , good know belonging secure . give two dollar tip ask coffee , extremely appreciative . come back later night surplus coffee , shampoo , soap , towel . stay Bally 's , Harrah 's , MGM past . pay significantly room , fine , enjoy time Four Queens . bang significantly less buck . 
 Jul 29 2009 	 nice clean 	 room perfect one person . clean , comfortable quiet . one person would little crowd . bathroom small . people front desk throughout Casino friendly . negative experience Magnolia 's Restaurant . service fast , server hostess unfriendly seem angry . two server argue eat breakfast . food average reasonably price . would stay , eat somewhere else . 
 Jul 29 2009 	 Good Value - would stay 	 arrive around 1 pm Saturday . line Registration . able check - in , though official check - in time 4 pm . staff friendly helpful , explain free parking pass system guest . the room nice price . renovate room . king size bed , flat screen tv , iron ironing board , hair dryer , clock radio , AC , room safe large enough laptop . two nightstand , combo dresser / tv stand , small desk coffee maker , large desk , ottoman . also , lot hanger closet instead usual 4 - 6 . bathroom small , water pressure good . the complaint non - smoking room come ash tray really strong smoke smell . experience downtown hotel , not really surprised . downtown hotel old smoke previous year permeate everything non - smoking room really room guest choose smoke put we first / good available room . bring Airwick Plug - in Air Freshener would easily remedy this . Subway Roman Noble ( Noble Roman ) Pizza open 3 am . EAT hotel cafe Magnolia 's . french Dip awful , meat super dry . grill chicken breast bland well . fry soggy . since hotel Fremont St. , would recommend Tony Roma 's across way one many restaurant / bar street casino . overall , service good friendly . location great . walk 3 - 4 block Fremont ( West ) experience numerous casino , restaurant bar . Fremont experience light music show hit miss . love KISS , unimpressed 60 themed show . show run 20 min top every hour 8pm-12am . be loud enough hear room , not bother we . the room good value price , would stay . 
 Jul 23 2009 	 Fun time Fremont ! 	 feel comfortable staying , read positive review & amp ; right ! notice nothing negative stay . stay strip week last November much pricy place much fun stay ... certainly not miss drive take cab anywhere , packed like sardine Deuce stifle heat ! like small scope 4 Queens appreciate walk mile & amp ; getting lose casino . room fine , comfy bed , clean , good maid service , noise issue . upon check - in ( take 3 4 minute , checkout ) give coupon free breakfast hotel restaurant morning . old demographic seem norm Fremont hotel , lead much relaxed pace strip , find pleasant .... know ? think one negative , not ice machine every floor ... , something could live . 
 Jul 20 2009 	 look value comfort ? look 	 place stay clean comfortable friendly staff 4 Queens place . ok downtown & quot ; Old Style Vegas & quot ; still lot area . want commute strip bus ( $ 3 ) block away cab cost $ 10 ( make sure cabbie go straight Vegas Blvd highway go to come $ 18 - $ 20 ) . value outstanding stay 17 night total $ 540 June / July , room service come every single day , room clean air conditioning excellent . put way , spend much time room whilst Vegas anyway ? service fantastic , pick phone whatever need minute . store downstairs great convenience walgreen ( supermarket ) one block away . one highlight downtown Fremont Street Experience . live music every night , festival weekend unbelievable light show make truly one kind . restaurant area good great value . Magnolias Chicago Brewing Co 4 queen great . binion good cheeseburger area hennesys really good homestyle meal great price . good buffet far Golden Nugget great variety include asian seafood . casino 's can not match huge building strip fun functional limit low game 50c roulette , $ 2 blackjack $ 3 crap . stay north tower seem bit new one . check easy quick problem check early late provide room not require immediately . overall would say need place stay comfortable great value money go past 4 Queens . people go Vegas gamble tour landmark , save money thing . 
 Jul 16 2009 	 shabby never 	 get hotel park garage take elevator street level , round corner walk outside toward front valet area get inside hotel . ( convenient ) yes meet woman want , lousy attitude lady stand look could kill face . Bell hop kind . got room 2 bed , one lamp hang wall work . lamp corner work . cable outlet hang wall brown extension cord dangle around . water pressure shower . read note back bathroom door say & quot ; room rate $ 49 $ 459 .. do not know would pay much lousy room . fourth floor hear music Fremont show midnight . eat hotel restaurant service fantastic ! ! ! make front desk ! whole smell hotel much . understand smell smoke walk Golden Nugget , Lady Luck ... stench . get home wash clean dirty clothe least twice remove stench . oh ... worker Players Club also look like do not wan na either .. unfortunate cause ' m sure someone lose job due bad economy would love duty smile face ! ! ! poor customer service ... figured feel ill cause smell . one last comment .. please careful ! ! hotel restroom washing hand , see lady walk use 2nd sink next begin wash low private area . literally lifter dress cleanse ! ! ! ! appal ! ! ! come find prostitute ... see later week different man . sad disturbing . weigh pro con ... would recommend hotel ! ! ! 
 Jul 14 2009 	 nothing fancy worth money 	 girl friend stay 2 night Jun 17 - 19 . locate 5 min walk deuce bus stop hotel downtown . room okay , small washroom , service pretty good . however , booking , try request upper level room stay 9th floor view ( block neon light screen ) hear sound neon show 7p - midnight sometimes get annoying . 
 Jul 13 2009 	 Amazing Stay ! 	 stay July 5th 10th four Queens . ( 36 ) , brother ( 41 ) mother ( 70 ) go . two room North Tower ( Quieter two ) . room clean bed comfortable . hotel quiet - tend old clientele stay there . I really like stay four Queens liberal comp . flight leave 11:30 pm able get one room extend time free charge . well , hotel give we completely free meal four we last night Magnolia 's Veranda - include alcohol ! find staff extremely friendly accomodating . love downtown feel deal much well strip - include table minimum , food , accomodation . would definitely recommend four Queens anyone ! 
 Jul 13 2009 	 Excellent Stay 	 second stay Four Queens -- last . outstanding customer service . ( one snippy person whole week city , happen player ' club redemption lady wait ! ) clean , comfortable hotel . like fact four Queens coffeemaker room . try Binion 's pool trip , like . four Queens not pool , make arrangement use Binion 's . small pool , crowded , really not much hassle walk across street -- be still less walk one would strip hotel . always , Magnolia 's food excellent . slot good . drink service good . service everywhere Las Vegas excellent trip -- think economy change attitude . anyway , book Four Queens confidence nice stay . 
 Jul 12 2009 	 good comedian Las Vegas 	 see 4 comedy act Las Vegas , one Four Queens way well -- relate audience , incredibly funny , not think , be free drink . plus great spaghetti dinner $ 6 . 
 Jul 12 2009 	 wonderful ! 	 recently stay 5 night 4 Queens one North Tower room . check - in fast friendly . allow we check - in much early 3:00 check time . room clean , soft linen , soft pillow , wonderful bed . bathroom small , clean . staff really nice throughout stay . bring extra towel room need . eat Magnolia 2 1 offer quite time . food always great service restaurant great . hotel easily accessible Deuce Bus bus route airport . price , can not beat ! 
 Jul 8 2009 	 accessible frill 	 wife never stay Fremont area Four Queens offer low price compare name hotel .... make reservation 3 night . rent car , necessity actually get downtown . hear elevator someone pay $ 40 taxi ride airport feel much well car rental . easy get hotel parking structure get hotel little annoying . room , fourth floor , plain clean . smoke alarm go shower , something notify front desk . hotel restaurant average . pool , though access rooftop pool Binions . pool , however , small surrounded concrete . exercise room either balance eat . enjoy watch light show see artisan , band play time time right outside . walk around area couple hour . find drive casino strip fight traffic . next time return big name casino big pool probably avoid car rental traffic . four Queens enough . 
