happy 	 hotel great location good prize ! room clean , breakfast simple good . People reception gentle , end 's problem ... 
 Nov 29 2008 	 reasonable Hotel reasonable Offer ! 	 Grant decent place stay SF also people customer service knowledge . drive sd SF last month urgent family reunion . Grant place get room reasonable price hurry ! moreover , pack space across street location near Union Square bonus visit . overall , glad 8 hour driving , find decent place wash sleep . 
 Nov 21 2008 	 good locationquite clean great price 	 spend 4 night Grant hotel , good choice we first time visit San Francisco . hotel locate right , Union Square , Cable car block away . China town 2 block distance . 4 night stay Grant hotel base expect . quite , clean . comfortable . 
 Nov 18 2008 	 bed BUGS BED bug 	 couple night stay noticed itchy , reddish bump arm leg . bit research web reveal might bed bug . confirm night bed bug happily walk across pillow ! complain manager casually offer we another room . casual attitude give we impression probably first experience . offer free night honest , pain discomfort , effort wash clothe possible infestation still another 2 week travel , not seem make it . this budget hotel great location , many other . still scar arm 3 week leave . get pay . 
 Nov 10 2008 	 great stay 	 stay single room grant hotel four night . locationat corner Bush Powell St ( cable car stop ) , near union square , walk distance Powell St BART - stop ( to / from airport ) . pretty much everything doorstep . roomthe room big enough , big bed , tv ( althou good reception bother city trip ) , walk - in closet , safe , bathroom big clean . build new charm . sometimes funny smell corridor bother since room fine . otherthere two work station lobby internet . wi - fi accessible lobby free . morning complimentary coffe / tea pastry lobby . also microwave lobby quite handy . staffnothe complain about . conclusioni great time Grant Hotel would go back anytime . price 82+tax good . location great explore SF . recommend . 
 Oct 14 2008 	 European Average 	 Grant definitely great location San Francisco , price pretty good . tend think & quot ; average & quot ; hotel ( american standard ) typical Holiday Inn . Grant like average hotel ' m use travel Europe ... bad thing , something consider . build amenity old ... consider charming . room not spacious stark fluorescent lighting . bed seem tired ... small towel . everything work though quiet . breakfast pastry average . nothing special hotel , base great location average value would certainly consider stay . 
 Oct 13 2008 	 solid calue good location 	 return 9 day California , spend 3 night Grant base review read . pretty much expect . quite clean , though rug room could stand replace , room , bare bone , comfy work day , ( can not beat price 88.00 per night ) peple front desk nice . people young , one lady , asume ' crabby ' lady , not crabby . 2 computer lobby internet access , occasionally , people would monopolize computer . hotel little nicer inside . complimentary doughnut muffin coffee , green tea , small charge beverage . location great , street fame cablecar , close Union square close chinatown , hilly , walk tough . 
 Oct 13 2008 	 Great Location + Low Price = Graet Trip 	 Grant Hotel fine choice hotel budget minded tourist head San Francisco . not worry interior room , be fine . will spend day anyways . hotel locate street Powell St Cable Car well chinatown . parking conveniently locate across street , hotel & amp ; garage offer discount parking . staff hotel accommodate . ask extra bed place room check - in , within hour . lady work behind counter not always good mood , young man counter afternoon & amp ; evening helpful answer question ask . free net access via two computer lobby , Macs . fine surfing net though . free continental breakfast great way start morning . would definitely stay Grant Hotel next visit San Francisco , recommend . 
 Sep 10 2008 	 Grant great 	 wife stay Grant past Labor day weekend . we book Expedia get great rate . hotel excede expectation . read review see price hotel area , not know expect . hotel locate near Chinatown Union square . the area good enough hotel cost $ 400.00 night . grant cost we $ 90.00 night include taxis . they also park across street $ 20.00 day great city . the room bathroom large clean . service excellent , every request grant . continental breakfast consist good quality muffin croissant . the coffee machine offer free coffee throughout day . the cable car stop right beside hotel . however even though city hilly great walk city . I would stay every time visit . wonderful experience . thankslocation , Location , Location 
 Aug 17 2008 	 Clean Good Location 	 stay weekend ( single female ) happy service room . budget hotel clean comfortable would happily stay . close tram train . safe room good keep valuable . 
 Aug 3 2008 	 good location 	 -room ok ( bathroom pretty clean ) -continental breakfast include - very good location , 2 min u . Square 
 Aug 1 2008 	 Great Location Great Price 	 spend one night Grant Hotel . quick tour San Francisco . hotel 's location convenient China Town , Cable Cars , shopping . locate across street secure valet parking place ( good rate hotel , $ 20 per 24 - hour period ) .lobby nicely decorate , internet access ( 2 computer ) , nice furniture , piano . seem like be renovate hotel first floor look new 4th floor not new . bathroom newly remodel clean large counter . room date small - ish big walk - in closet , tv , desk chair . bed so - so give we one pillow . go ask , never get it . for basic , clean , comfortable night 's sleep , place great . small continental breakfast , basically muffin coffee , grab go something . be look amenity , not ! want great location basic accommodation , place definitely do . ask room side back hotel AC 's need keep window open ventilation . street room might noisy . would stay . 
 Jul 5 2008 	 Good Hotel 	 great location , walk distance shopping area , prefect catch cable car & amp ; walk distance China Town . clean room , air conditioning ( cool weather , big deal ) , hotel lift & amp ; free internet , good grab muffin on - the - go ( not expect breakfast ) staff reception friendly & amp ; helpful . I would immediately stay , come back San Fran ! 
 Jun 6 2008 	 Great Place Great Price 	 hotel great we . room great provide pastry morning lobby . also free internet access guest ! staff pretty friendly confused friend stay we couple night try pay parking husband check . came check 2 day later . everything work end bit stressful . location great - right near Union Square . downside locate top hill need walk time want go back . plan accordingly ! overall great experience would go back heartbeat . 
 Jun 1 2008 	 okay hotel 	 hotel perfectly locate ( Bush Powell Street ) cable car , Union Square China Town close . price good low budget hotel area . the plus free internet breakfast . we quite surprised get room one night saw put another bed room ... 
 May 21 2008 	 Run 	 Mrs would SF whole week want hotel affordable . search web hotels.com book 7 day Grant ( read review various website ) . really not expect old rundown , clean . Mrs disappoint never complain ... much anyway . carpet old , whole place need painting , door bathroom closet could not close ; string turn light on / off closet ; free continental breakfast include day old pastry instant coffee ok ; unusual odor reek hall way ( guess one room ? ? ) . plus note location great : close Union Square , China Town , Cable Car / Powell near , lot bar restaurant within walking distance , two computer internet service free , Walgreens 2 block away . 
 may 19 2008 	 Wonderful Budget Hotel 	 hotel great - exactly expect ! stay four night late April / early May , two night expensive hotel , like Grant well . the room comfortable bed , good tv clear reception , find staff friendly enthusiastic talk San Francisco make recomendation . muffin continental breakfast every morning , pizza Uncle Vito 's across street three time . use internet lobby computer several time wait never long . back room 8 pm every night , chilling . always clean warm comfortable . the location absolutly perfect - great restaurant nearby ( Uncle Vitos , also go sushi place street Lori 's Diner Powell ) , easy walk cable car , street car BART - buy CityPass use transit throughout trip , cab whatsoever . also WalGreens street buy Cherry Coke ( unavailable Canada ) , trail mix , discount Ghirardelli chocolate bar , keep room fridge . Grant little far & quot ; sketchy & quot ; part town expect - ask money lot less stay Grant road Parc55.Yes , window look wall , upside absolutly noise . & quot ; smell & quot ; people talk barely noticible - not look , would not notice . problem bathroom door fully shut , staff not seem bother report . not care , other might . supbjet bathroom , bathtub roomy plenty hot water . we get room Expedia get rate $ 58 per night . stay , would go high $ 90 pay expensive hotel . first vacation two year thank Grant , everything perfect . 
 May 15 2008 	 Bed Bugs ! 	 picture reference list address map listing . stay early May 2008 . dingy , poorly light room rough sheet , uncomfortable bed , mold shower , nothing wall bed BUGS ! ! ! think another hotel namegrant getting confuse one Bush Mason Powell stay . elevator shaky . & quot ; wireless & quot ; small section lobby one table , dirty couch two dirty arm chair seating . continental breakfast limit pastry want orange juice 's $ 1.50 extra . able check - in hour early , be close public transport low rate none make worth . bed bug bite still not go away ' ve home week ! 
 Apr 6 2008 	 Bad Price Location 	 book hotel early Feb March 31 , 4 night stay get room $ 76 / night + tax . Check & quot ; crabby old lady & quot ; fast , ask name , i d credit card ( not know ... room prepay - but return eventually w/o swiping ) . one help luggage also be fine . get room less 15 minute . give room 301 face Bush St. , get quite noisy traffic street hour . room size ok , bathroom w / c bathtub / shower combo , hot water toiletry also 4 set bath towel . hallway also weird / funny smell mention before . location great , step cable car , 2 block Union Square , 2 block Chinatown across Alamo / National car rental ( w / c would use go LA ) . suggest get Muni Passport Citypass ( w / c include Muni Passport ) have problem public transport . although be 2 block Union Square , come Union Square steep tire climb ... be use SF street . Breakfast state , pastry free coffee , 's . try go chinatown congee Union Square american breakfast . internet hotel 's 2 computer free wifi lobby . not problem computer usage morning . regard & quot ; crabby old lady & quot ; , remind grandmother not problem . people not & quot ; people person & quot ; be one take care business . mostly morning afternoon . 's Thai / Chinese , , speak language - 's way get good side . 
 Mar 6 2008 	 Lukewarm Grant Hotel 	 recently stay four night Grant Hotel San Francisco find hotel positive negative thing go it . on positive side , location simply can not beat : proximity cable car , attraction , Union Square restaurant outstanding . hotel ' public area room stayed keep absolutely spotless . clean sheet provide every couple day , plenty clean towel supply change daily . room renovate point ; new furnishing new fixture bathroom ( medicine cabinet nice touch ) , occasional spot water damage high wall ceiling could clearly see . there safe room , always nice feature . also provide clock radio , phone television . huge closet room lot storage space dresser cabinet . lucky enough get room back hotel want peace quiet would recommend request room front Bush Street . free Internet access computer lobby good luck try use – always lineup people wait use people seem monopolize system entire time stay . free & quot ; breakfast & quot ; Grant Hotel basically consist muffin , coffee tea . keep go , though , hit street find real breakfast location ( plenty surround street - Lori 's Diner always good bet ) .That & quot ; funny smell & quot ; mention reviewer permeate building - lobby , elevator , hallway , room ; moment first step lobby could smell . be strange , slightly unpleasant odour hard describe , seem mask kind deodorant spray . find second day , though , simply become use noticeable unless really pay attention it . on negative side thing , customer service Grant Hotel simply atrocious . forgive lot unpleasant thing stay budget hotel , excuse class hotel bad customer service . arrive ( late night ) , meet front desk man would initially respond grunt monosyllable well . throughout check - in process manner alternated indifference , rudeness arrogance . obviously great imposition check . grunt slur conversation guy , finally get check find room . last kind attitude wanted greet much - delay problematic 12 - hour flight San Francisco . already pre - pay room prior arrival would sought another hotel , even though well midnight unfamiliar city . front desk day staff fair much well visit ; crabby woman duty throughout day would never exchange greeting except icy cold , hostile glare . abandon think ask staff assistance get around city , could imagine response would received . know Grant Hotel rate 2 - star hotel one not expect much stay 2 - star , inexcusable treat guest fashion . bright spot front desk staff young asian man duty couple afternoon one evening . contrast other - friendly , helpful superb customer service skill . speak feel like welcome guest hotel . in general , Grant Hotel little worn tired , expect old building . picture web site deceive probably take several year ago renovation complete . would stay Grant Hotel ? - not think . ( possibly less ) money ' m sure plenty good budget hotel San Francisco guest treat respect deserve . little money , one could stay either Cornell Hotel Golden Gate Hotel ( door opposite direction Grant Hotel ) , ' m sure , would greet ( treat ) lot respect . 
 Feb 24 2008 	 Small Budget ... good hotel 	 business visit San Francisco , look good budget hotel . find hotel surf Internet . call Hotel offer good deal stay long period . hotel close Chinatown , Union Square yes , special mention , Cable Cars . the room decent basic amenity like refrigerator , Iron Board , TV , Locker . good point : free internet access lobby . free Breakfast morning . helpful staff downside : oven room need contact external Internet Service Provider Internet Hotel provide Lobby . overall : good hotel want less moneyb , Koustubh 
 Jan 16 2008 	 Great Location Value 	 room $ 85 night meet need perfectly . gentleman check helpful map , thing great tip 3 day ( $ 18 ) 1 day ( $ 11 ) public transport ticket - include cable car first corner Powell St. also recommend back room one quit room stay trip far . room perfect - clean , comfy bed , nice hot shower wireless internet . also computer reception area fresh pastry tea / coffee breakfast . 
 Nov 23 2007 	 wonderful Location Great Price 	 hubby go San Francisco first anniversary trip stay Grant Hotel . staff friendly room cute . not expect huge room , great inexpensive price . stay first floor look like one newly remodel room . cute view street behind hotel . one block Union Square next Powell Line Cable Car . 's & quot ; interesting & quot ; adult club couple door , club seem place neighborhood . great pizza place , Uncle Vito 's , corner . , want nice , safe , clean place sleep convienent location , great hotel . 
 Nov 21 2007 	 wonderful place stay 	 Grant Hotel ideally locate block away Union Square , 3 block away China Town gate . convenient traveler use public transportation . car rental office across street . also convenient guest need return car rent car . room stay big , good size one two . bathroom newly renovate , marble counter top . find sink outside strange first eventually find make sense , one use toilet use sink . room clean tastefully furnish . & quot ; smell & quot ; room . guess quite lucky , room exactly like photo post online . I notice smell noon time lobby one day . smell offensive since kind aroma oriental food . notice guest use microwave oven front desk counter . return afternoon , smell go . assume smell guest ' food . frankly speak , not think hotel control that . the front desk staff , especially evening shift staff , friendly . maid helpful well . price pay , find place one well value hotel downtown San Francisco . experience Grant Hotel pleasant . definitely recommend place family friend . 
 Nov 19 2007 	 good Find San Francisco 	 arrive , man front desk pleasant . point area free tea , etc available 24 hour day ( cappuccino , etc available reasonable cost ) . lobby nicely decorate fireplace antique furniture . computer internet access available free charge , although minimum 50 cent charge want print something . old hotel , seem keep good condition . not notice & quot ; smell & quot ; either lobby room couple people suggest . room clean , course obvious old building . bathroom appear completely remodel recently modern standard marble countertop , etc , include hair dryer mount wall . unfortunately , sink drain seem somewhat sluggish , everything else , include water pressure , etc ok . shampoo provide simply single use plastic packet . make reservation , request small refrigerator place room , indeed cold inside . free safe room , oddly , simply place top one nightstand not bolt . view window solid brick wall 6 foot away not bother like quiet room $ 72 night , not expect 5 - star luxury every turn anyway . parking $ 20 day building across street ( self - park - valet ) . hotel half block away Powell - Mason streetcar line . eat two restaurant within block hotel pleased . need clean , quiet , comfortable place stay San Francisco great location without spend small fortune hotel room , seriously consider hotel . 
 Nov 14 2007 	 good location value though photo mislead .... 	 great location - right near cable car Union Square . also opposite car hire place - book car day . book computer hotel reception . Wandered wait hour sign paper . massive queue . would not recommend . drive i-1 monterary . not excite trip . back hotel ... room quite small . wire expose view anything - wall . small bed . buy breakfast ( breakfast provide - coffee pastry though exciting ) . convince cereal throw one day bloody irritating ( ' m sure error ) . kettle though get free hot water machine reception desk . reception book us shuttle bus airport . reception staff friendly helpful impression would get arrange booking . Toilet block last morning .... thing happen . would recommend though would slightly adjust expectation photo website . 
 Oct 28 2007 	 Nice Place Stay 	 stay 1 night room clean room rate reasonable . thank lot . could well soaps / shampoo . 
 Oct 28 2007 	 Mixed Reactions 	 research San Francisco Hotels extensively hotel generally nothing good review . bad one appear since book depart : ( .However , smell hit first enter lobby , pervade seem sort clean material . foul smell chemical odour . first day notice much . second thing hit really ' shabby ' condition lobby lounge . upholstery chair tatty , stain un - welcoming , really needs address . room fine , nicely appoint clearly recently refurbish albeit cheap . bathroom likewise ' re - do ' cheaply . thing like inside wardrobe neglect awful . shower demon burn we regularly flow hot cold water unfortunately never come time . either scald hit icy water . hotel seem run oriental family young member friendly charming two eld member sour unfriendly . however , hotel wonderfully locate " SPOTLESSLY " clean … …… . rate USD95.00 per night per room BARGAIN San Francisco . would rate ' back - packer ' accommodation . 
 Oct 25 2007 	 terrible smell - great location 	 stay three night September . we choose hotel low price location . the location hotel unbeatable . 's close Union Square right next cable car stop . hotel nice . read smell review not know bad . smell like cat dog poop everywhere . the guy front desk ( think owner ) nice arrive pretty crabby rest stay . ask room fridge via e - mail write would not problem . fridge upon arrival . carry one room next day . bed totally small sheet not look clean . bathroom clean shower curtain not really help keep water rest room . floor completely wet take shower . we could not open window get rid smell would not stay open . plus , view terrible - literally able touch brick wall build next hotel reach window . the carpet pretty filthy , too . there internet access room . apple pc near front desk everybody use . every time try use someone else sit . parking $ 20 per day parking garage across street . they serve free donut , pastry coffee morning . make sure get early else everything go . long story short : love San Francisco location hotel not like room terrible smell . I really not know will stay . reasonable price ( San Francisco ) still - really need figure get rid nasty smell . 
 Oct 18 2007 	 Great Hotel price 	 stay twice month August . first time stay experience really great much well expect . the second stay great except check . request specific room ( room time since love size room notice large room ) promise , come time check room not available even though call night checking tell still confirm room . the woman front desk rude whole ordeal helpful . we inspect 2 room tell would settle since nothing pleased would available . finally another woman come much courteous able accommodate we . they apparently remodel room warn , room different ! ! first room large great bathroom ! also full length mirror . second room decent size good bathroom okay , water pressure terrible also bad water temperature control . not full length mirror sink locate outside bathroom . sink not terrible since counter space first not difference notice . corner room actual view much large room locate & quot ; middle & quot ; room look onto wall . overall though , room clean well keep . location great since couple block Union square price worth . also breakfast muffin good ! disappear quickly though not make 9 go ! complimentary wireless internet lobby hotel computer guest use also . overall would definitely recommend hotel would stay . price location service can not beat ! 
 Oct 13 2007 	 Excellent Two Star 	 one would deny Grant Hotel two star , not bother compare Ritz , Kempinski , Marriott , ... etc . quite interesting read previous review . obviously people write upset not even recognize fact good location Grant Hotel . LOVE Grant Hotel . need , business pleasure.- clean room , basic furniture , en suite bath room , comfortable bed- great location , safe walk night , next Union Square , China Town , Financial District , cable car stop , easy walk Monscone Center , convenient discount parking , car rental office across street- friendly , accommodate staffs- little extra : free coffee tea around clock , free pastry morning , cable tv Show Time , ESPN , free high speed wireless internet access lobby , free use desk top computer ( skype ! ) lobbymost , Grant Hotel reasonably price , get spend money enjoy rest San Francisco offer . applause effort make keep place excellent value money . I bring kid stay show great sample cost effectiveness . sure enjoy stay city . 
 Oct 8 2007 	 dreadful . bad hotel world . rater think ? ? ? 	 hotel bad hotel ever . not know anyone rate 5 , owe money take word . book stay three night . soon open door hotel hit bad smell . like someone spray 20 can air freshner try cover something not work . smell hotel room bad . window fully open try air not improve . close window get cold smell get bad , think would sick . the bed two pillow spare cupboard . ask two take long time find thin not bother . apparently everyone hotel ask extra pillow . the noise street , people upstairs people next door keep we night . first job find new hotel next morning . window room break lock . secure . know budget hotel not expect Ritz . still , need make effort . towel bathroom small , old , wear white . not look clean refuse use . smell get clean clothe suitcase less 24 hour need wash . bad experience ever . not even question we leave two day early . obviously know bad . 
 Oct 2 2007 	 Loved Grant Hotel 	 stay 3 night September 30 . Grant Hotel ideally locate . room good size easily accomodate family 2 adult 2 teenage child . hotel near Cable car stop Powell Street easy walk food shop . Fishermans Wharf easy ride cable car . hotel breakfast basic filling like muffin pastry morning . add bonus free internet access . staff friendly helpful suggestion eat etc . highly recommend hotel price location . 
 Sep 18 2007 	 one good budget option Union Square 	 travel business want small clean quiet room decent bed , appliance work , hot shower morning . Grant provide fraction price would pay chain & quot ; boutique & quot ; property Union Square . score rate $ 70 Expedia , $ 15 low website include hotel 's . bargain rate get nice room 3rd floor back , comfortable bed , well average bathroom shower decent water pressure , rarity old building . quiet window wide open night . check fast friendly , complaint . early next morning , coffee bran muffin breakfast . excellent budget choice neighborhood , appropriate traveller , although family kid probably look large quarter . gladly stay ! 
 Sep 14 2007 	 good place stay 	 good hotel price . two star try hard . Grant offer exactly need , reasonably price room expensive city . bed perfect yes room small , clean comfortable . walk hill Union Square perfect exercise we need , really not much walk . read reviews hotel , people really spend money 4 - 5 star hotel 2 star not offer thing look . 
 Sep 4 2007 	 great location 	 little shaby , coat paint would not go astray , hotel good value well locate . steep uphill walk get . hairdyer room . one computer internet access lobby . log city 's wireless network , $ 19us 7 day . breakfast coffee pastry bonus . 
 Aug 2 2007 	 Excellent value money 	 great hotel 5 minute walk Union Square . problem walk steep hill get there . the room clean , staff always friendly , free muffin coffee breakfast always appreciate . price pay , excellent deal , even lift occassionally order . I ' m go back SF later year stay . 
 Jul 30 2007 	 great location price . 	 stay .. will not sorry . my husband stay Grant Hotel 5days/4 night . great package deal include free parking right across street - secure parking open 24/7 . attendent parking garage accomodate . hotel room adequate size clean . room first floor , towards back hotel .. pretty quiet actually . a / c , not need San Francisco .. open window- perfect . bed quite comfortable . small fridge room / hair dryer bathroom . walk type closet . breakfast lobby pastry , coffee tea . location hotel- 1/2 block cable car stop , can not get well . suggestion : buy passport pass .. good money spend .. cable car 5.00 per person one way ... muni 1.50 per person .. passport ... ride much want - bus Coit , Muni Giants baseball game , Cable car Fisherman 's Wharf . numerous great place eat neighborhood italian , japanese French beyond ... within short walking distance . China town two block Bush turn leave . can not miss it . we back San Francisco stay Grant Hotel .. check easy/ staff helpfulwhat could ask for . this gem . 
 Jul 23 2007 	 Good Location - Shame Smell ! 	 boyfriend & amp ; recently stay hotel 3 night . although location excellent , hotel average quality , certainly lot aspect need improve . we arrive early evening Saturday night . hotel parking across street secure building , even hotel discount still around US $ 20 24 hour . much parking street ( & amp ; expensive ) , drive block two find spot free Sundays & amp ; evening least , . check - in smooth , obvious hotel gay - friendly , might find useful ( be also man 's club foot street , be kind thing ) . head room & amp ; immediately notice something smell bad elevator , & amp ; room also smell funny . ' m quite sure describe - not really rank , smell would prefer smell constantly stay there . the room fairly small & amp ; air - conditioning , bathroom large , shower bath well . room & amp ; bathroom fairly recently rennovate , & amp ; unfortunately look onto brick wall 2 foot away window . not noisy window open though , good . tv bedroom HBO , & amp ; furniture appear fairly new , & amp ; bed warm & amp ; comfortable . the reception area couch & amp ; chair , tv watch , & amp ; newpaper & amp ; magazine read . free internet computer usually people might wait . one time minute guest checking come & amp ; make story computer technician check computer , could use internet without wait ( obvious , tell actually queue computer & amp ; would need wait like everyone else , & amp ; like wait ) ! breakfast sort muffin & amp ; donut make available reception desk ( think get coffee ) , fresh & amp ; tasty . want something substantial old - type cafe couple minute walk road past laundromat ( also handy ) get kind stuff resonable price . many convenience store around hotel & amp ; cable car stop foot road . the service Grant Hotel leave lot desire . think completely ignore every occasion walk past desk staff member , except tried use security card front door ( hour , mean ) , & amp ; get tell - still not know . general hotel ok . location handy cable car , Union Square , Chinatown & amp ; city ( be hilly walk either ) , smell , expensive parking & amp ; lack service / service actual hotel bit drawback . I would stay budget conscious , chance spend slightly money would stay elsewhere . be budget could bad though , & amp ; least get decent bed & amp ; bathroom compare hostel dorm room , couple . 
 Jul 7 2007 	 good place stay 	 love hotel easy walk Union square Chinatown . something di not please 3 friend book hotel room rate , get small room friend ' include bathroom , small room use keep clothe . however , staff nice friendly . 
 Jul 3 2007 	 Good could well 	 stay partner 7 night , time come go nothing matter . arrival greet quite curtly , spanish - speak partner could understand single word [ Thai ? ] registration question . except friendly receptionist work weekend , never greeted - greet back - reception checkin . '' make favorable impression tourist . fortunately city dind't need ask assistance ; lobby answer question guide foreign tourist not get help desk . ( sigh ) besides , hotel incredible bargain , package find online [ -- ] . room rate , package include San Francisco CityPass - not overlook Passport include 7 - day , & quot ; all - you - can - eat & quot ; bus & amp ; cable car transportation . $ 5 / ride cable car corner , would prohibitive without book - lot less fun , too . our room clean orderly - well - make bed fresh linen , renovate bathroom , modern convenience courtesy soap & amp ; - yet musty smell linger - normal aspect old hotel city , less hygienic elsewhere . consider old - world , seaside charm must . since not room much , not problem notable . I will definitely return San Francisco check rate hotel ! 
 Jul 2 2007 	 fantastic location excellent price - great budget hotel city centre 	 stay Grant hotel san francisco 5 day June . agem ! ! pay $ 370 include taxis impress place iam recommend everyone stay ! ! ! perfect location , locate block union square powell andbush st . right beside cable car , shopping , pub , restaurant andwalke distance northbeach ... perfect . because price , be not expect muc room basicclean place rest head night . impressed gothowever ! room good size queen bed , tv , table chair , walk wardrobe load space , private bathroom also veryspacious powerful shower always hot water , marble topspace storage large mirror . place immaculately keep , freshtowel every day common area lift well keep also . obviously ritz place clean , central quiet . receptionist pleasant little unhelpful . breakfast basic weate do not mind . also free wireless internet access available inthe room ! sum - would highly recommend place look acentral affordable hotel tour san francisco . perfect location foreverythe SF easy get around foot cablecar ! book place , promise will not disappoint ! 
