lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Jul 20 2009 	 improve - least short people . 	 wife & amp ; stay Gold Coast Hotel & amp ; Casino June 1 - 4 , 2009 , reservation make expedia.com . second stay property couple , stay alone . check - in smooth enough , get room notice put room two queen bed , rather king bed , reserve . immediate call front desk meet indifferent , " well , call back tomorrow see change room you . " wife upset indifferent attitude mistake accommodation . the room remodel since last visit , noticeable difference bathroom . tub replace shower stall door curtain . ( stylish practical way thinking , hey ! not clean ! ) bathroom sink sink large granite countertop four foot floor , meet 5 ' -3 " frame mid - chest level . whole , find change stylish , comfortable practical . ' sure someone must like . ( tall person , doubt . ) Gold Coast also add buffet since last visit , well replace 24 - hour coffee shop TGI - Friday ' . neither improvement , way think . buffet ordinary good one visit plenty we . Friday ' ok , miss menu variety restaurant . addition , atmosphere background music make we want flee ASAP . ( probably corporate strategy encourage turnover . ) meal off - site , ' comment Cortez Room Ping Pang Pong chinese restaurant . aggregation tables buffet look like coffee shop , close every time pass . on morning second day move king room floor remodel . furnishing serviceable bathroom th old style tub sink ( like well ) super - strong water pressure . wife use room service twice satisfied food service . on whole , ok stay , probably ' return . miss coffee shop improvement room décor ' enough send we race back time soon . 
 Jul 16 2009 	 old room yet really comfortable 	 friend stay Gold Coast one night . surprise clean quiet . be locate across street Palms third cost . room everything , except Plasma flat screen old . however , everything really good condition clean . shower outrageously fantastic . hold great ride shower powerful plenty hot water spare . complaint . stay fifth floor noise sleep well . air conditioner work great get really cold room . two friend please never feel dirty worried crime . see trouble whatsoever good time . 
 Jun 23 2009 	 good stay 	 get great rate website , buy one night $ 28 get one free . stay two night $ 15 night . steal . check other get 2 - 1 coupon buffet , not . tell rate not include . worry , price right . room big clean . face north view parking lot behind hotel . room quiet . walk pass room next door , hear loud cry baby . room , could not hear . 3 pillow king bed call housekeeping get we 2 within 3 min . flat screen tv not work , engineer jiffy fix . impressed quick service . non smoking room cigarette burn tub , not smell smoke . casino average casino . not see many people winning include . eat breakfast buffet , $ 5.95 free club card . average , nothing special . omelet station , ask poached egg say , ask hard boil egg say . lady next say , & quot ; must water ! & quot ; . laugh day . overall good hotel . someone steal disturb sign door maid knock 7:30am . oh well , be travel . 
 Jun 9 2009 	 Little Gem . 	 Las Vegas every year since 1999 , always stay Strip big hotel . year thought would try Gold Coast , see last trip . wonderful find far concerned . nice come hotel morning peace quiet hustle bustle straight away would Strip . shuttle bus frequent - probably every 15 minute driver friendly . staff hotel courteous helpful , especially first day find medical centre unwell . pool area , although large , clean plenty room sun . entertainment daytime - jazz group - husband thoroughly enjoy . evening enterainment varied , standard group good Strip . room little disappointing first glance , think small side , day two soon get use . overall think hotel good value money would certainly stay , return Vegas . 
 Jun 6 2009 	 good hotel strip 	 well time decide move strip Gold Coast liked pick holiday , good move , nice go back day crowd plenty go on . have couple trip bus , one Green Valley Ranch really nice lovely shop , ask driver call get helpful , trip Outlet Mall road past airport . the shuttle strip good , not wait hardly maybe 10min once . my wife say want come next year usually like strip 
 Jun 5 2009 	 Cheep Cheerful 	 stay hotel time disappoint . upgrade room bedroom fine clean feel atmosphere casino downmaket time slightly rough time . buffet cheap ok pay . lovely weather want chill pool , area around pool fairly basic . this budget hotel good value money do not think stay . 
 Jun 4 2009 	 Service smile 	 say staff Gold Coast Casino helpful . get red eye flight , attempt check 9a pleasently surprised front desk agent never even blink eye . even willing revise original reservation . get room view neighboring apartment complex care , stay room vegas anyway ? property clean ammenitie easy locate . would definetly stay recommend hotel friend family member 
 May 29 2009 	 Average Hotel 	 room little bit small . bed soft . shuttle service strip great charge 3 dollar per room . 
 may 13 2009 	 Great Place stay Gamble 	 go anniversary . tell Sarah front desk anniversary upgrade we suite top floor . room big entire house . really nice , price regular room , WOW ! great time , lot video poker machine hit great hand . definately go back . else bowl wife gambling win ! 
 may 11 2009 	 Gold 	 Gold Coast Hotel CasinoMy wife book two night Gold Coast recommendation friend . arrive find valet , bellman , concierge ! room ready wait around one hour , go bar play keno beer . drink ice cold service fast . luck keno , start notice people casino . drunk couple fight middle casino yell scream , man play next open sour leg , numerous character . finally get room ready go ! wife say let go , call book we two night Wynn ! ! ! leave room tell front desk emergency go . refunded deposit paradise AKA Wynn ! ! ! spend extra cash spoil ! extra $ 40 night stay good hotel strip ! disliked room , people , casino , smoke , décor ambiance ! liked two ice cold beer bar ! hey 7 - 11 ice cold beer also ' see anyone stay night ! 
 May 10 2009 	 Golden Place 	 wait get hotel reception 25 - 30 minute get upgrade presidential suite rest history . parking easy room really good . 
 May 2 2009 	 adequate accomodation great value . 	 check - in staff mediocre , rest staff good . room clean bed comfortable . hotel great location car although shuttle many strip downtown location available Rio next door . parking lot huge freeway strip access great . drink come quickly gamble ( week ) . buffet fairly good price could beat . 
 Apr 27 2009 	 Excellent Value 	 great place stay . hotel locate strip across street Palms next door Rio . free shuttle strip run often trip short . walk strip one morning take 20 min . the hotel casino nice staff friendly helpful . room upgrade provide asking . room nice spacious . bathroom nice . the hotel basic buffet inexpensive get discount show gaming card . adequate outdoor pool 70 lane bowling alley . the clientele little mature many strip hotel room quiet . casino bit smokey , air flow good . sign 10 per day . 
 Apr 26 2009 	 good hotel good value 	 stay 5 night vacation one night free . think average come $ 60 - something per night . overall , think good value room similar range - comfortable room , nice premise , reasonably close strip . book premium room w/ king bed ; look like recently remodel , sure standard room look like . one clean , nice modern design , large enough space , comfortable bed . bathroom tile shower stall ( tub ) , soft towel & amp ; bottle shampoo / conditioner / lotion . room table & amp ; 2 chair , armoire & amp ; drawer , iron & amp ; board , flat screen tv basic cable . hotel charge $ 12.99 per day wifi , not use . provide free shuttle strip . ' m usually demand guest far amenity , not mind lack frill . wish tv channel . food option pretty good . Ping Pang Pong chinese restaurant dim sum lunch 10 - 3 yummy . eat dim sum breakfast one favorite part trip . Cortez Room good prime rib . not try buffet cafe . 's also ice cream corner , Noodle Exchange restaurant & amp ; TGI Friday building . Checking & amp ; easy . book Expedia front desk give trouble . first time stay Gold Coast pleasant surprise . enjoyable stay , definitely return . 
 Apr 20 2009 	 - great stay ! 	 forget post last stay Gold Coast . happy say - still LOVE ! ! book March August stay ( yes , know 's hot Hades Vegas August ! ) determination get we room 50 % price start ! always match price find low one web . call probably 3 time keep get low price ! ! people always friendly buffet excellent . diverse choice - dinner - type stuff breakfast time & amp ; vice - versa . look forward next stay ( probably 2010 ) renovation complete . AWEOME DEAL & amp ; great place stay off - strip ! ! 
 Apr 12 2009 	 bit Cool Vegas Gold Coast Nice 	 second stay Gold Coast go new room buck . well worth . Vegas fairly cold respective normal temperature , torm front move actually rather cool couple fo day . 's hot Vegas . room clean wierd smell toilet clean , however ask one cleaning lady clean right away . non - issue really . $ 47 night clean , cheap nice place although Strip . they still run shuttle mid - strip frequently Strip actually plus we get away hustle bustle . Deuce go right front property 24/7 although transfer . buffet pretty good fairly cheap . complaint cashier would honor $ 5 food coupon per day , say charge room deduct upon checking , . casino nice , huge big enough . want bit quieter pace good inexpensive accomodation , Gold Coast recommend . may try somewhere else next trip see else around . 
 Mar 25 2009 	 excellent value service price 	 Vegas several time decide venture strip check hotel . keep expectation low not one new hotel plus 's location less desire . little know would end one favorite Vegas trip ever . check great . ask one newly renovate room nice enough find we one free charge even though book solid March Madness . also give we 2 voucher free buffet restaurant . nice start ! get room pleasantly surprised find completely modern trendy room . hint smoke like old hotel say room non smoking . clean , everything work perfectly , flat screen tv wall always plenty hot water morning evening . on casino / gaming area . although huge , table game slot machine could ever want play . sport book main reason come vegas not disappoint . service bit slow odd post quickly plenty tv 's catch favorite game . drink service fast ( long take care waitress ) next , restaurant . TGI Friday 's open eat every day . breakfast special $ 3.99 's worth every penny . offer happy hour special bar ... day , every day ! 1/2 appetizer , $ 1 beer , $ 1 shot ( even premium brand like Grey Goose , Patron , Crown Royal ! ! ! ) food always serve hot fresh . buffet restaurant Gold Coast decent . doubt would eaten receive free voucher good . not compare Spice Market Buffet Planet Hollywood buffet Treasure Island good - complaint . the free shuttle Strip handy . run 9 am 12:30am never wait 10 minute catch . really ease fact hotel strip . could walk stip 30 min would boring walk not much hotel strip except highway . all would definitely recommend hotel anyone look nice place stay great price . definitely stay . 
 Mar 16 2009 	 excellent value Las Vegas 	 get excellent rate place , especially consider stay include weekend , not expect anything amazing pleasantly surprised . pay bit extra refurbish room nice . car reason decide stay off - strip ( big drinker ! ) problem parking visit strip park one casino car park . gold Coast bowling alley great fun soo cheap also vouch small chinese restaurant buffet excellent value money lovely food : actually prefer buffet one Bellagio ! Rio within walk distance handy be go see Penn & amp ; Teller . would recommend Gold Coast anyone not mind stay off - strip , be great ! 
 Mar 15 2009 	 Nice Place 	 stay December 31 , 2008 - January 2 , 2009 . surprised find room new year 's eve short notice , however ( hotel Vegas , matter condition ) much high rate night . we would stay like location well casino . ' ve make upgrade ( flat screen tv ) coast location TGI Fridays , convenient . room stay standard hotel room : bed , bathroom , tv , dresser . casino pay fairly well , learn stop play give money back ! offer good rate , able walk Strip new year 's eve 's far action . 
 Mar 10 2009 	 will not disappoint ... go newly renovate room ! 	 stay Gold Coast Hotel Casino 3 night . Vegas celebrate husband 's 40th birthday . hotel pleasant surprise ... well lay clean . book Expedia.com get fabulous deal $ 60 3 night . expedia site service saving code post use give we additional $ 20 price . check quick easy ... upon open door room pleasantly surprised see well appoint clean room ... smell smoke ever . bed like home ... guess Beautyrest mattresse . love king size bed like home . lot room armoire clothe ... ample amount hanger iron table iron provide . coffee maker locate bathroom . table chair room perfect morning cup java . the bathroom clean lot hot water flow shower head . towel fluffy soft crisp white . toiletry also available use ... prefer brand husband use bar soap say fine . the buffet restaurant tasty ... eat restaurant except TGIF ... average . entertainement cruise like nonetheless great addition hotel . we gamble many . like smoke fill casino area since quite sensitive cigarette smoke . early morning afternoon much less smoke ... evening terribly smoky . I would highly recommend anyone go Vegas look place stay strip 's far Las Vegas Blvd . consider location . disappoint : ) Happy Travelspanabrite : ) 
 Mar 8 2009 	 Better think go 	 Stayed Gold Coast mid February work . stay one update room . nice , bathroom little strange . tub , o.k . , shower door . 1/2 glass wall shower head , nothing cover rest shower . good suggestion turn heat room , close bathroom door ( slide close ) not open door do shower something . otherwise cold soon shut hot water shower . make sure bath mat floor , water go floor . check go well , other . lady check nice , offer cheap room , exchange would give $ 15 food voucher day . say , fine . friend check someone else , turn offer lady checking get upset become nasty . check little different , day checkout sick , call ask late checkout . lady answer phone not skip beat , say one extra hour , . come 1:00 p.m. get line check . take hour . one area checkout like hotel vegas . trip good , would stay Gold Coast . thought stay strip older not worry . long get update room good place stay . 
 Feb 25 2009 	 Nice Comfy 	 hotel price great customer service need little bit improvement . slot loose , several payoff . 
 Feb 23 2009 	 Nice Place Stay 	 ' ve stay hotel twice , 2007 , 2008 . room nice clean big enough , bed comfy , staff helpful , restaurant casino great ! 's typical glitzy Las Vegas stop , be great value . would definitely stay ! 
 Feb 15 2009 	 Best NFR ever ! 	 year since stay Gold Coast , doubt anything change & amp ; recentely stumble Trip Advisor . I always stay somewhere different NFR , book way ahead ( year advance ) get Gold Coast ( normally sell NFR ) .The Gold Coast far ... AWESOME ! bartender nice , feel like home ! room clean never issue get towel anything ! food really good , shuttle strip useful . the price bar half strip , consider hotel huge bargain . I pick Gold Coast use hang NFR ( buckle go round ) hear not happen anymore ( hotel ) ? 
 Feb 6 2009 	 always good experience 	 return stay lasting February 1st 5th . hit little bump agree - on price correct without problem . recommend make note get name get confirmation number . also date conversation . make reservation 31st December $ 64 per room . find site $ 56 , call confirm . , like day , price $ 36 , confirm . problem talk central booking person , desk person ! another bump new TGIF . not get act together yet service okay take forever get food . since restaurant breakfast be kind captive audience . use eat Courtyard Cafe open 1am 6am . start use buffet . problem good eat much problem lean crap table . check two room , 90 year old mother - in - law , problem 12 noon . table evil lose want , usual . dealer pit personnel great , usual . eat buffet couple time slot special age 50 + . great dinner Cortez Steak Restaurant also ticket see KA MGM ( great show ) . all - in - all pleasent time . son girl friend also come couple day sister - in - law husband come Paris Hotel visit dinner gambling . probably 8th visit GC , 15th overall visit LV , never disappointed . yes , mile Strip . yes , mostly old couple local . yes , bathroom small ( except newly remodel premium room ) . yes , 's lot ble bright sparkle . , know go , disappointed enjoy stay resonable price . first visit Las Vegas , would recommend first experience . , ' ve number time recommend give try . 
