Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Sep 8 2009 	 FRIENDLY CLEAN HOTEL -delighte stay -Emilio saint 	 stay Newton March two night happy -as result need arrange recommend hotel Upper West side large wedding groupin August ask Emilio manager reserve 16 room -in end party ocuupie 25 room various lenghth stay -- -7 single ocupancy other double -- vary 13 night , 10 night other .down 2 3 night other . hotel clean . staff ever obliging . rtoom clean new bathroom , micro wave good size fridge . restaurant hotel lobby big diner next door seemd clean effficient , people want Kosher meal next Avenue [ Amsterdam ] selection Kosher cafe etc .and synagoue OZ West 95 th Street within 5 minute walk . Central Pak 10 minute one way Riverside dDve 10 minute way .The subway station right side . nothing much staff .and one party real complaint . want double queen sized room specity booking . one lift two staircase .some pole room face onto Broadway hear traffic noise .I owuld ecertinly whole heartedly recommend Newton -there nothing area compare -- go 80 th street find something else stay hotel 80 th last year suppose superior would rather stay Newton .One c say nothing much bother trouble patient smile staff .Well do Emilio -you lead great team ! 
 Aug 28 2009 	 accommodate 	 22 year old daughter travel New York , take red - eye California arrive Hotel 9:30 . gracious let check early . the staff helpful pleasant . easy access subway lot place eat nearby . room small , guess 's New York ! probably stay future . 
 Aug 21 2009 	 great ! 	 really happy hotel particularly staff friendliness , cleanliness ( excellent chambermaid ) location . can not see excellent value money anyone could negative . really close Central Park 10 min 15 minute subway Times Square 30 min Greenwich Village 45mins Battery Park great . Upper West side relax great local restaurant near . key West Diner next door hotel great breakfast , dive BAR 732 Amsterdam Ave 2 min behind hotel great relaxed beer burger delicious local Italian must try Gennaro 5 min away 665 Amsterdam Ave . bottom line Hotel Newton provide relaxed , quiet hassle free experience love trip ! Laura TimWrexhamNorth WalesUK 
 Aug 5 2009 	 good location poor service avoid ' 07 ' room 	 mom stay hotel read positive review multiple hotel website hear close Columbia University help sister move . though price right , feel obligation share disappointment hotel . there ' doubt location hotel ideal . ' across street subway conveniently locate next bank , drugstore , diner cafe . to point , give ' 07 ' room , switch ! even though request room two single bed , give room one double bed , ' big deal room ' small run - down . joke , maybe foot large king - size bed . , room update like room photo see post guest . carpet feel damp , wallpaper stain , bathroom could fit one person time feel around dirty . even find hair bed make we think sheet even change . tired move unpacked anyway settle uncomfortable night . ' read a / c unit loud , one sound like semi - truck revving engine every 15 minute . needless say , sleep well request new room next morning . when first ask switch room , front desk person originally check we tell we " book " . ask least change 3rd night , proceed generate two new key card we tell we could move new room right away . first feeling relief move next door room two twin bed ' expect , realize room available time lie we " book " . ' hear hotel practice , leave we feel enrage much rip . return original key , make point front - desk person room different consider equal value . instead apologize offer cheesy customer service line , tell we guarantee , imply we favour change room . reaction ' expect leave we bad taste mouth rest stay . decide stay hotel , prepare follow : - poor service front - desk- slow elevator- in - room safes- thin wall ( hear neighbour wake - up call ) - dirty date hallways- small bathroom ( though pleasantly surprised heated floor new bathroom location hot water pipe ) - limit bellman service- 30 minute walk Columbia ( 2 stop subway ) future , would look stay elsewhere , possibly hotel chain . least standard room cleanliness treat guest . 
 Aug 5 2009 	 fabulous value easily accesable 	 hotel excellent opinion , although quite far uptown subway literally right outside door bring right heart city 5th avenus Times Square . room lovely , really clean well maintain obviously renovate recently . room also fridge microwave well large tv . would definitely go back ! 
 Aug 4 2009 	 HOTEL NEWTON - BARGAIN HOTEL MANHATTAN 'S UPPER west SIDE ! 	 teenage daughter stay Hotel Newton week July , would stay future trip NYC . find price quite affordable Manhattan 's Upper West Side within walking distance Columbia University , purpose NYC trip . be also within walking distance Central Park , enjoy . the manager Amelio Morales hospitable , friendly , helpful professional . several ocassion , see attentive guest . staff front desk also helpful friendly . Landry , Charles Awaab always greet we friendly what - can - we - do - for - you smile . willing answer question help way need . will remember warm smile face Eduardo help we luggage direction serve time doorman . also convenience book city tour front desk . room two queen - sized bed roomy , comfortable clean big - enough tv great channel . fridge , microwave coffee maker . bathroom clean well supply maid service excellent . close public transportation - subway bus - even though Newton locate 96th Street West , often make Times Square less 20 minute express train subway . Newton right next nice restaurant , step away internet cafe fast - food outlet . I learn Hotel Newton visit Columbia University 's website among hotel recommend parent student wish tour campus . thank amelio wonderful staff make stay NYC enjoyable ! 
 Jul 27 2009 	 Liked Hotel Newton 	 last weekend first experience stay Upper Westside Hotel Newton . agree favorable review Tripadvisor little gem . impress spotlessly clean room , especially bathroom . not use microwave refrigerator ; , nice . mattress bit firm taste ; , certainly terrible . course room small , say suburban chain motel room ; , hey be New York ! want space , prepared pay lot . thing great view . stay , want low floor room ; one small elevator entire 9 floor 's convenient take stair time . white noise window air conditioner mask night time street noise , ' m sure . love Key West Diner right next door breakfast morning . 's also drugstore corner , two Starbucks within block subway real close . location , location , location ! 
 Jul 23 2009 	 Good Location small room 	 stay LA Las Vegas hotel room small compare . the upside fridge . it quite close subway easily accesible town . I would recommend take stair lift bit dodgy slow ! 
 Jul 23 2009 	 Real Gem ! ! ! 	 husband return 3 day stay New York . choose stay Newton Hotel base Trip Advisor positive review . we disappoint choice , fact small hotel surpass expectation . firstly greet door smile doorman , staff desk exceptionally welcoming . arrive Pen Station able take subway directly hotel due fact subway stop couple building away hotel . although Newton locate 96th Street West , subway Times Square two stop away express line . real bonus . room clean well equip additional extra iron , fridge microwave . bathroom recently renovate clean also . several ocassion meet cleaning staff hallway also polite friendly . the three people impress we Landry , Charles Awaab ( staff front desk ) . spot trouble lose wallet three staff member could helpful locate emergency telephone number allow we cancel credit card generally assist way could . Charles actually give we personal phone card could make call home . travel extensively couple stay many different hotel one impress we much move write review . nothing hotel disappoint . value money , welcome stay clean conveniently locate small hotel , Newton great pick ! ! ! 
 Jul 19 2009 	 good value convenient locatation 	 travel leisure two teenage daughter . Hotel Newton convenient locate Upper West Manhattan , meter major metro station wiht fast access downtown . lot cheap nice restaurant shop close proximity . room small nice clean . look brand new . equip refrigiater , microwave coffemachine - new coffee provide day free ( nice feature ! ) - almost perfect oasis big confusing town . for drawback lack chair sit use laptop reading . staff meet professional nice . 
 Jul 10 2009 	 Close Columbia University 	 description hotel accurate : 2 star hotel reasonably price relatively well locate . however , need go Columbia University , good locate : perfectly locate . room small , ok . service impressive . seem impressive fact answer many review act personally . 
 Jul 2 2009 	 third stay Newton still great hotel . 	 ' ve stay Newton March 2007 / 2008 May 2009.The Newton comfortable hotel locate Upper Westside . location great , subway ( right next hotel ) take Times Square 10 min . take 10 minute get Central Park . shop , grocery store , restaurant pharmacy within walk distance . the room clean equipped fridge microwave , convenient . we rough first night hum sound produce ventilation system outside , low floor . night problem get sleep . the front office staff efficient , bit welcoming would nice . doorman friendly guy . would definitely recommend Newton going stay NYC day ! offer good value money , clean comfortable Upper Westside great neighbourhood . regard , W . van Dijk 
 Jul 1 2009 	 life save ! 	 origianlly book stay hotel 92nd street . turn appaule ! . good thing wireless internet ' m Sooo glad take laptop . I get straight look new hotel could stay new york night ! , next 7 night . Luckly Hotel Newton catch eye . the room special offer grab really good bargain . staff friendly hotel porter cool character ! . staff Great Knowledge good people skill ( actually talk instead grunt moan ! ) Hotel situate 10 meter subway , Times Sq ( 42 st ) within 10 min . - fantastic location ( never trouble get home ) shop ever need 2 min away , Chemist , liquor , newsagent , 24hrs maccie 's ! ! moan would stay ( small moan ) internet 5 dollar per day , think pretty expensive , hey , cheap internet cafe.cheer guy ! 
 Jun 24 2009 	 poor service small room 	 book hotel Expedia . reserve room 2 double bed , end get one 2 single bed . staff ask read term Expedia carefully , term say Expedia guarantee room book , ( course , will not find not read carefully ) , depend hotel ' availability arrive . , be point reserve room advance ? hotel small , noisy , staff friendly . may get room book pay . end get roll - over bed wall daughter , still pay full price room 2 Queen bed . would recommend hotel anyone , be cheap reason ! not fool price ! 
 Jun 19 2009 	 good size reasonable price New York 	 Hotel Newton quite far west side Manhattan , however conveniently locate right outsite metro station therefore around 10min get midtown . room bathroom clean although airconditione bit loud amazingly efficient . 
 Jun 12 2009 	 clean spacious near subway excellent staff - highly recommend ! 	 make reservation receive great rate reservation Manager , Mr. Emlio Morales . room clean , spacious NYC , staff accommadate . 1 issue bathroom , take care immediately . also , fan bathroom work ( come fix shower use ) , become steamy 3 shower - wish could prevent ; however , major issue . big issue clean ! nice neighborhood good diner next door . WiFi include , need . highly recommend , stay rate competitive . 
 Jun 3 2009 	 luxury ? value . 	 although Newton far luxury hotel , remain good value selection one would offer seek real New York experience want afford see show eat . book hope full four star hotel bargain ... , seek clean , well think room bustle real New Yorker ( read non - tourist ) area helpful staff . luxury indeed considerable saving dine style area 's great restaurant ... far many name ... din next door , though , gem handy ... live NY , nearby put friend family say ... subway across street access NY & quot ; hop - on & quot ; away . if need , also book Newton move apartment need place change ... stay week . the room small side ( stay day room NYC ? ? ) well provide . really like refrig EMPTY actually use ! ! ! microwave ! ! yea ! ! select private bath , well do clean ! closet ( room ) deep enough hide suitcase light ( , well do ) . 
 may 26 2009 	 good value tourist 	 decent - sized room low $ 100s two stop Times Square express train . if be look see New York ( spend day accommodation ) Hotel Newton work well . be nice place , seem well keep . trouble -- work great place sleep keep stuff touriste . it walk distance thing , location 's good be block half 96th st station , take downtown pretty quickly express train . 
 may 7 2009 	 find . 	 enjoy recent stay . book 2 room two twin bed one double bed mother . room surprisingly large New York standard , however bathroom quite small . everything new clean Staff every friendly 
 Apr 28 2009 	 Perfect hotel 	 spend 8 night Hotel Newton mother . little bit worry hotel 2 star one arrive get room quit . room two single bed ( comfortable clean ) bathroom . also tv , fridge wicrowave oven air conditioner room . although room rather small clean . I say really good hotel rubberneck . subway station form one block hotel . lot restaurant , delis , shop near hotel . one bad thing finally can not avoid : view hotel room nice . view top bulide kind machine . not really disturb we . so want visit NYC choose hotel ! ! will not repent . 
 Apr 21 2009 	 second stay Newton 	 second stay Hotel Newton . daughter accept Columbia University stay . location great , clean rate reasonable . room time small , always mistakenly reserve single bed . see manager read review want give constructive comment . first blanket bed . thin bed spread . sure case room , enjoy . also check Landry , really feel like favor . interested talk coworker would like go Texas stay parent sleep month . asset hotel . read review appear majority front desk staff pleasant . . encounter another front desk clerk evening quite nice . last comment third floor roof ac unit could accomodate possible intruder . could life get window lock . single woman stay alone . concerned . enough call assistance . situation could possibly remidie staff . state , stay . overall positive opinion property . also see previous review . 
 Apr 19 2009 	 great stay New York 	 come back second trip NY second time stay Newton Hotel . even time not disappointed , room clean spacious two comfortable double bed , big bathroom also small living room ( fridge microwave ) dinner . near hotel several restaurant diner , mean transport stone 's throw . express subway reach Times Square 5 minute bus n 104 reach UN building ( enjoy Manhattan avenue without spend fortune organize sightseeing tour ) . would certainly recommend . 
 Feb 26 2009 	 absolutely terrible 	 first , entire floor smell like army latrine . sure problem , say ' handle till tomorrow . course , unable transfer another room ... even annoying , arrive , ask credit card " security " . since plan use debit card anyway , give credit card much available credit . middle night wake phone call " Miss , come clear balance - credit card , ' go " . appear decide charge entire stay card choice ( ask " security " only … yeah right ) without ask first , ' wait till morning sort thing out . I dress middle night , go , pay entire stay ( course clear instant – please let decide card use order pay stay ) . oh , mention important interview next day ? ' go ! 
 Feb 23 2009 	 pleased ! 	 first , location . Newton Hotel situate Upper West Side proximity subway , Central Park , restaurant cafe well good shop hard wish well location . anyone want stay safe neighbourhood consider hotel : disappoint . secondly , accommodation . double room 2nd Floor overlook Broadway ( get request time booking ) clean , comfortable , warm spacious . not get wrong - room big tiny either : good size single traveller . guess might small side 2 people perfect one . mention previous comment , find coffee machine free coffee sachet extremely useful . also appreciate fridge , although never use , sure guest appreciate fact microwave oven room . overall , impression whoever design room guest comfort mind first foremost . bathroom small somewhat awkwardly design clean good shower good quality towel . clean every day ( make mess ! ) . also , shower curtain superbly clean , might lucky gotten new shower curtain altogether ! furniture luxurious functional ( important ) look like pick discount store sake sort table chair room . basically , furniture simple , relatively new practical . not sure bedsheet though : day would nice crispy sheet , day would end old somewhat worn one . would great old one discard altogether new one use time . also , couple time , change sheet would constitute top sheet put mattress mattress sheet use top one - not like ... last , least , staff . would not say staff , overall , friendly everybody efficient , book , really important . course , efficiency combine genuine , courteous friendliness would go long way maybe winter blue staff member affect . case , problem ... 's atmosphere could bit light welcoming smile there . and finally , would definitely stay Newton Hotel . already recommend quite friend visit NYC regular basis hard find nice hotel good rate great location one . 
 Feb 16 2009 	 Good New York Hotel 	 though far uptown ' ve stay , try Hotel Newton part Empire Group great deal - three night $ 400.00 include tax . also receive good review Tripadvisor Expedia.com . not disappointed . room clean bright . 's proximity 96th . st. station 1,2 & amp ; 3 subway line give option either local express headed downtown . within 3 block Gotham Wine Spirits ( reasonable price ) , Dock 's Oyster Bar ( great Sesame ' Tuna Blue Points ) Barzini 's market . verify quote rate sign though . register , rate one night increase $ 95 $ 140 . bring clerk 's attention register without hesitation honor original quote . I would definitely take advantage Hotel Newton rate go , undoubtedly , . 
 Feb 11 2009 	 love Newton ! 	 stay hotel seven night . book Double Room , three people end , absolutely problem hotel . uprade we low fee queen Queen Room . size room ok . enough space store luggage . facility great . be really nice microwave fridge room . bathroom good , . good order clean . Maid service excellent . room clean thorough every day . staff nice helpfull . two computer lobby access internet . find little pricey ( 1 dollar 5 minute ) . be definately worthwhile book Wifi option , give access internet room ( cost 5 Dollar per day ) .a drink dispenser locate second floor well telephone . there plenty restaurant near hotel . pharmacy supermarket metre away . subway station 1 - 2 minute walk away . express train stop also , Times Square 2 stop away . would highly recommend hotel . 
 Feb 10 2009 	 Fantastic Hotel 	 Wife stay hotel 4 night one complaint . the location brilliant . next hotel 96th Street subway station catch either number 2 3 express route . take roughly 5 10 minute get Times Square Penn Station . the hotel next Thai restaurant ok , fantastic Diner ( Key West Diner ) also big store corner . Central Park 5 minute walk away . this hotel everything need . not anything else could ask for . all staff really friendly helpful , nice . the value money hotel offer excellant . definately recommend . 
 Feb 9 2009 	 great deal 	 hotel perfect place stay NY ! & quot ; double double & quot ; room ( two twin size bed ) , private bathroom . room good size ( even enough space additional bed , request third friend need place stay two night ) , sparkle clean , bathroom brand new , towel change every day .... quiet ... coffee machine room ( regular decaf coffee available ) , microwave minifridge , hair dryer , iron board iron available room well ! tv ... closet ... chest .. desk .. nightstand ... two computer available lobby , internet printing , wireless internet available room 5 $ day , reasonable . staff nice helpful ... neighborhood nice , shop restaurant available vicinity ... express subway right front hotel super convenient , even though upper west , 2 stop Time Square , 5 stop Village Soho ! would recommend hotel anyone , surely stay . 
 Feb 3 2009 	 Fantastic 	 bad word say place . location good , subway outside door . price great room big New York . good number bar place eat within couple minute walk . also fantastic diner right next door . great spot . 
 Jan 14 2009 	 Terrific Staff 	 college stay Hotel day month time . time greet friendly , courteous staff , clean comfortable room . the location convenient everything need include client office . would highly recommend accommodation . * * KSD , Florida * * 
 Jan 8 2009 	 nothing bad say 	 stay Newton Hotel 4nights excellent . stay room two double bed four girl intent alot shopping , size room adequate suitcase shooping bag . room itslf clean , lovely flat screen tv , fridge microwave . Bathroom spotless clean everyday fresh towel provide . room face onto Broadway could hear traffic noise , light sleeper be not anything ear plug could not sort . hotel staff helpful help we direction organise airport transfer . the hotel great diner next door go breakfast everyday super close subway , great way get around city . overall would definitely recommend Hotel friend next visit New York will not even look different place stay . complaint great value . 
 Jan 6 2009 	 Great Place highly recommend 	 not really know expect stay upper west side - do not regret one bit stay , would . first staff great - friendly professional . room clean huge fair enough price fact be still manhattan . diner next door , great thai food next door , grocery shop corner , train one blk away , park around corner ( hotel own ) $ 27 24 hrs . one great stay NYC . also fact many international visitor make kool appeal . great price ! highly highly recommend Hotel Newton . 
 Jan 6 2009 	 awful ! ! ! 	 stay away hotel ! ! price could hotel well location , clean room bathroom . room small , awfully cold , dirty ( clean lady clean stay ) share bathroom awful . stay feel like would motel . also , three star hotel say Booking.com , fairly 1 star hotel , like hostel . 
 Jan 2 2009 	 excellent budget traveller 	 amazing hotel budget traveller ! ! ! ! much well expectig modern , clean could not hear anything night outside make nice change New York ! ! ! go holiday family friend new year love hotel bedroom bathrom high standere two star could quite easily give three star plus . however room quite small not matter modern clean LCD tv ! ! ! hotel position right next subway transport not problem though hotel not restaraunt classic american diner next door perfect breakfast want reasonably price . the hotel lobby also modern staff quiet helpful need , also nice door man 's take luggage open door arrival . safety deposit box downstairs people use luggage storage room day check room 12 lunch time . room also take care day bed make clean towel . fault would give hotel lift slow sound like be go break down . over brilliant stay ! ! ! 
 Dec 30 2008 	 great hotel reasonable New York price 	 stay girlfriend 6 night room queen bed private bathroom . great location away madness main tourist / shopping area close express stop 1/2/3 subway line . easily walkable Central Park . small room cramp , flat screen tv , microwave , fridge . helpful staff . downside price ( average sort place NY , expensive standard though close Christmas ) wifi ( $ 4.95 per day get new password midday every day - free able get password duration stay ) . additionally could not check 2:30pm ( 2pm ) .price aside , really excellent hotel . would stay could get well deal rate . otherwise back hostel ... 
 Dec 27 2008 	 little gem 	 second time stay . phone reservation doorman front desk staff , pleasant experience indeed . room immaculate comfortable . wish desk room ; enough space one . convenient term subway travel . right 1,2,3 line ( direct Times Sq . , Penn Station . ) couple block b , c line . great diner - type restaurant next door . safe area . lot restaurant store . price , would stay anywhere else . 
 Dec 18 2008 	 avoid room share bath 	 stay Netwon Hotel 8 night November 2008 great experience . complaint include : grumpy front desk staff awfully unhelpful ( one evening tell we requete towel false assumption already ask - like would sin anyway ) ; lift break often one lift top floor , reqire lot walk ; wall room wafer thin meaning could hear next door neighbour scratch ; floor really squeaky , meaning could hear neighbour every move paper thin wall ; tv reception work station ojr first night due bust antena roof ; finally heater room break stuck permantly & quot ; & quot ; mean absurb situation wewere sewate night zero degree outside ... hotel staff attempt fix , make much difference . however - bad . guy open front door morning nice , location good ( near 96 subway station express ) . relatively cheap compare hotel loke thanksgive day weekend . internet reception area convenient . in summary , would stay ... would probably look accomdoation slightly south sure well accom price range ... stay though , would suggest stay room share bathroom . anyway - still enough ruin awesome NYC holiday ! 
 Dec 1 2008 	 good hotel upper west side 	 stay 7 night Newton hotel 7th floor perfect . soon get taxi friendly doorman welcome we take luggage . staff really nice even speak French perfectly . I really recommend hotel location close Metro N ° 1/2/3 96th street , nice dinner around even one next hotel 's entrance + chinese indian restaurant .. lot shop , starbuck , dunk donut , deli supermarket + good restaurant recommend try OUEST restaurant boulevard go west . great cinema far hotel even sport center visible room 's window . the room clean big enough 2 + flat screen tv wall , fridge , microwave , coffee machine even ice box . bathroom small nice little bath + shower , airdryer . cupboard iron + table big enough keep case . the room really well clean every day . so want great double bed room queen size + nice view Broadway Blvd ask room 702 . 
 Nov 16 2008 	 Recommend Hotel Newton 	 wife , daughter spend 5 night Hotel Newton would hesitate recommend anyone . experience , arrival departure wonderful . staff , Charles , Alex , other , professional helpful . go way make visit New York , celebrate daughter 's 21st birthday , special memorable . stay Jr. Suite , spacious , comfortable , good lighting option always clean . always nice queen sized bed rather full . location , 95th & amp ; Broadway , convenient , easy close access subway . feel safety concern stay . reasonably price restaurant close . downside accommodation hard mattress . would definitely stay Hotel Newton ! 
 Nov 16 2008 	 great hotel 	 Excellent hotel . room tad small sleep problem . subway really close plenty dinneraround . would stay . 
 Nov 3 2008 	 Excellent ! 	 stay Newton 7 night late October . family room ( 2 double ) quite small clean keep well maintain stay . all staff friendly helpful although hotel restuarant Key West Diner right next door mean problem . we breakfast every day occasion order take . food good hotel staff friendly . the location hotel 30 yard 96th street subway entrance 1,2 & amp ; 3 line . be 10/15 minute Times square Penn Station subway . for Price , location service can not fault place return NY would definately stay would not even bother look elsewhere.10/10 
 Oct 28 2008 	 good 	 excellent stay Newton . book two double bed via Hotels.com arrive give we one double , however quick chat reception , get want . good location ; nice diner next door great italian one two block . also , take fast train ( 3 ) mean 2 stop Times Square . I would definitely stay . 
 Oct 21 2008 	 love Hotel Newton 	 much search 2 month good hotel mid - October not $ 350 /night stumble upon Hotel Newton . $ 220 / night comfortable room spotless , quiet , wonderful staff ( Emilio , Charles Alex sweet everything accommodate we ) rest staff - doorman housekeeping maintenance - ' m sorry get everyone 's name - also superb . hotel also conveniently locate subway stop within walk distance Central Park . Upper West Side plenty good place eat nice break crazy crowd downtown . would definitely stay ! 
