bad 	 stay hotel good review . check get room bathroom mess . toilet use , stuff lid toilet flush . almost get sick . call front desk ask someone clean up . some one clean . also ask supervisor one show 's . supervisor manager even call I . my husband tired flight , would leave place . definitely would recommend place anyone . 
 Sep 15 2009 	 thought would ... 	 check : room ready till 4:30 ( check 3 kick 12 noon ) sure take 4.5 hrs clean small room ! front desk clerk rude ! ! room small , dark , dirty looking . bed comfortable , sheet main cover bed ... ? ? bathroom small , hit knee sink sit toilet . wait line elevator everytime try . maids storage next room great -- loud bang stuff around . every morning 6:45 b / c ! price pay spend extra $ 100.to stay nice hotel street . door guy place nice place . one person entire 4 day say one word we . would never stay free ! ! ! ! 
 Sep 14 2009 	 picture 	 select Inn Chicago base web site , look contemporary convenient . hotel lobby look like one $ 1000.00 makeover show . cheaply do . odd smell entire hotel try mask Flower freshener make bad . furniture lobby hall cover lint stain . room small ( fine ) filthy . go straight lobby get $ back move . battle manager finally state would let we reservation . leave we street January luggage . horrible experience . 
 Sep 14 2009 	 Great Location Horrible room 	 stay get good rate Hotwire Travel Ticker budget hotel room . also pick close Michigan Ave . great , stay anything . room look nothing like room display website . look like decor not touch change year . bathroom small one person could time really want , could go bathroom wash hand time . bed uncomfortable duvet cover enclose two flat sheet , disgusting doubt wash duvet cover often . long day shopping run around , ready get back room shower . hotel 3 small elevator 22 floor fit four people comfortably 6 people tight . wait line numerous elevator come could even get one . drive crazy since want sit back relax , wait line elevator . not enjoyable relaxing room room much small average room would find Hampton Inn Holiday Inn . 
 Sep 9 2009 	 great location downtown Michigan Avennue 	 central location Michigan Avenue , near shopping restaurant 5 min near train station . 
 Sep 7 2009 	 Still Convenient Place Sleep 	 tourist Chicago , one usually busy sightseeing attraction , visit nightlife sample fantastic restaurant . sort agenda , need safe , comfortable place sleep next day . Inn Chicago continue fit bill convenient location , reasonable price , no - frill - necessary accommodation . located block away Michigan Ave . , street around hotel ( corner Ohio St. Clair ) quiet relatively low foot traffic . Navy Pier within 15 - 20 minute walk , Magnificent Mile even close . within block hotel restaurant various cuisine ( italian , Armenian , tapas , Mexican , asian ) , casual bar , obligatory national - chain donut shop coffee shop . 7 - Eleven sit corner across street late - night snack beverage need . the Inn Chicago tout Innbar , small lounge main level . however , crowd ( lack thereof ) bar indicate Labor Day weekend , primary attraction hotel . , , maybe three four patron cocktail beer give time , poor lonely bartender may distract human contact . therefore , not expect table service . go bar order drink there . the fitness center describe hotel staff recently renovate new equipment . consist series new dumbbell ( range pair 5 50 lbs . ) , vertical machine weight system pull - up bar weight bench , recumbent stationary bike , two treadmill , eliptical , balance ball , yoga mat . water cool flat - panel TV also available room , bring towel room . 
 Sep 2 2009 	 excellent location comfortable bed 	 send conference Chicago downtown . hotel 1 block away . satisfied location . little disappointed stepped room . room kinda small dark blue patten carpet not look clean . however , bed comfortable . stay three night , do not feel room small find use space efficiently - tiny bathroom everything . still feel need clean carpet , would much convenient free internet room , people will not go lobby check email . 
 Aug 31 2009 	 Perfect 	 not cost much , get discount . right heart downtown . lot people complain small room , get pretty big one . friendly staff . Ritz Carlton safe clean comfortable . 
 Aug 23 2009 	 Says 's 3 star - even close ! 	 fair good . stayed last minute & quot ; deal & quot ; - advertize 3 star hotel . 's stretch call 2 star ! good location otherwise , nothing disappointment . poor service , fairly clean ( average ) , small room bathroom , attentive service . would not stay unless price rock bottom ! 
 Aug 10 2009 	 NPE 2009 	 's ok business trip . step Michigan Avenue . clean . good wi - fi connection . good bar service . breakfast service , nice Lavazza shop next side entrance . 
 Aug 9 2009 	 Excellent 	 everything excellent except hotel interior design ( bit old ) : ) lobby design good 
 Aug 2 2009 	 Great Location Great Stay 	 must say location location location . hotel one good location . able walk , get bus jump city tour bus get around city without hitch . Ritz Carlton look ' book hotel . yes , bathroom small ' base stay enjoyment size bathroom clean , update great water temperature . find bed comfortable . pay less 70 dollar night easyclicktravel.com feel bargain . afford we ability get two room one husband one teenager . lobby bar also great . complaint . yes would recommend hotel friend stay . 
 Jul 30 2009 	 Inn Chicago - perfect 	 stay 5 night give corner room . great time . room good size bathroom small , problem we . inn within walking distance many attraction - 's perfect location . usually , rent room , always something wrong . maybe coffee maker not work . maybe bed uncomfortable . maybe one answer call front desk . maybe can not get water shower right temp . absolutely nothing wrong hotel . even smell good . stay , would recommend anyone go sight - seeing . lovely place . 
 Jul 29 2009 	 small room 	 ridiculuosly small old bathroomsslow hot elevatorshot hallwayssecurity people bother cocktail laugh ? ? ? ? ? ? ? ? ? ? 
 Jul 29 2009 	 hire new staff ! 	 brother travel Chicago Cubs / Reds game past weekend , unfortunately stay historic Inn Chicago . able overlook small room , closet - sized bathroom elevator , lack room safe , etc . huge deal . often case , though , people true indicator good business , establishment get two thumb . day 1 : follow arrival Friday afternoon , . realize leave camera car . since car valet park ( $ 41 / day ) , kindly request employee retrieve camera . slight request answer furrow brow huffy response door man . frankly , take aback response . guy work , right ? repeat request , man get walkie - talkie valet . camera deliver , 20 minute later . slightly irritated , let go ...... day 2 : exhaust day town , brother make way hotel terrace cigarette enjoy night air . midnight , soon learn terrace close 10:00 pm -- people .. although group ladie old man wonderful time , sit table chair , security appear . security guard walk right past patron , tell we terrace close . , shock irritated . realize brother large man , people know , may appear threaten . reality , however , respectful respectable man deserve discriminate . angry , let go ...... day 3 : ready go . unfortunately , vehicle pull around valet , immediately notice clock face damage . point damage valet basically ignore , tell talk man work garage across street . obviously help either . file vandalism claim insurance $ 150 . would return hotel ? . would fire staff rehire new ? absolutely . 
 Jul 26 2009 	 Location plus room bust 	 first , type person generally leave review , hotel definately deserve . first location amazing . everyone say block magnificent mile . husband drive Chicago , valet staff park car ( $ 41 day ) walk take cab everywhere . $ 5 cab ride every place go , not bad walk want instead . , side . room rediculously small . ' m say little cramp , TERRIBLE ! bathroom worst ... not vanity shower small kitchen sink . disapointe . Chicago one stop 8 day road trip luggage not place move throughout room . believe pay $ 130 night ( book online ) hotel terrible deal amount space give . look hotel area , go back Chicago vacation defnately stay Marriott Michigan avenue . hotel block Inn Chicago , decently price , even small room outmatch Inn Chicago . 
 Jul 25 2009 	 Great Location 	 within walking distance main attraction . try Mary 's Cafe breakfast West Egg hotel staff recommend . staff extremely helpful enquiry . small criticism would size bathroom . 
 Jul 22 2009 	 amazing hotel friendly staff 	 ok yes agree everyone bathroom extremely small think everything wonderful love patio 22nd floor everyone could go could bring mcdonald want not pricey restruant could afford everyone get enjoy beautiful view 
 Jul 20 2009 	 Shockingly Negative experience 	 disappoint Inn Chicago return visitor . customer service pleasant situation due financial situation occur . prior check go front desk request pay $ 100 cash towards room prior check boyfriend . mainly want pay valet car however decide even dollar amount would good . hand cash cashier look waste time ; time require receipt provide ; must admit fault review fold receipt cashier charge credit card reserve room . credit card statement receive two charge ; one amount $ 100 remain amount . odd one receipt $ 100 cash cashier number list ... accounting staff pleasant willing connect we directly hotel manager , office manager , front desk manager , etc ( keep getting run around ) keep insist receive call back . however find odd accountant review video tape apparently state pay credit card never swipe world would cashier credit card since not hand anything back . feel take proper step resolve issue . stay , can not trust lobby / cashier staff camera trust . stay Inn Chicago save money discount return customer however long run pay . 
 Jul 14 2009 	 talk action . 	 disappoint hotel . picture look cute trendy looking get find trendiness show comfort . the room small : lamp make weird noise , A / c make really loud noise half channel tv blurry . bathroom TINY closet minuscule . as location , ok stay Magnificent Mile next time ' m Chicago - many tourist white sneaker , remind Times Square ! annoyingly touristy . the price right location & quot ; look & quot ; hotel 's basically be got go . 
 Jul 14 2009 	 Great Location Great Hotel 	 spend three day taste chicago would definitely return room great bed comfortable 22 floor sky deck beautiful lobby spacious moderm well appoint location walk distance michigan ave great shopping resturant love place would definitely return one professional desk , concierge host , doorman housekeeping staff kathleen good joe security great person may stay great thank 
 Jul 12 2009 	 great location big room excellent value 	 book hotel online get amazing deal despite July 4th weekend . expect turn get tiny box room , pleasantly surprised get really big room - impressive ! well furbish , comfortable bed , nicely decorate . complaint . location hotel good get , half block southern end Mag Mile . mean walk anywhere central loop , Grant Park , Millennium Park , Mag Mile , River North , Streeterville , Gold cost neighborhood well Navy Pier . public transport close rest , bus N. Michigan , red line El block way . hotel pretty cool old building , lobby nice ( modern minimalist look bar , not go . also coffee place attach ) . Yep , lift bit slow , old building , small . not bad really , not wait long ever . guess people impatient vacation ! also roof terrace good view . wireless internet available free lobby , room . any downside ? thing say think bit shoddy room servicing . thing like towel replace one day , 2 3 day coffee pot leave uncleaned coffee sachet replace , bathroom floor sweep . nothing major , bit slack . 
 Jul 1 2009 	 convenient 	 hotel right middle thing make excellent place stay . walk Grant Park , Navy Pier , North Michigan avenue shop , gold coast . hotel old clean nice . check - in fast man could not friendly . staff extremely pleasant friendly . excellent buy get room lower near Michigan Avenue . good part hotel Terrace 22nd floor . overlooks city wonderful place sit visit friend , read newspaper , see city light dark , whatever . coffee shop attach two right across street . would definitely stay . 
 Jun 30 2009 	 Great Location small room 	 stay Inn Chicago weekend June 26 , 2009 . book room day $ 91 Hotwire , fine deal . hotel centrally locate one block west Magnificent Mile , be noisy . arrive around 12:30am quickly check room , small clean comfortable , excellent shower nicely appoint bathroom . day check , receive mistaken wake - up call 7 am , call front desk ask could check little later catch interrupted sleep , able stay 2 pm . , enjoy stay hotel would stay husband ... anyone else ; little space ! 
 Jun 25 2009 	 good hotel great location horrible customer service 	 wife two young boy stay hotel 4 day 3 night June 2009 . many other state , location hotel beat . walk distance Magnificent Mile ( like shopping ) , Navy Pier , many attraction . short train ride get Wrigley Field Cubs game . I take one two business trip year , usually stay Marriot Hilton . hotel standard , bad . elevator smallest see anywhere , not really big deal . room good size , except bathroom . not even think try get one person ready time bathroom . extremely small space size ! ! also , outside noise keep well . wake many time due noise go outside . as place visit day , customer service much room improvement . ever go somewhere suppose serve , ask question ask help feel like bother take precious time ? well , be feel . ask lady front desk would possible print something need print . try answer question busy walk bath forth try work . finally tell yes , could help print something , printer not work time . tell go another business print something $ 5.00 . rude unhelpful . would recommend someone stay hotel . well , yes . not even think pay regular rate hotel . find deal hotels.com , hotwire , somewhere else . get price half pay top - of - the - line hotel , stay . 
 Jun 20 2009 	 location great that s ..... 	 first room get smell like bunch cat live . tell front desk get we new room right away . first lady check like robot answer , do not listen say . rest staff nice . room be not nice . although bed comfortable ! sheet wonderful ! nice part hotel lobby ( do not spend time , look nice ) bathroom LOOKED nice , small ! ! ! view wonderful well . rent movie almost sit t.v hear . volume set certain point could not hear sit bed . disappointing . location nice . get double standard room almost $ 200.00 . next time think stay chain hotel next door less ! parking pricey , maybe that s norm chicago , first trip . take we surprise . 
 Jun 18 2009 	 WARNING : SOUVENIRS STOLEN room cleaning attendant ! 	 return cruise , leave souvenir w/ thing room . night check , notice miss call security . security tell we BAG CHECKS EMPLOYEES go home shift - obviously , not trust employee . take statement , say investigation would take 7 day , insist immediate action . hotel manager unable reach room attendant 1 ) fail show next shift 2 ) refuse return call . manager offer reimburse we money , souvenirs gift go . call follow manager ignore we return call . not stay value belonging ! 
 Jun 3 2009 	 Budget View 	 pro : -location 1/2 Michigian Ave.- Trendy / modern furnishings- price give location- 1 block max several major bus route ( feel like spend trip 151 ) - Rooftop Terrace : great view city Llghts night- huge showerhead- large flatscreen swivel b / w couch & amp ; bed ( not watch tv though ) - Lavazza Coffee Shop attach lobbycon : - Old Building = tiny elevators- WiFi not free room ( see lot guest laptop lobby ) . WiFi provide WayPoint acct w / they & amp ; will ok , otherwise factor in.- Parking , 's norm area 
 May 26 2009 	 Great Location Great Value Amazing Rooftop Terrace Available everyone ( Weather Permitting ) 	 Great Hotel great location . main drawback hotel room service . find call wine corkscrew bring room . instead , go lobby bar bartender glady open bottle we . take bottle rooftop terrace enjoy glass wine watch sun set city . although room service , coffeshop / cafe attach hotel lobby level , come handy grab coffee muffin go . upon check - in , tell staff member 1st anniversary upgrade room we give we voucher 2 free drink bar ! ! ! kind treatment alone make go stay . could not ask well location stay well . hotel centrally locate Mag Mile , short walk River North area , Navy Pier . concierge also informative helpful . lastly , think cool , hotel lobby computer kiosk could get real - time flight info , check , print boarding pass - free ! overall , wonderul stay ! 
 May 17 2009 	 nice room staff budget price central location 	 great room GREAT price - right center city . right Miracle Mile , close main deep dish pizza place short walk Navy Pier . stay several time Chicago city center , believe hotel terrific value . drawback bathroom small directly bedroom / main room wall free wireless room . 
 Apr 27 2009 	 exactly look 	 go Chicago weekend want place affordable good location . right Michigan Avenue shop able walk Navy Pier drink night . hotel great staff helpful well . room spacious might good hotel shower ever use . would return property without question travel take back chicago . also lot good restaurant choice within walking distance , casual nice place . 
 Mar 24 2009 	 Ehh mixed opinion . 	 room pretty decent size . stay 4 kiddo . standard double room cramp . the room clean bedding pillow WONDERFUL . seriously never bed comfortable . the bathroom tiniest ever see . really sit toilet sideways . turn sink slowly drench . some staff wonderful young ( probably early 20 's ? ) black lady middle aged white woman ( probably 60 ? ) rude act put request help direction . 3 lady wonderful helpful . I purchase lastminutetravel get room $ 43 night 4 night . stay . hotel nice area , accomidation wonderful step Michigan Ave . well worth snotty front desk ladie tiny bathroom . also aware charge $ 50 per day hold card upon check deposit , complain take . may matter family tight budget may able lose $ 200 vacation fund . 
 Mar 12 2009 	 great location great value 	 although standard room quite nice , small bathroom fit large sink bulky wooden support obstruct seat . will need sit sideways order thing work . colleague 's room ( 1821 ) reek cigarette smoke attempt cover air freshener . emotionless elderly receptionist coldly offer another room . sign hotel indicate fitness center 3rd floor , room 's directory ( black binder ) indicate 's 15th floor . center consist couple treadmill 3 set small weight ( not see ) . want ( wireless ) internet , must spend time lobby , spend $ 9.95 per day . 
 Mar 5 2009 	 great Stay Inn Chicago 	 absolutely love hotel . bit afraid book , extremely low nightly rate $ 58 ( acquire hotel 's website ) , prove wise decision ! read review TripAdvisor , think room would incredibly small cramp . actually surprised satisfied walk Queen Deluxe room 14th floor . it adequate budget trip Chicago . room large expect even desk area plan daily activity , plus . room spacious feel claustrophobic three night stay . the queen bed comfortable nice clean white linen . mattress bit firm like , can not please everyone come firmness softness . I also read reviews TripAdvisor & quot ; awkward & quot ; bathroom . bathroom fine . small side , big enough one use . lovely faucet sink typical shower / bath setup . thing critique room tv . picture incredible fuzzy , suppose not Chicago watch tv anyways . , Queen Deluxe room ( basic room ) prove comfort welcome space enough room solo traveler intimate couple . amenity hotel come price could not beat . location awesome ; one block Magnificent Mile central safe area 24hr Dunkin donut right beside hotel . stay hotel ? definitely . friendly staff , safe welcoming room , plus affordable price make hotel brainer ! thank Inn Chicago awesome stay city ! 
 Mar 3 2009 	 get pay 	 would avoid hotel . picture represent hotel . yes , lobby & quot ; nice & quot ; room awful . check , ask would like large room would shower , tub . agree . room small , barely fit two people . neglect tell we room handicap room shower head appropriate height stand person . could everything another room vent bathroom . husband end remove grate stuffing towel . everything hallway amplify mention ac / heating unit sounded go take Mars . woken everytime turn shut . stay hotel much nice Mag Mile roughly cost . not fool . homework find well hotel great price . oh believe time since bathroom last clean . 
 Feb 26 2009 	 nice lobby tiny room lot BED BUGS 	 bed bug . stay away . pretty forgiving come hotel . always stay chain reward point cheap , look nice website , perfect location . since stay one night , fugre , heck , take chance . hotel look like spend lot mone ymaking look like boutique lobby , spend lobby decore do not spend cleaning staff room upkeep . room tiny , bathroom non - smoking room reek smoke . could forgive becayse one night not spend much time room . next morning wake 100 bed bug bite . find bug leave say correct problem , do not get 100 bed bug bite unless ben problem long time . one month later still people ask red dot arm . 
 Feb 14 2009 	 Loved Location 	 wife stay Feb. 2009 enjoy 2 night stay . location great - short block Michigan Ave . view 3 room select deluxe queen room ( $ 87 ) 5th floor overlook Ohio & amp ; St. Clair Streets . room clean 12x15 5x5 bathroom . hotel staff extremely helpful generally courteous . opt in / out privilege valet parking $ 41 vs. $ 36 park leave option . main room complaint real seating except desk chair . spend time sit , read people watch lobby area . multiple eat option nearby within short walking distance . location one main strong point almost everything downtown minute away foot . would opt stay next Chicago visit . 
 Feb 2 2009 	 get Job do ! 	 hotel frill place make base business trip Chicago . clean room , comfortable bed great shower mean box tick . however , restaurant breakfast facility ( be small coffee shop adjacent , though , serve great croissant ) room service . staff friendly helpful hotel conveniently place get around town foot via & quot ; L & quot ; metra train . 
 Jan 29 2009 	 GREAT BUDGET HOTEL 	 great central location , trendy lobby helpful staff . room great . freeze cold even heater run non - stop ... mind January . bath room incredibly tiny . hot water go take shower . despite quality room , long do not plan spend much time room , hotel great location friendly staff . 
 Jan 29 2009 	 adore place ! 	 place amazing ! be wonderfully central , not think take long 15 minute walk anywhere want go . go friend mine visit Chicago friend say book cheap give location . $ 80 per night roughly ! double double room come usual tv , iron , iron board , hairdryer , phone coffee maker . bed comfortable mine home ! lovely clean bathroom real designer feel . 14th floor even view pretty amazing ! staff amazing , Victor , work transport / bell boy desk friendly knowledgeable . Lindsey , concierge seriously could not enough Simeon , receptionist recommend many nice place eat ! could say word breakfast would list half dozen place go ! freeze Chicago visit , get positively siberian -26 celcius hotel always warm , fully adjustable heating / air con room god send ! 's lovely little coffee shop attatche hotel serve snack bar , well , let say we sample lot cocktail menu , would recommend ! , would recommend hotel everyone ! great girly weekend , couple , great everyone fact ! 
 Jan 22 2009 	 can not see fuss 	 stay Inn Chicago 3 night Jan 2009 . find hotel perfectly acceptable consider much high charge hotel surround area . stay city week spend first 4 night different hotel around corner business . enquire cost stay present hotel quote price $ 970 . consider Inn Chicago approximately one third price , , much difference . agree bathroom quite small spend holiday bathroom . heating room quite old considerably quieter one previous hotel . overall room decent size , staff fine , bed comfortable fantastic location . 
 Jan 22 2009 	 can not understand everyone slag hotel - 's great ! 	 never post hotel review feel compel defend one light terrible thing people post ( note folk negative Americans , maybe guy never happy hotel unless be 5 * $ 500 night price tag ? ? ! ! ) anyway , first stay November 2006 love everything Chicago . ( opinion ) good city planet want good location stay downtown nice , clean hotel . we love hotel first time due 's location , friendly staff , comfy bed , clean room etc etc . could not really comment bathroom ( people seem put ) , bathroom ! clean say tin . really look bathroom hotel fully intend spend every wake moment outside sightseeing examine soft furnishing sink ! ! lack restaurant know booking not really see people 's issue be . we decide return Chicago hoenymoon November 2008 reseve hotel hesitation . book direct issue check . room lovely awesome time Chicago . would not hesitate recommend hotel friend , suggest Brits not get put review would great place stay . 
 Jan 5 2009 	 Great Location Tiny Bathroom 	 Location Hotel can not well want yard Magnificient Mile Designer Shops . check painless quick . part do not like Hotel take swipe Credit Card Incidentals . go room 20th floor request . enter room one thing notice lack Storage space wife always get first lol . bathroom tiny even small room stay Europe think properly hey stay Bathroom Holiday ? Noise Hotel minimal sound siren busy street Chicago . another thing get goat wear wristband New Years Eve get back Hotel never anywhere else apart Inclusive strange ! ! ! nearby good Thai restaurant although bit pushy tip . also brill Cafe round corner ace breakfast call West Egg Cafe also around corner Potbellys fantastic sandwich . the Rooms Hotel bit tired Carpet could repair overall bad Hotel . would stay probably first time visitor bad option location . happy TravelingThe Ogre 
 Jan 3 2009 	 avoid cost . pl\lenty option 	 terrible experience hotel . book hotel via hotwire take 5 day call try get someone know wha talk get add king size bed . also provide false information parking rate charge . search cheap parking elsewheere take half day . arrival , lady working desk rude unhelpful . follow morning check bank account hotel charge 483 $ extra top hotwire booking . ask clear assured would day later problem . 2 day finally charge reverse . dec 31st wear armband order go hotel . Jan 1st hot water . Coffeemaker break . sink water would go lukewarm temperature . bathroom tiny . 2 people would able fit . go elevator . 6 ppl would problem squeeze . recieve check bill room morning departure . walk downstair check saw charge double parking due yet another error end . room service . bar downstairs extremely overpriced . nothing positive say Inn Chicago . stay away cost . 
