basic 	 hotel location , perfect . nothing bad hotel , clean , staff good quite quiet - room small bathroom decent size . basic never pretend anything else . good place majority trip explore city . round satisfactory . 
 Sep 17 2009 	 Budget friendly centrally locate 	 truly enjoy stay quaint hotel . room small , well appoint . friend share room two double bed & quot ; big & quot ; complaint not enough electrical outlet we charge wireless phone Garmin gps unit . seem almost silly mention . top ( 8th floor ) face Powell Street night serenaded street music cable car . loud window open , noise dramatically reduce close . ceiling fan keep room cool enough night thank mild temp . staff incredibly helpful question regard public transportation . take Muni & amp ; Park $ 2 one way ... deal ( fun see LA Dodgers win Giants stadium ) . fun take cable car directly front hotel wharf . also like walk city . Tad 's , couple door , serve bargain steak dinner $ 13.79 . nothing fancy , bargain minded like , steak dinner right . kind wish time go back try something else . complimentary breakfast serve hotel sort weak , not care much . serve hot tea , coffee , juice , apple muffin , toast ... muffin good ! overall , look comfy , clean place flop day sightseeing , enjoy place . one high fallutin ' type , pick another place will not . course , also pay two three time . personally , would rather spend money jewelry clothe many fun restaurant city ! 
 Sep 9 2009 	 Good Budget Hotel 	 husband stay 3 night visit San Francisco 's great hotel price pay ( be pretty cheap ) . front desk service good - problem . room tiny time really use hotel room wash sleep . cute sink next bed washroom ! different - work I . location location location - 's close everything . love it . we would definately use hotel come back San Francisco . 
 Sep 7 2009 	 bargain price fabulous location 	 generally , would recommend Hotel Stratford people go San Francisco budget . 's great location - literally half block Union Square , surround fabulous shopping , two block cable car & amp ; BART . rent call family room - two adjoined room queen bed & amp ; two double , well one smallish bathroom - get good price compare would pay elsewhere able sleep number people . two drawback : hotel airconditione ( like many other SF ) heat wave , room face Powell Street fairly noisy . however , balanced fact staff desk knowledgeable area , several choice early morning breakfast since still East Coast time door 5 day . another fun thing child literally Americans meet staying - everyone else different country get hear lot different language . we back SF two year plan stay hotel , assume nothing change ownership / pricing . 's really solid choice , opinion . 
 Jul 28 2009 	 great central location near Union Square - good value 	 son spend one night Stratford San Francisco . location excellentif want central location SF . 1/2 block Union Square ; 2 block Powell ST BART ( major rapid transit station ) . great shopping ; good restaurant ; tourist bus , cable car stop near corner . convenient location . hotel room small especially 2 twin bed . room clean functional . bed comfortable . complimentary breakfast average . staff friendly efficient helpful suggestion . internet available fee . air conditioning . happen hot SF high 90 's , room hot . wise price Stratford really nice hotel . pay $ 91 plus tax = $ 103 weekend Hotels.com would stay againif want stay near Union SQ.BBeerbower 
 Jul 23 2009 	 Great Location ! 	 Location , location , location . Stratford heart San Francisco- Union square . Budget friendly , shocked able find room last minute , especially consider arrive SFO learn Pride Weekend ! extra 50,000 people SF still able give we room early check ? heck yeah ! ! room decent , generic really . small accommodating . staff efficient friendly . negative watch shin ! leave one day stay bruise shin platform bed juts bottom hide oversized comforter . ouch ! ! hip hip hooray : ) 
 Jul 10 2009 	 Great Location ! ! ! 	 be look central location , explore SF great budget option . room tiny , space well organise amenity available . immaculately clean , comfortable bed yes reasonable amount street noise , be busy city tourist populous area , fair complain . friendly helpful staff . would stay SF . tip : heavy luggage ( like ) street level elevator corner Ellis & amp ; market street access Powell St station , much easy trying negotiate stair . reccomend use BART train SFO downtown cheap , efficent , safe clean . 
 Jun 16 2009 	 great location friendly staff . 	 anyone want nice cheap clean place stay whilst San Fran look . staff friendly helpful , room big enough walk around bed . first worried cramp , organize , enough room ( much see not spend much time ! ) review read talk noisy . cable car stop outside front door . convenient , make bit noise . find busker 's union square make noise cable car ! despite still trouble get sleep . on second floor ( think ) breakfast serve every morning , daily paper . well stock heap choice . the internet good well price ( $ 5 20mins ) .only downside may slowest elevator world . wife couple race . would go lift take stair . 8 floor behind ... hotel like gateway rest San Fran . cable car go anywhere . 
 May 29 2009 	 Perfect Location 	 find hotel kayak.com $ 90 per night holiday weekend . expect hole wall get lot . room small large enough much time spend . bed comfortable nice flat screen . sink actually room bother we . hotel literally perfect spot . right Powell Street heart Union Square less two block muni , BART Cable Car access . think go San Fran leisure perfect location middle everything close public transportation . also- front desk helpful finding place eat answer question bus take , get , etc . definitely check hotel next time plan trip San Fran . 
 may 27 2009 	 much like dorm great location 	 research online find Expedia $ 99 night . since & quot ; tour & quot ; California rental car , offer park $ 25 night . San Fran ... not need car . hotel 1 - 1/2 block Market Street catch trolley , cable car . 's ton shop dine around . husband actually walk hotel Fisherman 's Wharf . not bad , great way see kind thing . probably actually quick ride MUNI.My husband 's uncle & quot ; upgrade & quot ; we ... think mean pay extra room Powell Street . great ! noisy people , noisy trolley , noisy car NIGHT LONG . good thing window room air conditioning . fact , wonder room A / c ? keep mind hot travelling . overall hotel trendy . corner shower stall . pedestal sink . bathroom average hotel bathroom size . bedroom tiny , like college dorm room . everything clean seem new well keep . the complimentary breakfast basic : toast , yogurt , granola muffin . girl work front desk night check nice helpful . overall good value , would stay go hot . 
 may 14 2009 	 stay 	 great value money ... old hotel yes , character , spotlessly clean , great maid service , comfy bed even comfortable bed linen , hotel seem . room away street quiet , & quot ; de de ! & quot ; sound pass cable car . ceiling fan , love . breakfast simply toast blah muffin coffee good . shampoo soap room nice take rest , rarely . also , great location be come city BART ... powell station 3 minute walk hotel . book room bed roof head get much . 
 May 11 2009 	 Location location location 	 good part budget hotel location , right Union Square . room bit date breakfast basic . aircondtion room , one face Powell St. get hot afternoon . 
 Apr 26 2009 	 Clean 	 besides headline , nothing much comliment hotel . 
 Apr 14 2009 	 great location 	 love location hotel middle store great going use public transportation . right next Bart station take right San Francisco Airport . room small size use sleep shower great . 
 Apr 10 2009 	 Great Location 	 's right heart Union Square be surround shop ( H & amp ; , DSW , Urban Outfitters , etc ) cafe . really convenient 's locate minute BART station . cable car also go right front hotel , board BART station . line hour long , not want waste time wait it . almost staff member friendly helpful . Breakfast not really anything exciting skip , be plenty place eat nearby . noise not problem , room face brick wall might ! ( be hardly room anyway really not make difference . ) nice tv bathroom ( nice shower ) bed fine . great price give central location . 
 Apr 9 2009 	 excellent choice way 2 star expectation 	 travel agent ' m always look small property client look good price clean , comfortable lodging . excellent location Union Square Market St. , 1 1/2 block Powell Street cable car turnaround . major shopping within 5 minute walk . several good restaurant / cafe locally . room small ( not expect entertain group ! ) clean . price around $ 100 per night , 1/3 price & quot ; big name & quot ; hotel nearby . bed linen towel good 4 - 5 start hotel . bed comfortable 4 star resort hotel would stay week early 1/4 price . Staff Stratford friendly helpful . breakfast may fancy , coffee juice good muffin / toast choice sufficient get start day . want pay lot breakfast , go one many establishment nearby . luggage storage handy since red - eye back Boston 11 p.m . ' ve stay 2 nearby 2 - 3 star hotel Stratford beat . my preference cleanliness , comfort , location . hotel meet criterion . 
 Mar 25 2009 	 simple budget hotel near Union Square 	 great location San Fran - next Union Square right middle shopping district . close BART station come handy cable car stop right outside door ! simple , budget like hotel clean good value . staff always helpful . room small limited view street noise clean reasonable amenity . lobby common area also small lift slow ( stair quick ) . include breakfast pastry juice etc serve common eating room ( self serve ) . restaurant site ( plenty nearby ) . internet access room lobby free . positive - good value money locationnegative - small room street noise , lack amenitiesperfect look somewhere cheap easy sleep explore great city SF . 
 Mar 20 2009 	 bit dumpy imagine 	 thought would ideal b / c hotel right Powell , near cable car turnaround . location convenient , hotel surprisingly old . room ikea - type furniture , could cute look little dorm - like somewhat aged room . breakfast sterile cafeteria - like room . 
 Mar 17 2009 	 exactly expect 	 reading review , expect small clean room maybe noisy street side . okay we since look clean budget hotel locate near powell Bart station facilitate deplacement airport suitcase . location perfect we : two block powell station easy easy way bart ( way really convenient , easy cheap use ) . many café restaurant around hotel easy , althought steepy , walk sightseeing ( walk Fisherman ' wharf , Coit tower , Chinatown , ... ) . prepare ask money time front near hotel , near union square , market street , fisherman ' wharf ... two girl ( 22 27 ) never feel unsafe night area since many people walk Powell street . inside hotel . give 2 twin bedroom back hotel 2nd floor ( floor breakfast room ) . yes room small , keep suitcase closet room sleep , size not botter we much . tv wall seem nice occupation space . what important we clean room clean bathroom . spotless someone come day refresh . backside hotel , hear little sound ( helicopter , people stairway hallway , ... ) less noise hear day appartment . heating control room , one night , find room little hot . , 's appartment ... matress pillow really comfy sleep like baby . breakfast really really simple : juice , coffee , toat , jam , muffin ( good ) , granola cereal , yaourt . 's ! good we since travel budget . , take muffin go make we great snack day . Budget , budget , budget ! ! ! check early . ' ve hear hotel really strict check - in arrive 2 pm prepared leave suitcase come back later . however , suprise , girl desk give we key kindly . check time , since late flight , ask leave suitcase storage room passport commun safe day demand receive kind positive response . overall , positive experience staff not find rude . since live without internet , ' ve suscribe wireless paykiosk . 30 $ week tought well value 10 $ 24 hour . signal good not probelm connect . however , want print boarding pass & quot ; business center & quot ; near lobby , find wireless subscription not work . would pay Internet & quot ; business center & quot ; .So , money pay expedia ( less near 100 $ night ) , good sleep nice clean room , locate center , good breakfast look Powell street ' ve treat nicely staff . really enjoy & quot ; non problematic & quot ; stay stratford recommend hotel anyone accomodate kind ametie offer . 
 Feb 26 2009 	 good value 	 hotel great location right heart downtown close great shopping restaurant ( Cheesecake Factory right around corner ! ) . right cable car line super easy get Fisherman 's Wharf Alcratraz stuff . arrive night BART train walk hotel , 3 block . bit take aback sketchy character & quot ; vibrancy & quot ; area make hotel one piece . definitly & quot ; budget & quot ; hotel , mean get basic luxurious extra , 's clean seem well run . hostel feeling recently renovate room private small flat screen tv 's private bathroom . one small point - housekeeping staff come early morning put & quot ; disturb & quot ; sign want sleep ! bottom line , want go cheap , good place stay , want bit comfort luxury , spend extra money stay high end place . 
 Feb 21 2009 	 small Quiet room 	 sister make reservation ask quiet room . IOur room middle hotel not view . however , even though Powell street cable car , could not hear anything . Europeans main guest . bed comfortable breakfast room pleasant . 
 Feb 16 2009 	 Heart Downtown S.F . 	 want close everything SF place . this downtown hotel , room small , small location care . view room back hotel hey care all . the staff great help we alot . we walk distance powell train station , cable car ( arrive early huge line ) take tram Fisherman 's wharf , fast convenient . we try breakfast since alot visit want see alot thingsI would recommend hotel anyone want experience downtown SF anytime . 
 Feb 14 2009 	 choose club room ! 	 & quot ; centennial club & quot ; room hotel comfortable , offer amenity free wi - fi ( remind desk clerk , though , network still ask pay credit card ) , plush bathrobe , well bed , coffeemaker , etc ... room view Powell street , quite busy place night . could handle car , cable car , even occasional siren , also drummer play sidewalk across street hotel , every evening 7 pm 9 pm , year round . even eighth floor , hear like play room ... desk clerk ( friendly person , not get wrong ) tell : & quot ; yeah , be play spot since ' ve work & quot ; , offer earplug . ( could still hear drum earplug ) like afro - cuban percussion much guy , first night kinda get tired , want get sleep early ... well forget it . on positive note , say offer delicious muffin breakfast . 
 Feb 5 2009 	 Good Hotel need 	 long flight NYC bad bus driver airport , finally get hotel . would not take book voucher show have actually pay , fuss around internet finally able go room . first room give we 2 single bed . back recepion ask queen room . room ok . room small sink right beside bed bathroom , job 4 night . location fantastic . cable car right front bus tram short walk away take fishermand wharf etc . shop right around corner ! breakfast muffins cereal toast & amp ; juive , coffee not bad . lift slow ! ! ! 
 Feb 4 2009 	 return 	 reserve via hotel website 2 month prior check - in indicate expect arrival time ( 11 ) . arrive promptly 11 although know check - in officially 3 pm , think could already get room . inform room available time , especially since hotel busy guest day . stow luggage meantime explore city . 8 pm , ready turn give 8th floor queen room & quot ; back side & quot ; would away street noise . it different room layout last time ( 6th floor ) . sink mirror light near bed , bathroom . small closet next sink hanger , iron , iron board . bathroom shower stall curtain ( vs. glass door ) , storage space , toilet . flat screen tv desk drawer . two window pane ( would not open ) make room feel little spacious light outside curtain draw . also kitty - corner view Powell Street below . there ceiling fan light desk lamp next bed , along clock radio . really like bed - comfortable helped sleep soundly . I could still hear street sound nothing disruptive annoying . I appreciate room 's cleanliness arrive check - in whenever return 12 - hr day outdoor exploration . I not really go Tea Room breakfast last visit ( November 2008 ) , granola cereal milk orange juice get start day . I enjoy stay return whenever chance visit SF . accommodation adequate need . summary : location , price , clean cozy room , comfortable bed , helpful staff . 
 Feb 2 2009 	 rely Location spot 	 pro : heart S.F . literally everything walk distance , need go far , take ferry right outside step , go way fisherman 's wharf / Alcatraz . con : stay standard queen room look like 360 degree video thi website , small . need sleep bed comfortable , shower work free breakfast . parking $ 25 every 24 hour . really suck , reality pretty much every hotel stay s.f . pay parking , mind drive car anywhere , pay parking , place $ 3 hour , usually 's base fee $ 10 maximum like 4 hour .. soo lame , well fly , use trolly , walk , take cab , especially be use road cuz craaaazy.overall hotel good place go go sight S.F . try romantic getaway luxury hotel def place 
 Jan 22 2009 	 great little place 	 small boutique hotel great location . Stratford right Powell Street . bottom street cable car turn - around - take fisherman 's wharf . warning : line HUGE . walk hill bit , usually jump car fairly easily . also bottom Powell train station shopping mall . great shopping locate nearby . Union Square also less block away . stay 6 night . breakfast included - beware quite average . cereal muffin . coffee nice either . room quite small - clean . drawback particular room window street . wall next building ! level 1 still experience quite bit street noise . Front desk staff friendly helpful . good hotel location price . would probably try something else next time though . 
 Jan 3 2009 	 great value ! 	 Stratford old hotel recently renovate . , room quite small elevator slow . , though , be great deal -- be clean , decor recent tasteful ikea kind way , location can not beat tourism . stay room 704 , great view Powell St. ; though noise street might pretty bad low floor , barely audible level . breakfast little stingy , ' m fine coffee granola , need . seriously , San Francisco lot fleabag hotel , not one . 
 Jan 2 2009 	 cheap cheerful 	 book Stratford expensive week spend Hotel Nikko nearby . parent never San Francisco beforepros : - great price- clean room tv decent clean bathroom- central convenient location - shopping , transport travel airport ( Powell Bart station minute walk away provide stress free transport SF International airport ) - basic breakfast include job start daycon : - can not really open window night room street - side lot noise ( vagrant Union Square seem think drum 2 am would somehow convince people part cash ) - safe room communal safe receptionoverall , good budget hotel would recommend 
 Dec 11 2008 	 great bargain 	 go good friend first trip SF find hotel right heart Union Square . super great bargain fantastic location . disappointed check find oversell room , however , upgrade 1 bedroom suite not exactly work 2 girl , end sleep roll away couch . room right Powell Street decent view . hallway smell musty elevator SLOW ! ! ! ! continental breakfast pathetic - burn muffin , flavorless cereal crappy bread toast . would expect LOT place . also , late night wait outside hotel 20 minute somebody finally let we buzz forever ...... overall , great deal awesome location . not room much not really matter still good stuff know ..... 
 Dec 11 2008 	 would not stay 	 stay end November second visit San Francisco , first time stay friend . location hotel might suit people want centre city ( nosy main street around corner Union Square ) find noise night really annoying keep we awake . stay eight floor room tiny ! bed feel small single bed comfortable . room absolutely freeze phone fromt desk ask get radiator work tell main timer hotel could turn we ! radiator never work course trip absolutely frozen ! cleanliness room fine staff front desk pleasant would stay recommend anyone . opinion could get much nice hotel pay Expedia . 
 Nov 21 2008 	 good hotel price 	 stay Queen 8th floor , away Powell , view reasonably quiet window shut . room layout bit awkward sink bathroom bedroom area . room clean except scuff marks wall . room slightly humid feel itThere free continental breakfast , include muffin , cereal , toast coffee / tea . this hotel excellent access public transportation around city airport . unfortunately hotel elevator rather slow . the people front desk always friendly . excellent value . 
 Nov 20 2008 	 stay Near Square - middle 	 contemplating trip see Golden Gate also seek basic accommodation reasonable rate great Union Square location , need search Stratford Square – though , actually square , half block . however , Stratford middle everything else : shop , starbuck eatery – oh , yes … Powell Street Cable Car literally clang right past front door . another bonus easy access San Francisco ' wonderful Muni public transportation network ( streetcar , underground trolley bus ) system well area BART system , operate Powell / Market Street station . hotel situate eastern side Powell Street two - block uphill walk aforementione station . large sign vertical lettering hotel name front entrance . narrow lobby non - descript ; consist small counter opposite comfortable - look sofa . leave stand counter cramp slooooow elevator – find use adjacent staircase often . rear , behind elevator lounge area television requisite computer ( weak soul unable breathe without 24/7 internet access . ) Tea Room , guest fill light complementary breakfast ( bread , muffin , cereal , coffee juice ) find second floor . actually , though pleasant well - light room . drink coffee feel free look onto busy Powell Street watch cable car shuttle tourist steep incline towards oh - so tacky Fisherman ' Wharf . type need hearty breakfast get go , ' recommend . ( instead , cross street head west block Geary wonderful Olympic Flame diner , hungry patron choose among 75 type omelet . ) room , least mine , need week . bathroom toilet closet - sized shower separate slide door ; sink actually room opposite bed . ' call small ; , call comfortable ? case , go San Francisco sit hotel room ? i.if seek glitz , marble , valet parking nightly mint , seek elsewhere ; otherwise , Stratford Near Square enjoyable wholeheartedly recommend place rest head . 
 Oct 26 2008 	 Loud Street Noise AC 	 look hotel Union Square area could easily reach BART fly international terminal next day . hotel close BART station . bad experience Palace ( loud street noise , could not sleep ) , look Union Square hotel review mention street noise . however , street noise Stratford turn loud . band play across street 11PM . AC room sometimes get hot SF . open window cool . window open 4 inch tough cool . room small , expect SF . remodel old building age show place . flat screen tv make look modern , tiny one . low price , feel bad stay Palace . would recommend hotel night owl night cold weather predict , college kid planning stay late , get drunk pass . stay area , would probably stay Hilton two block away . avoid hotel close Tenderloin not much difference two block , panhandler BART station hotel anyway . 
 Oct 21 2008 	 Excellent Location 	 two night stay Stratford excede expectation . location absolutely perfect . take BART airport hotel less five minute walk . arrive early greet friendly accomodate staff . bag stow check time head . bus MUNI also minute walk away trolley run directly front hotel . lunch return hotel . room small comfortable clean . similar accomodation throughout Europe . wall however bit thin hear walk head . light sleeper problem we . would definitely stay hotel . beat price location downtown San Francisco . 
 Sep 28 2008 	 great location good hotel 	 Booked hotel purely review read not disappoint . seem LOT bad hotel review San Fran . reception desk staff polite keen help . lift slow , 7th floor persevere ! twin bed room quite spacious although much room 2 large suitcase . we front hotel quite noisy , stay , would , would request room back . Slept well despite this . bathroom spacious clean . big window let lot light , shower bath right next large frosted window , bit strange , high floor not worried . Breakfast include convenient , nothing amazing , definitely enough keep go lunch . location - not think could get central . Powell St heart everything - shop , restaurant , tram etc ... Noisy , city . would certainly recommend . 
 Sep 12 2008 	 location location location ! 	 stay 3 night pick hotel purely location review state clean . disappoint either . hotel street minute walk start cable car route Fishermans Wharf Union Square half minute walk around corner . get BART airport ( $ 5.35pp ) walk Powell Street hotel . young man reception helpful show we map hotel point area visit . also say want know anything come back ask . the room small expect clean reasonably comfortable bed , sink room separate small room shower toilet . hairdryer beside sink iron / iron board small wardrobe . towel replace daily . hike around day not notice noise night ! continental breakfast include room rate unusual US . orange cranberry juice , yogurt , cereal , toast , muffin hot drink adequate keep we go lunchtime . there plenty place eat around hotel - great Thai food around corner Muang Thai enjoy Lori 's Diner . also dinner Jazz Bistro Les Joulins lovely reasonable add extra live music . the shopping around area great - every type shop Gucci Louis Vuitton Ross Marshalls ! would stay due cleanliness , value money location , not go want 5 star luxury plan spend lot time room . 
 Sep 5 2008 	 cute place ... great location ! 	 stay stratford august 31 one night ... room small , well lay . bed comfy linen nice clean . overall , room spotless . bathroom actually decent size consider small room . thing shower drain little slow .. shower kinda fill water . almost overflow onto floor oopp ! hotel offer complimentary breakfast great tea room lot window . look see hustle bustle street cable car zip . breakfast simple ... toast , cereal , muffin ... hey ! be free ! would totally stay ! 
 Sep 5 2008 	 great tourist ... 	 stay 4 night labour day weekend ( Aug - Sep 08 ) . firstly , location ! ! ! perfect tourist want close action able get around town easily . able catch BART ( subway ) straight SFO Powell station walk easily suitcase hotel . addition , cable car turnaround literally 100 m away - easily get tourist attraction ( i.e . Fishermans Wharf , Lombard st etc ) although initially surprise tiny room ... soon make comfortable . mention reviewe .. be not much floor space suitcase however bedroom bed clean - important want place sleep end exhaust day . the complimentary breakfast plus . definitely save time morning wonder around decide eat ( whether anything open yet ) . although quite simple ... enough get day start toast , muffin , coffee juice . the hotel improvement would recommend are:1 ) improve lift service ( excruciatingly slow ) 2 ) install air conditioner room ( although room quite cool never think twice need ) 3 ) sink inside bathroom oppose next bed4 ) consider clear shower curtain light whilst shower ( window bathroom light center room ) ... happy stay ! 
 Sep 2 2008 	 take stratford hotel ! 	 ever bin cheat money steal ? well ' happen hotel ! tell three night would cost $ 159.00 make sure tell another time , make clear . get bill 159.00 night ! talk , laught ! tell want talk mangier , ' let ! ' let happen ! ' sound like bad price , rest . room nice , small . free breakfast muffin , toast . also orange juice coffee . would staid price decent . ok location . 
 Sep 1 2008 	 Perfect location everything San Fran 	 stay Stratford August 2008 four day . hotel right middle action San Fran make convenient come back day . lift slow probably easier take stair . room small , much room suitcase not spend much time room , not much concern . room face away street could still hear bell street car . nothing keep awake though . reception helpful cleaning great . bathroom also tiny , breakfast simple american food full sugar . stay away cereal stick toast . juice also full sugar . mufffin good take mid morning snack ! eat Cafe Mason dinner , simple pasta quick service . also Lori 's across road great place lunch . chicken noodle salad good waffle . good value right middle city , door ! ! take street car straight Fishermans Wharf 
 Aug 19 2008 	 great location 	 location good thing hotell , though clean nice . the hotell old , smal air con- nice reception.overall average hotell nothing special . 
 Aug 14 2008 	 great location ! 	 Stratford situate right - smack middle buzz ! 's location superb , yes , cable - car run pass block away famous cable - car turn - around . there downside due wonderful location - noise , room really small , air - conditioning , great breakfast . nonetheless , would recommend hotel look accomodation heart San Francisco , serve place sleep night . 
 Jul 16 2008 	 want 	 location downtown SF size issue come accomodation . however , people not come rough thi hotel room probably not want stay downtown SF . everyone review location can not beat , MIX everything , barely block away Union Square . want shop ! ! ! reason trip want X - mas shopping city . think become yearly tradition . I room 2 twin bed bf push together make semi - full sized bed . little vanity area closet sufficient shopping bag . really would condusive 2 adult though . check - in breeze computer lobby rent need check email . park one many garage area , may valet everything close really would not need car till leave garage fine . 
 Jul 6 2008 	 great location hard bed small room 	 overall staff service pretty good . expect valet take 20 minute . also , do not open door quickly , might knock shower head wall . really small . room double bed really hard . say though really clean . location great , pick poison guess . recommend child , quick getaway good . 
 Jul 3 2008 	 Nice Place stay 	 nice place stay , conveniently locate ( Union Square ) . cheap clean . 
 Jul 1 2008 	 Great Location 	 Stratford beat location . cable car stop right outside door , great deli across street union square around corner . the hotel need break city like San Francisco . budget hotel room clean perfectly roomy , breakfast include rate front desk available 24/7 . want 5 star luxury city like San Francisco must plan spend lot time room . we look pleasant hotel use base family holiday that s exactly get . we would recommend hotel anyone want noise cable car , stop midnight . want get sleep early earplug provide . two teenager sleep street face bedroom problem noise think earplug another wacky american notion ( that s irish teenager . ) 
 Jun 5 2008 	 Excellent 	 stay Stratford great . exactly expect price pay . room nice . love breakfast serve locate street - side hotel plenty window . floor great view street come life morning . ' ve fill take nice cup coffee along onto street walk yard away right Union Square , always something go . San Francisco awesome experience around . 
 May 29 2008 	 great .. 	 affordable hotel wonderful spot . really right center everything . unfortunately hotel pleasant stay . first night place near street one hear constant noise trolley car rambunctious street band . move back hotel room smell like fresh paint . nauseate . addition smell room freeze . ask front desk heat situation keep tell take awhile heat . never heat . usually feel like flexible person easy go come sleep enjoyable . recommend people really use room sleep . guess situation get pay . 
