alarming 	 ok , ' ve read review know well . truly alarming place , fire alarm still go middle night ! ! ! review go back 2006 refer problem , still happen ! ! ! yes , 2009 ! ' m multi - night business trip . far , one night , one fire alarm . can not afford tired . ' m multi - night business trip . one fire alarm middle night ' m outta ! ' m willing overlook tired decor , dirty bathroom tiny room location awesome . fire alarm different story.location ? double check.staff ? check.cleanliness ? much ... alarm issue ? enough put place bottom ... 
 likely stay 	 due flood Kingsway Hall offer alternative ' sister ' hotel . turn bit like one Cinderella 's sister . small room , though clean . unattractive lobby team ilalian teenager arrival team Italians departure . breakfast . try get case storeroom joke , stand concierge desk rude hopeless . ' you try job mate ' say complain Italian . ' not even ' . proceed take everyone ticket stub everyone mix free ensue . get another job get properly train . do not stay . 
 lilliputian room well locate clean hotel 	 London conference first time city , stay room little time . feel claustrophobiac , though , ' ve never . room ridicously small , could unpack clothe . use toilet venture . staff , except door man , condiscende unhelpful ( ask twice stand suitcase hair dryer ) . good side , clean location great , neighborhood public transportation . 
 Nov 1 2009 	 totally dangerous 	 stay hotel , meet friend stay bar ( lucky escape whay read ) . go smoke garden area , dusk / evening . Garden unlit . idea pond , son age 20 walk think part patio end water . pond totally cover algae , duckweed look like grass . light edge pond . cover algae . phone clothe ruin , could get algae . go facility like , look , clearly not spend money . somebody likely get seriously hurt , total disregard safety . notice swimming pool ..... sure would trust get chlorine safety right either . happende accident , totally avoidable 
 Nov 1 2009 	 excellent location friendly staff 	 spend two night hotel , ideally locate High Street Kensington tube station shop , Notting Hill Hyde Park short walk away Royal Albert Hall 15mins walk . room bathroom bite small side clean , tea coffee facility provide . not problem noise right next lift . find staff friendly always smile say hello pass corridor . enjoy breafast self service wide selection continental full english breakfast , food hot , freshly cook constantly replenish . dining room vey busy second morning see queue people wait seat thought would long wait ( 10 people front we ) however wait less 5 min show table . find service waiter good not wait long ask anything . yes area hotel bit wear - carpet corridor bar bit date cosy character , staff freindly efficient . would nice tissue toiletry provide room addition two small bottle shower gel minor detail would definately stay . 
 Oct 29 2009 	 maybe bad hotel ' ve ever stayed ... 	 check 2 night Monday week . get twin room , brother discover gap bed , occupy virtually space tiny room . space whatsoever foot bed wall - literally wedge space exactly length bed - way get bed nearest window climb first one . utterly preposterous establishment describe 4 star . on evening second day stay , go reception join queue people wait complain size room . seem every room hotel ridiculously small . ask manager duty come room look , arrive ask propose get bed near window . agree room unacceptable sale twin room , arrange upgrade executive twin . go dinner , room not ready , agree key would wait reception return evening . they not . get long - wind , patently untrue , explanation night manager room become unavailable . suspect have give one many people complain size room . end , night manager offer complimentary Continental Breakfast glass wine . would not even stretch full English Breakfast . awful hotel . staff good - clearly know place joke , well anyway . reception staff , include hair - gel young man trendy bad suit ( name Simon ? ) arrogant , supercilious generally unpleasant . concierge , manager call Sean Leavey extremely helpful friendly , not make sub - standard experience . 
 Oct 29 2009 	 4 star ? way ! 's ~2 	 location good , room littlebit dirty , liquid carpet . small double room small , use room sleep . feel Balkan , uk.so : expensive room ! 
 Oct 26 2009 	 way 4 * - tiny tiny room 	 stay hotel exhibition . get double room , bed one wall , tiny bed look like motel . make fuss offer executive room - £ 30 night ! ! ! room much big husband find way get ready one stay bed whilst get dress ! hardly expect . book Late Rooms price good real 4 * , 2 * really disappointed . 
 Oct 26 2009 	 recommend bad stay 	 book 2 night Kensington Close via HotelZon.com . main reason choose hotel location hi St Ken - 3 minute walk tube station yet disturb tube noise . ( familiar area many year ago ) upon check , tell rate include breakfast , clearly state breakfast include entire stay HotelZon confirmation print website . show , front desk staff say & quot ; well , copy do not say . not know get from . & quot ; smile widely . politely ask check HotelZon matter get back we . merely say & quot ; ' m sorry , take HotelZon . not deal . call tomorrow morning yourself . & quot ; course furious remark demand see manager , next staff speak whole time , bother well situation demand see . say us & quot ; yes , overhear conversation . ' m sorry 's Sunday today ' m sure HotelZon be not work today . & quot ; say would call next day get back we , course news . confirmation also say & quot ; Room come internet & quot ; ask , say , yes , wi - fi reacheable room , charge GBP5 per hour . do not say come free internet ! apart , lobby always crowd wait 30 minute check . 5 arm chair available seating 's always queue check . room simple , quite small adequate . safe deposit box not work . moderately clean small tv tea / coffee make facility minibar . however - window big , long gap could feel strong cold draught room ! switch heater room still cold . stuff towel along gap attempt avoid frozen sleep . housekeeping , two consecutive morning , punctual knock door 8 be clean room , not put make room sign , chain door . help bad night 's sleep . upon check , manage irritate us - ask room need immediately , else would like request checkout 2 pm instead 12 pm possible . another smiley staff say & quot ; sure , course ! problem ... charge 10 pound per hour . would total 20 pound . & quot ; small sign counter wrote & quot ; Late Check Promotion - 10 pound per hour ! & quot ; . ' ve never see anything like . want stay High St Kensington area ( lot shop good food ! Whole Foods Market big Marks & amp ; Spencer ) , try Copthorne Tara Royal Garden . slightly expensive ' m sure well service room . dread go back Kensington Close every night stay . 
 Oct 21 2009 	 oh dear oh dear ! 	 arrive hotel approx 21:00 18/10/09 ....... attempt check reservation make nine day early , pay credit card advance , problem ( bear mind give hotel arrival time ) ...... room ' in USE . ' the explanation give group due check day decide stay ........ room book ...... ! manager ( state second week position ) realise far impressed state ...... ' well side counter would angrier ' ....... get angry ....... find room much tut tutte computer screen ....... upgrade nely refurbish CLUB ROOM ( 435 ) .to room go ........ poppycock ....... clubroom , could swing cat round , bathroom , well , badly design , light , anything shower difficult ........ not get wrong , everything reasonably clean , tidy , tired worn extreme ........ suppose newly refurbish room ! ! ! ! 4 * hotel strength imagination , stay well 2 * establishment . staff poor , ' breakfast ' resturant like old Woolworths cafeteria 1970 's ...... serve counter catch coffee / tea boy could ....... one member staff seem know , ( small minority speak English speak ) ridiculous . lucky not wash reckon ! Lion Bar well , certainly overprice ........ Cumberland sausage Vegetarian Thai Green curry order bar first evening ordinary sausage , red ( red ) , Thai Green curry ! ! second day , leave hotel 09:30 , return 16:45 , shower change prior city date ....... clean go room service ..... complain , apologise offer free drink bar ( decline ) room maid complete task ........ God know room service rest day ......... final straw really check - out ( bear mind room pay advance use service within room , attempt charge £ 7.50 Bounty bar indicate take mini bar ....... however , Bounty Bar question still mini bar ..... purchase mine paper shop Kensington High Street , RECEIPT PROVE . top , Concierge lose one bag deposit safe keeping prior depart ....... wife go store member staff locate retrieve ........ place somebody else 's belonging ....... warn ........ stay hotel peril , simply class 4 * establishment , old , tired worn shudder think room like newly refurbish ' Club Room . ' Fawlty Towers spring mind ! 
 Oct 13 2009 	 worth 	 not really mind room small . mind pay £ 114 ( exclude breakfast ) really low standard , worn room . carpet need change , wall need paint , bed clearly see well day ( perhaps 70 ? ) , top , window frame line duct tape - whether be purpose keep window place keep draught unclear .... plus side : room tolerably clean coffe / tea make facility . location great shop High Street Kensington . next time , will stay Copthorne Tara Hotel next door , little bit well . PS . room first floor . ( Room 139 ) avoid ! 
 Oct 13 2009 	 good value Kensington 	 would say Kensington Close offer real value money base facility offer location . be large , busy hotel minute walk High Street Kensington Tube station bus route Central London , plus countless cafe , bar , restaurant store along Kensington High Street . greenery Kensington Gardens five minute stroll away ... not expect designer chic flat screen tv . pleasantly surprise amount space offer single room , light , clean comfortable , , admittedly , furnishing look little tired . bathroom spotless , everything work show power . staff friendly efficient . not use spa facility , sample restaurant many option available locally . one negative - noise . hotel 's plumbing , coming going hour corridor prevent enjoy good night 's sleep . would not deter stay . 
 oct 8 2009 	 room extremely small two . bathroom need update . 	 though warn London hotel room would consider small compare typical US hotel room , one still strike we extremely tiny . liken small stateroom ship every inch space utilize . tv also small get 5 channel . husband sit easy chair position front tv , head hit tv shelf . positive side , hotel 's location right heart Kensington one block tube station excellent . extend stay extra night , move Copthorne Tara Hotel right next door bit expensive adequate sized room . 
 Oct 7 2009 	 horrible do not stay 	 tub stop .. take 2 day fix . charge everything hotel include use fitness spa facility . also charge use call card ... weird ! furthermore , staff speak great english attitude . expensive worth ... look elsewhere . location however good , block kensington high street tube station . 
 oct 4 2009 	 great getaway family 	 go husband ( 60 ) , son ( 16 ) daughter ( 13 ) . convientient , walikg distance boot , tesco . stay huge room , great , ask penthouse . kid much enjoy pool , whilst husband relaxation time jacuzzi . stay 8 night pack lot thing . room 24 hour room service , minifridge , balcony , powe shower , large bathroom , 2 hd tv 's telephone free charge . every morning fresh coffee , tea breakfast fill we day , door man exedingly polite , front desk maid . one morning wake huge banging go desk complain . say would sort give we free ticket bus tour , say would never happen , not . , pool change room fantastic , everthing need relax hotel , another good point te maids not mind take stuff trolly ! fantastic hotel family definatley stay , complaint ! 
 Sep 26 2009 	 Rudest unhelpful unfriendly service ever experience ! 	 staff ( reception , concierge etc ) incredibly rude completely cloud anything would look hotel . absolutely shocking . 
 Sep 25 2009 	 great location 	 enjoy four day hotel . room small , bed comfy . bathroom clean ( important ! ) room . however , room need redecoration soon - little worn . location great , near High Street Kensington , several shop restaurant tube station . Kensington Gardens also close . , nice stay Kensington Close . 
 Sep 5 2009 	 bad Hotel Service ever 	 stay hotel past four year ( three time year ) never complaint . location great always continue stay here . however , arrival time mother give room bed small one person , let alone two . email reservation twin room ask change one . room receive tiny bed ont op space whatsoever bathroom . two room change later settle marginally big room space move around in . that night hotel bar whilst relax drink bar manager come we accuse we give fake 50 pound note . question manner deal ( note fake ) seem care . bring issue attention ' duty manager ' , seem care totally embarasse humiliate front guest . , fact tell we , staff experience would say we . this issue totally upset trip sense apology staff . unhelpful , rude ignorant towards we . sorry not move another hotel business hotel location convenient we . 
 Aug 24 2009 	 4 star ? ? 	 5 travel -- 2 adult 3 child ( 2 teenager ) , plan occupy 2 room . room small accommodate cot decline stay end . treat poorly front desk staff despite fact well aware need cot upon check . beware ' only General Manager deal ' comment , especially since magically away vacation . the elevator break glass carpet hold together duct tape . place rundown room near standard 4 star . may one bad travel experience , despite travel extensively . 
 Aug 24 2009 	 good value great location . 	 stay week London visit museum fantastic attraction city offer . the location amazing . right heart Kensington ( pretty high - end district , turn ... ) walk distance Victoria Albert Museum , Science Museum , Natural History museum many attraction , also half block walk High Street Kensington tube station , Circle Line , give almost instant access anywhere city . feel safe secure come back hotel evening , even late night show . the service receive ... good ... great , good . friendly helpful check , assitance concierge vary depend one speak to . the building , other describe , need bit renovation . room show sign age ... tiny bit mildew along grout tub , small ( 3 cm square ) piece wallpaper miss near bed , mattresse linen fresh good shape , everything else room . importantly , room clean tidy air conditioning work great . comfortable entire stay .... despite bathroom ... particularly area around toilet , quite tiny . kind wedge , knee hit toilet paper holder ... , 6 ' 4 & quot ; 225 pound ... survive easily small folk problem unless mobility issue . this big hotel three bank elevator . two elevator end hotel quite tiny ( 3 people max ) rather slow ... tend use main entrance near spa available . pub good place quick dinner pint . fact , comfortable place sit rest . we never try spa / gym / pool , want they . breakfast nothing special ( & quot ; full english Breakfast & quot ; part rate ) serve fill we not need much lunch . , however , good selection food available service speedy efficient . most importantly , however , consider location hotel , incredible value . physical infrastructure bit tired , everything clean , hygenic ( tiny toilet space notwithstanding ) quite comfortable . this might good hotel London , could well good value . quite comfortable week would certainly stay recommend friend . 
 Aug 21 2009 	 never ! ! 	 please stay hotel - book executive double description & quot ; spacious room & quot ; . room size wardrobe , complain ask change treat rudely manager . ask give executive double tell unfortunately give one small executive room , ask view standard room refuse ( wish compare size ) . view ! ( none ) window small see anything anyway . move Copthorne Tara next door give club room ( huge ) breakfast complimentary bar price . do not book hotel unless like small place sleep . 
 Aug 18 2009 	 Fantastic Value upmarket location 	 spend five day travel around visit London sight . able catch bus train high street five minute walk hotel . area also many shop dine etc . overall great hotel , clean , great b / fast , service etc etc 
 Aug 3 2009 	 Superb Location 	 travel weekend away 14 work colleague . go open mind read review tripadvisor mostly bad good one . I arrive hotel far good exterior good clean . staff welcome friendly . very orgainsed check group business traveller . I get room not huge adequate use bedroom . soft comfortable king size bed plenty pillow nice snug duvet . room hot open window although road side hotel slight noise sleep . bathroom compact good 's purpose . bath shower well om god shower powerful amazing . next conservatory meeting room buffet style meal colleague . food fantastic tasty , complaint there . next onto Lions Sports Bar , dark wood base furniture homely warm feeling . felt like pub back home Manchester . drink bite pricey hey London . Breakfast serve Blue Smoke Steakouse restaurant private dining package meal normally serve Senses restaurant . self service buffet breakfast choice continental breakfast full english breakfast . staff could not help quick enough . we spend day leisure even treatment spa . 2 minute walk Kensington High street recommend shopping . Elemis Muscle Melt Back Massage highly recommend get tension knot back . girl call Emma perform massage amazing , highly recommend . next evening meal , dine blue Smoke Steakhouse also private dine we . set menu couple option . staff amazing wine glass go empty . could done enough we . however one young girl serve look like run hotel single handedly serve water , wine , meal big group 17 we . well back bar we homely feel friendly staff . well sunday morning come check time . ask Consierge order we enough taxi 15 people take we Euston order 3 thought black cab tell £ 55.00 3 taxi could pay one driver . well one taxi turn could take 4 people . little arguement consierge say tell need 3 taxi tell 15 people . end jump 3 black cab taxi rank straight across hotel . Taxi driver later advise we never trust hotel book taxi make commission . tend agree black cab driver . result mess taxi miss train back manchester . all good hotel good location . would highly recommend client , friend family 
 Aug 2 2009 	 little tired ! 	 arrive hotel . reception staff fairly friendly polite . proceed room lobby carpet look worn . room small decor furniture also wear . look like four star hotel 5 year ago need renovation . use pool expensive hold charge £ 8 per person , per day . problem air conditioning ask several time someone come look unit nobody come . breakfast extremely expensive quality food charge £ 16.50 per person charge advertise anywhere hotel . 
 Jul 27 2009 	 aware 	 standard double room single room double bed , access 1 1/2 side . small room enough space open two suitcase . fridge 
 Jul 20 2009 	 stay 	 back four night stay Kengsington Close . good enough location - Kensington High Street far tube . tiny Room , small double bed , storage , room move - claustrophobic . never encounter staff rude front house staff hotel . firstly enquire big room may available tell big room available anyway expect London city centre room ? ? apology , attempt even pretend sorry could accomodate request . order activate room safe , need get code reception . safe would not work great difficulty convince reception staff inputte code correctly must maintenance issue . eventually half heartedly contact maintenance ( puff pant cause great distress ) nice maintenance man come replace battery safe cause problem . I must point Irish generally irish people complain cause fuss unnecessarily . ask receptionist change pay consierge tour book . point direction hotel shop change approach front desk ask else hotel get change receptionist look colleague , throw eye heaven say & quot ; say change madam & quot ; point could not get rudeness people yes spoken manager feel worth spoil weekend break upset myself . the pay tv not work despite numerous request activate - attempt rectify problem . 5 channel . water room . fridge . certainly four star . definately sub - standard relation room rate . we could not bear eat hotel use facility . sense either welcome appreciated guest would never recommend hotel anyone would ever stay . 
 Jul 19 2009 	 poor hotel good location . 	 stay one night . hotel good location close Kensington Hight street tube station . room fine need , work trip . comfy bed , clean bathroom , portable tv 5 channel - roll news , BBC , Sky CNN poor , even Travelodge choice . room tea coffee make facility , biscuit tea pot plus point . staff welcome friendly , arrive smile hello , grunt enquire room rate breakfast . I not eat hotel look expensive London load place go . hotel fine purpose have disappoint staying holiday . big , friendly pretty standard . 
 Jul 16 2009 	 bad London 's Hotel ever ? 	 four star hotel without fridge room ! room small . bad customer service ever . some forniture adhesive tape keep ! dirty obsolete . 
 Jul 12 2009 	 great location good value money . 	 wife spend 7 night Kensington Close . say good experience good value dollar . room small shower great room clean everyday clean towel sheet . extremely close tube McDonalds 3 minute away . try Muffin Man recommend guest find expensive dry cupcake . great shopping , close Kensington Palace great place enjoy . suggestion get Oyster card go week like . buy tube station 25 pound . travel anywhere zone 1 2 also good ride bus . # 15 bus take Knighsbridge Picadilly get High St 3 minute hotel . tour bus one day . good . cost 25 pound good 24 hour . get anywhere like . get yellow bus live tour guide . red bus record . catch train Waterloo station day trip Windsor . excellent , one hour train ride . cost 9 pound per person round trip . Kensington Close meet need . eat hotel restaurant . kind expensive . course everything London . eat Hard Rock $ 30.00 two eat Friday 's $ 40.00 two . harrod ; unreal . $ 28.00 hot dog . oh yeah , get fry ! great time . would stay Kensington Close . 
 Jun 30 2009 	 room far small mouldy bathroom 	 stay friend 3 night , plus point location hotel . standard room far small , tiny gap four inch bed squeeze bed castors lock movement send bed right across room ! air condition cool enough room roast hot throughout night hall way . curtain fully cover window , secure place elastoplast ( yes really ! ) prevent woken sunrise 4.30am . two occasion leave either none one hand towel , lock door room do not even work ! ! could not get back room one day breakfast card room mysterisouly would not work . bathroom absolute disgrace - mouldy tile / tap scald hot / not work / sink dirty ... need go . might idea hotel cleaner focusse cleaning room ensure brass foyer immaculate - foyer perfect despite see dozen member staff clean bedroom obviously enough . I would revisit hotel suggest other could get well value money / cleaniness go elsewhere . 
 Jun 26 2009 	 never step ! 	 book hotel londontown.com say & quot ; Holiday Inn Express & quot ; .. apparently name change 5 year back . meet people Germany tell ! disappointing , tiny room .. sub - standard , even though stay executive double executive room . location nice .. close high street kensington .. couple well hotel around . staff quite cooperative .. may want pay penny kind room never renovate . 
 Jun 25 2009 	 worth Upgrading Club room 	 Hotel process move tour group hotel one popular business customer , still change make . location superb , 2 minute ' walk High Street Kensington tube station excellent shopping restaurant , yet quiet street . reception queue long , although corporate check - in offer much fast service . receptionist polite helpful . the hotel process upgrade many room , newly upgrade Club room excellent ; vary size little small , occasion spacious newly furnish high quality linen carpet etc . masssive advantage Club room automatic free entry swimming pool fitness centre . swimming pool rare central London , one definitely add value stay upgrade . renovation appear work downwards , public area last do . carpet old lift somewhat tatty . equally huge breakfast room , design large group , little downmarket compare room . lion Sports Bar large informal , attractive young guest business customer . space hotel , imagine future investement would include two small dining room two small bar . 
 Jun 24 2009 	 bit Disappointing 	 currently stay hotel must say bit disappointed . 2nd time hotel , time stay club room . however , time room allocate much small . certainly king size bed , flat screen tv minibar space premium ! little space bed cabinet host tv , mini bar kettle 3 compartment chair move close bathroom allow someone access . would expect bit well price paying though obviously London hotel pricey . thing would say room service menu fairly basic 4 star hotel . plus side would say find staff helpful friendly location good . 
 Jun 21 2009 	 great location good hotel 	 back weekend Kensington Close Hotel . situate ideal location . room ideal everything need stay . staff pleasant . breakfast either full english continental great variety choose . great place . 
 Jun 17 2009 	 tiny room pushy staff pretty good location . 	 stay three night whilst attend exhibiton London three collegue - say ? ! ? ! first impression ok , hotel loby neat people smoke outside door . check take age , man desk not speak much English traspired ( eventually ) arrive late ( 8.50pm ) have give room someone else . end different floor . breakfast nightmare - ask we confirm name room number five time first morning - want breakfast - food breakfast good overpriced . we eat hotel first night , way expensive ( LOADS pub / resteraunt within walk distance - much well ) good food - also wait 40 min sandwich ? ! ? staff foreign not mind disturb several time drink / food . room miniscule ! bathroom ok , clean tiny . hairdryer useless lighting not great , view airconditione device ! bed comfy expect , tv also TINY ( seem trend ) ! not order room service can not comment . parking also super expensive - 's central London . overall hotel disapointment overprice - return . 
 Jun 15 2009 	 Disappointing 	 look forward stay & quot ; boutique & quot ; hotel High Street Kensington greatly disappoint . room tiny ( exaggeration ) , bathroom dirty , bed uncomfortable . stay 5 night ( Expedia would not allow refund ) wake twice middle night due loud fan noise . call reception ignore request move next day . internet expensive not even work part hotel- include room ! charge extra gym amenity ridiculous . 
 Jun 15 2009 	 APPALLING Customer Service 	 make booking use complimentary voucher receive refer customer chain hotel . arrive tell booking make follow month . first staff say would arrange room we , come back check say room available . could offer we different room increase rate . become upset ( understandable travel 7 hour ) take umbrage refuse help ground impolite . avoid HOTEL . respect GUESTS incredibly UNHELPFUL deal problems . 
 Jun 8 2009 	 enjoy stay love location 	 ( , husband 9 yr old grandson ) 3 day , find service attention good . concierge extremely helpful , call front desk couple time , receive attention need quickly . find hotel cozy , staff delt reception , pub dining room nice . surprize busy front lobby reception time go though , create problem we , inquiry direct Concierge , , excellent deal . first meal London hotel pub , fish chip ! food good , eat every last bit plate . meal european holiday small salad serve meal , tasty . would definitely stay , second time ' ve stay Kensington area , really like . husband 's first time think great like hotel . negative thing say flight book Toronto , Canada , arrive early morning , ( 6:30 ) therefore hotel way check - in time . lf , book room extra night , hold arrive check nap hour . book hotel , read review little leery staying , really like . 
 Jun 5 2009 	 small perfect room 	 stay 1 night find clean , efficient friendly hotel . helpful staff desk . single room small well design small double bed . spotlessly clean area hotel . breakfast busy several large party Womens Institute member attend agm nearby Albert hall . waiting staff work hard keep table clear buffet top . complaint would alone wait age coffee ask . toast request never arrive - ample supple danish pastry go hungry . would use hotel . 
 Jun 1 2009 	 memorable people slightly forgettable experience 	 book Kensington Close two night end May , second visit year business charity . way London try remember hotel like , could not remember much . say something . the Kensington Close well - position close High St Kensington tube ( blessing long journey hot weekend ) . times ' ve stay host conference ( two ) add busy feel place . really busy . Sunday morning , breakfast waiter tell cater 900 breakfast - dining room hold 60 people one time . quite feat . the room clean stuffy , bed comfortable bathroom pleasant enough . although air conditioning , news item make think twice spend night breathing recycle swine flu leave , prefer leave window open instead . the queue breakfast not long look enter dining room breakfast unremarkable . previous stay have cook breakfast ( remember regret ) opt continental . time , despite try bit everything fruity yoghurty ... well .. not add up . the finish touch undrinkable coffee see we head fast possible Cafe Nero road . give breakfast miss altogether second day . shame . 's pity Kensington Close verge unremarkable come basic really excel people . staff ( corner globe ) friendly , polite good , genuine . positive achievement , find really root place raise game become little bit special . we take time give hotel feedback checking . receptionist manager gracious receptive view , prove point strength staff there . in term lovely staff , good location basic , clean comfortable amenity hotel could go bit become place really look forward visit business / pleasure trip . suspect attention food ambience whole dining experience lot . recommend hotel would mainly basis friendliness staff management . 
 may 27 2009 	 friend love ! ! ! 	 wonder website make angry people get problem ! ! ! negative ? yes staff try inform restaurant facility get room , , people would complain informed ! ; ) Bluesmoke fantastic , nice atmosphere great food ! room small way enough 4 day city ! guess need stay long ask executive room ! staff helpful , rainy day hotel , spa gym swimmimg pool , bar sport event big screen , small gift shop , food serve day long ! ! ! price great value ! ! ! ! highly recommend ! 
 May 24 2009 	 never ! ! ! totally Disappointing ! ! ! 	 bad 4 star hotel ' ve ever stay ! ! travel world worst ever experience . very good locationgood Reception / Dining Area / BarRooms totally disappointing , small room ' ve ever see , leak shower , stage shower head come , toilet flush work intermittently , old towel etc etcBreakfast B & amp ; b standart . a total false advertising , get nothing see website . ask 150pound per night hotel insane . 
 may 21 2009 	 poor customer service 	 Size standard double room ridiculous ! 1 bedside locker .... not get fry morning , bacon sausage taste like they ve sit since 6 am . taste like rubber ! staff unhelpful ! mostly foreigner work hard understand English . swimming pool cost £ 8 use actually facility hotel . expect pay 15 % tip bar every drink ( normal England tip drink ) ... pay £ 7.50 glass wine ! bar empty wonder ! ! assume restaurant try book meal even get room luggage ! ! 
 may 14 2009 	 avoidable low point 	 stay hotel coach tour . would hotel survive without coach tour - absolutely . stay coach tour acceptable room come back room allocate awful . curtain black mildew , desk staff slow generally feel staff not care . go coach tour do not stay . easy get taxi hotel morning tour leave . 
 Apr 28 2009 	 ` listen bad reveiw ! ! ! 	 worry reading trip advisor trip london arrive plesantly suprise . staff helpful friendly . room bit small yes away weekend london much time spend room ! right require . food service also exelent . eat hotel two night compaint . breakfast also fab . would love stay ! good ! ` listen people get nothing well moan ! tight fiste one think everything pricey ! ! ! ! ! ! ! 
 Apr 22 2009 	 excellent location - small room - close 2 * 4 * 	 kensington close hotel excellent location 2 min underground . hotel need refurbishment outside shabby . breakfast excellent . room another story . the room bathroom clean hotel take mean small room limit . absolutely tiny . hardly room walk around bed . require twin room bed stick together . remind bedroom mobile home ! ! ! ! ! however bed comfortable & amp ; quiet area . cost alcohol bar steep . cost £ 13.22 wine vodka & amp ; coke . I think hotel 4 * material nearer 2 * . 
 Apr 15 2009 	 location great ! ! ! 	 stayed really like . first room really small , move room much big , make stay enjoyable . would stay . husband love breakfast . great location staff come across nice . 
