wow 	 great hotel ! stay wife one night , get great deal hotel . amazing location , great staff . bed amazing pool gym also stack many machine great view work . hotel staff helpful , wife forget pair jean mail back we free . ' ve never see much effort staff . can not wait stay . 
 Oct 14 2009 	 Best Hotel Chicago 	 although Chicago , love spend weekend downtown Chicago . spend time Trump , feel like get home wonderful vacation without jet lag ! attentive staff , elegant room beautiful city / lake view part reason stay wonderful . complaint go back home ! look forward next visit November 5 star hotel . 
 Oct 11 2009 	 fantastic view luxerious room 	 Request Chicago River view - nothing else like Chicago - front desk valet seem understaffed wait time , , room well - appoint & quot ; Las Vegas - like & quot ; - unlike old hotel , toasty warm windy winter night . 
 oct 8 2009 	 world - class ! 	 door chime replace knock ... softly scented bed linen ... tv bathroom mirror ... friendly , flawless service ... trump truly five - star experience . good hotel decent bed , edible food , clean room . mark five - star establishment service attention detail , Trump excel . welcome valet , belstaff front desk cordial -- upgrade room good view city ever see , live . 22nd story , look river lake . bridge , Wrigley Building , tour boat , traffic , pedestrian -- like high enough loud low enough interesting . room quiet . enter long hall give room sense privacy set back . beautiful , restful color , grey brown , contemporary without feel harsh . Kitchenette high - end appliance finish , would expect . disregard minibar ! bose sound system play softly arrive . Bellman friendly informative . in - room dining first night server set four chair us guest . 30 - minute wait Friday night , food outstanding . room service person call make sure everything ok , appreciated . never sleep well hotel , bed comfortable , other indicate . check & quot ; pillow menu & quot ; ! all - marble , spa - like bathroom nice lighting . breakfast restaurant service , , could solicitous . nice feature & quot ; juice day & quot ; -- day , kind berry . taste natural . yum . another observation : not feel snooty faux - Continental . family would comfortable , want shell & quot ; trump experience . & quot ; want special getaway Chicago -- would absolutely recommend hotel . 
 Oct 7 2009 	 absolutely sensational 	 could rave Trump hotel Chicago . room ( basic one ) oversize amazing little extra feature great tv mirror , pillow menu , ipod speaker . location fabulous not car could walk train , Navy Pier everything else . concierge staff phenomenal helpful . gym also really well appoint . first class experience one good ' ve ever . 
 Oct 3 2009 	 absolutely wonderful experience ! ! 	 superlative numerous .... good way put future travel Chicago , would want stay anyplace Trump . first class way location staff , room , cleanliness . absolutely , would recommend anyone ! ! 
 Sep 22 2009 	 good hotel experience ' ve ever . 	 stay Trump Hotel Chicago last weekend . trip girl - only weekend celebrate 40th birthday . hotel exceed expectation , already high . incredible experience . we book Grand Deluxe River View Suite ( Unit 32 ) thrilled get room 27th floor ( top floor hotel section building ) . photo website suite justice . overall effect high ceiling , huge space , floor - to - ceiling window incredible view stunning . first come room , run around like bunch excited six - year - old ... check bedroom , bathroom , kitchen , etc . minute check , receive lovely & quot ; happy birthday & quot ; cake ... nice touch . every part hotel extremely clean , staff friendly ( least bit condescend ) love Terrace bar . ( remember be pay view well ... drink pricey . ) 's doubt expensive hotel , want & quot ; experience & quot ; vs. & quot ; room , & quot ; be worth . fact , ' m check travel budget already see husband & amp ; come back December . 
 Sep 15 2009 	 worth splurge ! luxury redefine ! 	 sure wall wall window one two set drape electronic control , spectacular view , television embed bathroom mirror , espresso machine , kitchen appliance WOW ! factor huge . still discover feature check drawer closet departure - little thing not know need really - clothe brush , slipper , martini shaker , tape , scissor , staple remover - list go ! go enjoy luxury . room spacious , amentitie superb , service gracious . restaurant 16th floor incredible view , good food , personable staff . probably expensive breakfast ever ( maybe top Imperial Hotel Tokyo ) create memory ! yes , expensive Trump set standard . 
 Sep 14 2009 	 stay 	 great location , beautiful view - pay extra river view worth . enjoy cappucinno machine morning . clean . nightly turndown slipper , robe , bottle water glass nightstand , music playing , aquarium scene tv arrive back long day town . large room . high ceiling make feel even big . stay . Valet even 2 bottle water we depart . 
 Sep 10 2009 	 nice little thing add ...... 	 stay Labor Day weekend Spa King Room . first , view great , Wrigley Tower Chicago River , breathtaking . little thing add weekend stay : tv remote would work call front desk several time get check . sure anything really do fix remote , one service guy reboot tv admit tv system right choice Trump hotel . drapery operate wall switch open close , reason drapery hook pull rod therefore would shut completely . call front desk several occasion . next Sunday morning walk hall smell cigarette smoke non - smoking floor . complained front desk say would check . bed linen 500 count linen state . bed comfortable state . Bathtub large use bath could get drain open let water . call maintenance yet . staff nice concierge , George , go way find we dinner reservation Sunday many restaurant close . one find outstanding : Boka Halsted . excellent food wine list . terrace bar great place sit take great city view location also close Michigan Avenue . day checkout , even prepared go breakfast we tell we GM would touch , however hear . never stay Trump usually stay Four season Ritz Carlton 's want give chance . would stay disappointed . complete survey hotel send yet hear GM . 
 Sep 8 2009 	 Great Hotel ! 	 Chicago shopping sightseeing decide impulsively stay overnight . place book full find suite Trump Tower ( $ 700 ) King bed pull sofa bed . lot thing hotel make giggle - send plate complimentary truffle , pillow menu variety complimentary pillow ( soft , hard , body , scented ) , water menu exotic type water , full stocked liquor fridge , great view river , city firework ( Thurs & amp ; Sat ? ) . lot extra charge try splurge ! really , big annoyance street noise - motorcycle ambulance . could outdoor pool . 
 Aug 30 2009 	 Location View 	 choose hotel new luxury property town overall pleased choice . like many hotel Chicago , hotel split small lobby ground level , restaurant spa 12 14 , room floor . arrangement may bother guest hotel real center focal area , set matter personal taste . we really problem . however , lobby small front desk close elevator lobby . weekend hotel , busy get around front desk line annoying want see nice hotel . compound problem one three elevator guest room , spa , restaurant , ballroom work stay . even three work , expect wait sometimes . room number 2304 would highly recommend 04 line get . view room outstanding Wrigley build clock tower leave , straight view lake building way , great view Chicago River , bend right front . see floor ceiling , wall wall windows . room 900 square foot , include long hallway . set studio full kitchen really part bedroom . overall look room elegant modern muted color . large marble bathroom nice separate shower tub separate water closet . tv bathroom mirror cool . nice large pool wall window overlook city water . gym also great view true gym complete workout achieve . locker room nice steam sauna feel look like locker room nice gym five star hotel . eat hotel , cool look restaurant nice outdoor bar area great view water city skyline . location hotel perfect . loop area river , magnificent mile start one block away . basically right middle main part city almost every tourist site within walk distance . overall hotel good choice city many great hotel . hotel layout design little quirky , service little stretch weekend , large room , great view , central location , make short coming . 
 Aug 29 2009 	 hotel fantastic . WOW 	 stay Trump year ago fairly unimpressed- staff time seem still & quot ; get together & quot ; . WOW - difference year make . stay perfect ! Jamie , bellman , outstanding . like original room assign - nothing wrong - like layout . Jamie call front desk , get room number three room . show we room , arrange luggage move bring we new key . the in - room dining staff great . daughter severe peanut allergy in - room staff excellent remove mini bar item - many contain nut . suite wonderful - lot room husband , daughter read relax . kitchen able make breakfast suite eat . child food allergy make difficult eat room perfect we . I would recommend hotel anyone visit Chicago . location great - walk everywhere - Michigan Avenue , Art Institute , Millennium Park , old Marshall Fields store . great get away weekend ! 
 Aug 25 2009 	 Great Hotel 	 recently stay Trump Hotel Chicago girlfriend couple day shop . Trump Hotel terrific location could not well . staff welcome make effort make we feel comfortable . room large kitchen nice touch although use . robe wonderful bed comfortable . complaint dirty glass ( use we ) sit kitchen counter entire stay . sure housekeeping staff not notice it . we think guest hotel quiet . never hear door close voice . pleasure ! city view overlook river wanted not matter much . all , great stay would certainly recommend hotel . 
 Aug 23 2009 	 wonderful 	 live ? say one good hotel stay . room large , great view , bed fabulous ! bose sound system great , fall asleep listen smooth jazz . bathroom roomy nice shower , not think would use tv mirror cool want one . kitchenette everything , nicely stock . assortment high end bottled water could . ask item room upon arrival , call front desk less 5 minute door . snafu encounter . visit Rebar nice view river . drink good pricey . check pool , nice , lots kid . next time would love try spa service . not time trip . enjoy room service breakfast , everything cook perfectly arrive time . doorbell outside room also light Disturb , door hanger . pet friendly hotel , room menu offer food choice pet , think cute . overall say relax , surprisingly quiet , comfortable . highly recommend . 
 Aug 13 2009 	 wonderful stay 	 husband , along seventeen year old son friend , stay two room Trump Hotel Lollapalooza Festival . husband love place . say build magnificent . anyone find fault hotel ? everyone kind helpful . air pretentiousness whatsoever . I especially love Nespresso machine . delicious cream little water . going buy one get home . my little 7 lb . chihuahua / yorkie greet warmly whenever peek carrier . the bathrobe warm cozy . think Ivanka Trump 's tv greeting sweet sincere . all say never great place resonable price . Chicago cool city back . 
 Aug 8 2009 	 great room great location 	 get back trump chicago- love room , book expedia , tv bathroom , comfy bed , huge room . hated bathroom toilet , problem flush handle , friend another room jiggling problem . love hotel staff check in- think rude , long wait concierge , often less helpful . also , possible large hotel city one uni - sex restroom lobby ? ridiculous . think bellman outside staff great . , love room , fitness room great , would definitely recommend . 
 Jul 18 2009 	 Donald get right ! 	 husband , 2 teenage boy stay 3 night July Trump Hotel . look almost every hotel available Chicago decide Trump . want memorable time family last trip together son leave college . select Trump 's location , completely non - smoking policy .... look great website ! fabulous choice ... love ! get upgrade 1 bedroom suite allow we completely spread . amazingly beautiful room .... large bedroom comfortable king bed , living room tall window allow great view , 2 bathroom , complete kitchen big refrigerator ..... unbelievable . take everything hotel offer . eat Sixteen every morning breakfast . perhaps little pricy bad . food good , service excellent view this16th floor restaurant spectacular . go fitness center couple time . top - notch ! pleasure work nice amenity everywhere .... individual tv screen new cardio equipment , bottle trump water available , clean bright room , lot weight machine , view ! also go new outside Terrace Restaurant / bar 16th floor . beautiful night lucky enough get table . view Chicago River , Wrigley clock Chicago building light night beautiful . memorable ! stay , walk everywhere .... Michigan Avenue , along river , lakefront ..... hotel location ideal . take Wendell boat ride would highly recommend went look good pizza ( thin crust ) . way , vote go Ginos Guiordanos ! overall , love stay Trump Hotel fantastic time Chicago . 
 Jul 18 2009 	 gorgeous property service gaff . 	 stay two night first time July . hotel squeeze floor 14 - 25 bunch empty floor ( office space ? ) bunch empty condo unit . downturn economy property offer competitive rate 5 Star hotel . the room oversized will want request one river side . understate stunning interior design . almost light dimmer control panel bedside . complimentary WiFi room . fabric choice wood really top notch . one thing surprised bathroom amenity . oversized , rather generic cheap plastic bottle private label Trump . leave . normally anything good , Bulgari , L'Occitane Peninsula Ritz Carlton , would go home . . not bad amenity , rather plain generic . 's service gaff , will blame housekeeper . bathroom scale not work . ? battery dead . small tv build bathroom mirror inoperable . ? tv not scan set channel . light desk not work . ? lamp defective change out . who know maybe first guest ever room , chambe maid do simple check thing could work guest arrival . oh well . it be stunning hotel . gym spa occupy entire floor . nice hotels world gym one nicest encounter . use spa . extraordinary rate not go pop cost without see review service . the food service good , great , certainly top Chicago market . would encourage people eat elsewhere . Chicago know famous restaurant NOMI , Alinea , Charlie Trotter 's etc . 's reason pay Michelin style price common food . get city enjoy food . bedding pillow amazing . one nice bed ever , really right be look great night sleep . room also semi stock kitchen almost like little time share two burner cooktop , sub zero refridgerator , crystal barware , etc . large well stock mini bar complete trump chocolate bar . will also find Ivanka 's jewelry line hawked magazine postcard desk . 's interesting experience . time visit hotel economy strengthen raise price , assure happen occupancy build . 
 Jul 15 2009 	 wow ! 	 money , definitely place stay downtown Chicago , right river . everything first class price accordingly . maybe good breakfast ' ve ever , cost include tip $ 80.00 . 
 Jul 13 2009 	 wonderful hotel take word ! 	 wife go Chicago past weekend choose Trump part great review site . tell review completely accurate hotel really something else . hand towel check televsion centre bathroom mirror gorgeous huge hotel room , wonderful weekend luxury ! not forget location actually block away Michigan Avenue , actually perfect right middle everything , touch away not hear noise . impressed fact manager take time comment review , class ! can not see dissappointe ! 
 Jul 10 2009 	 great hotel pricey 	 stay weekend March hotel still construction . lobby nice , modern clean . location great visit magnicificant mile right river great view lakeshore . room comfortable great mattress option choice pillow . gym nice offer headphone use tv 's fitness equipment . though view build next door pretty much eye sore . coffee lobby amazing , coffee snob nice detail include . shower truely bizarre though , order turn shower get bath tub next not get spray cold water turn . wish picture , be hard describe let us say major design problem . another odd thing ble water room , know people like bottled water need $ 25 bottle water Swarovski crystal ? ! choose use valet $ 45 per night , would probably self park close . not eat restaurant hotel , take tour nice . recently Chicago look like garden next hotel almost do , add nice accent hotel . 
 Jul 7 2009 	 Great Hotel - Service Lacking 	 new Trump International Hotel Towers Chicago beautiful hotel great location , service definitely room improvement . room spacious nicely decorate , nice bathroom ( although tv mirror seem pretty useless take away surface mirror actually use ) . also water menu room several overpriced bottle water kind fun look , sure would actually want tot drink . spa pool area nice seem something miss pool area ; maybe plant attendant drink menu ; seem kind remote impersonal . the restaurant Sixteen offer impressive delicious brunch buffet Sunday view amazing . location excellent quick walk south Millennium Park one block east Magnificent Mile . ' hesitate stay right price , ' expect kind service would receive form four season peninsula ( rate reflect ) . 
 Jul 1 2009 	 Great Hotel ! 5 * service ! Great Location view ! 	 get back 3 night Trump Hotel Chicago . get one summer special - stay 2 night get 3rd night free . stay 1 bedroom suite enormous big enough 4 we . good luxury room - tv locate INSIDE bathroom mirror ! floor ceiling window fireplace plus kitchen ( stock sort drink snack want pay price - also grocery shop stock favorite want ) . travel kid ask Trump Kids extra - bathrobe , slipper kid , backpack , business card kid name print , cookie & amp ; milk upon arrival ( cookie plate name spell chocolate - will not lie favorite part trip ! ) , x - box age appropriate game . husband birthday nice cake room upon arrival . feel pamper ! every staff member amaze helpful . hotel location great - right next Wrigley building , view awesome - try get east face room view lake . pick stop Chicago trolley block away . cab ride tourist location ( Sears Tower , Field Museum , Ditkas Restaurant ) $ 10 less . walk Navy Pier long walk - mile - 99 degree take cab . also free trolley Navy Pier 2 block away . pool great view , locker room steam sauna , shower etc . finish outside touch furnish upstairs condo ( low floor hotel , rest building condo ) noise - early review talk construction noise . do not eat restaurant ( many great one nearby ) view river lake front outstanding . do not use Fitness Center ( charge ) view amazine - look river huge - lot machine . service well ever experience . 
 Jun 25 2009 	 amazing luxury experience heart Chicago 	 be Chicago , receive gift certificate hotel Christmas . decide spend night event schedule attend . low class room sell , bump level bit . arrive , unexpectedly upgrade gorgeous , spacious suite amazing master suite , 2 bathroom , full kitchen , living room . room , word , glorious . every last detail address , think experience amazing . friend come appetizer champagne prior event , feel like entertain home . would move could , river view . great experience , want splurge , will definitely come . 
 Jun 23 2009 	 5 star property longshot 	 Trump hotel would easily earn 4 star really annoying faux pas . note : would not big deal Trump 's endless windbaggery thing & quot ; Best & quot ; , & quot ; Greatest & quot ; , & quot ; End & quot ; . make kind boast , Mr. Trump , be expect organization . low - key guest not demand much . hotel can not even deliver basic ? be FIRED.First good thing : - room enormous w / fantastic views- pay $ 199 room ( $ 399 seem bit stretch location , property new , clean , pristine & amp ; value $ 199 ) less - than - good thing . $ 199 , be fine . purport 5 - star property ? joke.- one tell we need use room key order operate elevator , stand around look like village idiot several minute , punch button & amp ; wonder malfunction another guest explain us.- internet room ! call concierge & amp ; tell issue w / AT & amp ; , specifically . not large wireless network U.S ? . surf local attraction iphone not possible w/o head business center three floor ( thank ) .- pretentious & quot ; Water Menu & quot ; room . can not figure Trump & amp ; Co. serious , put comic relief . truly , one pretentious faux - classy ( & quot ; klassy & quot ; ) thing ' ve ever see . evian Fiji fine , Mr. Trump . not need guzzle , & quot ; truly brilliant water whose time come . & quot ; ( seriously , be actual quote . die ! ) - large tv room perfect late night tv watching , although In - House programming menu not match actually play . might say certain movie play HBO 10:00 pm , turn channel , something completely different . channel surfing bit , decide give turn early . - drift sleep around 11:30 pm , phone rang . pitch black hotel room 3 phone , imagine disconcert - loud - would . grope around phone ( side bed ) , trying wake 13 year old niece , ring stop . ok - whew . must fluke , right ? go back bed , heart still race bit shock . 10 minute later , right beginning relax , rang ! time concern . not even get late - night phone call home , much less ' m hotel night . something must wrong . , turn light , woke niece , answer phone & amp ; hear , & quot ; yeah - would like order small pizza . & quot ; Shocked & amp ; daze , tell caller wrong # . & quot ; [ -- ] ? & quot ; askedwhy , yes - . apparently dial main switchboard # put ROOM 11:45 pm . lovely . furious , call switchboard & amp ; ask hold call room 7:00 follow morning . - mention checkout , could tell look woman 's face mortify . admit essentially hotel 's fault , lot people @ hotel w / my last name & amp ; call probably got pass we accidentally . upset . kind ineptitude manage feat 2x row ? one expense @ hotel : $ 31 breakfast ( coffee & amp ; bagel w / lox ) . would think would compe we trouble . nope ! instead apologize smile ask , & quot ; get enough sleep , right ? & quot ; uh , 's point . inmate @ San Quentin probably get enough sleep every night , . could slept peacefully home . , next time , else will spend extra $ 150 head Peninsula IV Seasons , know promise & quot ; World Class & quot ; service hot air & amp ; $ 25 bottle drink water . ( LOL - still giggle one . ) 
 Jun 21 2009 	 Inconsistent Service 	 wife recently spend two night Trump celebrate 40th birthday . come away stay mixed emotion . plus side , hotel great location 's situate river short walk Mag Mile , Millennium Park , etc . room aesthetically appeal quite comfortable , particularly bathroom , large shower bath area . addition , satisfied spa service ( Soul Soul ) , though tad bite expensive . while hotel lot go , many minor irritation leave we negative impression . will start $ 50 / night valet parking other mention review . seem outrageous . classic two part pricing get focus cost room end pay lot service . be probably worth inconvenience park across street ! topic get nicked service , erroneously charge mini bar item never consume ( remove fee check ) . also , probably unique stay likely replicate , maintenance person barge room soon arrive look video game , nonsense , think someone leave behind ( turn wrong ) . rang bell room rummage around . good thing arrive check room , otherwise could really awkward ! not anybody knock anymore . as mention onset , stay hotel celebrate birthday . staff send bottle champaign , nice touch , card wish we well wedding anniversary . message bit , drank bottle champaign anyway , thank much . finally , neighbor decide crank stereo 3:00am last night stay . maybe Bose system Ipod adapter great idea all . decide , money , will take Four season day week . respect . 
 Jun 18 2009 	 Fantastic hotel Michigan river right middle downtown . 	 Trump perfect . wife honeymoon fantastic final hotel 4 - week US road trip honeymoon . upgrade we two level gigantic ( think 800 + sq ft ) room Lake view . kitchenette ( thing miss oven ) perfect since food allergy prefer eat food cook since positive contain come contact . finally , bathroom amazing . giant soak tub fit two , great shower bathroom mirror TV . trump right next south end Magnificent Mile shop Michigan Avenue . wife walk one afternoon way Cubs game Wrigley . say , concierge able get we great seat reasonable price sell Sunday afternoon game . sure would get ticket , find , fifth row third base line . perfect ! downside hotel ridiculous charge room service valet parking . six - pack Sam Adams beer $ 30 include room service delivery charge $ 4 . seriously , $ 8 six - pack beer , $ 4 deliver room , WTF ? valet parking ~ $ 50 / night . typo $ 50 / night ! yet time , honeymoon , cost not really matter , even annoying . the Trump top exactly one would expect $ 400+/night room cost . yet even though expensive , think worth since room twice size room prior hotel trip . also , kitchenette fantastic bathroom great view Lake . overall , would highly recommend hotel other . 
 Jun 11 2009 	 Best Hotel Chicago one good world 	 without doubt good hotel Chicago one good hotel world . wife Chicago visit son decide stay Trump stay Peninsula Four season previous year . city view room exceptional large suite stay . kitchen room vital people live away home two week . ideal option eat relax room something light eat . the gym facility amazing . view gym worth go alone pretend work treadmill fan iPod docking station . simple idea something many gym . course spotless appear equipment serious workout guy like go motion . when eat breakfast 16 ( restaurant within hotel ) receive personlize attention exceptional service server ( show we good view foyer could take well picture Chicago skyline family see ) . normally not eat breakfast 16 make break rule every day throughout stay . I would recommend hotel anyone visit Chicago . well price service quality hotel . 
 Jun 11 2009 	 Excellent Hotel Outstanding Service - Especailly kid 	 make short ( 3 night ) trip Chicago stay Trump International Hotel 11 month old baby . first minute stoppe car Valet , make welcome everybody extremely helpful courteous . upon check - in baby boy receive little stuff cow really like part stuff animal collection like fall asleep . glass milk cookie waiting room well real baby crib proper mattress & quot ; Pack & amp ; Play & quot ; . admit , Trump Organization figure : & quot ; Happy Baby make Happy Parents & quot ; ! everybody know babyboy name everybody look extremely well give we even time relax eat . the food & quot ; Sixteen & quot ; good definately enjoy great Sunday Brunch . agian , plenty choose baby well . spa excellent , everywhere within hotel went feel welcome treat courtesy respect . overall excellent experience back . 
 Jun 3 2009 	 luxurious place sleep indulge 	 Mom stayed Mother 's day . King City View Room HUGE extremely comfortable inviting , warm . bed excellent . bathtub amazing well design hardware . color palette beautiful . would highly reccomend pool fitness center . room service spa menu item outrageously expensive , even comical sometimes , great variety menu , great people special diet , someone feel like peanut butter banana panini interesting choice breakfast ususal coffee , muffin , egg bacon ... 
 Jun 1 2009 	 good great 	 plus point : checkin quick friendly . hot towel checkin counter nice touch . room nice size , amenity good . bathroom nice - actually like ' wet ' area bath + shower . toiletry etc . brand seem pretty good . hotel also good location suitable business pleasure - near loop Michigan avenue . kitchenette room good ( read negative ) - housekeeping wash cup / saucer / bowl / measuring - cup leave . also supply electric kettle well nespresso machine . negative point : housekeeping bit random , one evening room come round turndown service 9 pm . would well could ask preferred time schedule time . also buy milk+cereal simple breakfast room . housekeeping dispose milk second last night . maybe leave , would nice note least remove . fridge also full usual overpriced minibar junk . would recommend make specific point confirm housekeeping not going throw anything away . also point UK visitor - teapot coffee jug , use measure cup . compare Peninsula 4 season 's close quite good . -- Harry 
 May 27 2009 	 Nice Hotel 	 family four ( kid 8 & amp ; 11 ) stay two night Memorial day weekend . Deluxe King City View room 26th floor . book hotel get special rate $ 199 night . regular rate $ 399 night . PROS : hotel great location . family able walk local attraction . plenty restaurant close . hotel staff courteous arrive . room nice . great view sunset . plenty room four people . stock mini - bar expensive . 7/11 block away buy snack . also Dunkin donut right across street . bathroom excellent . kid love tv mirror . bathrobe super soft . even robe kid . bed comfortable . hour check bring cookie milk kid . kid love pool say water cold . con : make reservation request room ready 2:00 pm . arrive say room clean supervisor need check first . end wait lobby hour finally check we . make reservation ask kid age name could & quot ; goodie pack & quot ; ready . checked not give we anything . dinner call front desk ask kid pack . send small mesh backpack crayon color book . website promise lot . maybe Memorial Day weekend not time . complaint room slide bathroom door . would prefer bathroom door give little privacy . slide glass door , lock , not work . never enough towel . first morning take shower notice two bath towel big towel probably pool towel . tell front desk go day need least four bath towel . maid come room still leave two bath towel . call maintenance tv would not turn . maintenance guy come right away . turn maid knock power cord loose dusting . day check valet bring wrong car parking lot . wait 15 minute get right car . give we bottle water wait . overall : would go back Trump get promotion rate 199 night . would not pay normal rate though . price would expect everything flawless . nice place not perfect . give 4 5 . 
