great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 Oct 18 2009 	 mixed feeling 	 first time Las Vegas , , concert Pearl inside Palms . want stay strip be not casino hotel . Hilton Grand Vacations Club seem good deal . casino , price good . far airport , short distance venue , though do not realize go much traffic . lobby beautiful , large grand staircase . greet man check name list , get ready check rather quick . proceed room . first time stay Hilton , do not know expect , honestly , expect bit room . do not know describe , share picture take . first glance seem nice , random thing around room notice night , room seem warn . 2 night , , typical trip Vegas . first night spend relax , second day venue early , much time spend actually room . however get enjoy beautiful pool area tan bit second day . notice chair fill fast , want get spot pool , make sure get early morning . make note hotel offer sort room service , something know ahead time . do not adventure much around outside property , pretty sure many restaurant around hotel . shop basic food lobby area , room kitchen least fridge , sink , dish , microwave , coffee maker , etc . overall be not horrible experience , Vegas , would stay . staff meet extremly nice , pool area beautiful , free room wifi always awesome , love room dvd player . however pretty much good part . overcharge ( ALOT ) check ( keep add charge hundred , though resolve checkout , add alot stress ) , expect room bit nice , hear Hilton . 
 Oct 18 2009 	 Spacious kingbedrm suite near Strip 	 Kingbedroom suite ( like nice apartment ) sofabe separate lounge well appoint , comfortable kingbe separate bedroom adjoining bath , separate well appoint toilet / shower room accessible lounge master bedroom . kitchen microwave , coffeemake machine ( powder + teabag provide ) , steel benchtop kettle tea , fridge even wash machine clothe dryer washing powder provide great long trip road ! hot breakfast selection option include fruitjuice , bagel egg - sandwich / croissant bacon , cofee / tea basement deli time consume peak hour otherwise good value , limited two adult per room . additional portion need separately pay for . Lounge sofabe ( comfortable pullout bed due soft spring ) flatscreen Tv Bose audio system . airconditione efficient . free in - room wireless . conveniently locate bottom end Strip , 15min 's walk Wynns Casino Hotel ( walk night show ) , Encore Fashion Shopping Mall . 24hr convenience supermarket less 100metre away next well MacDonalds bus - stop shuttle thro strip . self park $ 8 / day . the adjoining kingbedroom ( without lounge / sofabe ) kingbedroom without lounge washing machine / clothe dryer . reception service friendly helpful , service counter booking show etc . great rate especially Mon - Thursdays , busy Fri - Sun still reasonable rate compare property Strip . webpage show room . include casino fine we familie young kid . 
 Oct 15 2009 	 Beautiful Retreat 	 husband timeshare demonstration . go basically & quot ; free & quot ; anniversary place go since fund tight . read review leave , scared although friend mine new one Orlando love . beautiful hotel staff could not attentive helpful . stay tower two one - room suite large full kitchen / laundry , dining room , livingroom flat - screen t.v . bose sound system , king - size bedroom two - person tub right next another flat - screen t.v . , large bathroom granite / marble countertop . although upon arrival , maintenance guy fix dishwasher , leave shortly arrive apologize do already . bed comfortable treat travel bed good ( expensive matress Ethan Allen high - end duvet , linen , etc . ) . would agree review undesirable end strip near old hotel ( Circus Circus , Sahara , Riveria , etc . ) , new one do soon across street look high end . Hilton build two new tower near future huge new hotel / casino complex hotel Circus Circus economy turn around . nice know every & quot ; Joe Schmoe & quot ; strip walk hotel one reviewer note , will / may check see room key later night ( mind ) . not get spend much time pool , , big large casino ' ve stay ( Treasure Island , Rio , MGM , New York / New York ) . price snack item / food high inside hotel , CVS next door ( although price not much well ) . stay stay week instead 3 days/2 night , would go get grocery utilize kitchen little ( least breakfast lunch ) ... although not think cook vacation ... especially land buffet ! note : get buffet Sahara ... would not feed dog stuff smell ! overall -- Hilton Grand Vacation Club great couple want gamble little ( easy walk bus / tram ) , get away get great airfare great weather . go timeshare demo , receive $ 50 use Hilton Convention Center east hotel ( easy walk ... high heel ) eat T.J. Steakhouse . husband 's filet mignon well ever eat . 
 Oct 14 2009 	 good non - gaming hotel top end strip 	 first thing bear mind timeshare resort mean room come fully equipped cater etc general , thing provide . non - gaming hotel oasis calm return general impression quite good , Riveria Sahara area strip , house two tower 25 level believe differ slightly enter via main door atmosphere rather low key reception level handy mini - market , deli - counter make roll etc fresh coffee open 5 am 1 am next day downstairs & quot ; want , wander . outdoor swimming pool , tour desk , that s timeshare status , people may find limit .The room good size fully eqippe kitchinette , fridge / freezer , washer & amp ; dryer , good size seat area dining table & amp ; chair , tv course , air - con .The bathroom shower , toilet washbasin bedroom house spa - type bath along plenty storage space , general eveything seem good standard .You stick transport plenty taxi always hand , bus stop & quot ; deuce & quot ; service right outside Monorail Sahara 5 - 8 minute walk away also CVS pharmacy store next door - sell medicine -along shop moment away . overall , bad stay main drawback would find hard recommend child locaton - large amount development go around area eye pleasing also create large area wasteland walk past also sadly seem attract vagrant annoy last thing - Vegas busy , take forever get around . apart , hotel bad like low - key activite shame little close action 
 Oct 13 2009 	 can not wait go back 	 book vegas belate honeymoon . disappointed . hilton perfect . room right size , fridge , micro wave , big flat screen . south end strip need bus / taxi large hotel . get deuce bus $ 7 24hrs $ 15 3 day . alittle irregular patient . we glad do not go large hotel first visit would definately go back vegas hilton grand vacation . 
 Oct 11 2009 	 Red Rock Canyon ... must 	 stay Hilton Grand Vacation Club locate north Strip . pleasure stay hotel casino therefore , resort like environment , quiet feel safe ( non guest roam casino ) . staff attentive check in / out ideal . since day Las Vegas , visit Grand Canyon choice we . instead , drive ( 35miles ) Red Rock Canyon . arrive around 4 pm drive 13 mile senic route . able get take picture many senic spot locate 13 mile route . time , sun setting view Canyon breath take . fee take time need visit . one show also ' must see ' KA . Cirque Du Soleil show locate MGM Grand Hotel . unbelievable show . many thing see Las Vegas , ' must see ' list , must add Red Rock Canyon . 
 Oct 8 2009 	 great place stay - casino = smoke ! 	 hotel north end strip trafic much well . room huge look nice , sep.jet tub , big shower , nice full kitchen . hotel clean , housekeeping could use little detail . casino hotel ( lot next door around ) , hate smoke can not stand walk casino get buffet show definately place want stay next time go visit .. work cardio , gym die ! top line equipment , anything imagine . next gym game room awsome . pool table , big screen tv sofas , fooseball , ping - pong table , game etc . pool laso nice . overall perfect place want quiet , room well seal , wall thick . build two tower future empty lot next not start yet ( sept . 09 ) . also go see cirque du soleil show well ! fun , hope help little chosing . 
 oct 1 2009 	 Resort need new Location close action . 	 well resort need major help . geuss fair point nice thing . the room nicely appoint kitchen decently appoint bathroom quite large . stay 1 Bedroom Suite find tv couch nice . tower 1 flat screen tv 's advertised regular old fashioned tube tv's . the room actually quite small 1 bedroom suite . kitchen tiny one person could could barely open fridge stand behind without hit bar , large 34 inch wasite . room ok decor , dining table stuck bar be not large enough call kitchen area living area , right near . 2 property room large , Flamingo Club large nice room . would recomend location . this hotel next anything . love old school smoky casino 's Riverea Circus Circus right next door . walk anything construction around halt . seem interesting 2 twoer plan resort awful location . convention center good walk take detour construction site . would recomend staying , get room somehwere else trade another location . sad thing use Hilton Grand vacation owner bonus time think would never stay , club . 
 Sep 28 2009 	 Wonderful Surprise Las Vegas Strip 	 Las Vegas countless time - always stay big resort Strip , often try different property variety . hear Hilton Grand Vacations Club , intrigued , immediately excited , due location iffy review Trip Advisor . however , pull hotel , know right away go enjoy time . hotel nearly off - the - beat path reviewer make sound . locate exactly Stratosphere Circus Circus ( exactly desireable location , perfectly fine ) . 24 hour CVS locate directly next door hotel casino within couple minute walk distance . actually like location change quieter relax hotel middle everything . another nice change pace fact non - gaming property . , big gambler , wonderful come back hotel evening hour casino , quiet , tranquil retreat . staff friendly welcoming ( especially playful valet guy ) room immaculately maintain entire stay . another huge plus free in - room internet 24 - hour business center , would great town business . high standard , often stay suite 5 - star hotel , could find one fault property . feel like home . stay Vegas ' good resort hotel , one become one new favorite . definitely look stay next time . enjoyed every minute recommend Hilton Grand Vacations Club enough . 
 Sep 28 2009 	 Sun lover beware 	 great staff . great apartment , spacious & amp ; clean . pool area lovely & amp ; worthwhile watch sun lover chase sun morning . two highrise - one condo & amp ; unfinished hotel block sun morning . Transport strip easy - deuce bus stop outside & amp ; monorail across road Sahara . Plenty see & amp ; not miss Freemont Street . busy Thursday weekend . site pool bar & amp ; restaurant great lunching . site marketplace great basic , slightly overprice item . 
 Sep 21 2009 	 clean quiet location friendly staff 	 second year row staying resort . first year stay studio , nice big enough , decide stay 1 bedroom time around . stay tower 1 2 . tower 2 new . room nice big enough . travel kid 1 bedroom might bit crapped . smoker always go nonsmoking room . even though hotel smoke hotel smoking floor far away nonsmoke floor never smell . allow smoker smoke outside . hotel clean inside outside ! see cleaning lady day night keep place . deli market downstair bit pricey serve . outside grill comparable burger restaurant around . fall open 8 pm . pool great ! always find place sit lie . 2 pool next . bad thing say place location ... prefer location quiet casino property . other talk like location want action strip provide . mind walk Sahara catch monarail . ( Sahara across street ) oh CVS next door come handy . return next year , company still offer conference Vegas : ) 
 Sep 15 2009 	 cramp timeshare resort bad location 	 first , location stink . north end strip much around dining -- old casino across street . resort cram small lot pool area really cramp . not even use pool look . Hilton still allow smoking property ( unlike Marriott ) remember request room type need . prefer non - smoking resort . room small . 1 bedroom unit , private bedroom live / dining / kitchen area . room small dining table actually cram bar . bathroom dirty arrive . really like stay . give front desk list problem room check . kitchen item miss . favor stay Marriott timeshare hotel avoid Hiltons . also go timeshare presentation neverending although keep tell saleswoman would buy since like property . annoying take much long keep drag . 
 Sep 9 2009 	 relax comfortable 	 large one bedroom suite Tower one 25th floor quiet , clean , comfortable , really spacious kitchen sit room . tasteful decor , old flat screen tv , nice pool area private cabana , shade , bar awash look - at - I bimbo himbos , thus nice outdoor space we seek hot single scene . friendly , helpful staff add enjoyment four night stay , great value price point , leave we $ $ gambling show . monorail catch across road Sahara , drive everywhere use valet parking , free place - tip . love location top strip - little quieter . not step door find Caesars Venetian , Bellagio - destination couple block strip - big deal , be hot walk day . Hilton Grand Vacation ultra - glamorous hotel , nice really enjoy relax atmosphere . fact , like well high end place usually stay Vegas visit . 
 Aug 25 2009 	 HGVC Strip deliver ! 	 stay Aug 20 - 23 , arrive late Thursday night . believe late check - in lead we put 2 - bedroom room Tower 1 wheelchair - accessible . the main problem room setup , besides washer / dryer setup , second bathroom counter set toiletry ! addition , shower & quot ; wheel - in & quot ; shower allow water run across bathroom floor , annoying well slip hazard worst . ' m glad accessible room need , inconvenience we . aware place room type , might deal different stuff be use to . besides , HGVC work great ! resort good shape , well keep safe . almost every employee run across friendly , make eye contact say hello ask anything could we . 27th floor Tower 1 , room 12704 . everything decent shape room , nice clean . housekeeping skip we first day , leave couple dollar second day . believe money well spend person clean mess ! not short towel , shampoo , soap , etc dish use dishwasher , clean ready additional use . our room face pool area , residential condo tower next door , parking garage , Circus Circus property . look beyond could see Trump tower T.I . ( even see & quot ; cannon blast & quot ; smoke battle front ) .We not notice noise outside room , except occasional door slamming . we would definitely stay , fact return November ! TIP : vehicle , 's Trader Joe 's grocery store 3 1/2 mile West Sahara , North Decatur ( 2101 Decatur Blvd # 25 ) . depend traffic , be 5 - 10 minute drive . 's great place pick grocery kitchen condo ! like grab bottle wine , cheese cracker fruit hand go dinner not need order entree ! Trader Joe 's nice eclectic mix mention item , decent price ! 
 Aug 23 2009 	 location aside great stay ! 	 husband & amp ; visit Las Vegas two three time year & amp ; see good , bad & amp ; ugly . enjoyed stay HGVC LV Strip May 24 - 30 . location make suitable visitor want scene , mix . we exchange RCI two - bedroom suite , contain everything want vacation : full kitchen , washer & amp ; dryer ( stack , full size ) , flat - screen tv bedroom & amp ; living room , & amp ; free ( reliable ! ) wi - fi . our first suite reek cigarette smoke . give one night & amp ; request move something afford pleasant breathing experience – desk agent pleasantly make transaction without question . unfortunately ' remember floor nearly suffocate ( think 20 ) , know smoking floor . ' want smoky non - smoking room , ask room floor neither smoking floor . unlike reviewer , encounter problem uncomfortable bed , dirty toilet , noisy neighbor , construction issue loud pool music . agree reviewer mention understaffed pool bar . however , refreshing margarita hot desert sun worth 10 - minute wait . would suggest hit pool 9 a.m. want good spot . pool restroom clean , huge plus cootiephobia . we take cab Albertson ' ( 2575 S. Maryland Parkway ) load kitchen week . cab ride $ 12 way . short stay , suggest little market hotel CVS block away . for gambling fix , Sahara 5 - minute walk north . we enjoy stay property , probably would stay location . go Vegas party , scene mix key . stay HGVC Flamingo week August 2008 & amp ; find perfect – great Hilton standard & amp ; centrally locate middle Strip ( & amp ; awesome pool scene ! ) . ' HGVC ' one - visit - per - four - year rule RCI exchanger , would ' stay instead property . question ? drop e - mail . 
 Aug 19 2009 	 stay away surround construction complete 	 husband stay week March 2009 timeshare . think location strip would convenient , . building surround mostly construction rather isolated . walk Stratosphere Sahara Casinos . hotel shuttle airport anywhere . the room quite nice . full kitchen , king size bed jacuzzi bathtub . however maid service little lack careless . find sort chip bag chocolate bar wrapper sofa- seat cushion behind loose cushion . seem always short shampoo soap towel would wait hour hour get anything . although room look nice amenity , bed low end bed ( standard Hilton seem use 's hotel ) . bed particularly comfortable bedding something would expect 2 star hotel . the view room construction - on side . book hotel mention timeshare hotel on - go construction . construction carry 24 hour day , 7 day week , unless weather not allow ( high wind ) . noise construction enough drive madness spend night day listen beep truck back load unload material , well general banging go construction . first assign room Tower ( face strip towards new part strip ) . ask room move move room Tower B face Stratosphere could look towards mountain . Tower face main part construction happen . Tower B face storage area construction material truck . notice construction check inquire , ensure noise bother guest complaint . wrong . request move room , front desk accomodate tell would move another room would bothered construction . wrong . go third time discuss issue , tell other ( include Hilton manager staying meeting ) also complain . eventually able arrange transfer one Hiltons , however time lose 4 day week 's vacation - time spend packing unpack moved room room hotel hotel . sleep stress deal hotel well timeshare company . we would recommend hotel construction surround complete . nice enough , though time remove action strip . pool area nice ( though pool heat cold use March ) . little deli market basement buy basic groceried ( reasonably price , consider ) order sandwich , salad , etc . however , restaurant near premise would nice . also game room always seem packed kid . 
 Aug 18 2009 	 Place Kick - back call ` ` home '' 	 even though Hilton Grand Vacation Club Strip middle action , wonderful & quot ; retreat & quot ; able return day feel like home . stay August 2009 stay two bedroom suite tower two ( new tower ) . suite quite roomy full kitchen jet tub . one thing like well in - room washer dryer . first time come home vacation suitcase pack full clean clothe ! huge plus ! never issue hear street traffic even neighbor . 6th floor find room quiet . the hotel staff friendly quite helpful . people front hotel right inside lobby greet we every time come . pleasant seem enjoy job . front desk staff always willing answer question we . the hotel less block Sahara Casino northern metro stop . use monorail lot Vegas . prepare walk way casino usually store arrive metro stop . monorail locate behind casino always quite jaunt reach front building walk Strip . , overall monorail clean ( air condition ) way travel great way avoid auto traffic ! pool hotel nice ample chair towel available . time pool full lot kid , think happen place anyway . issue hotel in - room safe would not open one evening . ticket see Wayne Brady ! , one call security , someone came get open we . problem light bulbs one bedroom one replace other not . little odd , huge issue since lighting . if interested get craziness southern strip , hotel nice calm alternative . 
 Aug 16 2009 	 great inside 	 recently stay weekend attend expo teenage daughter . call front desk 3 see could check little early tell rather nasty woman check time 4 could check , would not even check see room ready - try convince reserve studio instead suite . man help we arrive much nice even walk we room get turn around . hotel nice - room mostly clean spacious . get one bedroom suite well equip . room full kitchen , washer dryer , two tv 's . parking huge frustration - valet car since full expensive equipement not feel comfortable giving key someone opt self park . parking lot around corner halfway next block - cramp - poorly light - filthy ! come parking garage walk alley get back door hotel . parking situation enough keep come back alone . also , try get room first floor anywhere near pool unless like listen blaring music come pool area day half night . overall not bad place not drive . 
 Aug 9 2009 	 resort amazing nice new clean beautiful ! 	 come honeymoon , little worried stay want perfect ! everything great people nice , room amazing . stay tower 1 tower 1 jaccuzzi tub , tower 2 not jaccuzzi soaker tub . would recommend hotel . 
 Jul 15 2009 	 great value - oasis away madness ( excitement ) 	 beautiful apartment quieter northern part strip . full amenity room make stay comfortable relaxing despite & quot ; full & quot ; & quot ; party & quot ; trip . area Circus Circus need landscaping cleaning be not Hiltons fault . comfortable walk stratosphere Fashion Show Mall much heat . deuce taxi take care travel do not cost much . we party 5 problem sunbed round pool . pool bar good strong cocktail reasonably price . all - good choice apartment first time Las Vegas visitor . would prob stay central next time different experience would highly recommend . 
 Jul 12 2009 	 nice place good service 	 return 6 night stay HGVC happy . staff friendly & amp ; helpful moment arrive . studio tower 2 , room new & amp ; clean . one night hear noise neighboring suite ; evening could even tell anyone else even stay there . while location technically strip , far end , fine we , want walk casino go pool get back room end long day . try Duece bus service first day ( ok July 4th , maybe little busy normal ) find take long get rest strip , bus stop right front resort convenient . walk 1 1/2 block Sahara & amp ; use monorail instead . 15 minute ride Sahara way MGM , usually pretty empty . $ 28 3 day pass , find good value speed travel vs bus cab . use bus go Fremont street short trip away . the Marketplace Deli good food , pricy , find staff friendly . stock goody CVS next door instead marketplace . all , positive experience & amp ; would return location not want near hustle & amp ; bustle strip . 
 Jul 12 2009 	 big Clean Rooms 	 stay overnight business would definately go back . casino building nice temptation & quot ; one hand & quot ; know keep till 3 . 
 Jul 5 2009 	 decent place 	 hotel strip , away new glitzy resort . will need car , taxi , bus get Bellagio , MGM , Venetian , etc . Sahara , Stratosphere , Circus Circus Riviera within walking distance . also monorail go Sahara casino MGM . hotel new , room still fresh clean . pool area ok 3 jacuzzi along pool bar & amp ; grill . restaurant dining place hotel . bus stop right outside CVS next door . hotel , casino resort , not expect gaming show . I ask room view south strip end give one north strip view way end hall . farthest away elevator . 
