Nice 	 room nice could not fault room service / bellboy staff . however Reception hotel spa staff unfriendly unhelpful . plan get marry Las Vegas , day wedding , ask Spa make - up tell do not bridal make - up hotel ? decide go book hair salon appointment anyway ( Salon staff friendly professional ) staff ask want make - up do aswell . spa staff tell do not ? getting marry , least five message leave hotel we , never recieve , reception tell we pass message ! good friend try buy bottle champayne we go room , meet unhelpful attitude say ' do not ' ' ! check - out ask use day room , receptionist tell we hotel offer service could pay $ 30 day pass spa . refuse pay quite enough room rate . this first hotel come across allow use day room . 
 Extravagant 	 Pros - huge flat screen , tv 's bathroom , nice deep tub w / salt crystal , room service ... top line . great food hotel . quality show & amp ; gambling . con - Slow drain standup shower . $ 14 internet per day . $ 25 way cab ride Las Vegas Convention Center . 
 Nice Hotel end bad note 	 travel TheHotel friend weekend getaway . use Centurion American Express travel service utilize Fine Hotels resort program . upon checkin , tell amenity FHR program , include 4pm checkout , tell would . stay nice , free breakfast nice , last day service fall floor . leave city 12:00 , friend stay watch game check . 2:00 could get room , call front desk get let , send security guard let . guard stay watch friend pack , tell could stay guarantee 4pm check . much hotel charge , part FHR program , say extremely disappointed . cater high consumer , deliver exceptional service , . 
 Nov 6 2009 	 Excellent quiet compare othel Las Vegas 	 spend three night EHotel . give suite view strip . accomodation excellent , comfortable , clean , quiet . different hotel visit Las Vegas , reception far away casino floor bolige walk casino go room check . hotel swimming pool restaurant common Mandalay Bay Hotel . swimming pool disappoint extremely crowd space chair . dinner two different restaurant . food good find price expensive . the room free internet laptop tou case , use internet business center cost 1 dollar minute unacceptable . overall experience positive would recommens thids hotel friend . 
 Nov 6 2009 	 Great Hotel Great Rooms .... Customer Service could well 	 stay twice recently . first time back May reserve two room . tell would next would get bed preference , neither end case . accommodate $ 100 food beverage credit inconvenience . another mishap room give ( supposedly one leave place ) handicap accessible room , mean get luxurious bathroom everyone else get . trip send survey write nice enough contact offer free night stay next trip . I take free night stay August birthday celebration . great room ask trip great ready leave Sunday . apparently valet parking car Friday leave car ( push button ignition btw ) . mention car hybrid well . result car leave know long battery die car run fuel . hotel basically refuse take responsibility . take hour jump car pay gasoline . needless say figure theowe we little bit . get Vegas quite bit fun mandalay , move along place point . say pool Mandalay hard beat . 
 Nov 6 2009 	 Best Hotel ever 	 AmazingSleekExclusiveLoads FacilitiesExcellent PoolLoads Food 
 Nov 4 2009 	 Hotel Cut Others 	 read lot review book Hotel ' m glad ignore negative post ! ! spend 4 night Las Vegas Halloween Weekend could not nicer . previously stay Mandalay Bay business really love place . Knowing would want extra room time love think casino directly hotel , think Hotel would great choice . ( want casino ... mandalay Bay Casino short walk away ) . -Is true 's long walk pool ? yes , be worth ! -Is true every 's smell hallway ? , never experience . -Was staff rude ? friendly outgoing other , one deal even close rudeour room 32nd floor spacious , clean elegant ! male female flip flop / slipper room ( robe ) awesome touch toiletry provide top notch . line check short wait check . staff friendly , vibe classy sophisticate . originally book king bed , upon check decide go two double bed put we high floor well view ! stay four night never hear peep hallway rarely see anyone floor . ' ve stay four hotel Strip Hotel far nice . Beach / pool fantastic get crowd several different area go . overall spend little extra hotel , absolutely worth . everyone else travel we ( stay different hotel ) jealous large room , fact two bathroom lack massive crowd . parking Self Park garage also breeze . definitely return Hotel not make Shark Reef Mix trip . 
 Nov 3 2009 	 Fantastic hotel - especially suite ! 	 upon arrival hotel drive vallet let take care car . tip guy couple buck park car we bring luggage room . reception professional checking help way could . book V Suite even though little price website well worth . lounge great view large enough party ! bedroom modern comfy , another great view , huge tv room well lounge - small tv bathroom . room safe free use . Bathroom think good part room , bath like swimming pool partner could fit fully submerge . sink seperate shower . toilet part bathroom room ( oh forgot bathroom front door ! ) lot freebee shampoo / body lotion etc . the Hotel Mandalay Bay link directly Mandalay Bay lovely hotel . beach wave pool ( busy still find two sunbed together ) hotel end strip Encore Wynn end . unless cut hotel walk road get main part . bus call Duce cheap hop hop stop directly outside hotel . all hotel amazing definately go back . 
 Nov 2 2009 	 guess count intimate LV 	 room nice - small living room half bath , addition bedroom large fix - fixture bathroom . be connect 2 minute walk Mandalay bay casino . spa nice , kind dark eerie since window . gym odd light ... preferred gym Mandalay Bay , little big get natural sunlight . gym $ 20 per day , $ 30 want use jacuzzi soaking tub . room service pretty quick , omelet $ 20 good . also , charge $ 2.50 per person silverware , etc , little strange . 
 Nov 1 2009 	 Great Hotel 	 Mandalay Bay great hotel . staff welcome helpful . the theater hotel great useful not drive back drink . 
 Oct 31 2009 	 Nice hotel great location 	 stay 5 night conference Mandalay Bay . room beautiful service good hotel . unfortunately hotel close airport flight path get noise plane taking . also , first room give tour helicopter fly . noise night ok turn room fan . also , extreme south end strip want get middle strip ( Venetian , Paris , Bellagio etc ) take far walk . 
 Oct 29 2009 	 Beautiful Disappointment 	 take trip Memorial Day weekend last year . stay Mandalay Bay several time love . decide love look feel theHotel want stay next trip . book suite , locate end hallway . & quot ; panoramic view & quot ; panormaic . window tiny view disappointing . room clean beautifully decorate still small . trendy decor nothing put lipstick pig . wish would gotten regular room Mandalay Bay save money expensive lack suite . 
 Oct 28 2009 	 bad start honneymoon 	 arrive 20 hour travel tell someone suite pay for.got stamdard room ( nice ) first night.went get suite next day tell still occupy want another room - suite would wait check check -- -- -as do . charge item room nightmare first 4 day enter detail correctly computer thus make we look terrible bar etc . if want traquility say beach hotel FORGET , music big noise weekend Locals decend upon Vegas GOD love sound come mouth , would even talk whoever could hear themselves . I see Vegas return . Vegas sum -- loud , eat pass , think get drunk loud perfect holiday tell people get home state answer yae book Vegas . 
 Oct 27 2009 	 Superb ! ! ! ! ! ! 	 stay hotel two night , ( Bellagio 2 night trip ) , experiencing & quot ; THE - HOTEL & quot ; , say impressed hotel . lobby impressive staff outstanding . right next mandalay bay also really cool mandalay bay also great .... get experienced pool look astonishing far away ........ Con 's ... sure maybe , ask late check 6 pm charge half day ...... .... already book next stay THE - Hotel ........... stop Mix view amazing ...... 
 Oct 27 2009 	 pleasant stay issue .... 	 stay 7 night thehotel , book V Suite directly website use Hot Summer Nights promotion . third trip Vegas . initially , give truly appalling room 3rd floor - must bad room whole Vegas ! corridor meeting room , whole place ( inc room ) smell stale coffee . view consist air conditioning unit , car park staff cigarette break - good ! room also REALLY dark - turn light see anything . we ask move hotel full night apparently ( Friday Justin Timberlake surprise ) offer move we next day - stay true word , move we 27th floor . soooo much well - light , bright , nice round ! room floor ceiling window ( unlike room ) , great view mountain living room , strip view bedroom . honestly , step change quality , feel like another hotel ! previous post complain bad service - find front desk staff polite friendly encounter Palazzo Signature . Staff THEcafe cool efficient . staff Bathouse spa nice spa attendant seem little disintereste . massage therapist excellent . the walk pool take 10 min , midweek mid - October , plenty chair available . also , get pool , every individual need room key , pool attendant would check swipe letting - guest enter pool area . previous post also complain sewer smell - say experience . time - time lovely tropical coconut fragrance . occasion , hallway proper honk block toilet - like one trainspotte , bleurgh ! also , lots complaint location - say not bother we , third trip would see plenty strip know way around . think Vegas newbie , location would awkward . also , thehotel quiet - real boutique feel , really like - nice escape madness casino . bit epic - thank read far ! hope help make hotel choice : ) 
 Oct 25 2009 	 Mandalay bay 	 recieve wrong room , sheet extremely dirty . , stay good , even though little expensive . 
 Oct 24 2009 	 poor service smell bad . AWFUL 	 hotel terrible . could smell sewer gas throughout lobby . room nice inside , extraordinarily thin wall , make sleep almost impossible . room service leave food unattended way we attend another guest , result someone steal half sandwich hallway food deliver . shower drain slowly , toilet not flush well . & quot ; exclusive & quot ; entrance parking garage seem like poor planning . 's nothing swank parking garage . looking & quot ; casino free & quot ; feel Vegas , stay tower suite Wynn . place AWFUL . 
 Oct 23 2009 	 love 	 amazing hotel , tehsuite two bed , living room , big tub , shower luxurious . great pool beach , wave machine lazy river . remember take tube / floatie ' expensive get . hotel quite walk ( man make ) beach . need walk Mandalay Bay & amp ; Casino . prepared pay everything , include gym facility ! ! ! ! ! stay mid week bargain . 
 oct 22 2009 	 3rd time back ! November 1st 2009 	 THEhotel Resort Casino Las Vegas offer unmatched luxury , fine dining , renowned entertainment next store hotel Mandalay Bay , personal service , gaming excitement dream . 4 star Billy Amato Award * * * * 
 oct 20 2009 	 elegant away noise 	 great deal US Airlines get we outstanding suite $ 120 per night sell 3 time . furnishing lavish extra bathroom separate living room . service superb place well keep . not mind walk little get pool & quot ; river & quot ; beach ( 5 minute ) casino ( 3 minute ) great place . prefer distance frantic noisy pace real bonus . there tendency keep room dark confuse mind time . feature skip bedside clock numeral can not see night appreciate . 
 Oct 20 2009 	 always love experience . luxury quiet quality . 	 wife meet couple friend Vegas stay Oct 09 . first time ' ve review hotel ' ve stay 4 time least . recommend stay base past experience . two friend meet sister want stay one room . like suite THEhotel due fact truly suit two separate room door . two bath , tv , etc . never stay thehotel love room especially price get ( 140 / not ) . room similar Signature suit MGM ( MGM property ) except not kitchen . many & quot ; suites & quot ; strip one large room . prefer two separate room . the staff always helpful , thorough , polite . may little chatty check process . sometimes little bit wait , although ' ve never wait long 15 minute check . location Mandalay Bay slight draw back far south end strip . however , make conveninet get airport . also , free monorail run Luxor ( right next Mandalay Bay easy ~5 min walk Mandalay Bay Casino ) opposite MGM Grand . MGM Grand take free Monorail like . 's also deuce ( bus ) may crowd . although end strip bus less likely crowd especially head toward south terminal ( catch another bus directly airport ) . share cab airport come less $ 20 four we . the restaurant Mandalay Bay generally good nothing write home . ' ve eat Red , White Blue service good food . highly recommend eat Burger Bar outside Mandalay Bay , second level toward Luxor . ' ve eat many time . price good especially quality meal service . angus Kobe beef available . excellent burger . ' ve also add beer float menu . first thought & quot ; & quot ; , waitress mention Guiness coffee ice cream option . Love Guiness , love coffee . easy decision . Glad try one . Delicious . can not imagine many beer would taste good ice cream know . as casino Mandaly Bay spacious nice clientele . dealer nice helpful . poker room relatively small comfortable , locate next to / within sport book make easy watch practically sporting event get right seat . poker room run two relatively small cheap tournament daily . one $ 40 $ 60 . also , deli right next poker room sport book convenient . 's also deli nearby Luxor , back stage Deli good food good price . use recommend deli near poker room sport book MGM quality food decrease past year not anymore . parking self ( free ) valet ( tip ) . sure go entrace near thehotel walk though casino long , especially bag . we absolutely love stay thehotel . highly recommend . 
 Oct 18 2009 	 Service bad SEWER SMELL linger throughout hotel . 	 enjoy occasional smell believe SEWER GAS hotel . elevator , lobby place stunk . top , service hotel stunk . specifically three party front desk problem check . king bed ( even though book ) , room ready ( even though other check ) etc . way room see maintenance man drag small refrigerator hallway cord . sure hope fridge not end room ! also , leave room one morning nine behind clean crew floor . 10 extremely loud apparently not care noise possibly wake other . 
 Oct 18 2009 	 great underratted hotel 	 arrive hotel pleasantly surprised see W many extra nicety hotel not . flat screen tv , business desk , sofa , real cocktail bar , large closet . price hotel standard amenity much well would expect hotel close main strip . hotel much new modern design unlike old hotel . 
 Oct 17 2009 	 Spectacular mid - week getaway 	 husband stay THEhotel midweek fabulous deal could not pass . place remind W hotel . chic , modern swank . service excellent- Spa housekeeping service , everything par top - notch hotel . ' m sure would stay unless 's great deal . , be many place hit hay VEGAS ! 
 Oct 17 2009 	 Fabulous Hotel Suites 	 plan trip Pismo Beach / Petaluma bad weather come way week Oct 12th switch vacation plan book hotel one day leave Vegas . TheHotel V Suites amazing - well see Las Vegas ! stay Venetian , Bellagio , Treasure Island , JW Marriott , Planet Hollywood none suit big - 741sq ft , separate bedroom , living room 1.5 bathroom . bathroom tub deep anywhere corner suite view 12th floor amazing . the Mandalay Beach pool area remind little summer trip Runaway Bay , Jamaica - miss saltiness view Caribbean Sea ! RM Seafood MiX Restaurant serve fabulous food view 64th floor MiX locate breath - taking ! 1 choice place stay Las Vegas go forward - travel least twice yr . the thing would push stay high 20th floor ! great , relax vacation look forward return soon ! also Day Trip South Rim - Grand Canyon staying area - amazing ! ! 
 Oct 17 2009 	 Fantastic . luxurious . THEbest . 	 two week trip Texas , stay middle road motel girl treat luxury THEhotel . deliver ! check smooth adorable Natalie S. counter helpful sweet girl . upgrade we free big ' corner - suite ' 28th floor . hear go to get marry , delighted offer we free day - pass spa & amp ; bathhouse ( nice well , sad gender separate ( Sin City , haha ) ) .The suite real suite : nice living area huge tv , beautiful comfortable bed , spcious bathroom separate shower tub , nice marble great amenity like bath salt , body butter . everything look brand new make feel like moviestar ! view ( southside ) Strip great . view Mix Lounge topfloor stunning day night . enjoy nice food House Blues inside casino excellent dinner Foundation Room . ambiance , food service outstanding . we also lucky enough temperature nice time year , enjoy wave - pool much pleasure . this excellent hotel beautiful suite , classy comfortable look great helpful staff . THEhotel THEbest ! look internet , find great rate enjoy Las Vegas : feel great ! 
 Oct 12 2009 	 smell good can not believe be Vegas . 	 third stay Hotel , funny , would not call Vegas person . , , think 's people find way Hotel . long walk quiet , smokeless corridor -- punctuate sculpture white flower -- lead away Mandalay 's casino Hotel like decompression chamber . , highlight pool , spa House Blues . make full vacation , themselves . the suite like mini - retreat -- pack flat screen tub size small pool . floor ceiling window glow green Vegas sun . time , suite not sweep away way past . someone elevator , also stay , mention suite seem small time . take peak room floor think , yes , get full suite small little disappointing . not know check first . one small complaint , would wholeheartedly recommend place . we , make stay perfect day hike Red Rock . get hot dusty come back Hotel float lazy river . 
 Oct 11 2009 	 luxurious suite end Strip 	 stop Las Vegas end tour around central California spending time log cabin want bit comfort last stop . work suppose park ( originally go Mandalay Bay parking ) go check . could not find sign Hotel end check Mandalay Bay turn busy quite far away . possibly drive 7 hour tired miss sign , would helpful hotel could find way point people right direction , without ruin classy look Hotel . the suite great - thrilled impressive living room area , large bedroom view Luxor , huge bathroom . have search around internet would get pretty good deal , money excellent . we room service good find reception staff ( locate ! ) helpful . Mandalay Pool good fun , far away walk casino beachwear novel experience . , signage take Beach pretty non - existant . perhaps suppose distracted slot ? difficult say . goes find tour bus pick point go Grand Canyon - phone reception ask signage . all suite plush enjoy stay Hotel . 
 Oct 10 2009 	 THEhotel Mandalay Bay 	 stay Mandalay Bay somehow upgrade THEhotel Mandalay Bay Mandalay Bays scale hotel . room service great . side far pool 
 Oct 10 2009 	 ultra contemporary luxurious high end good price . 	 thehotel extremely nice fancy . modern look throughout entire hotel . room - the room amazing ! 1 1/2 bath ? ! room large apartment . extra benefit ... free slipper ! tub drain hard time drain clogged shower , great room ! view room not great , not try get another location . room next elevator not hear . 3 tv ( one bathroom ) ! bed okay . old lumpy , sleep fine . Distance- far walk Mandalay Bay casino / lobby / pool . benefit stay two hotel instead one . however , long walk get main strip area . walk Luxor Excalibur get around monorail , hotel , etc . probably will not stay far south again . Restaurants- not eat breakfast buffet mandalay casino . expensive crappy food . go Burger Bar strip mall area Mandalay Luxor . get nutella milkshake ... burger fry . food pool area okay , expensive . go Border Grill near convention center get AWESOME mexican food good price . order breakfast bed one morning ... almost expensive crappy breakfast buffet well . pool- really neat pool , good Vegas . chair super close together ! could barely get go pool . music play good . lazy river not large , fun run around . not waste money tube . wave pool huge . wave would produce every minute . sound like sit beach . Quirks- think neat thehotel use ' the ' everywhere . thestore , thecoffee bar , THElobby even THEtp ( toilette paper ) .All nice hotel would tell people stay ... . 
 Oct 10 2009 	 truly overrate 	 since get pretty good price entire trip , think would nice stay 5 star hotel . our 30th anniversary , never Vegas , good price airfare & amp ; hotel , could possibly go wrong ? stay HOTEL @ Mandalay Bay . first thing , tired travel east coast , take shuttle airport .... excited spend five day Vegas . arrive front desk other line , nothing terrible . Got room key , drag luggage room . georgeous view strip . non smoking room ... request smoking . call desk . tell come back & amp ; re - assign we another room . ' m annoyed . make mistake , go get key .... room give we ROOFTOP view , smash face window , see strip . room nice , seriously , coffee maker , microwave , fridge booze ( not drink ) , & amp ; make mistake try put soda ( get charge $ 120.00 move stuff fridge ) enough room . end put ice wet bar sink could cold juice & amp ; soda ! 1/4 mile trek get coffee ... sweet husband dutififully go every morning .on side , pool area DIE ! Beach & amp ; lazy river inner tube amazing . heaven lie lounge chair sun fron wave pool ( beach ) bikini 92 degree weather September .... SWEET ! ! ! ( luckily , still shape age 50 ) . food kinda top price wise ... eat alot SUBWAY ... accross busy street hotel . casino area nice , nearly week , VEGAS would ... lotsa walk , walk , walk . actually lose weight vacation ! hotel gorgeous , trendy , worth money .... 
 Oct 10 2009 	 Thehotel Mandalay Bay 	 First Class . beautiful suite , fantastic food quieter end Strip . 
 oct 9 2009 	 can not wait go back ! 	 love , love , love hotel ! quiet , plush , roomy . staff great . stay many hotel strip ( Bellagio , Encore , Wynn , Palazzo , Venetian , Harrahs , Paris ) favorite pure elegance comfort . bed incredible ( yes , Wynn / Encore ) true suite 2 separate room . could read watch tv husband nap . expensive ( least high season ) stay , Bellagio & amp ; Wynn / Encore . hotel MUCH quieter Wynn , basic room large . look upscale hotel , will not disappoint . ( oh , pool mandalay amazing ... although get pretty crowded ! ) 
 oct 9 2009 	 nice pool 	 book Mandalay Bay upgrade Hotel , room spacious clean nice , hotel seem dark , quiet beat path . pool nice , cold , drink food expensive , guess expect Vegas day . 
 oct 9 2009 	 serene beautifully luxurious ! 	 hotel tastefully luxurious . walk hall casino past amazing fresh flower display artwork , immediately feel hush . step elevator onto floor , quiet peaceful . room amazing . dark wood furniture , big flat screen , couch big desk make living room , bedroom wall cupboard another tv , big closet side open light come , inside soft robe , cushy plush flip flop wear take home . still use mine ! bathroom course great . big shower ledge shaving , giant tub , light makeup mirror , separate toilet , really nice toiletry . 
 Oct 8 2009 	 WOW 	 beautiful hotel ... friendly staff ..... casino separate little walk area much nice rest Vegas casino .... lazy river GREAT .... buy $ 1 floaty toy Walgreens relaxed mile mile . avoid elevator checkin / out time avoid wait . 
 oct 8 2009 	 great room confuse layout terrible casino 	 stay 5 day mid Sept. Self park & amp ; make way luggage front desk ... terrible sign , could find hotel front desk , end Mandalay Bay check seem like mile walk . helpful staff desk , check we , give we good direction hotel . very different atmosphere enter hotel area , sort like dim upscale lounge , lot black marble , granite , glass , ( slippery floor heel ) overall nice . room : suit extra half bath . convenient , travel Husband trade show , able get ready morning minimal bump one another . separate living room great night , watch tv flat screen , beer , retire bedroom ( small , adequate . ) comfortable bed , good temp control , like icy room able get cool enough . bath room pretty nice , top . would book ? ? Bellagio available . layout casino , distance restaurant , terrible signage would ok vacation , definite schedule . take look pool , pretty spectacular , would say kid would love . 
 oct 8 2009 	 nice 	 stay Sunday - Wednesday convention Hotel . make sure tell taxi Hotel check area quite far Mandalay Bay . unlike every Las Vegas Hotel check line small many open station . wait minute see . room 16th floor ( room 24 use one set elevator high room use different set ) .I regular two room suite view back hotel . room nice 1 1/2 baths- overkill , two large screen tv . complaint lighting- simply good get overhead light living room bright enough allow read NEWS paper . need lamp desk there . every employee run Hotel greet nice . would definitely stay . 
 Oct 8 2009 	 bit disappoint 	 first stay Hotel . usually stay Four Seasons decide give try . well , room nice . got & quot ; upgrade & quot ; suite nice . little bit small 4S perfectly fine . not like place ? guess really , really turn wanted pay 30 buck per person work hour . absolutely unacceptable . imagine fly overseas want move sore bone hotel seriously want shell 30 buck exchange hour treadmill ! ridiculous . say 's use entire spa etc . well , not need spa , want sweat hour 's . never go pool area one previous visit . pool area share Mandalay Bay nuts summer . another good reason stay 4s , quiet pool area . bottom line room well mandalay , wait elevator general upscale feel . would probably deserve 4 point rating . want know stay next time , Four Seasons . can not deal getting rip something standard . 
 Oct 7 2009 	 positively beautiful forget negative review ! 	 stay Sept. 20 - 24 , 2009 . husband take 2 kid , age 21 25 probably last Family vacation . great time . when arrive , suppose stay Mandalay Bay hotel . instead ask front desk knew actually book Hotel . put we 25th floor view mountain . room 1 king size bed kid next door 2 queen bed . beautiful room ever stay . spacious lot closet space , 3 tv 's , safe 2 bathroom ! floor ceiling window . supply good smell bathroom toiletry . we always come back spotless room housekeeping service . find staff extremely friendly , especially cocktail waitress throughout casino , accomodating . we eat mostly buffet . quite expensive family 4 meal close $ 25.00 mark person unless purchase $ 35.00 voucher entire day family 4 great deal go around day . food good would find make order omelette breakfast pasta dinner.l lot choice . we go pool week 10 a.m. able find chair , problem . arrive Sunday , busy pool area chair find problem . enjoy lazy river ( even without inner tube rent somewhere around $ 23.00 mark ) wave pool joke , 1 wave every 5 minute quite boring refreshing . hot , around 100 degree every day stay . find pool area fair distance away room , prepared lot walk hotel . we take taxi several time stay get Fremont St. Hotel around $ 20.00 mark . also visit Boulevard Mall tip around $ 20.00 mark one way . would recommend go like Victoria 's Secret Bath Body work , Macey 's Penney 's Marshalls next door . mall busy week . we find shuttle airport anywhere $ 6- $ 7.50 one way per person roundtrip little $ 12.00 p.p . take cab Hotel airport think around $ 13.00 mark 4 we much cheap . we visit Shark Reef Mandalay Bay one day week . admission price we believe around $ 18.00 mark well worth visit . be like deep sea diving without actually get water . wander around leisure close 2 hour . enjoyable ! see show Jubilee Bally 's hotel . friend dancer show get we cheap ticket . not know would pay $ 70 - 90 ticket otherwise nice night out . we sign Player 's Advantage card Hotel , charge . use 11 hotel well , list card . well worth end get meal compe free play well slot machine . our 2 kid road roller coaster New York New York . say blast , $ 14.00 3 minute ride ! ! read negative review bad odour hotel , fact , hotel pleasant fragrance hallway lead elevator .. bit smokey time nothing comparison hotel . so , ignore negative comment give , honestly not get people . negative would distance rest hotel strip be look little quieter , would place stay .. would definitely stay Hotel find anything run review lead believe . question , would please answer . ! 
 Oct 6 2009 	 fantastic stay thehotel 	 aside fact room thehotel show age , pleasant stay . love separate living room / bedroom , bathroom large well appoint service / staff friendly accommodate . complaint cleanliness room , large window massive mirror every spot fingerprint show make room seem bit dirty time . amenity Mandalay Bay time mind blow . pool area feel like little island getaway , restaurant top notch casino pleasant gamble . also great several entertainment option within casino ( House Blues , Lion King , Beach Place etc ) . pool become crowded time , never problem find place sunbathe . also great separate entrance thehotel , make arrival departure easy . check - in breeze room request meet . as far location go , Mandalay Bay ideal , enjoy away chaos strip , tram Excalibur nice way lighten journey strip . want middle Vegas action , ' hotel . short , would stay thehotel heartbeat . 
