nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Sep 14 2009 	 Great Hotel Location 	 want echo positive sentiment express prior reviewer hotel real find San Francisco . could felt welcome Palomar , moment pull front hotel . guy check we give we great corner room high floor , spend lot time talk us trip want see make sure miss anything San Francisco . really love city great ambassador . everyone front desk valet station extremely helpful throughout stay , everything bus direction dinner reservation . room nice spacious , large bedroom separate sitting area . corner room 8th floor , great view Market Street feel right middle everything . bed comfortable , love animal print robe . bathroom small ( combine tub shower ) nice clean , little convenience like light makeup mirror . also appreciate morning coffee tea 5th floor , help we wake get ready day hit San Francisco wind ( brrr ) . location perfect , middle Union Square ( great shopping , dining , etc . ) convenient public transportation . like reviewer , also note parking quite expensive ( twice cost parking nearby lot ) , appreciate convenience valet service right hotel worry car would get dent , ticketed , cold , whatever . also , hotel good value feel terrible extra expense . thank everyone nice stay ! 
 Aug 21 2009 	 Excelent Service arrival ! 	 one thing say property pre - arrival service fantastic . receive email manager - okay , probably automated , welcoming . also , make change reservation sure cost money , DC Front Desk gem wave additional cost . wow , not even check yet . member frequent stay program , not status , yet feel treat good well Diamond Hyatt ... amazing . 
 Aug 10 2009 	 Loved hotel love location 	 Palomar great friend Africa arrive SFO want shop , shop , shop ! room large bed great -- view roof Container Store , little weird , since one shopping night quiet sleep well . bar terrific bartender , Roland , great ( try drink -- can not remember name -- make Buffalo Trace bourbon pink lemonade . addictive ! ) quibble happy hour , free wine , downright strange -- bar restaurant 5th floor , set - up room adjacent bar , awful lot like conference room . uncomfortable much fun . stay another Kimpton hotel SF , Triton -- happy hour lobby great people watch , meet guest , etc . although Palomar 's lobby small , would lot fun stuffy , dark spot 5th floor . one tip parking -- rate high , leave car offsite parking SFO , meet friend , jump BART ( right Intl . terminal ) get Powell Street -- basically front door hotel . ride public transport , walk , everywhere total cost weekend parking : $ 27 ( get coupon free night online ) 
 Aug 4 2009 	 Great Stay 	 stay hotel 4 day trip Napa San Fran . hotel location great . choose Fisherman Warf area spot glad chose location . 2 minute walk cable car bus line even close . 15 minute walk water , think Pier 1 close . hotel folk give we great recommendation food . one spot make reservation we upon arrival receive free appetizer , waiter say compliment hotel , sweeeeet ! ! drawback parking , $ 45 plus tax . , great stay , would recommend location service provide . 
 Aug 1 2009 	 Dissapointed Kimpton 	 stay 3 night Deluxe suite . suite relatively small furniture sit area tacky orange velour . must connect door another room ugly metal door . king bed comfortable drape keep dark even morning . room quiet 9th floor . bathroom large shower stall look cheap 3 ' deep whirlpool tub unattractive . lobby hotel uninspired like room need makeover . take advantage valet parking $ 45.00 / night expensive . location fine , close Union Square many high end retail store . stay many Kimpton hotel hotel dissapointment . 
 Jul 28 2009 	 nice hotel 	 ask quiet room get one street front , problem glaze good , noise . unusual city centre hotel . ideally situate everything , walk wharf take 20 minute , place within time . the staff great , extraordinarily helpful recommendation help anything else . this hotel choice San Francisco future visit , although wee bite expensive side . 
 Jul 23 2009 	 Palomar SF - Wonderful 	 Stayed Honeymoon . find great deal Hotel stay travelzoo . excellent location SF . staff fantastic . wine evening , ice cream afternoon . little Goldfish wait get room . staff kind we . send we bottle Pink Champange chocolate cover stawberrie upgrade room huge jacuzzi tub .. comforatble bed . hotel great . street noise room . excellent stay . highly recommend location hotel 
 Jul 19 2009 	 Stay - Regret ! 	 stay 7/8 - 7/11 . hotel excellent - receive extremely warm welcome front desk - room roomy great view Market Street . staff informative attraction place go . location right Market Street , central transportation actually adjoin Westfield Center Mall ( visit see dome ) . feel comfortable enough let two teenager 18 16 venture independent exploring ( avoid Mission Street though ) . San Francisco awesome - win lottery ' m move . hotel lovely touch free ice - cream wine daily - excellent place - remember sign Kimpton Priority Club ( something like ) free Wi - Fi . 
 Jul 18 2009 	 Wonder 's Writing Glowing Reviews 	 book hotel base previous glow review stay Kimpton hotel DC ( Hotel George ) really like . different . management excellent want check 1st night eight night stay . unhappy small cramp room size furniture , small bathroom , concave bed husband 's side king size bed give back pain next day . show we another room check previous night , identical not change . tell manager problem basically husband hate place . laugh offer find we another hotel , already done not charge we penalty early check . also , gym consist four machine . move Intercontinental San Francisco ( block away ) love , love , love . read review . 
 Jul 16 2009 	 Wonderful Hotel Central Location 	 stay four day one nice hotel stay ' ve ever . room beautiful everything comfortable ( include bed pillow , important ) . request high - floor interior room really want quiet , quiet . interior , high fllor probably would not matter . convienient get free coffee morning floor middle hotel , course , location convenient public transportation anywhere city ( right cable car line trolley line run wharf along Embarcadero ) . rate reasonable level hotel , think , staff friendly helpful . nothing bad say . minor quibble could make surprise not include shower cap free bathroom amenity , many hotel , bring , not matter . rent car leave SF , also convenient Hertz rental desk Marriott right across street . 
 Jul 9 2009 	 good hotel great location 	 stay Hotel Palomar SF last week . very nice hotel wonderful helpful employee . room nice clean . Free Wi - Fi , work quite good . good location ; short walk Union Square , cable car , Moscone Centre , BART station , … . great room service . would recommend anyone . 
 Jul 8 2009 	 amazing hotel ..... 	 stay Hotel Palomar write review . book Travelzoo , not know anything lack service receive . many amazing plus hotel . great location , room beautiful , ice cream afternoon , happy hour . negative . arrive around 3:00 p.m. promptly check . since 4 a.m. die take nap luxurious linen . happen band play right outside window ( hotel 's fault ) loud could sleep . hope front desk ear plugs , call meet lukewarm response . & quot ; uh , not know , send & quot ; . get get dress wait ear plug . thirty minute later , ear plug , band still pound . call desk . & quot ; bring right & quot ; . stay dress another 30 minute . ear plugs . finally give . would not mind not earplug , not repeatedly say send room . issue bath . purposely book luxury king Fugi soaking tub , love take bath vacation . accord web site : & quot ; four foot deep Fuji spa tub Tub Menu personalize bathing experience . & quot ; think , & quot ; ultimate tub experience ! & quot ; . call front desk mention website say luxury king tub menu , ask include ? young man front desk say , & quot ; uh , look orange booklet , tell use tub & quot ; . say , & quot ; well , website mention & quot ; tub menu & quot ; bath product . & quot ; young man : & quot ; well might bath salt front desk , send up . & quot ; think great , bath leave . & quot ; guess send ? bar soap , already bathroom . would recommend hotel ? yes , reservation . 
 Jul 4 2009 	 great hotel awesome service ! 	 stay Palomar wonderful experience . stay June 28 , 2009 July 1 , 2009 . location hotel great . easy take bus cable car hotel . cable car stop short walk Union Square . plenty place eat near hotel also . Mel 's Diner next corner . room service perfect . food delicious hot . everything order room service deliver within 15 minute . parking garage great . kid bike park bridge store auto . everything truck perfectly safe parking garage man Palomar employee . never nice parking garage . employee nice extrememly helpful . room spotless great size . would stay hotel anytime San Fran would recommend anyone . 
 Jun 27 2009 	 great spot heart downtown 	 regularly stay Kimptons no - brainer choice stay attend conference Moscone Center . great staff . clean , stylish room . free wi - fi . wife love free 2pm ice cream break 5pm wine tasting . location right middle downtown bother noise 7th floor . right bus streetcar line get Fisherman 's Wharf , Chinatown , North Beach , Golden Gate Park , etc . super easy . complaint bowl goldfish companion pretty plain - could spice bit marble something ! 
 Jun 23 2009 	 perfect hotel 	 wonderful place . great location . helpful friendly staff . elegant yet casual . great restaurant . 
 Jun 22 2009 	 Excellent hotel price 	 get good deal expedia $ 119 per night . room modern , plasma tv , dvd player , I - dock mini - bar . bath - robe laugh . location terrific . can not get central . there free wine reception 5 - 6pm every day guest . nice touch . would stay . 
 Jun 16 2009 	 hotel spectactular ! ! 	 hotel locate conveniently shopping restaurant . staff extremely friendly helpful . room spacious comfortable . would absolutely recommend hotel anyone come stay San Francisco . 
 Jun 12 2009 	 terrific ! 	 location , 2 block Union Square , bus trolley line , great . the desk staff welcome helpful . room five floor even though major street , noisy . room nice sleek , overly big , roomy wo . bath small size nothing special . wine serve 5th floor every night , area kind dark window view . hear dining room good . front desk arrange quick , 25min , van airport $ 15 - 20.00 . worth hotel last stop airport fast . 
 Jun 7 2009 	 could not ask 	 recommend stay hotel friend always choose Palomar dissapointe . fantastic location right near shop close Union Square . location Market 4th street opinion good place stay close everything . hotel staff fantastic room great . Free Wifi offer join Kimpton Club . would recommend anyone 
 Jun 6 2009 	 fantastic hotel ... love calmness cleaness 	 go business trip San Francisco India . going talk hotel reception guy phone really guide reach hotel SFO airport . way respond query first excellent . reach give wonderful idea go sight see pleasure activity . though checkin time 3 pm , allow check early without hesitation . room ready enough welcome . calm hotel , atmosphere good . clean stuff fantasic . next time go would like stay Hotel Palomar . really fantastic . 
 May 29 2009 	 Excellent excellent 	 Palomar San Francisco great hotel great location Market Street , near BART station , tram stop , far Caltrain station 4th street ( 20 minute walk away ) . hotel excellent , experience start front desk check , throughout stay staff excellent , room well appoint , great bathroom . city centre stressful place , step Palomar feel like leave city behind . highly recommend hotel , business tourist alike , location excellent , excellent room , fabulous staff . one tip avoid one room face onto internal ' zen garden ' , small room , view . 
 may 27 2009 	 Fantastic Stay 	 stay Executive King 5 night stay May 09 fantastic . reception restaurant staff great . room comfy , spacious clean . really appreciate small touch - wine tasting , great toilettrie , load tv channel , in - room yoga free wireless internet throughout hotel . food restaurant level 5 YUM ! want venture , reception staff happy recommend restaurant nearby . gym , however , tiny get exercise need walk hill city . overall , fantastic stay - great food , great room , great staff . 
 May 22 2009 	 Swish - well locate hotel 	 first place really expensive . little tip - wait night book , price plummet get relatively good deal . lobby small pokey ground floor . hotel start 5th floor ( floor 1 - 4 part store next door ) . bar restaurant bit lifeless souless great although vast selection liquor . room though gorgeous . theme room ' animal print ' do really subtle , elegant way . carpet , bed spread furniture tasteful animal print ( one colour ) really subtle designery looking must cost fortune . tacky leopard skin print underwear ( male femaie ) sale closet along match robe . fun interesting . huge tv , iPod centre , nice minibar , complimentary newspaper nice toiletry . place luxurious fabulously comfortable bed . order coffee room cost $ 15.i like place bit buzz hotel not . 's focal point people feel bit dead sometimes . side feel really private . staff friendly real kind way - fake-'have - a - nice - day'-plastic - nauseating friendly pervade country . enjoy place though would never pay full price do not ' think 's worth . 
 May 22 2009 	 Quirky fun 	 Kinda quirky hotel . strange decoration , complete leopard print robe closet . 
 may 21 2009 	 well always possible difficult achieve 	 impeccable check - in . effort please almost always present . big room nice view decent bathroom . price / quality quite fair . later check - out refuse … availability problem ? anyway , stay recommend friend ! 
 May 17 2009 	 Great Location great accomodation food fun ! 	 stay 2 night ... check quick easy . standard room top floor , nicely appoint comfortable . Awesome L'Occitane bath product ... love stuff ! meet great room 7th floor . small board room set corner floor . perfect room small group . the second night dinner restaurant , 5th Floor . it awesome ! Foie Gras Ravioli mushroom soup rich . soup rich reduce stock divine . for entree scallop come fresh cut corn cover zucchini . it awesome . service perfect poor server seem irritated boss make many politically incorrect comment course evening . check breeze . all emplyee really nice ... could ask well location . a stone throw Union Square . shop dining option abound ! hope get chance go back , try another Kimpton product SFO ! 
 May 15 2009 	 nice boutique hotel great location 	 love boutique hotel like . small cozy outside , room spacious , clean , contemporary . 's locate practically Market St. easy access Bart within walk distance ferry building . free wine / beer every day betwee 5 - 6 pm ( happy hour ) nice surprise . negative gym , tiny room weight barely ventilation . anyway , see gym , decide jog bay area one good view city get nice cardio workout . 
 May 13 2009 	 Pleasant Stay – ' encourage spend free time 	 stay Palomar 5 night ( Sat – Thu ) generally enjoy experience . the hotel décor good condition use strike shape , colour pattern . room floor bar / restaurant , right next door , ' bother noise vibration time . the room decently size , well equip interesting fabric texture good condition . bed comfortable bathroom spotless . whilst anchorage secure MacBook , room ' safe large enough hold it . the hotel excellently situate corner Market Street 4th Street , adjacent Powell St BART / Muni station , 2 block Union Square amongst good public transport link city – use BART get SFO , delighted ease convenience . I disappoint restaurant / bar – often close hide behind forbid black door , leave lounge outside feel well - appoint waiting area . tone hotel often set communal area , case seem impersonal slightly soulless . I must briefly mention appal ' free ' wi - fi – logging , one present free guest/ conferee connection , chance pay upgrade high speed service . opt free connection memory 56k fax - modem came flood back . go work whilst Palomar , upgrade . disappoint present business - friendly hotel provide service blatantly design force pay upgrade . 
 May 11 2009 	 Pristine room 	 every detail room perfect , bathroom immaculate . loved modern decor Occitaine product . great restaurant , Annabelles , street . 
 May 10 2009 	 great location spectacular price ! 	 spend one night Palomar great time - double twin room find roomy enough additional crib without get way , bathroom small side still decently sized , water pressure good , bed wonderfully comfortable , plenty natural light . front desk kind enough accommodate early check 11 am , although housekeeping service nearly good Asia people answer phone around clock . location amazing - close pretty much everything tourist might want , easy access bus muni . good part , not shop low price - available directly hotel 's website . compare $ 100 + hotel consider area , far good deal . ' m go back sure . 
 May 10 2009 	 great great great place 	 vacation : look : -location : : civic center ( one center base visit SF ) , muni front ( without side effect ) , restaurant around ( affordable top ) , shop , safe night - helpful reception desk : gentle , cool , helpful find activity , allway available listen you- clean hotel room : without doubt find it- great room : good surface , good bed , nice . moreover enrol kimpton touch , receive special attention , never forget point . in summary , 's lot hotel SF , look one , not go make reservation 
 May 9 2009 	 Loved Palomar 	 Hotel Palomar wonderful location , great service although room slightly small , amentie terrific . one word caution budget concern high cost breakfast . however , fun Mel 's Diner half block away great breakfast value . would highly recommend hotel anyone look great , central location San Fran . also , right 4th street , easily accessible San Fran Airport . 
 Apr 22 2009 	 suite fabulous . feel like movie star . 	 one hotel look nice person picture . stay deluxe suite inside build window face away Market street . work visit friend bring . great everything . extremely quiet , plenty space , could close door one person work want watch tv . perhaps good part huge jet tub ! literally 4 ' deep jet . stair bathtub separate shower . bring bubble bath ! great place work romantic getaway . 
 Apr 15 2009 	 Incredible Hotel - Awesome Service 	 wife enjoy Saturday night stay . stay many hotel city blow away experience Palomar , everybody door man check - in nice helpful . get room priceline still treat excellent way . anniversary room upgrade along champagne strawberry room complementary Palomar , thoughtful nice . love Palomar , location , service room nice . room good size , bathroom huge sunken tub . bed comfortable mini bar well stock reasonable price . mention free wi - fi special 's self . awesome experience . make back Palomar regular basis . 
 Apr 10 2009 	 4 star . 	 Kimpton Corporation describe hotel 4 star , indeed , room spacious new decoration , comfortable mattress , spotless . lack coffee maker mean coffee / breakfast expensive restaurant brave legion derelict get coffee Starbucks . bathroom tiny new sink , toilet , floor tile , still original tub dingy ceramic tub surround . bad yet , lack exhaust fan even brief shower turn bathroom sauna . prepared wait want use exercise equipment . & quot ; fitness center & quot ; shoehorn one small hotel room consist one treadmill , one elliptical , one recumbent bike , two weight machine . forewarned review request room & quot ; nonpet & quot ; floor one week stay . nevertheless , put we 8th floor listen yappy dog 9 10 pm . may call hotel well locate -- walk distance Moscone Center , Chinatown , North Beach , public transportation -- also area swarm aggressive panhandler people 's behavior bizarre bizarre high volume . not appreciate intimidate every time walk door look hotel less menacing neighborhood . 
 Mar 31 2009 	 Great Location ... Decent Hotel 	 recently spend week San Francisco . gerat stay Palomar . arrive 10 Saturday morning expect drop bag check later , room us happy let we check early . the room clean robe people mention tiger leopard print ... little funny . people mention door slam hallway , hear time time not something keep night . attend wine taste couple time nice little drink early evening . room clean enough space . if two comment make would staff knowledgable could receive direction couple time end take long route . room service menu quite limited . location quite spectacular shopping short 10 minute walk Ferry Building . BART stop step hotel not bother waste $ 45 cab airport . 
 Mar 30 2009 	 Hotel Palomar meet expectation perfect start special holiday . 	 extensive trawl hotel site ' net planning round - the - world holiday find Palomar look great . want decent hotel - little bit luxury - without spend fortune . arrive 14hr flight pleased image thing read true reflection reality . reception staff friendly efficient straight away tiredness travel slip away soon feel suitably refresh go straight start explore San Francisco . the room spacious meet / exceed expectation regard decor fitment bed huge probably comfortable slept . room also quiet – noise hear inside outside hotel point stay . design , style cleanliness hotel bathroom often good indication general standard rest give hotel – could fault bathroom way . free WiFi much appreciate . the hotel within 100 m Powell Street BART station , , ideal transport from / to airport . also right next stop Market Street street car almost opposite cable car stop ( across Market Street ) great travel around city . put hotel review read mention near less desirable area city raise concern safety problem Palomar respect . the daily wine taste reception area nice idea little disappointed person manning desk , although pleasant , knowledgeable wine serve read label bottle whether Merlot , Shiraz , Chardonnay etc . consider California major world wine producer would good tell little detail wine offer . time need information assistance find reception staff extremely knowledgeable willing help make stay San Francisco pleasant experience . suggestion improvement would could tea / coffee make facility room . we book stay Palomar Hotels.com get good rate . the thing like Palomar location ( hotel room staff ! ) . really ' anything ' like . if return San Francisco would definitely want stay Palomar - need we look hotel . 
 Mar 24 2009 	 Perfect Palomar 	 originally book Intercontinental around corner stay 3 night , hotel good room spacious ... negitive charge internet .... would not give favourable rate follow three night big conference arrive town .... find Palomar line great rate via Expedia , 50 % less intercontinental .... great new Intercontinental service great room everything need .... free internet ! ! ! team Palomar excellent , freindly , happy help smile face ! ! ! great hotel great location ! 
 Mar 24 2009 	 Nice hotel good location 	 stay Palomar 3 night executive room . find okay long flight UK travel BART , get Powell Street station short walk hotel . great lady check we show we various place go local map place avoid ( Tenderloin district ) . give we discount leaftlet open top bus service use . floor wine taste hold thankfully not lot people walk past room overlook Market Street . room clean tidy small bathroom adequate L'Occitane toiletry . give strange dressing gown use wardrobe - 1 leopard 1 zebra ( understand giraffe ! ) . spend lot time room jetlagge weather atrocious poured rain constantly . manage get aid trusty umbrella open top bus ride ( cover thankfully ) . room comfortable tv fine adequate channel . try wine taste find wine offer week would every night , decide bother . everyone come contact stay really friendly , concierge doorman . leave cell charger behind UK concierge go lot charger possession see one would match unfortunately not least try . happy position hotel close cable car Union Square easy get around . 
 Mar 24 2009 	 Ultimate Tourist Hotel 	 visit San Francisco weekend , great hotel stay . access whole city Market & amp ; 4th . right next BART station , bus line , muni , MOMA , union square , shopping . room small , clean tasteful . courtyard room weekend Chinese New Year Parade . could hear drum practice hotel room , rest stay , night , room quiet . not spend much time hotel - they restaurant bar . impressed business center-2 computer pay internet service . all - this good place . 
 Mar 22 2009 	 another great Kimpton Hotel 	 wife & amp ; stay one night leave SF . Palomar nice hotel . urbane , fashionable lobby . staff upbeat . room smartly appoint & amp ; roomy . one quibble bathroom . bit tiny & amp ; easy bump thing . not dine famed Fifth Floor restaurant decor look great ! location good . area attractive . hotel close many gallery & amp ; funky store . overall , enjoyable stay & amp ; would highly recommend Palomar . free WIFI . huge PLUS since hotel like Stanford Court charge daily use internet . 
 Mar 18 2009 	 helpful service great location lovely wine hour -- could want ? 	 pick hotel boutique nature proximity Moscone Center convention must say thoroughly enjoy stay . late check - in ( arrive 11 pm bring bottle wine room since miss wine reception ) last second departure ( give we late possible checkout time ) feel staff bend backwards helpful . feel home hotel second day seem everyone know name , something rare big town like SF . room redone bathroom small side new clean . love l'Occitane shea butter toiletry animal print robe ( could do without pj 's sale closet , though ) room peaceful busy location . know third time mention wine review , reiterate treat wine reception evening was- someone refill glass local vignoble kick back leather armchairs restaurant lounge dim lighting- can not think perfect way unwind long day business meeting evening work dinner . stay numerous hotel SF ( Renaissance , Le Meridien , Westin St. Francis , Grand Hyatt , name ) say prefer boutique atmosphere beat ( except maybe St. Regis , fair : ) ... , great experience stay Palomar future meeting town . 
 Mar 12 2009 	 great location 	 hotel locate city centre , next Westfield San Francisco ( far good shopping town ) side next really cool cinema . find staff quite not - care even recommend hotel area ... feel hotel quite modern , lack style . room massive tv , nice . bathroom quite small product really good . think ok , great . 
 Feb 12 2009 	 nice hotel great location ... 	 get hotel priceline bid . classify 4 star fully agree . nicely appoint room , bar great , staff friendly helpful . negative report . room big San Francisco shower flow lot water ! ! 's right Market street - easy access BART lot place eat / drink . 
 Jan 28 2009 	 comfortable unspectacular 	 stay Hotel Palomar San Francisco mainly love Hotel Palomar Washington DC much . unfortunately San Francisco hotel not quite live expectation . room large not ambience make really exceptional stay . term location great , close Union Square large Westfield Shopping Mall Market St . location also great use public transport get around . I not find anything wrong hotel per se , not enough entice back . many hotel option SF , keep look find favourite . 
 Jan 7 2009 	 Boutique hotel great location 	 partner stay 3 day New Years holiday . hotel fantastic location , right Market Street close Union Square . book great rate Orbitz pay $ 160 per night . check - in fast . room fairly basic clean . 's similar style W Hotel brand . bathroom bit date could stand renovate . room low floor , near elevator , much view . would ' ve prefer well room ' m sure low rate pay impact placement . complimentary wi - fi room nice touch . 's real lobby bar ( even much lobby ) due layout . usally like couple drink hotel be stay go dinner long day sightseeing . service hotel great . staff young friendly . check New Year 's Eve staff suggest walk Embaradero watch firework great idea . we lunch Slanted Door Ferry Building would definitely recommend . always great food nice atmosphere . be always wait make reservation know want eat there . on last night , concierge make reservation we North Beach Restaurant get us town car service transportation . great food speedy service ( maybe even little quick be look leisurely meal ) . meal , partner notice misplaced cell phone , possibly car . arrive back hotel , doorman ask lose phone produce immediately . nice touch ! would recommend hotel be look something be reasonably price , great location , little bit style . stay , would suggest try book well category room , high floor , view Market Street . 
 Jan 2 2009 	 Aother wonderful stay Palomar 	 return Palomar disappointed . staff welcome helpful , particularly front desk staff . noise - sensitive love courtyard room Palomar , stay downtown without sleep disturb . however , Palomar pet - friendly stay 9th floor noise issue . . 
 Jan 1 2009 	 great stay Palomar ! 	 partner stay Hotel Palomar conference discount conference rate . room quiet , thoughtfully appoint refuge crazy loud street . nightly happy hour add bonus . staff attentive helpful . absolutely complaint . work space room comfortable big screen tv treat . free wifi breeze . the restaurant pricey , delicious . fitness center small , cardio equipment free weight . Valet parking expensive ( $ 42/ day ) , comparable parking option area include unlimited out . the problem toilet almost always need 2 flush . I would definitely recommend hotel look forward stay . 
 Nov 11 2008 	 Excellent stay Palomar 	 recently stay 5 night Palomar San Francisco extremely pleased room quality service . stay King Deluxe Suite spacious practical . bed comfortable bathroom excellent . hotel need little tweak ( carpet little dirty , toilet flusher malfunction frequently ) service compensate inconvenience . kid Palomar go way make comfortable ( provide roll , welcome kit include cupcake fruit , goldfish room ) . location also right heart action . would hesitate stay . 
 Oct 28 2008 	 Great Hotel 	 second stay Hotel Palomar past 2 year . second experience match first . nice room , spacious , clean staff courteous . location great . would highly recommend Kimpton Chain 
