Noisey 	 little hotel ok budget . worried arrive hotel delay flight 2 am , large noisey crowd outside come go night club . 7th floor front hotel , keep awake early hour 3 night ! . prettiest location , 10 minute walk Broadway Times Sq , Macys Empire State Building . room look clean first , find price tag stuff floor , bathroom spotless room , apart really small , nicely decorate staff brilliant . port authority bus station around corner , arrive airport , minute walk . get taxi Newark airport late arrival ( $ 67 3 we ) get hotel shuttle back ( $ 62 ) first time New York , one thing would recommend , go Empire State Building night , quiet go eat drink brewery / restaurant right entrance , fabulous , great food beer . and end , quick walk back hotel . would stay hotel ? ? ! must well hotel price range , next time would make sure research , do not put book . read really dreadful report hotel book , end day , get pay . 
 one good hotel ' ve stay NYC money ! 	 ' ve go NYC 20 year every Thanksgiving stay lot hotel ... far good hotel ' ve stay . value money outstanding . start , front desk staff helpful - especially one front desk staff name Willie - always smile hello we coming go . breakfast excellent great way start day - muffin , pastry , cereal , fruit , hard boil egg , fresh make waffle , juice , coffee , . breakfast room little small , could take food back room . room modern up - to - date decor see NYC , even bathroom modern . location great - close Times Square . ' m tell - find well hotel money NYC . yes - room small , NYC hotel room small . ' ve already book hotel next Thanksgiving . 
 Aug 24 2009 	 Small certainly suitable 	 2 daughter ( Netherlands ) enjoy 4 - night stay Comfort Inn Times Square . location perfect , near Times Square , Broadway , open - top tour bus , starbuck subway . come Airtrain Subway JFK easy hotel next Port Authority . not put exterior ( build work rubbish street ) , inside fine ( remember 2 - 3 * hotel ) . whole hotel bit small side lobby room , modern clean smell bathroom room clean daily change towel . problem understand work shower though ! read small breakfast room , adequate bagel , toast , cereal muffin good make easy start day . service , Europeans expectation generally low . ( Americans expect , get use put less ! ) . we nothing complain . desk staff polite , immediately inform free wireless internet iphone perfect ( business hotel stayed recently charge EUR 12 day ) hotel store luggage ( lot ) free last day . for mother daughter trip New York hotel certainly suitable would recommend anyone plan spend time New York see signt stay room . 
 Aug 8 2009 	 great location .. sometimes be enough 	 book hotel review other good comment start review good ! check - in staff friendly professional credit hotel . breakfast nice .. although breakfast area small serve 's purpose . may read previous review .. staff restaurant prompt remove breakfast away stroke 09.30 although arrive time observe guest argue member staff order get bagel 0930 ( due prompt service remove everything ) therefore piece advise .. tell people buffet close 09.15 least 15 min grab afew thing stay orinigal time 09.30 give people 15mins grace arrive 09.30 actually get somthing eat ... onto room .. read previous commend ' the room small new york standard 's fine'.nothing could surprised small room go .. tiny ! .seriouly glad stay 2 night would go mad . personally not even spend much time hotel room 's small hour much . my sheet also stain reselembe blood stain .. impressed.location wise great say sometimes not enough . personally would not recommend friend due small room size . 
 Jul 20 2009 	 Nice Place Stay 	 husband stay recently find great hotel location . fairly new ( open Nov. 2007 ) modern furnishing , flat screen tv , safe room , mirco fridge . ( fridge plug get cold enough later evening we use ) . room tiny ( guess 12 x 12 ) tiny bathroom find small NY City . location great 10 min walk Rockerfeller Ctr St. Patrick 's Cathedral . short distance ( 10 min ) theatre district Times Square . hotel staff nice accommodate reservation issue . free breakfast basement floor small . bagel , oatmeal , cereal would let make waffle server make never see . much space sit take food room ( bring tray room we ) . one much nice Comfort Inn Times Square small modern . would definitely stay plan return . by way , drive , validate parking cost $ 40 . favor go online come get coupon Central Parking Garage W 38th street . get internet coupon $ 25 24 hour parking deal NY City . - garage take 10 min walk . 
 Jul 10 2009 	 great location 	 stuff reservation end give we 2 seperate king room instead 1 room 2 double bed ! bed comfortable ! shower ok ! make sure get breakfast early take food away right time even people still line food ! location handy everything ! would stay ! room small that s get NYC ! 
 Jul 2 2009 	 expect 	 get back 2 night stay definitely expect . New York expect room small ! room put luggage dresser store anything . king size bed big comfortable find bug crawl around pillow . bathroom decent sized somehow water would leak huge puddle onto floor every shower . continental breakfast provide walk 9:15 put everything away & amp ; & quot ; allow & quot ; get anything even though breakfast suppose serve 9:30 . positive note , location ideal . able walk everywhere include Times Square , Fifth Avenue , even Central Park ! overall , close distance would stay . 
 Jun 22 2009 	 dangerous shower counter bathroom put anything 	 stay 3 night expect much reading review . expect small room expect bathroom situation . absolutely counter bathroom toilet slope lid nothing even stay top . carry toiletry back & amp ; forth try balance sink . also walk shower drain away floor floor wet shower slip almost fall untill finally get enough towel put floor . point 2 towel , 2 washcloth , 2 hand towel - extra . also first day please receive newspaper usual early start leave unopened dresser expecting read upon return find go . complain front desk tell would get one - never happen . next 2 day never receive newspaper request one front desk tell would get one store - never happen . ask 3 time see one counter tell another customer ! big surprise look bill find overcharge quote reservation . email copy reservation show low price send new bill time tell credit card charge correct amount . motel clean close everything able walk take short taxi ride want go . front desk people need well job assist customer . 
 Jun 12 2009 	 Value Money heart New York 	 back four night stay Comfort Inn . check smooth friendly staff . other say previously , room bit small side not go New York spend time room . location ideal , block Times Square , Macy 's , Empire State Building etc . hotel also around corner Port Authority bus station - perfect want use airport express bus . the breakfast room tiny always manage find table . breakfast consist usual - cereal , bread , cake waffle . the room clean towels linen change daily . problem try figure work shower - quick visit reception answer . there build work skyscaper next door nothing would cause much disturbance . would certainly stay hotel return NYC especially price pay location . 
 May 28 2009 	 okay 	 stay Comfort Inn Time Square 2 night May . get room air conditioning break ( would turn ) quickly move another room . second room good working order . please note room quite small though , even ny standard . reason mention barely room put luggage anywhere ! area also definitely & quot ; grit & quot ; . nice part NY . location close subway line attraction though . only complaint stairwell get use lot hotel since 4 room per floor constantly hear stairwell door slamming . offer continental breakfast nice . room hotel okay . 
 may 3 2009 	 would recommend hotel 	 stay 3 night , single traveller , impress clealiness service Comfort Inn . complimentary breakfast expect , Jay , & quot ; breakfast girl & quot ; helpful make sure everything available hand make waffle . one warm day return late afternoon room turn air conditioning , impress - certainly would happen back UK . 
 Apr 23 2009 	 affordable heart Times Square - nice ! 	 nice . group student . arrive 10 , want hold bag , check we room . nice ! room small ' ve make great use space , everything fit . location great , close walk Times Square light , close subway . smoke - free good job . thing use safe , charge , add charity charge . 
 Apr 20 2009 	 Hotel tick box 	 short stay New York en - route Orlando , Florida two daughter , sister one daughter boyfriend , fault hotel , 's amenity staff . arrival greet big smile pleasant front desk staff give we map information even get room . inform we free breakfast time well service concierge . two room book though visit daughter boyfriend room , happy , informed room . bed clean comfortable . free newspaper , tea / coffee machine bottled water every day well use free room safe keep valuable . free breakfast plentiful delicious . would strongly recommend try waffle . though dining area small side , go early walk straight table . go bit later 9.00am may waite table . the Concierge 's could helpful . Concierge Katrina go way assist obtain address place want go write everything could take we . direction , information , telephone confirm pick transport back airport , nothing much trouble . fact , nothing much trouble anyone work Comfort Inn . if go back New York , hope , would hesitation use hotel . 
 Apr 18 2009 	 FANTASTIC LOCATION .... GREAT HOTEL . 	 stay Comfort Inn Apr 4th 8th . fantastic ... fight get really early morning let we leave luggage explore . also fly late . room small really need ? ? ? time get home exhausted walking . bed comfy fridge microwave nice . also give free water day . staff fantastic concierge helpful . great stay .... New York fabulous city . hotel minute Madison Square Gardens , Times Square , Penn Station Port Authority . easy get anywhere City hotel . I would recommend place everyone ! 
 Apr 8 2009 	 iPod go ` ` miss '' 	 Stayed Comfort Inn 13th 18th march , Location good , Rooms bathroom clean . 2 twin room book ( 4 male ) arrive 1 twin room 1 double share double bed mate couple night ! ! move we twin room 2 night . iPod go miss hotel . leave ipod dock room report miss member staff go back room not ! ! email hotel get home see turn get reply ! ! ! 
 Apr 6 2009 	 great hotel ! good stay ! 	 hotel clean room look brand new new furniture comfortable bed . nevertheless , romm small . continental breakfast good restaurant small . problem hotel concierge . unprofessional . almost miss flight shuttle service not come take cab , pay lot . except , 's good hotel would stay . 
 Mar 15 2009 	 amazing service value large group 	 frequent traveler never leave review hotel . impressed disappoint enough take time write review . bring large school group Comfort Inn Times square absolutely fantastic time . total 52 people take 14 room could consider review multiply 14 . hotel location close Times Square subway 2 senior citizen we happy close everything . room look exactly like picture New York hotel actually big see . continental breakfast accommodate large group huge benefit good breakfast save money New York . not fitness center pool want New York ? get see city . thing aside good thing hotel staff . New Yorkers know friendly saw street ask direction , hotel 's staff go beyond would even consider hospitable . friendly helpful direction everything ready we arrive 7:30 . need place put bag allow we leave even let group check available room . would already recommend hotel friend co - worker . return New York , whether family large group , stay hotel . 
 Feb 27 2009 	 Clean Comfortable Convienent ! 	 spend President 's Day weekend NYC love Comfort Inn Times Square ! room small really go NYC stay room ! location FABULOUS ! ! ! ! ! ! ! yes , breakfast area tiny people really nice thing move along well . would stay plan ! 
 Feb 2 2009 	 Unbeatable Value Location 	 stay MLK weekend January celebrate birthday . Booked Hotels.com , total 3 night $ 350 . be normally much one night Times Square ! hotel 39th 8th , short block heart Times Square , Macy 's Herald Square Penn Station . ask front desk room view room direct view Square , stay 16th floor awesome view New York Times building ! room small , bathroom actually quite spacious . room tastefully decorate bed comfy . read comment front desk staff could not disagree . sure , front desk area quite small get bit crazy time , willing patient offer smile , staff go way help . overall , hotel absolutely unbeatable value ! 
 Jan 25 2009 	 Perfect location 	 people already say room hotel small comfortable . enough room 2 medium suitcase large holdall . bed comfy bathroom clean , towel change everyday . housekeeping leave two bottle water room everyday . the hotel fine clean . never problem 4 day stay . breakfast area small not wait table always downstairs 7.30am . hotel staff pleasant . bad experience conceiage iwe ask could phone reconfirm transfer airport uninterested clueless ! take 15 minute understand already transfer book confirm departure time . be probably not listen say . not people trouble talk ! unlucky need conceiage speak lady . helpful conceiage first two day hotel give direction place want see . location great walk distance port authority 's practically next door , Times Square around 10 minute walk . madison square garden close . empire State Building 15 minute walk . walk 5th Ave take around 20 minute . if want get good bargain go Woodbury Common book ticket Port Authority Bus Station . Century 21 ( opposite ground zero ) also great offer . 
 Jan 21 2009 	 Small room even Smaller Service ! 	 hotel situate decent midtown Manhattan neighborhood . feel safe reasonably secure . Times Square 10 minute less walking , property convenient bus subway station , easily within 5 minute walk . hotel clean relatively new , furnishing modern - many other state - room painfully small . not even think lay 1 suitcase . Staff Observations .... bright spot staff manager engineering . friendly offer we way get good photographic view Empire State Building . housekeeping service , hand , poor . fail make room one night , call front desk make sure would get do follow day . talk condescend way employee front desk - - twice ! since know housekeeping service finish day wait follow day room clean , ask assortment towel ( shower , shaving , etc . ) . apparently , tough order receive three small towel one ask . big deal , annoyance . check hotel , tell woman front desk have problem stay . would think would ask problem , right ? ! uninterested demeanor quite rude . bother . say least , disappointed . get back home stay Manhattan , contact manager property ( not weekend stay ) helpful , could not take back poor service would receive throughout much stay . unfortunately , can not recommend Comfort Inn Times Square New York City . staff rude feeling not go change anytime soon . perhaps future reviewer help property demonstrate care reputation . 
 Jan 11 2009 	 great hotel recommend 	 good time family hotel . parent decide visit US spend day NYC . hotel well locate Times Square / Manhattan . everything Manhattan walk distance hotel . think far walk , find many cab subway station around . staff ok , breakfast good . price little expensive pay get . room big clean , comfortable , nice decoration . would not hesitate stay another time . 
 Jan 1 2009 	 Times Square 's Little Secret ! 	 hotel brand , spank new rare find mid town Manhattan . room small well equip comfortable . double room beautifully decorate mod style wall unit , closet , drawer LCD tv marble tile bath . luxury miniature . less 80 room little slice high rise . hotel staff helpful complete concierge service continental breakfast hot waffle staff member even make ! cannotg get room early check - in , happy hold bag enjoy city . sheet crisp clean , pillow plump . stay many Manhattan hotel old fall room walk around bed - Comfort Inn . feel safe secure . go ny look . great location . close Penn Station , Subway Times Square Broadway . 
 Dec 22 2008 	 convenient clean 	 yes , small room care ! need room sleep shower . wonderful continental breakfast could go wait other get ready . hotel walk distance Empire State Building , Times Square , Bryant Park , etc . would recommend would plan stay . 
 Dec 16 2008 	 prepare 	 return trip New York . though would return would never stay hotel . room good value money , clean comfortable . within room large tv , coffee tea make facility , good light clean bath room . towl change every day along shampoo soap ect . breakfast add extra free . however reception staff unintreste anything . concierge ( 2 ) do not seem knowledge area attraction available . plenty trip could book , want get anywhere steam do not clue get . could find . point ask could look laptop front get require info . say hotel good value do not expect anyone give thumb anything assure . homework home do not bother ask assistance cos get none . take 5 minute give we direction would made hugh difference . go New Yorker 8th get basic info standard info . though say hotel value , service within nil . helpful gentleman reception give we info ask blank Conierge . prior travel pre book pay private car collect us airport . do not turn call number number reciept . do not exsist , call hotel see could help . tell curtly nothing hotel . get hotel speak car company New York book . respnse take get back England do not even look try look we internet . say expect nothing way dissappointe lack service . 
 Nov 27 2008 	 Nice hotel - convenient Times Square Subway 	 stay Comfort Inn 39th Street November 23 - 26 , 2008 . room clean bathroom one well see NYC . staff helpful . breakfast room may small never problem find table - young man make waffle extremely helpful - good selection coffee , juice , tea , pastry , bagel , etc . USA Today deliver room daily well 2 bottle spring water ( charge ) . safe room ( $ 2 per day use ) .The elevator fast never wait minute . many eat place neighborhood 9th Ave block away many different restaurant . walk theater attend - convenient quiet . highly recommend ( senior rate $ 134.10 per night ) . 
 Nov 13 2008 	 excellent value . like lot ! 	 need reasonably price hotel one night choose one read good review . dissapointe ! although quiet small , room new comfortable . storage space minimal one person / one night not bother . long stay may issue . staff service welcome helpful . breakfast area small crowd basically need wait chance great seat , ' continental ' breakfast actually quiet rich overall good . area - right next Port Authority bus terminal - bit shabby location excellent , 2 minute subway station 10 minute heart Times Square . get good rate $ 188 queen room , include breakfast free wi - fi internet . actually make reservation rate available book high rate , day later initiative send ammended reservation low rate ! overall hotel excellent value recommend short stay . 
 Oct 28 2008 	 Good Location Good Price 	 something note .... size picture deceive . professional picture take hotel ( hotel 's website ) take well possible angle make hotel seem much spacious really ! & quot ; Marketing & quot ; can not blame , want prepare . moment step cab look & quot ; GRAND - Looking Comfort Inn Sign & quot ; entrance laugh ( ) . hotel literally look like tall skinny Match Stick go straight sky . new hotel space limit NYC look like take little alley , two building somehow squeeze hotel . funny ! picture & quot ; breakfast buffet area & quot ; hillarious . look vast picture ... wait til see , say ! room tiny , NYC ! care room size - get see great city ! not want think not like hotel .... LOVED ! Location Great , staff friendly helpful , bed soft room clean nice ! would stay . prepare small everything really ! bar next door $ 10 cover charge cater & quot ; certian lifestyle crowd & quot ; FYI , case thing . one last note . go hotel door turn right , head couple block Hells Kitchen . weekend may lucky enough hit Hells Kitchen outdoor flea market , lot great old stuff ! great time ! ! 
 Oct 28 2008 	 seriously comfortable 	 great place stay . reasonably price ( split 3 people ) clean , comfortable little surprise like i - pod dock digital alarm clock . great particular weekend NYC tropical storm good know great room come back . check staff helpful let we check 2 hour early . bed really comfy shower fantastic ! 
 Oct 23 2008 	 could not well 	 need tour america four week . yes room small everything need location fantastic . room like new large plasma tv wall . would hesitate book stay . although road bit dark feel safe walk short distance square . staff helpful aswell book transport airport make sure enough breakfast morning . although breakfast room could extend rush food let someone else sit . 
 Oct 7 2008 	 Loved hotel ! 	 stay Comfort Inn Times Square week mid September . hotel excellent location , close Times Square public transport link - get bus Newark airport Port Authority Bus Terminal ( $ 25 return per person ) drop 42nd Street 8th Avenue walk block hotel 39th , easily do - able even luggage ! hotel fairly new quite modern style decor . even though small hotel 2 lift never wait long . check fast room ready arrive 2 pm . room 13th floor front hotel quite big NYC . two double bed , desk , small wardrobe , drawer flat screen tv . find plenty room store case next bed . room bathroom clean arrival clean every day stay towel toiletry replace often require . safe room ( $ 2 per day ) , iron ironing board . iron not work mention receptionist go one morning time get back , brand new iron provide polite note . the staff friendly , courteous professional time , form front desk , concierge , maintenance guy clean staff breakfast guy . breakfast great bonus really set day . yes , room small crowded weekend no - one seem mind take stuff back room . thing offer include bagel , pastry , english muffin , croissant , banana muffin , waffle ( make order ) , hard boil egg , cereal , pop tart , cream cheese , jam , peanut butter , 3 type juice coffee ! club next door seem open weekend . see people come go smoke outside , hear noise 13th floor really problem . always feel safe new york area exception . if Sunday , walk 8th Ave towards central park great street market - weird see Avenue without traffic ! great hotel hotel amazing city , can not wait til next time ... 
 Sep 12 2008 	 Convenience Cleanliness Friendliness ! 	 make reservation online birthday pleasantly surprise central hotel actually . rent suite 20th ( top ) floor extremely happy EVERY aspect two night stay . suite little small , still nice NYC standard . hotel brand new everything impeccable . living room bedroom flat screen tv 's , plenty storage space IPOD dock station radio / alarm clock ( draw back room lack space designate luggage - i.e . luggage rack ) . bed comfortable bathroom spacious . staff ( especially EVELYN ) professional , knowledgeable friendly answer question wihout hesitation . well , concierge always quick find info provide brochure , map , etc . , need . hotel even provide service hold luggage checking could still stuff city without tug luggage along ( perfect late train plane departure ) . would DEFINITELY stay hotel ! 
 Sep 11 2008 	 Horrible 	 Booked hotel travel dog good location accept pet nominal fee . late evening , room , dog start bark hysterically see bark mouse ! management graciously compe room , two week trip .... SCABIES . would recommend hotel make significant change hygiene standard ! 
 Sep 9 2008 	 Great Break 	 return New York thank Comfort Inn good break . mid fifty , female travel alone , Hotel West 39th Street ( quiet street ) around corner 8th Avenue really busy walk north soon Times Square . use public transport get JFK station also around corner 8th Avenue , staff really helpful . room small other point long ? comfy , clean pleasant , bed comfortable melt pillow , can not remember ever sleep well . first night would turn air conditioning time difference wake hear slight thudding noise obviously club next door , ' m light sleeper not cause problem , even though must add 12th floor . room clean every day bottled water provide , one day go back early headache put disturb sign , day note push door inform need anything ring reception . staff breakfast reception find helpful would say draw back continental breakfast ' m big fan full English certainly save time money . side extra taxis add bill $ 40 extra day need take account booking . 
 Sep 8 2008 	 Good Location clean 	 hotel good location - block Times Square subway nearby . clean feel safe one night - good selection breakfast ( waffle good ! ) need eat space . room also small much room 2 people 's luggage , however not much day bed really comfy ! downfall boyfriend ipod steal room - fair enough put safe provide money pay expect stuff would safe - clearly ! Hotel give we free night helpful . would stay would leave anything lie around ! 
 Aug 29 2008 	 Good Value 	 good value hotel close Times Square , Ferry Terminal , Penn Station , one black subway close Bus Depot . the photo 's hotel website accurate . the room small , however , New York ! ! ! say , room clean well decorate bed comfortable . point remember . . . five star hotel . expect Ritz Carlton , go Ritz Carlton ; expect Mandarin , go Mandarin - however pay top dollar get complementary breakfast . for moaned breakfast , yes , be not buffet Wynn Belagio Las Vegas , free . else get coffee , newspaper breakfast throw free receive exceptional service kitchen hand ( work butt ! ! ! ) overall , give 3 star hotel thumb would definitely stay again . the location FANTASTIC service check check exceptional ! make comment noise level club next door , Tuesday night . 
 Jul 30 2008 	 Awesome Location - Great Beds - Nice Room 	 wonderful stay Comfort Inn . room small , adequate everything right place . two woman shopping trip ample space store goody . small safe room store personal item . bed comfortable bed ever sleep . room renovate nicely do . 32 & quot ; flat panel tv huge plus ! would definitely stay ! breakfast great people extra nice . thank great stay big apple ! 
 Jul 28 2008 	 ok hotel stay New York 	 stay Comfort Inn 5 day May 2008 . choose hotel base location , user review , include breakfast price . hotel locate close Times Square 8 th avenue . thus location good even though 8th avenue little gloomy night . hotel quite new , staff friendly . recommend hotel quick trip ny . good value money , not expect much though . one thing not choose hotel breakfast . simply joke ! breakfast well would give 4 . 
 Jul 22 2008 	 good little modern hotel 	 room clean modern , lovely big comfortable super king bed 32 & quot ; LCD tv wall . locate 1 block subway line AC & amp ; E ( literally 1 minute walk ) also block bus station . not find room small , fine need . there coffee maker ice bucket , fridge pay safe . reception store luggage securely last day . breakfast actually quite good - good coffee make fresh waffle , catch breakfast room empty even well , however 14 seat around 60 room full could mean 120 people compete 14 place ! ! grab coffee / croissant day take room . the club next door latino club call Escuelita - really nothing worry noise hear . great view New York Times build 15th floor room . great location Times Square , theatre district 42nd Street , hotel Garment district , full material shop / wholesaler . head block 46th street ( 8th 9th ave ) street full nice restaurant do not find last night - look guide book soon -much cheap well food one Broadway around Times Square . also Chevy 's Fresh Mex Mexican 42nd Street ( 7th 8th ) really good mexican - look like chain restaurant great staff fantastic . get JFK really easy e line towards Jamaica ( $ 2 ) - really obvious get airtrain ( $ 5 ) come every 2 minute could not easy . take hour . 
