Nice 	 stay 40th b - day . got Studio King Suite great rate . nice big room , hardwood floor balcony . comfortable bed great shower pressure . 2 elevator hotel , one big barely enough 2 people luggage . Bellman Front desk staff great helpfull . food , Starbucks , train , Whole Foods , Central Park within step hotel . overall great hotel plan stay future . 
 Jun 11 2009 	 great location 	 get great deal Priceline $ 130.00 night . clean nicely design . room small , spend time room NYC ? heated bathroom floor great plus , Kiehl 's product . staff friendly helpful . good thing hotel location . locate literally right next subway stop - 1 , , B , C , D. hotel restaurant , Blue Ribbon , good sushi . 
 Jun 9 2009 	 Bait Switch ... 	 first , let tell husband spend hundred hour thousand dollar Hollywood Roosevelt past several year . live Hollywood time , encourage many , many friend stay visit we LA . also spend several NYE 's multiple Memorial / Labor Days . since move LA , choose stay business bring we back LA . LOVE Roosevelt Hotel ! ! ! ! always treat utmost respect , fact , recently upgrade check 1 - night stay 11/08.based love , book six Columbus via travel agent celebrate husband 's 39th birthday past weekend , studio suite rate $ 220 / not . although cheap room available hotel , decide spend bit since husband 's birthday . sorely disappointed must bring attention hope address . arrive NYC approx 4 pm We d June 3rd , 2009 , travel Six Columbus , take approx 1.5 hrs time get luggage . plan check , freshen meet friend dinner reservation Gramercy Park ( Rose Room ) dinner 7:30 pm . arrive informed front staff already know Dean 's birthday , check room 111 , & quot ; nice room . & quot ; bellman take we room , disappointed discover room way & quot ; suite & quot ; , regular ( albeit nice ) hotel room . contact front desk , person assure we room fact & quot ; studio suite & quot ; even though suite area whatsoever , room match room photo display website book ( www . newyorkluxuryhotels.com ) . even bellman bring bag confirm room consider & quot ; studio suite & quot ; king superior room . feel hustle - first stereotypical experience NYC.We contact travel agent book , agent begin process straighten thing , ultimately relocate we another hotel . , time march attempt solve problem HUSBAND 'S BIRTHDAY hope make timely dinner reservation NYC . interim , ( lovely ) bellman come inform us manager , Costas , & quot ; upgrade & quot ; us king suite . bellman take we room 20 , exact picture website depict site studio suite book ( well king suite site ) . unfortunately , room second floor directly overlook street , EXTREMELY NOISY . knew jerk around , room & quot ; upgrade & quot ; original room promised , protest . lose chance make reservation Gramercy Park dinner , still deal room situation . husband go discuss situation manager , & quot ; Costas & quot ; , come fume comment know going hustle Greek ( husband Greek - fact marry Santorini , Greece ) . extremely disappointing start NYC trip , fact miss dinner reservation Gramercy , could reschedule due busy night . basically , husband ; 's birthday celebration friend ruin thank & quot ; Costas & quot ; six Columbus . the next day , thankfully , move Smyth Tribeca . HOTEL know service ! ! treat courtesy respect , hotel great ! bad one four night NYC ruin . 
 may 29 2009 	 great hotel great location 	 book queen superior room 6 night upgrade queen deluxe check . room good size New York good standard . staff excellant friendly , really could not fault anything hotel stay . hotel right edge Central Park good location visit rest Manhatten . price seem change quite bit book get excellant rate hotel website . hotel close Whole Foods Time Warner build brilliant wide range good food . would definitely stay . 
 May 17 2009 	 great hotel excellent location extremelly friendlly staff 	 stay hotel 5 night part honeymoon one good time NYC . usually NYC hotel offer either small old room , big old room . case totally new refreshing . 6 Columbus small boutique hotel middle Manhattan offer modern comfortable room , combine friendlly professional staff . first thing like hotel , honeymooner , upgrade room Studio Suite . get room 10th floor . spacious room , big bathroom full & quot ; goody & quot ; . must say bed one good ' ve ever sleep . area excellent . nearest subway across street , park two minute away lot shop place eat vecinity . sushi lover recommend Blue Ribbon restaurant hotel , excellent sushi , friendlly non - pretentious . resume , look nice boutique hotel midtown Manhattan , definately place . price attractive return enough . definatelly look forward visit hotel again . the negative thing think internet free ... 
 May 10 2009 	 Great Location would stay 	 recently stay 6 Columbus two night part three week NYC stay change hotel time experience different neighbourhood . first impression front desk friendly , however doorman extremely friendly . check give room 2nd floor , ( 243 think ? ) pretty much see internet picture . nice retro style , small room , queen bed ' m queen england ! barely double think . bathroom nice good keihls ammenitie .... however not stay room long , shower straight away would come DC train , immediately realise noise air con unit outside absolutely insane ! constant hum every five min would ' kick gear ' go dull roar ! say , ' we can not stay room ' go ask swapped , room 8th floor available nowhere near noisy take one , even though slightly strange smell it - I think perhaps weird air freshener ? room 845 ( think ) bit big well , also window could look frosted glass window feel bit claustrophobic like 2nd floor room ! staff helpful , ask one doorman dinner reccommendation good , not eat hotel restaurant can not comment that . loved location right opposite Time Warner building Whole Foods basement patronise breakfast , lunch snack , subway also right handy . walk 9th ave many great restaurant 7min walk great . would definitely stay make sure get high floor room , Queen deluxe think get think great rate quikbook . note : take elevator roof deck take photo , get great shot , ever get bar open excellent spot . 
 Apr 29 2009 	 Loved ! spacious studio suite friendly staff great location ... 	 stay four night book QuikBooks - work 4 night price 3 , average $ 224 per night . stay studio suite 11th floor . friend stay 10th floor studio suite . the suite spacious lot . bathroom great walk - in shower great water pressure , also bath personally love . oddity bathroom clear glass window . room wooden floor like bed large comfortable , lot storage space . downside , air conditioning noisy time , sound travel room . suite 10th floor compact , not walk - in shower , fantastic balcony space ( although chair two would nice ) . give hot weather , great place relax , especially evening . the bar restaurant not taste ' m japanese food - busy night food look like work art . staff incredibly friendly helpful us time although seem little clueless deal guest handbag steal Starbucks next door - advice hand distraught guest try think thing do ring consultate cancel credit card inform police . internet $ 10 per day expensive especially since wireless free access lobby . overall , love would certainly stay . 
 Apr 25 2009 	 Perfect Location Small Rooms Great price 	 vise friend UES , & amp ; not want pay outrageous room rate . location perfect , be behind Time Warner Bldg , low left hand corner Central Park . good : be subway station across street , & amp ; plenty taxi . opted & quot ; Pod Room & quot ; 1 night , not care much view . room small room ' ve Paris ... though nice . shower impressive , hotel not much water pressure . bad : & quot ; Pod Room & quot ; 's view inaccessible courtyard ... large HVAC pipe running center . night hear Banshee like howl kick on / off . intolerant & quot ; white noise & quot ; will not like loud blow AC room . ( quite like ) . iPod alarm clock backlit LCD bright . ( unplugging , could not figure turn ) . 
 Apr 22 2009 	 disappointment ! 	 select hotel prior stay beautiful luxurious 60 Thompson , another hotel hotel group . 6 Columbus big disappointment room king size room small dark , carpet wear , furniture run . veneer dresser peel furniture looked purchase inexpensive second hand shop . plus nice bathroom shower good water pressure . big negative food smell pervade hallway room -- something unpleasantly aware throughout stay . bell staff helpful friendly , day manager markedly unimpressed dissatisfaction quality room food smell . would stay , despite good location . 
 Apr 19 2009 	 new favorite hotel NYC 	 yes , room small . really much different room nyc ? pro hotel great - ( location CP , subway , CNN mall , wholefood , starbuck , great price website ) - really make place great staff . every staff ' ve encounter ( second time ) go way friendly , helpful remember name preference . will back next biz trip NYC ! ! 
 Apr 18 2009 	 Nice hotel issue 	 book queen room Quikbooks . grateful check early since fly red eye . staff cordial helpful . room good size stylish . bed comfy . find couple short hair pin undersheet comforter . ' m pretty sure sheet clean part , since staff inspect room allow check . rarely hear noise guest , except shut door . lock door 's really way shut softly . housekeeping sometimes chat loudly hallway , start knock loudly door around 8.30 clean room . bathroom large . Bathtub drain slowly . turn water let water drain , turn back . tub finally clog last day stay . check - out , hotel tried charge $ 2.75 mini - bar , even though not use . think fridge personal use . explain promptly remove charge . despite negative , enjoy stay . feel get good deal room ( ' ve stay Hotel East Houston , advertise similar price , nearly nice ) . hotel conveniently across street metro station shopping . nearby coffee shop okay . Preferred Whole Foods across street well price well taste food place nearby . Bouchon Bakery , complex Whole Foods , make good macarroon . 
 Apr 12 2009 	 trendy mean dim ? 	 thing like 6 Columbus include great location great online deal get hotel 's website . especially love discovery wholefood right across road Columbus Circle shop - good place breakfast snack . I love atmosphere hotel - hip trendy , really not understand seem mean everything keep semi darkness . putting make dimly light bathroom nightmare , bedroom little well . thing not like ( grope dark ) room seriously small room big bag traveller middle big trip , room internet expensive . there also inidentifie loud hum go night - possibly heater aircon unit outside - either way we shopping earplug . 
 Apr 9 2009 	 Excellent service smile 	 hotel great number reason . one first thing notice friendliness staff . everyone helpful . arrive early morning room ready , however , call we cell phone soon available . helpful restaurant suggestion . great staff ! perfect location - right Central Park ; subway across street ; Starbucks Dunkin donut around corner ; 24 hour pharmacy corner ; great breakfast spot street . shower great room small , clean . not spend lot time anyway not matter . complaint not offer shower cap bathroom . price reasonable compare N.Y. hotel . 
 Mar 24 2009 	 central next Central Park 	 stay 5 night pod room double bed find roomy nice large bathroom . room much large regular one Hudson hotel 2 person barely walk around bed fit bathroom . like room design much . double bed adequate 2 medium build person . Kiehl ’ amenity plus heated bathroom floor nice touch . bed almost comfortable heavenly bed Westin hotel build - in drawer bed frame additional storage space . location hotel perfect we come opera MET Lincoln Center ( less 5 minute walk ) Central Park across . front hotel Time Warner Center block traffic noise . columbus circle subway Time Warner Center major line connect . breakfast organic Whole Foods Market Time Warner Center sell food weight , pay want eat . excellent meal ( hot / cold ) rush opera . starbuck next door hotel caffeine addict . staff super nice . super deal 120 $ New York City ! ! ! side , curtain close tightly , room door need stopper avoid bang close , especially night wall little thin . stop reserve hotel . hate morning light , binder clip solve problem . 
 Mar 23 2009 	 thin wall = sleep 	 small room dimly light . super thin wall could hear every noise / shower / music / conversation take place adjacent room . party take place floor not move till early morning basically not get sleep totally ruin next day . plus room clean , staff nice , get cheap rate use quikbook , location . 
 Mar 17 2009 	 small room not begin describe 	 otherwise acceptable stay ( 5 night ) degraded room ( allegedly large clearly high price offer short suite ) could not sit , except bed , even work desk . one chair offer , dimly light vestibule . otherwise literally room move . closet space free - stand wardrobe barely foot hanging space . storage space drawer bed . plumbing noise adjacent room noticeable time time ( especially neighbor ' shower ) loud . accept space premium New York , absurd . plus side , , be convenient Lincoln Center , pleasant helpful staff good restaurant ( Blue Ribbon ) excellent sushi . plan spend time room , look elsewhere . 
 Mar 1 2009 	 Exceptional Service Value 	 wife stay 6 Columbus random weekend New York February . find 6 Columbus Tripadvisor encourage rank ( # 128 writing ) . short , disappointed choice , turn anf extraordinary value NYC hotel ! first , caveat location hotel people familiar NYC . be locate right Columbus Circle , good 20 minute walk Times Square . not deal breaker mean , however , Columbus Circle Subway stop right near hotel anyway . taxi ride right heart Times Square measly $ 3.50 , well . upon arrival , door open we greet smile polite welcome everyone modern - decor lobby - great way start stay . check non - issue quickly find one animal hide ( fake ) -line elevator go room 9th Floor ( 12 floor room two floor ) .We open door Queen Deluxe room find warmly light , intimately sized room modern twist . Dark Teak floor throughout main room , amenitie flat - screen LCD TV , mini - fridge , safe , bathrobe , iron / ironing board , iPod Alarm Clock one comfortable hotel bed ' ve ever sleep ! brown teak headboard bed span entire length wall behind we , stop short ceiling 6 - 8 inch . space hide recess light lend nice , indirect glow room on . the bathroom seem light standard fare , clean boast interesting extra feature - heated floor ! treat step onto cold tile floor nice , hot shower . after settle room , make way downstairs find Eric Concierge . perhaps one helpful knowledgeable concierge ' ve ever pleasure meeting . help we everything dinner plan make reservation we comedy club recommend . definitely great resource NYC - even consider knowledgeable . we lunch Hotel 's Blue Ribbon restaurant ( japanese ) find average maybe tad overprice - quite contrary hotel . mind , nothing wrong Sushi order , not anything write home service impersonal prompt . would say be convenient , well choice literally right across street Time - Warner Building . one note hotel - bring computer , business center . overall , 6 Columbus excellent value , would highly recommend great hotel outside Times Square . 
 Feb 11 2009 	 Fantastic Find City 	 stay New York staff know name first day ? wonderful location near theatre , shopping park . room nice staff good New York . Great Value . can not wait visit . 
 Feb 8 2009 	 great great location -- tiny tiny room 	 stay hotel two night . terrific location . be across street subway & amp ; be great international newstand around corner . indulge Starbucks , be one right next hotel . room really small . queen - size bed feel like twin . room clean smartly design . be great big flat screen tv -- hook coat . bathroom floor heat -- 's virtually closet space . great shelf magazine -- little drawer space . talk priority mix ! overall , stay pleasant & amp ; staff pleasant . price right . 
 Feb 4 2009 	 Great rate make Great Hotel 	 stay 6 Columbus 5 night end Jan 2009 . get superb rate Quikbook , make hotel affordable . book Queen superior , informed pod room small . indeed give queen room , pod room must broom cupboard . say room adequate 2 we , intend spend lot time room anyway . downside size room , lack storage clothe , give winter lot bulky clothe , manage . the room 5th floor back hotel , nice view shaft , not think matter not go spend time look window . the floor heating bathroom indeed nice touch , be mention , could not quite work work . shower great - powerful & amp ; hot ! downside bathroom miniscule towel - good wrapping wet hair ! mini bar pack full , not try anything Duane Reade next door . service hotel good , attentative door staff , nice receive plate cookie half way stay . bar staff also pleasant Blue Ribbon bar & amp ; restaurant ( eat ) . clean staff little noisy morning , really see sight anyway . this hotel great location , right opposite subway , way Central Park , nice bar & amp ; restaurant nearby . would definitely recommend hotel , get great rate , otherwise think quite pricey . 
 Feb 3 2009 	 mixed 	 differ review ' ve read . maybe 's generation thing . yes , staff fine : helpful . place clean . : many & quot ; 4 star & quot ; hotel NYC give less Holiday Inn charge much money ? coffee room . free WiFi . ironing board / iron . three big mark place book . NYC - tiny room . bad Hudson street , still : place sit relax , read book , etc . decor . yike ! dark blue hallway ; elevator wall cover faux black fur industrial metal accent . feel like enter dungeon . 's fabulous location . bed ok , soap nice , quiet . , book Priceline , window face brick wall , street . 
 Feb 2 2009 	 Rip rate international phone call ! not stay ! 	 stay hotel 2 week Hong Kong . make international phone call back home necessary . stay hotel day make phone call ( literally less 5 6 call get thru line none call 10 minute ) , ask concierge much phone bill . guess ? 6 Columbus charge US $ 500 + phone call ! ! ! explain international phone call cost US $ 10 per minute . rate absolutely ridiculous manager blame we say not check rate little book store desk b4 make call . speak manager , check booklet actually not set rate mention guest ask concierge exact rate make international phone call . not make sense we . could justify charge guest US $ 10 per minute ? 5 minute phone call friend ask question cost US $ 50 + ! ! ! ! completely ridiculous . would RECOMMEND INTERNATIONAL GUEST stay 6 COLUMBUS . 's complete rip , give economy poor US . ridiculous charge rate totally unacceptable . bad thing , refuse anything ! ! ! ! ! ! ! ! ! original impression hotel actually pretty good , give location hotel rate . rip phone rate , guess 's hotel make profit ! ! ! go tell friend stay anyone go NYC . completely disappointed ! ! ! ! ! ! 
 Jan 23 2009 	 Beauty Brains Brawn . must read review ! 	 Monday ( MLK Holiday ) overnight accommodation 6 Columbus far exceed expectation . greet Doorman enter host Blue Ribbon Sushi & amp ; Grill . staff front desk delightful , especially Adrianna ! reservation Pod room gleefully upgrade suite , room 103 tenth floor . lobby small neatly furnish long modern sofa bright round club chair . neat artist ' print hung wall , low lighting hallway elevator . elevator modern . step blue hallway Thompson Hotels signature carpet . feel like residential apartment building room number glow bright . room key tuck designer 6 Columbus packet . I enter oversized , modern , thoughtfully design room . large platform bed , Frette Linens robe , 2 modern side chair table flat screen television black white cabinet mini bar , Dean & amp ; Deluca snack tray available shag kit . luxurious drape hide french door lead giant balcony ; behind frosted door large walk closet gorgeous bathroom . another window look towards 58th street tuck angle corner , beautifully shade silver floor lamp . no carpet ! hardwood floor allergy - free include teak headboard . Wall pocket contain glossy design fashion magazine . 2 bendable reading lamp . a blue throw , white duvet , stripe pillow drape make fine quality luxury material . bathroom standout navy vertical subway tile , mount sink , private loo area , free stand two person shower , large deep soak tub shower . high end bath toiletry Kiehl ' , thoughtful extra like cotton ball swabs , fluffy white towel giant round magnifying mirror light blue . located lobby Blue Ribbon Sushi & amp ; Grill , always open extra late welcome late arrival . locate directly across street 6 Columbus Time Warner Center , luxury shopping venue . close subway , Columbus Circle Central Park make 6 Columbus Thompson Hotel envy Manhattan boutique Hotels . yes , stay . thank 6 Columbus . 
 Jan 21 2009 	 Amazing Stay ( yes doorman hot ! ) 	 book hotel Quickbook rate $ 127 Fri / Sat $ 90 Sun . problem book , would throughly recommend Quikbook third party agent . upon checkin give free upgrade standard queen supeior ( deluxe - sure ) . doorman make feel special , could help . ( other say pretty hot ! ! ) : ) not really find noise aircon loud , view non - descript building shaft , not bother . minor negative think ( ' m think hard ) ipod docking station not dust bed frame stick little , bang leg time ! rate get , small thing really mean nothing compare fantastic service , great clean room 6 Columbus . location , quality genuine warmth hospitality staff make place exactly : perfect little hotel traveller New York City . 
 Jan 14 2009 	 terrific stay 6 Columbus 	 friend get amazing rate 6 Columbus Quikbook January 9 - 12 ( $ 127 Fri - Sat , $ 90 Sunday ) . excellent stay moment walk door friendly doorman take bag welcome we . staff kind helpful , provide excellent service . without ask , room upgrade free charge queen deluxe two bed , perfect . room spotless , housekeeping bring we second robe non - feather pillow friend , allergic . bed platform bit nuisance , big deal . big complaint probably ice bucket , stylish , quite shallow really functional . clearly ' m really nitpick ! ' ve see comment complain loud heating / air system , indeed loud . however , be like friend need white noise sleep , be perfect . bed also , comfortable sleep like baby . the hotel location perfect . right subway , Subway sandwich shop , Starbucks , Whole Foods Time Warner Center across street . easy walk Central Park theatre district , rush make show , cab cost $ 4 take five minute . would not want spend $ 500 + night 6 Columbus ( anywhere , matter ) , definitely recommend hotel . great stay , even receive hug doorman leave . terrific weekend . 
 Jan 6 2009 	 Exceptional Staff - Wonderful PLace 	 let us start & quot ; negative & quot ; . room small . everything need provide well - design aesthetically pleasing space . bed , linen towel add feel luxury style . the staff real standout otherwise great experience . every single individual work hotel take time greet . anyone address request , question simply & quot ; hello & quot ; respond warmly wholeheartedly . friendliness ( never anything respectful ) create sense home base NYC really add pleasure trip . 
 Jan 5 2009 	 friendly stylish hotel great location ! 	 good thing far 6 Columbus location . within walk distance theater district Lincoln Center , close many fine restaurant . Columbus Circle subway stop literally right across street . the hotel modern , although lighting decor quite taste , must say staff friendly ' ve encounter hotel long time . room , small , spotless . complaint would heater seem blow cold air around room , end turn ask another duvet . actually , even heat room not really cold . the heated bathroom floor really neat feature . we get great rate hotel website , would definitely recommend hotel anyone 's planning attend show concert not need whole lot space . 
 Jan 4 2009 	 Great Hotel 	 stay 6 Columbus Hotel 5 night March 2008 St Patrick 's weekend . Overall 's great hotel would recommend . hotel locate opposite Time Warner build bottom Central Park , walk nearly everywhere , convenienct location . staff friendly helpful , check fine , room not ready , offer complimentary drink hotel bar wait . we book ' pod ' room , however check advise upgrade next big room . accommodation lovely , modern , plasma tv , ipod docking station minibar . get complimentary paper everyday room clean daily also . not eat hotel , restaurant always look busy hotel nice little bar apre shopping drink ! ! would recommend hotel . room quite small , hey , New York city , be shop party , sit room day . Special mention gang next door coliseum pub , hi guy ! ! 
 Jan 4 2009 	 Practically Perfect 	 spend one night family . two room . upgrade , give we extra space ( room hang together ) , fantastic value . loved style decor . staff friendly helpful , sheet TERRIFIC , room quiet ( surprise two us ex - manhattanite ! ) , etc . complaint , one , sofabe one room not make , not discover need ( late ) , entail short wait , improvise bedding , make . ( true , & quot ; turn - down & quot ; staff 6:00 , point , use sofa sofa ! ) want near Upper West Side and/or Theatre District look luxurious , stylish place stay , will happy . 
 Dec 5 2008 	 Great New York hotel ! 	 nothing great thing say hotel ! BEAUTIFUL ! staff friendly ! arrive hotel 7 morning overseas flight , expect check room least noon , thought would try anyways . upon arrival ... find room book available , receptionist offer upgrade we junior suite ( studio suite ? ) additional $ 100 . glad ! room huge gorgeous ! 600 square foot balcony , breathtaking view , surprise ! concierge willing reccommend place dinner , get reservation we show dinner , well call towncar etc ! little tip go long way people , even recieve & quot ; WOW ! & quot ; one guy ! make complete mess room go dinner , housekeeping staff came reorganize ! expect , 5 pm , actually little bit embarassed state room ! one thing add amazing stay hotel ! would definitely stay hotel heartbeat ! 
