's 	 travel lot stay 90 night various hotel . although company allow stay five start rate many country , could stay time . see many Westin brand hotel not provide service match 's brand , specially LAX airport . true Westin quality actually beyond expectation . hotel staff welcome , well train , service level excellent ! one facility love executive lounge give quiet zone well meet space sudden necessity . train hardworke staff lounge also fantastic ! drawback room stay not enough insulation could hear people talk hallway loud vise versa . definitely stay next time visit Beijing regardless 's business pleasure recommend everybody visit Beijing . 
 Oct 5 2009 	 amazing refuge road weary traveler ! 	 end 14 day Gap Tour take we Shanghai , Yichang , three Gorges , Xian , Pingyao , Datong , end Beijing . stay onrusty old sleeper train , bug infest ferry boat , low budget hotel rock hard bed , dirty carpet , smelly bathroom , indifferent staff . plan couple extra day Beijing , book Westin . I nearly cry walk Westin . hotel smell fresh clean . front desk staff smile welcoming . go room flop bed ... comfortable bed China ! ample plush , clean towel ! go concierge dinner suggestion , run street get we cab shift change ! wish could remember name , really bent backwards suggest great place eat , great experience Beijing . son meet we next day . rollaway room , make sure extra towel , extra complimentary water , etc . first thing son say & quot ; wow , smell great ! & quot ; say good bed China , rollaway ! also love pool area , fitness room , friendliness staff there . I can not say enough hotel . main street , find positive , every street full honking vehicle chaos . cab fare cheap inChina . 
 Sep 19 2009 	 Great Hotel 	 enjoy pleasurable three night Westin Beijing Financial Street standard room . Westin & quot ; heavenly bed & quot ; truly legendary really ease one sleep . great swimming pool gym facility well excellent health food option room dining menu . general ambience hotel business like location , really aim deliver & quot ; take personally & quot ; service many large business hotel deliver . example - lobby area always attend least 3 4 attendant make light conversation , offer tip thing always willing assist reservation show , taxi 's etc . subway 250 m hotel convenient cheap way explore city even though locate tourist centre , tourist attraction 10 15min subway ride away . can not wait stay Westin Beijing soon . 
 Sep 3 2009 	 moment stay pleasantly enjoyable ! 	 hotel locate Financial Street nearby Tiananmen Square . special meal breakfast Superfood rx good option traveler . room artistically design nice phone wide screen , nice want one home ... find yet Singapore . 
 Aug 31 2009 	 Superb hotel great breakfast friendly staff 	 spend 3 night Westin could fault hotel . service excellent , especially doorman . room comfortable lovely shower bathroom . the food superb particularly choice freshness breakfast buffet , wold stay without hesitation 
 Aug 26 2009 	 wonderful hotel 	 stay hotel business trip . good location spectacular room attentive staff . as Starwood platinum member , upgrade club room much large space , room clean , love heavenly bed . quite wow ! breakfast every morning club lounge food excellent , much less people compare crowed restaurant downstairs . chinese restaurant couple time , staff do great job recommend popular dish since clue chinese cuisine . Beijing duck sour pork favorite . hotel location perfect well , take around 10 - 15 minute get national Grand Theatre Tiananmen Square good half day excursionI would definitely back hotel future 
 Aug 24 2009 	 Great Hotel ! 	 Westin Beijing Financial Street 's make . starwood privilege member , give rather fantastic room ( high - floor , corner newly renovate room ) . be near Lane Crawford , 7 - min ride nearest subway station ( Fuchengmen Station ) . in - room dining n breakfast expensive chinese standard near eatery taxi - ride away , would rather pay get comfy room . service impeccable - staff not fully confident speak English , be still sincere provide good service . move Holiday Inn Express taxi driver not know way . one bell - boy use mobile phone call Holiday Inn Express Hotel get exact address chinese - small initiative , kind not get tip . , great hotel away crowd . 
 Aug 17 2009 	 great family child 	 Super hotel , staff helpful calm soothe smell entrance . stay one apartment , great choice ample space kid . kid club , boy love swimming pool . thing like towards end breakfast , always chaotic , kind service would expect 5 star hotel ! think variety food especially chinese food change . breakfast , would management go hyatt Jing jin experience breakfast like . 
 Aug 13 2009 	 Perfect Hotel bring BEST Brunch 	 wonder stay Westin Beijing FS , business trip hotel fullfille demand good service attitude . staff friendly professional , meeting room fabulous ! actually , quite enjoy Sunday Brunch , nice , huge food selection- beijing duck , thai food , sushi , even M'sia Milk tea ! coz , love seafood definately need go - lobster , oyster , prawn , kind shell ..... champagne free flow also ....... hah , stay sure . 
 Aug 1 2009 	 Westin Beijing Financial District = Fabulous 	 always take direction card Chinese get back hotel cab . 
 Jun 15 2009 	 absolutely excellent stay great hotel 	 book two - bed apartment along executive club facility . hotel fantastic , apartment fully equip large ; bedroom en - suite facility . make full use executive club facility stay staff helpful friendly . food choice little limited lacked variety not spoil stay . the spa Westin superb , use swimming pool jacuzzi every day - never 10 people pool full sized pool . choice steam room sauna , hot pool great . the hotel surprise daughter husband special cake celebrate birthdays whilst stay . generous lovely touch daughter particularly miss home friend . tip - make sure use subway , near station five minute walk away cost 2 yuan go way across Beijing beat traffic . mobile phone work too . if sightseeing , allow full day Fobidden City ; Summer Palace . 
 Jun 9 2009 	 Great Hotel Beijing 	 stay Westin Financial Street 5 night . Taxi Beijing airport hotel Y110 . ride take hour bad traffic . airport , impressed Beijing street clean pot hole . street beautiful rise hedge green tree . separate lane bicycle . the Westin Financial St. nice , 5 star worthy . service top notch . hotel staff courteous , young , good looking speak good English , even elevator guy handsome charming . room spacious , clean luxurious bathroom . hotel room two double bed . as use SPG point stay , breakfast include . breakfast expensive Y230 pp eat . price , nothing taste good anymore . unfortunately , many restaurant around area . office hour area look deserted . Pizza Hut Star Bucks nearby long real chinese food . internet access hotel also expensive y2 / minute . Westin Financial Street locate financial district touristy area clean quiet . take 15 minute taxi ride get wangfuje . usually easy get meter taxi front hotel . however , usually hard time get meter taxi back Westin night . taxi driver want use meter ask ridiculous price . sure Westin ' location . the Fuxingmen subway stop 750 metre hotel . pretty far ( 15 minute walk ) easy find . station line 2 Fuchengmen station 250 metre hotel hard find usually require one transfer Line 1 . like take metro see local avoid traffic . also take taxis time time observe city street car , people building . walk Westin Fuxingmen subway stop , find street clean broad . along way mostly bank large office building look modern impressive two giant lion front . Beijing modern beyond expectation . overall really enjoy stay Westin Financial . 
 May 7 2009 	 beautiful room hotel decent location . 	 stay Westin Beijing three day travel Beijing . hotel gorgeous -- clean stylish . bed plush comfortable , bathroom luxurious -- perhaps good hotel shower ever see ( one & quot ; rain head & quot ; -- fabulous ) . get great rate find hotel excellent value . hotel central many tourist site , quick cab ride away major site . 
 Mar 27 2009 	 Comfortable Rooms - Challenge coffee breakfast 	 good quality hotel west Beijing . lucky long stay upgrade executive apartment .... beautiful comfortable room could find Beijing . new shopping mall across street luxury shop . western local style restaurant area . downside mainly try get coffee buffet breakfast restaurant ... minature coffee mug half fill staff rough coffee lover like wake breakfast . one day request pot coffee leave table 2 we deny say manager would allow ! spend many time breakfast get table find staff get coffee refill ( many time pot empty ) get thimble coffee chase coffee less 5 minute . bad good hotel . issue lobby bar ground floor , glass balcony surround 1st floor constant staff traffic set conference room , noisy trolley , worker , entire time cocktail hour . also beer barely cold , even stock much Heineken bar , go find restaurant hotel . room great location great . 
 Feb 22 2009 	 love 	 go week visit Beijing . hotel 5 minute subway station , room comfortable ( 2 double bed ) , large 40 square meter , quiet , bathroom ok .... pool hudge ( 25 meter long ) .The right place get family start visit Beijing week . the small drawback hotel doorman useless customer side . wrong metro direction ( south 1 km far instead north near ) . keep push limousine ... wonder guy pay Hotel driver : ) one February 2008 not help we . definetly issue Hotel staff really nice doorman . for traveller visit China , well print Hotel address ( english chinese ) phone number taxi use drive airport . rest stay hotel provide card show taxi driver let find way hotel . 
 Dec 19 2008 	 Classy luxurious hotel Financial District 	 stay 5 night early Nov. part vike 17 day China Cultural Delights tour . flown day early tour begin book hotel since be Viking use Beijing portion . book extra night first vike US $ 200 / night add additional Westin direct less . stay 5 nite third floor think convenient without spend time travel high floor amenity please . side note , hail taxi direct airport cost RMB $ 110 half hour ride , much less airport transfer offer Viking ( US $ 50 / pp amount RMB $ 700 2 ) . need hotel name address write chinese driver ( actually speak passable Mandarin able tell driver directly go ) .meal : eat breakfast buffet dinner ( thru ' tour group ) come Vegas say really impressed selection quality . mention Beijing chinese offering much well Las Vegas buffet . western selection certainly huge plus many western guest case want food familiar with . the refreshing drink lobby ( mint , lime & amp ; honey elixir ginger / red date elixir ) get addict every time pass lobby . room : top notch western standard . love rainshower , jacuzzi , comfy bed . love electric shade partition jacuzzi bedroom . service : expect hotel class . elevator person definitely nice touch attend need go . ever present smile sure cheerful . staff include bellman , valet , concierge , front desk excellent job make guest feel welcome hail cab make sure taxi driver know take guest Mandarin . Decor : classy everywhere , lobby , restaurant , room , bar .. area : get part Beijing easy inexpensive us taxi right front ( one day private tour tourguide take we cost less rmb $ 150 taxi ride .. ) nice mall across hotel ( Lane Crawford one key tenant ) one get almost anything . also walk Financial District area find safe pleasing . different kind little restaurant building browse at . internet : use service Business center , rmb $ 30/15 minute . 
 Dec 14 2008 	 terrible experience Westin Beijing Financial Street 	 week long trip throughout China stay eventually end Westin Beijing Financial Street . tired exhausted tour . stagger hotel around 2am check - in . front desk staff friendly understanding . SPG Gold member , request want clean quiet room due exhaustion . front desk staff ( Andre ) say quiet room available , booked room . what front desk staff not tell warn room next mine construction maintenance . abruptly waken early morning hammer noise . course warning - notice upon check . quickly change room - find abrupt move half sleep state - still miss personal effect . would recommend hotel , probably . choose stay hotel , would recommend double check hotel staff quiet room maintenance go next room . probably bad experience lack thereof professionalism hospitality industry . they mention error will not happen , happen unsuspecte tired customer . 
 Dec 2 2008 	 food amazing 	 arrive flight Xian pick bite airport . get hotel , huge dinner buffet ready . absolutely anything anyone group want top quality . whoever idea make little chocolate olive oil dessert genius . the gym well appoint pool luxurious . sauna wade pool rain shower wonderful weary traveler . wish 'd time use spa . of 5 star hotel ' ve stay , rank top three . 's bit ride place , ' ve get someone help transportation wholly recommend . 
 Nov 21 2008 	 Breakfast fantastic 	 go Westin Financial Olympic vacation . hotel room big , especially washroom . well decorate . staff service good . however fire drill one afternoon stay , lift service like half hour take stair lobby . the room service expect tho room breakfast great compare Ritz Carlton one . good sound system always get dvd player need . close Winland Building , walk distance . chacnce check swimming pool . 
 Oct 25 2008 	 Great Intoduction China 	 arrive hotel early hour morning . meet door bag take care . check - in swift . room lovely , bathroom big hotel standard supply product adequate reasonable standard . the hotel 20 min . taxi ride Forbidden City etc . problem taxis abundant cheap . all staff pleasant , friendly helpful provide idea daily adventure . staff could speak much English could always find someone could . we eat breakfast every morning hotel . breakfast buffet superb . plenty varied option Western Eastern . one evening eat italian restaurant hotel . nice . all staff pleasant , friendly , helpful eager please . someone already mention lift guy . would like specially mention well . always greet we lift , push button usher we lift . service make we feel like royalty . seem work long hour happy pleasant evening morning . great stay would thoroughly recommend hotel . 
 Oct 25 2008 	 Westin Beijiing Financial Street classy 	 beautiful hotel beautiful city . complimentry breadkfast more pleasure . generally stay posh place must say pleasure . drink lttle pricey lounge \i guess stay porbably afford liquor . room comfy well appoint . 
 Sep 24 2008 	 Excellent Service 	 ' m SPG Platinum Member , mean ' ve spend lot night Westins Sheratons . say , ' ve never experience level service Starwood hotel enjoy 8 - night , post - Olympics stay Westin Beijing . first trip China not know expect , book airport pick - up service ( 580 rmb , less price cab US $ Heathrow . ) flight delay 4 hour , escort wait us gate . lead us stops airport luxury car , wait downstairs . greet car lead room , sign check - in document . ' m huge proponent hotel club lounge - - convenience factor morning chance chat traveler make worth extra price - - delighted hotel 's & quot ; Executive Lounge . & quot ; breakfast buffet ( 6:00 - 10:30 ! ) happy hour line - up extensive - - many hot cold , western , european , asian offering . space huge , many seat area great view . staff , though , really make lounge special . always least 4 friendly attendant time day , greet we , helped serve we , conversation we ( excellent English ) . downstairs , lobby staff attentive . one guy stand elevator day , greet people get . never wait help concierge , always 2 - 3 people desk . bellman extremely efficient get we cab understand english request . spa ( definitely US - price ) staff equally concerned satisfaction . restaurant staff , ditto . need say ? hotel size activity level , ' ve never feel value guest . while time regret close & quot ; action & quot ; stay Grand Hyatt ( would also book , cancel ) , end appreciate quieter neighborhood , away crowd , Financial District . be runner walker not mind trek Forbidden City , Wangfujing , etc . taxis plentiful , quick , cheap far - out place visit . book tour Great Wall local hutong concierge . what great stay ! staff two less - than - average recent Westin hotel stay ( Boston Harborfront Grand Berlin ) take note level service friendliness 's possible Westin hotel . 
 Sep 24 2008 	 Excellent stay Westin Beijing 	 come back 2 night Westin Beijing must say wonderful stay . room fantastic , comfortable brand new amenity lovely bathroom . facility hotel , gym swimming pool amazing . could not get stunning pool area ! location also really good since be 3kms away Forbidden City quite lot shop eatery around . finally , service impeccable . although seem people staff not speak english well , generally good . staff friendly care detail . special thank restaurant manager & quot ; Senses & quot ; excelent job . definitely top hotel Beijing be sure good stay . 
 Sep 22 2008 	 simply good beijing 	 travel beijing many time business pleasure , stay almost every single beijing 5 star hotels ritz carlton grand hyatt . say westin hotel westside beijing simple good . be aout way hotel look ( new hotel beijing stunning ) locate . ( honest , anyone know beijing location hotel bad ) , be people . hotel beijing feel take care . beijingn usually not idea serve guest , 's blood . way westin train stuff turely something else ... impressive . 
 Sep 5 2008 	 beautiful ! ! : ) 	 stay year ago know write delay list though ! spend 18month work live Lanzhou decide time treat return back Australia , stay Westin five day find amazing ! ! every - thing beautiful shower pillow , staff always helpful let know great place visit . the gym date pool nice , find every - thing awesome ! luxurious think $ 100 . dollar night apartment room could not do much well ! tell every - one can not wait next trip China stay Westin ! 
 Aug 22 2008 	 Clean classy 	 Fantastic stay Olympics . room clean modern , comfortable bed , great bathtub window overlooks room . pillow could squishi . service great . workout room nice clean . near quite bit via short taxi ride . area pretty sterile obviously build Olympics . spa charge american price massage . go nearby spa high end treatment third price . 
 Jun 25 2008 	 impressed ! 	 ROOM : since spg member , tend stay Sheraton / Westin chain wherever go Beijing Westin top list . since hotel couple year old , everything gorgeous cherry wood panel marble wall bathroom . initially stay regular room upgrade executive suite- excellent except get big room bathroom walk closet . really like modern design bathroom shower stall separate bathtub shower head / stream come straight ceiling ! service : service impeccable . everyone speak English whenever common area , greet acknowledge staff . extremely attentive .. maybe upcoming olympic ? food : try buffet breakfast 35us- surprisingly chinese food good ( dim sum dry ! ) western cuisine like home . truthfully , Beijing 35us get 3 full meal drink worth good restaurant food elsewhere 's easy find western breakfast area . VICINITY : hotel financial district although appear close tiennaman square- within walking distance . taxi ride 10 - 15 min away depend traffic taxi dirt cheap ( $ 4us ) trip one way . subway 15min . walk Westin definately good alternative u want local . across street luxury mall big brand name like Louis Vuitton etc - not much affordable . also area local Starbucks / Blenz coffee local fast food chain great foreigner menus picture . 
 Jun 16 2008 	 wonderful stay 	 stay Westin Beijing last month together boyfriend . SPG gold card member hotel run full , upgrade renewal room . room really spacious stylish . bathroom good glass window overseeing district . receptionist mention we renewal room come together complimentary " bathologist " , decide give try second day . long day tour , exhausted remember " bathologist " order time . bathtub set right temperature warm water float flower leave . really nice relaxe tub jade mask tailor make nice cold drink . hotel convenient locate center city though close forbidden city , tourist attraction . however , taxis everywhere far . Beijing business trip also leisure tour , tourist attraction really target time anyway . love go " Hou Hai " ( bar area ) drink walk around lake make we feel good . 10 min taxi away hotel . definitely good choice we time would recommend friend . 
 Jun 13 2008 	 surprise Westin 	 be not Westin , would not write . , would expect bit brand like Westin . when check , thing good . however , notice someone next want change local money . gosh , reaction receptionist unthinkable . brush guest aside say many guest check busy . this morning , late ( early ) night check nightspot , soundly asleep attendant knock enter room . ok , forget put privacy sign , not little bit sensitive ? Knock enter ! first time anywhere . I lot sensitive business document . not really sleep much . leave hotel make sure privacy sign . imagine come back bed well make . people care anything customer want . oh , also , leave hotel afternoon , try luck change local money . receptionist per yesterday . say can not . . time tell shift , come back half hour later . funny . expect customer stand 30 minute change shift ? gosh . I patron Westin Paris , Shanghai even Macau . heavenly bed good thing ever experience . service always good . stay somewhere else , China , would & quot ; accepted & quot ; . honestly , not expect little Westin ? Anthony , Hong Kong 
 May 19 2008 	 truly Refreshing stay Beijing 	 newish Westin really live corporate goal offer experience renewal refreshment guest . spend couple hour airport meet friend , take taxi Beijing 's rather slow crowd street , inhale dusty fume car window would not roll , arrive Westin pleasant greeting , absence line check , complimentary ice cold herbal drink free flow next reception desk . check : check smooth , quick , friendly . counter rather small , staff seem well train efficient . story check - must three minute process , finish next stop . not miss excellent herbal drink water next counter - great place stock water day town well . room : often judge hotel bathroom , field Westin Beijing excel . bathroom spacious plenty counterspace thing bring well hotel 's rather nice ammenitie . shower bathtub frame large window beautiful city view electric blind , rather seperate , modern hotel , beside , partition rest bathroom squeaky clean glass door . toilet rather comfortable one - size - fit - all seat , partially enclose nook sink closet . bathroom two entrance - one via room , via walk closet . nice walk straight shower roomy closet bathrobe clothe . the bed comfortable , though chair business desk devine ! tempe sleep . service : service button room phone link we friendly operator able meet request quickly - everything extra bottle water change funny smell pillow case . housekeeping staff smiley pleasant well . club lounge staff fabulous , highly recommend upgrade club level spending time hotel . seem happy we , moment arrive day leave , remember name preference . suffer bit cold sore throat , 2 staff member go way , every time see , brew traditional chinese medicinal tea help problem . lounge also feature complimentary juice drink throughout day , well 2 computer internet ( free charge ) , good breakfast , delightful evening happy hour excellent wine , snack , delightful chocolate . food : surprised commitment quality Westin show come food . free flow chocolate club lounge fresh squeeze juice 1st floor breakfast buffet , food really top notch . quality though , fun . peanut butter jelly pastry , chocolately chocolate crossaint , exotic fruit dish . typical hotel food ! location : financial street ( Jin Rong Jie ) , Westin locate , quiet part Beijing , still rather central . Tian Men Square short taxi ride away , subway 15 minute walk ( Fu Xing Men Station Parkson ) , , squish crowd , get feel China institute one child policy . high end shopping mall across street , feature brand like Louis Vuitton Christian Dior , fantastic supermarket huge selection import mall 's basement . just across mall row interesting restaurant , western Asian , include TGI Friday 's , Pizza Hut , bakery two . value : go www.westin.com book hotel . rate great find great deal special offer section get particular hotel 's page . booked & quot ; Buy 2 night get 1 free & quot ; promotion , end good deal . at point , favorite hotel Beijing . combination value , quality , dedicated service , location modern comfort , one can not find much well Beijing . 
 May 12 2008 	 Westin Beijing - Great Start Vacation 	 Westin Beijing perhaps luxurious hotel . room spacious , California King - sized bed comfortable , bath decadent , appointment extravagant . bath large tub , marble spa shower rain forest shower head . beside typical hair bath gel product , complementary razor , tooth brush , shower cap , comb , mouthwash , slipper use spa robe . robe would able wrap around old provide 1½ half overlap . desk unit contain refrigerator full compliment juice , soft drink mix . another drawer chinese tea service one 's use . mini bar assort spirit another drawer contain bottle wine two glass . another section contain occidental oriental snack . the breakfast buffet varied delicious 1980 Berlin Officer 's Club Sunday Brunch , high standard indeed . goal eat oriental food entire two week minor adjustment breakfast , . begin breakfast fruit ; enjoy new item never try . Dragon Fruit , Dragon Eyes , Mango compliment pineapple , various melon , grape banana . next come Mako Salmon follow vegetable salad . we enjoy congee [ watery rice gruel bear mark resemblance porridge . variety seasoning use make congee ensure need ever become boring . Congee sweet savory ; season everything chicken mushroom . often , meat marinate add rice . ] prefer savory condiment rather sweet topping . skip western cereal , egg , bacon , meat slice , sausage sample cheese platter option . 
 May 9 2008 	 Beatiful hotel mess booking ! 	 spend 6 night two bedroom apartment residence side hotel . messy start , book apartment though www.servicedapartmentsasia.com reservation state use ' bussiness lounge ' include rate . arrive early morning night train trip Xian , tired die nice breakfast . dinner ' bussiness lounge ' , tell include rate would charge 400Y per day . long discussion manager ( not complete follow day ) tell website book make mistake could not use bussiness lounge unless pay 400Y extra per day . 6 night , could use ' resident lounge ' breakfast small selection breakfast item , nothing bussiness lounge . find disappointing trip start way not offer free use ' bussiness lounge ' state reservation . apart , great apartment , love decoration hotel atmosphere fantastic . dinner couple time ' sense ' find buffet high standard . Ann Marie kind make well make we feel welcome . but say good part spa ... since husband therapist , many different spa around world , cheap expensive . Westin 's spa definetly good decoration , service atmosphere experience , amazing , not give miss ! would definetely go back , confirm book first ! 
 May 8 2008 	 Good Business Person 's Hotel 	 spend 4 night Beijing Westin Hotel April 2008 part China Cruise/ Tour . find hotel staff exceptionally helpful . hotel part spotless except carpet room , stain . overall service good italian restaurant great . breakfast buffet superb , however , part tour group require sit & quot ; hallway & quot ; fold table stackable chair ( big turn since treat differently guest ) . Service & quot ; hallway & quot ; lack ..... & quot ; chase & quot ; wait staff get cup coffee tea ( refill ) . swimming pool tremendous , steam room staff therein . although stay pleasant would probably opt another , luxurious hotel , return Beijing . indicate 's good business person hotel . 
 Apr 29 2008 	 wonderful hotel wonderful staff ! 	 husband return 6 night stay Westin . hotel new , absolutely beautiful , helpful , gracious staff ' ve meet year . every staff member go way make we feel welcome . since husband Platinum Starwood member , upgrade Renewal Suite able use club level lounge , great breakfast happy hour buffet . wonderful stay . absolutely recommend hotel . 
