great 	 excellent hotel , good room ever ! large , modern , extremely comfortable , well equipped , perfectly clean , number small nice fancy small thing make difference ( rain shower head , video screen bathroom , electrical curtain ... ) additionally , hotel location perfect , walk distance Forbidden City Tiananmen Place . Personnel courteous really care . got access lounge , free internet access ( otherwise quite expensive , ie RMB3 per min . ) ; , great service , delicious breakfast . food restaurant , although good , seem littly pricy . fitness center recent well equip , pool large pleasant . overall , wonderful experience ! 
 Nov 3 2009 	 incredible service level .. beautiful room 	 stay Hong Kong Intercontinental , Hilton Beijing , opposite House Beijing , Shangri - La Bangkok past 24 day . free night expect typical Hilton hotel . anything . room beautiful . elegantly appoint marble floor slide wall . mirror tub turn tv . bathroom either open bedroom totally close . walk distance almost everything . restaurant excellent . sorry not stay entire time Hilton , know ? service level incredible . move another hotel ask taxi . not come within 10 minute . not good enough staff . keep apologize . tell okay . 20 minute , tell we going take we bus free charge . walk we feel awful leave warm gracious hotel . bathroom amenity Crabtree Evelyn . room quite large big deluxe room IC hotel . think room may bit large around size shangri - La room . upgrade Opposite House , not see average room . wish breakfast include . 
 Nov 2 2009 	 amazing comfort 	 great place stay business Hilton . first class way make think attend business conference . problem speak English Staff . 
 Oct 30 2009 	 amazing hotel 	 husband originally book five night end transfer Hilton Beijing hotel shut 60 year Communism celebration . happy Hilton Beijing , slightly disappointed not get full five night incredible hotel . new clean modern . room huge ( standard room ) super king bed , flat screen tv dvd . bathroom lovely separate shower shower ( Grohe fitting ) .Breakfast good hotel breakfast ' ve ever . huge variety lovely setting . staff incredibly , incredibly helpful friendly . go beyond 's require make sure be happy . good standard English . location close metro station Tiananmen Square , Forbidden City etc . shopping centre chain store locate one minute walk away ( include really good supermarket ) . 
 Oct 27 2009 	 really great 	 ' ve chouse hotel due many accolade Trip Advisor 's user . well , Trip Advisor user correct . truly exceptional hotel , provide excellent value money . approximately $ 180 per day ( early purchase order without refund ) , get huge magnificent room 7th floor ( describe user ) . add , price include free access executive lounge , get rich luxurious breakfast generous evening refreshment ( 6 - 8:30 pm ) , certainly use substitute dinner . team professional , courteous , speak English happy assist . two small fault , change general impression : 1 ) acoustic insulation room need improvement ( significant noise shower adjacent room ) . 2 ) pay browse internet room ( free use executive lounge , computer laptop ) . conclusion : delightful experience . highly recommend . 
 Oct 23 2009 	 comfortable superb location 	 Hilton wangfuje superb location couple block north wangfuje metro station one main shopping street short distance Tiananmen Square . little hard find on - foot , back street part Macau Centre behind Sun Dong'an Plaza mall ( Nike Store ) .The lobby small staff fine - although ask assistance travel city , struggle bit translate location English script Mandarin . room exceptional - huge comfortable bed , sofa , desk , amenity ( toiletry , coffee / tea , safe , iron , tissue etc ) , luxurious bathroom standalone bath slide wall open entirely bedroom . breakfast comprehensive service excellent . overall , room quality central location win day hotel . impressive . 
 Oct 21 2009 	 Location Face - Saver 	 stay 5 night . small lobby dark cold ( confuse cozy ) . one night fire place go , atmosphere suitable haloween party . concierge attentive provide we detail regard restaurant booking . never get use smoke - glass partition bathroom . Hilton Wangfujing , hotels glassy setup . floor shower stall dirty slippery water leak shower door use . carpet area also filthy need good shampoo . furniture scandinavian hybrid , Ikea cheapo . despite large flat screen tv one touch curtain opener , room 5 * pretender feel , fake merchandise sell Wangfujing Street . price buffet breakfast world , 250RMB / person standard fair . kid ? executive lounge penthouse serve food drink . never find serve stay executive room . despite construction surround hotel , close Wangfujing Street , Forbidden City , Tiananmen Square , NCPA etc . value location , might hotel , forget buffet breakfast unless include hotel rate . 
 Oct 19 2009 	 Amazing room 	 stay standard King deluxe impress size room , walk wardrobe toilet seperate room housing tub / shower area . value luxury standard room easily beat equivalent Westin , shangri - las Grand Hyatt Beijing . everything also new since hotel open year . con location front entrance side street overlook construction . many taxi driver also know hotel get confused old Hilton 3rd ring road . also lack free internet ( shangri - la hotel offer ) drag . 
 oct 4 2009 	 good city hotel money ! 	 wife stay Hilton Beijing wangfuje 8 night September get good feel hotel . check flawless even receive upgrade tell we room category book . give free upgrade high room category , offer access executive lounge approximately $ 44 US per day two we . value option probably depend individual . us happy offer . lounge computer internet access , free buffet breakfast include omelet station , afternoon tea dessert , well two hour drink appetizer evening . pro con Hilton : Pros - the room clean , spacious , bed comfortable - the location outstanding - the staff friendly , especially woman executive lounge 16th floor . -The indoor pool area beautiful ' go in - the fitness center small well equip clean - although pricey China standard , great value uscon - although location outstanding , get taxi sometimes challenge due placement entrance hotel ( opposite side busy Wangfujing Street ) -No casual restaurant vegetarian choice -minor dvd player not work , one tried replace not either , use small portable one love visit Beijing . base review Trip Advisor ' forum , hire chinese Qing tour guide three different day . wife always believe guide help enhance experience , especially country ' speak language . qe informative , professional , courteous . Qing take we major attraction want see , never pressure we shopping store want pick . fact , give we tip buying go follow day . one note , Temple Heaven park early weekend . fun see activity park . Qing also show we get great massage like $ 15 US hour 10 minute walk Hilton . not typical spa type atmosphere wife agree actual massage well ever . like firm massage , blind therapist really work muscle good . Qing 's e - mail address [ -- ] . private message would like info . one piece advice receive trip advisor ' pan . people say print name hotel ' address Chinese give taxi driver . three different time , driver ' read direction ' read glass several time ' know even read direction . get back hotel basically say wangfuje direct get close generate laugh end . second , hotel new like say , location entrance confuse people , come handy phone # wherever go well since call talk someone speak language . finally , time give cabby direction restaurant , let still near needed go , ' know cab . tell addresses restaurants street name without exact address . plus tell lot cab driver live far outside city ' know well . one restaurant would recommend Sichuan restaurant top floor mall adjacent hotel . fry rice , noodle , seasoned potato great ! Jinshanling - Simatai Great Wall tour / hike , zip line end . afraid height , glad . rush ! overall , thoroughly enjoy stay wangfuje Hilton next time visit Beijing would return sure . 
 Sep 26 2009 	 surprisingly great hotel gem location 	 would not normally book Hilton 's hotel chain ' ve ever feel urge use hotel year old 's absolutely amazing . the location second none - little side street behind wangfuje main shopping area mall great little supermarket call & quot ; Ole & quot ; also starbuck , Pizza Hut load food outlet good know not get well food China . the room huge ... 3 tv ( one bath / shower room ) , walk wardrobe , 2 sink bathroom , separate shower , desk area , living area massively comfortable bed 5 pillow . the service outstanding . everyone speak good English be really helpful friendly . we not get breakfast room try restaurant 5th floor serve excellent food . chinese restaurant not price - drink cost food ! - European / Macau restaurant price would expect 5 star hotel . gym / spa : fairly small gym one clean modern enough equipment comfortably 10 people work time . not try spa pool exquisite . I guess slight negative could mention would pay £ 10 day broadband internet although free wireless lobby . all , truly wonderful hotel would love stay one would not hesitate recommend . 
 Sep 22 2009 	 Amazing Stay Service close everything ! ! 	 beautiful new wife return honeymoon stay Beijing Wangfujing . wow ! ! ! little worried may feel little bit like odd man , however staff ; doormen admin staff concierge , way clean second none- feel comfortable surronding look forward return little home away home every evening . other review correct- taxi know hotel , although official address wangfuje Lu , actually block east bloc north , taxi often confused- however taxi guy get fluster , say wangfuje Lu , hop top enjoy short stroll hotel . we instantly upgrade suite arrival , wait room massive chocolate cake , concierge set ipod ( yes , room ipod dock 's ipod shuffle ) , first hour spend enjoy Celine Dion ( enjoy Celine Dion , mean plug ipod crank Nirvana ) , overlook beautiful view . we floor 9 believe , music construction noise- altough worksite seem motion 24/7- testament fact China hard work dedicated nation . the room plenty spacey everything could need- whilst mini bar course ridiculously price would expect- drink mini bar dry stocked supermarket directly across road Jinbao Jie , able restock bar entirely cost one hotel 's can coke ! ! ! every step way , every staff friendly always greet & quot ; Mr Mrs & quot ; make honeymoon special time indeed- constantly cngratulate staff genuinely excite we . location perfect- short 1 km walk forbid city/ Tiananmen Square . 1 minute jump Beijing 's premiere shopping street , little hour walk great wall badale . there plenty street food nearby , course obligatory McDonald 's , KFC , starbuck commerical franchise try avoid come China first place- say , little choice decent coffee , find early morning KFC run scratch caffeine itch . and finally importantly , must let little secret- one Beijing 's great Peking Duck restaurant remian hide virtually unknown- right HOTEL : last night Beijing decide celebrate one week anniversary introduce wife & quot ; real & quot ; peke duck . live China English teacher always rave real chinese food oppose often westernise chinese restaurant home Australia . read many positive review & quot ; Quan Ju De & quot ; duck restarurant Beijing , head wangfuje Lu romantic dinner- restaurant main street look beautiful front get dress traverse stairs restaurant ... shock upon realistaion stair entrance clean part restaurant- floor filthy , staff unattentive disintereste strange smell place- still keep open mind China sit down- look menu minute rather excited pleasant dinner , whilst harbour doubt , point waitress arrive dirty western cutlery hand , cough chunky sound gurgle DIRECTLY onto cutlery place front us- wait leave scoot there . Heartbroken may miss special meal , decide regroup hotel , go downstairs Hilton 's & quot ; Chynna & quot ; Restaurant- find indeed serve Peking Duck , give hour 's notice require prepare , come back restaurant enjoy dinner . it 9 clock Sunday night people restaurant- staff check computer see honeymooning , hat set candlelit booth us- wife order nice rise champagne massive wine list proudly present bottle eat incredible meal ever . ever.the chef come carve duck table , incredible . also order dumpling , rice bit piece , agree service , food , set night perfect . meal , full duck , several main course bottle French Champagne around 600 rmb , 100 buck AUD 70 usd . instead wade review Quan Ju De , make sure realise franchise part own chinese government , not exactly averse manicure treasures- whilst set say restaurant & quot ; authentic & quot ; & quot ; real China & quot ; cliche hear travel agent local expats- amount money enjoy world class cuisine Chynna , Hilton Wangfujing . the good hotel ever stay . period . 
 Sep 21 2009 	 20+trips China far good hotel ' ve stay ! 	 title say , ' ve China lot - 2 dozen trip last 20 year . business trip , wife add day vacation trip . pick hotel base review , could please ! other say , taxi driver tend know hotel . know wanfujing , hotel year old , face away main street , trouble find . not speak Mandarin know way around , would help write direction hand taxi driver . get hotel , take card concierge direction back hotel . the service bellman , front desk , everyone see wonderful ! weird thing apparently entire staff wear match t - shirt Fridays team building exercise . look little casual , service not suffer . the important thing - room ! room large ! actual bedroom part normal sized , desk / sit area add size , bathroom area huge , tub separate shower . bed comfortable ! anyone China attest bed , know nice ! two tv room - one bedroom , small one watch tub , sink . electric curtain nice touch , ! people comment openness bathroom . hide slide door use give little privacy anyone else room . place might privacy glass wall shower water closet . the closet walk - in ( walk ) closet large hotel room ' ve ever stay . place hang clothe , drawer , shelf , room couple suitcase , large safe ( roomy enough two laptop ) . closet entire room use mirror well make room seem even large be . the pool gorgeous , ! never use , since busy - 's much else see Beijing ! spa exercise room nice . also nice garden area roof outside pool . we stay executive floor , calculate upgrade . yes , be expensive , include access executive lounge , worth difference . breakfast buffet upstairs every bit nice downstairs , include everything large buffet , small quantity . evening , free hor d'oeuvres cocktail - enough make meal ( food , drink ! ) . day lounge open coffee , tea , soft drink . also , internet room additional charge , wi - fi lounge free day . lounge well worth extra money , especially be one room . speak money , able get good rate planning ahead week use pre - pay option Hilton website . buy one night get one night free deal , room less expensive bad hotel . way back town stay one additional night normal rate , still worth money . Rambo everyone else concierge desk helpful arranging tour , give direction , etc . upscale mall door block right . continue straight mall will find Wangfujing , nice pedestrian shopping mall . want shop cheap good , get taxi Silk Market area well shop . I ' m sure ' ve forget something , be much . question , please let know . recommend hotel highly enough - 's good hotel ' ve stay China , be close top list good hotel ' ve stay world ! 
 Sep 17 2009 	 Excellent Hotel Excellent Location 	 write lengthy review , , lose could not remember TripAdvisor password . ouch ! therefore , review noticeably short . briefly , excellent new hotel , excellent location , helpful english speaking staff ... highly recommend . relatively new Director Operations , Philippos Arghirides , meet chance one evening Executive Lounge , really understand required meet customer expectation appear work hard ! FYI , Beijing , taxis quite reasonable , i.e. , approx . $ 20 airport , $ 12 less take almost place interest Beijing , subway extremely inexpensive , clean , safe interesting .... approximately 30 cent one way , regardless distance . try they . encounter English speak taxi driver , Mr. . helpful ; interesting fellow . might call least pre arrange trip airport hotel : tel . . [ -- ] . taxi driver speak English good idea least direction , write chinese hand driver , arrive airport . 
 Sep 7 2009 	 simply amazing ! 	 stay Hilton Beijing Wangfujing August 7 night . originally book another hotel , switch HBW 2 - for-1 sale . say regret make switch ! hotel design scandinavian style . might find bit cold , spouse like lot ! service hotel check - in check - out well ever . staff hotel really helpful nice . I book deluxe plus room . room 7th floor really specious modern . 3 tv : ( 8 english - speak channel ) , wonderful motorize black - out curtain , huge king - size bed , walk closet safe , two sink ... rain shower unbelievable ! wish one home ! not know fuss bathroom many comment . could close rest room use slide door . problem light switch ( nightstand ) . air - con work really well , although bit cold begin learn use couple day , good . the hotel also 24 - hour gym ( bit smallish side ) , pool glass windows & quot ; garden & quot ; ( grass patio 6th floor ) . breakfast nice . nothing special compare similarly price hotel . selection wide food taste good . , expect . the staff , say early , helpful friendly . be important , ( not know cleaner ) speak English . concierge hotel entrance help get cab tell go driver want we . also get business - card hotel address hotel show taxi - driver go hotel . Taxi drive airport hotel cost 85 rmb . driver find hotel easily . I warmly recommend hotel ! 
 Sep 2 2009 	 ok fantastic 	 stay hotel 4 night 17 20 July . first two night stay room 6th floor , keep awake noise nightclub 5th floor . complain second night inform hotel fully book could assist . morning 3rd day move high floor thing well . understand top - class hotel inconvenience guest nightclub blare around 1am – something would expect world - class hotel . issue , stay fine . food good , restaurant selection fine . appreciate design room , i.e . toilet specifically private rest room ( wonder design way ? ) , Aletta enjoy bath middle bathroom visible rest room . purple duck arrival nice touch ( two since change room ) . area around hotel construction site – really suit nice hotel like , though impact construction noise . concierge staff front desk taxi stand helpful respect – speak good English , unlike place around China visit . we find pool quite cold – would prefer warm . do fool taxi driver airport ask usd 100 – cost around RMB 100 ( around USD 18 ) airport . all bad trip Hilton Hotel Wangfujing – make sure ask room high floor avoid nightclub . reason give overall rating average , otherwise would go one rating higher . 
 Sep 1 2009 	 amazing stay ! 	 spend two night Hilton Wangfujing . originally book Deluxe room 2 - for-1 offer upgrade suite available Deluxe room check in . the room amazing . big spacious hotel room ever see , comfortable bed pillow , well - stock minibar , huge LCD tv , dvd player ( free dvd rental ) rain shower bathtub ... need say ? issue address amount light switch room . quite struggle try switch on / off light want . service good expect hotel caliber , staff happy oblige request . location perfect , short walk wangfuje shopping area Tiananmen Square , really useful try catch flag raising morning . breakfast good , wide selection freshly squeeze juice . in , really enjoyable stay , definitely first choice next time Beijing . 
 Aug 26 2009 	 simply divine 	 spend week two young child . wonderful hotel - doubt . book deluxe plus room 2 1 special cost AU $ 150 / night include breakfast , could not believe fortune . supply rollaway one child , sleep one couch still plenty floor space . clawfoot tub gorgeous , bed one comfortable ever sleep . staff gorgeous , sweet helpful . fantastic time . love APN mall opposite , make shopping eating want still jet - lag easy . Beijing Hilton deserve accolade get would recommend hotel anyone stay Beijing . 
 Aug 25 2009 	 good hotel beijing ! ! ! 	 hotel perfect . the service awesome , room almost perfect , enormous great view , swimming pool great perfect view bed relax . it good buffet breakfast ever taste , great variety excellent detail f¡orange juice freshly squeeze , chinese japanese brekafast .... hotel perfect locate near major turistic attraction ... good Hilton allt world . it must travel leiusre top 500 hotel ! ! ! 
 Aug 24 2009 	 Amazing ! not want go home ! 	 get back Hilton Wangfujing . new service outstanding . soon walk hotel , smell like flowery perfume ... even elevator ! staff helpful child ( carry stroller , give snack be cranky ) concierge helpful come direction , sightseeing shopping . rent free DVD 's 4 am bc kids jetlagge . great selection . pool little cold big deal . see construction outside never bother . not loud use see lot construction around area . hotel still new taxi driver little trouble find hotel give business card map help . eat breakfast buffet Vasco 's good .... fresh squeeze juice , fresh fruit , dumple / noodle station much . also eat Vasco 's Lobster buffet reasonable ( $ 25pp ) . lobster different kind marinade spice , lobster salad , etc . also grill marinated beef , lamb , chicken , pork . lounge next door also live music play good . end stay , really surprised bill less anticipate . also , room amazing .... modern decor lot space . give pillow menu , 2 bottle water day , great minibar ... kid love play curtain - press button , go up / down side side . extend family get upgrade room even well spacious . love feel like vip time .... even kid . sometimes kid , be difficult noisy annoy other staff truly make stay wonderful good child . also , husband go go see Great Wall taxi expect cost $ 100 US concierge come outside we negotiate price never even ask ! think nice .... location excellent . right near Night market see scorpion cook . wangfuje area place ! go XiuShui market shopping ... 's 10 minute drive . say anything bad place .... hope go back soon ! ! 
 Aug 23 2009 	 Great Hotel great location 	 really enjoy stay hotel . room large , modern , clean , comfortable . staff , pleasant helpful , offer great service . breakfast include room choice quality food excellent ( chinese , japanese , western ) . pool beautiful room water temperature little cold use . location hotel really nice , close Forbidden City Tienanmen Square ( 15 min . walk ) wangfuje road shopping teen . also Hutongs around 's really nice walk taste & quot ; traditionnal & quot ; chinese lifestyle . shopping mall within two minute walk hotel surprisingly , 6th floor , good chinese restaurant . course Hilton , even locate old part Beijing , american style comfort go . look charm typical chinese hotel , choose go elsewhere . Hilton , construction around . noisy seem construction everywhere ( ' ve Shanghai Hong Kong ) obviously kill view .... can not stop progress guess . 
 Aug 22 2009 	 Presidential Suite ! 	 book Premier suite communicate another room child Hilton Beijing Wangfujing ( 6 night August 09 ) .Upon arrival , tell suite available & quot ; technical reason & quot ; , suite ( communicating room ) available . and guess : upgrade presidential suite ( together communicating room ) : 257m²-2766 sq.ft , 16th . floor , 180 ° view city , fully equip kitchen , din area living room , huge round bed , jacuzzi , Bose surround , etc . , etc . , etcApart & quot ; special upgrade & quot ; ( Diamond ) , Hilton absolutely perfect : * top location bor shopping cultural visit * beatiful design * friendly staff * nice swimming - poolOn bad side : * noise construction nearby * small gymI come back , also standart room ! 
 Aug 20 2009 	 Review travel professional 	 stay hotel 3 night . purely choose hotel base Tripadvisor review . excellent choice . HH Gold member get straight away upgrade executive floor . room one good hotel room ever stay . location hotel fantastic , next main shopping area walk distance Forbidden City . first time come Beijing ' comparison , believe definitely must one good hotel stay business leisure Beijing . 
 Aug 15 2009 	 great hotel ( price matter ) 	 review base fact take advantage hotel pursuant 2 1 promotion Hilton run Asia . room might otherwise pricey . this well run hotel great location . 5 minute walk wangfuje street , 10 minute walk oriental Plaza / the Wangfujin metro stop oriental Plaza , 15 minute walk Dongdan metro stop . business center provide good service concierge desk , though communication problem time time ( though nothing english language ) . definitely want take advantage hotel 's limousine service go to / from Beijing capital airport cost remotely close taxi ( budget conscious whatever reason ) .Our hotel room quite spacious , attractive , full featured . amenity nice , . construction go next hotel , noise disrupt stay way . go hotel within next 6 - 12 month , may wish request room away construction . hotel nice health club well indoor pool evoke memory 1930s give way furnished . we use hotel restaurant ( scan menus show expensive , though food option seem interesting ) , breakfast restaurant part free breakfast include room rate . service quite uneven , food selection impressive western , chinese , japanese , cuisine offer . there mall southwest hotel ( 2 minute walk almost due west ) . run Sun Hun Kai propertie H.K. , though name . worth visit ) good & quot ; food court & quot ; top floor , b ) movie theatre , c ) number choice beyond usual Louis Vuitton shpos populate high - end mall Beijing . 
 Aug 10 2009 	 Fantastic ! 	 return 11 night stay Hilton boyfriend . absolutely fantastic hotel superb location . main Wangfujing shop street outside hotel ( APM mall also great shop place eat ) . Forbidden City Tiananmen Square within 10 min walk hotel . hotel staff amazing receive first class service throughout stay . stay executive lifestyle suite beautiful absolutely huge ! executive lounge lovely place escape hustle bustle relax afternoon tea cocktail canapés evening . breakfast also extensive serve 11 am . hotel also 2 restaurant bar 5th floor excellent reasonably price Hilton . spa also worth visit . hotel everything need situate great place explore Beijing . would definitely recommend anyone ! 
 Aug 7 2009 	 HIGHLY recommend hotel 	 new hotel excellent location . room fabulous ( true pic ) , breakfast extensive staff incredible . decor modern , sleek clean looking , chic . room comfortable spacious . you walk Tienaman Square Forbidden City . also step away wangfuje street shopping market . taxis ready waiting take ever else need go ... common site far . furthest Olympic Village ... would bit anywhere central Beijing . two subway stop couple block away subway easy use ... sign instruction ticket machine English . highly recommend go restaurant call & quot ; PAPER & quot ; take look website understand . trendy , contemporary chinese restaurant , whose food excellent . pre fixe dinner pretty flexible let we say not eat come selection base . favor go . 
 Aug 6 2009 	 absolutely good Hotel Beijing hand ! 	 partner stay towards end July 2009 , sadly 2 night , love every minute stay . first , hotel locate close many popular tourist site , wangfuje street , Tiannamen Square , forbidden city , etc ... extremely clean , beautifully decorate , wonderful , comfortable room . pool beautiful - highly recommend . staff extremely kind , friendly , helpful anything need help , whether get direction site , make reservation restaurant , late check - out early check - in , etc ... really can not say enough much enjoy stay ! good part stay hotel all - inclusive breakfast , include room cost . breakfast amazing . buffet - style , cater kind culture - asian breakfast , western breakfast , cereal oatmeal , ton fresh fruit , egg make way want , cheese , bread cold cut , delicious freshly squeeze orange juice , ( go ! ) . needless say , would highly recommend place anyone travel Beijing . 
 Aug 4 2009 	 great lounge great hotel 	 stay girlfriend week July . this probably good Hilton stayed ever try . thank 2 1 offer , book executive suite 1.500 rmb pr night . suite 7th floor great . everyhte super shape , new big , even suite . bad thing view lack view . many english channel 3 tv 's room . the executive lounge 16 floor great . breakfast include roomrate , breakfast lounge every morning . talk breakfast normal restaurant , could not see could get there . we also spend several evening lounge sit read talk enjoy service friendly staff . afternoon afternoon tea lot cake evening light snack , include hot meal , dinner evening , walk much day . one tip use free wireless network lounge instead pay room . fintness room normal not try pool spa . not try restaurant hotel , look nice probably expensive used & quot ; breakfast room & quot ; price guidance . the staff friendly everywhere help question . the hotel min walk wangfuje street , took often walk evening watch life people there . if ' m go back Beijing stay Hilton Wangfujing , sure . 
