trendy 	 hotel well romantic getaway type deal . would give 4 star loud crack noise heating system . regular rate $ 200 + petite , overprice unless get upgrade queen large . sleek , dark , masculine , modern / trendy style 's . be classic , warmth , coziness , try something else . excellent location . get special deal hotels.com last minute . upgrade queen room terrace , awesome , probably worth money ( ~ $ 160 ) . also let check 2 hour early . look dark , masculine , romantic . television behind mirror , nice entertainment system . nice bath product , sexy bathroom set ( dark wall , mirror wall , etc . ) would suit people 's taste , 's modern & quot ; cold & quot ; . staff helpful , friendly . loud crack / drilling noise tell due heating generator . turn heat get rid noise . order room service breakfast neither generous tasty . give cookie , nice . overall , would say good young , trendy set 's look weekend away together . like bathroom . would pay $ 200 stay - price , could find something nice . 
 Sep 2 2009 	 Disappointing 	 location - central . reception - lot attitude staff , like BOUTIQUE hotel ! say right thing issue concern , enough willingness pass acceptable . room - well appoint . dark color poor lighting - wife difficulty put makeup . bed good . change room night 2 , well . end sleep couch ! Fitness Center - pay $ 20 per day utilize ... sure site disclose book time ? pay fitness club list amenity . another let ! 
 Aug 28 2009 	 Dark poky . well ` ` boutique '' hotel NY 	 good location , hotel dark poky worth money . air conditioning room loud become annoying . like glorify youth hostel . 
 Aug 12 2009 	 Good Location great service style 	 travel NY frequently business . see City Club good rate online book need hotel centrally locate restaurant onsite meeting . really please witht service . room comfortable- queen sized bed , great bath amenity , fast wireless internet access . restaurant good . bed really comfortable fresh cookie greet get back room night could beat . service good- staff always greet come bellstaff always open door . stay recommend colleague . 
 Jun 16 2009 	 well locate good service young staff 	 ' m positive hotel mainly get good deal Expedia , upgrade check . $ 200 , get spacious ( NYC standard ) room cool hotel 's perfectly locate sightseeing . can not beat ! hotel 's location West 44th St. great -- near action Times Square hectic . staff front desk look like not yet graduate college among efficient professional ' ve encounter . DB Moderne , one NY 's good mid - price restaurant , reach hotel lobby , even put restaurant tab hotel bill ( although two business separate ) , one amusing thing room decor try camouflage thing . front desk neglect tell tv behind painting ( wherever ) , would never find . think first closet , realize cleverly hide wallpaper . there thing not care . room second floor face street not soundproof . shower curtain not keep water splashing floor . but negative think . snag deal hotel , mean , stay ! 
 Jun 12 2009 	 small room 	 read early review like ' Loveslife ' ( review may 13 ) also book room hotwire expect nice 4 star hotel room -- yes also get deal -- arrive learn room could petite room double bed . room fine furnishing etc give size window brick wall claustraphobic . unfortunately unlike ' Loveslife ' , two person ! room move space put suitcase ( end put floor shower ) . furthermore room not fridge safe . indeed likely large room nice location great . know book price right not mind closet -- even nice closet -it worth . ( many thank ' Loveslife ' ) 
 May 25 2009 	 little forethought 	 City Club 55 west 44th street great location , good deal cost wise , small sufficient room , exceptionally clean room building , friendly knowledgeable front desk team , confortable bed ( lead expect review ) order breakfast room service two catch one chair room . someone picnic bed . addition order two different kind tea one insulated carafe use coffee frequently still ' stain ' coffee residue . opended one think order misread send one coffee one tea . even give pot tea bit coffee flavor . really picky thing admit discourage stayte City Club . ideal night 's rest theater . 
 may 13 2009 	 careful size room book 	 book room hotwire expect nice 4 star hotel room -- yes get deal -- arrive learn room could petite room double bed . room fine furnishing etc give size window brick wall claustraphobic . least good alone . guess large room nice location great . know book price right not mind closet -- even nice closet -it worth . 
 Apr 28 2009 	 Fantastic Hotel Perfect Location ! 	 one place family five stay . clean & amp ; room large NYC ! service great ! everyone friendly & amp ; helpful ! would highly recommend stay ( actually already family : ) & gt ; 
 Apr 5 2009 	 little gem heart city 	 exceptional place stay first disembarked cab upon arrival till hold door open us depart . service every member staff fantastic short stay end first name basis number . request meet politeness efficiency . room decent size NYC ( esp price ) location could ideal term proximity subway numerous site interest . Loved tv tuck away bed day sit area super comfortable . bathroom stock fine toiletry everything clean well appoint . my husband breakfast restaurant downstair everything tasty . room feel quiet city 2 lane street -- traffic noise nothing prevent pleasant stay . would definitely stay room comfortable nice mostly service outstanding . 
 Mar 9 2009 	 Exceptional Service 	 amazing hotel situate center Manhattan . moment step lobby time check , service staff incredible . stay King Luxe room incredibly spacious smartly appoint . room day bed look 44th street tv behind full length mirror ! creative use space . favorite part room oversize chocolate marble bathroom . rate include complimentary wifi , pass New York Sports Club discount parking across parking garage across street . leave hotel 's restaurant one Daniel Boulud 's ! able order fantastic french continental breakfast morning follow pre - theatre dinner later night . over fantastic experience City Club ! regret unable stay long ! ! 
 Mar 8 2009 	 great location environment 	 ' m still laugh comment regard lack tv room . tv behind glass wall - 's , be not . anyhow , stay numerous time hotel since first open , be theatre - goer , one amazing location . Red Flame diner door gem , plus DB Moderne one good restaurant NYC . love stay hotel . 
 Mar 4 2009 	 beautiful stylish design good restaurant Times Square area . 	 love boutique hotel one good block near Times Square . could easily go theater walk Fifth Avenue Rockefeller center shopping . design amazing - oversized marble bathroom television ingeniously hide behind two - way mirror control point remote full length mirror . room service Daniel Boulud DB Bistro Restaurant perfect french breakfast enjoy famous ( although expensive - $ 30 ) foie gras truffle hamburger . service extremely helpful friendly - Emanuel front desk arrange theater ticket us dinner reservation difficult get restaurant . overall great stay recommend hotel ! 
 Feb 18 2009 	 horrible experience will not back 	 hotel absolutely terrible ! ! ! one night stay Valentine 's day . never NYC , excited stay . get queen luxe room extremely disappointed . fiancé open window shade huge brick wall view . notice not even tv room even though say & quot ; premium channel guest room include HBO & quot ; offer DVD library choose . however , dvd player closet ( not know suppose watch ) . anyway , lack tv not really matter much we since one night not room much . it hard sleep night . could hear every noise hall people 's room cover heating unit keep fall wall . then top experience notice credit card extra charge $ 30.00 . call hotel tell bag potato chip , small bottle spirit , half bottle red wine . explain Emanuel never even touch mini bar . guess thought eat chip drink watch nonexistent tv stare brick wall . overall experience awful try rip we ! ! ! 
 Jan 21 2009 	 Perfect Getaway 	 City Club provide perfect set recent romantic getaway New York . allow check 3 hour early ... staff service excellent ... discount garage parking across street ... room large expect boutique hotel ... room bathroom clean ... trendy , modern decor throughout ... free internet access free computer use second floor lounge . restaurant next door suppose amazing ... however do not eat , b / c want explore part city.while might turn & quot ; dark & quot ; feel throughout hotel ( dim lighting , dark - earth tone bathroom , etc ... ) think add experience . big drawback view brick wall bathroom small ample . however , not room much ( New York ) not really bother we all.by far , hotel 's great asset location . nestle right 6th 5th avenue , block away Times Square , Rockefeller Center Empire State Building , time hop cab explore greenwhich village financial district.we would stay City Club heartbeat ... 
 Dec 5 2008 	 great experience 	 book place mainly base location . its beat path Times Square , still walk distance . want nice place help celebrate dear friend birthday . I arrive early check , drop stuff . room not ready . go brunch call soon room available . upon get room , room small . well lay , not seem small least . effiicient use space . the upscale bathroom amentie friend & quot ; fighting & quot ; . since birthday , get they . between show , greet amazing tasty cookie wait we room . after 2nd Broadway show see , go back room freshenup hit club . combination walk around comfy comfy bed , call night . shame next time come back , definfately stay long time ! 
 Nov 14 2008 	 Nice hotel 	 find hotel thank New York city guide Belgian Newspaper . review hotel really good decide try disappoint . staff helpful friendly . the room nice big enough bathroom large already say previous review closet could big AC less noisy ( really noisy able sleep ) . location also perfect . visit trip foot able find good restaurant night within walking distance . use Zagat restaurant guide find room . however good dinner DB Bistro . service food perfect . one negative remark hotel absence comfortable bar enjoy drink dinner relax comfortable atmosphere long day . first night go DB bistro ( suggest website ) 5 pm place full people dinner . go elsewhere night . anyway look comfortable , small hotel great service , place . 
 Oct 26 2008 	 Great Beds 	 book hotel Quickbook last minute . often quick NYC get - a - way get reasonable last minute rate . stay many NYC boutique hotel include 6 Columbus , Benjamin , Hotel Giraffe , Muse etc ... definitely add City Club list . book queen availability , meet request quiet room upgrade we king additional cost . also meet request later check 1 . many great restaurant near dinner Triumph next door Iroquois Hotel nice . ' m sure hotel restaurant nice quite pricey . fabulous location enable we walk Central Park one day walk home Soho night . pleasurable round experience , can not complain thing ! 
 Jul 14 2008 	 Love love love hotel 	 wonderful , fantastic place stay NYC ! friendly , yet professional staff go way make sure happy . room fabulous , super comfortable , luxurious well , perfect . 's small intimate beat choice 50 's & amp ; Broadway mile . grace , luxury class chain luxury hotel , none pretense . location perfect . step away theatre several amazing bistro / restaurant feel like neighborhood place , outside door . will not stay anywhere else city . 
 May 30 2008 	 effort 	 City Club small boutique hotel great central location midtown Manhattan . staff helpful accommodating . room little small side view ( surprising Manhattan ) . fabric wallpaper show lilttle wear tear , room clean . bathroom great good quality soap shampoo ; water pressure shower would blow block ! hotel quiet room black - out shade great sleeping . turn service come killer chocolate chip cookie . staff recommend restaurant next door , DB Bistro Moderne , lunch - terrific . there large fitness club door guest complimentary access . only real complaint hotel despite property non - smoking hotel , room reek smoke . suspect fabric wallpaper , smell difficult get , off - putting . room rate competitive hotel 's class . get much well rate Expedia offer call hotel directly . overall , would definitely stay . 
 May 28 2008 	 Hip Quiet Relaxing . perfect business . 	 travel frequently business stay many hotel NYC . find come back time time . room quite large NYC standard , well appoint , quiet . bathroom among good hotel stay . room service db Bistro likely well find hotel ( albeit bit pricy ) . clean staff never knock intrude - seem 6th sense come clean . one tip request room front hotel . give well daylight , nice view W. 44th , expense traffic noise . 
 may 20 2008 	 Perfect spot 	 book hotel surprise trip New York boyfriend 's 40th birthday . choose location 's technology look right street , plus bed look huge sumptuous . a nice touch tv hide behind mirror cd player create abience . the downside view ... not one . seeing not spend much time anyway , not complain . great spot get around Manhatten 's literally around corner Times Square . be also great little diner door staff recommend . can not remember name eat breakfast morning - delicious ! one minor issue whilst stay , 24 hour room service . try order food 2:00 staff fulfill go bed hungry . plus juice mini fridge well past 's sell date . however , tell go buy we back big carton Tropicana , happy . 
 May 3 2008 	 Pleasant botique 	 pro : great location tourist , parking garage across street , well - appoint simple room big nice bed , moody lighting , black marble bathroom nice toiletry , turndown service cookie ( nice touch ) , complimentary dvd borrow , surprisingly good - sized room ( New York standard ) .cons : room poor view , closet small ( really much different hotel ) , poor writing desk , television great angle ( ' m really stretch negative ) .would definitely stay . nice gay - friendly hotel . 
 Apr 26 2008 	 middle battle - field ! 	 terrible stay hotel , want check review hotel write user , really surprise other good experience . could possible ? ? ? NYC two day business rather busy schedule . stay City Club two night . able sleep night either night ruin trip . at first , impressed design hotel . room ( # 305 ) stylish clean . real story start mid - night huge AC noise next building wake . 2 , thought get really tired , able go sleep despite noise . however , not able go sleep 4 . call front desk ask check window open AC noise huge . stop check window . close . switch another room 6th floor ( # 602 ) . warm room . also similar kind AC noise although loud previous room . figure must turn room AC cool air would create noise . therefore , stop front desk ask switch another room . switch room # 202 face front street 4:30 . able go sleep despite grow traffic noise nearly bad AC noise . then expect second night relatively peaceful . however , completely wrong ! 1:30 , work truck stop front building engine run people talk least half hour . feel like construction project go . crew leave , feel relieved would not expect another construction project come back one night ! 3:30 , another work truck stop front building engine run people talk . I call front desk ask many construction project go middle night . front desk tell garbage truck collect garbage . one show 1:30 collect trash hotel right across street . one show 3:30 collect trash hotel . Reason know night move room 4:30 struggle night night ! summary , able sleep battle field ( instance , soldier Iraq get use sleeping war ) , hotel . however , sensitive human , would well stay away hotel ! 
 Mar 25 2008 	 true definition hip boutique hotel wonderful location 	 price mind , hotel spectacular ! lot hotel spend thousand snazzy lobby shabby room , City Club Hotel something ordinary . 's simple small lobby check - in , adjacent excellent restaurant , room elegant dramatic ! ipod alarm clock , marble bathroom , Hermes bath amenity , extremely comfortable bed free business computer 2nd floor make stay enjoyable ! lobby light airy ; contrast , room quite dark masculine , still comfy . would recommend stay business , focused mood lighting , desk work station . want quiet corner NYC step away Times Sq , need stay . staff accomodate helpful . 
 Feb 2 2008 	 truly lovely small hotel 	 hour hour search nice , quiet hoteldure holiday season NYC , find gem incity Club Hotel . room perfect , bathroomsso up - to - date hip , staff among bestwe ' ve encounter . assistant g.m . attentive andgenerous time , front desk people delightful , doorman make day . small thingscan make trip worthwhile . find acoffee & quot ; addict & quot ; make sure new coffeemaker myroom supply . restaurant attach hotel isbeautiful , although eat five day . order bagel lox 24hr menu late one night ! P.S . wonderful bed linen . 
 Dec 6 2007 	 great location ! otherwise mediocre 	 plusse : - excellent location - walk everything Midtown- block Algonquin Hotel , Iriquois , Harvard Club , New York Yacht Club- near Times Square 's want- easy walk Rockefeller Center- friendly staff call name time- superb beds- 2 so - so cookie pillow night- open window get room overlook 44th street -- listen Times Square noise- yes , wireless -- one public computer second floornegative : - typically run late want check . may wait hour second floor.- noisey - jack hammer start nearby 7 am & amp ; go day- clothe closet bedroom 2 foot 2 foot , small- coffee maker room 's & quot ; diner like & quot ; restuarant block , McDonalds two block away- ventilation fan bathroom . mirror steam up.- light tricky . find dimmer switch . read light ( ) bed useless.- tv speaker blare bedroom bathroom.- Bathroom black marble , masculine . again , GREAT LOCATION , within walk distance everything Midtown , otherwise mediocre . 
 Dec 3 2007 	 good bad point overall could well .. 	 return two night stay hotel . duplex suite pretty cool unique , huge ceiling floor window cover two floor , beautiful ceiling , great bathroom . what strange ( annoying ) room heating , heater ventilator , loud , way turn down- . mean low level Duplex freezing , upper level usually extremely warm . the entertainment system room perfectly functional , wear outdate . the service hotel fairly good , staff helpful & amp ; willing . the bistro next door nice breakfast , worth check out . overall fairly good stay , hotel could use refurbish attention detail . 
 Nov 29 2007 	 great food really hotel 	 arrive small desk check , public area hotel atmosphere staff nice involve . the room extremely small even NY , mint , date view wall . hear noise corridor cover noise street morning . read light . tv set see stand ! room service DB restaurent efficient excellent . the breakfast , brioche whole menu die for . nicely locate 44th street , prefere Sofitel next door , well value , well room , well atmosphere go DB breakfast next door . 
 Nov 1 2007 	 Shame City Club Hotel . 	 fairness , City Club Hotel , one time , favorite place stay city . frequent guest time first open 2001 year ago . I recently return 3 night business stay book King Deluxe room online use hotel 's website . what huge disappointment compare past experience . one always enjoy stay largely due staff attention service . onset , Front Desk staff aloof indifferent . room type reserve available , put small room type without warn explanation . the attitude overall demeanor european woman check plain lousy . English ridiculous speak much fast make even difficult understand . generally , act though want get rid try hide . Shame City Club Hotel . the bed still comfortable room show major sign wear tear . frayed carpeting , overly wear towel , stain threadbare robe , obsolete entertainment system , scuff mark wall door , loose tile wall bathroom . for high price City Club Hotel charging could stay trendy hotel neighborhood not close early one do . at least colleague know return , shall try one new , well locate hotel charge rate . 
 Oct 9 2007 	 lovely bed 	 standard hotel high New york . nice bed , great minibar , professional staff . housekeep great job never miss thing . Turndown service also pleasant treat . 
 oct 9 2007 	 beat ! ! 	 second time I ve stay property get well everytime . staff helpful gracious ever ecountere NY . room spacious extremeley clean . bed world . great location everything always make home Mahattan Keep City Club 
 Oct 7 2007 	 Fantastic 	 arrive hotel long flight immediatley greate friendly professional reception staff . stay hotel 5 day give we room top floor balcony . fantastic bit extra space . plus warm whilst lovely sit night morning . staff hotel fantastic booking restaurant car we . regard room surprise booked queen room around 295sq foot . room definatley small expect although did'nt turn problem add bonus roof terrace . bed comfortable room cean airy , love bathroom amenity . however , must say surprised price hotel coffee tea maker room . big dissapointment would definatley make consider stay . know small detail however , nice choice hot drink get morning . happy hotel find location prefect sightseeing shopping holiday city . short walk 5th avenue minute grand central station fantastic . stay try DB Bistro dinner room service . burger amazing ! 
 may 30 2007 	 hate ! masculine dark ! 	 ' man 's club ' feel be , guess would like place . however , woman travel alone business , quite depressing place . first , easy find . ' main entrance ' consist single glass door squeeze restaurant another hotel . doorman Soffitel next door not even know ask direction . corridor masquerade ' lobby ' lead dark black / brown tiny reception desk ( kitchen home big lobby ) . see two staffer entry exit lobby . one desk door . corridor lead guest room narrow dark , low light dark wall door . inside room well . small room , low lighting , dark decor , dark brown tile floor , stark furnishing . much man 's retreat . bath dark brown granite , tub - large open concept shower . even bigelow toiletry dark brown bottle . forget shampoo , use hotel provide one ( Hermes ) smell like ' m wear man 's cologne . room two old fashioned wooden pan window either side bed neither open . however , would not want open anyway since glass dirty soot face similar old building whose window 10 foot away . window covering pull shade dirty beige ( one huge patch different color right middle . ) give horrible condition window non - existent view , keep shade entire time . add dark depressing feeling room . the bed also face directly toward entry door tv hide behind artwork , build wall beside bed . could not see tv bed without get crick neck , clear view brown entry door . would recommend hotel . 
 May 18 2007 	 Great Hotel 	 get back NYC 3 night City Club . read review booking , make re spite decidedly negative review . glad absolutely enjoy stay would definitely stay . staff good overall -- though definitely helpful other . cookie turn great location hotel . medium tour smack middle everywhere need . standard room actually much large anticipating , bathroom . towel , bed amenity great . love modern / contemporary design feel hotel design great taste . my minor complaint fix AC temp 70 degree , little chilly , low - level light . really want get lot work read do room , would stick sit bed camp bathroom . luckily be not case . also bathroom outlet hard find -- see another reviewer say be not one -- maybe could not find ( be not good thing ) .One note -- think people put lack lobby . block , many fancy hotel drink loiter , actually enjoy fact be not go turn party central . overall , would definitely recommend hotel other stay . 
 may 12 2007 	 Nice hotel 	 enjoy stay City Club . be small , intimate place lot personality . feel like private club . location central , close Bryant Park , Grand Central Times Square . City Club right next Algonquin , Iroquois , Sofitel Royalton . ostentatious sign outside 's easy miss . lobby small like entrance upscale residence . room 4th floor size decent . clean perfectly decorate , upscale , masculine feel . bathroom classy size , design ( black marble ) top quality amenity ( Hermes Bigelow ) . especially love shower . hotel quiet limited number room guest . , can not complain anything . price - though relatively high - quite acceptable New York standard . business hotel chain may offer large room , hardly match classy , intimate atmosphere City Club . would definitely return City Club . 
 May 6 2007 	 Great Hotel problem 	 really likie hotel would consider stay . however , although staff cordial efficient , sophisticated could use stay top late happening NYC . also , room bathroom outlet , desk chair , something standard day Inn . , hotel cozy , quiet substantially upscale , like private club hotel . 
 Apr 25 2007 	 Chic Style Substance 	 & quot ; chic boutique & quot ; hotel category first welcome refreshing change stale corporate mega hotel -in- the- dump road warrior outpost . many first entrant really transform usual hotel stay wonderful exciting getaway , non - boring room decor , interesting public space , , above - the - ordinary level personal service . as category grow however , style begin trump substance . name - brand owner personality matter professional hospitality . over - indulge interior decorator exercise ' creative vision ' actual comfort service thought . City Club , sadly , fall latter description . the front desk staff obviously choose look rather particular talent professional hospitality , not ask anything ordinary problem can not immediately solve . case , sheet one night stay cause horrendous rash we ( neither we tendency towards sensitive skin , way ) , trying get action front desk housekeeping painfully draw affair . the room , visually interesting first , impractical , relatively useful light source , place sit hang one 's clothing . case , window could open , perhaps well filthy dirt cobwebs . apparently lovely staff not stoop actually clean . we eat restaurant adjacent hotel , one series run celebrity ( care thing ) chef Daniel Boulud . one bragging point place sell ' the expensive hamburger world & quot ; . apparently place pretty people see see - lot posing go -- food quite enjoyable consider part floor show . the hotel 's location close Times Square great want , aware 's virtually lobby public area greet visitor wait friend , front door open busy street without turn - in cab , tough checking luggage . stylish good look porter will not exactly hustle , sport little ear piece touch front desk , least look kinda cool . a one - time visit we . 
 Apr 17 2007 	 mixed feeling time 	 ' ve love hotel since open . stay 3 - 4 time night two . time , come almost week persuade friend L.A. also come NYC stay City Club . location can not beat . staff friendly always helpful . housekeep excellent thorough . but ..... bloom rise . elevator not work one day one seem know ; bathroom door track one could figure get back , require brute force open close ; toilet need new flapper valve close time ; room service decide & quot ; must old menu & quot ; would not bring current one upstairs ( ! ) .I still like place . like lot . late visit , check new place automatically come back . NYC hotel scene highly competitive - current rate , ' ve got stay top game ! hope City Club management kick notch . 
 Mar 25 2007 	 Great Spot 	 small trendy hotel nice feel .. comfortable bed , nice marble bath , contemporary /warm , far top.perfect mid town location . second floor room problem sleep . nice staff .. perfect need . 
 Mar 25 2007 	 thrilled find 	 lovely , quiet , cool decor , great location . spend 3 night sister mother one suite . New York friend think great find . thrilled . 
 Mar 22 2007 	 stop infernal racket 	 stay Manhattan could much nice one know construction go here . I arrive late night 2 night business trip . construction start 7 morning continue 7 night . I not know would do wife relax stay . mine business , get early anyway . still bother though not inform inconvenience book room . the manager refund money back little late . I would prefer stay elsewhere . 
 Mar 13 2007 	 Nice Hotel 	 stay city club first time March . small hotel nice , quite feel quality - reception staff delightful . room little dark work high design .... bath room well . overal great find city sometimes sleep 
 Feb 3 2007 	 nice room 	 room hotel nice . large marble bathroom . service okay . overall quiet , nice place stay . 
 Feb 3 2007 	 mistake ! 	 travel regularly business always stay Sunset Tower ' m LA . always pleased service decide give sister property New York try . mistake . hotel near level Sunset Tower . room ok , service terrible . clearly management hotel need re - evaluated . staff seem clueless one eager please . ' m travel generally stress not feel like deal incompetence . confusion check downgrade room supposedly queen sized bed , though can not say believe . room service disaster . keep transfer restaurant front desk , one want actually take order . like say , ' m frequent traveler understand thing go wrong , hotel standard . will not stay future , reccomend anyone else . ' m hope Sunset Tower keep 's standard bit higher not follow suit become mess like City Club ! 
 Jan 23 2007 	 Private Classy Intimate Great Service 	 experience start reservation make via phone ; reservationist allow use web rate accommodate . arrive 3 hour check - in find upgrade room ready . ( petite Queen Luxe . ) room size fine , especially nyc . bathroom treat . lot mirror , tacky . complaint lighting could well make - up application . excellent bath amenity ; Hermes shampoo & amp ; conditioner CO Bigelow soap lotion . shower fabulous . bed comfortable . iPod docking station / clock not work , remedied within 5 minute . Cd / Dvd library nice feature , great selection almost everything want stock ; seem like duplicate . good part stay service . greet every staff member pass . work hotel guest service , ' m picky aspect stay . everything need ask take care promptly . entire feel hotel intimate cozy nice respite pace Manhatten . Great Location ! 
 Jan 18 2007 	 wonderful Christmas stay City Club ! 	 husband spend six day City Club celebrate wedding anniversary . week Christmas look intimate , centrally - locate hotel would give we easy access holiday sight Manhattan . turn , delighted choice would definitely stay . start , pleasantly surprised spaciousness room ( second floor face street ) - entertain six people drink difficulty whatsoever . comfortable bed furniture - great bathroom excellent product wonderful shower . ( miss bathtub , apparently room . ) Maid service thorough reliable - leave huge delicious chocolate chip cookie part & quot ; turn - down & quot ; routine - mix blessing ' ve enormous dinner ! however , really set trip apart charming helpful staff . seem nothing much trouble , every request - ticket , cab , dinner reservation , direction , info . skating , shop etc . etc . - handle efficiently smile . never wait help front desk , sometimes problem large hotel - people like David Juliette ( ? ) start feel almost like friend end week . as hotel , minor negative - lobby small , wait would problem 's nowhere sit . room could definitely storage ( be point & quot ; invisible & quot ; closet door will not stay closed ! ) review mention lack lighting bathroom , fact less - than - obvious dimmer switch - maybe small discreetly - place sign would help . all , fabulous time . thank , City Club , make special trip one remember- will back ! 
