great 	 right middle downtown , next metro station , could not ask well location . however room nothing special . king bed pull couch suite ( small kitchen ) . nothing blatantly wrong , little thing show hotel luxury one . appliance date work fine . bathroom tiny need update . little hole bedsheet . one power outlet work . list go , none thing really impact stay . deal staff much can not comment helpfulness . it be convenient place great location good price . work we , not stay expect luxury 
 Sep 23 2009 	 Great Location 	 book hotel Expedia reading review not sure expect upon arrival . yes old hotel add personality . location great want explore ! never use car weekend . walk walk walk . wonderful . yes , hotel older never major problem . room fair size clean . nice small kitchen . like mini apartment . bathroom indeed bite dull could use renovation not dirty .. old dim door would not close way . room fine . bed comfortable ! thing draw back could hear door squeak night people go use bathroom . overall location not bad stay . 
 Sep 8 2009 	 terrific location . 	 point people complain find charming ! guess 's point view . instance ... yes elevator small , , obviously old hotel around yet update . almost feel like set old Hollywood movie . yes pay parking ... PEOPLE Montreal Quebec ! ! ! ! would shock pay parking New York City , LA , downtown Chicago ? ! ? ! course shock pay big metropolitan city Montreal ? yes give actual brass key ' modern ' plastic key card ... ! ! room 20th floor , clean , comfortable , nicely decorate awesome view . book original reservation online get terrific rate . decide extend stay additional night not able match original rate ( $ 20.00 high ) - make ' inconvenience ' give we 3 voucher full american breakfast free ( $ 14.00 per person = $ 42.00 value ) ! not take advantage pool restaurant dinner can not comment area . would DEFINATELY stay . 
 Aug 23 2009 	 Pleasant Surprise 	 choose hotel base price , please every aspect hotel . trip travel teen grandson . check - in check - out , good service comfortable well - equip suite . location ideal . 
 Aug 18 2009 	 everything old worth $ $ 	 book room hotels.com $ 129 night , think get deal live hotel . get one fron take care luggage , we ok , front street pack , go inside ask park lady tell go back building , get back already 6 car line enter parking . we manage get 6 mth old car 3 piece lugagge 5x5 elevator ( do not ask ) .After check receive Key ( Card Key hotel , real key ) , get 23rd floor stay room look like room 1970 movie , everything old ( mean really old ) , $ 22 parking / day , $ 5 internet / day . continental breakfast $ 13 ! ! ! ! pool NASTY ! ! see black dirty line around pool ! stove 60 's ( lie ! ) say one good thing hotel , maybe 2 : bed really comfortable view really nice . my wife do not want take shoe , rug look really dirty . sheet hole wear .... towel , hole use . we try leave day see .... want run holiday inn courtyard actually price less ! front desk tell we could not leave since book 2 day going charge we full amount stay . so basically , would never recommend hotel anybody price , way hotel look . hotel need major renovation ! give idea , want take shower need bring lamp , bathroom 50w bulb .... I m kid shower tub metal piece . we stay call Executive Suite . I hope review help ... 
 Aug 10 2009 	 Excellent hotel 	 Cantlie good hotel food Mezz BAr ( wich room service also ) good . food freeze fresh . recommend Mezz Bar . well go est somewhere else downtown . good thing clean hotel service excellent 's well locate . 
 Aug 5 2009 	 Hotel Good ; Parking Bad 	 book one bedroom suite end 23rd floor good city view . room huge comfortable family although bathroom may somewhat disproportionately small - issue we . clean tastefully decorate modern amenity two flat screen tv 's . bed super comfortable . staff courteous helpful . housekeep fine job . noise level minimum . be self - sufficient access luggage cart need plus . hotel strategically locate Sherbrooke Str ( scenic route Quebec City four hour east ) Peel . walk distance Mt Royal Old Town . time four night stay available parking spot we keep car one public lot short distance away ... major hassle though . annoying pay parking every freaking stop Montreal ... walk public transpo probably well option . 
 Aug 4 2009 	 aware 	 book 519.00 stay 3 night thinking would treat something nice forced pay 785.00 upfront include book fee . would think price charge would perk . pool need water change . one price restaurant lobby idea order pizza shut refuse entry pizza guy . two outlet room work . 25 per day parking . 5 per day internet access . bed make arrive 5 30 pm . shower light water proof hallway . paint ceiling peel moisture . water temp shower change often . date fixture problem . surprised count number toilet paper square charge . nice matresse though 
 Aug 4 2009 	 Great Hotel Highly Recomended 	 find review hotel highly misleading . go low expectation pleasantly surprised find suite clean huge two flat tv , one sit area one bedroom . the staff friendly helpful . always someone available answer question provide extra advice . clean staff provide we extra towel extra coffe whenever ask . the pool rooftop clean hotel provide extra towel pool . view 28th floor , pool locate amazing . 
 Aug 2 2009 	 good hotel 	 book three night July , bit concerned reading comment site . say , expectation low . however , pleasantly surprised - check speedy , room lovely - newly decorate , clean quiet . kitchenette basic , adequate prepare light breakfast least . location great - could walk good restaurant , shopping , metro . kid love roof top pool make good use warm weather . issue kitchen sink plug arrive ( quickly fix ) bathroom sink become clogged . however , minor issue compare overall experience , would definitely return visit Montreal future . 
 Aug 1 2009 	 Nice hotel central area friendly staff 	 spend one week hotel . room nicely make clean . loved kitchen , ask maid coffee twice , simply forgot . room service pretty late , around 2:30 pm could nice lunch noon , big deal . bathroom , bedsheet impeccably clean , noise anywhere whatsoever ( 20th floor ) . staff friendly accommodating . internet access $ 5 + tax day extremely slow , need . nice swimming pool roof top . book Flightcentre pay $ 104 + tax two queen bed , single room available . see room nicer , guess expensive . find strange put bed cover bed , would lot nicer see room .... treat differently , not know . door lock tricky . work way give two key , two lock door , second key swimming pool , fitness room laundry . key open door leave instead use , right , assume still lock try open lock wrong key .... Awkward . laundry room convenient . right around corner rent public bicycle convenient get around leave bike station . grocery store area , kitchen carry food long way learn use subway . all good experience . 
 Jul 28 2009 	 good family travel 	 decide stay hotel travel 9 month old want fridge microwave could easily prepare food . although utensil dish soap ( tea towel provide stain ) , would recommend bring stuff home . kitchenette sufficient we completely meet need . room clean . Rug vacuum , clean sheet , decent clean towel , however go Sunday morning return 2:30 pm baby 's nap , house keeping arrive yet ... location fabulous ! less 10 minute walk shopping , restaurant , pub , etc ... Metro right around corner . also decide park street ( Stanley ) , instead hotel . free 6 pm able park weekend ! remove car Monday morning , 7 am . park meter parking . total cost parking 6 buck ! ! ! staff friendly , always greet we arrive leave receive seriously inconvenient info Metro . tell take metro instead bus destination assure station accommodate stroller can not . super friendly montrealer help carry stroller flight stairs elevator / escalator . last thing , american breakfast include package ok . would recommend someone pay breakfast . pricey well go elsewhere . someone post review regard room door jam true . kick door EVERYTIME open always stuck ! not find elevator slow soooo small . pass several elevator cause could not fit stroller other . 
 Jul 20 2009 	 good Sized Rooms Rooftop Pool 	 come Montreal ( great city ) buddie bachelor party . since big group , stay suite make sense . good part hotel large room ( true 2 - room suite ) rooftop pool . con numerous . hotel clearly date not renovate recently . lobby small decor pretty generic tired . enough elevator ( 3 ) 28 story tower , wait 5 min elevator night people go dinner sunday check . elevator guestroom hallway look like not refresh year hallway really ugly dark green wood motif , like british hunt lodge , really tacky . room also not much ( ) style bathroom tiny old style facuet fixture . door lock actual key ( easy slip wallet ) . think may kitchenette room behind closet door , not notice . hotel unnamed mezanin restaurant lobby serve expensive breakfast drink night . beer appetizer . nothing particularly special . rooftop pool nice amenity , also could fix . look little run . service sunday check - out dreadful . slow staff totally overwhelmed . work we , particularly recomendable . 
 Jul 20 2009 	 bad experience ever 	 begin , hotel bad price . however , beyond terrible staff make stay enjoyable . wall place thin playing music cause we get two noise complaint ( play music loud ) . major complaint much happen end trip . buy iPod dock order able listen music room . set desk room leave box accessory ( ie . remote , battery , manual , etc . ) ground . next day maid service clean room , notice box accessory miss . boyfriend call downstairs care something miss simply tell we leave message housekeeping . housekeeping never call back next day go check tell another gentleman happen get & quot ; I - could - care - less & quot ; attitude . tell would check housekeeping supervisor take seat wait half hour hear back unknown we leave take lunch break . finally decide complain somebody else happen supervisor , Sam . far rude ignorant person ' ve ever meet . tell impossible go imply liar . furthermore , issue solve $ 80 product use without accessory . Sam also proceed threaten we say would charge we extra day pay parking refuse somebody take seriously solve problem . finally , girl come try help we tell & quot ; take care & quot ; already Sam . never feel angry violate life . possible hotel take something , throw , feel though hold accoutable reimburse ? staff hotel completely disgusting leave sour taste mouth . never stay Le Cantlie Suites suggest either wish leave come . 
 Jul 19 2009 	 great value location 	 Location excellent , right downtown . room spacious - 2 queen beds- small kitchen . local phone call $ 1 - internet charge extra - passed- use cell phone . SUV parking - problematic hotel . limited space - annoying keep check front desk . could well organize area . [ Valet parking common street lot parking downtown area ] overnight VALET parking nearby - $ 17.00- 2nd parking lot STANLEY DeMaisoneuve - good bet . otherwise valet parking across Peel st . 25.00 day . limited priveledge . verify site parking hour operation case return late evening . 
 Jul 15 2009 	 well expected price 	 ' m originally Montreal stay dozen hotel Montreal . could find another hotel reasonable rate decide try one . Friends Montreal provide bit history hotel . originally apartment building convert year ago hotel . originally floor 4 apartment ... floor offer 12 room different size . I book king executive suite directly online hotel website . request quiet room upper floor . arrive late evening June 4th 4 night . rental car airport call ahead check parking availablity conveniently easy access directly hotel elevator access lobby . ( Valet parking $ 22 $ CAD per day prevlege - self park available ) check quick assign room 19th floor . room ok ... furniture bit outdated . air conditioning function properly unfortunately every window , include balcony door screw shut fresh air . say bed one comfortable ' ve sleep linen excellent . bathroom tiny shower one good water pressure ' ve experience . Montreal must water shortage problem . wireless internet available throughtout hotel ( $ 5 $ cad per day ) wire access . wireless connection poor well ... $ 5.00 acceptable . next morning prior leave day call front desk ask air conditioning problem ask open window fresh air . inform windows balcony door seal shut security reason . question policy indicate adult room concern fall window . tell would send someone fix air conditioning . arrive back late evening room still hot air . call front desk send maintenance man ( call 24/7 ) look air unit . friendly gentleman arrive reset air unit wait start work ( 10 minute ) . ask locked window express disappointment able get fresh air . couple minute chatting say might able help unlock one window ... . difference amazing . seriously consider find another hotel last 2 night window open . management property seriously consider find way put security lock window door guest choose open . understand concern small child think adult make adult choice . kitchenette outdate stuff . couple fork , knife , sad look small pot equally pan . old toaster microwave . hard tell actually clean - would use .. rather pointless even there . I ' ve see past review not clean room properly , replace towel ... say clean room every day new sheet bed fresh towel bathroom . in future stay property - need bring pair plyer remove screw lock window . this property excellent location easy walk everything fantastic restaurant great shopping . Montreal Museum Fine Art across street . staff polite friendly room nice quiet . swimming pool roof great view . all pleasantly surprised ... must stress window unlocked . 
 Jul 15 2009 	 ok place stay price 	 hotel ok . plus : pool roofroom ok bit dated.location great , close metronegative : parking awful . not post overnight rate . $ 15 rate list entrance sign garage & quot ; maximum & quot ; fact maximum . overnight rate list $ 25 . attendant also extremely unpleasant ; even young child note unpleasant . ( grow NYC say something ) .The staff unhelpful good . example , try access wireless internet screen indicate need password . notice nothing room check - in material speak process signing . call front desk say come downstairs get password $ 5 . go front desk assume want payment cash say need come desk . ask girl desk password proceed write . hand money inform would bill room . inquire come shrugged shoulder . finally elevator excruciatingly slow . 
 Jul 14 2009 	 bad hotel know man 	 whole bunch we girl , get executive suite decent . bad , try use sink clog . try use electrical outlet do not work . two room , seperate french door , one room really hot room FREEZING . bad part friday night . come home night order Pizza , thank god . 5 ceiling start leak light socket . find one place , two place . call downstair see first one , slow come call tell second one . three man come check look second leave . pack stuff take hall way beacuse look like ceiling cave ! still call go , , nothing . call tell stuff hallway put we . put we two bedroom suite , nice huh ? . smoking room , ask . two bathroom , one tub drain water pressure strong pierce skin . happen check ? say fault anything . claim room smoking blame we smoking since smell like smoke . extremely rude , Manager go name Sam , apparently last name . God else go wrong ... bad HOTEL ever ! please please please take recommendation stay ! ! ! 
 Jul 13 2009 	 Decent stay good location party extra charge unexpected 	 overall good stay , buddy ( early 20 's ) stay weekend partying . great location night club , restaurant , bar / pub . short drive casino Montreal . hotel service good helpful . kitchenette , nice . downside extra charge internet ( $ 5 per day ) , parking ( $ 22 per day ! ) , local call ( $ 1 per call ) , additional occupancy ( $ 25 per night ) . choose hotel since right downtown think good value price ( 3 - star ) . extra charge ( include comparable hotel ) turn expensive . otherwise not much else upset . 
 Jul 8 2009 	 great location good value 	 yes , room need redecorate , comfortable stay nonetheless . kid love rooftop pool , also boast stunning view . staff friendly helpful . not Ritz ( fact street ) , combination low price , great location , reasonable comfort add good value . 
 Jul 6 2009 	 do not make mistake could ruin trip . 	 1 . service staff , rude , rude , rude ignore several occasion front desk . person behind counter act we favor help we . answer phone quickly always curt . aware issue hotel refuse fix . see below.2 . upgrade suite could exit room turn door wooden swell make impossible exit emergency . take door . 3 . executive suite executive suite . POOR drainage tub . old out - date kitchen utensil , t.v . remote work . button out - date tv miss . one small trash room . also give key room number stamp pn card attach advertising hotel . Montreal safe , crazy . hotel stop decade ago . elevator small slow . 4 . business center business center , like everything else computer outdate ( 1990 ) , slow printer ink . allow use 30 minute , charge . take 30 minute get computer . laptop , need print boarding pass . charge 4.95 per day wi - fi room . 5 . excellent location , close subway Saint Catherine street . 6 . redeem quality hotel : great location , large room comfortable bed . price personal safety comfort , sure find another hotel montreal . karl_news @ yahoo.com 
 Jul 6 2009 	 disgruntle customer 	 stay Cantlie Hotel several year last trip make unpleasant lack professionalism manager . security reason often use Travelex VISA card bear name limited amount load i.e . plastic money , credit . upon presentation card tell Hotel 's policy accept card show bearer 's name , probably & quot ; cloned & quot ; Hotel & quot ; catch & quot ; ; 50 guest look . manager call VISA bearer 's name confirm identity secure photo id , several . sixty humiliate public valid reason intent patronize establishment future . furthermore service deteriorate point dish suite 's kitchen wash ( rinse ) , rubber bath mat suddenly disappear ( safety concern ) , wireless internet connection inoperative hotel management arrogant regret say , instance , incompetent . 
 Jul 5 2009 	 bad customer service 	 wait around 15 minute employee give we key go back forth us phone . really frustrate next day morning asked Montreal map request least 3 time hand map . 
 Jul 1 2009 	 room still renovation list ? 	 room 805 - room great , everything look adequate . kitchen poorly stock , . one pan , two fork provide bent shape , icebucket , corkscrew ... whole thing look ancient ... ask icebucket give we one leak . bathroom small fan . water pressure poor . pay $ 22 extra night parking . pay internet access . provide use two computer also ancient slow . like come people get time . pool area look quite nice although use . dining area also look nice . would stay ... time add price per night taxis service fee parking include . approximately $ 160 per night even though price initially advertise $ 116 . 
 Jun 29 2009 	 Fantastic Stay 	 hi book hotel ( expedia ) thought would read review hotel , read bad review decice cancel Expedia .. big mistake . refundfirst last time will use expedia.kid need pool hell . arrive hotel , kid find room standard , small kitchette old everything spotless , washroom not fan big deal . service quick , staff friendly , air quality big plus .honestly stay 25 different hotel Montreal . 5 star 1 price well far . tip . call hotel book anybody alot cheap ... 
 Jun 26 2009 	 Great Location ..... be say .. 	 stay suite 2 night . positive location be find . upon check - in , require sign & quot ; Noise / Party Policy 11PM & quot ; , hotel loud music blast ground floor club 2AM . furnishing fixture really old . find crack chip everywhere . ventillation bathroom . kitchen appliance old even wish touch . matress old sink middle . carpet old , unclean feel filthy . could feel comfortable know hotel not update 15 year . suite almost everything , be old not want touch anything . the hotel parking wireless internet ( weak signal ) additional charge . a separate elevator garage would fit 4 people max without luggage . many hotel neighborhood price range . would recommend anyone . 
 Jun 6 2009 	 Loved Le Cantlie Suites 	 upon arrival , give & quot ; panoramic view & quot ; room overlook city way St. Lawrence river . room kitchenette bedroom seperate french door . room size adequate , though kitchenette small well - stock . king size bed extremely comfortable - good 3 week trip . complaint noisy neighbor , slam door , fight , yell , etc . hotel 's fault . staff member friendly accommodate . location superb , right heart Montreal - lot shopping , restaurant , museum sightseeing . parking 22 / day CAD in / out privilege , outrageous large city . rooftop pool , not yet open season . would recommend without hesitation would certainly stay . 
 May 29 2009 	 's good enough Ritz 's good enough 	 although bit far walk Vieux Montreal hotel nearby include Ritz , Sofitel Omni hotel . shop around corner although not get check hotel museum quarter moment McGill university . metro also around corner . there three group we stay three different suite one turn really tiny . however , can not comment whether price ... staff could little friendly over - all seem good job . rooftop pool also pleasant surprise over - all would rate hotel positively . 
 may 27 2009 	 great location Friendly Staff 	 book package include lodge Le Cantlie Suites . honest , part package , high ( even moderate ) expectation . pleasantly surprised upon arrival . hotel locate centrally Montreal . Rue St. Catherine , Rue Peel , Rue Bishop walkable . even cold weather . even well , hotel noisy despite location . sleep problem . atm also situate door . hotel staff extremely friendly knowledgeable . question answer politely easily , know talk . express slight concern destination 's whereabouts happy provide personalize map direction . room clean comfortable . also quite spacious . , Room 1000 , equip gleam bathroom , kitchenette ( mini - fridge , coffeemaker , sink , counter , microwave ) , desk , closet , tv armoire two queen - size bed . trouble maintain constant temperature shower , varied hot cold without warn . complaint . tip : winter , ice bar adjacent hotel . good , least , interesting photo op ! 
 May 20 2009 	 Great Price Great Location 	 back May 16th weekend . issue ever . stay 10 time get good value dollar . stay Loews , 2 week prior , can not justify extra money .. complaint , wish balcony accessable . lock can not open they . otherwise , clean , big room , nice bed good location . 
 May 19 2009 	 enjoyable stay 	 room clean , spacious , bed sheet comfortable . usually not mind so - so budget - price room long 's clean , get great deal room hotel great value . yes , tv small CRT , not care . kitchenette come handy weather able make soup . location close Peel metro . park car garage ( cheap hotel one ) three day not need use check left city . noise problem . staff nice helpful front desk . 
 May 6 2009 	 review true other . Judge . 	 read alot review book place online nightmare week leave . nightmare dirty room horrible staff wallpaper peel wall . hotel nice , review helpful . drive suv , do not expect park hotel , parking lot get right around corner , biggie . .... expect since book online & quot ; overbooke & quot ; will not get room want ... get fantastic deal . want king suite non smoking smoking . okay gross ... put little machine clear air everything fine . okay view ... book directly hotel ' m sure suggest view ... good view top floor front building ... 4th floor back ... great alley view that s thing . bathroom nothing fantastic , bedroom awesome clean , tv outdate . Kitchette mini fridge , microwave , stove come soap clean . pool rooftop must nice int summer , pool seasonal nothing spectacular ( ont roof ) montreal stay room . hotel great location , walk Mont Royal ( 30 min top ) , Old Montreal ( 1 hour stop ) Catherine st shopping ( 10 min ) . highle recommend visit restaurent crescent st . try L'Academie gourmet food atmosphere mcdick price ! ! ! long story short , have ! 
 Apr 5 2009 	 clean comfy bed friendly staff 	 although room old , clean . staff always smile friendly . bed soft comfy , sleep like baby . 20th floor hotel , great view city . ( con : breakfast wireless internet free . ) 
 Apr 4 2009 	 stay away hotel 	 want say charge double one room . never fix error . never reimburse . think even try . find dishonest . 
 Mar 27 2009 	 great location price ... 	 great location price , housekeep top thing could actually bath ! teenage daughter stay March Break - great kitchenette microwave , empty bar fridge basic kitchen supply , housekeeping clean daily , empty garbage . relax nice bubble bath question , told & quot ; none bathtub drain plugs work & quot ; . sporadic unusual supply towel not make . safe , good location price , though , explore downtown Montreal ! 
 Feb 23 2009 	 Excellent Value - GREAT Bedding ! 	 Booked hotel TripZoo Top 20 promotion . bottom line bill come $ 124.00 one night - include room , taxis , valet parking , american breakfast two , coffee service two free appetizer purchase two drink ! hotel right smack downtown heart city walk anything take cab little money . staff extremely accomodate even ask switch room mid - visit due altercation person accomanie ( nothing hotel ) . room european kitchen - inside closet , fridge , sink range two burner , dish , pot kettle . ice bar front hotel cool great smoker ! great photo op . favourite part hotel BEDDING ... pillow top mattress , great sheet ( definately high thread count ) warm fluffy duvet ! amazing value ! 
 Feb 6 2009 	 excellent price room location 	 cantile location fantastic ! right Sherbrooke . block subway , McGill , underground city , restaurant . price location can not complain much , staff nice helpful . room clean lot space . hear neighbor take shower ( old pipe ) hear . 
 Jan 20 2009 	 Great experience Great Price 	 hotel fabulous price pay . locate within walk distance shopping sight . ( good walk Old Montreal 65 year old mother problem ! ) room perfect girl ' getaway week - end , roomy clean . staff friendly problem speak we English . would definitely stay . good indian restaurant eat right around corner ! 
 Jan 16 2009 	 good value location . good family group 	 stay Le Cantlie friend 's bachelor party . room fairly large include kitchen . centrally locate good value $ $ . would especially recommend hotel group family , since room large . not eat hotel , dining facility look big . 
 Dec 3 2008 	 greatly surprised 	 arrive hotel know expect review mix ... arrive early could check take luggage without hesitation could walk around city great ease . Booking Travelocity concerned might get quality service one desk care everyone polite helpful need . room clean arrive clean every day . gladly offer direction suggestion restaurant place go . check take bag could spend hour Montreal head airport without extra fee . would stay hotel see price excellent service ! 
 Nov 26 2008 	 nice place 	 stay Cantlie Nov.20 - 25 Grey Cup . room fine amenity anyone could want . everything work fine lot hot water always case hotel . would fine family kid room little big most . we never eat hotel think price little high . bed comfortable bedding change every day . yes $ 1.00 charge phone , big deal . the thing negative , room rate different quote , small discussion , honor rate quote I . I find staff contact stay pleasant . would stay opportunity visit . 
 Nov 8 2008 	 Great Hotel great price 	 review come late since book Le Cantlie brother 's bachelor party early September . hesitant first read bad review stay , not know fuss about . the hotel reasonably price . worry parking situation previous review , problem get minivan garage ( get Thursday ) . staff pleasant helpful . first day notice A / c work well . call front desk matter minute , maintenance staff ( little old lady funny spunky along husband ) come right fixed problem . the room fantastic . french door separate bed living room / kitchenette really nice touch . thing miss flatscreen . end travel warm , rooftop pool also nice ( problem bring drink pool ) .The great thing hotel location . walk place St. Catherine St. Crescent . although St. Laurent definitley well cab ( less 10 min away 20min traffic ) . believe also take subway cab time . also , hotel locate 2 bank . charge bank 3 % conversion fee use ATM card . one bank charge $ 3.00 conversion fee bring cash teller regardless much want exchange . ( bank open obviously ) .I problem hotel . ever go back Montreal ( may long time since lot damage mind body trip ) would definitely stay Cantlie . 
 Oct 28 2008 	 nothing like Picture Unfriendly Staff Stars 	 telephone not work first day room change still work intermittently , staff think funny . local call 1 $ advise 1 mm writing telephone . internet signal ( still charge ) . unfriendly staff unless manager around . room adequate over - price condition old hotel room . need extend stay 1 additional day choose leave rather stay another night . 
 Oct 14 2008 	 Luxury accomodation budget price 	 book room Cantlie Suites base low room rate expect budget accommodation . surprise find Cantlie like luxury hotel big room ' ever see . view great location within walk distance major downtown hot spot . ' definitely stay next time ' Montreal . 
 Oct 12 2008 	 Outstanding Value 	 pleasantly surprised value , comfort service . pay $ 99 / night include breakfast . location great - Sherbrooke near Ritz , sofitel major museum . room clean comfortable although decor style . staff provide excellent service . 
 Oct 7 2008 	 Clean Quiet Great Location 	 book 2 room family ( husband , , 3 teenager ) 4 week advance use priceline . get Cantlie US $ 90 / night per room . read mixed review TripAdvisor , trepidation stay . turn fine . request 2 week advance 2 adjoining room , book priceline , could try get two room floor . wound 2 room right next other . each room good size , fairly small bathroom efficient kitchenette . quiet day night . bed comfortable room clean . decor date / worn , burgandy carpet stripe wallpaper . the staff pleasant , professional efficient . instead hotel breakfast , expensive / limited , would recommend croque matin Houtte Montaigne / Masonneuve Second Cup Ste . Catherine / Peel . also , great designer shop Mount Royale , east St. Denis . Beauty 's Restaurant Mount Royale / St Urbaine great breakfast day . metro breeze get money 's worth $ 9 per person / one day pass . westmount fun walk around , sure bring comfortable shoe -- hill killer ! Mc Gill University beautiful campus . great walkable city , little hostile vibe . overall , montreal clean , comfortable , chic center . People really decent relaxed . feel comfortable 3 teenaged girl travel alone metro walk around . 
