good 	 stay one night room close reception . noise hall way reception could clearly hear room night . also cat fight window providing noise . try get room far away reception and/or wear earplug . eevrythe else work ok . 
 Sep 22 2008 	 's ok - come food 	 good point : - noise street- Central location- cheap / good value- good facility room ( plasma tv , large bathroom , minibar ) - EXCELLENT restaurant 24 hour room service . come like local eat fantastic North indian food- reliable airport transfer , car right time- helpful staff rectify issue immediately ( see ) bad point : - noise people 's room , slam door , voices corridor etc- Bed sheet towel dirty arrive - quickly rectify - Surfaces also dirty - reception not apologise immediately send clean - expensive minibar - expect ! - sink drain smelly fly congregate around itIt 's good choice expect noise guest , question reception not feel thing clean . 
 Sep 10 2008 	 Friendly 	 ' ve book hotel via Desiya indian website get good price . bit concerned go small fella wife . wonderful experience - breakfast brilliant continental well Indian Poori Bhaji delicious ! wife indispose 3 day make hot chapatis take room son enjoy cereal . Beer & amp ; dinner day hotel service attentive - serve good mughalai dish ! son Rice & amp ; Dal Makhni time call Brown Sauce ! ! mention already tv good room independent SKY receiver entertainment . well locate hotel shopping trip Pallika Bazaar short distance away Ghafaar market , thoroughly enjoy walking get dehydrate ? ! ! ! clean place recently redecorated - recommend . 
 Sep 3 2008 	 Clean Modern cozy central 	 travel India book internet hotel . there many picture much information review seem good enough take risk . well worth . small hotel centre New Delhi , close everything may good choice affordable yet clean beautiful stay . recently renovate although room small , good service , clean quiet ( unlike rest India ) . aircondition ( heating .. even though temperature January quite low . ) . definitely reccomend safe , cheap , clean choice . 
 Sep 2 2008 	 Fantastic ! 	 true gem . Hotel Palace Heights superb boutique hotel heart Delhi . exceptional service friendly staff we stay quiet hotel twice summer . spotless room central location , hotel 's Saffron Restaurant also treat . stay truly heaven . thank wonderful staff make stay Delhi memorable . 
 Aug 12 2008 	 clean great staff - little gem 	 lot less ostentatious pricey big international hotel ND , little place really deserve high rating . stay day arrive India , one night ship back Europe . staff extraordinarily friendly , room clean comfortable bed good modern amenity ( plasma tv every room international news channel we still like stay touch ) . locate smack middle Connaught Place plenty restaurant around , hotel restaurant also worth visit . well price delicate food , look manage helpful manager really nice staff . the drawback lack pool / SPA . , go big hotel outskirt town ( well , ) want make trade . , place warmly recommend ! 
 Jul 10 2008 	 clean safe comfortable hotel Dehli ! 	 arrive New Delhi transfer wait , promise . check - in easy staff great . room modern , small view less spectacular . plan Delhi short stay go time , place great . planning spend night , could feel bit tight . say , everything else amazing . room flat screen tv , snack fruit bottled water extra charge . room service great 's offer 24 hour day . linen nice clean . pillow lovely . bathroom beautiful floor ceiling marble , shower large good supply hot water . think power may issue , bad . towel clean toiletry offer nice . complimentary breakfast huge ! low price winner , clean , great service central location make hotel hard beat ! 
 Jun 16 2008 	 comfortable stay 	 stay hotel two night & amp ; dinner . hotel contemporary one style , elegance & amp ; modern amenity . food restaurant- Zaffran really blessing tastebud . 
 Jun 8 2008 	 stay away love God 	 complete 5 day stay hotel . two day prior arrival ask airport pickup . not happen , much apology provide . we arrive hotel . take 30 minute check we , even though one . funny thing , hotel claim 40 room , actually 15 . lie continue . also claim free internet access . mean , good internet subscription phone , also work within hotel . still try convince actually wireless network , say show , say , not know , can not call anyone . the room small , feel clostrophobic . aircondition icy cold really hot . & quot ; fancy & quot ; flatscreen old LCD samsung available , picture quality awful . furniture cheap plastic . someone mention give complementary fruit , water cookie . not eat cookie , otherwise , not get new one , not eat fruit , leave . see tasty picture moldy fruit . even bottled water expire . kid I . the building , completely delapidate building , not matchwebsite pictures.the & quot ; wonderful restaurant breakfast & quot ; someone mention . two fruit cut last night , cereal , order omelet pancake . not last , give we little brown present two day - know mean . location : connaught place really dirty , shop good , feel disgusted dirt fly . indian , problem , white , 1000 conman ready approach aggresive way . indian friend also advise we go outside 7 . yes , say 7.now masterpiece . reception . 20 year old , combine intelligence 10 year old . answer question , like airport question , shopping question , internet question , etc etc . check , boy spend 30 minute count minibar , go back room , actually check one time could leave , make sure not take 40 Rupee cola . keep mind spend 32500 rupee room . all , big favour . budget travel Delhi . hotel India , one take price . wow . 
 Apr 25 2008 	 fine short stay 	 arrive hotel locate second floor period building overlook Connaught Place midnight staff expect we . room clean , functional ' modern ' , mock wooden floor minimalist furniture , decoration bathroom . Linen spotless towel plentiful , chocolate biscuit evening snack along complimentary bottled water . room feel small , one would somewhere could relax end long day 's sightseeing really get comfortable want ' day ' . ' something bit clinical cold décor . stay transit ( arrive midnight , depart 0700 next morning ) fine , would business meeting day . breakfast include room rate either restaurant deliver room ( extra charge ) . breakfast fine without memorable . hotel get ' above average ' rating clean , staff helpful , cost spot - on . 
 Apr 21 2008 	 nice hotel 	 stay 4 night nice hotel welll locate , clean , staff nice helpfull reception hotel restaurant Saffran previous review one person mention bad thing could say towel old , well replace new one bed confortable . give every day 2 bottle water fruit , newspaper morning arrival serve juice . try near hotel Zen restaurant good , 5 minute walk hotel right side get hotel . surprise arrive building announce inside hotel seconf floor old buiding , hotel renovate 1 year ago . expensive New Delhi hesitate book . 
 Apr 17 2008 	 great 	 great . well locate Connaught Place , great room , nice furnished modern decoration , flat screen tv , nice bathroom , nice restaurant , friendly staff , affordable ... definitely kind hotel want find . will back . 
 Apr 15 2008 	 good hotel 	 go India April 3rd stay Palace Heights 2 day go Jaipur , stay last night India April 10th . nice hotel , good room , large ok , LCD tv offer day mineral water fruit basket . bathroom good too . the dinner breakfast room nice , staff friendly . must say hotel center Delhi , near indian international shop . recommend hotel . 
 Apr 10 2008 	 cute little hotel 	 small room . staff friendly helpful . 's good price location run around Delhi . the restaraunt , Zaffron , good thing hotel . menu great price $ 15 per meal . I recommend hotel Delhi . 
 Apr 8 2008 	 refreshingly good ... must stay visit Delhi 	 location : heart city . never ask well location . consider fine location New Delhi . room , Staff , Service , reception : excellentbreakfast : complimentry excellent choice menu . very good decor peaceful . 
 Apr 4 2008 	 Hidden Gem 	 Excellent management & amp ; staff : -this place unassume front fairly new . small 14 room , excellently manage . well staff pressure tip whatsoever . every wish command make feel special . ask hair dryer , iron , extra towel etc . supply within minute . forgot switch & quot ; disturb sign & quot ; outside door one occasion . hence find room make return evening . call reception . problem . Room make 10 minute . seldom one see service . no queue check - in check 14 rooms.24 hour room service @ extra charge . safe deposit & amp ; Minibar Good air con / heating .Thick fabric window blind keep blaze sunlight let late morning sleep . Plasma TV wallcomfortable super king size bed nice pillowslarge interior illuminated wardrobe plenty space . 2 full length dress mirror wall .Complimentary breakfast - cereal , fruit juice , egg , bacon , sausage , toast , Indian poori potato masala . Egg serve many way . try masala omlette like spanish omlette & amp ; lovely . coffee expresso , cappucino simply black . free newspaper call breakfast close 10.30am ( case forget ) ! toilet : extremely clean & amp ; shiny toilet brilliant shower . plenty hot water . Shampoo , body lotion soap provide . hotel toilet ever see mirror get mist shower , thank excellent ventilator fan , also remove odour instantly . plenty thick clean towel . airport pick hotel work well . restaurant : check 12 pm late flight although closing time attach Zaffiran restaurant , still let order menu ! food good . Tandoori chicken cook perfection . also try lamb dish ( can not remember name ) whole leg lamb prepare exquisite spice . hyderabadi mutton biriyani also recommend . plenty local eat . $ 25 2 people three course meal ! nice decor ambience well . and GBP $ 150 per night Connaught place . ask ? interestingly , try book room via trip advisor , book agent say & quot ; room available & quot ; offer room place , email hotel directly , vacancy ! hand want window view garden , look elsewhere , price , place can not beat . certainly recommend stay again . good management always count ! 
 Apr 3 2008 	 honor reservation agreement 	 share room two friend . manager confirm via email would room six night pay deposit . arrival tell we room three night . different people man hotel reception give conflict reason . however reason convince booking screen computer notice two guest book reservation . furthermore manager agree six night reservation nowhere find even staff . try move we another related hotel city center refuse due prior breech trust . Delhi conference skip part look another hotel . extremely disruptive . impression hotel try get move less popular co - own hotel due & quot ; unforeseen circumstance & quot ; . recommend use hotel important business since honor reservation agreement unless mind find another hotel last minute . apart , room well furnish expect price charge , service prompt . 
 Mar 30 2008 	 great Choice one Night 	 overall , fine place stay one night ; however , one meet we arrival IGIA take we hotel , even though previously book transfer re - confirm prior arrival . good way start stay . hotel claim someone , not see . wait 45 minute , decide one come . ton driver sign wait , we . take pre - pay taxi , easy reasonable , taxi driver not seem know hotel . get Connaught Place ( know ) , stop someone street ask hotel , tell be locate behind Odeon Cinema ( one cinema Connaught , though ) . hotel small unassuming , somewhat difficult spot street ( be second / upper floor storefront ) . entry door ground level , well - light staff security guard two employee ( e.g. , bellman restaurant maitre have , think ) . lift second floor . lobby area tiny ( front desk two chair ) , Zaffron restaurant ( attractive , well - staff , drink can not comment food ) . room tiny well , enough room walk around perimeter bed . bathroom decent size , stand show western toilet . basic toiletry provide . hairdryer upon request . room modern pleasant - look , comfy bed , suede throw pillow , flat - screen tv . complimentary wi - fi access room work perfectly . two bottle complimentary water provide , along chocolate fruit plate ( get sample include breakfast due early departure ) , welcome drink upon arrival . hotel able change money we ; ATM machine visible nearby . would not hesitate stay ; be great value ( approximately $ 150 usd double room ) find location . 
 Mar 9 2008 	 Excellent hotel 	 stay 1 night , extremely helpful staff , clean modern room , good restaurant , sanctuary middle delhi , near excellent metro system stationi positive say hotel 
 Feb 21 2008 	 Smashing hotel ! ! ! clean tidy central ! ! 4 star ! ! ! 	 hotel lovely . clean tidy well position . bang heart everything . would rate 4 star ! ! ! staff friendly alway willing help you . there also lovey restaurante hotel . the room fit plasma screen tv mini bar . there also railway near . go agra day see taj mahal . 2 hour express train 4 hour normal local train . go express train agra return local train experience . would reccomend . 
 Feb 16 2008 	 good central hotel 	 really good hotel arrive delhiits central location staff nice even though many knock door one thing anotherIt clean comfortable towel old grey ! start look hotel delhi really difficult find one not either really expensive look dirtythis neither even though expensive hotel stay india definitely worth 
 Jan 27 2008 	 wonderful Boutique Hotel 	 Hotel Palace Heights certaintly excellent value stay central Delhi . the service overall outstanding . full nice touch - complimentary fruit bowl & amp ; chocolate arrival - good hotel soap & amp ; lotion ever use - good breakfast courteous & amp ; professional staff . room * * small ( hotel - large foyer bar enter via lift ) would book extend stay - modern stylish find anywhere , weekend overnight could not ask . book direct via email - though change original booking 1 night ( 2 ) email acknowledged - ensure clear outset . penalise go well . ' m debt fellow reviewer website - would find choose without help - glad add voice chorus approval - regret stay Delhi long ! 
 Jan 6 2008 	 pleasantly surprised 	 first start search net Delhi hotel horrify cost accommodation . definitely want stay close Connaught Place central position important . realise would pay bit usual search medium hotel . Palace Heights look ok photo hotel website good . say hotel recently re - furbish . realise refurbishment preparation 2010 Commonwealth Games . take plunge book . husband travellle another couple none we stranger India , prepare disappointment . Arrived airport take pre - pay taxi . remember print full address hand show driver . Connaught Place divide section 's important driver full address . arrive take lift reception . look allright , clean modern . yes , expect we ( relief ) show room . airconditioned , modern clean flat screen television wall . bathroom compact , marble clean . view window yes , hotel pass test . eat restaurant excellent . pack local always huge recommendation . stay three night complaint . leave heavy luggage travel Rajasthan week . return final night , luggage safe sound , restaurant still great , staff always oblige . breakfast serve restaurant order menu - nothing flash certainly good . good hotel certainly fit bill want pay 5 star Delhi price want pleasant surrounding , cleanliness safe place rest course position . 
 Jan 4 2008 	 Great Hotel heart New Delhi 	 Hotel Palace Heights New Delhi great hotel . stay two seperate occasion trip India please experience . hotel renovate relatively recently . room modern sleek , importantly , clean . room get first night Delhi small , comfortable . bathroom clean new , water hot . second time around , room big , nice , equally clean comfortable . seem Delhi option mid - range budget - everything either ridiculously expensive luxurious , ridiculously cheap disgusting . Hotel Palace Heights right middle term price wonderful bargain . heart Connaught Place , , excellent location . attach restaurant , Zaffran , delicious . food safe clean really excellent . service match food decor . like many place India , menu show liquor beer , available , doubt glad know amount time India . staff kind helpful . highly recommend . 
 Jan 2 2008 	 Heaven Hell ! 	 stay 1 night 13th December 2 night Hotel Ajanta ( see seperate review ) .this hotel Connaught Place , section D. book hotel turning suitcase ! try work stay taxi Ajanta Hotel , bad ! hotel work approx £ 80 bed & amp ; breakfast two we . room small everything need , remind Marriott hotel back home . bathroom lovely , water either hot cold hey small price considering come ! Plasma tv wall , coffee & amp ; tea facility . also give we fresh orange juice fresh fruit platter - nice touch ! breakfast freshly cook . area western KFC , Macdonalds , TGI Friday 's etc eat restaurant next door hotel call Embassy - nice food aware add service charge also add ' output vat ' . would recommend anyone stay 's little bit expensive would probably ok 1 night . 
