helpful 	 decent location access many part city , breakfast keep full lunch beyond helpful friendly staff . stay extra three night - second room lot nicer first . first little small not outside window . second comfortable , nice view street spacious . nice lobby . 
 Aug 30 2009 	 great value great location 	 trip Aug. 14th - 16th . drive SF . fiance come SFO via BART . good way go . Civic Center station far hotel . nice walk City Hall building . Felt safe night Van Ness . check early day . lot foreign tourist . ask quiet room Carlo . Carlo give room 5th floor back . end noisy right across elevator . went try another room another front desk clerk give room 2nd floor . believe room 208 . inner room face Myrtle Street . nice . like room much well . roomy . comfortable bed . check sheet , clean . toiletry include packet shampoo lotion one small bar soap . ice machine 3rd floor . plastic cup . double pane window keep street traffic bay . tv work fine . not try internet . Mel 's Diner corner ( street level ) . Deluxe Continental breakfast mostly bread item fruit . great weekend . kept luggage checkout . hotel far California cable car line . must buy City Pass seeing sight . 7 - day muni pass worth price alone . not know bed bug story get back . see report . none . room fine great value , especially SF weekend . would stay would recommend other . 
 Aug 21 2009 	 clean 	 centrally locate major road city , Opal clean comfortable reserving online make hotel good deal . however , housekeeping stingy amenity like shampoo soap ... ask , quality mediocre . ceramic cup glass room instead paper / plastic would huge improvement ( probably save hotel money planet 's landfill time ) . bed quite comfy nicely appoint linen . desk staff helpfulness inconsistent - snooty & amp ; terribly helpful , really great eager make suggestion give direction . park back convenient secure , & amp ; need neighborhood . lobby nicely renovate , although complimentary breakfast good , extremely crowd disorganized . overall , though , price , would stay . 
 Aug 10 2009 	 bad hotel experience - severe case bed bug 	 severely bite bed bug , result stay Opal Hotel . doctor care house professionally exterminate result . ( due fear bring back suitcase , etc . ) . day check witness guest complain Carlo ( person check ) husband several bite body . Carlo insist hotel 's parking garage . think much time car go hotel garage . wake bed bug bite entire body , speak Carlo ( tell manager ) . check , bite welt part body . confront sleep hotel ( face , neck arm visibly bite large welt ) , become defensive abrupt . immediately state ' we know check bed bug let know room ' . shock . least expect would recommend move another room . , beg move another room . continue refuse check room . know could leave belonging room . go upstairs retrieve suitcase , etc . find Monica housekeeper houseman ' tear room apart ' . even take head board wall . walk room , Monica look immediate response & quot ; get ' . instruct houseman start pack belonging . evening return hotel tell Desk Agent move another room . admit sister bite severely bed bug , since work Hotel Opal , bite I . FYI , doctor count 70 bite right arm , 23 forehead , 18 head , 20 buttock , several leg back . three week still heal . ongoing histimic reaction bite . bad part nothing person , take antihistimine ( bad liver ) keep cover ointment . please warn endanger and/ friend . serious issue . 
 Aug 8 2009 	 Comfy Cozy good location 	 spend 4 night early August 2009 group tour France . staff toe helpful . lobby tastefully decorate well appoint - comfortable place & quot ; chill & quot ; . ATM right behind lobby well laundry room , come handy . wifi lobby area . Coffee / tea bar tastefully hide little nook lobby . room clean comfortable , feature high - speed internet connection ( RJ45 plug ) . breakfast buffet adequate ( bread , bagel , raisin bread + big toaster ) , close 9 am . unfortunately , mean 8:30am 's nothing much left eat . , gather courage go downstairs 8 am , fix breakfast take back room ! see lot people ... miss breakfast , be always diner next door ( direct access lobby ) , bakery block away hotel ( exit right , leave hotel ) , huge array donut hot breakfast ( egg , bacon , pancakes ) . however . please careful homeless people area . tour guide suitcase steal sidewalk front hotel - manage get back help 3 guy group small & quot ; tip & quot ; homeless guy . seem recurrent problem area homeless shelter 1 - 2 block away hotel . nothing freak - not leave bag unattended . convenient location . muni ( bus ) front hotel - street north south hotel . get 1 3 day pass map . read comment previous blog & quot ; bed bug & quot ; problem concern . check Bed Bugs Registry ( www.bedbugregistry.com ) . hotel indeed list , hotel area . ' m happy say neither anyone else group 41 experience bed bug problem . overall , hotel much well expect . 
 Aug 4 2009 	 Liiitle well pay 	 area BEST , bad . be right nice neighborhood ( Nob Hill ) bad neighborhood ( Tenderloin ) - tell local call TenderNob . hallway little musty , room fresh clean . staff helpful , breakfast cereal , toast , bagel . bed little lumpy old , clean fresh , room quiet . overall , can not complain - pay less $ 100 right San Fran . 
 Aug 3 2009 	 Bed Bugs ....... ware 	 want seek info establishment medical attention check due bed bug bite head writ . bad none less bed bug bite 
 Jul 30 2009 	 Bed Bugs ! 	 thank Opal husband bring bed bug house . stressful costly lesson we . please aware risk bed bug stay Opal . 
 Jul 15 2009 	 Perfect ! 	 hotel perfect . good service , clean , close restaurant safe night ! recommend hotel . 
 Jul 7 2009 	 love ! ! 	 stay night July 1 . ' ve get great rate expedia since ' ve get 20 pound discount voucher . Got check - in early 11.30 morning staff quick register . one give map city right away mark hotel be . I get room 205 quite comfort . bed comfort 4 pillow . sheet soft . provide small coffee machine room , . bathroom nice quite big hairdryer bathtub . however , fridge ( not want one , anyway ) .they din next hotel typical american diner . supper nice , . breakfast free serve room next lobby . pastry , cereal , fruit coffee . however , raisin bread good ! ! ! also nice , little coffee corner lobby anytime want . hotel get free wi - fi lobby wire free internet room . however , stay 2nd floor use free wi - fi room . the location great . take muni bus . 47 Fisherman 's wharf well . 38 downtown . bus . 49 connect 16th . Mission BART station connect SFO.Overall , love hotel . one night stay , not find bad side . 
 may 28 2009 	 well expect 	 note : rating 3.5 , round . basically choice sister 's point get 2 suite room 3 night ( free ) san fran . normally try get 4 star hotel priceline vacation pkg deal like expedia . suite room big standard sofa coffee table . & quot ; living room & quot ; area separate 2 bed . 's 1 big room . 's Mel 's drive - in attach next hotel . sister ate say okay , note 's crazy greasy food . everything expectation 3 star hotel . window double pan ( soundproof ? ) . open window room bathroom weather nice , since window face back / parking lot , sometimes could smell cigarette smoke outside . hotel provide complimentary internet . room also flat screen LCD tv . hear people talk pass door hallway , expect . laundry room 1 washer 1 dryer across fitness room . seem 1 elevator front take stair discover since room next floor . want rent car , 's enterprise nearby , 1133 Van Ness Ave , easily travel public transportation . use website : http : //tripplanner.transit.511.org / mtc / XSLT_TRIP_REQUEST2 ? language = en map bus route . bus stop digital sign show many minute next bus arrive . also take BART to / from SFO airport ( www.bart.gov ) - 's $ 5.35 one way . get civic center . 's less mile hotel ( 12 - 15 min walk ) . Larkin street closeby lot vietnamese restaurant ( 5 min walk ) . take bus restaurant Thanh Long famous garlic noodle roast crab . 
 May 17 2009 	 Opal perfect ! 	 husband stay Opal year ago . good time want sell house move . staff wine night guest Wednesday arrive drank wonderful California wine listen music . room fantastic . huge comfortable bed clean bathroom , stock w/ lotion , soaps shampoo . lot towel . bed extra pillow too . staff helpful . tell we restaurant , give we walk direction , point we great shopping really potent drink . hotel right across enterprise Car Rental , able get great deal car go Sausalito , drank free wine . tell next time book directly w/ hotel - they beat price find on - line . oh yes , ton fresh fruit every morning . even open room early , could take cereal fruit airport , since leave 4AM . also set we w/ shuttle service airport get us discount . when go back , be always go Opal we . mess w/ success . 
 Apr 19 2009 	 everything need / want hotel 	 ' ve read several review various resort / hotel / destination , first review . realize review much reviewer destination , bit ( will try sound like personal ad ) : ' m canadian ( bear raise live Toronto downtown ) ' m 30 y / o male really active working , sport , etc . travel quite bit stay luxury well not - so - luxury hotel . having say , read review past people complain crack find tile stain carpet hotel . advice people : spend much time hotel , get outside . I choose hotel base price , first time San Francisco hear location close Tenderloin district , will give tip later deal . staffcourteous check in / out quick . greet every morning & quot ; Francisco & quot ; check point ammenitie hotel . every time question , person front desk helpful . stay hotel spend five time much $ stay receive warm personal service staff Opal . great job . roommy room bed happy . ok , want hear & quot ; extras & quot ; , room also t.v , dresser , desk , huge walk closet , clean bathroom shower stall ( tub ) . view street bedroom bathroom view brick wall ( enjoy privacy also allow fresh air ) . also coffee maker use twice . be look mint leave pillow turn service- stay Ritz . internetawesome . plug laptop run 2 minute . completely free much appreciate - thank you . breakfastamaze . something small , noticed : person stock breakfast condiment extremely effecient . fact , cream cheese basket seem always 50 little cream cheese package . every time take , would replenish . good job . breakfast - perfect start day . Coffee / Juice / Tea , Cereals , fresh bagel ( good ) , toast bread / bagel 8 toaster do not wait . one complaint ( always complain ) cup juice coffee tiny . drink much , know . actually end bring starbuck cup ( venti ) fill juice coffee much discerning look foreign guest . either get every 2 minute re - fill , not judge . advice : get early - open 6:30 , be like like quickly . find people hang around talk front toaster use , find bit annoying , give discerning look seem get . : ) LOCATIONSo , majority negative review talk location . double edged sword . hotel close everything - good location respect . right downtown speak , quite close . however , boarder Tenderloin - equivalent Gerrard / Jarvis area Toronto . lot complain homeless people sketchy character think arrive & quot ; whatever , live Toronto , handle & quot ; . thing ( bear mind love San Francisco ) San Francisco homeless problem . sorry , true . comparable city would Paris homeless kid breastfeed mother line exclusive Paris street . ok , that s , know totally amazing time San Francisco , want call say hotel 's fault city homeless people , therefore area like Tenderloin & quot ; & quot ; homeless people . walk Geary street ( street next Opal ) without incident ask change , however do not think 'd night shopping bag , etc . tip though , will thank . walk east bit - past Geary , will Nob Hill area - expensive home , nice area . soon one follow street : sutter lead right Union Square walk 10 minute will good shopping district . Bush street California lead right Financial District China Town , 10 minute . walk Bush get far enough , come back toward Geary end Union Square ( be concern avoid Tenderloin , good route ) .take cable car California Street downtown ( get Starbucks around Van Ness California ) - trust one ... cable car tourist - local San Fran 's . view whole city 10 minute ride will never forget . MEL 's DINERI can not mention great little Diner next door ( yes also attach , get outside enter main entrance ) . stay open late open early do not usually eat fast food greasy stuff , could resist every meal get superb well prepared . staff great . Hope find review helpful . traveller alike , be like will great time here . San Francisco amazing city meet lot people ( local , tourist ) . ' m type do not like necessarily socialize fellow hotel patron ( less time spend hotel , well ) , prefer get people actually live city , make difference . however , time spend hotel great - everything want enjoyable trip . would reccommend hotel , yes . will not luxury , money , hotel well worth . 
 Apr 10 2009 	 great value nice room 	 book priceline $ 80 night nearly double hotel originally book much well worth stay . front desk curtious nice would ve score high service do not really talk much . room large CLEAN bed comfy queen size bed . right Van Ness Geary close city hall neighborhood be not quite bad SF ( bum central location ) . do not walk alone dark alleyway smart should not even need tell . SF great town take advantage nice comfy botique hotel that s half price staying chain hotel small room . free wifi well . 
 Apr 2 2009 	 great location another weird Hotwire experience 	 book Hotwire read review site try unsuccessfully get reservation bait switch mention . additionally , though be Hotwire 3 - star , 's Expedia 2.5 star La Quinta , , usually 2 - star , serious doubt go . doubt increase call Opal make sure could get double / double room . call , look hotel Expedia website see room double bed available midweek stay . site say availability . however , call request one double room speak Bradley , tell could not put double room convention week full thing available single King bed room & quot ; reserved & quot ; . well , reserve room enough bed one adult one child , common hotel parlance not usually mean one bed , mean two . point travel son , need two bed , Expedia show hotel available . silence end line , Bradley say & quot ; ok , ' ve get double room move people around . & quot ; hung . fully expect fight someone get . however , check Carlo , perfectly reasonable friendly . room small , brick - wall view , clean two bed . bathtub , shower . bath product speak , bar soap ketchup - packet sized shampoo conditioner ( two people 4 night stay- well bring ! ) great thing hotel locate Geary Van Ness . be 2 block Kintetsu Mall Japantown , surround good restaurant , 5 block end California street cable car line civic center . secure area often isn't- lobby door open someone room key desk staff . room pretty quiet . continental breakfast consist juice , coffee , toast cereal least one day door close advertised time 9:30 . in - room internet service not work ( cat 5 cable ) see people use wireless lobby . problem hotel reservation weirdness seem fill world travellers- hear German Arabic French spoken lobby English , wonderful , one reason visit San Fran . would recommend , would not use Hotwire stay . normal rate cheap enough , benefit cleanliness great location truly outweigh aggravation . 
 Mar 31 2009 	 right downtown ! 	 place decent location - 4 block cable car near many busline . 3 busline right outside door go van ness ave ( fisherman 's wharf ) . service little weird . book suite get attractive room small living room separate french door . nice ! however , not tell door open bedroom side , lock . take hour first maintenance guy come tell we do not key , another 45 minute decide break handle chisel screwdriver . hotel key one room ? ! suite ? ! room great however , clean comfortable bed hotel upscale atmosphere . , decent place middle action . bad value quality hotel location . 
 Mar 23 2009 	 NYC Hula Girl SF 	 great value , great location , highly recommend ! arrival , need change reservation king double bed , high floor , quiet room away street activity . amelie front desk helpful room informative travel need . room ( 329 ) fair size two people , tv , DSL internet , full bath , clean . also small fitness room four machine : elliptical , tread mill , stair master , bicycle . coffee self - serve day lobby . Opal Inn four block California / Van Ness Cable Car , near bus streetcar , Mel 's drive great american Diner food next AMC movie theater . many choice food nearby . recommend Swan 's Oyster Depot , Post street/ California Street : fresh seafood , friendly local restaurant , delicious . enjoy San Francisco get good night ' sleep comfortable Opal Inn . 
 Mar 8 2009 	 Good Location - Noise Problem Older People 	 stay Opal part fly drive holiday UK comment value money . reviewer say , old hotel room accordingly modern standard small stay USA . lift also small . use car park memory cost $ 28 night 2007 . breakfast adequate really use facility . major problem us - ( active ) retire - Mel 's Diner form part ground floor hotel . weekend loud music play Mel 's Diner 4.a.m . hotel staff ask music turn request . room second floor . beware , unless want join fun . plus side reception manager waive car parking charge view lack sleep cause noise staff friendly enough . also plus side , Opal easy bus ride Fisherman 's Wharf sight . buy pass SF bus tram another hotel across road ( reception advise we ) . also old fashioned bar / diner across road call Tommys Joynt amazing choice beer cheap , good , food budget . problem walk immediate area enjoy stay SF despite noise problem Opal . 
 Mar 4 2009 	 want breakfast bring 	 business trip choose hotel breakfast save time . the Opal advertise breakfast arrive tell milk , cereal , thing - option - would replenished much day . so do not start day - go MacDonalds ! 
 Mar 3 2009 	 Location Great Fillmore ; Corner Room BIG ; great value ! 	 title say - location perfect see show Fillmore , room get nice big clean , price terrific . sure show AAA card ! also , be nice place take dog . parking convienent . 
 Feb 9 2009 	 great price special ... 	 Opal one place hate love . Jan Feb , possible great really great deal AAA rate directly hotel 's website ( really great mean & lt ; $ 50 / night ) . ' ve stay time , use hotel place camp night night friend sf.the room adequate nice ( look like refurbish , ) . bed comfortable enough bathroom fine ( might want provide toiletry , provide soap shampoo ) . room fairly clean ( exception seem occasional stain carpet ) .my negative hotel wall thin parchment . neighbor make noise , hear . not care , except ' m try sleep . be lucky get quiet neighbor , hotel great . get noisy neighbor , well ... window double little street noise , 's room - to - room noise bother I . the location pretty good . Mel 's din next door ( like sort food ) . walk distance Civic Center ( symphony hall , opera house , city hall , asian museum ) . could walk Union Square , , 's bit hike marginal neighborhood . 
 Feb 2 2009 	 love location 	 get back Washington state long tour Afghanistan armed force look good place get away wife . booking read many review surround hotel bay area . really like review Opal Hotel receive disappointed . location heart S.F . many attraction central location tourist path . go rent car find metro eaiser cheap . metro 's clean easy navigate around city . need car though , enterprise right across street . hotel beautiful cost effective . Mel 's drive - in Diner ( really drive - in , 60 's theme ) street level door lobby lead . price inexpensive . window room double pane not get outside noise ( i.e . vehicle , people , etc . ) . opt spend little room book 200 sq ft happy . bathroom spacious lot outlet room electronic gadget . free high speed internet room , plug surf . room clean housekeeping personnel friendly keep room well stock . special kudo Joel frontdesk help we site see ( addition already book ) , allow we check early check late . professional friendly . already speak several friend recommend hotel stay . great job staff keep outstanding work . 
 Feb 2 2009 	 good value San Frnacisco aware surrounding 	 would generally recommend hotel young traveler , since ' good value ( stay $ 69 per night ) . however , aware seedy part city south east hotel . number homeless people exceed expectation . avoid walk near BART station reason , unless stay Van Ness . ' feel particularly threaten , comfortable either . room bathroom somewhat small feel claustrophobic . 
 Jan 26 2009 	 good stay San Fran 	 visit Opal little nervous since first time San Francisco review mix . overall stay pleasant . 4 day staff actually helpful nice . give fiance great advice place visit eat get around . hotel would say pretty centrally locate . get around easily San Francisco really far anything . take BART train airport get Civic center . issue get cab not know bus system , pull Iphone use GPS walk property 7 - 10 minute walk . room ok ... stay room 210 . think pretty nice price . clean room , comfortable bed , clean bathroom ... bad . hotel around awhile tell old building well renovate oldness bring charm . free breakfast morning pretty scarce ... bagel , toast , coffee restaurant attach hotel next block 24 hour pastry /breakfast place pretty affordable . pay $ 28 - 30 parking not bring car . overall great place stay San Fran ... go back San Francisco definitely stay affordable , centrally locate , clean . hope help : - ) 
 Jan 7 2009 	 bad hotel stayed 	 book hotel Hotwire . bad hotel stay . room large stain carpet . staff friendly . would stay . 
 Jan 6 2009 	 Opal pretty Opulent 	 Opal Hotel pleasant place spend romantic getaway , give fact get challenge : parking ( choose , park inside secure parking lot almost $ 30.00 per day ) .then , get lobby , pretty classic inside . room give comfy accomodate . mean comforter soft , pillow top grade , every aspect hotel room positive . the drawback ' stuffy & quot ; smell lobby , long wait elevator , parking . sidestreet next Opal , tell , & quot ; full shady character & quot ; prepare take taxi get union square ! 
 Dec 29 2008 	 Opal - cheap budget - style room hotwire 	 book hotwire - 3 star hotel Japan town . first arrive get smoking room access outside , 1 star motel room . travel young child , insist non smoking room . could not accommodate hotel full - provide air purifier . next day , request non smoking room , luck we , upgrade non smoking suite . fantastic . lesson learn Opal - different standard room depend luck - suite fantastic , room shocking.- not book hotwire Opal room get cheap , budget , 1 star room . 
 Dec 27 2008 	 Hmmm .... cheap guess ! 	 hotel well locate short walk main attraction center San Fran ' . rate really cheap city hotel get room see . tell upgrade room really small family four . two double bed pretty much , space anything else . room clean , old shabby feeling , bathroom . Mel 's diner , right next door , great . hotel border Tenderloin experience problem , cab driver say rare tourist experience crime city , unless walk around bad area 4 be something like . overall , San Fran tight budget would recommend stay hotel , afford pay little , would suggest look option . probably look elsewhere next time . 
 Dec 25 2008 	 Shabby room bait - n - switch tactic 	 book non - smoking room week prior stay yet give smoking room upon arrival . re - sell room due fact arrive 2 am booking . room locate maze run hallway corridor course lead outside shabby smoking room . good part hotel central location within city Mel 's Diner downstair . parking hard find , expensive ( $ 29 / night ) consider stay hotel already , AAA discount apply price . all know , due experience Opal , never book hotel company reputable company Hilton like . ' ve stay Hilton Embassy suite , Hilton Grand Vacations , Hilton Homewood Suites subset Hilton stick billing not take advantage customer way little no - namer tend . stick real Hotels happy , try little guy surely come away mediocre experience say least . 
 Dec 23 2008 	 Great San Francisco property 	 business trip husband join San Francisco . pre - christmas present have never city , want hotel represent local flavor . get excellent deal hotel 's webpage , even though review mix , choose location , breakfast fact old building . room get pristine state , cozy warm . Brad , nice gentleman Front Desk , friendly helpful . dinner adjacent hotel life saver ask bottle opener deliver room less 10 minute . although sometimes could hear neighbor , nothing disturbing . parking easy inside property , yes , charge $ 28 / day San Francisco . we work hotel San Diego , pleased place staff . would definitely go back recommend friend / family . 
 Dec 12 2008 	 would stay Opal next time 	 Booked Hotwire . claimed 3 star hotel . would rate 1 star . hotel old hallway smell awful . room small bathroom minimal - not even provide bath soap , lean chest closet . parking expensive . 
 Dec 4 2008 	 comfortable stay 	 room small deluxe room especially bathroom . since not street parking available pay $ 28.50 night park garage ; therefore save money booking line . view window - side next building . clean staff friendly would not stay unless fly . 
 Nov 19 2008 	 good deal 	 get room top floor .. get good deal .. basic breakfast kind chemical smell room clean comfortable .. housekeeping staff good job also . good deal pay want .. 
 Nov 18 2008 	 Basic hotel central location 	 book hotel hotwire . be definitely Tenderloin not go something every traveler want deal . travel inlaw little unsettled dirty street , homeless people , general vibe area . use live SF live major city , like say , be everyone . that say , be centrally locate - close bus line mission bus line Union Square Financial District . the room vary . two room - one really large nice quite bit small . clean basic . the breakfast offer great raisin nut bread , peanut butter , butter , jam , cold cereal apple . coffee average . be fine , something use every morning . gym one treadmill , one stairmaster , one elliptical trainer basic set free weight . huge room either . overall , basic hotel city hotel get really pricey . 
 Nov 14 2008 	 good money 	 actually get great rate directly thru hotel web site . bed terribly uncomfortable otherwise room pretty nice . 's old hotel well keep . top floor nice quiet . shower great water pressure plenty hot water . window seem new keep lot noise . be necessarily within walking distance much though great little coffee / bagel place couple door . stay marathon appreciate close start line away enough noise . would recommend friend / family would probably stay . 
 Nov 1 2008 	 clean good location excellent price - point hotel 	 look hotel proximity downtown San Fran reasonable price - point . one diamond rough . San Fran several time stay different hotel , feel offer experience review hotel ( feel compel give back TripAdvisor community -- commercial review & amp ; corporate marketing gibberish bird ) . pay bit normal , busy weekend ( June 7th/8th ) San Fran , availability limit . however , price range , excellent hotel . room surprisingly large , hotel charming , staff friendly breakfast decent . everything would expect hotel price range . the criticism ( minor ) way breakfast setup . likely problem normal circumstance , one morning happen couple tour - bus group stay hotel , self - serve breakfast set accomodate large rush people . future , would good hotel could open extra space organize something separate tour - bus group quiet chaotic scene . regard location , not fool fact hotel close bad area ( ie . Tenderloin ) . many good ( high - end ) hotel border fringe Tenderloin . entrance surround block hotel completely clean safe . we give hotel & quot ; pleasantly surprised & quot ; & quot ; diamond ruff & quot ; rating . definitely keep hotel list place stay San Fran . 
 Oct 29 2008 	 Opal Great 	 stay Opal Hotel Nike Women 's 2008 Marathon wonderful experience . staff helpful friendly . room clean much large anticipate . would definitely stay . 
 Oct 24 2008 	 reliable public bus service doorstep bathroom ! ! 	 hotel 4th one stay month long trip US . travel really tight budget research budget hotel San francisco lot state share bathroom . prepared share bathroom anyone , husband , save pound ! ! ! take share van shuttle airport hotel driver take we know Tenderloin district research . husband shock look horror face , tell worry airline use hotel crew can not bad see several crew arrive depart there . we greet friendly smile check quickly . experience Vegas hotel ask hold go put credit card front desk girl tell go put hold $ 550 dollars card ! ! ! ! ! ! like red rag bull . pay full already hotel , tell would not use phone , roomservice offer facility way much . agree drop hold $ 100 use UK debit card want use credit card purchase . room 4th floor overlook Geary street , noise traffic minimal . one large king bed comfy though sheet feel scratchy first . bathroom tiny nice smell lotion shampoo decent hairdryer . practical everything need 3 night stay . complimentray breakfast provide 6am-9am never early enough catch . coffee serve lobby 24 hour pump dispenser . room key act entrance key lobby street . Mel 's diner attach hotel great eat twice , popular . do try milkshake , delicious . number 47 bus stop outside hotel take Fisherman 's wharf $ 1.50 . easily walk Union square hotel . hotel situate flat area walk easy . yes , several homeless /beggar type area worry we make we feel threaten anyway . feel safe walking around night many people . complaint stay , money great location we see want short time . negative noise could hear hallway people leave room , lack soundproof old hotel expect . after hotel airport hotel close 7 am flight back UK . 
