perfect 	 really nice place - close metro station , helpful staff , clean tasteful room . feel really lucky find place . 
 Great Hotel price . 	 India month hubbe Delhi . Stayed Grand Park 4 differnt time . hotel great base explore Delhi Northern India . price , find clean large hotel room . sheet spotless , blanket freshly wash . AC unit work great , hot water good , hotel safe area fine . Breakfast include taste good , nothing spectacular , complaint . 's 40 rupie taxi train station . 3 block west hotel huge market street load restaurant shop ( include McDonalds = ) ) . actual street hotel nice place look ... be fine safe . wife walk around night not feel uncomfortable . the owner Mr. Madan wealth info , book tour help book train flight . travel agency , course take commession trip , train flight , cost use indian online travel company . advice help make trip extremely easy really helpful . internet availble use computer . wireless internet hotel though . listen , end day , be stay continue come back : be clean , 's good shape , be safe , provide good advice help question problem . be come Delhi , give place look . 
 Deos leave last impression 	 stay night want extend 2 night hotel staff greedy room old . move hotel . 
 clean affordable hotel get away Delhi chaos 	 bad experience another hotel check Hotel Grand Park Inn . staff friendly accommodate . even though ground floor hotel entrance sandwich inbetween shop , not let deter . inside quiet atmosphere ( ok , quiet Delhi get ! ) . room face alley way fairly quiet . bedroom bathroom clean good condition . give bottle water per day , per person . great benefit ! hotel stay buy water . Breakfast either indian breakfast american breakfast . basically Chai Parantha egg toast . eat breakfast room upstairs , could also deliver room . couple time dinner lunch . food fairly inexpensive ( hotel ) tasty . also laundry do , do day deliver room . friend , travel we , use owner computer couple time check email . accord couple review , far away train station etc . car driver problem . also , someone mention rickshaw driver not know hotel , well Delhi million hotel , rickshaw driver not know every one ! make sure keep address , tell driver area first , street name , anything driver call hotel give direction . 
 Sep 29 2009 	 would definitely book hotel be budget look good base explore Delhi . 	 facility great near Karol Bagh market auto rickshaw ride away connought place . hotel locate heart city near big main shopping centre . comfortable , well - equip big clean room . staff great efficient hotel restaurant . perfect helpful hotel employee service . 
 Sep 24 2009 	 friendly management - good service - convenient location 	 book day arrive appear book Hotels.com website reach hotel . however accommodate - get well room would book impressed cleanliness . breakfast basic enought set day . location convenient metro station , auto rickshaw bus travle round Delhi . owner / manager ( ? ) madan welcoming , full restaurant recommendation ( good one ) , helpful hint could not enough help we . would recommend Grand Park Inn anyone want stay somewhere 's global chain , indian characteristic want good friendly service . 
 Sep 18 2009 	 Affordabe Pin Neat 	 stay Grand Park Inn past 5 year impressed clean neat comfortable room well efficient staff GM , Mr Madan Pai finger pulse . I recommend Hotel international tourist without hesitation . well do keep ! 
 Sep 17 2009 	 Nice Hotel 	 Neat clean hotel . worth price . recommend hotel . lunch complementary break fast tasty . thing look hotel . 
 Sep 15 2009 	 good place stay good value money excellent service . 	 stay many hotel delhi , grand park , extremely nice comfortable hotel , staff great freindly abd specially owner check requirement , clean place live .... harry 
 Sep 7 2009 	 Safe Conscience ! 	 friend read great review Grand Park , decide call couple day ahead reserve room rate . turn quote rate phone less online offer , arrive convenient airport pickup reasonable price , give large corner room bed - room could need . mattresse high quality , room nicely model . bathroom separate shower ( rarity indian hotel ) , include extra amenity soap , shampoo , shaving kit . by far good part stay staff . owner / manager help we everything , arrange low - price visit Agra , food purchase ( hotel provide food adequate ) restaurant recommendation ( Sandoz , nearby , die ) , even beer run . staff overly helpful time , be difficult complain . location great reach good part Delhi New Delhi , night market nearby nice . hotel easy find , well , proximity gigantic Hanuman ( monkey god ) statue road . important part stay , besides quality hotel staff , never feel like anyone take advantage we . value good , much provide , nothing extra ask . definitely return next stay Delhi . 
 Aug 30 2009 	 good hotel 	 staff friendly , near city center . breakfast ok , good value money . 
 Aug 29 2009 	 wondrfull stresfree time . 	 stay Grand Park Inn first time last year could fault , go Delhi year , hesitation witch hotel ring . nothing much trouble fo staff managment . leave organise sightseeing shopping trip managment , wernt disapointe . staff excelent , boy last year rememberd we . servis clenliness second none , organisation excelent . although hotel part holiday , Grand Park Inn , hotel one part holiday know do not worry . intend go Delhi next year , way treat everyone concerned , stay Grand Park Inn yet . 
 Aug 16 2009 	 Excellent Service 	 Excellent hotel service . staff accommodate helpful . safe american traveler ! 
 Aug 4 2009 	 good experience 	 average hotel still satisfied stay . thing like much location busy congested lane . 
 Jul 28 2009 	 decent enough place nice street . 	 Average Good ( really good ) .price fair get , ac good though noisy ineffective . hotel organise taxi we day ( recommend ) however get annoy keep bring we place ( shop ) would get commission buy something . would recommend can not find anywhere else would sure , must well place Delhi . expect short power cut ( boot generator ) .Food good . 
 Jun 8 2009 	 Excellent Value 	 Excellent customer service . clean centrally locate . complimentary hot breakfast choice continental indian menu . friendly staff . provision leave baggage return guest away short excursion . complimentary toiletry . email response within one day . 
 Jun 6 2009 	 bellow average Hotel .... 	 location good price much . unnecessary huge room professional behaviour ...... staff terriblly poor knowledge . stay , well option ......... 
 May 30 2009 	 Value money 	 room stay clean . room service good . food serve taste ok . all - in - all value money . 
 May 23 2009 	 modest hotel value money 	 Decent Hotel , good overnight stay . one could put location , food compensate . complimentary breakfast simple parantha type thing , tasty nevertheless . look decent stay without frill good hotel , bad place . 
 May 19 2009 	 great value nonsense room 	 1 ) excellent clean rooms2 ) good food3 ) value moneyDownside1 ) internetif want decent room crash night , go itcheap . 
 May 4 2009 	 Service Excellence beyond par ; - ) 	 stay Grand park inn 2 prev trip experience service excellence clean comfortable room , book parent India holiday Mr Madan Pai , efficiently also arrnage entire tour . prompt write , : last day India , God 's grace parent stay Grand Park Inn , mother , asmathic , fall critically ill . Mr Pai immediately take matter hand personally , ensure mother hospitalise , father eat , even top father mobile phone airtime personal fund , give father hundred rupee small note could travel auto hosital . ensure time one ' room boy ' remain father , emotionaly mess mother 's illness . , mother 's condition worsen , personally contact we South Africa inform husband situation . arrive India , mother critical , ICU transfer another hospital Vasanth Kunj , Delhi 's traffic 45min away hotel . Mr Madan provide we car driver , cost 8 day ; , remain india parent husband return home , Mr Madan see father every comfort , ensure eat time , also top mobile 's airtime tune rs400 , refuse allow reimburse . constant concern mother 's condition touch , every one ' room boy ' pray day ' aunty 's ' recovery . God 's grace mother recover almost month later travellle back home ; transport airport free charge Mr Pai , make personal visit hospital bid mum goodbye . express grateful family man 's genorosity . hotel , matter much fancy , would give we care . Grand park Inn lack comfort : ample sized room , complete cleanliness , friendly attentive staff put many expensive fancy hotel shame . true gem Delhi Mr Madan Pai Team : salute ! Prinitha Dowlath Family , South Africa 
 May 2 2009 	 Came India sick ... leave India well ! 	 visit India two week Grand Park Inn base . Mr. Madan Pai staff ultimate pleasant serious service hospitality . trip book Mr. Pai a-1 . neighborhood colorful Inn clean look . come stranger ; leave friend . thank much everything , Mr. Pai ! 
 Apr 29 2009 	 great hotel 	 Located Karol Bagh hotel include regular guide book . do not put location surround motor part shop hotel well situate metro & amp ; local market area 5 min walk away . room ( 1800 rupee double ) spacious & amp ; immaculate staff smiley & amp ; helful . Mr Pai , extremely pleasant & amp ; efficent manager , organise trip wherever want current min price car & amp ; driver 2500 rupee per day ( govt.tourist info office ) .We take trip Shekawatti see havelis well beat track & amp ; driver find everything ask see . do not miss day available .. be stunning . 
 Apr 8 2009 	 simple economy service 	 stay 3 night 2 female member family . economy hotel pay 2200 rp per night triple room . location hotel ideal lone female traveller - area make car repair company - therefore , female see within area . area noisy ... hotel manager grumpy first day cheer third day . recommendation room ; tea / coffee make facility ; spy hole door ; iron available hotel . book car / guide via hotel - driver insist take we specific shop route - ' m sure commission shop definately business rip tourist . even insist take we restaurant despite repeat request go another restaurant . location ok shopping trip karol bagh . hotel restaurant like small dining room - comfortable especially busy period . breakfast selection limit . 
 Feb 22 2009 	 excellent location decent room great price 	 happy stay . room bathroom immaculate spacious , polished marble tile floor sufficiently comfortable bed -- everything seem near brand new . staff helpful knowlegable . breakfast serve conference room meet fellow traveler - local business traveler other abroad . Grand Park inn excellent value . the location Karol Bagh great . hotel small busy Delhi street ; cow park nearby one day . walk distance Delhi metro , , take need go , seem good way get around Delhi -- 's new system train come every 3 minute , although get packed rush hour . still beat sit dusty Delhi traffic . able explore Delhi base Karol Bagh . , however , cross busy intersection near Hanuman temple get metro station , might prefer short rickshaw ride . 
 Jan 14 2009 	 Excellent 	 hotel grand park inn Delhi india . we book hotel initialy start tour india happen arrangement cancel due terrorism happen time mumabi flight cancel , contact management considerate without fuss dealth sympathy eventualy stay upon return leg tour , find hotel manager Mr Madan Pai true gentleman greet we utmost courtsey welcome we warm heart impress we greatly , service accomodation excellent true peaceful experience throuhjout stay recommend highly visit delhi clean hotel reasonable charge value put hospitality service truely honourable management creditworthy staff definetley 5 star opinion . will visit stay always GRANDPARK INN HOTEL . 
 Dec 17 2008 	 Object lesson customer care 	 speak highly manager staff Grand Park Inn , unfailingly polite , helpful friendly . must single manager , Madan Pai , put together 2 week tour Rajasthan , Agra Varanasi we , gently adjust plan route expectation . driver , Malkit Singh , also attentive need safety , always time pick we airport ( use hotel 3 separate occasion ) . however , , would praise way look we , especially partner , wake heart attack suffer one night , ensure everything comfortable hotel provide personal accompaniment visit hospital charge . similarly , necessary travel rearrangement make gratis , great concern health . the hotel quiet , though situate non - tourist market area , provide good food reasonable price spotless room . staff cater every whim . modern , soulless hotel quaint charm . 
 Aug 15 2008 	 Loved Hotel 	 extremely long search trying find reasonable place reasonable price stay , luckily find nice hotel new delhi ! hotel spotless & amp ; room pretty luxurious Delhi standard , specially price range ! location pretty good , close & quot ; city centre & quot ; - Connaught Place , although need cross dangerous road get metro ... part fun dodge traffic India ! & amp ; see & quot ; alien & quot ; take metro funny ; 0 ) manager extremely helpfiul & amp ; recommend use get travel package set - up see golden triangle & amp ; location , save look hotel part also extremely difficult , Mister Pai , manager arrange good hotel city like Agra , Jaipur etc . breakfast area little small & amp ; food , however good part meet traveler room share experience , nice well . so generally speak , hotel excellent value money stay Delhi & amp ; comfortably . if decide take travel package , recommend ask driver call & quot ; Rajan & quot ; , enjoy travel , great guide & amp ; fantastic company whole trip extremely funny guy , HIGHLY RECOMMENDED ! ! ! 
 Aug 11 2008 	 nice place 	 spend three week Grand Park Inn Delhi business make bad experience place . the first night spend annex lower - price hotel next door - make happy , next day could change like it . as stay unusually long period need say enjoy ! room big , tv work well , fridge even generator ( continue work elecricity blackout ) , hotel staff friendly ( young male ) , sometimes struggle English . Hotel Manager also friendly . guy always help look something try figure & quot ; realistic & quot ; taxi price certain route . the breakfast , include , basic , okay , serve room ( sort dinner room hotel , cozy ) . room clean daily basis towel ( 2 - 3 ) always fresh . bathroom - usually nasty place lower - price hotel - surprisingly clean . room next street , quite busy , Delhi always noise problem . the area certainly posh touristic neighbourhood , across street convenient supermarket also hundred meter away liquor store buy beer wine . metro 5 - 8 minute walk away - quite convenient . in general , good time Grand Park Inn would definitely recommend people want nice clean hotel quite fair price ( compare other ) good public transportation close . 
 Jul 23 2008 	 Great room Bad breakfast 	 first hotel Delhi , find everything apart breakfast location good . location fairly near metro however cross busy road require , , may little tricky outside toursity area free , be also fairly chaotic area , get see real delhi connaught place though . breakfast abysmal , little choice good , foil wrap toast mention .... good . good , room spacious , standard feel far hotel give we , staff friendly helpful , get car organise free take us airport arrival station depart free charge , give we good direction without push we certain place . good stay 3 4 definetely . 
 May 3 2008 	 oasis calm frantic city ! 	 stay Hotel Grand Park Inn January year . staff owner / manager lovely - especially manager allow we use computer free on - line check airport ! arrange we take restaurant collect late charge - tip driver . the room clean , breakfast adequate although toast comes already butter wrap foil make extremely soggy ! ! request mine leave unwrapped much well . the Hotel strange part Delhi - lot motor shop , motor bike etc ( forget omnipresent bovine friend ! ) .Tuk tuks centre Delhi extremely spotlessly clean metro inexpensive . market wonderful , people kind friendly everywhere seem time feel threaten Delhi . once get initial culture shock , India lovely place visit hotel great escape frantic hussle bussle city - extremely cheap - £ 125:00 four night B & amp ; B two we include transport airport 50minute drive away ! 
 Mar 28 2008 	 stay peaceful pleasing ! 	 search decent clean hotel stay Delhi - Agra trip , really know , spend lot time web find one budget . want clean decent hotel . lot review study different website , finally wife decide call Hotel , Grand Park Inn . got really good response call . till moment step allotted room , kind tensed get expectation meet . main concern cleanliness bathroom . we glad see clean bathroom . food good . felt homely , calm safe . room interior average . we major problem little bit noisy A / c call reception every time want hot water except morning hour . management need train staff communication skill . 
 Feb 22 2008 	 great place stay 	 Grand Park Inn good clean hotel great staff ask manager arrange tour clean comfortable hotel driver reasonable price hotel quite near centre Delhi safe area ask hotel arrange pick drop airport hotel good value money recommend hotel 
 Feb 20 2008 	 good idea 	 almost impossible choose reasonable place stay Delhi . read review leave hope . hotel quite good all.location - far CPmanager - competent ( unusual ) room - quite big , newly renovate literally spotless - high mark cleanliness ! breakfast area - small , people waitbreakfast - rather poorroom service - quite good ( close eye bit cheating ) generally - practically good solution price range 
 Jan 26 2008 	 good 	 stay 3 night , experience terrible . lot noise staff sometimes insistent . sheet not clean . 
 Jan 21 2008 	 Great experience 	 honestly view low - maintenance visitor , ' m amenable circumstance . Grand Park Inn reasonably price hotel Delhi , generally clean good morning breakfast . location - Karol Bagh ( auto / motorcycle district Delhi ) less - than - nice location , despite proximity subway . management awful . key complaint : ( ) driver airport although schedule ( plane 1/2 hour delay driver leave ) ; ( b ) day 2 ( 3 ) , move sister hotel despite request stay ; ( c ) give room new hotel out - face window immediately adjacent kitchen , active * really * loud hour except 2 - 6 ( hour sleep ) ; ( ) tell morning not complementary breakfast ( although first place ) , require speak manager get phone number manager hotel ( actualy tell go talk manager hotel rather worry ) . be . might seem bit petty , frequent level dishonest disrespectful treatment really add . unhappy ongoing lie management . overall , would rather pay well treatment elsewhere . 
 Jan 10 2008 	 plus negative 	 room rate cheap Delhi standard , hotel clean . hot water problematic . first night , shift nearby hotel ( Blue Bell ) Grand Park Inn full . elevator Blue Bell get stick two floor power outage , 15 min lot people shout outside make mother quite nervous . get shift hotel , please use elevator safety . the area around Grand Park Inn good . get con nearby optician store ( Punjab Opticians ) Grand Park Inn owner ( Mr. Madan Pai ) recommend , whole area seem unsafe woman night sure . taxi driver nearby also try con we . someone later tell we area shady . I also recommend purchase tour Agra Haridwar Mr. Pai offer . besides high price comparison hire private taxi , driver ( arrange we Mr. Pai ) forcibly take we restaurant call Maharajah Palace get commission perk . tell take we way back Agra , still went drive wrong side road order get ( motorist stare we incredulously , rarely happen India drive crazy ) ! food Maharajah palace cost five time typical Delhi . driver also take we place call Little Taj Agra entirely useless could get commission purchase . top , driver ask we want hire pandit ( priest ) trip Haridwar next day ! ! ! guide Taj also arrange Mr. Pai keep pressure we professional take photo . also , follow day 's tour Haridwar purchase Mr. Pai , tolerate cold , stay Khanna Palace ( also own Mr. Pai ) . nonexistent terrible heating provide personal room heater need . order extra bedsheet , get wet one . overall , cleanliness relatively low cost hotel plus negate negative list . 
 Dec 31 2007 	 clean comfortable 	 impressed room Hotel Grand Park Inn especially fact bathroom bath ! not much hot water call reception turn hot water take 10 min heat . fine get use that . the food good service also . 
 Nov 19 2007 	 great stay Grand Park Inn 	 return first trip family ( parent , 3 boy ) India . easy cheap book two room least reliable hotel . book hotel , rely heavily review traveller find helpful . Grand Park Inn first destination New Delhi also fourth stop , en route Kolkata . pleasant reliable experience . hotel really central locate ( go take taxi , take 10 minute Connaught Place ) . ilike actually feel India walk outside , atmosphere still bit lay back even occassional cow walk . central market nice clean restaurant nearby . room sparkle clean service immaculate , include personal tourplanning . definitely stay . 
 Oct 27 2007 	 great stay ! 	 great stay hotel . find room hotel nicely maintain . room clean , service excellent ! almost not sure previous visitor stay hotel . for 25USD night , suite 3 bed . guess design family ? room large & amp ; clean , bathroom clean good hot water supply . sound insulation improve bit hear dog bark throughout night , though not really bother we . manager helpful advise we go find food , internet , organise day tour we go Agra transport airport . overall find staff friendly helpful . though reception desk tend rely boss , sometimes find every question go back big boss helpful ! hence , problem big man not sometimes busy , get answer quickly . I agree stuff appear pushy tip . 3 porter ' help ' we two hand carry luggage ! though tip bit ( every time ) , find staff deserve really go way help we . example , go outside look beer we 10 pm , kitchen close already , order room service ! also try bargain tasty dinner great indeed ! overall , find hotel great location ( 5 - 10mins walk metro station , 2 stop Connaught Place ) , great value ( long not expect 5 star hotel less 25usd night ! ) good service . definitely go back visit Delhi , hope maintain high standard , look like pretty new hotel , hope 's reason good ! 
 Jun 5 2009 	 Hotel ist nur etwas für Packpacker oder Hartgesottene 
 May 22 2008 	 Lo de Grand le pega mejor por el excelente servicio que por el tamaño . 
